isin,issuer_name,position_holder,net_short_position,position_date,source
NL0012969182,Adyen N.V.,"AQR Capital Management, LLC",0.99,2026-06-10,current
NL0006237562,ARCADIS N.V.,"AQR Capital Management, LLC",0.89,2026-06-10,current
NL0000852523,TKH Group N.V.,Capital Fund Management S.A.,0.6,2026-06-10,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.6,2026-06-10,current
NL0011872650,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.83,2026-06-10,current
NL0010391025,Pharming Group N.V.,Walleye Capital LLC,1.1,2026-06-10,current
NL0010801007,IMCD N.V.,Capital Fund Management S.A.,0.9,2026-06-09,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.59,2026-06-09,current
NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,1.0,2026-06-09,current
NL0013267909,Akzo Nobel N.V.,LMR Partners LLP,1.12,2026-06-09,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,0.9,2026-06-09,current
NL0012817175,Alfen N.V.,Millennium International Management LP,0.5,2026-06-09,current
CY0200751713,Theon International Plc,"Two Sigma Investments, LP",0.77,2026-06-09,current
CH1216478797,DSM-Firmenich AG,Citadel Advisors LLC,1.01,2026-06-08,current
NL0013267909,Akzo Nobel N.V.,LMR Partners LLP,1.08,2026-06-08,current
NL0012969182,Adyen N.V.,Marshall Wace LLP,0.5,2026-06-08,current
NL0011821392,Signify N.V.,"PDT Partners, LLC",1.2,2026-06-08,current
LU2290522684,InPost S.A.,"Two Sigma Investments, LP",1.09,2026-06-08,current
NL0013267909,Akzo Nobel N.V.,AKO Capital LLP,0.51,2026-06-05,current
NL0011821392,Signify N.V.,"BlackRock Institutional Trust Company, National Association",0.51,2026-06-05,current
NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.63,2026-06-05,current
NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.24,2026-06-05,current
NL0011821392,Signify N.V.,Marshall Wace LLP,1.59,2026-06-05,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,0.92,2026-06-05,current
NL0012969182,Adyen N.V.,"AQR Capital Management, LLC",1.07,2026-06-04,current
NL0013267909,Akzo Nobel N.V.,"BlackRock Advisors, LLC",0.65,2026-06-04,current
NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.7,2026-06-04,current
NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.17,2026-06-04,current
NL0013267909,Akzo Nobel N.V.,LMR Partners LLP,0.91,2026-06-04,current
NL0011821392,Signify N.V.,Squarepoint Ops LLC,0.62,2026-06-04,current
JE00BRX98089,CVC Capital Partners plc,"AQR Capital Management, LLC",0.69,2026-06-03,current
NL0012969182,Adyen N.V.,Capital Fund Management S.A.,0.52,2026-06-03,current
NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.02,2026-06-03,current
NL0013267909,Akzo Nobel N.V.,LMR Partners LLP,0.83,2026-06-03,current
CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,0.91,2026-06-03,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,0.81,2026-06-03,current
NL0010391025,Pharming Group N.V.,Whitebox Advisors LLC,0.58,2026-06-03,current
NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.62,2026-06-02,current
NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2.2,2026-06-02,current
NL0011872650,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.79,2026-06-02,current
NL0010391025,Pharming Group N.V.,Walleye Capital LLC,1.02,2026-06-02,current
NL0012365084,NSI N.V.,Numeric Investors LLC,0.81,2026-06-01,current
NL0000852564,Aalberts N.V.,"AQR Capital Management, LLC",0.59,2026-05-29,current
NL0010801007,IMCD N.V.,"BlackRock Financial Management, Inc.",0.69,2026-05-29,current
NL0011821392,Signify N.V.,"BlackRock Financial Management, Inc.",0.83,2026-05-29,current
NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,1.0,2026-05-29,current
NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,0.58,2026-05-29,current
CH1216478797,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,1.85,2026-05-29,current
CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,0.85,2026-05-29,current
NL0011821392,Signify N.V.,"PDT Partners, LLC",1.11,2026-05-29,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,0.83,2026-05-29,current
NL0011821392,Signify N.V.,Squarepoint Ops LLC,0.5,2026-05-29,current
NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",1.09,2026-05-29,current
NL0012969182,Adyen N.V.,"AQR Capital Management, LLC",1.18,2026-05-28,current
NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,0.66,2026-05-28,current
NL0011872650,Basic-Fit N.V.,Linden Advisors LP,0.87,2026-05-28,current
LU2290522684,InPost S.A.,"Two Sigma Investments, LP",1.18,2026-05-28,current
NL0010391025,Pharming Group N.V.,Walleye Capital LLC,0.92,2026-05-28,current
NL0013267909,Akzo Nobel N.V.,"AQR Capital Management, LLC",0.6,2026-05-27,current
NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,0.91,2026-05-27,current
NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.58,2026-05-27,current
NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.01,2026-05-27,current
NL0012365084,NSI N.V.,Numeric Investors LLC,0.79,2026-05-27,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,0.78,2026-05-27,current
NL0011821392,Signify N.V.,"AQR Capital Management, LLC",1.18,2026-05-26,current
NL0010801007,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",1.3,2026-05-26,current
NL0010801007,IMCD N.V.,Capital Fund Management S.A.,0.8,2026-05-26,current
CH1216478797,DSM-Firmenich AG,Citadel Advisors LLC,0.91,2026-05-26,current
NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.61,2026-05-26,current
NL0009739416,PostNL N.V.,Marshall Wace LLP,0.75,2026-05-26,current
NL0011821392,Signify N.V.,Marshall Wace LLP,1.6,2026-05-26,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,0.8,2026-05-26,current
NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.58,2026-05-25,current
NL0010801007,IMCD N.V.,"PDT Partners, LLC",0.8,2026-05-25,current
NL0011872650,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.8,2026-05-25,current
NL00150003E1,Fugro N.V.,"Algert Global, LLC",0.53,2026-05-22,current
NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,0.98,2026-05-22,current
CH1216478797,DSM-Firmenich AG,Citadel Advisors LLC,0.86,2026-05-22,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.6,2026-05-22,current
NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.61,2026-05-22,current
CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,0.78,2026-05-22,current
NL0010801007,IMCD N.V.,"PDT Partners, LLC",0.79,2026-05-22,current
NL0010391025,Pharming Group N.V.,Walleye Capital LLC,0.8,2026-05-22,current
NL0011821392,Signify N.V.,Canada Pension Plan Investment Board,1.0,2026-05-21,current
CH1216478797,DSM-Firmenich AG,Citadel Advisors LLC,0.74,2026-05-21,current
NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.59,2026-05-21,current
CH1216478797,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,1.71,2026-05-21,current
CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,0.6,2026-05-21,current
NL0011821392,Signify N.V.,Marshall Wace LLP,1.58,2026-05-21,current
