isin,position_date,position_holder,issuer_name,net_short_position,source
NL0009739416,2022-05-09,Marshall Wace LLP,PostNL N.V.,2.16,archive
NL0009739416,2022-05-09,Millennium Capital Partners LLP,PostNL N.V.,1.04,archive
NL0009739416,2022-05-09,Millennium International Management LP,PostNL N.V.,0.84,archive
NL0009739416,2022-05-09,"PDT Partners, LLC",PostNL N.V.,0.52,archive
NL0009739416,2022-05-09,Voleon Capital Management LP,PostNL N.V.,1.05,archive
NL0009739416,2022-05-09,"WorldQuant, LLC",PostNL N.V.,0.58,archive
NL0011872650,2022-05-06,CapeView Capital LLP,Basic-Fit N.V.,0.6,archive
NL0000009538,2022-05-06,Citadel Advisors LLC,Koninklijke Philips N.V.,0.87,archive
NL0012866412,2022-05-06,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,0.48,archive
NL0000289213,2022-05-06,Franklin Templeton Investment Management Limited,Wereldhave N.V.,0.76,archive
NL0011794037,2022-05-06,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,0.72,archive
LU0569974404,2022-05-06,Millennium Capital Partners LLP,Aperam S.A.,0.42,archive
NL0009739416,2022-05-06,Millennium Capital Partners LLP,PostNL N.V.,1.53,archive
NL0009739416,2022-05-06,Voleon Capital Management LP,PostNL N.V.,0.93,archive
NL0010801007,2022-05-05,"AQR Capital Management, LLC",IMCD N.V.,0.51,archive
NL0011872650,2022-05-05,CapeView Capital LLP,Basic-Fit N.V.,0.54,archive
NL0000888691,2022-05-05,Citadel Advisors LLC,AMG Critical Materials N.V.,0.55,archive
NL0000009538,2022-05-05,Citadel Advisors LLC,Koninklijke Philips N.V.,0.71,archive
NL0011540547,2022-05-05,Marshall Wace LLP,ABN AMRO Bank NV,0.74,archive
NL0000009538,2022-05-05,Marshall Wace LLP,Koninklijke Philips N.V.,0.7,archive
NL0000888691,2022-05-05,"PDT Partners, LLC",AMG Critical Materials N.V.,0.58,archive
NL0011540547,2022-05-05,Qube Research & Technologies Ltd.,ABN AMRO Bank NV,0.44,archive
NL0013332471,2022-05-05,Qube Research & Technologies Ltd.,TomTom N.V.,0.46,archive
NL0000009538,2022-05-04,Citadel Advisors LLC,Koninklijke Philips N.V.,0.63,archive
NL0011540547,2022-05-04,Marshall Wace LLP,ABN AMRO Bank NV,0.82,archive
LU0569974404,2022-05-04,Millennium Capital Partners LLP,Aperam S.A.,0.58,archive
NL0009739416,2022-05-04,Millennium Capital Partners LLP,PostNL N.V.,1.7,archive
NL00150003E1,2022-05-03,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.49,archive
NL0010391025,2022-05-03,Citadel Advisors LLC,Pharming Group N.V.,0.48,archive
NL0009739416,2022-05-03,Citadel Advisors LLC,PostNL N.V.,0.73,archive
NL0013332471,2022-05-03,Citadel Advisors LLC,TomTom N.V.,0.58,archive
NL0009739416,2022-05-03,Marshall Wace LLP,PostNL N.V.,2.0,archive
FR0013326246,2022-05-03,Marshall Wace LLP,Unibail-Rodamco-Westfield SE,0.8,archive
NL0009739416,2022-05-03,Millennium International Management LP,PostNL N.V.,1.1,archive
NL0009739416,2022-05-03,Voleon Capital Management LP,PostNL N.V.,0.89,archive
NL0011872650,2022-05-02,CapeView Capital LLP,Basic-Fit N.V.,0.44,archive
NL0000009538,2022-05-02,Marshall Wace LLP,Koninklijke Philips N.V.,0.62,archive
NL0009739416,2022-05-02,Marshall Wace LLP,PostNL N.V.,1.95,archive
NL0013332471,2022-05-02,Qube Research & Technologies Ltd.,TomTom N.V.,0.5,archive
NL0011821392,2022-05-02,Sandbar Assets Management LLP,Signify N.V.,1.01,archive
NL0009739416,2022-05-02,Voleon Capital Management LP,PostNL N.V.,0.91,archive
NL0009739416,2022-05-02,"WorldQuant, LLC",PostNL N.V.,0.49,archive
NL0012866412,2022-04-29,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,0.53,archive
NL0011821392,2022-04-29,Sandbar Assets Management LLP,Signify N.V.,0.98,archive
NL0011872650,2022-04-28,CapeView Capital LLP,Basic-Fit N.V.,0.57,archive
NL0010391025,2022-04-28,Citadel Advisors LLC,Pharming Group N.V.,0.5,archive
NL0009739416,2022-04-28,Citadel Advisors LLC,PostNL N.V.,0.67,archive
NL0012866412,2022-04-28,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,0.98,archive
NL0009739416,2022-04-28,HRTEU Limited,PostNL N.V.,0.47,archive
NL0011794037,2022-04-28,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,0.61,archive
LU0569974404,2022-04-28,Millennium Capital Partners LLP,Aperam S.A.,0.6,archive
NL0009739416,2022-04-28,Millennium Capital Partners LLP,PostNL N.V.,1.6,archive
NL0011872650,2022-04-27,CapeView Capital LLP,Basic-Fit N.V.,0.61,archive
NL0009739416,2022-04-27,Citadel Advisors LLC,PostNL N.V.,0.7,archive
NL0009739416,2022-04-27,HRTEU Limited,PostNL N.V.,0.51,archive
NL0009739416,2022-04-27,Marshall Wace LLP,PostNL N.V.,1.8,archive
FR0013326246,2022-04-27,Marshall Wace LLP,Unibail-Rodamco-Westfield SE,0.7,archive
NL0009739416,2022-04-27,Millennium Capital Partners LLP,PostNL N.V.,1.56,archive
NL0009739416,2022-04-27,Millennium International Management LP,PostNL N.V.,1.08,archive
NL0011540547,2022-04-27,Qube Research & Technologies Ltd.,ABN AMRO Bank NV,0.52,archive
LU0569974404,2022-04-26,BlackRock Investment Management (UK) Limited,Aperam S.A.,0.53,archive
NL0012866412,2022-04-26,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,1.01,archive
NL0011540547,2022-04-26,Marshall Wace LLP,ABN AMRO Bank NV,0.99,archive
NL0012817175,2022-04-26,Odey Asset Management LLP,Alfen N.V.,0.58,archive
NL0011821392,2022-04-26,Sandbar Assets Management LLP,Signify N.V.,1.0,archive
NL0012747059,2022-04-25,JPMorgan Asset Management (UK) Ltd.,CM.com N.V.,0.46,archive
NL0011540547,2022-04-25,Marshall Wace LLP,ABN AMRO Bank NV,1.01,archive
NL0009739416,2022-04-25,Marshall Wace LLP,PostNL N.V.,1.71,archive
NL0009739416,2022-04-25,Millennium International Management LP,PostNL N.V.,1.1,archive
NL0000289213,2022-04-25,"Woodson Capital Master Fund, LP",Wereldhave N.V.,3.26,archive
NL0009739416,2022-04-25,"WorldQuant, LLC",PostNL N.V.,0.56,archive
NL0011872650,2022-04-22,CapeView Capital LLP,Basic-Fit N.V.,0.51,archive
NL0000888691,2022-04-22,Capital Fund Management S.A.,AMG Critical Materials N.V.,0.69,archive
NL0012866412,2022-04-22,CQS (UK) LLP,BE Semiconductor Industries N.V.,0.25,archive
NL0011794037,2022-04-22,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,0.51,archive
NL0009739416,2022-04-22,Marshall Wace LLP,PostNL N.V.,1.63,archive
NL0000337319,2022-04-22,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.89,archive
NL0011872650,2022-04-21,Citadel Advisors Europe Limited,Basic-Fit N.V.,1.21,archive
NL0009739416,2022-04-21,Citadel Advisors LLC,PostNL N.V.,0.67,archive
LU2290522684,2022-04-21,Kuvari Partners LLP,InPost S.A.,0.48,archive
NL0011872650,2022-04-20,CapeView Capital LLP,Basic-Fit N.V.,0.47,archive
NL0009739416,2022-04-20,Citadel Advisors LLC,PostNL N.V.,0.59,archive
NL0012817175,2022-04-20,Marshall Wace LLP,Alfen N.V.,0.49,archive
NL0011821392,2022-04-20,Sandbar Assets Management LLP,Signify N.V.,0.96,archive
NL0009739416,2022-04-20,"WorldQuant, LLC",PostNL N.V.,0.64,archive
NL0009739416,2022-04-19,Eleva Capital SAS,PostNL N.V.,0.78,archive
NL0000289213,2022-04-19,Franklin Templeton Investment Management Limited,Wereldhave N.V.,0.6,archive
NL0000009538,2022-04-19,Marshall Wace LLP,Koninklijke Philips N.V.,0.58,archive
NL0009739416,2022-04-19,Marshall Wace LLP,PostNL N.V.,1.58,archive
NL0009739416,2022-04-19,Millennium Capital Partners LLP,PostNL N.V.,1.63,archive
NL0009739416,2022-04-19,Voleon Capital Management LP,PostNL N.V.,0.8,archive
NL0013332471,2022-04-19,"WorldQuant, LLC",TomTom N.V.,0.66,archive
NL0009739416,2022-04-14,Eleva Capital SAS,PostNL N.V.,0.62,archive
NL0009739416,2022-04-14,Voleon Capital Management LP,PostNL N.V.,0.74,archive
NL0009739416,2022-04-14,"WorldQuant, LLC",PostNL N.V.,0.72,archive
NL0013332471,2022-04-14,"WorldQuant, LLC",TomTom N.V.,0.58,archive
NL0009739416,2022-04-13,Citadel Advisors LLC,PostNL N.V.,0.69,archive
NL0013332471,2022-04-13,Citadel Advisors LLC,TomTom N.V.,0.64,archive
NL0009739416,2022-04-13,Marshall Wace LLP,PostNL N.V.,1.63,archive
NL0009739416,2022-04-13,Millennium Capital Partners LLP,PostNL N.V.,1.54,archive
NL0009739416,2022-04-13,Voleon Capital Management LP,PostNL N.V.,0.68,archive
NL0009739416,2022-04-13,"WorldQuant, LLC",PostNL N.V.,0.5,archive
NL0012817175,2022-04-12,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,1.1,archive
NL0011872650,2022-04-12,CapeView Capital LLP,Basic-Fit N.V.,0.54,archive
LU0569974404,2022-04-12,Millennium Capital Partners LLP,Aperam S.A.,0.59,archive
NL0010391025,2022-04-12,Pictet Asset Management Limited,Pharming Group N.V.,0.58,archive
LU2290522684,2022-04-11,Citadel Advisors Europe Limited,InPost S.A.,0.42,archive
NL0009739416,2022-04-11,Millennium International Management LP,PostNL N.V.,1.02,archive
NL0010391025,2022-04-11,Pictet Asset Management Limited,Pharming Group N.V.,0.64,archive
NL0009739416,2022-04-11,Voleon Capital Management LP,PostNL N.V.,0.53,archive
NL0000888691,2022-04-08,Capital Fund Management S.A.,AMG Critical Materials N.V.,0.75,archive
NL0011821392,2022-04-08,Sandbar Assets Management LLP,Signify N.V.,1.0,archive
NL0000337319,2022-04-08,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.92,archive
NL0010391025,2022-04-07,Citadel Advisors LLC,Pharming Group N.V.,0.48,archive
NL0009739416,2022-04-07,Citadel Advisors LLC,PostNL N.V.,0.59,archive
LU2290522684,2022-04-07,Marshall Wace LLP,InPost S.A.,0.49,archive
NL0009739416,2022-04-07,Millennium Capital Partners LLP,PostNL N.V.,1.72,archive
NL0009739416,2022-04-07,Millennium International Management LP,PostNL N.V.,0.93,archive
NL0010391025,2022-04-07,Pictet Asset Management Limited,Pharming Group N.V.,0.79,archive
NL00150003E1,2022-04-06,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.58,archive
NL0009739416,2022-04-06,Citadel Advisors LLC,PostNL N.V.,0.6,archive
NL0012866412,2022-04-06,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,1.29,archive
NL0009739416,2022-04-06,Marshall Wace LLP,PostNL N.V.,1.54,archive
FR0013326246,2022-04-06,Marshall Wace LLP,Unibail-Rodamco-Westfield SE,0.62,archive
NL0009739416,2022-04-06,Millennium Capital Partners LLP,PostNL N.V.,1.69,archive
NL0009739416,2022-04-06,Millennium International Management LP,PostNL N.V.,0.78,archive
NL0010391025,2022-04-06,Pictet Asset Management Limited,Pharming Group N.V.,0.86,archive
NL0000337319,2022-04-06,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.8,archive
NL00150003E1,2022-04-05,BlackRock Investment Management (UK) Limited,Fugro N.V.,1.42,archive
NL0011872650,2022-04-05,CapeView Capital LLP,Basic-Fit N.V.,0.68,archive
NL0011540547,2022-04-05,Marshall Wace LLP,ABN AMRO Bank NV,0.9,archive
BE0003818359,2022-04-05,Marshall Wace LLP,Lakefront Biotherapeutics NV,0.47,archive
NL0009739416,2022-04-05,Marshall Wace LLP,PostNL N.V.,1.41,archive
NL0009739416,2022-04-05,Millennium Capital Partners LLP,PostNL N.V.,0.93,archive
NL0009739416,2022-04-05,Millennium International Management LP,PostNL N.V.,0.58,archive
NL0010391025,2022-04-05,Pictet Asset Management Limited,Pharming Group N.V.,0.94,archive
NL0011821392,2022-04-05,Sandbar Assets Management LLP,Signify N.V.,0.96,archive
NL0009739416,2022-04-04,Citadel Advisors LLC,PostNL N.V.,0.57,archive
LU2290522684,2022-04-04,Marshall Wace LLP,InPost S.A.,0.5,archive
NL0009739416,2022-04-04,Millennium Capital Partners LLP,PostNL N.V.,0.84,archive
NL0011821392,2022-04-04,Sandbar Assets Management LLP,Signify N.V.,0.85,archive
NL0012817175,2022-04-04,Voleon Capital Management LP,Alfen N.V.,0.48,archive
NL0000337319,2022-04-04,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.73,archive
NL0013332471,2022-04-04,"WorldQuant, LLC",TomTom N.V.,0.49,archive
BE0003818359,2022-04-01,AHL Partners LLP,Lakefront Biotherapeutics NV,0.69,archive
NL00150003E1,2022-04-01,BlackRock Investment Management (UK) Limited,Fugro N.V.,1.56,archive
NL0012866412,2022-04-01,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.48,archive
NL0012747059,2022-04-01,JPMorgan Asset Management (UK) Ltd.,CM.com N.V.,0.5,archive
LU2290522684,2022-03-31,Citadel Advisors Europe Limited,InPost S.A.,0.55,archive
NL0013332471,2022-03-31,Citadel Advisors LLC,TomTom N.V.,0.5,archive
NL0012866412,2022-03-31,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,1.32,archive
LU2290522684,2022-03-31,Kuvari Partners LLP,InPost S.A.,0.55,archive
NL0011821392,2022-03-31,Sandbar Assets Management LLP,Signify N.V.,0.72,archive
NL0009739416,2022-03-30,Citadel Advisors LLC,PostNL N.V.,0.62,archive
NL0012866412,2022-03-30,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.58,archive
NL0012817175,2022-03-30,Marshall Wace LLP,Alfen N.V.,0.57,archive
BE0003818359,2022-03-30,Marshall Wace LLP,Lakefront Biotherapeutics NV,0.58,archive
NL0009739416,2022-03-30,Millennium Capital Partners LLP,PostNL N.V.,0.72,archive
LU2290522684,2022-03-29,Citadel Advisors Europe Limited,InPost S.A.,0.61,archive
NL0010391025,2022-03-29,Citadel Advisors LLC,Pharming Group N.V.,0.5,archive
NL0012866412,2022-03-29,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.6,archive
NL0012817175,2022-03-29,Marshall Wace LLP,Alfen N.V.,0.63,archive
LU2290522684,2022-03-29,Marshall Wace LLP,InPost S.A.,0.49,archive
NL0011279492,2022-03-29,"WorldQuant, LLC",Flow Traders Ltd.,0.46,archive
NL0013332471,2022-03-29,"WorldQuant, LLC",TomTom N.V.,0.58,archive
LU2290522684,2022-03-28,Citadel Advisors Europe Limited,InPost S.A.,0.59,archive
NL0010391025,2022-03-28,Citadel Advisors LLC,Pharming Group N.V.,0.49,archive
LU2290522684,2022-03-28,Marshall Wace LLP,InPost S.A.,0.53,archive
NL0000009538,2022-03-28,Marshall Wace LLP,Koninklijke Philips N.V.,0.61,archive
NL0009739416,2022-03-28,Marshall Wace LLP,PostNL N.V.,1.37,archive
FR0013326246,2022-03-28,Marshall Wace LLP,Unibail-Rodamco-Westfield SE,0.5,archive
NL0000289213,2022-03-28,"Woodson Capital Master Fund, LP",Wereldhave N.V.,3.39,archive
NL0012817175,2022-03-25,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,1.0,archive
NL0011872650,2022-03-25,Citadel Advisors Europe Limited,Basic-Fit N.V.,1.17,archive
NL0012817175,2022-03-25,Marshall Wace LLP,Alfen N.V.,0.76,archive
NL0012817175,2022-03-25,Voleon Capital Management LP,Alfen N.V.,0.58,archive
NL0011279492,2022-03-25,"WorldQuant, LLC",Flow Traders Ltd.,0.58,archive
NL0000337319,2022-03-25,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.61,archive
NL0000337319,2022-03-24,Citadel Advisors LLC,Koninklijke BAM Groep N.V.,0.31,archive
NL0012817175,2022-03-24,Marshall Wace LLP,Alfen N.V.,0.87,archive
LU0569974404,2022-03-24,Millennium Capital Partners LLP,Aperam S.A.,0.69,archive
NL0013332471,2022-03-24,"WorldQuant, LLC",TomTom N.V.,0.69,archive
BE0003818359,2022-03-23,"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,0.49,archive
NL0011872650,2022-03-23,Canada Pension Plan Investment Board,Basic-Fit N.V.,0.44,archive
NL0000337319,2022-03-23,Citadel Advisors LLC,Koninklijke BAM Groep N.V.,0.5,archive
NL0000289213,2022-03-23,Franklin Templeton Investment Management Limited,Wereldhave N.V.,0.53,archive
NL0012747059,2022-03-23,Highbridge Capital Management LLC,CM.com N.V.,0.84,archive
LU2290522684,2022-03-23,Marshall Wace LLP,InPost S.A.,0.6,archive
NL0009739416,2022-03-23,Marshall Wace LLP,PostNL N.V.,1.48,archive
LU0569974404,2022-03-23,Millennium Capital Partners LLP,Aperam S.A.,0.79,archive
NL0010391025,2022-03-23,Pictet Asset Management Limited,Pharming Group N.V.,1.06,archive
NL0011279492,2022-03-23,"WorldQuant, LLC",Flow Traders Ltd.,0.67,archive
NL0011872650,2022-03-22,CapeView Capital LLP,Basic-Fit N.V.,0.71,archive
NL0011872650,2022-03-22,Citadel Advisors Europe Limited,Basic-Fit N.V.,1.23,archive
NL0012866412,2022-03-22,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,1.2,archive
NL0013332471,2022-03-22,Marshall Wace LLP,TomTom N.V.,0.49,archive
NL0000289213,2022-03-22,"Woodson Capital Master Fund, LP",Wereldhave N.V.,3.47,archive
NL0010391025,2022-03-21,Citadel Advisors LLC,Pharming Group N.V.,0.52,archive
NL0011540547,2022-03-21,Marshall Wace LLP,ABN AMRO Bank NV,0.8,archive
NL0009739416,2022-03-21,Millennium Capital Partners LLP,PostNL N.V.,0.61,archive
NL0011872650,2022-03-18,Canada Pension Plan Investment Board,Basic-Fit N.V.,0.59,archive
LU2290522684,2022-03-18,Kuvari Partners LLP,InPost S.A.,0.42,archive
LU0569974404,2022-03-18,Millennium International Management LP,Aperam S.A.,0.42,archive
NL0009739416,2022-03-18,Millennium International Management LP,PostNL N.V.,0.32,archive
NL0012817175,2022-03-18,Voleon Capital Management LP,Alfen N.V.,0.69,archive
NL0011279492,2022-03-18,"WorldQuant, LLC",Flow Traders Ltd.,0.79,archive
NL0000337319,2022-03-18,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.79,archive
NL0011540547,2022-03-17,Marshall Wace LLP,ABN AMRO Bank NV,0.79,archive
LU2290522684,2022-03-17,Marshall Wace LLP,InPost S.A.,0.52,archive
LU0569974404,2022-03-17,Millennium International Management LP,Aperam S.A.,0.82,archive
NL0010391025,2022-03-17,Pictet Asset Management Limited,Pharming Group N.V.,1.19,archive
NL0011821392,2022-03-17,Sandbar Assets Management LLP,Signify N.V.,0.61,archive
NL0000888691,2022-03-17,Systematica Investments Limited,AMG Critical Materials N.V.,0.78,archive
NL0011279492,2022-03-17,"WorldQuant, LLC",Flow Traders Ltd.,0.84,archive
NL0010801007,2022-03-16,"AQR Capital Management, LLC",IMCD N.V.,0.49,archive
BE0003818359,2022-03-16,"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,0.5,archive
NL0011872650,2022-03-16,CapeView Capital LLP,Basic-Fit N.V.,0.69,archive
NL0000337319,2022-03-16,Citadel Advisors LLC,Koninklijke BAM Groep N.V.,0.47,archive
NL0011540547,2022-03-16,Marshall Wace LLP,ABN AMRO Bank NV,0.81,archive
NL0000009538,2022-03-16,Marshall Wace LLP,Koninklijke Philips N.V.,0.51,archive
LU0569974404,2022-03-16,Millennium Capital Partners LLP,Aperam S.A.,0.89,archive
NL0012817175,2022-03-16,Rye Bay Capital LLP,Alfen N.V.,0.68,archive
NL0011540547,2022-03-16,"WorldQuant, LLC",ABN AMRO Bank NV,0.48,archive
NL0011872650,2022-03-15,Canada Pension Plan Investment Board,Basic-Fit N.V.,0.68,archive
NL0011872650,2022-03-15,CapeView Capital LLP,Basic-Fit N.V.,0.7,archive
NL0011872650,2022-03-15,Citadel Advisors Europe Limited,Basic-Fit N.V.,1.12,archive
NL0000337319,2022-03-15,Citadel Advisors LLC,Koninklijke BAM Groep N.V.,0.53,archive
NL0012866412,2022-03-15,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.51,archive
FR0013326246,2022-03-15,Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,0.5,archive
LU0569974404,2022-03-15,Millennium Capital Partners LLP,Aperam S.A.,0.94,archive
LU0569974404,2022-03-15,Millennium International Management LP,Aperam S.A.,0.7,archive
NL0009739416,2022-03-15,Millennium International Management LP,PostNL N.V.,0.5,archive
NL0011279492,2022-03-15,"WorldQuant, LLC",Flow Traders Ltd.,0.97,archive
LU0569974404,2022-03-14,Millennium International Management LP,Aperam S.A.,0.66,archive
NL0011279492,2022-03-14,"WorldQuant, LLC",Flow Traders Ltd.,1.02,archive
NL0000337319,2022-03-14,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.85,archive
NL0012817175,2022-03-11,AllianceBernstein L.P.,Alfen N.V.,0.47,archive
NL0011540547,2022-03-11,Marshall Wace LLP,ABN AMRO Bank NV,0.72,archive
NL0012817175,2022-03-11,Marshall Wace LLP,Alfen N.V.,0.98,archive
NL0009739416,2022-03-11,Marshall Wace LLP,PostNL N.V.,1.57,archive
LU0569974404,2022-03-11,Millennium Capital Partners LLP,Aperam S.A.,1.06,archive
LU0569974404,2022-03-11,Millennium International Management LP,Aperam S.A.,0.59,archive
NL0011540547,2022-03-11,"WorldQuant, LLC",ABN AMRO Bank NV,0.51,archive
NL0011279492,2022-03-11,"WorldQuant, LLC",Flow Traders Ltd.,1.12,archive
NL0000337319,2022-03-11,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.78,archive
NL0000888691,2022-03-10,Capital Fund Management S.A.,AMG Critical Materials N.V.,0.87,archive
NL0011872650,2022-03-10,Citadel Advisors Europe Limited,Basic-Fit N.V.,1.09,archive
NL0012866412,2022-03-10,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.49,archive
LU0569974404,2022-03-10,Millennium Capital Partners LLP,Aperam S.A.,1.2,archive
LU0569974404,2022-03-10,Millennium International Management LP,Aperam S.A.,0.61,archive
NL0000888691,2022-03-09,Capital Fund Management S.A.,AMG Critical Materials N.V.,0.92,archive
NL0011540547,2022-03-09,Marshall Wace LLP,ABN AMRO Bank NV,0.68,archive
NL0012817175,2022-03-08,AllianceBernstein L.P.,Alfen N.V.,0.53,archive
NL0000289213,2022-03-08,Franklin Templeton Investment Management Limited,Wereldhave N.V.,0.65,archive
LU2290522684,2022-03-08,Kuvari Partners LLP,InPost S.A.,0.53,archive
NL0012817175,2022-03-08,Marshall Wace LLP,Alfen N.V.,1.0,archive
NL0012817175,2022-03-08,Millennium Capital Partners LLP,Alfen N.V.,0.42,archive
LU0569974404,2022-03-08,Millennium Capital Partners LLP,Aperam S.A.,1.15,archive
NL0009739416,2022-03-08,Millennium Capital Partners LLP,PostNL N.V.,0.52,archive
NL0015000CZ2,2022-03-08,Otus Capital Management Ltd.,Ebusco Holding N.V.,0.48,archive
NL0012817175,2022-03-08,Voleon Capital Management LP,Alfen N.V.,0.79,archive
NL0012747059,2022-03-07,Highbridge Capital Management LLC,CM.com N.V.,0.78,archive
NL0011540547,2022-03-07,Marshall Wace LLP,ABN AMRO Bank NV,0.75,archive
NL0009739416,2022-03-07,Marshall Wace LLP,PostNL N.V.,1.6,archive
NL0012817175,2022-03-07,Millennium Capital Partners LLP,Alfen N.V.,0.51,archive
NL0009739416,2022-03-07,Millennium Capital Partners LLP,PostNL N.V.,0.48,archive
NL0000337319,2022-03-07,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.65,archive
NL0011872650,2022-03-04,Citadel Advisors Europe Limited,Basic-Fit N.V.,1.17,archive
NL0011540547,2022-03-04,Marshall Wace LLP,ABN AMRO Bank NV,0.87,archive
NL0012817175,2022-03-04,Marshall Wace LLP,Alfen N.V.,0.93,archive
BE0003818359,2022-03-04,Marshall Wace LLP,Lakefront Biotherapeutics NV,0.69,archive
NL0012817175,2022-03-04,Millennium Capital Partners LLP,Alfen N.V.,0.62,archive
LU0569974404,2022-03-04,Millennium Capital Partners LLP,Aperam S.A.,1.04,archive
LU0569974404,2022-03-04,Millennium International Management LP,Aperam S.A.,0.56,archive
NL0012866412,2022-03-04,"Point72 Europe (London), LLP",BE Semiconductor Industries N.V.,0.46,archive
NL0012866412,2022-03-04,Renaissance Technologies LLC,BE Semiconductor Industries N.V.,0.49,archive
NL0011821392,2022-03-04,Sandbar Assets Management LLP,Signify N.V.,0.53,archive
NL0012817175,2022-03-04,Voleon Capital Management LP,Alfen N.V.,0.86,archive
NL0009739416,2022-03-04,"WorldQuant, LLC",PostNL N.V.,0.4,archive
NL0000289213,2022-03-03,Adelphi Capital LLP,Wereldhave N.V.,0.4,archive
NL0012817175,2022-03-03,AllianceBernstein L.P.,Alfen N.V.,0.61,archive
NL0010801007,2022-03-03,"AQR Capital Management, LLC",IMCD N.V.,0.5,archive
NL0012817175,2022-03-03,Marshall Wace LLP,Alfen N.V.,0.8,archive
NL0012817175,2022-03-03,Millennium Capital Partners LLP,Alfen N.V.,0.71,archive
LU0569974404,2022-03-03,Millennium Capital Partners LLP,Aperam S.A.,0.96,archive
NL0012866412,2022-03-03,Renaissance Technologies LLC,BE Semiconductor Industries N.V.,0.5,archive
NL0012817175,2022-03-03,Voleon Capital Management LP,Alfen N.V.,0.9,archive
NL0011279492,2022-03-03,"WorldQuant, LLC",Flow Traders Ltd.,1.2,archive
NL0000337319,2022-03-03,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.53,archive
NL0009739416,2022-03-03,"WorldQuant, LLC",PostNL N.V.,0.51,archive
NL0000289213,2022-03-02,Adelphi Capital LLP,Wereldhave N.V.,0.67,archive
NL0012817175,2022-03-02,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,0.98,archive
NL0000337319,2022-03-02,Citadel Advisors LLC,Koninklijke BAM Groep N.V.,0.49,archive
NL0000289213,2022-03-02,Franklin Templeton Investment Management Limited,Wereldhave N.V.,0.5,archive
NL0011540547,2022-03-02,Marshall Wace LLP,ABN AMRO Bank NV,0.95,archive
NL0012866412,2022-03-02,"Point72 Europe (London), LLP",BE Semiconductor Industries N.V.,0.69,archive
NL0012817175,2022-03-02,Voleon Capital Management LP,Alfen N.V.,0.89,archive
NL0000289213,2022-03-02,"Woodson Capital Master Fund, LP",Wereldhave N.V.,3.77,archive
NL0012817175,2022-03-01,"BlackRock Institutional Trust Company, National Association",Alfen N.V.,0.47,archive
NL0011872650,2022-03-01,CapeView Capital LLP,Basic-Fit N.V.,0.64,archive
NL0009739416,2022-03-01,Marshall Wace LLP,PostNL N.V.,1.59,archive
NL0012817175,2022-03-01,Millennium Capital Partners LLP,Alfen N.V.,0.67,archive
NL0009739416,2022-03-01,Millennium Capital Partners LLP,PostNL N.V.,0.53,archive
NL0009739416,2022-03-01,Millennium International Management LP,PostNL N.V.,0.49,archive
NL0012866412,2022-03-01,"Point72 Europe (London), LLP",BE Semiconductor Industries N.V.,0.78,archive
NL0000888691,2022-02-28,Capital Fund Management S.A.,AMG Critical Materials N.V.,0.89,archive
NL0011872650,2022-02-28,Citadel Advisors Europe Limited,Basic-Fit N.V.,1.21,archive
NL0011279492,2022-02-28,"D. E. Shaw & Co., L.P.",Flow Traders Ltd.,0.48,archive
LU2290522684,2022-02-28,Kuvari Partners LLP,InPost S.A.,0.27,archive
NL0011540547,2022-02-28,Marshall Wace LLP,ABN AMRO Bank NV,1.06,archive
