isin,position_date,position_holder,issuer_name,net_short_position,source
NL0012969182,2026-06-04,"AQR Capital Management, LLC",Adyen N.V.,1.07,current
NL0013267909,2026-06-04,"BlackRock Advisors, LLC",Akzo Nobel N.V.,0.65,current
NL0010391025,2026-06-04,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,0.7,current
NL0013267909,2026-06-04,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.17,current
NL0013267909,2026-06-04,LMR Partners LLP,Akzo Nobel N.V.,0.91,current
NL0011821392,2026-06-04,Squarepoint Ops LLC,Signify N.V.,0.62,current
JE00BRX98089,2026-06-03,"AQR Capital Management, LLC",CVC Capital Partners plc,0.69,current
NL0012969182,2026-06-03,Capital Fund Management S.A.,Adyen N.V.,0.52,current
NL0013267909,2026-06-03,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.02,current
NL0013267909,2026-06-03,LMR Partners LLP,Akzo Nobel N.V.,0.83,current
CH1216478797,2026-06-03,Marshall Wace LLP,DSM-Firmenich AG,0.91,current
NL0015002MS2,2026-06-03,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.81,current
NL0010391025,2026-06-03,Whitebox Advisors LLC,Pharming Group N.V.,0.58,current
NL0010391025,2026-06-02,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,0.62,current
NL00150003E1,2026-06-02,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2.2,current
NL0011872650,2026-06-02,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.79,current
NL0010391025,2026-06-02,Walleye Capital LLC,Pharming Group N.V.,1.02,current
NL0012365084,2026-06-01,Numeric Investors LLC,NSI N.V.,0.81,current
NL0000852564,2026-05-29,"AQR Capital Management, LLC",Aalberts N.V.,0.59,current
NL0010801007,2026-05-29,"BlackRock Financial Management, Inc.",IMCD N.V.,0.69,current
NL0011821392,2026-05-29,"BlackRock Financial Management, Inc.",Signify N.V.,0.83,current
NL0011821392,2026-05-29,Citadel Advisors Europe Limited,Signify N.V.,1.0,current
NL0013267909,2026-05-29,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,0.58,current
CH1216478797,2026-05-29,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,1.85,current
CH1216478797,2026-05-29,Marshall Wace LLP,DSM-Firmenich AG,0.85,current
NL0011821392,2026-05-29,"PDT Partners, LLC",Signify N.V.,1.11,current
NL0015002MS2,2026-05-29,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.83,current
NL0011821392,2026-05-29,Squarepoint Ops LLC,Signify N.V.,0.5,current
NL0010391025,2026-05-29,"Two Sigma Investments, LP",Pharming Group N.V.,1.09,current
NL0012969182,2026-05-28,"AQR Capital Management, LLC",Adyen N.V.,1.18,current
NL0013267909,2026-05-28,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,0.66,current
NL0011872650,2026-05-28,Linden Advisors LP,Basic-Fit N.V.,0.87,current
LU2290522684,2026-05-28,"Two Sigma Investments, LP",InPost S.A.,1.18,current
NL0010391025,2026-05-28,Walleye Capital LLC,Pharming Group N.V.,0.92,current
NL0013267909,2026-05-27,"AQR Capital Management, LLC",Akzo Nobel N.V.,0.6,current
NL0000289213,2026-05-27,Citadel Advisors LLC,Wereldhave N.V.,0.91,current
NL0010391025,2026-05-27,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,0.58,current
NL0013267909,2026-05-27,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.01,current
NL0010801007,2026-05-27,Marshall Wace LLP,IMCD N.V.,0.65,current
NL0012365084,2026-05-27,Numeric Investors LLC,NSI N.V.,0.79,current
NL0015002MS2,2026-05-27,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.78,current
NL0011821392,2026-05-26,"AQR Capital Management, LLC",Signify N.V.,1.18,current
NL0010801007,2026-05-26,"Arrowstreet Capital, Limited Partnership",IMCD N.V.,1.3,current
NL0010801007,2026-05-26,Capital Fund Management S.A.,IMCD N.V.,0.8,current
CH1216478797,2026-05-26,Citadel Advisors LLC,DSM-Firmenich AG,0.91,current
NL0010391025,2026-05-26,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,0.61,current
NL0009739416,2026-05-26,Marshall Wace LLP,PostNL N.V.,0.75,current
NL0011821392,2026-05-26,Marshall Wace LLP,Signify N.V.,1.6,current
NL0015002MS2,2026-05-26,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.8,current
NL0010391025,2026-05-25,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,0.58,current
NL0010801007,2026-05-25,"PDT Partners, LLC",IMCD N.V.,0.8,current
NL0011872650,2026-05-25,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.8,current
NL00150003E1,2026-05-22,"Algert Global, LLC",Fugro N.V.,0.53,current
NL0011821392,2026-05-22,Citadel Advisors Europe Limited,Signify N.V.,0.98,current
CH1216478797,2026-05-22,Citadel Advisors LLC,DSM-Firmenich AG,0.86,current
NL0011821392,2026-05-22,Citadel Advisors LLC,Signify N.V.,1.6,current
NL0010391025,2026-05-22,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,0.61,current
CH1216478797,2026-05-22,Marshall Wace LLP,DSM-Firmenich AG,0.78,current
NL0010801007,2026-05-22,"PDT Partners, LLC",IMCD N.V.,0.79,current
NL0010391025,2026-05-22,Walleye Capital LLC,Pharming Group N.V.,0.8,current
NL0011821392,2026-05-21,Canada Pension Plan Investment Board,Signify N.V.,1.0,current
CH1216478797,2026-05-21,Citadel Advisors LLC,DSM-Firmenich AG,0.74,current
NL0010391025,2026-05-21,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,0.59,current
CH1216478797,2026-05-21,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,1.71,current
CH1216478797,2026-05-21,Marshall Wace LLP,DSM-Firmenich AG,0.6,current
NL0011821392,2026-05-21,Marshall Wace LLP,Signify N.V.,1.58,current
NL0010391025,2026-05-21,"Two Sigma Investments, LP",Pharming Group N.V.,0.99,current
LU2290522684,2026-05-20,"Two Sigma Investments, LP",InPost S.A.,1.29,current
NL0010391025,2026-05-20,"Two Sigma Investments, LP",Pharming Group N.V.,1.0,current
NL0010391025,2026-05-19,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,0.6,current
NL0011872650,2026-05-19,Linden Advisors LP,Basic-Fit N.V.,0.9,current
NL0011821392,2026-05-19,"PDT Partners, LLC",Signify N.V.,1.0,current
NL0010801007,2026-05-19,"Two Sigma Investments, LP",IMCD N.V.,0.68,current
NL0006237562,2026-05-18,"AQR Capital Management, LLC",ARCADIS N.V.,0.99,current
CH1216478797,2026-05-18,Citadel Advisors LLC,DSM-Firmenich AG,0.62,current
NL0011821392,2026-05-18,Citadel Advisors LLC,Signify N.V.,1.59,current
NL0015002MS2,2026-05-18,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.73,current
NL0010801007,2026-05-15,"BlackRock Financial Management, Inc.",IMCD N.V.,0.79,current
NL0000289213,2026-05-15,Citadel Advisors LLC,Wereldhave N.V.,0.82,current
NL0000395903,2026-05-15,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,0.68,current
NL0015002MS2,2026-05-15,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.68,current
NL0015002MS2,2026-05-15,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.71,current
BMG3602E1084,2026-05-14,Capital Fund Management S.A.,Flow Traders Ltd.,0.51,current
NL0010801007,2026-05-14,Capital Fund Management S.A.,IMCD N.V.,0.78,current
NL0011872650,2026-05-14,"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.89,current
NL0010801007,2026-05-14,"PDT Partners, LLC",IMCD N.V.,0.8,current
NL0011872650,2026-05-14,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.77,current
NL0010801007,2026-05-13,Capital Fund Management S.A.,IMCD N.V.,0.8,current
NL0011821392,2026-05-13,Citadel Advisors LLC,Signify N.V.,1.61,current
