issuer_name,position_date,net_short_position,position_holder,isin,source
PostNL N.V.,2026-04-14,0.5,"PDT Partners, LLC",NL0009739416,current
Alfen N.V.,2026-04-14,2.84,"WorldQuant, LLC",NL0012817175,current
Adyen N.V.,2026-04-13,1.21,"AQR Capital Management, LLC",NL0012969182,current
ARCADIS N.V.,2026-04-13,1.01,"AQR Capital Management, LLC",NL0006237562,current
CVC Capital Partners plc,2026-04-13,0.71,"AQR Capital Management, LLC",JE00BRX98089,current
Signify N.V.,2026-04-13,1.2,Citadel Advisors Europe Limited,NL0011821392,current
Sligro Food Group N.V.,2026-04-13,0.61,Citadel Advisors LLC,NL0000817179,current
IMCD N.V.,2026-04-13,0.89,"PDT Partners, LLC",NL0010801007,current
The Magnum Ice Cream Company N.V.,2026-04-13,0.5,Walleye Capital LLC,NL0015002MS2,current
ArcelorMittal S.A.,2026-04-10,0.58,"AQR Capital Management, LLC",LU1598757687,current
Alfen N.V.,2026-04-10,0.89,"D. E. Shaw & Co., L.P.",NL0012817175,current
Wolters Kluwer N.V.,2026-04-10,0.8,"D. E. Shaw & Co., L.P.",NL0000395903,current
The Magnum Ice Cream Company N.V.,2026-04-10,1.38,Marshall Wace LLP,NL0015002MS2,current
IMCD N.V.,2026-04-10,0.9,"PDT Partners, LLC",NL0010801007,current
Theon International Plc,2026-04-10,1.22,Qube Research & Technologies Ltd.,CY0200751713,current
Adyen N.V.,2026-04-09,1.13,"AQR Capital Management, LLC",NL0012969182,current
IMCD N.V.,2026-04-09,0.51,"AQR Capital Management, LLC",NL0010801007,current
Signify N.V.,2026-04-09,1.19,Citadel Advisors Europe Limited,NL0011821392,current
Signify N.V.,2026-04-09,2.42,Citadel Advisors LLC,NL0011821392,current
DSM-Firmenich AG,2026-04-09,1.0,Ilex Capital Partners (UK) LLP,CH1216478797,current
NSI N.V.,2026-04-09,0.71,Numeric Investors LLC,NL0012365084,current
IMCD N.V.,2026-04-09,0.89,"PDT Partners, LLC",NL0010801007,current
Aalberts N.V.,2026-04-08,0.61,"AQR Capital Management, LLC",NL0000852564,current
Signify N.V.,2026-04-08,1.22,"AQR Capital Management, LLC",NL0011821392,current
Signify N.V.,2026-04-08,2.39,Citadel Advisors LLC,NL0011821392,current
