issuer_name,position_date,isin,net_short_position,position_holder,source
Pharming Group N.V.,2019-07-02,NL0010391025,0.79,TT International,archive
PostNL N.V.,2019-07-02,NL0009739416,0.53,Voleon Capital Management LP,archive
Fugro N.V.,2019-07-02,NL0000352565,0.99,"WorldQuant, LLC",archive
Wereldhave N.V.,2019-07-01,NL0000289213,0.69,"D. E. Shaw & Co., L.P.",archive
Signify N.V.,2019-07-01,NL0011821392,1.58,ENA Investment Capital LLP,archive
ARCADIS N.V.,2019-07-01,NL0006237562,0.37,Engadine Partners LLP,archive
Fugro N.V.,2019-07-01,NL0000352565,1.49,HBK Investments LP,archive
BE Semiconductor Industries N.V.,2019-07-01,NL0012866412,1.82,Marshall Wace LLP,archive
Flow Traders Ltd.,2019-07-01,NL0011279492,0.48,Marshall Wace LLP,archive
TomTom N.V.,2019-07-01,NL0013332471,0.59,Marshall Wace LLP,archive
AMG Critical Materials N.V.,2019-07-01,NL0000888691,1.23,Millennium International Management LP,archive
Signify N.V.,2019-07-01,NL0011821392,0.82,Millennium International Management LP,archive
Flow Traders Ltd.,2019-07-01,NL0011279492,0.75,"Philadelphia Financial Management of San Francisco, LLC",archive
PostNL N.V.,2019-07-01,NL0009739416,0.63,Systematica Investments Limited,archive
Wereldhave N.V.,2019-07-01,NL0000289213,0.46,Wellington Management Company LLP,archive
BE Semiconductor Industries N.V.,2019-07-01,NL0012866412,0.69,"WorldQuant, LLC",archive
PostNL N.V.,2019-06-28,NL0009739416,1.68,Capital Fund Management S.A.,archive
Signify N.V.,2019-06-28,NL0011821392,1.74,ENA Investment Capital LLP,archive
BE Semiconductor Industries N.V.,2019-06-28,NL0012866412,1.74,Marshall Wace LLP,archive
Signify N.V.,2019-06-28,NL0011821392,0.79,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,2019-06-28,NL0012866412,3.18,Scopia Capital Management LP,archive
Koninklijke Heijmans N.V.,2019-06-28,NL0009269109,0.59,Voleon Capital Management LP,archive
PostNL N.V.,2019-06-27,NL0009739416,1.96,AHL Partners LLP,archive
Fugro N.V.,2019-06-27,NL0000352565,1.22,"BlackRock Institutional Trust Company, National Association",archive
Wereldhave N.V.,2019-06-27,NL0000289213,1.1,"Connor, Clark & Lunn Investment Management Ltd.",archive
Flow Traders Ltd.,2019-06-27,NL0011279492,0.5,Marshall Wace LLP,archive
Fugro N.V.,2019-06-27,NL0000352565,3.57,Marshall Wace LLP,archive
Galapagos NV,2019-06-27,BE0003818359,1.0,Marshall Wace LLP,archive
Wereldhave N.V.,2019-06-27,NL0000289213,1.71,Marshall Wace LLP,archive
AMG Critical Materials N.V.,2019-06-27,NL0000888691,1.19,Millennium International Management LP,archive
Signify N.V.,2019-06-27,NL0011821392,0.8,Millennium International Management LP,archive
AMG Critical Materials N.V.,2019-06-27,NL0000888691,0.42,Numeric Investors LLC,archive
Pharming Group N.V.,2019-06-27,NL0010391025,1.21,Pictet Asset Management Limited,archive
BE Semiconductor Industries N.V.,2019-06-27,NL0012866412,3.25,Scopia Capital Management LP,archive
Fugro N.V.,2019-06-27,NL0000352565,1.79,Sculptor Capital Management Europe Limited,archive
PostNL N.V.,2019-06-27,NL0009739416,0.49,Voleon Capital Management LP,archive
AMG Critical Materials N.V.,2019-06-27,NL0000888691,0.8,"WorldQuant, LLC",archive
Koninklijke Vopak N.V.,2019-06-26,NL0009432491,0.5,"BlackRock Institutional Trust Company, National Association",archive
Signify N.V.,2019-06-26,NL0011821392,1.51,ENA Investment Capital LLP,archive
Fugro N.V.,2019-06-26,NL0000352565,1.52,HBK Investments LP,archive
AMG Critical Materials N.V.,2019-06-26,NL0000888691,1.2,Millennium International Management LP,archive
Wereldhave N.V.,2019-06-26,NL0000289213,1.1,Millennium International Management LP,archive
AMG Critical Materials N.V.,2019-06-26,NL0000888691,0.78,"PDT Partners, LLC",archive
Fugro N.V.,2019-06-26,NL0000352565,0.66,Systematica Investments Limited,archive
Wereldhave N.V.,2019-06-26,NL0000289213,0.79,Wellington Management Company LLP,archive
PostNL N.V.,2019-06-25,NL0009739416,2.02,AHL Partners LLP,archive
PostNL N.V.,2019-06-25,NL0009739416,0.9,"Connor, Clark & Lunn Investment Management Ltd.",archive
Fugro N.V.,2019-06-25,NL0000352565,1.6,HBK Investments LP,archive
PostNL N.V.,2019-06-25,NL0009739416,4.6,Marshall Wace LLP,archive
TomTom N.V.,2019-06-25,NL0013332471,0.61,Marshall Wace LLP,archive
Signify N.V.,2019-06-25,NL0011821392,0.54,Millennium Capital Partners LLP,archive
AMG Critical Materials N.V.,2019-06-25,NL0000888691,0.57,Numeric Investors LLC,archive
BE Semiconductor Industries N.V.,2019-06-25,NL0012866412,3.37,Scopia Capital Management LP,archive
PostNL N.V.,2019-06-24,NL0009739416,1.98,AHL Partners LLP,archive
Koninklijke BAM Groep N.V.,2019-06-24,NL0000337319,0.81,Lancaster Investment Management LLP,archive
AMG Critical Materials N.V.,2019-06-24,NL0000888691,1.19,Millennium International Management LP,archive
AMG Critical Materials N.V.,2019-06-24,NL0000888691,0.65,Numeric Investors LLC,archive
Fugro N.V.,2019-06-24,NL0000352565,0.77,Systematica Investments Limited,archive
PostNL N.V.,2019-06-24,NL0009739416,0.59,Systematica Investments Limited,archive
BE Semiconductor Industries N.V.,2019-06-24,NL0012866412,0.77,"WorldQuant, LLC",archive
Fugro N.V.,2019-06-24,NL0000352565,1.08,"WorldQuant, LLC",archive
PostNL N.V.,2019-06-21,NL0009739416,2.01,AHL Partners LLP,archive
Galapagos NV,2019-06-21,BE0003818359,0.68,Citadel Advisors LLC,archive
Signify N.V.,2019-06-21,NL0011821392,1.43,ENA Investment Capital LLP,archive
Koninklijke BAM Groep N.V.,2019-06-21,NL0000337319,0.74,Lancaster Investment Management LLP,archive
Fugro N.V.,2019-06-21,NL0000352565,3.67,Marshall Wace LLP,archive
PostNL N.V.,2019-06-21,NL0009739416,4.56,Marshall Wace LLP,archive
Signify N.V.,2019-06-21,NL0011821392,0.89,Marshall Wace LLP,archive
Signify N.V.,2019-06-21,NL0011821392,0.62,Millennium Capital Partners LLP,archive
AMG Critical Materials N.V.,2019-06-21,NL0000888691,1.21,Millennium International Management LP,archive
Signify N.V.,2019-06-21,NL0011821392,0.76,Millennium International Management LP,archive
Fugro N.V.,2019-06-21,NL0000352565,0.84,Systematica Investments Limited,archive
Fugro N.V.,2019-06-21,NL0000352565,1.15,"WorldQuant, LLC",archive
Koninklijke Vopak N.V.,2019-06-20,NL0009432491,1.41,"AQR Capital Management, LLC",archive
PostNL N.V.,2019-06-20,NL0009739416,0.8,"Connor, Clark & Lunn Investment Management Ltd.",archive
Fugro N.V.,2019-06-20,NL0000352565,1.58,HBK Investments LP,archive
Koninklijke BAM Groep N.V.,2019-06-20,NL0000337319,0.61,Lancaster Investment Management LLP,archive
Signify N.V.,2019-06-20,NL0011821392,0.71,Millennium Capital Partners LLP,archive
Flow Traders Ltd.,2019-06-20,NL0011279492,0.59,"Philadelphia Financial Management of San Francisco, LLC",archive
BE Semiconductor Industries N.V.,2019-06-20,NL0012866412,3.48,Scopia Capital Management LP,archive
PostNL N.V.,2019-06-20,NL0009739416,0.59,Voleon Capital Management LP,archive
AMG Critical Materials N.V.,2019-06-20,NL0000888691,0.78,"WorldQuant, LLC",archive
AMG Critical Materials N.V.,2019-06-19,NL0000888691,1.89,AHL Partners LLP,archive
PostNL N.V.,2019-06-19,NL0009739416,1.98,AHL Partners LLP,archive
AMG Critical Materials N.V.,2019-06-19,NL0000888691,0.86,"Arrowstreet Capital, Limited Partnership",archive
Fugro N.V.,2019-06-19,NL0000352565,1.08,Capital Fund Management S.A.,archive
AMG Critical Materials N.V.,2019-06-19,NL0000888691,0.49,Marshall Wace LLP,archive
Galapagos NV,2019-06-19,BE0003818359,0.97,Marshall Wace LLP,archive
PostNL N.V.,2019-06-19,NL0009739416,4.65,Marshall Wace LLP,archive
Signify N.V.,2019-06-19,NL0011821392,0.95,Marshall Wace LLP,archive
Wereldhave N.V.,2019-06-19,NL0000289213,1.6,Marshall Wace LLP,archive
AMG Critical Materials N.V.,2019-06-19,NL0000888691,1.19,Millennium International Management LP,archive
Signify N.V.,2019-06-19,NL0011821392,0.81,Millennium International Management LP,archive
Fugro N.V.,2019-06-19,NL0000352565,0.95,Systematica Investments Limited,archive
AMG Critical Materials N.V.,2019-06-19,NL0000888691,0.8,"WorldQuant, LLC",archive
Fugro N.V.,2019-06-19,NL0000352565,1.28,"WorldQuant, LLC",archive
PostNL N.V.,2019-06-19,NL0009739416,0.79,"WorldQuant, LLC",archive
PostNL N.V.,2019-06-18,NL0009739416,2.04,AHL Partners LLP,archive
Fugro N.V.,2019-06-18,NL0000352565,1.13,"BlackRock Institutional Trust Company, National Association",archive
PostNL N.V.,2019-06-18,NL0009739416,0.5,"BlackRock Institutional Trust Company, National Association",archive
PostNL N.V.,2019-06-18,NL0009739416,0.76,"Connor, Clark & Lunn Investment Management Ltd.",archive
BE Semiconductor Industries N.V.,2019-06-18,NL0012866412,1.69,Marshall Wace LLP,archive
Fugro N.V.,2019-06-18,NL0000352565,3.79,Marshall Wace LLP,archive
PostNL N.V.,2019-06-18,NL0009739416,0.62,RAM Active Investments SA,archive
BE Semiconductor Industries N.V.,2019-06-18,NL0012866412,3.57,Scopia Capital Management LP,archive
PostNL N.V.,2019-06-18,NL0009739416,0.69,Systematica Investments Limited,archive
PostNL N.V.,2019-06-18,NL0009739416,0.68,Voleon Capital Management LP,archive
AMG Critical Materials N.V.,2019-06-18,NL0000888691,0.73,"WorldQuant, LLC",archive
Galapagos NV,2019-06-17,BE0003818359,0.79,Citadel Advisors LLC,archive
Koninklijke BAM Groep N.V.,2019-06-17,NL0000337319,0.56,Lancaster Investment Management LLP,archive
Koninklijke BAM Groep N.V.,2019-06-17,NL0000337319,0.49,Marshall Wace LLP,archive
Fugro N.V.,2019-06-17,NL0000352565,1.05,Systematica Investments Limited,archive
Fugro N.V.,2019-06-17,NL0000352565,1.39,"WorldQuant, LLC",archive
PostNL N.V.,2019-06-17,NL0009739416,0.87,"WorldQuant, LLC",archive
PostNL N.V.,2019-06-14,NL0009739416,1.98,AHL Partners LLP,archive
PostNL N.V.,2019-06-14,NL0009739416,0.61,AXA Investment Managers Chorus Limited,archive
Fugro N.V.,2019-06-14,NL0000352565,0.91,Canada Pension Plan Investment Board,archive
BE Semiconductor Industries N.V.,2019-06-14,NL0012866412,1.72,Marshall Wace LLP,archive
Fugro N.V.,2019-06-14,NL0000352565,3.89,Marshall Wace LLP,archive
PostNL N.V.,2019-06-14,NL0009739416,4.57,Marshall Wace LLP,archive
Signify N.V.,2019-06-14,NL0011821392,0.72,Millennium International Management LP,archive
PostNL N.V.,2019-06-13,NL0009739416,2.02,AHL Partners LLP,archive
Signify N.V.,2019-06-13,NL0011821392,1.68,BlackRock Investment Management (UK) Limited,archive
Fugro N.V.,2019-06-13,NL0000352565,0.82,Canada Pension Plan Investment Board,archive
PostNL N.V.,2019-06-13,NL0009739416,0.7,Canada Pension Plan Investment Board,archive
PostNL N.V.,2019-06-13,NL0009739416,1.7,Capital Fund Management S.A.,archive
Galapagos NV,2019-06-13,BE0003818359,0.8,Citadel Advisors LLC,archive
Fugro N.V.,2019-06-13,NL0000352565,3.96,Marshall Wace LLP,archive
PostNL N.V.,2019-06-13,NL0009739416,4.65,Marshall Wace LLP,archive
Signify N.V.,2019-06-13,NL0011821392,1.06,Marshall Wace LLP,archive
Wereldhave N.V.,2019-06-13,NL0000289213,1.5,Marshall Wace LLP,archive
Pharming Group N.V.,2019-06-13,NL0010391025,1.17,Pictet Asset Management Limited,archive
AMG Critical Materials N.V.,2019-06-13,NL0000888691,0.0,Susquehanna International Securities Limited,archive
AMG Critical Materials N.V.,2019-06-13,NL0000888691,0.63,"WorldQuant, LLC",archive
Koninklijke BAM Groep N.V.,2019-06-13,NL0000337319,0.48,"WorldQuant, LLC",archive
Fugro N.V.,2019-06-12,NL0000352565,1.65,HBK Investments LP,archive
Signify N.V.,2019-06-12,NL0011821392,0.54,Lansdowne Partners (UK) LLP,archive
Fugro N.V.,2019-06-12,NL0000352565,4.03,Marshall Wace LLP,archive
TomTom N.V.,2019-06-12,NL0013332471,0.51,Marshall Wace LLP,archive
Signify N.V.,2019-06-12,NL0011821392,0.61,Millennium Capital Partners LLP,archive
AMG Critical Materials N.V.,2019-06-12,NL0000888691,1.24,Millennium International Management LP,archive
AMG Critical Materials N.V.,2019-06-12,NL0000888691,0.79,Numeric Investors LLC,archive
AMG Critical Materials N.V.,2019-06-12,NL0000888691,0.51,Susquehanna International Securities Limited,archive
Fugro N.V.,2019-06-12,NL0000352565,1.18,Systematica Investments Limited,archive
AMG Critical Materials N.V.,2019-06-12,NL0000888691,0.55,"WorldQuant, LLC",archive
BE Semiconductor Industries N.V.,2019-06-12,NL0012866412,0.88,"WorldQuant, LLC",archive
AMG Critical Materials N.V.,2019-06-11,NL0000888691,1.94,AHL Partners LLP,archive
PostNL N.V.,2019-06-11,NL0009739416,1.9,AHL Partners LLP,archive
Koninklijke BAM Groep N.V.,2019-06-11,NL0000337319,1.83,AKO Capital LLP,archive
OCI N.V.,2019-06-11,NL0010558797,1.0,"AQR Capital Management, LLC",archive
AMG Critical Materials N.V.,2019-06-11,NL0000888691,0.9,"Arrowstreet Capital, Limited Partnership",archive
Galapagos NV,2019-06-11,BE0003818359,0.79,Citadel Advisors LLC,archive
Fugro N.V.,2019-06-11,NL0000352565,0.8,"Connor, Clark & Lunn Investment Management Ltd.",archive
BE Semiconductor Industries N.V.,2019-06-11,NL0012866412,0.56,CQS (UK) LLP,archive
Fugro N.V.,2019-06-11,NL0000352565,1.59,HBK Investments LP,archive
Fugro N.V.,2019-06-11,NL0000352565,4.13,Marshall Wace LLP,archive
Galapagos NV,2019-06-11,BE0003818359,0.8,Marshall Wace LLP,archive
AMG Critical Materials N.V.,2019-06-11,NL0000888691,0.84,"PDT Partners, LLC",archive
Pharming Group N.V.,2019-06-11,NL0010391025,1.05,Pictet Asset Management Limited,archive
PostNL N.V.,2019-06-11,NL0009739416,0.99,"WorldQuant, LLC",archive
Koninklijke BAM Groep N.V.,2019-06-10,NL0000337319,1.79,AKO Capital LLP,archive
Galapagos NV,2019-06-10,BE0003818359,1.98,"AQR Capital Management, LLC",archive
Koninklijke Vopak N.V.,2019-06-10,NL0009432491,1.3,"AQR Capital Management, LLC",archive
Fugro N.V.,2019-06-10,NL0000352565,0.71,Canada Pension Plan Investment Board,archive
PostNL N.V.,2019-06-10,NL0009739416,1.68,Capital Fund Management S.A.,archive
PostNL N.V.,2019-06-10,NL0009739416,0.6,"Connor, Clark & Lunn Investment Management Ltd.",archive
ARCADIS N.V.,2019-06-10,NL0006237562,2.51,Lansdowne Partners (UK) LLP,archive
Koninklijke Ahold Delhaize N.V.,2019-06-10,NL0011794037,0.49,Lansdowne Partners (UK) LLP,archive
Koninklijke Ahold Delhaize N.V.,2019-06-10,NL0011794037,0.6,Marshall Wace LLP,archive
PostNL N.V.,2019-06-10,NL0009739416,4.73,Marshall Wace LLP,archive
Signify N.V.,2019-06-10,NL0011821392,0.53,Millennium Capital Partners LLP,archive
Wereldhave N.V.,2019-06-10,NL0000289213,1.01,Millennium International Management LP,archive
Wereldhave N.V.,2019-06-10,NL0000289213,0.49,Odey Asset Management LLP,archive
AMG Critical Materials N.V.,2019-06-10,NL0000888691,0.49,Susquehanna International Securities Limited,archive
PostNL N.V.,2019-06-07,NL0009739416,1.84,AHL Partners LLP,archive
Koninklijke BAM Groep N.V.,2019-06-07,NL0000337319,1.63,AKO Capital LLP,archive
Fugro N.V.,2019-06-07,NL0000352565,0.6,B&G Master Fund Plc,archive
Fugro N.V.,2019-06-07,NL0000352565,1.02,"BlackRock Institutional Trust Company, National Association",archive
Galapagos NV,2019-06-07,BE0003818359,0.8,Citadel Advisors LLC,archive
Fugro N.V.,2019-06-07,NL0000352565,0.88,Citadel Europe LLP,archive
Pharming Group N.V.,2019-06-07,NL0010391025,1.0,"Connor, Clark & Lunn Investment Management Ltd.",archive
ARCADIS N.V.,2019-06-07,NL0006237562,2.46,Lansdowne Partners (UK) LLP,archive
Fugro N.V.,2019-06-07,NL0000352565,4.23,Marshall Wace LLP,archive
Galapagos NV,2019-06-07,BE0003818359,0.71,Marshall Wace LLP,archive
Wereldhave N.V.,2019-06-07,NL0000289213,1.47,Marshall Wace LLP,archive
Pharming Group N.V.,2019-06-07,NL0010391025,0.9,Pictet Asset Management Limited,archive
AMG Critical Materials N.V.,2019-06-07,NL0000888691,0.52,Susquehanna International Securities Limited,archive
AMG Critical Materials N.V.,2019-06-07,NL0000888691,0.46,"WorldQuant, LLC",archive
PostNL N.V.,2019-06-07,NL0009739416,1.01,"WorldQuant, LLC",archive
Wereldhave N.V.,2019-06-06,NL0000289213,0.79,"D. E. Shaw & Co., L.P.",archive
Wereldhave N.V.,2019-06-06,NL0000289213,0.37,GAM Investment Management (Switzerland) Ltd. ? Lugano Branch,archive
Signify N.V.,2019-06-06,NL0011821392,0.47,Millennium Capital Partners LLP,archive
PostNL N.V.,2019-06-06,NL0009739416,0.63,"PDT Partners, LLC",archive
Flow Traders Ltd.,2019-06-06,NL0011279492,0.47,"Philadelphia Financial Management of San Francisco, LLC",archive
AMG Critical Materials N.V.,2019-06-06,NL0000888691,0.6,Susquehanna International Securities Limited,archive
Koninklijke Heijmans N.V.,2019-06-06,NL0009269109,0.69,Voleon Capital Management LP,archive
PostNL N.V.,2019-06-06,NL0009739416,0.99,"WorldQuant, LLC",archive
SBM Offshore N.V.,2019-06-05,NL0000360618,1.61,"AQR Capital Management, LLC",archive
Wereldhave N.V.,2019-06-05,NL0000289213,0.8,"D. E. Shaw & Co., L.P.",archive
Fugro N.V.,2019-06-05,NL0000352565,1.6,HBK Investments LP,archive
ARCADIS N.V.,2019-06-05,NL0006237562,2.37,Lansdowne Partners (UK) LLP,archive
AMG Critical Materials N.V.,2019-06-05,NL0000888691,0.5,Marshall Wace LLP,archive
PostNL N.V.,2019-06-05,NL0009739416,4.66,Marshall Wace LLP,archive
Wereldhave N.V.,2019-06-05,NL0000289213,1.55,Marshall Wace LLP,archive
Signify N.V.,2019-06-05,NL0011821392,0.51,Millennium Capital Partners LLP,archive
Wereldhave N.V.,2019-06-05,NL0000289213,0.9,Millennium International Management LP,archive
Pharming Group N.V.,2019-06-05,NL0010391025,0.81,Pictet Asset Management Limited,archive
Signify N.V.,2019-06-05,NL0011821392,0.58,Tower House Partners LLP,archive
PostNL N.V.,2019-06-05,NL0009739416,0.71,Voleon Capital Management LP,archive
Fugro N.V.,2019-06-05,NL0000352565,1.46,"WorldQuant, LLC",archive
PostNL N.V.,2019-06-04,NL0009739416,0.51,"Connor, Clark & Lunn Investment Management Ltd.",archive
Wereldhave N.V.,2019-06-04,NL0000289213,0.79,"D. E. Shaw & Co., L.P.",archive
AMG Critical Materials N.V.,2019-06-04,NL0000888691,3.9,"Eminence Capital, LP",archive
Fugro N.V.,2019-06-04,NL0000352565,1.57,HBK Investments LP,archive
ARCADIS N.V.,2019-06-04,NL0006237562,2.25,Lansdowne Partners (UK) LLP,archive
BE Semiconductor Industries N.V.,2019-06-04,NL0012866412,1.6,Marshall Wace LLP,archive
PostNL N.V.,2019-06-04,NL0009739416,4.57,Marshall Wace LLP,archive
Signify N.V.,2019-06-04,NL0011821392,0.66,Millennium International Management LP,archive
AMG Critical Materials N.V.,2019-06-04,NL0000888691,0.99,"PDT Partners, LLC",archive
PostNL N.V.,2019-06-04,NL0009739416,0.54,"PDT Partners, LLC",archive
BE Semiconductor Industries N.V.,2019-06-04,NL0012866412,3.61,Scopia Capital Management LP,archive
Koninklijke Heijmans N.V.,2019-06-04,NL0009269109,0.47,Susquehanna International Holdings LLC,archive
PostNL N.V.,2019-06-04,NL0009739416,0.7,Systematica Investments Limited,archive
Fugro N.V.,2019-06-04,NL0000352565,1.5,"WorldQuant, LLC",archive
PostNL N.V.,2019-06-04,NL0009739416,1.08,"WorldQuant, LLC",archive
Fugro N.V.,2019-06-03,NL0000352565,0.4,AHL Partners LLP,archive
Koninklijke BAM Groep N.V.,2019-06-03,NL0000337319,1.41,AKO Capital LLP,archive
Galapagos NV,2019-06-03,BE0003818359,2.0,"AQR Capital Management, LLC",archive
SBM Offshore N.V.,2019-06-03,NL0000360618,1.59,"AQR Capital Management, LLC",archive
Fugro N.V.,2019-06-03,NL0000352565,1.67,HBK Investments LP,archive
ARCADIS N.V.,2019-06-03,NL0006237562,2.16,Lansdowne Partners (UK) LLP,archive
Fugro N.V.,2019-06-03,NL0000352565,4.42,Marshall Wace LLP,archive
Koninklijke BAM Groep N.V.,2019-06-03,NL0000337319,0.59,Marshall Wace LLP,archive
Signify N.V.,2019-06-03,NL0011821392,0.47,Millennium Capital Partners LLP,archive
AMG Critical Materials N.V.,2019-06-03,NL0000888691,1.05,"PDT Partners, LLC",archive
Flow Traders Ltd.,2019-06-03,NL0011279492,0.6,"Philadelphia Financial Management of San Francisco, LLC",archive
Pharming Group N.V.,2019-06-03,NL0010391025,0.73,Pictet Asset Management Limited,archive
AMG Critical Materials N.V.,2019-06-03,NL0000888691,0.58,"WorldQuant, LLC",archive
Koninklijke BAM Groep N.V.,2019-06-03,NL0000337319,0.51,"WorldQuant, LLC",archive
Eurocommercial Properties N.V.,2019-05-31,NL0000288876,0.92,Adelphi Capital LLP,archive
Fugro N.V.,2019-05-31,NL0000352565,0.54,AHL Partners LLP,archive
PostNL N.V.,2019-05-31,NL0009739416,1.7,AHL Partners LLP,archive
Wereldhave N.V.,2019-05-31,NL0000289213,0.49,Capital Fund Management S.A.,archive
Fugro N.V.,2019-05-31,NL0000352565,1.36,Citadel Europe LLP,archive
BE Semiconductor Industries N.V.,2019-05-31,NL0012866412,0.58,"Connor, Clark & Lunn Investment Management Ltd.",archive
Signify N.V.,2019-05-31,NL0011821392,1.31,ENA Investment Capital LLP,archive
BE Semiconductor Industries N.V.,2019-05-31,NL0012866412,1.53,Marshall Wace LLP,archive
Fugro N.V.,2019-05-31,NL0000352565,4.54,Marshall Wace LLP,archive
Galapagos NV,2019-05-31,BE0003818359,0.6,Marshall Wace LLP,archive
PostNL N.V.,2019-05-31,NL0009739416,4.42,Marshall Wace LLP,archive
Signify N.V.,2019-05-31,NL0011821392,1.1,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,2019-05-31,NL0012866412,3.51,Scopia Capital Management LP,archive
Fugro N.V.,2019-05-31,NL0000352565,1.81,Sculptor Capital Management Europe Limited,archive
Koninklijke Heijmans N.V.,2019-05-31,NL0009269109,0.5,Susquehanna International Holdings LLC,archive
PostNL N.V.,2019-05-31,NL0009739416,1.1,"WorldQuant, LLC",archive
Koninklijke BAM Groep N.V.,2019-05-30,NL0000337319,1.35,AKO Capital LLP,archive
PostNL N.V.,2019-05-30,NL0009739416,0.51,AXA Investment Managers Chorus Limited,archive
Fugro N.V.,2019-05-30,NL0000352565,0.93,"BlackRock Institutional Trust Company, National Association",archive
AMG Critical Materials N.V.,2019-05-30,NL0000888691,1.53,"Connor, Clark & Lunn Investment Management Ltd.",archive
Wereldhave N.V.,2019-05-30,NL0000289213,1.01,"Connor, Clark & Lunn Investment Management Ltd.",archive
Koninklijke BAM Groep N.V.,2019-05-30,NL0000337319,0.51,"Davidson Kempner European Partners, LLP",archive
Signify N.V.,2019-05-30,NL0011821392,1.23,ENA Investment Capital LLP,archive
Koninklijke Ahold Delhaize N.V.,2019-05-30,NL0011794037,0.5,Marshall Wace LLP,archive
Wereldhave N.V.,2019-05-30,NL0000289213,0.8,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,2019-05-30,NL0012866412,3.42,Scopia Capital Management LP,archive
Koninklijke Heijmans N.V.,2019-05-30,NL0009269109,0.47,Susquehanna International Holdings LLC,archive
AMG Critical Materials N.V.,2019-05-30,NL0000888691,0.6,"WorldQuant, LLC",archive
Fugro N.V.,2019-05-30,NL0000352565,1.43,"WorldQuant, LLC",archive
Fugro N.V.,2019-05-29,NL0000352565,0.66,AHL Partners LLP,archive
PostNL N.V.,2019-05-29,NL0009739416,1.6,AHL Partners LLP,archive
AMG Critical Materials N.V.,2019-05-29,NL0000888691,0.81,"Arrowstreet Capital, Limited Partnership",archive
Koninklijke BAM Groep N.V.,2019-05-29,NL0000337319,0.61,Boldhaven Management LLP,archive
PostNL N.V.,2019-05-29,NL0009739416,1.7,Capital Fund Management S.A.,archive
Fugro N.V.,2019-05-29,NL0000352565,1.52,Citadel Europe LLP,archive
BE Semiconductor Industries N.V.,2019-05-29,NL0012866412,1.43,Marshall Wace LLP,archive
PostNL N.V.,2019-05-29,NL0009739416,4.33,Marshall Wace LLP,archive
AMG Critical Materials N.V.,2019-05-29,NL0000888691,0.8,Numeric Investors LLC,archive
Koninklijke Heijmans N.V.,2019-05-29,NL0009269109,0.5,Susquehanna International Holdings LLC,archive
PostNL N.V.,2019-05-29,NL0009739416,0.61,Voleon Capital Management LP,archive
PostNL N.V.,2019-05-28,NL0009739416,1.53,AHL Partners LLP,archive
Fugro N.V.,2019-05-28,NL0000352565,0.42,Citadel Advisors LLC,archive
Fugro N.V.,2019-05-28,NL0000352565,1.64,Citadel Europe LLP,archive
Fugro N.V.,2019-05-28,NL0000352565,0.72,"Connor, Clark & Lunn Investment Management Ltd.",archive
Flow Traders Ltd.,2019-05-28,NL0011279492,0.46,Marshall Wace LLP,archive
Fugro N.V.,2019-05-28,NL0000352565,4.6,Marshall Wace LLP,archive
PostNL N.V.,2019-05-28,NL0009739416,4.26,Marshall Wace LLP,archive
Signify N.V.,2019-05-28,NL0011821392,0.73,Millennium Capital Partners LLP,archive
Wereldhave N.V.,2019-05-28,NL0000289213,0.78,Millennium International Management LP,archive
PostNL N.V.,2019-05-28,NL0009739416,0.61,Systematica Investments Limited,archive
AMG Critical Materials N.V.,2019-05-28,NL0000888691,0.52,"WorldQuant, LLC",archive
PostNL N.V.,2019-05-27,NL0009739416,4.15,Marshall Wace LLP,archive
Signify N.V.,2019-05-27,NL0011821392,1.03,Marshall Wace LLP,archive
Signify N.V.,2019-05-27,NL0011821392,0.67,Millennium Capital Partners LLP,archive
PostNL N.V.,2019-05-27,NL0009739416,0.61,"PDT Partners, LLC",archive
PostNL N.V.,2019-05-27,NL0009739416,1.01,"WorldQuant, LLC",archive
Wereldhave N.V.,2019-05-24,NL0000289213,1.31,Adelphi Capital LLP,archive
Fugro N.V.,2019-05-24,NL0000352565,0.76,AHL Partners LLP,archive
PostNL N.V.,2019-05-24,NL0009739416,1.47,AHL Partners LLP,archive
Signify N.V.,2019-05-24,NL0011821392,1.13,ENA Investment Capital LLP,archive
BE Semiconductor Industries N.V.,2019-05-24,NL0012866412,1.31,Marshall Wace LLP,archive
Wereldhave N.V.,2019-05-24,NL0000289213,1.68,Marshall Wace LLP,archive
Signify N.V.,2019-05-24,NL0011821392,0.71,Millennium Capital Partners LLP,archive
AMG Critical Materials N.V.,2019-05-24,NL0000888691,1.1,Millennium International Management LP,archive
AMG Critical Materials N.V.,2019-05-24,NL0000888691,1.19,"PDT Partners, LLC",archive
Fugro N.V.,2019-05-24,NL0000352565,1.3,"WorldQuant, LLC",archive
Koninklijke BAM Groep N.V.,2019-05-23,NL0000337319,1.21,AKO Capital LLP,archive
SBM Offshore N.V.,2019-05-23,NL0000360618,1.6,"AQR Capital Management, LLC",archive
AMG Critical Materials N.V.,2019-05-23,NL0000888691,0.73,"Arrowstreet Capital, Limited Partnership",archive
Fugro N.V.,2019-05-23,NL0000352565,0.82,"BlackRock Institutional Trust Company, National Association",archive
Fugro N.V.,2019-05-23,NL0000352565,1.85,Citadel Europe LLP,archive
