issuer_name,position_date,isin,net_short_position,position_holder,source
Adyen N.V.,2026-04-09,NL0012969182,1.13,"AQR Capital Management, LLC",current
IMCD N.V.,2026-04-09,NL0010801007,0.51,"AQR Capital Management, LLC",current
Signify N.V.,2026-04-09,NL0011821392,1.19,Citadel Advisors Europe Limited,current
Signify N.V.,2026-04-09,NL0011821392,2.42,Citadel Advisors LLC,current
DSM-Firmenich AG,2026-04-09,CH1216478797,1.0,Ilex Capital Partners (UK) LLP,current
NSI N.V.,2026-04-09,NL0012365084,0.71,Numeric Investors LLC,current
IMCD N.V.,2026-04-09,NL0010801007,0.89,"PDT Partners, LLC",current
Aalberts N.V.,2026-04-08,NL0000852564,0.61,"AQR Capital Management, LLC",current
Signify N.V.,2026-04-08,NL0011821392,1.22,"AQR Capital Management, LLC",current
Signify N.V.,2026-04-08,NL0011821392,2.39,Citadel Advisors LLC,current
Alfen N.V.,2026-04-08,NL0012817175,0.95,"D. E. Shaw & Co., L.P.",current
Signify N.V.,2026-04-08,NL0011821392,0.79,Millennium Capital (DIFC) Limited,current
The Magnum Ice Cream Company N.V.,2026-04-08,NL0015002MS2,0.5,Qube Research & Technologies Ltd.,current
IMCD N.V.,2026-04-08,NL0010801007,0.79,"Two Sigma Investments, LP",current
IMCD N.V.,2026-04-07,NL0010801007,0.66,"BlackRock Advisors, LLC",current
IMCD N.V.,2026-04-07,NL0010801007,1.0,"BlackRock Financial Management, Inc.",current
IMCD N.V.,2026-04-07,NL0010801007,0.76,Capital Fund Management S.A.,current
Signify N.V.,2026-04-07,NL0011821392,1.21,Citadel Advisors Europe Limited,current
PostNL N.V.,2026-04-07,NL0009739416,0.58,Citadel Advisors LLC,current
Signify N.V.,2026-04-07,NL0011821392,2.41,Citadel Advisors LLC,current
ARCADIS N.V.,2026-04-07,NL0006237562,0.69,"D. E. Shaw & Co., L.P.",current
The Magnum Ice Cream Company N.V.,2026-04-07,NL0015002MS2,1.46,Marshall Wace LLP,current
Alfen N.V.,2026-04-07,NL0012817175,1.98,Voleon Capital Management LP,current
Alfen N.V.,2026-04-07,NL0012817175,2.77,"WorldQuant, LLC",current
Adyen N.V.,2026-04-02,NL0012969182,1.0,"AQR Capital Management, LLC",current
CVC Capital Partners plc,2026-04-02,JE00BRX98089,0.61,"AQR Capital Management, LLC",current
IMCD N.V.,2026-04-02,NL0010801007,0.99,"BlackRock Financial Management, Inc.",current
Sligro Food Group N.V.,2026-04-02,NL0000817179,0.5,Citadel Advisors LLC,current
ARCADIS N.V.,2026-04-02,NL0006237562,0.7,"D. E. Shaw & Co., L.P.",current
Basic-Fit N.V.,2026-04-02,NL0011872650,0.62,Eleva Capital SAS,current
Randstad N.V.,2026-04-02,NL0000379121,0.78,Marshall Wace LLP,current
ArcelorMittal S.A.,2026-04-01,LU1598757687,0.61,"AQR Capital Management, LLC",current
Signify N.V.,2026-04-01,NL0011821392,1.1,"AQR Capital Management, LLC",current
IMCD N.V.,2026-04-01,NL0010801007,1.21,"Arrowstreet Capital, Limited Partnership",current
Signify N.V.,2026-04-01,NL0011821392,0.74,Canada Pension Plan Investment Board,current
Signify N.V.,2026-04-01,NL0011821392,2.36,Citadel Advisors LLC,current
ARCADIS N.V.,2026-04-01,NL0006237562,0.69,"D. E. Shaw & Co., L.P.",current
