position_holder,issuer_name,position_date,net_short_position,isin,source
"Farallon Capital Management, L.L.C.",Signify N.V.,2026-06-15,0.56,NL0011821392,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-06-15,0.9,NL0015002MS2,current
Millennium International Management LP,Akzo Nobel N.V.,2026-06-15,0.5,NL0013267909,current
"O'Connor Alternative Investments, LLC",Akzo Nobel N.V.,2026-06-15,1.09,NL0013267909,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-06-15,0.9,NL0015002MS2,current
"BlackRock Advisors, LLC",Akzo Nobel N.V.,2026-06-12,0.7,NL0013267909,current
Capital Fund Management S.A.,TKH Group N.V.,2026-06-12,0.61,NL0000852523,current
Citadel Advisors LLC,Signify N.V.,2026-06-12,1.56,NL0011821392,current
Marshall Wace LLP,CVC Capital Partners plc,2026-06-12,0.59,JE00BRX98089,current
Marshall Wace LLP,DSM-Firmenich AG,2026-06-12,0.88,CH1216478797,current
Marshall Wace LLP,Signify N.V.,2026-06-12,1.48,NL0011821392,current
Capital Fund Management S.A.,TKH Group N.V.,2026-06-11,0.59,NL0000852523,current
Linden Advisors LP,Basic-Fit N.V.,2026-06-11,0.75,NL0011872650,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-06-11,0.89,NL0015002MS2,current
Qube Research & Technologies Ltd.,CSG N.V.,2026-06-11,0.5,NL0015073TS8,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-06-11,0.89,NL0015002MS2,current
"WorldQuant, LLC",Alfen N.V.,2026-06-11,0.56,NL0012817175,current
"AQR Capital Management, LLC",Adyen N.V.,2026-06-10,0.99,NL0012969182,current
"AQR Capital Management, LLC",ARCADIS N.V.,2026-06-10,0.89,NL0006237562,current
Capital Fund Management S.A.,TKH Group N.V.,2026-06-10,0.6,NL0000852523,current
Citadel Advisors LLC,Signify N.V.,2026-06-10,1.6,NL0011821392,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,2026-06-10,0.83,NL0011872650,current
Walleye Capital LLC,Pharming Group N.V.,2026-06-10,1.1,NL0010391025,current
Capital Fund Management S.A.,IMCD N.V.,2026-06-09,0.9,NL0010801007,current
Citadel Advisors LLC,Signify N.V.,2026-06-09,1.59,NL0011821392,current
Citadel Advisors LLC,Wereldhave N.V.,2026-06-09,1.0,NL0000289213,current
LMR Partners LLP,Akzo Nobel N.V.,2026-06-09,1.12,NL0013267909,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-06-09,0.9,NL0015002MS2,current
Millennium International Management LP,Alfen N.V.,2026-06-09,0.5,NL0012817175,current
"Two Sigma Investments, LP",Theon International Plc,2026-06-09,0.77,CY0200751713,current
Citadel Advisors LLC,DSM-Firmenich AG,2026-06-08,1.01,CH1216478797,current
LMR Partners LLP,Akzo Nobel N.V.,2026-06-08,1.08,NL0013267909,current
"PDT Partners, LLC",Signify N.V.,2026-06-08,1.2,NL0011821392,current
"Two Sigma Investments, LP",InPost S.A.,2026-06-08,1.09,LU2290522684,current
AKO Capital LLP,Akzo Nobel N.V.,2026-06-05,0.51,NL0013267909,current
"BlackRock Institutional Trust Company, National Association",Signify N.V.,2026-06-05,0.51,NL0011821392,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-06-05,0.63,NL0010391025,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-06-05,1.24,NL0013267909,current
Marshall Wace LLP,Signify N.V.,2026-06-05,1.59,NL0011821392,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-06-05,0.92,NL0015002MS2,current
"AQR Capital Management, LLC",Adyen N.V.,2026-06-04,1.07,NL0012969182,current
"BlackRock Advisors, LLC",Akzo Nobel N.V.,2026-06-04,0.65,NL0013267909,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-06-04,0.7,NL0010391025,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-06-04,1.17,NL0013267909,current
LMR Partners LLP,Akzo Nobel N.V.,2026-06-04,0.91,NL0013267909,current
Squarepoint Ops LLC,Signify N.V.,2026-06-04,0.62,NL0011821392,current
"AQR Capital Management, LLC",CVC Capital Partners plc,2026-06-03,0.69,JE00BRX98089,current
Capital Fund Management S.A.,Adyen N.V.,2026-06-03,0.52,NL0012969182,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-06-03,1.02,NL0013267909,current
LMR Partners LLP,Akzo Nobel N.V.,2026-06-03,0.83,NL0013267909,current
Marshall Wace LLP,DSM-Firmenich AG,2026-06-03,0.91,CH1216478797,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-06-03,0.81,NL0015002MS2,current
Whitebox Advisors LLC,Pharming Group N.V.,2026-06-03,0.58,NL0010391025,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-06-02,0.62,NL0010391025,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2026-06-02,2.2,NL00150003E1,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,2026-06-02,0.79,NL0011872650,current
Walleye Capital LLC,Pharming Group N.V.,2026-06-02,1.02,NL0010391025,current
Numeric Investors LLC,NSI N.V.,2026-06-01,0.81,NL0012365084,current
"AQR Capital Management, LLC",Aalberts N.V.,2026-05-29,0.59,NL0000852564,current
"BlackRock Financial Management, Inc.",IMCD N.V.,2026-05-29,0.69,NL0010801007,current
"BlackRock Financial Management, Inc.",Signify N.V.,2026-05-29,0.83,NL0011821392,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-05-29,0.58,NL0013267909,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-05-29,1.85,CH1216478797,current
Marshall Wace LLP,DSM-Firmenich AG,2026-05-29,0.85,CH1216478797,current
"PDT Partners, LLC",Signify N.V.,2026-05-29,1.11,NL0011821392,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-05-29,0.83,NL0015002MS2,current
Squarepoint Ops LLC,Signify N.V.,2026-05-29,0.5,NL0011821392,current
"Two Sigma Investments, LP",Pharming Group N.V.,2026-05-29,1.09,NL0010391025,current
"AQR Capital Management, LLC",Adyen N.V.,2026-05-28,1.18,NL0012969182,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-05-28,0.66,NL0013267909,current
Linden Advisors LP,Basic-Fit N.V.,2026-05-28,0.87,NL0011872650,current
"Two Sigma Investments, LP",InPost S.A.,2026-05-28,1.18,LU2290522684,current
Walleye Capital LLC,Pharming Group N.V.,2026-05-28,0.92,NL0010391025,current
"AQR Capital Management, LLC",Akzo Nobel N.V.,2026-05-27,0.6,NL0013267909,current
Citadel Advisors LLC,Wereldhave N.V.,2026-05-27,0.91,NL0000289213,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-05-27,0.58,NL0010391025,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-05-27,1.01,NL0013267909,current
Numeric Investors LLC,NSI N.V.,2026-05-27,0.79,NL0012365084,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-05-27,0.78,NL0015002MS2,current
"AQR Capital Management, LLC",Signify N.V.,2026-05-26,1.18,NL0011821392,current
"Arrowstreet Capital, Limited Partnership",IMCD N.V.,2026-05-26,1.3,NL0010801007,current
Capital Fund Management S.A.,IMCD N.V.,2026-05-26,0.8,NL0010801007,current
Citadel Advisors LLC,DSM-Firmenich AG,2026-05-26,0.91,CH1216478797,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-05-26,0.61,NL0010391025,current
Marshall Wace LLP,PostNL N.V.,2026-05-26,0.75,NL0009739416,current
Marshall Wace LLP,Signify N.V.,2026-05-26,1.6,NL0011821392,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-05-26,0.8,NL0015002MS2,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-05-25,0.58,NL0010391025,current
"PDT Partners, LLC",IMCD N.V.,2026-05-25,0.8,NL0010801007,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,2026-05-25,0.8,NL0011872650,current
"Algert Global, LLC",Fugro N.V.,2026-05-22,0.53,NL00150003E1,current
Citadel Advisors LLC,DSM-Firmenich AG,2026-05-22,0.86,CH1216478797,current
Citadel Advisors LLC,Signify N.V.,2026-05-22,1.6,NL0011821392,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-05-22,0.61,NL0010391025,current
Marshall Wace LLP,DSM-Firmenich AG,2026-05-22,0.78,CH1216478797,current
"PDT Partners, LLC",IMCD N.V.,2026-05-22,0.79,NL0010801007,current
Walleye Capital LLC,Pharming Group N.V.,2026-05-22,0.8,NL0010391025,current
Canada Pension Plan Investment Board,Signify N.V.,2026-05-21,1.0,NL0011821392,current
Citadel Advisors LLC,DSM-Firmenich AG,2026-05-21,0.74,CH1216478797,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-05-21,0.59,NL0010391025,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-05-21,1.71,CH1216478797,current
Marshall Wace LLP,DSM-Firmenich AG,2026-05-21,0.6,CH1216478797,current
Marshall Wace LLP,Signify N.V.,2026-05-21,1.58,NL0011821392,current
"Two Sigma Investments, LP",Pharming Group N.V.,2026-05-21,0.99,NL0010391025,current
"Two Sigma Investments, LP",InPost S.A.,2026-05-20,1.29,LU2290522684,current
"Two Sigma Investments, LP",Pharming Group N.V.,2026-05-20,1.0,NL0010391025,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-05-19,0.6,NL0010391025,current
Linden Advisors LP,Basic-Fit N.V.,2026-05-19,0.9,NL0011872650,current
"PDT Partners, LLC",Signify N.V.,2026-05-19,1.0,NL0011821392,current
"Two Sigma Investments, LP",IMCD N.V.,2026-05-19,0.68,NL0010801007,current
"AQR Capital Management, LLC",ARCADIS N.V.,2026-05-18,0.99,NL0006237562,current
Citadel Advisors LLC,DSM-Firmenich AG,2026-05-18,0.62,CH1216478797,current
Citadel Advisors LLC,Signify N.V.,2026-05-18,1.59,NL0011821392,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-05-18,0.73,NL0015002MS2,current
"BlackRock Financial Management, Inc.",IMCD N.V.,2026-05-15,0.79,NL0010801007,current
Citadel Advisors LLC,Wereldhave N.V.,2026-05-15,0.82,NL0000289213,current
"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,2026-05-15,0.68,NL0000395903,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-05-15,0.68,NL0015002MS2,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-05-15,0.71,NL0015002MS2,current
Capital Fund Management S.A.,IMCD N.V.,2026-05-14,0.78,NL0010801007,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,2026-05-14,0.89,NL0011872650,current
"PDT Partners, LLC",IMCD N.V.,2026-05-14,0.8,NL0010801007,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,2026-05-14,0.77,NL0011872650,current
Capital Fund Management S.A.,IMCD N.V.,2026-05-13,0.8,NL0010801007,current
Citadel Advisors LLC,Signify N.V.,2026-05-13,1.61,NL0011821392,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-05-13,0.53,NL0010391025,current
"Two Sigma Investments, LP",Pharming Group N.V.,2026-05-13,0.91,NL0010391025,current
Walleye Capital LLC,Pharming Group N.V.,2026-05-13,0.74,NL0010391025,current
"BlackRock Advisors, LLC",IMCD N.V.,2026-05-12,0.59,NL0010801007,current
"BlackRock Financial Management, Inc.",Signify N.V.,2026-05-12,0.71,NL0011821392,current
Capital Fund Management S.A.,IMCD N.V.,2026-05-12,0.79,NL0010801007,current
Lazard Asset Management LLC,Pharming Group N.V.,2026-05-12,0.82,NL0010391025,current
