position_holder,issuer_name,position_date,net_short_position,isin,source
Voleon Capital Management LP,Koninklijke BAM Groep N.V.,2020-10-28,1.21,NL0000337319,archive
Voleon Capital Management LP,Pharming Group N.V.,2020-10-28,0.71,NL0010391025,archive
Whitebox Advisors LLC,Fugro N.V.,2020-10-28,1.35,NL0000352565,archive
Citadel Advisors LLC,Flow Traders Ltd.,2020-10-27,0.56,NL0011279492,archive
D1 Capital Partners LP,Unibail-Rodamco-Westfield SE,2020-10-27,5.9,FR0013326246,archive
Marshall Wace LLP,SBM Offshore N.V.,2020-10-27,1.5,NL0000360618,archive
Pictet Asset Management Limited,Pharming Group N.V.,2020-10-27,1.39,NL0010391025,archive
Voleon Capital Management LP,Koninklijke BAM Groep N.V.,2020-10-27,1.1,NL0000337319,archive
Voleon Capital Management LP,Pharming Group N.V.,2020-10-27,0.69,NL0010391025,archive
AKO Capital LLP,ARCADIS N.V.,2020-10-26,0.84,NL0006237562,archive
Citadel Europe LLP,Aperam S.A.,2020-10-26,0.9,LU0569974404,archive
HBK Investments LP,Koninklijke BAM Groep N.V.,2020-10-26,0.5,NL0000337319,archive
Marshall Wace LLP,Basic-Fit N.V.,2020-10-26,0.62,NL0011872650,archive
Marshall Wace LLP,Fugro N.V.,2020-10-26,1.91,NL0000352565,archive
Marshall Wace LLP,SBM Offshore N.V.,2020-10-26,1.49,NL0000360618,archive
Pictet Asset Management Limited,Pharming Group N.V.,2020-10-26,0.95,NL0010391025,archive
Viking Global Investors LP,AEGON Ltd.,2020-10-26,0.6,NL0000303709,archive
Woodline Partners,Pharming Group N.V.,2020-10-26,0.59,NL0010391025,archive
Lone Pine Capital LLC,Unibail-Rodamco-Westfield SE,2020-10-23,2.0,FR0013326246,archive
Marshall Wace LLP,Basic-Fit N.V.,2020-10-23,0.5,NL0011872650,archive
Marshall Wace LLP,Flow Traders Ltd.,2020-10-23,0.45,NL0011279492,archive
Marshall Wace LLP,Fugro N.V.,2020-10-23,1.83,NL0000352565,archive
Millennium Capital Partners LLP,Signify N.V.,2020-10-23,0.86,NL0011821392,archive
Millennium International Management LP,Signify N.V.,2020-10-23,0.52,NL0011821392,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,2020-10-23,0.96,NL0012866412,archive
Steadfast Capital Management LP,Unibail-Rodamco-Westfield SE,2020-10-23,0.7,FR0013326246,archive
Voleon Capital Management LP,Fugro N.V.,2020-10-23,1.86,NL0000352565,archive
"Woodson Capital Master Fund, LP",Wereldhave N.V.,2020-10-23,4.17,NL0000289213,archive
AKO Capital LLP,ARCADIS N.V.,2020-10-22,0.98,NL0006237562,archive
HBK Investments LP,Koninklijke BAM Groep N.V.,2020-10-22,0.49,NL0000337319,archive
Marshall Wace LLP,Flow Traders Ltd.,2020-10-22,0.53,NL0011279492,archive
Millennium Capital Partners LLP,Signify N.V.,2020-10-22,0.79,NL0011821392,archive
Pictet Asset Management Limited,Pharming Group N.V.,2020-10-22,1.3,NL0010391025,archive
"Samlyn Capital, LLC",AEGON Ltd.,2020-10-22,1.03,NL0000303709,archive
Sculptor Capital Management Europe Limited,STMicroelectronics N.V.,2020-10-22,0.61,NL0000226223,archive
Steadfast Capital Management LP,Unibail-Rodamco-Westfield SE,2020-10-22,0.6,FR0013326246,archive
TFG Asset Management UK LLP,Fugro N.V.,2020-10-22,0.44,NL0000352565,archive
Voleon Capital Management LP,Pharming Group N.V.,2020-10-22,0.7,NL0010391025,archive
Whitebox Advisors LLC,Fugro N.V.,2020-10-22,1.7,NL0000352565,archive
AKO Capital LLP,ARCADIS N.V.,2020-10-21,1.19,NL0006237562,archive
Astaris Capital Management LLP,Fugro N.V.,2020-10-21,0.34,NL0000352565,archive
GSA Capital Partners LLP,Koninklijke BAM Groep N.V.,2020-10-21,0.8,NL0000337319,archive
HBK Investments LP,Fugro N.V.,2020-10-21,0.02,NL0000352565,archive
Marshall Wace LLP,Fugro N.V.,2020-10-21,1.7,NL0000352565,archive
Whitebox Advisors LLC,Fugro N.V.,2020-10-21,1.81,NL0000352565,archive
Astaris Capital Management LLP,Fugro N.V.,2020-10-20,0.53,NL0000352565,archive
GSA Capital Partners LLP,Koninklijke BAM Groep N.V.,2020-10-20,0.72,NL0000337319,archive
HBK Investments LP,Fugro N.V.,2020-10-20,1.06,NL0000352565,archive
Marshall Wace LLP,Fugro N.V.,2020-10-20,1.58,NL0000352565,archive
Marshall Wace LLP,SBM Offshore N.V.,2020-10-20,1.5,NL0000360618,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2020-10-20,0.46,FR0013326246,archive
"SCGE Fund, LP",Unibail-Rodamco-Westfield SE,2020-10-20,0.57,FR0013326246,archive
TFG Asset Management UK LLP,Fugro N.V.,2020-10-20,0.82,NL0000352565,archive
Whitebox Advisors LLC,Fugro N.V.,2020-10-20,2.15,NL0000352565,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2020-10-19,0.59,FR0013326246,archive
Susquehanna International Holdings LLC,Fugro N.V.,2020-10-19,0.49,NL0000352565,archive
Systematica Investments Limited,AMG Critical Materials N.V.,2020-10-19,0.99,NL0000888691,archive
Voleon Capital Management LP,Fugro N.V.,2020-10-19,1.91,NL0000352565,archive
Woodline Partners,Pharming Group N.V.,2020-10-19,0.68,NL0010391025,archive
"AQR Capital Management, LLC",OCI N.V.,2020-10-16,1.49,NL0010558797,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2020-10-16,1.69,NL0000360618,archive
Astaris Capital Management LLP,Fugro N.V.,2020-10-16,0.64,NL0000352565,archive
GSA Capital Partners LLP,Koninklijke BAM Groep N.V.,2020-10-16,0.65,NL0000337319,archive
HBK Investments LP,Fugro N.V.,2020-10-16,1.18,NL0000352565,archive
Marshall Wace LLP,Fugro N.V.,2020-10-16,1.32,NL0000352565,archive
Pictet Asset Management Limited,Pharming Group N.V.,2020-10-16,1.1,NL0010391025,archive
Susquehanna International Holdings LLC,Fugro N.V.,2020-10-16,0.52,NL0000352565,archive
Voleon Capital Management LP,Fugro N.V.,2020-10-16,1.87,NL0000352565,archive
Voleon Capital Management LP,Koninklijke BAM Groep N.V.,2020-10-16,1.01,NL0000337319,archive
Astaris Capital Management LLP,Fugro N.V.,2020-10-15,0.51,NL0000352565,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2020-10-15,1.16,NL0000888691,archive
HBK Investments LP,Fugro N.V.,2020-10-15,1.3,NL0000352565,archive
Lone Pine Capital LLC,Unibail-Rodamco-Westfield SE,2020-10-15,1.98,FR0013326246,archive
Marshall Wace LLP,Flow Traders Ltd.,2020-10-15,0.88,NL0011279492,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2020-10-15,0.6,FR0013326246,archive
Voleon Capital Management LP,Fugro N.V.,2020-10-15,1.77,NL0000352565,archive
Voleon Capital Management LP,Koninklijke BAM Groep N.V.,2020-10-15,0.88,NL0000337319,archive
Whitebox Advisors LLC,Fugro N.V.,2020-10-15,2.8,NL0000352565,archive
Gladstone Capital Management LLP,Unibail-Rodamco-Westfield SE,2020-10-14,1.1,FR0013326246,archive
"Lucerne Capital Management, L.P.",Koninklijke BAM Groep N.V.,2020-10-14,1.77,NL0000337319,archive
Renaissance Technologies LLC,SBM Offshore N.V.,2020-10-14,0.48,NL0000360618,archive
"Samlyn Capital, LLC",Unibail-Rodamco-Westfield SE,2020-10-14,1.7,FR0013326246,archive
Sculptor Capital Management Europe Limited,STMicroelectronics N.V.,2020-10-14,0.56,NL0000226223,archive
Voleon Capital Management LP,Fugro N.V.,2020-10-14,1.63,NL0000352565,archive
Voleon Capital Management LP,Koninklijke BAM Groep N.V.,2020-10-14,0.78,NL0000337319,archive
Voleon Capital Management LP,Pharming Group N.V.,2020-10-14,0.61,NL0010391025,archive
HBK Investments LP,Fugro N.V.,2020-10-13,1.23,NL0000352565,archive
HBK Investments LP,Koninklijke BAM Groep N.V.,2020-10-13,0.5,NL0000337319,archive
Marshall Wace LLP,SBM Offshore N.V.,2020-10-13,1.42,NL0000360618,archive
Moore Capital Management LP,Unibail-Rodamco-Westfield SE,2020-10-13,0.46,FR0013326246,archive
Renaissance Technologies LLC,SBM Offshore N.V.,2020-10-13,0.5,NL0000360618,archive
SFM UK Management LLP,ARCADIS N.V.,2020-10-13,0.49,NL0006237562,archive
Susquehanna International Securities Limited,Fugro N.V.,2020-10-13,0.0,NL0000352565,archive
Verde Serviços Internacionais S.A.,BE Semiconductor Industries N.V.,2020-10-13,0.65,NL0012866412,archive
Voleon Capital Management LP,Fugro N.V.,2020-10-13,1.53,NL0000352565,archive
Voleon Capital Management LP,Koninklijke BAM Groep N.V.,2020-10-13,0.62,NL0000337319,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2020-10-12,1.73,NL0000360618,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2020-10-12,1.28,NL0000888691,archive
"Connor, Clark & Lunn Investment Management Ltd.",Wereldhave N.V.,2020-10-12,0.89,NL0000289213,archive
Oceanwood Capital Management LLP,ARCADIS N.V.,2020-10-12,0.29,NL0006237562,archive
Pictet Asset Management Limited,Pharming Group N.V.,2020-10-12,1.05,NL0010391025,archive
"Samlyn Capital, LLC",AEGON Ltd.,2020-10-12,0.93,NL0000303709,archive
"Samlyn Capital, LLC",Unibail-Rodamco-Westfield SE,2020-10-12,1.64,FR0013326246,archive
Sculptor Capital Management Europe Limited,STMicroelectronics N.V.,2020-10-12,0.6,NL0000226223,archive
Voleon Capital Management LP,Koninklijke BAM Groep N.V.,2020-10-12,0.53,NL0000337319,archive
Susquehanna International Securities Limited,Fugro N.V.,2020-10-09,0.81,NL0000352565,archive
"WorldQuant, LLC",AMG Critical Materials N.V.,2020-10-09,0.46,NL0000888691,archive
Citadel Advisors LLC,Koninklijke BAM Groep N.V.,2020-10-08,0.38,NL0000337319,archive
D1 Capital Partners LP,Unibail-Rodamco-Westfield SE,2020-10-08,6.1,FR0013326246,archive
Gladstone Capital Management LLP,Unibail-Rodamco-Westfield SE,2020-10-08,1.04,FR0013326246,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2020-10-08,0.97,FR0013326246,archive
Millennium Capital Partners LLP,Signify N.V.,2020-10-08,0.8,NL0011821392,archive
Voleon Capital Management LP,Fugro N.V.,2020-10-08,1.48,NL0000352565,archive
"WorldQuant, LLC",AMG Critical Materials N.V.,2020-10-08,0.5,NL0000888691,archive
"WorldQuant, LLC",Fugro N.V.,2020-10-08,1.59,NL0000352565,archive
HBK Investments LP,Fugro N.V.,2020-10-07,1.1,NL0000352565,archive
Voleon Capital Management LP,Fugro N.V.,2020-10-07,1.56,NL0000352565,archive
Voleon Capital Management LP,Koninklijke BAM Groep N.V.,2020-10-07,0.49,NL0000337319,archive
Voleon Capital Management LP,Pharming Group N.V.,2020-10-07,0.5,NL0010391025,archive
Citadel Europe LLP,BE Semiconductor Industries N.V.,2020-10-06,2.2,NL0012866412,archive
HBK Investments LP,Fugro N.V.,2020-10-06,1.07,NL0000352565,archive
Marshall Wace LLP,Flow Traders Ltd.,2020-10-06,0.91,NL0011279492,archive
"Samlyn Capital, LLC",Unibail-Rodamco-Westfield SE,2020-10-06,1.5,FR0013326246,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,2020-10-06,1.06,NL0012866412,archive
Susquehanna International Securities Limited,Fugro N.V.,2020-10-06,0.73,NL0000352565,archive
Voleon Capital Management LP,Fugro N.V.,2020-10-06,1.68,NL0000352565,archive
Citadel Advisors LLC,Koninklijke BAM Groep N.V.,2020-10-05,0.57,NL0000337319,archive
D1 Capital Partners LP,Unibail-Rodamco-Westfield SE,2020-10-05,5.94,FR0013326246,archive
Marshall Wace LLP,Fugro N.V.,2020-10-05,1.22,NL0000352565,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2020-10-05,1.07,FR0013326246,archive
Voleon Capital Management LP,Fugro N.V.,2020-10-05,1.96,NL0000352565,archive
Woodline Partners,Pharming Group N.V.,2020-10-05,0.78,NL0010391025,archive
"WorldQuant, LLC",Fugro N.V.,2020-10-05,1.6,NL0000352565,archive
Citadel Advisors LLC,Koninklijke BAM Groep N.V.,2020-10-02,0.62,NL0000337319,archive
"D. E. Shaw & Co., L.P.",Lakefront Biotherapeutics NV,2020-10-02,0.89,BE0003818359,archive
D1 Capital Partners LP,Unibail-Rodamco-Westfield SE,2020-10-02,5.83,FR0013326246,archive
HBK Investments LP,Koninklijke BAM Groep N.V.,2020-10-02,0.49,NL0000337319,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2020-10-02,0.97,FR0013326246,archive
Susquehanna International Securities Limited,Fugro N.V.,2020-10-02,0.89,NL0000352565,archive
Voleon Capital Management LP,Fugro N.V.,2020-10-02,2.07,NL0000352565,archive
Voleon Capital Management LP,Koninklijke BAM Groep N.V.,2020-10-02,0.59,NL0000337319,archive
"WorldQuant, LLC",Fugro N.V.,2020-10-02,1.73,NL0000352565,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2020-10-01,1.69,NL0000360618,archive
BNP Paribas S.A.,STMicroelectronics N.V.,2020-10-01,0.0,NL0000226223,archive
Gladstone Capital Management LLP,Unibail-Rodamco-Westfield SE,2020-10-01,0.94,FR0013326246,archive
Marshall Wace LLP,Flow Traders Ltd.,2020-10-01,0.8,NL0011279492,archive
Marshall Wace LLP,Fugro N.V.,2020-10-01,1.13,NL0000352565,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2020-10-01,0.86,FR0013326246,archive
"WorldQuant, LLC",Fugro N.V.,2020-10-01,1.85,NL0000352565,archive
D1 Capital Partners LP,Unibail-Rodamco-Westfield SE,2020-09-30,5.63,FR0013326246,archive
HBK Investments LP,Koninklijke BAM Groep N.V.,2020-09-30,0.51,NL0000337319,archive
"Lucerne Capital Management, L.P.",Koninklijke BAM Groep N.V.,2020-09-30,1.64,NL0000337319,archive
Marshall Wace LLP,Flow Traders Ltd.,2020-09-30,0.74,NL0011279492,archive
"WorldQuant, LLC",Fugro N.V.,2020-09-30,1.97,NL0000352565,archive
HBK Investments LP,Koninklijke BAM Groep N.V.,2020-09-29,0.63,NL0000337319,archive
Oceanwood Capital Management LLP,Unibail-Rodamco-Westfield SE,2020-09-29,0.43,FR0013326246,archive
Susquehanna International Securities Limited,Fugro N.V.,2020-09-29,0.98,NL0000352565,archive
"WorldQuant, LLC",Fugro N.V.,2020-09-29,2.1,NL0000352565,archive
"Lucerne Capital Management, L.P.",Koninklijke BAM Groep N.V.,2020-09-28,1.5,NL0000337319,archive
"Samlyn Capital, LLC",Unibail-Rodamco-Westfield SE,2020-09-28,1.41,FR0013326246,archive
Sculptor Capital Management Europe Limited,STMicroelectronics N.V.,2020-09-28,0.54,NL0000226223,archive
Voleon Capital Management LP,Fugro N.V.,2020-09-28,2.13,NL0000352565,archive
Voleon Capital Management LP,Pharming Group N.V.,2020-09-28,0.48,NL0010391025,archive
BNP Paribas S.A.,STMicroelectronics N.V.,2020-09-25,0.82,NL0000226223,archive
D1 Capital Partners LP,Unibail-Rodamco-Westfield SE,2020-09-25,5.43,FR0013326246,archive
Marshall Wace LLP,Flow Traders Ltd.,2020-09-25,0.61,NL0011279492,archive
Tiger Global Management LLC,Unibail-Rodamco-Westfield SE,2020-09-25,0.42,FR0013326246,archive
Voleon Capital Management LP,Fugro N.V.,2020-09-25,2.07,NL0000352565,archive
Voleon Capital Management LP,Koninklijke BAM Groep N.V.,2020-09-25,0.62,NL0000337319,archive
"WorldQuant, LLC",Fugro N.V.,2020-09-25,2.22,NL0000352565,archive
Marshall Wace LLP,Fugro N.V.,2020-09-24,1.03,NL0000352565,archive
Millennium Capital Partners LLP,Signify N.V.,2020-09-24,0.72,NL0011821392,archive
"Samlyn Capital, LLC",Unibail-Rodamco-Westfield SE,2020-09-24,1.37,FR0013326246,archive
Susquehanna International Securities Limited,Fugro N.V.,2020-09-24,0.0,NL0000352565,archive
Tiger Global Management LLC,Unibail-Rodamco-Westfield SE,2020-09-24,0.57,FR0013326246,archive
"WorldQuant, LLC",Fugro N.V.,2020-09-24,2.35,NL0000352565,archive
BNP Paribas S.A.,STMicroelectronics N.V.,2020-09-23,0.95,NL0000226223,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2020-09-23,1.32,NL0000888691,archive
JPMorgan Asset Management (UK) Ltd.,Sif Holding N.V.,2020-09-23,0.49,NL0011660485,archive
Lone Pine Capital LLC,Unibail-Rodamco-Westfield SE,2020-09-23,2.01,FR0013326246,archive
"Lucerne Capital Management, L.P.",Koninklijke BAM Groep N.V.,2020-09-23,1.34,NL0000337319,archive
Marshall Wace LLP,Flow Traders Ltd.,2020-09-23,0.53,NL0011279492,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2020-09-23,0.72,FR0013326246,archive
"Samlyn Capital, LLC",Unibail-Rodamco-Westfield SE,2020-09-23,1.27,FR0013326246,archive
Voleon Capital Management LP,Fugro N.V.,2020-09-23,1.91,NL0000352565,archive
Voleon Capital Management LP,Pharming Group N.V.,2020-09-23,0.56,NL0010391025,archive
Woodline Partners,Pharming Group N.V.,2020-09-23,0.89,NL0010391025,archive
"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,2020-09-22,1.14,NL0012866412,archive
"Lucerne Capital Management, L.P.",Koninklijke BAM Groep N.V.,2020-09-22,1.24,NL0000337319,archive
Marshall Wace LLP,SBM Offshore N.V.,2020-09-22,1.39,NL0000360618,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2020-09-22,0.68,FR0013326246,archive
"Samlyn Capital, LLC",Unibail-Rodamco-Westfield SE,2020-09-22,1.16,FR0013326246,archive
Voleon Capital Management LP,Fugro N.V.,2020-09-22,1.84,NL0000352565,archive
AKO Capital LLP,ARCADIS N.V.,2020-09-21,1.27,NL0006237562,archive
HBK Investments LP,Fugro N.V.,2020-09-21,1.12,NL0000352565,archive
Lone Pine Capital LLC,Unibail-Rodamco-Westfield SE,2020-09-21,1.6,FR0013326246,archive
Marshall Wace LLP,SBM Offshore N.V.,2020-09-21,1.4,NL0000360618,archive
Oceanwood Capital Management LLP,Unibail-Rodamco-Westfield SE,2020-09-21,0.51,FR0013326246,archive
"Samlyn Capital, LLC",Unibail-Rodamco-Westfield SE,2020-09-21,1.02,FR0013326246,archive
Susquehanna International Securities Limited,Fugro N.V.,2020-09-21,0.91,NL0000352565,archive
"Woodson Capital Master Fund, LP",Unibail-Rodamco-Westfield SE,2020-09-21,1.02,FR0013326246,archive
"Woodson Capital Master Fund, LP",Wereldhave N.V.,2020-09-21,4.42,NL0000289213,archive
"Athanor Capital, LP",Wereldhave N.V.,2020-09-18,1.41,NL0000289213,archive
BNP Paribas S.A.,STMicroelectronics N.V.,2020-09-18,1.02,NL0000226223,archive
HBK Investments LP,Koninklijke BAM Groep N.V.,2020-09-18,1.01,NL0000337319,archive
Lone Pine Capital LLC,Unibail-Rodamco-Westfield SE,2020-09-18,1.59,FR0013326246,archive
Marshall Wace LLP,Lakefront Biotherapeutics NV,2020-09-18,0.49,BE0003818359,archive
Marshall Wace LLP,SBM Offshore N.V.,2020-09-18,1.39,NL0000360618,archive
"Maverick Capital, Ltd.",Unibail-Rodamco-Westfield SE,2020-09-18,2.24,FR0013326246,archive
Moore Capital Management LP,Unibail-Rodamco-Westfield SE,2020-09-18,0.5,FR0013326246,archive
"Samlyn Capital, LLC",Unibail-Rodamco-Westfield SE,2020-09-18,0.95,FR0013326246,archive
Susquehanna International Securities Limited,Fugro N.V.,2020-09-18,0.84,NL0000352565,archive
Voleon Capital Management LP,Koninklijke BAM Groep N.V.,2020-09-18,0.5,NL0000337319,archive
B&G Master Fund Plc,ArcelorMittal S.A.,2020-09-17,1.9,LU1598757687,archive
Citadel Advisors LLC,Aperam S.A.,2020-09-17,0.58,LU0569974404,archive
Citadel Europe LLP,ArcelorMittal S.A.,2020-09-17,0.67,LU1598757687,archive
Gladstone Capital Management LLP,Unibail-Rodamco-Westfield SE,2020-09-17,0.81,FR0013326246,archive
Marshall Wace LLP,Fugro N.V.,2020-09-17,0.89,NL0000352565,archive
Moore Capital Management LP,Unibail-Rodamco-Westfield SE,2020-09-17,0.47,FR0013326246,archive
"Samlyn Capital, LLC",Unibail-Rodamco-Westfield SE,2020-09-17,0.79,FR0013326246,archive
Susquehanna International Securities Limited,Fugro N.V.,2020-09-17,0.72,NL0000352565,archive
Voleon Capital Management LP,Fugro N.V.,2020-09-17,1.78,NL0000352565,archive
"D. E. Shaw & Co., L.P.",Lakefront Biotherapeutics NV,2020-09-16,0.9,BE0003818359,archive
GLG Partners LP,BE Semiconductor Industries N.V.,2020-09-16,0.61,NL0012866412,archive
GSA Capital Partners LLP,Koninklijke BAM Groep N.V.,2020-09-16,0.54,NL0000337319,archive
Millennium Capital Partners LLP,Signify N.V.,2020-09-16,0.61,NL0011821392,archive
Parian GP LLC,Eurocommercial Properties N.V.,2020-09-16,0.47,NL0000288876,archive
Parian GP LLC,Wereldhave N.V.,2020-09-16,0.48,NL0000289213,archive
Susquehanna International Securities Limited,Fugro N.V.,2020-09-16,0.8,NL0000352565,archive
Systematica Investments Limited,Fugro N.V.,2020-09-16,1.41,NL0000352565,archive
Voleon Capital Management LP,Fugro N.V.,2020-09-16,1.96,NL0000352565,archive
Voleon Capital Management LP,Pharming Group N.V.,2020-09-16,0.68,NL0010391025,archive
AKO Capital LLP,ARCADIS N.V.,2020-09-15,1.39,NL0006237562,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2020-09-15,1.79,NL0000360618,archive
"Athanor Capital, LP",Wereldhave N.V.,2020-09-15,1.3,NL0000289213,archive
Gladstone Capital Management LLP,Unibail-Rodamco-Westfield SE,2020-09-15,0.71,FR0013326246,archive
HBK Investments LP,Fugro N.V.,2020-09-15,1.09,NL0000352565,archive
Parian GP LLC,Wereldhave N.V.,2020-09-15,0.58,NL0000289213,archive
Sculptor Capital Management Europe Limited,STMicroelectronics N.V.,2020-09-15,0.69,NL0000226223,archive
Voleon Capital Management LP,Fugro N.V.,2020-09-15,2.08,NL0000352565,archive
HBK Investments LP,Fugro N.V.,2020-09-14,1.1,NL0000352565,archive
JPMorgan Asset Management (UK) Ltd.,Sif Holding N.V.,2020-09-14,0.59,NL0011660485,archive
Marshall Wace LLP,Lakefront Biotherapeutics NV,2020-09-14,0.53,BE0003818359,archive
Systematica Investments Limited,AMG Critical Materials N.V.,2020-09-14,1.09,NL0000888691,archive
AKO Capital LLP,ARCADIS N.V.,2020-09-11,1.47,NL0006237562,archive
"AQR Capital Management, LLC",OCI N.V.,2020-09-11,1.59,NL0010558797,archive
BNP Paribas S.A.,STMicroelectronics N.V.,2020-09-11,1.25,NL0000226223,archive
D1 Capital Partners LP,Unibail-Rodamco-Westfield SE,2020-09-11,5.23,FR0013326246,archive
Gladstone Capital Management LLP,Unibail-Rodamco-Westfield SE,2020-09-11,0.65,FR0013326246,archive
Marshall Wace LLP,Lakefront Biotherapeutics NV,2020-09-11,0.48,BE0003818359,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2020-09-11,0.78,FR0013326246,archive
"AQR Capital Management, LLC",OCI N.V.,2020-09-10,1.6,NL0010558797,archive
D1 Capital Partners LP,Unibail-Rodamco-Westfield SE,2020-09-10,5.18,FR0013326246,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2020-09-10,0.44,NL0000337319,archive
HBK Investments LP,Fugro N.V.,2020-09-09,1.09,NL0000352565,archive
"Samlyn Capital, LLC",AEGON Ltd.,2020-09-09,0.8,NL0000303709,archive
Systematica Investments Limited,AMG Critical Materials N.V.,2020-09-09,1.1,NL0000888691,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2020-09-09,0.53,NL0000337319,archive
Gladstone Capital Management LLP,Unibail-Rodamco-Westfield SE,2020-09-08,0.53,FR0013326246,archive
GSA Capital Partners LLP,Koninklijke BAM Groep N.V.,2020-09-08,0.64,NL0000337319,archive
HBK Investments LP,Fugro N.V.,2020-09-08,1.1,NL0000352565,archive
Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,2020-09-08,0.54,FR0013326246,archive
Marshall Wace LLP,SBM Offshore N.V.,2020-09-08,1.41,NL0000360618,archive
Susquehanna International Securities Limited,Fugro N.V.,2020-09-08,0.92,NL0000352565,archive
Systematica Investments Limited,AMG Critical Materials N.V.,2020-09-08,1.09,NL0000888691,archive
Systematica Investments Limited,Fugro N.V.,2020-09-08,1.31,NL0000352565,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2020-09-08,0.61,NL0000337319,archive
Marshall Wace LLP,Lakefront Biotherapeutics NV,2020-09-07,0.58,BE0003818359,archive
Voleon Capital Management LP,Fugro N.V.,2020-09-07,2.1,NL0000352565,archive
"WorldQuant, LLC",Lakefront Biotherapeutics NV,2020-09-07,0.46,BE0003818359,archive
"AQR Capital Management, LLC",OCI N.V.,2020-09-04,1.59,NL0010558797,archive
BlueCrest Capital Management Limited,Koninklijke BAM Groep N.V.,2020-09-04,0.78,NL0000337319,archive
BNP Paribas S.A.,STMicroelectronics N.V.,2020-09-04,1.17,NL0000226223,archive
HBK Investments LP,Koninklijke BAM Groep N.V.,2020-09-04,0.98,NL0000337319,archive
Lone Pine Capital LLC,Unibail-Rodamco-Westfield SE,2020-09-04,1.63,FR0013326246,archive
Marshall Wace LLP,Lakefront Biotherapeutics NV,2020-09-04,0.6,BE0003818359,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2020-09-04,0.87,FR0013326246,archive
"WorldQuant, LLC",AMG Critical Materials N.V.,2020-09-04,0.46,NL0000888691,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2020-09-04,0.79,NL0000337319,archive
Citadel Advisors LLC,Pharming Group N.V.,2020-09-03,0.47,NL0010391025,archive
"D. E. Shaw & Co., L.P.",Lakefront Biotherapeutics NV,2020-09-03,0.89,BE0003818359,archive
Lone Pine Capital LLC,Unibail-Rodamco-Westfield SE,2020-09-03,1.54,FR0013326246,archive
"Lucerne Capital Management, L.P.",Koninklijke BAM Groep N.V.,2020-09-03,0.79,NL0000337319,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2020-09-03,0.89,NL0000337319,archive
Citadel Advisors LLC,Koninklijke BAM Groep N.V.,2020-09-02,0.72,NL0000337319,archive
Marshall Wace LLP,Fugro N.V.,2020-09-02,1.0,NL0000352565,archive
Pelham Capital Ltd.,ARCADIS N.V.,2020-09-02,1.32,NL0006237562,archive
"WorldQuant, LLC",AMG Critical Materials N.V.,2020-09-02,0.58,NL0000888691,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2020-09-02,0.98,NL0000337319,archive
"WorldQuant, LLC",Lakefront Biotherapeutics NV,2020-09-02,0.59,BE0003818359,archive
HBK Investments LP,Koninklijke BAM Groep N.V.,2020-09-01,0.71,NL0000337319,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2020-09-01,0.94,FR0013326246,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2020-09-01,1.08,NL0000337319,archive
Canada Pension Plan Investment Board,AMG Critical Materials N.V.,2020-08-31,0.4,NL0000888691,archive
HBK Investments LP,Koninklijke BAM Groep N.V.,2020-08-31,0.69,NL0000337319,archive
Moore Capital Management LP,Unibail-Rodamco-Westfield SE,2020-08-31,0.53,FR0013326246,archive
Voleon Capital Management LP,Fugro N.V.,2020-08-31,2.05,NL0000352565,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,2020-08-31,1.17,NL0000337319,archive
Canada Pension Plan Investment Board,AMG Critical Materials N.V.,2020-08-28,0.57,NL0000888691,archive
