position_holder,issuer_name,position_date,isin,net_short_position,source
"WorldQuant, LLC",TomTom N.V.,2022-01-14,NL0013332471,0.69,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2022-01-13,NL0000888691,0.54,archive
Lone Pine Capital LLC,BE Semiconductor Industries N.V.,2022-01-13,NL0012866412,0.57,archive
Marshall Wace LLP,PostNL N.V.,2022-01-13,NL0009739416,1.91,archive
Millennium Capital Partners LLP,Aperam S.A.,2022-01-13,LU0569974404,1.19,archive
Millennium Capital Partners LLP,PostNL N.V.,2022-01-13,NL0009739416,0.55,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2022-01-13,NL0000888691,0.84,archive
"WorldQuant, LLC",PostNL N.V.,2022-01-13,NL0009739416,0.93,archive
"AQR Capital Management, LLC",IMCD N.V.,2022-01-12,NL0010801007,0.5,archive
Citadel Advisors Europe Limited,Basic-Fit N.V.,2022-01-12,NL0011872650,1.23,archive
Marshall Wace LLP,Alfen N.V.,2022-01-12,NL0012817175,0.69,archive
Marshall Wace LLP,PostNL N.V.,2022-01-12,NL0009739416,2.06,archive
Millennium Capital Partners LLP,Aperam S.A.,2022-01-12,LU0569974404,1.2,archive
Pictet Asset Management Limited,Pharming Group N.V.,2022-01-12,NL0010391025,1.25,archive
"WorldQuant, LLC",Fugro N.V.,2022-01-12,NL00150003E1,0.67,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2022-01-11,NL0000888691,0.65,archive
Citadel Advisors Europe Limited,Basic-Fit N.V.,2022-01-11,NL0011872650,1.17,archive
Systematica Investments Limited,AMG Critical Materials N.V.,2022-01-11,NL0000888691,1.18,archive
Voleon Capital Management LP,Alfen N.V.,2022-01-11,NL0012817175,0.48,archive
"WorldQuant, LLC",TomTom N.V.,2022-01-11,NL0013332471,0.71,archive
Citadel Advisors Europe Limited,Basic-Fit N.V.,2022-01-10,NL0011872650,1.21,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2022-01-10,NL0000888691,0.64,archive
"D. E. Shaw & Co. (London), LLP",Basic-Fit N.V.,2022-01-10,NL0011872650,0.39,archive
Marshall Wace LLP,PostNL N.V.,2022-01-10,NL0009739416,2.19,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2022-01-10,NL0000888691,0.79,archive
"WorldQuant, LLC",PostNL N.V.,2022-01-10,NL0009739416,0.8,archive
Citadel Advisors LLC,Koninklijke BAM Groep N.V.,2022-01-07,NL0000337319,0.48,archive
Citadel Advisors LLC,Pharming Group N.V.,2022-01-07,NL0010391025,0.53,archive
Lansdowne Partners (UK) LLP,ARCADIS N.V.,2022-01-07,NL0006237562,0.49,archive
Marshall Wace LLP,ABN AMRO Bank NV,2022-01-07,NL0011540547,0.63,archive
Marshall Wace LLP,PostNL N.V.,2022-01-07,NL0009739416,2.26,archive
Millennium Capital Partners LLP,Aperam S.A.,2022-01-07,LU0569974404,1.1,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2022-01-07,NL0000888691,0.85,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2022-01-06,NL0000888691,0.56,archive
Marshall Wace LLP,Alfen N.V.,2022-01-06,NL0012817175,0.7,archive
Qube Research & Technologies Ltd.,Galapagos NV,2022-01-06,BE0003818359,0.98,archive
Capital Fund Management S.A.,AMG Critical Materials N.V.,2022-01-05,NL0000888691,0.56,archive
Citadel Advisors Europe Limited,Basic-Fit N.V.,2022-01-05,NL0011872650,1.08,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2022-01-05,NL0000888691,0.48,archive
Citadel Advisors LLC,TomTom N.V.,2022-01-05,NL0013332471,0.47,archive
Kuvari Partners LLP,PostNL N.V.,2022-01-05,NL0009739416,0.66,archive
Lone Pine Capital LLC,BE Semiconductor Industries N.V.,2022-01-05,NL0012866412,0.66,archive
Marshall Wace LLP,ABN AMRO Bank NV,2022-01-05,NL0011540547,0.54,archive
Marshall Wace LLP,PostNL N.V.,2022-01-05,NL0009739416,2.35,archive
Qube Research & Technologies Ltd.,Galapagos NV,2022-01-05,BE0003818359,1.0,archive
Voleon Capital Management LP,Alfen N.V.,2022-01-05,NL0012817175,0.5,archive
Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,2022-01-04,FR0013326246,0.68,archive
Lone Pine Capital LLC,BE Semiconductor Industries N.V.,2022-01-04,NL0012866412,0.76,archive
Millennium Capital Partners LLP,PostNL N.V.,2022-01-04,NL0009739416,0.61,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2022-01-04,NL0000888691,0.92,archive
Qube Research & Technologies Ltd.,Galapagos NV,2022-01-04,BE0003818359,0.99,archive
Voleon Capital Management LP,Alfen N.V.,2022-01-04,NL0012817175,0.49,archive
"WorldQuant, LLC",Fugro N.V.,2022-01-04,NL00150003E1,0.78,archive
"WorldQuant, LLC",TomTom N.V.,2022-01-04,NL0013332471,0.63,archive
Citadel Advisors Europe Limited,Basic-Fit N.V.,2022-01-03,NL0011872650,0.98,archive
Citadel Europe LLP,Basic-Fit N.V.,2022-01-03,NL0011872650,0.0,archive
HRTEU Limited,TomTom N.V.,2022-01-03,NL0013332471,0.47,archive
Lone Pine Capital LLC,BE Semiconductor Industries N.V.,2022-01-03,NL0012866412,0.87,archive
Marshall Wace LLP,PostNL N.V.,2022-01-03,NL0009739416,2.46,archive
Millennium Capital Partners LLP,PostNL N.V.,2022-01-03,NL0009739416,0.59,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2022-01-03,NL0000888691,0.82,archive
"WorldQuant, LLC",PostNL N.V.,2022-01-03,NL0009739416,0.75,archive
"Connor, Clark & Lunn Investment Management Ltd.",AMG Critical Materials N.V.,2021-12-31,NL0000888691,0.68,archive
Lone Pine Capital LLC,BE Semiconductor Industries N.V.,2021-12-31,NL0012866412,0.97,archive
Millennium Capital Partners LLP,PostNL N.V.,2021-12-31,NL0009739416,0.6,archive
"AQR Capital Management, LLC",Galapagos NV,2021-12-30,BE0003818359,0.49,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2021-12-30,NL0000888691,0.58,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2021-12-30,NL0000888691,0.72,archive
"WorldQuant, LLC",Fugro N.V.,2021-12-30,NL00150003E1,0.81,archive
"WorldQuant, LLC",PostNL N.V.,2021-12-29,NL0009739416,0.62,archive
Millennium International Management LP,Wereldhave N.V.,2021-12-28,NL0000289213,0.5,archive
Marshall Wace LLP,Alfen N.V.,2021-12-27,NL0012817175,0.69,archive
Marshall Wace LLP,PostNL N.V.,2021-12-27,NL0009739416,2.59,archive
Qube Research & Technologies Ltd.,Galapagos NV,2021-12-27,BE0003818359,1.09,archive
Citadel Advisors LLC,TomTom N.V.,2021-12-23,NL0013332471,0.51,archive
Marshall Wace LLP,TomTom N.V.,2021-12-23,NL0013332471,0.9,archive
"PDT Partners, LLC",AMG Critical Materials N.V.,2021-12-23,NL0000888691,0.49,archive
"WorldQuant, LLC",PostNL N.V.,2021-12-23,NL0009739416,0.51,archive
Marshall Wace LLP,PostNL N.V.,2021-12-22,NL0009739416,2.61,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2021-12-22,NL0000888691,0.61,archive
Toscafund Asset Management LLP,Wereldhave N.V.,2021-12-22,NL0000289213,1.03,archive
"WorldQuant, LLC",TomTom N.V.,2021-12-22,NL0013332471,0.58,archive
B&G Master Fund Plc,ArcelorMittal S.A.,2021-12-21,LU1598757687,0.31,archive
Citadel Advisors LLC,Koninklijke BAM Groep N.V.,2021-12-21,NL0000337319,0.52,archive
Millennium Capital Partners LLP,PostNL N.V.,2021-12-21,NL0009739416,0.52,archive
"WorldQuant, LLC",TomTom N.V.,2021-12-21,NL0013332471,0.6,archive
B&G Master Fund Plc,ArcelorMittal S.A.,2021-12-20,LU1598757687,0.62,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2021-12-20,NL0000888691,0.62,archive
Marshall Wace LLP,PostNL N.V.,2021-12-20,NL0009739416,2.57,archive
Millennium Capital Partners LLP,Aperam S.A.,2021-12-20,LU0569974404,1.01,archive
Qube Research & Technologies Ltd.,Galapagos NV,2021-12-20,BE0003818359,1.14,archive
Voleon Capital Management LP,Alfen N.V.,2021-12-20,NL0012817175,0.51,archive
AHL Partners LLP,Galapagos NV,2021-12-17,BE0003818359,0.78,archive
B&G Master Fund Plc,ArcelorMittal S.A.,2021-12-17,LU1598757687,0.94,archive
Citadel Europe LLP,Basic-Fit N.V.,2021-12-17,NL0011872650,0.92,archive
"D. E. Shaw & Co., L.P.",Alfen N.V.,2021-12-17,NL0012817175,0.5,archive
Highbridge Capital Management LLC,Basic-Fit N.V.,2021-12-17,NL0011872650,0.46,archive
HRTEU Limited,TomTom N.V.,2021-12-17,NL0013332471,0.5,archive
Marshall Wace LLP,PostNL N.V.,2021-12-17,NL0009739416,2.61,archive
Millennium International Management LP,Unibail-Rodamco-Westfield SE,2021-12-17,FR0013326246,0.0,archive
"WorldQuant, LLC",Fugro N.V.,2021-12-17,NL00150003E1,0.7,archive
"WorldQuant, LLC",TomTom N.V.,2021-12-17,NL0013332471,0.58,archive
B&G Master Fund Plc,ArcelorMittal S.A.,2021-12-16,LU1598757687,1.25,archive
Citadel Europe LLP,Basic-Fit N.V.,2021-12-16,NL0011872650,0.83,archive
Kuvari Partners LLP,PostNL N.V.,2021-12-16,NL0009739416,0.59,archive
Marshall Wace LLP,TomTom N.V.,2021-12-16,NL0013332471,0.81,archive
Millennium Capital Partners LLP,PostNL N.V.,2021-12-16,NL0009739416,0.48,archive
Millennium International Management LP,Unibail-Rodamco-Westfield SE,2021-12-16,FR0013326246,0.55,archive
Qube Research & Technologies Ltd.,Galapagos NV,2021-12-16,BE0003818359,0.88,archive
"WorldQuant, LLC",Flow Traders Ltd.,2021-12-16,NL0011279492,0.6,archive
"Arrowstreet Capital, Limited Partnership",Alfen N.V.,2021-12-15,NL0012817175,1.0,archive
B&G Master Fund Plc,ArcelorMittal S.A.,2021-12-15,LU1598757687,1.56,archive
Citadel Europe LLP,Basic-Fit N.V.,2021-12-15,NL0011872650,0.78,archive
Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,2021-12-15,FR0013326246,0.71,archive
Marshall Wace LLP,SBM Offshore N.V.,2021-12-15,NL0000360618,0.99,archive
Millennium Capital Partners LLP,Aperam S.A.,2021-12-15,LU0569974404,0.9,archive
Millennium International Management LP,Aperam S.A.,2021-12-15,LU0569974404,0.51,archive
B&G Master Fund Plc,ArcelorMittal S.A.,2021-12-14,LU1598757687,1.87,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2021-12-14,NL0000888691,0.5,archive
Citadel Europe LLP,Basic-Fit N.V.,2021-12-14,NL0011872650,0.84,archive
"D. E. Shaw & Co., L.P.",Alfen N.V.,2021-12-14,NL0012817175,0.49,archive
Marshall Wace LLP,TomTom N.V.,2021-12-14,NL0013332471,0.79,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2021-12-14,NL0000888691,0.52,archive
Qube Research & Technologies Ltd.,Galapagos NV,2021-12-14,BE0003818359,0.93,archive
"D. E. Shaw & Co., L.P.",Alfen N.V.,2021-12-13,NL0012817175,0.5,archive
Marshall Wace LLP,PostNL N.V.,2021-12-13,NL0009739416,2.5,archive
Millennium Capital Partners LLP,Aperam S.A.,2021-12-13,LU0569974404,0.81,archive
"WorldQuant, LLC",AMG Critical Materials N.V.,2021-12-13,NL0000888691,0.47,archive
"WorldQuant, LLC",Flow Traders Ltd.,2021-12-13,NL0011279492,0.51,archive
"WorldQuant, LLC",TomTom N.V.,2021-12-13,NL0013332471,0.46,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2021-12-10,NL0000888691,0.45,archive
Citadel Europe LLP,Basic-Fit N.V.,2021-12-10,NL0011872650,0.77,archive
"WorldQuant, LLC",AMG Critical Materials N.V.,2021-12-10,NL0000888691,0.59,archive
"WorldQuant, LLC",PostNL N.V.,2021-12-10,NL0009739416,0.49,archive
"WorldQuant, LLC",TomTom N.V.,2021-12-10,NL0013332471,0.5,archive
Citadel Europe LLP,Basic-Fit N.V.,2021-12-09,NL0011872650,0.81,archive
Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,2021-12-09,FR0013326246,0.61,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2021-12-08,NL0000888691,0.5,archive
Marshall Wace LLP,TomTom N.V.,2021-12-08,NL0013332471,0.8,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2021-12-08,FR0013326246,0.59,archive
"D. E. Shaw & Co., L.P.",Alfen N.V.,2021-12-07,NL0012817175,0.48,archive
Marshall Wace LLP,Alfen N.V.,2021-12-07,NL0012817175,0.79,archive
Qube Research & Technologies Ltd.,Galapagos NV,2021-12-07,BE0003818359,1.07,archive
"WorldQuant, LLC",AMG Critical Materials N.V.,2021-12-07,NL0000888691,0.68,archive
"D. E. Shaw & Co., L.P.",Alfen N.V.,2021-12-06,NL0012817175,0.5,archive
Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,2021-12-06,FR0013326246,0.58,archive
Marshall Wace LLP,PostNL N.V.,2021-12-06,NL0009739416,2.41,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2021-12-06,FR0013326246,0.64,archive
Pictet Asset Management S.A.,Signify N.V.,2021-12-06,NL0011821392,0.32,archive
Systematica Investments Limited,AMG Critical Materials N.V.,2021-12-06,NL0000888691,1.2,archive
"WorldQuant, LLC",AMG Critical Materials N.V.,2021-12-06,NL0000888691,0.71,archive
"WorldQuant, LLC",PostNL N.V.,2021-12-06,NL0009739416,0.58,archive
Citadel Europe LLP,Basic-Fit N.V.,2021-12-03,NL0011872650,0.7,archive
Millennium Capital Partners LLP,Aperam S.A.,2021-12-03,LU0569974404,0.75,archive
Millennium Capital Partners LLP,PostNL N.V.,2021-12-03,NL0009739416,0.55,archive
Whitebox Advisors LLC,CM.com N.V.,2021-12-03,NL0012747059,0.79,archive
"WorldQuant, LLC",Fugro N.V.,2021-12-03,NL00150003E1,0.69,archive
Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,2021-12-02,FR0013326246,0.63,archive
Marshall Wace LLP,PostNL N.V.,2021-12-02,NL0009739416,2.35,archive
Millennium Capital Partners LLP,PostNL N.V.,2021-12-02,NL0009739416,0.6,archive
Millennium International Management LP,IMCD N.V.,2021-12-02,NL0010801007,0.49,archive
Qube Research & Technologies Ltd.,Galapagos NV,2021-12-02,BE0003818359,1.1,archive
"WorldQuant, LLC",AMG Critical Materials N.V.,2021-12-02,NL0000888691,0.69,archive
Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,2021-12-01,FR0013326246,0.51,archive
Marshall Wace LLP,TomTom N.V.,2021-12-01,NL0013332471,0.73,archive
Millennium International Management LP,IMCD N.V.,2021-12-01,NL0010801007,0.5,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2021-11-30,NL0000360618,0.51,archive
BlackRock Investment Management (UK) Limited,Fugro N.V.,2021-11-30,NL00150003E1,1.61,archive
Millennium Capital Partners LLP,PostNL N.V.,2021-11-30,NL0009739416,0.59,archive
Millennium International Management LP,Koninklijke Vopak N.V.,2021-11-30,NL0009432491,0.0,archive
Qube Research & Technologies Ltd.,Koninklijke Vopak N.V.,2021-11-30,NL0009432491,0.32,archive
Citadel Europe LLP,Basic-Fit N.V.,2021-11-29,NL0011872650,0.69,archive
Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,2021-11-29,FR0013326246,0.62,archive
Marshall Wace LLP,Alfen N.V.,2021-11-29,NL0012817175,0.88,archive
Millennium International Management LP,Koninklijke Vopak N.V.,2021-11-29,NL0009432491,2.0,archive
Qube Research & Technologies Ltd.,Galapagos NV,2021-11-29,BE0003818359,1.09,archive
Qube Research & Technologies Ltd.,Koninklijke Vopak N.V.,2021-11-29,NL0009432491,0.59,archive
"WorldQuant, LLC",Fugro N.V.,2021-11-29,NL00150003E1,0.75,archive
"WorldQuant, LLC",PostNL N.V.,2021-11-29,NL0009739416,0.64,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2021-11-26,NL0000888691,0.49,archive
Citadel Advisors LLC,TomTom N.V.,2021-11-26,NL0013332471,0.49,archive
Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,2021-11-26,FR0013326246,0.77,archive
Kuvari Partners LLP,PostNL N.V.,2021-11-26,NL0009739416,0.38,archive
Millennium Capital Partners LLP,PostNL N.V.,2021-11-26,NL0009739416,0.61,archive
Millennium International Management LP,Koninklijke Vopak N.V.,2021-11-26,NL0009432491,1.81,archive
Qube Research & Technologies Ltd.,Galapagos NV,2021-11-26,BE0003818359,1.1,archive
Qube Research & Technologies Ltd.,Koninklijke Vopak N.V.,2021-11-26,NL0009432491,0.6,archive
"WorldQuant, LLC",AMG Critical Materials N.V.,2021-11-26,NL0000888691,0.77,archive
Marshall Wace LLP,PostNL N.V.,2021-11-25,NL0009739416,2.27,archive
Marshall Wace LLP,SBM Offshore N.V.,2021-11-25,NL0000360618,1.0,archive
Millennium International Management LP,Koninklijke Vopak N.V.,2021-11-25,NL0009432491,1.6,archive
"WorldQuant, LLC",AMG Critical Materials N.V.,2021-11-25,NL0000888691,0.8,archive
"WorldQuant, LLC",PostNL N.V.,2021-11-25,NL0009739416,0.53,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2021-11-24,FR0013326246,0.78,archive
Millennium International Management LP,Koninklijke Vopak N.V.,2021-11-24,NL0009432491,1.39,archive
Citadel Europe LLP,Signify N.V.,2021-11-23,NL0011821392,0.46,archive
Marshall Wace LLP,PostNL N.V.,2021-11-23,NL0009739416,2.37,archive
Millennium International Management LP,Koninklijke Vopak N.V.,2021-11-23,NL0009432491,1.18,archive
Whitebox Advisors LLC,CM.com N.V.,2021-11-23,NL0012747059,0.8,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2021-11-22,NL0000888691,0.59,archive
Citadel Advisors LLC,TomTom N.V.,2021-11-22,NL0013332471,0.5,archive
Kuvari Partners LLP,PostNL N.V.,2021-11-22,NL0009739416,0.52,archive
Marshall Wace LLP,PostNL N.V.,2021-11-22,NL0009739416,2.4,archive
Millennium International Management LP,Koninklijke Vopak N.V.,2021-11-22,NL0009432491,0.99,archive
Whitebox Advisors LLC,CM.com N.V.,2021-11-22,NL0012747059,0.78,archive
"WorldQuant, LLC",Fugro N.V.,2021-11-22,NL00150003E1,0.88,archive
Citadel Europe LLP,Basic-Fit N.V.,2021-11-19,NL0011872650,0.78,archive
Marshall Wace LLP,PostNL N.V.,2021-11-19,NL0009739416,2.33,archive
Millennium Capital Partners LLP,Aperam S.A.,2021-11-19,LU0569974404,0.6,archive
Millennium International Management LP,Koninklijke Vopak N.V.,2021-11-19,NL0009432491,0.81,archive
Toscafund Asset Management LLP,Wereldhave N.V.,2021-11-19,NL0000289213,0.92,archive
Marshall Wace LLP,PostNL N.V.,2021-11-18,NL0009739416,2.25,archive
Millennium Capital Partners LLP,Aperam S.A.,2021-11-18,LU0569974404,0.59,archive
Millennium International Management LP,Koninklijke Vopak N.V.,2021-11-18,NL0009432491,0.62,archive
Qube Research & Technologies Ltd.,Koninklijke Vopak N.V.,2021-11-18,NL0009432491,0.51,archive
"WorldQuant, LLC",AMG Critical Materials N.V.,2021-11-18,NL0000888691,0.71,archive
"ExodusPoint Capital Management, LP",Koninklijke Vopak N.V.,2021-11-17,NL0009432491,0.47,archive
Millennium Capital Partners LLP,PostNL N.V.,2021-11-17,NL0009739416,0.51,archive
Millennium International Management LP,Koninklijke Vopak N.V.,2021-11-17,NL0009432491,0.56,archive
Qube Research & Technologies Ltd.,Galapagos NV,2021-11-17,BE0003818359,1.01,archive
"PDT Partners, LLC",AMG Critical Materials N.V.,2021-11-16,NL0000888691,0.59,archive
"WorldQuant, LLC",Fugro N.V.,2021-11-16,NL00150003E1,0.9,archive
B&G Master Fund Plc,ArcelorMittal S.A.,2021-11-15,LU1598757687,2.2,archive
Marshall Wace LLP,Alfen N.V.,2021-11-15,NL0012817175,0.96,archive
"WorldQuant, LLC",Fugro N.V.,2021-11-15,NL00150003E1,0.89,archive
AHL Partners LLP,Galapagos NV,2021-11-12,BE0003818359,0.8,archive
B&G Master Fund Plc,ArcelorMittal S.A.,2021-11-12,LU1598757687,2.19,archive
Linden Advisors LP,Pharming Group N.V.,2021-11-12,NL0010391025,0.47,archive
Marshall Wace LLP,Unibail-Rodamco-Westfield SE,2021-11-12,FR0013326246,0.8,archive
Millennium Capital Partners LLP,Aperam S.A.,2021-11-12,LU0569974404,0.64,archive
Qube Research & Technologies Ltd.,Galapagos NV,2021-11-12,BE0003818359,0.82,archive
Marshall Wace LLP,Alfen N.V.,2021-11-11,NL0012817175,1.05,archive
Marshall Wace LLP,PostNL N.V.,2021-11-11,NL0009739416,2.14,archive
Millennium Capital Partners LLP,PostNL N.V.,2021-11-11,NL0009739416,0.42,archive
Qube Research & Technologies Ltd.,Galapagos NV,2021-11-11,BE0003818359,0.78,archive
"WorldQuant, LLC",AMG Critical Materials N.V.,2021-11-11,NL0000888691,0.6,archive
"WorldQuant, LLC",Fugro N.V.,2021-11-11,NL00150003E1,0.9,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2021-11-10,NL0000888691,0.68,archive
Citadel Advisors LLC,Pharming Group N.V.,2021-11-10,NL0010391025,0.43,archive
Millennium International Management LP,PostNL N.V.,2021-11-10,NL0009739416,0.45,archive
BlackRock Investment Management (UK) Limited,Fugro N.V.,2021-11-09,NL00150003E1,1.5,archive
Citadel Europe LLP,Basic-Fit N.V.,2021-11-09,NL0011872650,0.85,archive
Citadel Europe LLP,Signify N.V.,2021-11-09,NL0011821392,0.5,archive
"D. E. Shaw & Co. (London), LLP",Basic-Fit N.V.,2021-11-09,NL0011872650,0.56,archive
Marshall Wace LLP,Alfen N.V.,2021-11-09,NL0012817175,0.9,archive
Marshall Wace LLP,PostNL N.V.,2021-11-09,NL0009739416,2.0,archive
Millennium International Management LP,PostNL N.V.,2021-11-09,NL0009739416,0.51,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2021-11-08,NL0000360618,0.49,archive
B&G Master Fund Plc,ArcelorMittal S.A.,2021-11-08,LU1598757687,2.2,archive
Citadel Europe LLP,Basic-Fit N.V.,2021-11-08,NL0011872650,0.92,archive
Highbridge Capital Management LLC,Basic-Fit N.V.,2021-11-08,NL0011872650,0.57,archive
Marshall Wace LLP,PostNL N.V.,2021-11-08,NL0009739416,1.92,archive
"WorldQuant, LLC",AMG Critical Materials N.V.,2021-11-08,NL0000888691,0.5,archive
B&G Master Fund Plc,ArcelorMittal S.A.,2021-11-05,LU1598757687,2.19,archive
Citadel Europe LLP,Signify N.V.,2021-11-05,NL0011821392,0.48,archive
"Connor, Clark & Lunn Investment Management Ltd.",AMG Critical Materials N.V.,2021-11-05,NL0000888691,0.79,archive
Marshall Wace LLP,Alfen N.V.,2021-11-05,NL0012817175,0.88,archive
Millennium Capital Partners LLP,PostNL N.V.,2021-11-05,NL0009739416,0.56,archive
Millennium International Management LP,Wereldhave N.V.,2021-11-05,NL0000289213,0.48,archive
"WorldQuant, LLC",Fugro N.V.,2021-11-05,NL00150003E1,0.8,archive
Citadel Europe LLP,Basic-Fit N.V.,2021-11-04,NL0011872650,0.83,archive
"D. E. Shaw & Co. (London), LLP",Basic-Fit N.V.,2021-11-04,NL0011872650,0.6,archive
Highbridge Capital Management LLC,Basic-Fit N.V.,2021-11-04,NL0011872650,0.63,archive
Marshall Wace LLP,TomTom N.V.,2021-11-04,NL0013332471,0.6,archive
Millennium International Management LP,PostNL N.V.,2021-11-04,NL0009739416,0.65,archive
Millennium International Management LP,Wereldhave N.V.,2021-11-04,NL0000289213,0.58,archive
Qube Research & Technologies Ltd.,Galapagos NV,2021-11-04,BE0003818359,0.61,archive
Systematica Investments Limited,AMG Critical Materials N.V.,2021-11-04,NL0000888691,1.11,archive
"WorldQuant, LLC",Fugro N.V.,2021-11-04,NL00150003E1,0.68,archive
AHL Partners LLP,Galapagos NV,2021-11-03,BE0003818359,0.78,archive
B&G Master Fund Plc,ArcelorMittal S.A.,2021-11-03,LU1598757687,2.2,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2021-11-03,NL0000888691,0.74,archive
Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,2021-11-03,FR0013326246,0.42,archive
Marshall Wace LLP,PostNL N.V.,2021-11-03,NL0009739416,1.82,archive
Millennium Capital Partners LLP,Aperam S.A.,2021-11-03,LU0569974404,0.53,archive
"PDT Partners, LLC",AMG Critical Materials N.V.,2021-11-03,NL0000888691,0.68,archive
"WorldQuant, LLC",Fugro N.V.,2021-11-03,NL00150003E1,0.54,archive
"Arrowstreet Capital, Limited Partnership",Alfen N.V.,2021-11-02,NL0012817175,0.99,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2021-11-02,NL0000888691,0.83,archive
Citadel Advisors LLC,Pharming Group N.V.,2021-11-02,NL0010391025,0.5,archive
Citadel Europe LLP,Signify N.V.,2021-11-02,NL0011821392,0.5,archive
Marshall Wace LLP,PostNL N.V.,2021-11-02,NL0009739416,1.75,archive
AHL Partners LLP,Galapagos NV,2021-11-01,BE0003818359,0.8,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2021-11-01,NL0000888691,0.76,archive
Citadel Advisors LLC,Pharming Group N.V.,2021-11-01,NL0010391025,0.49,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2021-11-01,NL0000888691,0.36,archive
"WorldQuant, LLC",TomTom N.V.,2021-11-01,NL0013332471,0.48,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2021-10-29,NL0000360618,0.51,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2021-10-29,NL0000888691,0.82,archive
Citadel Advisors LLC,Signify N.V.,2021-10-29,NL0011821392,0.47,archive
Citadel Europe LLP,Signify N.V.,2021-10-29,NL0011821392,0.48,archive
Marshall Wace LLP,PostNL N.V.,2021-10-29,NL0009739416,1.6,archive
Marshall Wace LLP,SBM Offshore N.V.,2021-10-29,NL0000360618,0.9,archive
Millennium Capital Partners LLP,PostNL N.V.,2021-10-29,NL0009739416,0.65,archive
"PDT Partners, LLC",AMG Critical Materials N.V.,2021-10-29,NL0000888691,0.75,archive
Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2021-10-29,NL0000888691,0.52,archive
Qube Research & Technologies Ltd.,Galapagos NV,2021-10-29,BE0003818359,0.5,archive
BlackRock Investment Management (UK) Limited,Fugro N.V.,2021-10-28,NL00150003E1,1.4,archive
Citadel Advisors LLC,AMG Critical Materials N.V.,2021-10-28,NL0000888691,0.98,archive
Citadel Advisors LLC,Pharming Group N.V.,2021-10-28,NL0010391025,0.56,archive
Citadel Advisors LLC,Signify N.V.,2021-10-28,NL0011821392,0.51,archive
CQS (UK) LLP,BE Semiconductor Industries N.V.,2021-10-28,NL0012866412,0.54,archive
Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,2021-10-28,FR0013326246,0.52,archive
Kuvari Partners LLP,PostNL N.V.,2021-10-28,NL0009739416,0.73,archive
Marshall Wace LLP,Alfen N.V.,2021-10-28,NL0012817175,0.99,archive
Marshall Wace LLP,Koninklijke Vopak N.V.,2021-10-28,NL0009432491,0.49,archive
Millennium Capital Partners LLP,PostNL N.V.,2021-10-28,NL0009739416,0.59,archive
"PDT Partners, LLC",AMG Critical Materials N.V.,2021-10-28,NL0000888691,0.91,archive
Pelham Capital Ltd.,ARCADIS N.V.,2021-10-28,NL0006237562,0.52,archive
BlackRock Investment Management (UK) Limited,Fugro N.V.,2021-10-27,NL00150003E1,1.31,archive
