position_holder,issuer_name,position_date,isin,net_short_position,source
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,2026-05-14,NL0011872650,0.77,current
Capital Fund Management S.A.,IMCD N.V.,2026-05-13,NL0010801007,0.8,current
Citadel Advisors Europe Limited,Randstad N.V.,2026-05-13,NL0000379121,0.6,current
Citadel Advisors LLC,IMCD N.V.,2026-05-13,NL0010801007,0.7,current
Citadel Advisors LLC,Signify N.V.,2026-05-13,NL0011821392,1.61,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-05-13,NL0010391025,0.53,current
"Two Sigma Investments, LP",Pharming Group N.V.,2026-05-13,NL0010391025,0.91,current
Walleye Capital LLC,Pharming Group N.V.,2026-05-13,NL0010391025,0.74,current
"BlackRock Advisors, LLC",IMCD N.V.,2026-05-12,NL0010801007,0.59,current
"BlackRock Financial Management, Inc.",Signify N.V.,2026-05-12,NL0011821392,0.71,current
Capital Fund Management S.A.,IMCD N.V.,2026-05-12,NL0010801007,0.79,current
Citadel Advisors LLC,IMCD N.V.,2026-05-12,NL0010801007,0.69,current
Lazard Asset Management LLC,Pharming Group N.V.,2026-05-12,NL0010391025,0.82,current
Numeric Investors LLC,NSI N.V.,2026-05-12,NL0012365084,0.8,current
"Two Sigma Investments, LP",InPost S.A.,2026-05-12,LU2290522684,1.36,current
Capital Fund Management S.A.,IMCD N.V.,2026-05-11,NL0010801007,0.8,current
Capital Fund Management S.A.,TKH Group N.V.,2026-05-11,NL0000852523,0.52,current
Citadel Advisors Europe Limited,Signify N.V.,2026-05-11,NL0011821392,1.02,current
Citadel Advisors LLC,DSM-Firmenich AG,2026-05-11,CH1216478797,0.5,current
Citadel Advisors LLC,IMCD N.V.,2026-05-11,NL0010801007,0.79,current
Citadel Advisors LLC,Wereldhave N.V.,2026-05-11,NL0000289213,0.7,current
"Two Sigma Investments, LP",Pharming Group N.V.,2026-05-11,NL0010391025,0.86,current
"Two Sigma Investments, LP",Theon International Plc,2026-05-11,CY0200751713,0.8,current
Walleye Capital LLC,Pharming Group N.V.,2026-05-11,NL0010391025,0.63,current
Citadel Advisors LLC,Signify N.V.,2026-05-08,NL0011821392,1.5,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-05-08,NL0013267909,1.72,current
"Two Sigma Investments, LP",Pharming Group N.V.,2026-05-08,NL0010391025,0.75,current
Walleye Capital LLC,Pharming Group N.V.,2026-05-08,NL0010391025,0.53,current
Citadel Advisors Europe Limited,Randstad N.V.,2026-05-07,NL0000379121,0.5,current
Citadel Advisors Europe Limited,Signify N.V.,2026-05-07,NL0011821392,0.97,current
"D. E. Shaw & Co., L.P.",PostNL N.V.,2026-05-07,NL0009739416,0.69,current
Lazard Asset Management LLC,Pharming Group N.V.,2026-05-07,NL0010391025,0.76,current
Marshall Wace LLP,IMCD N.V.,2026-05-07,NL0010801007,0.79,current
Marshall Wace LLP,Signify N.V.,2026-05-07,NL0011821392,1.69,current
Capital Fund Management S.A.,IMCD N.V.,2026-05-06,NL0010801007,0.79,current
Citadel Advisors LLC,IMCD N.V.,2026-05-06,NL0010801007,0.82,current
Citadel Advisors LLC,Signify N.V.,2026-05-06,NL0011821392,1.41,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-05-06,CH1216478797,1.4,current
Marshall Wace LLP,CVC Capital Partners plc,2026-05-06,JE00BRX98089,0.69,current
