issuer_name,position_holder,position_date,isin,net_short_position,source
ABN AMRO Bank NV,Marshall Wace LLP,2021-01-28,NL0011540547,1.5,archive
Pharming Group N.V.,"WorldQuant, LLC",2021-01-28,NL0010391025,0.61,archive
Wereldhave N.V.,"Athanor Capital, LP",2021-01-27,NL0000289213,1.08,archive
Unibail-Rodamco-Westfield SE,D1 Capital Partners LP,2021-01-27,FR0013326246,2.67,archive
Signify N.V.,"Farallon Capital Management, L.L.C.",2021-01-27,NL0011821392,0.57,archive
Unibail-Rodamco-Westfield SE,Lone Pine Capital LLC,2021-01-27,FR0013326246,0.67,archive
ARCADIS N.V.,Marshall Wace Asia Limited,2021-01-27,NL0006237562,1.39,archive
ABN AMRO Bank NV,Marshall Wace LLP,2021-01-27,NL0011540547,1.49,archive
ARCADIS N.V.,Marshall Wace LLP,2021-01-27,NL0006237562,2.29,archive
SBM Offshore N.V.,Marshall Wace LLP,2021-01-27,NL0000360618,1.09,archive
Unibail-Rodamco-Westfield SE,"Maverick Capital, Ltd.",2021-01-27,FR0013326246,0.49,archive
AEGON Ltd.,Viking Global Investors LP,2021-01-27,NL0000303709,0.68,archive
Unibail-Rodamco-Westfield SE,"Woodson Capital Master Fund, LP",2021-01-27,FR0013326246,0.35,archive
Pharming Group N.V.,Citadel Advisors LLC,2021-01-26,NL0010391025,0.47,archive
Signify N.V.,Millennium International Management LP,2021-01-26,NL0011821392,0.69,archive
Unibail-Rodamco-Westfield SE,"Woodson Capital Master Fund, LP",2021-01-26,FR0013326246,0.52,archive
Pharming Group N.V.,"WorldQuant, LLC",2021-01-26,NL0010391025,0.59,archive
Wereldhave N.V.,"Athanor Capital, LP",2021-01-25,NL0000289213,1.19,archive
Unibail-Rodamco-Westfield SE,D1 Capital Partners LP,2021-01-25,FR0013326246,3.27,archive
BE Semiconductor Industries N.V.,"Davidson Kempner European Partners, LLP",2021-01-25,NL0012866412,1.28,archive
BE Semiconductor Industries N.V.,Citadel Europe LLP,2021-01-22,NL0012866412,2.32,archive
AMG Critical Materials N.V.,"Connor, Clark & Lunn Investment Management Ltd.",2021-01-22,NL0000888691,1.09,archive
SBM Offshore N.V.,Marshall Wace LLP,2021-01-22,NL0000360618,1.1,archive
Pharming Group N.V.,"WorldQuant, LLC",2021-01-22,NL0010391025,0.67,archive
SBM Offshore N.V.,"AQR Capital Management, LLC",2021-01-21,NL0000360618,1.08,archive
Pharming Group N.V.,"WorldQuant, LLC",2021-01-21,NL0010391025,0.7,archive
Wereldhave N.V.,"WorldQuant, LLC",2021-01-21,NL0000289213,0.49,archive
Koninklijke BAM Groep N.V.,BlueCrest Capital Management Limited,2021-01-20,NL0000337319,0.65,archive
Aperam S.A.,Citadel Europe LLP,2021-01-20,LU0569974404,1.03,archive
Pharming Group N.V.,Woodline Partners,2021-01-20,NL0010391025,0.49,archive
Pharming Group N.V.,"WorldQuant, LLC",2021-01-20,NL0010391025,0.69,archive
Signify N.V.,Millennium Capital Partners LLP,2021-01-19,NL0011821392,0.98,archive
Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,2021-01-18,NL0011872650,0.61,archive
Pharming Group N.V.,Citadel Advisors LLC,2021-01-15,NL0010391025,0.5,archive
Aperam S.A.,Citadel Europe LLP,2021-01-15,LU0569974404,1.1,archive
Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,2021-01-15,NL0011872650,0.57,archive
ABN AMRO Bank NV,Marshall Wace LLP,2021-01-15,NL0011540547,1.52,archive
Flow Traders Ltd.,Marshall Wace LLP,2021-01-15,NL0011279492,0.49,archive
SBM Offshore N.V.,Marshall Wace LLP,2021-01-15,NL0000360618,1.09,archive
Signify N.V.,Millennium Capital Partners LLP,2021-01-15,NL0011821392,1.05,archive
Unibail-Rodamco-Westfield SE,Tiger Global Management LLC,2021-01-15,FR0013326246,1.15,archive
Pharming Group N.V.,"WorldQuant, LLC",2021-01-15,NL0010391025,0.79,archive
Wereldhave N.V.,"WorldQuant, LLC",2021-01-15,NL0000289213,0.59,archive
BE Semiconductor Industries N.V.,"Davidson Kempner European Partners, LLP",2021-01-14,NL0012866412,1.41,archive
Basic-Fit N.V.,Marshall Wace LLP,2021-01-14,NL0011872650,0.77,archive
Pharming Group N.V.,"WorldQuant, LLC",2021-01-14,NL0010391025,0.87,archive
Lakefront Biotherapeutics NV,Avidity Partners Management LP,2021-01-13,BE0003818359,0.53,archive
Pharming Group N.V.,Citadel Advisors LLC,2021-01-13,NL0010391025,0.48,archive
ARCADIS N.V.,Lansdowne Partners (UK) LLP,2021-01-13,NL0006237562,0.99,archive
Aperam S.A.,Millennium Capital Partners LLP,2021-01-13,LU0569974404,0.47,archive
AMG Critical Materials N.V.,Systematica Investments Limited,2021-01-13,NL0000888691,0.8,archive
Wereldhave N.V.,Toscafund Asset Management LLP,2021-01-13,NL0000289213,0.83,archive
AEGON Ltd.,Viking Global Investors LP,2021-01-13,NL0000303709,0.81,archive
PostNL N.V.,"WorldQuant, LLC",2021-01-13,NL0009739416,0.49,archive
Wereldhave N.V.,"WorldQuant, LLC",2021-01-13,NL0000289213,0.67,archive
Aperam S.A.,Citadel Advisors LLC,2021-01-12,LU0569974404,0.79,archive
Pharming Group N.V.,Citadel Advisors LLC,2021-01-12,NL0010391025,0.51,archive
ABN AMRO Bank NV,Marshall Wace LLP,2021-01-12,NL0011540547,1.42,archive
ABN AMRO Bank NV,"Samlyn Capital, LLC",2021-01-12,NL0011540547,0.7,archive
Aperam S.A.,Citadel Advisors LLC,2021-01-11,LU0569974404,0.8,archive
Pharming Group N.V.,Citadel Advisors LLC,2021-01-11,NL0010391025,0.49,archive
ABN AMRO Bank NV,Marshall Wace LLP,2021-01-11,NL0011540547,1.39,archive
TomTom N.V.,Marshall Wace LLP,2021-01-11,NL0013332471,0.5,archive
ARCADIS N.V.,Pelham Capital Ltd.,2021-01-11,NL0006237562,0.73,archive
Wereldhave N.V.,Toscafund Asset Management LLP,2021-01-11,NL0000289213,0.9,archive
Pharming Group N.V.,Citadel Advisors LLC,2021-01-08,NL0010391025,0.51,archive
ARCADIS N.V.,Lansdowne Partners (UK) LLP,2021-01-08,NL0006237562,1.06,archive
ABN AMRO Bank NV,Marshall Wace LLP,2021-01-08,NL0011540547,1.2,archive
Signify N.V.,Millennium Capital Partners LLP,2021-01-08,NL0011821392,0.99,archive
ARCADIS N.V.,Pelham Capital Ltd.,2021-01-08,NL0006237562,0.89,archive
ABN AMRO Bank NV,Marshall Wace LLP,2021-01-07,NL0011540547,1.17,archive
Aperam S.A.,Millennium Capital Partners LLP,2021-01-07,LU0569974404,0.51,archive
BE Semiconductor Industries N.V.,Scopia Capital Management LP,2021-01-07,NL0012866412,0.55,archive
ARCADIS N.V.,Lansdowne Partners (UK) LLP,2021-01-06,NL0006237562,1.15,archive
Pharming Group N.V.,"WorldQuant, LLC",2021-01-06,NL0010391025,0.98,archive
OCI N.V.,"AQR Capital Management, LLC",2021-01-05,NL0010558797,1.09,archive
SBM Offshore N.V.,"AQR Capital Management, LLC",2021-01-05,NL0000360618,1.19,archive
TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,2021-01-05,NL0013332471,0.49,archive
ABN AMRO Bank NV,Marshall Wace LLP,2021-01-05,NL0011540547,1.02,archive
BE Semiconductor Industries N.V.,Scopia Capital Management LP,2021-01-05,NL0012866412,0.64,archive
Aperam S.A.,Citadel Europe LLP,2021-01-04,LU0569974404,1.0,archive
Basic-Fit N.V.,Marshall Wace LLP,2021-01-04,NL0011872650,0.86,archive
AMG Critical Materials N.V.,Systematica Investments Limited,2021-01-04,NL0000888691,0.7,archive
Lakefront Biotherapeutics NV,"D. E. Shaw & Co., L.P.",2020-12-31,BE0003818359,0.69,archive
Pharming Group N.V.,"WorldQuant, LLC",2020-12-31,NL0010391025,0.86,archive
Signify N.V.,Millennium International Management LP,2020-12-30,NL0011821392,0.71,archive
Pharming Group N.V.,"WorldQuant, LLC",2020-12-30,NL0010391025,0.91,archive
Aperam S.A.,Citadel Advisors LLC,2020-12-29,LU0569974404,0.7,archive
Pharming Group N.V.,Citadel Advisors LLC,2020-12-29,NL0010391025,0.47,archive
Signify N.V.,"Farallon Capital Management, L.L.C.",2020-12-28,NL0011821392,0.6,archive
ABN AMRO Bank NV,"Samlyn Capital, LLC",2020-12-28,NL0011540547,0.6,archive
Wereldhave N.V.,Toscafund Asset Management LLP,2020-12-28,NL0000289213,1.02,archive
ArcelorMittal S.A.,Citadel Europe LLP,2020-12-24,LU1598757687,0.03,archive
Pharming Group N.V.,Citadel Advisors LLC,2020-12-23,NL0010391025,0.51,archive
Unibail-Rodamco-Westfield SE,"Maverick Capital, Ltd.",2020-12-23,FR0013326246,1.13,archive
Signify N.V.,Millennium Capital Partners LLP,2020-12-23,NL0011821392,0.8,archive
Pharming Group N.V.,"PDT Partners, LLC",2020-12-23,NL0010391025,0.48,archive
AMG Critical Materials N.V.,Systematica Investments Limited,2020-12-23,NL0000888691,0.69,archive
Pharming Group N.V.,Woodline Partners,2020-12-23,NL0010391025,0.52,archive
PostNL N.V.,"WorldQuant, LLC",2020-12-23,NL0009739416,0.51,archive
SBM Offshore N.V.,Marshall Wace LLP,2020-12-22,NL0000360618,1.19,archive
Unibail-Rodamco-Westfield SE,"Maverick Capital, Ltd.",2020-12-22,FR0013326246,1.23,archive
Signify N.V.,Millennium International Management LP,2020-12-22,NL0011821392,0.64,archive
Pharming Group N.V.,Woodline Partners,2020-12-22,NL0010391025,0.49,archive
BE Semiconductor Industries N.V.,"Davidson Kempner European Partners, LLP",2020-12-21,NL0012866412,1.31,archive
Signify N.V.,"Farallon Capital Management, L.L.C.",2020-12-21,NL0011821392,0.51,archive
Flow Traders Ltd.,Marshall Wace LLP,2020-12-21,NL0011279492,0.5,archive
Unibail-Rodamco-Westfield SE,"Maverick Capital, Ltd.",2020-12-21,FR0013326246,1.33,archive
Unibail-Rodamco-Westfield SE,"Woodson Capital Master Fund, LP",2020-12-21,FR0013326246,0.6,archive
Fugro N.V.,"WorldQuant, LLC",2020-12-21,NL00150004A7,0.6,archive
Wereldhave N.V.,"WorldQuant, LLC",2020-12-21,NL0000289213,0.72,archive
Fugro N.V.,"WorldQuant, LLC",2020-12-20,NL0000352565,0.0,archive
Flow Traders Ltd.,"D. E. Shaw & Co., L.P.",2020-12-18,NL0011279492,0.49,archive
Unibail-Rodamco-Westfield SE,Kintbury Capital LLP,2020-12-18,FR0013326246,0.0,archive
Pharming Group N.V.,"PDT Partners, LLC",2020-12-18,NL0010391025,0.53,archive
AMG Critical Materials N.V.,Systematica Investments Limited,2020-12-18,NL0000888691,0.71,archive
Fugro N.V.,"WorldQuant, LLC",2020-12-18,NL0000352565,1.2,archive
Pharming Group N.V.,"WorldQuant, LLC",2020-12-18,NL0010391025,1.0,archive
Wereldhave N.V.,"Connor, Clark & Lunn Investment Management Ltd.",2020-12-17,NL0000289213,0.59,archive
Unibail-Rodamco-Westfield SE,"Long Pond Capital, LP",2020-12-17,FR0013326246,0.47,archive
ABN AMRO Bank NV,Marshall Wace LLP,2020-12-17,NL0011540547,0.91,archive
Flow Traders Ltd.,Marshall Wace LLP,2020-12-17,NL0011279492,0.49,archive
Signify N.V.,Millennium Capital Partners LLP,2020-12-17,NL0011821392,0.72,archive
Signify N.V.,Millennium International Management LP,2020-12-17,NL0011821392,0.5,archive
ABN AMRO Bank NV,"Samlyn Capital, LLC",2020-12-17,NL0011540547,0.53,archive
AEGON Ltd.,"Samlyn Capital, LLC",2020-12-17,NL0000303709,0.49,archive
AMG Critical Materials N.V.,Systematica Investments Limited,2020-12-17,NL0000888691,0.69,archive
Wereldhave N.V.,Toscafund Asset Management LLP,2020-12-17,NL0000289213,1.12,archive
SBM Offshore N.V.,"AQR Capital Management, LLC",2020-12-16,NL0000360618,1.29,archive
AEGON Ltd.,"Samlyn Capital, LLC",2020-12-16,NL0000303709,0.53,archive
Unibail-Rodamco-Westfield SE,Tiger Global Management LLC,2020-12-16,FR0013326246,1.01,archive
Fugro N.V.,Whitebox Advisors LLC,2020-12-16,NL0000352565,0.38,archive
Pharming Group N.V.,"WorldQuant, LLC",2020-12-16,NL0010391025,0.91,archive
Wereldhave N.V.,"WorldQuant, LLC",2020-12-16,NL0000289213,0.61,archive
Wereldhave N.V.,"Athanor Capital, LP",2020-12-15,NL0000289213,1.27,archive
AEGON Ltd.,"Samlyn Capital, LLC",2020-12-15,NL0000303709,0.62,archive
AMG Critical Materials N.V.,Systematica Investments Limited,2020-12-15,NL0000888691,0.7,archive
Fugro N.V.,Whitebox Advisors LLC,2020-12-15,NL0000352565,0.79,archive
Pharming Group N.V.,Woodline Partners,2020-12-15,NL0010391025,0.51,archive
Fugro N.V.,"WorldQuant, LLC",2020-12-15,NL0000352565,0.6,archive
Pharming Group N.V.,"WorldQuant, LLC",2020-12-15,NL0010391025,0.88,archive
Aperam S.A.,Citadel Advisors LLC,2020-12-14,LU0569974404,0.61,archive
AEGON Ltd.,"Samlyn Capital, LLC",2020-12-14,NL0000303709,0.73,archive
Fugro N.V.,Sculptor Capital Management Europe Limited,2020-12-14,NL0000352565,0.01,archive
Fugro N.V.,Susquehanna International Holdings LLC,2020-12-14,NL0000352565,0.0,archive
Wereldhave N.V.,Toscafund Asset Management LLP,2020-12-14,NL0000289213,1.21,archive
Wereldhave N.V.,"WorldQuant, LLC",2020-12-14,NL0000289213,0.58,archive
OCI N.V.,"AQR Capital Management, LLC",2020-12-11,NL0010558797,1.19,archive
Wereldhave N.V.,"Athanor Capital, LP",2020-12-11,NL0000289213,1.39,archive
Aperam S.A.,Citadel Advisors LLC,2020-12-11,LU0569974404,0.59,archive
Unibail-Rodamco-Westfield SE,D1 Capital Partners LP,2020-12-11,FR0013326246,3.68,archive
ABN AMRO Bank NV,Marshall Wace LLP,2020-12-11,NL0011540547,0.84,archive
Signify N.V.,Millennium Capital Partners LLP,2020-12-11,NL0011821392,0.67,archive
ARCADIS N.V.,Pelham Capital Ltd.,2020-12-11,NL0006237562,1.06,archive
Fugro N.V.,Susquehanna International Holdings LLC,2020-12-11,NL0000352565,0.73,archive
Wereldhave N.V.,"WorldQuant, LLC",2020-12-11,NL0000289213,0.6,archive
Unibail-Rodamco-Westfield SE,D1 Capital Partners LP,2020-12-10,FR0013326246,3.89,archive
SBM Offshore N.V.,Marshall Wace LLP,2020-12-10,NL0000360618,1.29,archive
Fugro N.V.,Sculptor Capital Management Europe Limited,2020-12-10,NL0000352565,0.97,archive
AEGON Ltd.,Viking Global Investors LP,2020-12-10,NL0000303709,0.74,archive
Fugro N.V.,"WorldQuant, LLC",2020-12-10,NL0000352565,1.09,archive
Pharming Group N.V.,"WorldQuant, LLC",2020-12-10,NL0010391025,0.9,archive
Basic-Fit N.V.,Marshall Wace LLP,2020-12-09,NL0011872650,0.9,archive
Signify N.V.,Millennium Capital Partners LLP,2020-12-09,NL0011821392,0.74,archive
Fugro N.V.,Susquehanna International Holdings LLC,2020-12-09,NL0000352565,0.95,archive
AEGON Ltd.,Viking Global Investors LP,2020-12-09,NL0000303709,0.67,archive
Fugro N.V.,Whitebox Advisors LLC,2020-12-09,NL0000352565,1.44,archive
Pharming Group N.V.,"WorldQuant, LLC",2020-12-09,NL0010391025,0.89,archive
Fugro N.V.,B&G Master Fund Plc,2020-12-08,NL0000352565,0.41,archive
ABN AMRO Bank NV,Marshall Wace LLP,2020-12-08,NL0011540547,0.61,archive
AEGON Ltd.,"Samlyn Capital, LLC",2020-12-08,NL0000303709,0.89,archive
Fugro N.V.,Sculptor Capital Management Europe Limited,2020-12-08,NL0000352565,1.03,archive
Fugro N.V.,Susquehanna International Holdings LLC,2020-12-08,NL0000352565,1.21,archive
AMG Critical Materials N.V.,Systematica Investments Limited,2020-12-08,NL0000888691,0.61,archive
Fugro N.V.,Whitebox Advisors LLC,2020-12-08,NL0000352565,1.0,archive
Fugro N.V.,"WorldQuant, LLC",2020-12-08,NL0000352565,1.16,archive
Pharming Group N.V.,"WorldQuant, LLC",2020-12-08,NL0010391025,0.9,archive
Signify N.V.,"Atalan Capital Partners, LP",2020-12-07,NL0011821392,0.48,archive
Fugro N.V.,B&G Master Fund Plc,2020-12-07,NL0000352565,0.51,archive
Aperam S.A.,Millennium Capital Partners LLP,2020-12-07,LU0569974404,0.49,archive
BE Semiconductor Industries N.V.,Scopia Capital Management LP,2020-12-07,NL0012866412,0.74,archive
Fugro N.V.,Sculptor Capital Management Europe Limited,2020-12-07,NL0000352565,0.96,archive
Fugro N.V.,Susquehanna International Holdings LLC,2020-12-07,NL0000352565,1.03,archive
BE Semiconductor Industries N.V.,Verde Serviços Internacionais S.A.,2020-12-07,NL0012866412,0.02,archive
Fugro N.V.,B&G Master Fund Plc,2020-12-04,NL0000352565,0.62,archive
Aperam S.A.,Millennium Capital Partners LLP,2020-12-04,LU0569974404,0.5,archive
BE Semiconductor Industries N.V.,Scopia Capital Management LP,2020-12-04,NL0012866412,0.83,archive
Unibail-Rodamco-Westfield SE,"Woodson Capital Master Fund, LP",2020-12-04,FR0013326246,0.78,archive
Pharming Group N.V.,Citadel Advisors LLC,2020-12-03,NL0010391025,0.49,archive
ABN AMRO Bank NV,Marshall Wace LLP,2020-12-03,NL0011540547,0.57,archive
Flow Traders Ltd.,Marshall Wace LLP,2020-12-03,NL0011279492,0.58,archive
Fugro N.V.,Sculptor Capital Management Europe Limited,2020-12-03,NL0000352565,0.56,archive
Fugro N.V.,Susquehanna International Holdings LLC,2020-12-03,NL0000352565,0.82,archive
Pharming Group N.V.,"WorldQuant, LLC",2020-12-03,NL0010391025,0.8,archive
SBM Offshore N.V.,"AQR Capital Management, LLC",2020-12-02,NL0000360618,1.38,archive
Fugro N.V.,B&G Master Fund Plc,2020-12-02,NL0000352565,0.79,archive
Pharming Group N.V.,Citadel Advisors LLC,2020-12-02,NL0010391025,0.5,archive
Aperam S.A.,Citadel Europe LLP,2020-12-02,LU0569974404,0.9,archive
Pharming Group N.V.,"Great Point Partners, LLC",2020-12-02,NL0010391025,1.86,archive
Fugro N.V.,Marshall Wace LLP,2020-12-02,NL0000352565,0.35,archive
AEGON Ltd.,"Samlyn Capital, LLC",2020-12-02,NL0000303709,0.98,archive
Fugro N.V.,Susquehanna International Holdings LLC,2020-12-02,NL0000352565,0.78,archive
Koninklijke BAM Groep N.V.,Voleon Capital Management LP,2020-12-02,NL0000337319,0.49,archive
Fugro N.V.,"WorldQuant, LLC",2020-12-02,NL0000352565,1.22,archive
ARCADIS N.V.,Lansdowne Partners (UK) LLP,2020-12-01,NL0006237562,1.29,archive
Fugro N.V.,Marshall Wace LLP,2020-12-01,NL0000352565,0.78,archive
Aperam S.A.,Millennium Capital Partners LLP,2020-12-01,LU0569974404,0.47,archive
Fugro N.V.,Susquehanna International Securities Limited,2020-12-01,NL0000352565,0.0,archive
Pharming Group N.V.,Woodline Partners,2020-12-01,NL0010391025,0.47,archive
Pharming Group N.V.,"WorldQuant, LLC",2020-12-01,NL0010391025,0.73,archive
OCI N.V.,"AQR Capital Management, LLC",2020-11-30,NL0010558797,1.29,archive
Flow Traders Ltd.,Marshall Wace LLP,2020-11-30,NL0011279492,0.61,archive
Fugro N.V.,Marshall Wace LLP,2020-11-30,NL0000352565,1.0,archive
AEGON Ltd.,Viking Global Investors LP,2020-11-30,NL0000303709,0.72,archive
Fugro N.V.,Marshall Wace LLP,2020-11-27,NL0000352565,1.53,archive
SBM Offshore N.V.,Marshall Wace LLP,2020-11-27,NL0000360618,1.39,archive
Unibail-Rodamco-Westfield SE,Steadfast Capital Management LP,2020-11-27,FR0013326246,0.43,archive
Pharming Group N.V.,"WorldQuant, LLC",2020-11-27,NL0010391025,0.62,archive
Unibail-Rodamco-Westfield SE,Lone Pine Capital LLC,2020-11-26,FR0013326246,1.29,archive
ABN AMRO Bank NV,Marshall Wace LLP,2020-11-26,NL0011540547,0.61,archive
Fugro N.V.,Marshall Wace LLP,2020-11-26,NL0000352565,1.65,archive
Koninklijke BAM Groep N.V.,Marshall Wace LLP,2020-11-26,NL0000337319,0.25,archive
Unibail-Rodamco-Westfield SE,"SCGE Fund, LP",2020-11-26,FR0013326246,0.49,archive
Fugro N.V.,Susquehanna International Securities Limited,2020-11-26,NL0000352565,0.76,archive
Pharming Group N.V.,Voleon Capital Management LP,2020-11-26,NL0010391025,0.18,archive
Wereldhave N.V.,"WorldQuant, LLC",2020-11-26,NL0000289213,0.59,archive
AMG Critical Materials N.V.,Capital Fund Management S.A.,2020-11-25,NL0000888691,1.08,archive
Unibail-Rodamco-Westfield SE,Lone Pine Capital LLC,2020-11-25,FR0013326246,1.43,archive
Fugro N.V.,Marshall Wace LLP,2020-11-25,NL0000352565,1.82,archive
Koninklijke BAM Groep N.V.,Marshall Wace LLP,2020-11-25,NL0000337319,0.5,archive
AEGON Ltd.,"Samlyn Capital, LLC",2020-11-25,NL0000303709,1.04,archive
AMG Critical Materials N.V.,Systematica Investments Limited,2020-11-25,NL0000888691,0.58,archive
Pharming Group N.V.,Voleon Capital Management LP,2020-11-25,NL0010391025,0.69,archive
Fugro N.V.,Whitebox Advisors LLC,2020-11-25,NL0000352565,0.84,archive
Unibail-Rodamco-Westfield SE,Adelphi Capital LLP,2020-11-24,FR0013326246,0.47,archive
Flow Traders Ltd.,"D. E. Shaw & Co., L.P.",2020-11-24,NL0011279492,0.5,archive
Koninklijke BAM Groep N.V.,GSA Capital Partners LLP,2020-11-24,NL0000337319,0.35,archive
ARCADIS N.V.,Lansdowne Partners (UK) LLP,2020-11-24,NL0006237562,1.33,archive
Unibail-Rodamco-Westfield SE,Lone Pine Capital LLC,2020-11-24,FR0013326246,1.79,archive
Koninklijke BAM Groep N.V.,"Lucerne Capital Management, L.P.",2020-11-24,NL0000337319,1.31,archive
Koninklijke BAM Groep N.V.,Marshall Wace LLP,2020-11-24,NL0000337319,1.18,archive
Fugro N.V.,Susquehanna International Securities Limited,2020-11-24,NL0000352565,0.83,archive
Wereldhave N.V.,Toscafund Asset Management LLP,2020-11-24,NL0000289213,1.36,archive
Pharming Group N.V.,Voleon Capital Management LP,2020-11-24,NL0010391025,0.78,archive
Fugro N.V.,Whitebox Advisors LLC,2020-11-24,NL0000352565,0.9,archive
Unibail-Rodamco-Westfield SE,"Woodson Capital Master Fund, LP",2020-11-24,FR0013326246,0.82,archive
Aperam S.A.,Citadel Europe LLP,2020-11-23,LU0569974404,0.89,archive
Wereldhave N.V.,"Connor, Clark & Lunn Investment Management Ltd.",2020-11-23,NL0000289213,0.69,archive
Koninklijke BAM Groep N.V.,GSA Capital Partners LLP,2020-11-23,NL0000337319,0.94,archive
Basic-Fit N.V.,Marshall Wace LLP,2020-11-23,NL0011872650,0.81,archive
Koninklijke BAM Groep N.V.,Voleon Capital Management LP,2020-11-23,NL0000337319,0.59,archive
Pharming Group N.V.,"WorldQuant, LLC",2020-11-23,NL0010391025,0.52,archive
ARCADIS N.V.,AKO Capital LLP,2020-11-20,NL0006237562,0.24,archive
BE Semiconductor Industries N.V.,"Davidson Kempner European Partners, LLP",2020-11-20,NL0012866412,1.2,archive
ABN AMRO Bank NV,Marshall Wace LLP,2020-11-20,NL0011540547,0.52,archive
Fugro N.V.,Systematica Investments Limited,2020-11-20,NL0000352565,0.47,archive
SBM Offshore N.V.,"AQR Capital Management, LLC",2020-11-19,NL0000360618,1.49,archive
Fugro N.V.,Marshall Wace LLP,2020-11-19,NL0000352565,2.15,archive
Aperam S.A.,Millennium Capital Partners LLP,2020-11-19,LU0569974404,0.5,archive
AMG Critical Materials N.V.,Systematica Investments Limited,2020-11-19,NL0000888691,0.68,archive
Fugro N.V.,Systematica Investments Limited,2020-11-19,NL0000352565,0.61,archive
Fugro N.V.,Voleon Capital Management LP,2020-11-19,NL0000352565,0.48,archive
Koninklijke BAM Groep N.V.,Voleon Capital Management LP,2020-11-19,NL0000337319,0.76,archive
ARCADIS N.V.,Lansdowne Partners (UK) LLP,2020-11-18,NL0006237562,1.49,archive
Unibail-Rodamco-Westfield SE,Lone Pine Capital LLC,2020-11-18,FR0013326246,1.9,archive
Unibail-Rodamco-Westfield SE,"Long Pond Capital, LP",2020-11-18,FR0013326246,0.66,archive
Fugro N.V.,Susquehanna International Securities Limited,2020-11-18,NL0000352565,0.7,archive
Fugro N.V.,Systematica Investments Limited,2020-11-18,NL0000352565,0.78,archive
AEGON Ltd.,Viking Global Investors LP,2020-11-18,NL0000303709,0.8,archive
Pharming Group N.V.,Voleon Capital Management LP,2020-11-18,NL0010391025,0.81,archive
Aperam S.A.,Citadel Advisors LLC,2020-11-17,LU0569974404,0.69,archive
Unibail-Rodamco-Westfield SE,Gladstone Capital Management LLP,2020-11-17,FR0013326246,0.45,archive
Unibail-Rodamco-Westfield SE,Lone Pine Capital LLC,2020-11-17,FR0013326246,1.89,archive
Basic-Fit N.V.,Marshall Wace LLP,2020-11-17,NL0011872650,0.7,archive
Fugro N.V.,Marshall Wace LLP,2020-11-17,NL0000352565,2.02,archive
Fugro N.V.,Systematica Investments Limited,2020-11-17,NL0000352565,0.96,archive
Unibail-Rodamco-Westfield SE,Tiger Global Management LLC,2020-11-17,FR0013326246,0.92,archive
AEGON Ltd.,Viking Global Investors LP,2020-11-17,NL0000303709,0.74,archive
Koninklijke BAM Groep N.V.,Voleon Capital Management LP,2020-11-17,NL0000337319,0.86,archive
Unibail-Rodamco-Westfield SE,Gladstone Capital Management LLP,2020-11-16,FR0013326246,0.64,archive
Unibail-Rodamco-Westfield SE,"Long Pond Capital, LP",2020-11-16,FR0013326246,0.58,archive
Fugro N.V.,Marshall Wace LLP,2020-11-16,NL0000352565,2.13,archive
Signify N.V.,Millennium International Management LP,2020-11-16,NL0011821392,0.48,archive
Unibail-Rodamco-Westfield SE,"Samlyn Capital, LLC",2020-11-16,FR0013326246,0.29,archive
Fugro N.V.,Systematica Investments Limited,2020-11-16,NL0000352565,1.14,archive
Unibail-Rodamco-Westfield SE,Tiger Global Management LLC,2020-11-16,FR0013326246,0.76,archive
Fugro N.V.,Voleon Capital Management LP,2020-11-16,NL0000352565,0.58,archive
Koninklijke BAM Groep N.V.,Voleon Capital Management LP,2020-11-16,NL0000337319,0.9,archive
Unibail-Rodamco-Westfield SE,Gladstone Capital Management LLP,2020-11-13,FR0013326246,0.82,archive
Flow Traders Ltd.,Marshall Wace LLP,2020-11-13,NL0011279492,0.5,archive
AMG Critical Materials N.V.,Systematica Investments Limited,2020-11-13,NL0000888691,0.78,archive
Fugro N.V.,Voleon Capital Management LP,2020-11-13,NL0000352565,0.68,archive
Wereldhave N.V.,"WorldQuant, LLC",2020-11-13,NL0000289213,0.69,archive
Flow Traders Ltd.,"D. E. Shaw & Co., L.P.",2020-11-12,NL0011279492,0.46,archive
ARCADIS N.V.,Lansdowne Partners (UK) LLP,2020-11-12,NL0006237562,1.58,archive
Fugro N.V.,Marshall Wace LLP,2020-11-12,NL0000352565,2.29,archive
SBM Offshore N.V.,Marshall Wace LLP,2020-11-12,NL0000360618,1.48,archive
Fugro N.V.,Systematica Investments Limited,2020-11-12,NL0000352565,1.29,archive
Fugro N.V.,Voleon Capital Management LP,2020-11-12,NL0000352565,0.75,archive
Koninklijke BAM Groep N.V.,Voleon Capital Management LP,2020-11-12,NL0000337319,1.09,archive
PostNL N.V.,Voleon Capital Management LP,2020-11-12,NL0009739416,0.44,archive
OCI N.V.,"AQR Capital Management, LLC",2020-11-11,NL0010558797,1.39,archive
Wereldhave N.V.,"Connor, Clark & Lunn Investment Management Ltd.",2020-11-11,NL0000289213,0.76,archive
Flow Traders Ltd.,"D. E. Shaw & Co., L.P.",2020-11-11,NL0011279492,0.51,archive
Unibail-Rodamco-Westfield SE,Gladstone Capital Management LLP,2020-11-11,FR0013326246,0.92,archive
