issuer_name,position_holder,position_date,isin,net_short_position,source
IMCD N.V.,"PDT Partners, LLC",2026-07-24,NL0010801007,0.79,current
Pharming Group N.V.,Walleye Capital LLC,2026-07-24,NL0010391025,1.21,current
ARCADIS N.V.,Capital Fund Management S.A.,2026-07-23,NL0006237562,0.5,current
Signify N.V.,Citadel Advisors LLC,2026-07-23,NL0011821392,0.79,current
Avantium N.V.,Citadel Securities (Europe) Limited,2026-07-23,NL0015002IE0,0.8,current
Sligro Food Group N.V.,JPMorgan Asset Management (UK) Ltd.,2026-07-23,NL0000817179,0.71,current
DSM-Firmenich AG,Marshall Wace LLP,2026-07-23,CH1216478797,1.03,current
Signify N.V.,Marshall Wace LLP,2026-07-23,NL0011821392,0.8,current
Signify N.V.,Citadel Advisors LLC,2026-07-22,NL0011821392,0.97,current
Signify N.V.,"Farallon Capital Management, L.L.C.",2026-07-22,NL0011821392,1.51,current
IMCD N.V.,Capital Fund Management S.A.,2026-07-21,NL0010801007,0.96,current
Signify N.V.,Citadel Advisors LLC,2026-07-21,NL0011821392,1.01,current
Alfen N.V.,"WorldQuant, LLC",2026-07-21,NL0012817175,1.11,current
Akzo Nobel N.V.,"BlackRock Financial Management, Inc.",2026-07-20,NL0013267909,0.51,current
Signify N.V.,Citadel Advisors LLC,2026-07-20,NL0011821392,0.97,current
Signify N.V.,"Farallon Capital Management, L.L.C.",2026-07-20,NL0011821392,1.44,current
Signify N.V.,Squarepoint Ops LLC,2026-07-20,NL0011821392,0.78,current
Theon International Plc,"Two Sigma Investments, LP",2026-07-20,CY0200751713,0.68,current
Signify N.V.,"BlackRock Institutional Trust Company, National Association",2026-07-17,NL0011821392,0.61,current
Signify N.V.,Citadel Advisors LLC,2026-07-17,NL0011821392,1.01,current
DSM-Firmenich AG,Marshall Wace LLP,2026-07-17,CH1216478797,0.98,current
IMCD N.V.,"BlackRock Financial Management, Inc.",2026-07-16,NL0010801007,0.71,current
Signify N.V.,"BlackRock Institutional Trust Company, National Association",2026-07-16,NL0011821392,0.59,current
Signify N.V.,"Farallon Capital Management, L.L.C.",2026-07-16,NL0011821392,1.37,current
Pharming Group N.V.,Walleye Capital LLC,2026-07-16,NL0010391025,1.1,current
Akzo Nobel N.V.,"BlackRock Advisors, LLC",2026-07-15,NL0013267909,1.0,current
Signify N.V.,Citadel Advisors LLC,2026-07-15,NL0011821392,0.98,current
Signify N.V.,Marshall Wace LLP,2026-07-15,NL0011821392,0.73,current
Fugro N.V.,Actus Ray Partners Limited,2026-07-14,NL00150003E1,0.72,current
Akzo Nobel N.V.,Davidson Kempner Capital Management LP,2026-07-14,NL0013267909,1.4,current
Signify N.V.,Marshall Wace LLP,2026-07-14,NL0011821392,0.82,current
Signify N.V.,Squarepoint Ops LLC,2026-07-14,NL0011821392,0.89,current
Pharming Group N.V.,Lazard Asset Management LLC,2026-07-13,NL0010391025,0.73,current
Signify N.V.,Citadel Advisors LLC,2026-07-10,NL0011821392,1.05,current
Wereldhave N.V.,Citadel Advisors LLC,2026-07-10,NL0000289213,1.09,current
Signify N.V.,Marshall Wace LLP,2026-07-10,NL0011821392,0.98,current
Signify N.V.,Squarepoint Ops LLC,2026-07-10,NL0011821392,0.91,current
Wereldhave N.V.,Citadel Advisors LLC,2026-07-09,NL0000289213,1.1,current
Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2026-07-09,NL00150003E1,1.97,current
Signify N.V.,Marshall Wace LLP,2026-07-09,NL0011821392,1.06,current
NSI N.V.,Numeric Investors LLC,2026-07-09,NL0012365084,0.91,current
Alfen N.V.,"WorldQuant, LLC",2026-07-09,NL0012817175,1.02,current
ARCADIS N.V.,"AQR Capital Management, LLC",2026-07-08,NL0006237562,0.79,current
The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,2026-07-08,NL0015002MS2,0.6,current
Signify N.V.,Citadel Advisors LLC,2026-07-08,NL0011821392,1.16,current
NSI N.V.,Marshall Wace LLP,2026-07-08,NL0012365084,0.51,current
Alfen N.V.,"WorldQuant, LLC",2026-07-08,NL0012817175,0.99,current
Fugro N.V.,Actus Ray Partners Limited,2026-07-07,NL00150003E1,0.61,current
The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,2026-07-07,NL0015002MS2,0.59,current
Signify N.V.,"BlackRock Financial Management, Inc.",2026-07-06,NL0011821392,0.69,current
The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,2026-07-06,NL0015002MS2,0.6,current
Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2026-07-06,NL00150003E1,2.08,current
DSM-Firmenich AG,Marshall Wace LLP,2026-07-06,CH1216478797,1.0,current
Signify N.V.,Marshall Wace LLP,2026-07-06,NL0011821392,1.17,current
Sligro Food Group N.V.,JPMorgan Asset Management (UK) Ltd.,2026-07-03,NL0000817179,0.67,current
DSM-Firmenich AG,Marshall Wace LLP,2026-07-03,CH1216478797,0.99,current
Akzo Nobel N.V.,"BlackRock Advisors, LLC",2026-07-02,NL0013267909,0.92,current
Signify N.V.,"BlackRock Financial Management, Inc.",2026-07-02,NL0011821392,0.7,current
Signify N.V.,Marshall Wace LLP,2026-07-02,NL0011821392,1.27,current
Fugro N.V.,Actus Ray Partners Limited,2026-07-01,NL00150003E1,0.5,current
Akzo Nobel N.V.,"BlackRock Advisors, LLC",2026-07-01,NL0013267909,0.85,current
Signify N.V.,Eleva Capital SAS,2026-07-01,NL0011821392,1.38,current
Basic-Fit N.V.,Fosse Capital Partners LLP,2026-07-01,NL0011872650,0.83,current
DSM-Firmenich AG,Marshall Wace LLP,2026-07-01,CH1216478797,1.0,current
Signify N.V.,Marshall Wace LLP,2026-07-01,NL0011821392,1.37,current
Akzo Nobel N.V.,Millennium International Management LP,2026-07-01,NL0013267909,0.72,current
Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",2026-07-01,NL0013267909,1.09,current
Signify N.V.,"AQR Capital Management, LLC",2026-06-30,NL0011821392,1.09,current
Signify N.V.,"BlackRock Financial Management, Inc.",2026-06-30,NL0011821392,0.69,current
IMCD N.V.,Caisse de dépôt et placement du Québec,2026-06-30,NL0010801007,0.72,current
Signify N.V.,Citadel Advisors LLC,2026-06-30,NL0011821392,1.25,current
Avantium N.V.,Citadel Securities (Europe) Limited,2026-06-30,NL0015002IE0,0.75,current
Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2026-06-30,NL00150003E1,2.16,current
Signify N.V.,Marshall Wace LLP,2026-06-30,NL0011821392,1.47,current
Alfen N.V.,"WorldQuant, LLC",2026-06-30,NL0012817175,1.01,current
Signify N.V.,"BlackRock Institutional Trust Company, National Association",2026-06-29,NL0011821392,0.6,current
IMCD N.V.,Capital Fund Management S.A.,2026-06-29,NL0010801007,1.0,current
DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,2026-06-29,CH1216478797,2.01,current
Signify N.V.,Marshall Wace LLP,2026-06-29,NL0011821392,1.58,current
Alfen N.V.,"WorldQuant, LLC",2026-06-29,NL0012817175,0.92,current
