position_holder,net_short_position,position_date,isin,issuer_name,source
"D. E. Shaw & Co., L.P.",0.7,2026-03-27,NL0006237562,ARCADIS N.V.,current
"D. E. Shaw & Co., L.P.",0.69,2026-03-26,NL0006237562,ARCADIS N.V.,current
Marshall Wace LLP,1.96,2026-03-26,NL0011821392,Signify N.V.,current
"Two Sigma Investments, LP",1.5,2026-03-26,LU2290522684,InPost S.A.,current
Voleon Capital Management LP,0.5,2026-03-26,NL0010801007,IMCD N.V.,current
"AQR Capital Management, LLC",0.8,2026-03-25,NL0012969182,Adyen N.V.,current
"AQR Capital Management, LLC",0.5,2026-03-25,JE00BRX98089,CVC Capital Partners plc,current
Ilex Capital Partners (UK) LLP,0.82,2026-03-25,CH1216478797,DSM-Firmenich AG,current
JPMorgan Asset Management (UK) Ltd.,0.56,2026-03-24,NL0010801007,IMCD N.V.,current
Lazard Asset Management LLC,1.14,2026-03-24,NL0010391025,Pharming Group N.V.,current
Marshall Wace LLP,2.0,2026-03-24,NL0011821392,Signify N.V.,current
Marshall Wace LLP,1.6,2026-03-24,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
