position_holder,net_short_position,position_date,isin,issuer_name,source
Marshall Wace LLP,0.47,2019-09-09,NL0011279492,Flow Traders Ltd.,archive
Marshall Wace LLP,2.58,2019-09-09,NL0009739416,PostNL N.V.,archive
Millennium Capital Partners LLP,0.72,2019-09-09,NL0011821392,Signify N.V.,archive
Millennium International Management LP,0.72,2019-09-09,FR0013326246,Unibail-Rodamco-Westfield SE,archive
"WorldQuant, LLC",0.62,2019-09-09,NL0009269109,Koninklijke Heijmans N.V.,archive
AHL Partners LLP,1.03,2019-09-06,NL0000888691,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",1.7,2019-09-06,BE0003818359,Galapagos NV,archive
B&G Master Fund Plc,0.88,2019-09-06,NL0000352565,Fugro N.V.,archive
"BlackRock Institutional Trust Company, National Association",0.54,2019-09-06,NL0000352565,Fugro N.V.,archive
Lancaster Investment Management LLP,1.25,2019-09-06,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,1.58,2019-09-06,NL0012866412,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2.87,2019-09-06,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,1.72,2019-09-06,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2.67,2019-09-06,NL0009739416,PostNL N.V.,archive
Marshall Wace LLP,0.65,2019-09-06,NL0013332471,TomTom N.V.,archive
Marshall Wace LLP,1.25,2019-09-06,NL0000289213,Wereldhave N.V.,archive
Millennium International Management LP,0.62,2019-09-06,FR0013326246,Unibail-Rodamco-Westfield SE,archive
Millennium International Management LP,1.08,2019-09-06,NL0000289213,Wereldhave N.V.,archive
Voleon Capital Management LP,0.49,2019-09-06,NL0000888691,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",0.67,2019-09-06,NL0000337319,Koninklijke BAM Groep N.V.,archive
AHL Partners LLP,1.2,2019-09-05,NL0000888691,AMG Critical Materials N.V.,archive
Capital Fund Management S.A.,1.08,2019-09-05,NL0009739416,PostNL N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.69,2019-09-05,NL0009739416,PostNL N.V.,archive
HBK Investments LP,1.33,2019-09-05,NL0000352565,Fugro N.V.,archive
Jupiter Investment Management Limited,1.09,2019-09-05,NL0012866412,BE Semiconductor Industries N.V.,archive
Lancaster Investment Management LLP,1.09,2019-09-05,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.94,2019-09-05,NL0000888691,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.55,2019-09-05,NL0011279492,Flow Traders Ltd.,archive
Marshall Wace LLP,2.96,2019-09-05,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,1.59,2019-09-05,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2.79,2019-09-05,NL0009739416,PostNL N.V.,archive
Marshall Wace LLP,1.32,2019-09-05,NL0000289213,Wereldhave N.V.,archive
Millennium International Management LP,0.53,2019-09-05,FR0013326246,Unibail-Rodamco-Westfield SE,archive
Millennium International Management LP,1.13,2019-09-05,NL0000289213,Wereldhave N.V.,archive
"WorldQuant, LLC",1.04,2019-09-05,NL0000888691,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",0.54,2019-09-05,NL0009269109,Koninklijke Heijmans N.V.,archive
AHL Partners LLP,1.4,2019-09-04,NL0000888691,AMG Critical Materials N.V.,archive
AHL Partners LLP,0.97,2019-09-04,NL0009739416,PostNL N.V.,archive
"BlackRock Institutional Trust Company, National Association",0.64,2019-09-04,NL0000352565,Fugro N.V.,archive
Citadel Advisors II LLC,0.59,2019-09-04,NL0000337319,Koninklijke BAM Groep N.V.,archive
"D. E. Shaw & Co., L.P.",1.0,2019-09-04,BE0003818359,Galapagos NV,archive
HBK Investments LP,1.4,2019-09-04,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,1.66,2019-09-04,NL0012866412,BE Semiconductor Industries N.V.,archive
Sculptor Capital Management Europe Limited,2.09,2019-09-04,NL0000352565,Fugro N.V.,archive
AHL Partners LLP,1.58,2019-09-03,NL0000888691,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",2.2,2019-09-03,NL0000360618,SBM Offshore N.V.,archive
Citadel Advisors LLC,0.71,2019-09-03,BE0003818359,Galapagos NV,archive
HBK Investments LP,1.51,2019-09-03,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,3.08,2019-09-03,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,1.41,2019-09-03,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.5,2019-09-03,NL0013332471,TomTom N.V.,archive
Numeric Investors LLC,0.49,2019-09-03,FR0013326246,Unibail-Rodamco-Westfield SE,archive
"WorldQuant, LLC",1.19,2019-09-03,NL0000888691,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",0.46,2019-09-03,NL0011279492,Flow Traders Ltd.,archive
AHL Partners LLP,1.69,2019-09-02,NL0000888691,AMG Critical Materials N.V.,archive
Citadel Advisors II LLC,0.61,2019-09-02,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.81,2019-09-02,NL0000888691,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.51,2019-09-02,LU0569974404,Aperam S.A.,archive
Millennium International Management LP,1.11,2019-09-02,NL0011821392,Signify N.V.,archive
Otus Capital Management Ltd.,0.49,2019-09-02,NL0000289213,Wereldhave N.V.,archive
AHL Partners LLP,1.08,2019-08-30,NL0009739416,PostNL N.V.,archive
Capital Fund Management S.A.,1.18,2019-08-30,NL0009739416,PostNL N.V.,archive
Marshall Wace LLP,0.77,2019-08-30,NL0000888691,AMG Critical Materials N.V.,archive
Marshall Wace LLP,1.32,2019-08-30,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2.99,2019-08-30,NL0009739416,PostNL N.V.,archive
Millennium International Management LP,1.09,2019-08-30,NL0011821392,Signify N.V.,archive
Citadel Advisors II LLC,0.5,2019-08-29,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,3.19,2019-08-29,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,1.22,2019-08-29,NL0000337319,Koninklijke BAM Groep N.V.,archive
Millennium International Management LP,1.1,2019-08-29,NL0011821392,Signify N.V.,archive
"WorldQuant, LLC",0.88,2019-08-29,NL0000352565,Fugro N.V.,archive
AHL Partners LLP,1.15,2019-08-28,NL0009739416,PostNL N.V.,archive
"AQR Capital Management, LLC",1.66,2019-08-28,BE0003818359,Galapagos NV,archive
"AQR Capital Management, LLC",1.4,2019-08-28,NL0010558797,OCI N.V.,archive
Citadel Advisors LLC,0.67,2019-08-28,BE0003818359,Galapagos NV,archive
"D. E. Shaw & Co., L.P.",0.58,2019-08-28,NL0000888691,AMG Critical Materials N.V.,archive
Marshall Wace LLP,1.76,2019-08-28,NL0012866412,BE Semiconductor Industries N.V.,archive
Toscafund Asset Management LLP,0.91,2019-08-28,NL0000289213,Wereldhave N.V.,archive
"WorldQuant, LLC",1.27,2019-08-28,NL0000888691,AMG Critical Materials N.V.,archive
"Arrowstreet Capital, Limited Partnership",1.6,2019-08-27,NL0000888691,AMG Critical Materials N.V.,archive
"D. E. Shaw & Co., L.P.",0.67,2019-08-27,NL0000289213,Wereldhave N.V.,archive
Jupiter Investment Management Limited,1.18,2019-08-27,NL0012866412,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,3.29,2019-08-27,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,1.47,2019-08-27,NL0000289213,Wereldhave N.V.,archive
Numeric Investors LLC,0.48,2019-08-27,NL0009739416,PostNL N.V.,archive
"WorldQuant, LLC",0.7,2019-08-27,NL0000337319,Koninklijke BAM Groep N.V.,archive
"AQR Capital Management, LLC",2.11,2019-08-26,NL0000360618,SBM Offshore N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.79,2019-08-26,NL0009739416,PostNL N.V.,archive
"D. E. Shaw & Co., L.P.",0.95,2019-08-26,BE0003818359,Galapagos NV,archive
Millennium International Management LP,1.08,2019-08-26,NL0000289213,Wereldhave N.V.,archive
"WorldQuant, LLC",0.59,2019-08-26,NL0000337319,Koninklijke BAM Groep N.V.,archive
"BlackRock Institutional Trust Company, National Association",0.75,2019-08-23,NL0000352565,Fugro N.V.,archive
Citadel Advisors LLC,0.72,2019-08-23,BE0003818359,Galapagos NV,archive
"Connor, Clark & Lunn Investment Management Ltd.",1.54,2019-08-23,NL0000888691,AMG Critical Materials N.V.,archive
"Lucerne Capital Management, L.P.",0.64,2019-08-23,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.69,2019-08-23,NL0011279492,Flow Traders Ltd.,archive
Marshall Wace LLP,3.35,2019-08-23,NL0000352565,Fugro N.V.,archive
Systematica Investments Limited,0.8,2019-08-23,NL0000352565,Fugro N.V.,archive
Voleon Capital Management LP,0.5,2019-08-23,NL0000888691,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",1.18,2019-08-23,NL0000888691,AMG Critical Materials N.V.,archive
AHL Partners LLP,1.29,2019-08-22,NL0009739416,PostNL N.V.,archive
"AQR Capital Management, LLC",2.04,2019-08-22,NL0000360618,SBM Offshore N.V.,archive
JPMorgan Asset Management (UK) Ltd.,1.75,2019-08-22,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,1.15,2019-08-22,NL0000337319,Koninklijke BAM Groep N.V.,archive
Millennium Capital Partners LLP,0.6,2019-08-22,NL0011821392,Signify N.V.,archive
Susquehanna International Holdings LLC,0.29,2019-08-22,NL0009269109,Koninklijke Heijmans N.V.,archive
"WorldQuant, LLC",1.08,2019-08-22,NL0000888691,AMG Critical Materials N.V.,archive
"Arrowstreet Capital, Limited Partnership",1.5,2019-08-21,NL0000888691,AMG Critical Materials N.V.,archive
Marshall Wace LLP,3.47,2019-08-21,NL0000352565,Fugro N.V.,archive
"PDT Partners, LLC",0.45,2019-08-21,NL0010391025,Pharming Group N.V.,archive
Susquehanna International Holdings LLC,0.54,2019-08-21,NL0009269109,Koninklijke Heijmans N.V.,archive
TT International,0.48,2019-08-21,NL0010391025,Pharming Group N.V.,archive
"WorldQuant, LLC",0.58,2019-08-21,NL0011279492,Flow Traders Ltd.,archive
AHL Partners LLP,1.37,2019-08-20,NL0009739416,PostNL N.V.,archive
Capital Fund Management S.A.,0.99,2019-08-20,NL0000352565,Fugro N.V.,archive
Capital Fund Management S.A.,1.29,2019-08-20,NL0009739416,PostNL N.V.,archive
Marshall Wace LLP,1.21,2019-08-20,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.48,2019-08-20,NL0013332471,TomTom N.V.,archive
Millennium International Management LP,1.0,2019-08-20,NL0011821392,Signify N.V.,archive
Numeric Investors LLC,0.58,2019-08-20,NL0009739416,PostNL N.V.,archive
Susquehanna International Holdings LLC,0.47,2019-08-20,NL0009269109,Koninklijke Heijmans N.V.,archive
"WorldQuant, LLC",0.97,2019-08-20,NL0000888691,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",1.93,2019-08-19,NL0000360618,SBM Offshore N.V.,archive
"BlackRock Institutional Trust Company, National Association",0.85,2019-08-19,NL0000352565,Fugro N.V.,archive
Citadel Advisors LLC,0.6,2019-08-19,BE0003818359,Galapagos NV,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.89,2019-08-19,NL0009739416,PostNL N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",1.3,2019-08-19,NL0000289213,Wereldhave N.V.,archive
Dalton Strategic Partnership LLP,0.46,2019-08-19,NL0000337319,Koninklijke BAM Groep N.V.,archive
HBK Investments LP,1.46,2019-08-19,NL0000352565,Fugro N.V.,archive
Jupiter Investment Management Limited,1.28,2019-08-19,NL0012866412,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,0.79,2019-08-19,NL0011279492,Flow Traders Ltd.,archive
Marshall Wace LLP,1.16,2019-08-19,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,1.52,2019-08-19,NL0000289213,Wereldhave N.V.,archive
Numeric Investors LLC,0.6,2019-08-19,NL0009739416,PostNL N.V.,archive
"PDT Partners, LLC",0.59,2019-08-19,NL0010391025,Pharming Group N.V.,archive
"PDT Partners, LLC",0.68,2019-08-19,NL0009739416,PostNL N.V.,archive
Susquehanna International Holdings LLC,0.59,2019-08-19,NL0009269109,Koninklijke Heijmans N.V.,archive
"WorldQuant, LLC",1.01,2019-08-19,NL0000888691,AMG Critical Materials N.V.,archive
AHL Partners LLP,1.48,2019-08-16,NL0009739416,PostNL N.V.,archive
"D. E. Shaw & Co., L.P.",1.01,2019-08-16,BE0003818359,Galapagos NV,archive
HBK Investments LP,1.53,2019-08-16,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,1.82,2019-08-16,NL0012866412,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,3.0,2019-08-16,NL0009739416,PostNL N.V.,archive
Marshall Wace LLP,0.7,2019-08-16,NL0011821392,Signify N.V.,archive
Marshall Wace LLP,1.49,2019-08-16,NL0000289213,Wereldhave N.V.,archive
Millennium International Management LP,1.13,2019-08-16,NL0000289213,Wereldhave N.V.,archive
RAM Active Investments SA,0.48,2019-08-16,NL0009739416,PostNL N.V.,archive
Susquehanna International Holdings LLC,0.49,2019-08-16,NL0000888691,AMG Critical Materials N.V.,archive
Toscafund Asset Management LLP,0.84,2019-08-16,NL0000289213,Wereldhave N.V.,archive
"WorldQuant, LLC",0.92,2019-08-16,NL0000352565,Fugro N.V.,archive
AHL Partners LLP,1.56,2019-08-15,NL0009739416,PostNL N.V.,archive
"AQR Capital Management, LLC",1.3,2019-08-15,NL0010558797,OCI N.V.,archive
"Eminence Capital, LP",2.77,2019-08-15,NL0000888691,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.81,2019-08-15,NL0000888691,AMG Critical Materials N.V.,archive
Marshall Wace LLP,3.59,2019-08-15,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,0.48,2019-08-15,NL0011794037,Koninklijke Ahold Delhaize N.V.,archive
Marshall Wace LLP,2.99,2019-08-15,NL0009739416,PostNL N.V.,archive
Millennium Capital Partners LLP,0.51,2019-08-15,NL0011821392,Signify N.V.,archive
Millennium International Management LP,0.93,2019-08-15,NL0011821392,Signify N.V.,archive
Susquehanna International Holdings LLC,0.55,2019-08-15,NL0000888691,AMG Critical Materials N.V.,archive
"Woodson Capital Master Fund, LP",2.22,2019-08-15,NL0000289213,Wereldhave N.V.,archive
"WorldQuant, LLC",1.17,2019-08-15,NL0000888691,AMG Critical Materials N.V.,archive
B&G Master Fund Plc,0.91,2019-08-14,NL0000352565,Fugro N.V.,archive
Citadel Advisors LLC,0.5,2019-08-14,BE0003818359,Galapagos NV,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.44,2019-08-14,NL0010391025,Pharming Group N.V.,archive
"Eminence Capital, LP",3.39,2019-08-14,NL0000888691,AMG Critical Materials N.V.,archive
HBK Investments LP,1.6,2019-08-14,NL0000352565,Fugro N.V.,archive
Kuvari Partners LLP,0.6,2019-08-14,NL0006237562,ARCADIS N.V.,archive
Marshall Wace LLP,3.63,2019-08-14,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,3.04,2019-08-14,NL0009739416,PostNL N.V.,archive
"PDT Partners, LLC",0.72,2019-08-14,NL0009739416,PostNL N.V.,archive
"Woodson Capital Master Fund, LP",2.11,2019-08-14,NL0000289213,Wereldhave N.V.,archive
AHL Partners LLP,1.68,2019-08-13,NL0009739416,PostNL N.V.,archive
"AQR Capital Management, LLC",1.8,2019-08-13,NL0000360618,SBM Offshore N.V.,archive
Capital Fund Management S.A.,1.39,2019-08-13,NL0009739416,PostNL N.V.,archive
Citadel Europe LLP,0.63,2019-08-13,NL0012866412,BE Semiconductor Industries N.V.,archive
"D. E. Shaw & Co., L.P.",0.91,2019-08-13,BE0003818359,Galapagos NV,archive
Dalton Strategic Partnership LLP,0.55,2019-08-13,NL0000337319,Koninklijke BAM Groep N.V.,archive
HBK Investments LP,1.46,2019-08-13,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,3.56,2019-08-13,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,3.17,2019-08-13,NL0009739416,PostNL N.V.,archive
"Philadelphia Financial Management of San Francisco, LLC",0.18,2019-08-13,NL0011279492,Flow Traders Ltd.,archive
Sculptor Capital Management Europe Limited,2.1,2019-08-13,NL0000352565,Fugro N.V.,archive
Susquehanna International Holdings LLC,0.67,2019-08-13,NL0000888691,AMG Critical Materials N.V.,archive
B&G Master Fund Plc,0.89,2019-08-12,NL0000352565,Fugro N.V.,archive
"D. E. Shaw & Co., L.P.",0.6,2019-08-12,NL0000888691,AMG Critical Materials N.V.,archive
Marshall Wace LLP,1.7,2019-08-12,NL0012866412,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,3.24,2019-08-12,NL0009739416,PostNL N.V.,archive
Marshall Wace LLP,0.6,2019-08-12,NL0011821392,Signify N.V.,archive
Marshall Wace LLP,1.5,2019-08-12,NL0000289213,Wereldhave N.V.,archive
"WorldQuant, LLC",0.61,2019-08-12,NL0011279492,Flow Traders Ltd.,archive
"WorldQuant, LLC",0.81,2019-08-12,NL0000352565,Fugro N.V.,archive
AHL Partners LLP,1.76,2019-08-09,NL0009739416,PostNL N.V.,archive
"AQR Capital Management, LLC",1.6,2019-08-09,NL0009432491,Koninklijke Vopak N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.8,2019-08-09,NL0000352565,Fugro N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.58,2019-08-09,NL0010391025,Pharming Group N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.98,2019-08-09,NL0009739416,PostNL N.V.,archive
HBK Investments LP,1.5,2019-08-09,NL0000352565,Fugro N.V.,archive
Jupiter Investment Management Limited,1.38,2019-08-09,NL0012866412,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,3.31,2019-08-09,NL0009739416,PostNL N.V.,archive
"WorldQuant, LLC",1.29,2019-08-09,NL0000888691,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",0.58,2019-08-09,NL0011279492,Flow Traders Ltd.,archive
"WorldQuant, LLC",0.74,2019-08-09,NL0000352565,Fugro N.V.,archive
"Arrowstreet Capital, Limited Partnership",1.4,2019-08-08,NL0000888691,AMG Critical Materials N.V.,archive
Capital Fund Management S.A.,1.48,2019-08-08,NL0009739416,PostNL N.V.,archive
Marshall Wace LLP,3.4,2019-08-08,NL0009739416,PostNL N.V.,archive
Susquehanna International Holdings LLC,0.71,2019-08-08,NL0000888691,AMG Critical Materials N.V.,archive
Systematica Investments Limited,0.5,2019-08-08,NL0009739416,PostNL N.V.,archive
Wellington Management Company LLP,0.7,2019-08-08,NL0000289213,Wereldhave N.V.,archive
"WorldQuant, LLC",0.6,2019-08-08,NL0011279492,Flow Traders Ltd.,archive
"WorldQuant, LLC",0.63,2019-08-08,NL0000352565,Fugro N.V.,archive
"BlackRock Institutional Trust Company, National Association",0.97,2019-08-07,NL0000352565,Fugro N.V.,archive
"D. E. Shaw & Co., L.P.",0.8,2019-08-07,BE0003818359,Galapagos NV,archive
"D. E. Shaw & Co., L.P.",0.7,2019-08-07,NL0000289213,Wereldhave N.V.,archive
HBK Investments LP,1.46,2019-08-07,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,0.77,2019-08-07,NL0000888691,AMG Critical Materials N.V.,archive
Marshall Wace LLP,3.55,2019-08-07,NL0009739416,PostNL N.V.,archive
Marshall Wace LLP,0.59,2019-08-07,NL0011821392,Signify N.V.,archive
Marshall Wace LLP,1.49,2019-08-07,NL0000289213,Wereldhave N.V.,archive
Wellington Management Company LLP,0.52,2019-08-07,NL0000289213,Wereldhave N.V.,archive
"WorldQuant, LLC",1.36,2019-08-07,NL0000888691,AMG Critical Materials N.V.,archive
AHL Partners LLP,1.88,2019-08-06,NL0009739416,PostNL N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.69,2019-08-06,NL0010391025,Pharming Group N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",1.09,2019-08-06,NL0009739416,PostNL N.V.,archive
HBK Investments LP,1.39,2019-08-06,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,1.6,2019-08-06,NL0012866412,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,3.41,2019-08-06,NL0000352565,Fugro N.V.,archive
Millennium International Management LP,1.0,2019-08-06,NL0000289213,Wereldhave N.V.,archive
Numeric Investors LLC,0.55,2019-08-06,FR0013326246,Unibail-Rodamco-Westfield SE,archive
"PDT Partners, LLC",0.79,2019-08-06,NL0000888691,AMG Critical Materials N.V.,archive
Voleon Capital Management LP,0.37,2019-08-06,NL0009739416,PostNL N.V.,archive
"WorldQuant, LLC",1.18,2019-08-06,NL0000888691,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",0.44,2019-08-06,NL0009739416,PostNL N.V.,archive
AHL Partners LLP,1.99,2019-08-05,NL0009739416,PostNL N.V.,archive
HBK Investments LP,1.41,2019-08-05,NL0000352565,Fugro N.V.,archive
Jupiter Investment Management Limited,1.46,2019-08-05,NL0012866412,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,0.85,2019-08-05,NL0000888691,AMG Critical Materials N.V.,archive
Marshall Wace LLP,3.68,2019-08-05,NL0009739416,PostNL N.V.,archive
"Public Equity Partners Management, L.P.",2.27,2019-08-05,NL0000888691,AMG Critical Materials N.V.,archive
Renaissance Technologies LLC,0.49,2019-08-05,LU0569974404,Aperam S.A.,archive
Sculptor Capital Management Europe Limited,2.03,2019-08-05,NL0000352565,Fugro N.V.,archive
"WorldQuant, LLC",1.07,2019-08-05,NL0000888691,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",0.51,2019-08-05,NL0011279492,Flow Traders Ltd.,archive
AHL Partners LLP,2.01,2019-08-02,NL0009739416,PostNL N.V.,archive
"Arrowstreet Capital, Limited Partnership",1.3,2019-08-02,NL0000888691,AMG Critical Materials N.V.,archive
BlackRock Investment Management (UK) Limited,1.9,2019-08-02,NL0011821392,Signify N.V.,archive
"D. E. Shaw & Co., L.P.",0.5,2019-08-02,NL0000888691,AMG Critical Materials N.V.,archive
HBK Investments LP,1.32,2019-08-02,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,0.92,2019-08-02,NL0000888691,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.81,2019-08-02,NL0011279492,Flow Traders Ltd.,archive
Marshall Wace LLP,0.68,2019-08-02,NL0011821392,Signify N.V.,archive
Marshall Wace LLP,1.57,2019-08-02,NL0000289213,Wereldhave N.V.,archive
"Public Equity Partners Management, L.P.",2.42,2019-08-02,NL0000888691,AMG Critical Materials N.V.,archive
Renaissance Technologies LLC,0.5,2019-08-02,LU0569974404,Aperam S.A.,archive
Scopia Capital Management LP,3.51,2019-08-02,NL0012866412,BE Semiconductor Industries N.V.,archive
Sculptor Capital Management Europe Limited,1.94,2019-08-02,NL0000352565,Fugro N.V.,archive
Susquehanna International Holdings LLC,0.85,2019-08-02,NL0000888691,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",0.85,2019-08-02,NL0000888691,AMG Critical Materials N.V.,archive
"Arrowstreet Capital, Limited Partnership",1.21,2019-08-01,NL0000888691,AMG Critical Materials N.V.,archive
"BlackRock Institutional Trust Company, National Association",1.06,2019-08-01,NL0000352565,Fugro N.V.,archive
"Bloom Tree Partners, LLC",0.57,2019-08-01,NL0000289213,Wereldhave N.V.,archive
Capital Fund Management S.A.,1.59,2019-08-01,NL0009739416,PostNL N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.76,2019-08-01,NL0000352565,Fugro N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.77,2019-08-01,NL0010391025,Pharming Group N.V.,archive
Jupiter Investment Management Limited,2.29,2019-08-01,NL0000888691,AMG Critical Materials N.V.,archive
Lancaster Investment Management LLP,0.81,2019-08-01,NL0000337319,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,1.07,2019-08-01,NL0000888691,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2.6,2019-08-01,NL0006237562,ARCADIS N.V.,archive
Marshall Wace LLP,3.37,2019-08-01,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,0.72,2019-08-01,NL0011821392,Signify N.V.,archive
Marshall Wace LLP,1.6,2019-08-01,NL0000289213,Wereldhave N.V.,archive
"Public Equity Partners Management, L.P.",2.68,2019-08-01,NL0000888691,AMG Critical Materials N.V.,archive
Renaissance Technologies LLC,0.49,2019-08-01,LU0569974404,Aperam S.A.,archive
Scopia Capital Management LP,3.44,2019-08-01,NL0012866412,BE Semiconductor Industries N.V.,archive
Sculptor Capital Management Europe Limited,1.89,2019-08-01,NL0000352565,Fugro N.V.,archive
Susquehanna International Holdings LLC,0.97,2019-08-01,NL0000888691,AMG Critical Materials N.V.,archive
Tybourne Capital Management (HK) Limited,2.26,2019-08-01,NL0011821392,Signify N.V.,archive
"WorldQuant, LLC",0.79,2019-08-01,NL0009739416,PostNL N.V.,archive
Citadel Europe LLP,0.53,2019-07-31,NL0012866412,BE Semiconductor Industries N.V.,archive
GSA Capital Partners LLP,0.31,2019-07-31,NL0000352565,Fugro N.V.,archive
HBK Investments LP,1.25,2019-07-31,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,1.54,2019-07-31,NL0012866412,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,0.78,2019-07-31,NL0011279492,Flow Traders Ltd.,archive
Marshall Wace LLP,0.81,2019-07-31,NL0011821392,Signify N.V.,archive
"Philadelphia Financial Management of San Francisco, LLC",0.52,2019-07-31,NL0011279492,Flow Traders Ltd.,archive
Sculptor Capital Management Europe Limited,1.92,2019-07-31,NL0000352565,Fugro N.V.,archive
"Woodson Capital Master Fund, LP",2.05,2019-07-31,NL0000289213,Wereldhave N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.86,2019-07-30,NL0010391025,Pharming Group N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",1.2,2019-07-30,NL0000289213,Wereldhave N.V.,archive
Dalton Strategic Partnership LLP,0.61,2019-07-30,NL0000337319,Koninklijke BAM Groep N.V.,archive
GSA Capital Partners LLP,0.57,2019-07-30,NL0000352565,Fugro N.V.,archive
Marshall Wace LLP,3.87,2019-07-30,NL0009739416,PostNL N.V.,archive
Marshall Wace LLP,1.58,2019-07-30,NL0000289213,Wereldhave N.V.,archive
Millennium International Management LP,0.81,2019-07-30,NL0011821392,Signify N.V.,archive
Numeric Investors LLC,0.49,2019-07-30,FR0013326246,Unibail-Rodamco-Westfield SE,archive
Renaissance Technologies LLC,0.5,2019-07-30,LU0569974404,Aperam S.A.,archive
Voleon Capital Management LP,0.5,2019-07-30,NL0009739416,PostNL N.V.,archive
"Woodson Capital Master Fund, LP",1.94,2019-07-30,NL0000289213,Wereldhave N.V.,archive
Clearance Capital Limited,0.7,2019-07-29,NL0000288876,Eurocommercial Properties N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.92,2019-07-29,NL0010391025,Pharming Group N.V.,archive
ENA Investment Capital LLP,0.72,2019-07-29,NL0011821392,Signify N.V.,archive
HBK Investments LP,1.64,2019-07-29,NL0000352565,Fugro N.V.,archive
"Lucerne Capital Management, L.P.",0.53,2019-07-29,NL0000289213,Wereldhave N.V.,archive
Marshall Wace LLP,1.11,2019-07-29,NL0000888691,AMG Critical Materials N.V.,archive
Marshall Wace LLP,1.44,2019-07-29,NL0012866412,BE Semiconductor Industries N.V.,archive
