position_holder,issuer_name,net_short_position,position_date,isin,source
"BlackRock Financial Management, Inc.",Signify N.V.,0.69,2026-06-30,NL0011821392,current
Caisse de dépôt et placement du Québec,IMCD N.V.,0.72,2026-06-30,NL0010801007,current
Citadel Advisors LLC,Signify N.V.,1.25,2026-06-30,NL0011821392,current
Citadel Securities (Europe) Limited,Avantium N.V.,0.75,2026-06-30,NL0015002IE0,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2.16,2026-06-30,NL00150003E1,current
Marshall Wace LLP,Signify N.V.,1.47,2026-06-30,NL0011821392,current
"WorldQuant, LLC",Alfen N.V.,1.01,2026-06-30,NL0012817175,current
"BlackRock Institutional Trust Company, National Association",Signify N.V.,0.6,2026-06-29,NL0011821392,current
Capital Fund Management S.A.,IMCD N.V.,1.0,2026-06-29,NL0010801007,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2.01,2026-06-29,CH1216478797,current
Marshall Wace LLP,Signify N.V.,1.58,2026-06-29,NL0011821392,current
Qube Research & Technologies Ltd.,CSG N.V.,0.7,2026-06-29,NL0015073TS8,current
"WorldQuant, LLC",Alfen N.V.,0.92,2026-06-29,NL0012817175,current
Capital Fund Management S.A.,IMCD N.V.,0.99,2026-06-26,NL0010801007,current
Citadel Advisors LLC,Wereldhave N.V.,1.09,2026-06-26,NL0000289213,current
Marshall Wace LLP,DSM-Firmenich AG,0.99,2026-06-26,CH1216478797,current
Walleye Capital LLC,Pharming Group N.V.,1.09,2026-06-26,NL0010391025,current
"AQR Capital Management, LLC",CVC Capital Partners plc,0.59,2026-06-25,JE00BRX98089,current
Citadel Advisors LLC,Signify N.V.,1.33,2026-06-25,NL0011821392,current
"Farallon Capital Management, L.L.C.",Signify N.V.,1.2,2026-06-25,NL0011821392,current
Marshall Wace LLP,DSM-Firmenich AG,1.0,2026-06-25,CH1216478797,current
Marshall Wace LLP,Signify N.V.,1.65,2026-06-25,NL0011821392,current
"WorldQuant, LLC",Alfen N.V.,0.88,2026-06-25,NL0012817175,current
Citadel Advisors LLC,Sligro Food Group N.V.,0.79,2026-06-24,NL0000817179,current
Citadel Securities (Europe) Limited,Avantium N.V.,0.51,2026-06-24,NL0015002IE0,current
"Farallon Capital Management, L.L.C.",Signify N.V.,1.17,2026-06-24,NL0011821392,current
Millennium International Management LP,Akzo Nobel N.V.,0.6,2026-06-24,NL0013267909,current
Squarepoint Ops LLC,Signify N.V.,0.81,2026-06-24,NL0011821392,current
Winton Capital Management Limited,PostNL N.V.,0.6,2026-06-24,NL0009739416,current
Eleva Capital SAS,Basic-Fit N.V.,0.93,2026-06-23,NL0011872650,current
"Farallon Capital Management, L.L.C.",Signify N.V.,1.04,2026-06-23,NL0011821392,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,1.01,2026-06-23,NL0015002MS2,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.77,2026-06-23,NL0011872650,current
Squarepoint Ops LLC,Signify N.V.,0.79,2026-06-23,NL0011821392,current
Citadel Advisors LLC,Signify N.V.,1.27,2026-06-22,NL0011821392,current
Citadel Advisors LLC,Wereldhave N.V.,1.1,2026-06-22,NL0000289213,current
"PDT Partners, LLC",IMCD N.V.,0.8,2026-06-22,NL0010801007,current
"PDT Partners, LLC",PostNL N.V.,0.61,2026-06-22,NL0009739416,current
"PDT Partners, LLC",Signify N.V.,1.3,2026-06-22,NL0011821392,current
Qube Research & Technologies Ltd.,CSG N.V.,0.6,2026-06-22,NL0015073TS8,current
SQUARE CIRCLE IA LP,Basic-Fit N.V.,0.61,2026-06-22,NL0011872650,current
