position_holder,issuer_name,net_short_position,position_date,isin,source
"Public Equity Partners Management, L.P.",AMG Critical Materials N.V.,2.6,2019-04-18,NL0000888691,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,3.24,2019-04-18,NL0012866412,archive
Canada Pension Plan Investment Board,Koninklijke BAM Groep N.V.,0.56,2019-04-17,NL0000337319,archive
Citadel Advisors LLC,Lakefront Biotherapeutics NV,0.82,2019-04-17,BE0003818359,archive
Gladstone Capital Management LLP,Koninklijke BAM Groep N.V.,0.68,2019-04-17,NL0000337319,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,5.08,2019-04-17,NL0000888691,archive
Jupiter Investment Management Limited,AMG Critical Materials N.V.,0.85,2019-04-17,NL0000888691,archive
Marshall Wace LLP,Fugro N.V.,2.86,2019-04-17,NL0000352565,archive
Numeric Investors LLC,Unibail-Rodamco-Westfield SE,0.5,2019-04-17,FR0013326246,archive
"Philadelphia Financial Management of San Francisco, LLC",Flow Traders Ltd.,0.72,2019-04-17,NL0011279492,archive
"Public Equity Partners Management, L.P.",AMG Critical Materials N.V.,2.45,2019-04-17,NL0000888691,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,3.34,2019-04-17,NL0012866412,archive
Voleon Capital Management LP,Fugro N.V.,0.59,2019-04-17,NL0000352565,archive
"WorldQuant, LLC",Fugro N.V.,0.93,2019-04-17,NL0000352565,archive
AHL Partners LLP,PostNL N.V.,1.51,2019-04-16,NL0009739416,archive
"AQR Capital Management, LLC",OCI N.V.,0.8,2019-04-16,NL0010558797,archive
Capital Fund Management S.A.,Wereldhave N.V.,0.5,2019-04-16,NL0000289213,archive
"Connor, Clark & Lunn Investment Management Ltd.",Pharming Group N.V.,0.82,2019-04-16,NL0010391025,archive
CQS (UK) LLP,BE Semiconductor Industries N.V.,0.8,2019-04-16,NL0012866412,archive
"Eminence Capital, LP",AMG Critical Materials N.V.,3.77,2019-04-16,NL0000888691,archive
Engadine Partners LLP,Signify N.V.,0.47,2019-04-16,NL0011821392,archive
GSA Capital Partners LLP,Wereldhave N.V.,0.5,2019-04-16,NL0000289213,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,4.92,2019-04-16,NL0000888691,archive
Marshall Wace LLP,Signify N.V.,0.78,2019-04-16,NL0011821392,archive
"Public Equity Partners Management, L.P.",AMG Critical Materials N.V.,2.3,2019-04-16,NL0000888691,archive
Sculptor Capital Management Europe Limited,Fugro N.V.,1.59,2019-04-16,NL0000352565,archive
Systematica Investments Limited,Fugro N.V.,1.2,2019-04-16,NL0000352565,archive
Voleon Capital Management LP,Koninklijke Heijmans N.V.,0.75,2019-04-16,NL0009269109,archive
AHL Partners LLP,PostNL N.V.,1.49,2019-04-15,NL0009739416,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,1.76,2019-04-15,BE0003818359,archive
"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,1.02,2019-04-15,NL0012866412,archive
Jupiter Investment Management Limited,AMG Critical Materials N.V.,0.77,2019-04-15,NL0000888691,archive
Lansdowne Partners (UK) LLP,Signify N.V.,0.57,2019-04-15,NL0011821392,archive
Marshall Wace LLP,Fugro N.V.,2.72,2019-04-15,NL0000352565,archive
"Public Equity Partners Management, L.P.",AMG Critical Materials N.V.,2.14,2019-04-15,NL0000888691,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,3.47,2019-04-15,NL0012866412,archive
TT International,Pharming Group N.V.,0.65,2019-04-15,NL0010391025,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.81,2019-04-15,NL0012866412,archive
Canada Pension Plan Investment Board,Koninklijke BAM Groep N.V.,0.89,2019-04-12,NL0000337319,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.79,2019-04-12,NL0000289213,archive
Jupiter Investment Management Limited,AMG Critical Materials N.V.,0.68,2019-04-12,NL0000888691,archive
Marshall Wace LLP,Fugro N.V.,2.61,2019-04-12,NL0000352565,archive
Marshall Wace LLP,Wereldhave N.V.,1.67,2019-04-12,NL0000289213,archive
"Public Equity Partners Management, L.P.",AMG Critical Materials N.V.,2.06,2019-04-12,NL0000888691,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,3.54,2019-04-12,NL0012866412,archive
"WorldQuant, LLC",Fugro N.V.,0.82,2019-04-12,NL0000352565,archive
Adelphi Capital LLP,Wereldhave N.V.,0.6,2019-04-11,NL0000289213,archive
AHL Partners LLP,Fugro N.V.,2.41,2019-04-11,NL0000352565,archive
"AQR Capital Management, LLC",Koninklijke Vopak N.V.,0.99,2019-04-11,NL0009432491,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,1.57,2019-04-11,NL0000360618,archive
Marshall Wace LLP,ARCADIS N.V.,2.47,2019-04-11,NL0006237562,archive
Marshall Wace LLP,Fugro N.V.,2.51,2019-04-11,NL0000352565,archive
Marshall Wace LLP,PostNL N.V.,2.19,2019-04-11,NL0009739416,archive
Marshall Wace LLP,Signify N.V.,0.89,2019-04-11,NL0011821392,archive
"Public Equity Partners Management, L.P.",AMG Critical Materials N.V.,1.87,2019-04-11,NL0000888691,archive
Sculptor Capital Management Europe Limited,Fugro N.V.,1.6,2019-04-11,NL0000352565,archive
Tower House Partners LLP,Signify N.V.,0.71,2019-04-11,NL0011821392,archive
Adelphi Capital LLP,Wereldhave N.V.,0.53,2019-04-10,NL0000289213,archive
AHL Partners LLP,PostNL N.V.,1.5,2019-04-10,NL0009739416,archive
Canada Pension Plan Investment Board,Koninklijke BAM Groep N.V.,0.99,2019-04-10,NL0000337319,archive
"Eminence Capital, LP",AMG Critical Materials N.V.,3.52,2019-04-10,NL0000888691,archive
Gladstone Capital Management LLP,Koninklijke BAM Groep N.V.,0.87,2019-04-10,NL0000337319,archive
GSA Capital Partners LLP,Wereldhave N.V.,0.49,2019-04-10,NL0000289213,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,4.63,2019-04-10,NL0000888691,archive
Marshall Wace LLP,Fugro N.V.,2.42,2019-04-10,NL0000352565,archive
"Public Equity Partners Management, L.P.",AMG Critical Materials N.V.,1.75,2019-04-10,NL0000888691,archive
"Eminence Capital, LP",AMG Critical Materials N.V.,3.36,2019-04-09,NL0000888691,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,4.49,2019-04-09,NL0000888691,archive
Marshall Wace LLP,Fugro N.V.,2.35,2019-04-09,NL0000352565,archive
Marshall Wace LLP,Signify N.V.,0.97,2019-04-09,NL0011821392,archive
Marshall Wace LLP,Wereldhave N.V.,1.78,2019-04-09,NL0000289213,archive
Millennium International Management LP,AMG Critical Materials N.V.,0.49,2019-04-09,NL0000888691,archive
"PDT Partners, LLC",AMG Critical Materials N.V.,0.62,2019-04-09,NL0000888691,archive
"Public Equity Partners Management, L.P.",AMG Critical Materials N.V.,1.55,2019-04-09,NL0000888691,archive
Voleon Capital Management LP,Fugro N.V.,0.69,2019-04-09,NL0000352565,archive
AHL Partners LLP,PostNL N.V.,1.49,2019-04-08,NL0009739416,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,1.69,2019-04-08,BE0003818359,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,4.12,2019-04-08,NL0000888691,archive
"Public Equity Partners Management, L.P.",AMG Critical Materials N.V.,1.24,2019-04-08,NL0000888691,archive
AHL Partners LLP,PostNL N.V.,1.5,2019-04-05,NL0009739416,archive
Capital Fund Management S.A.,PostNL N.V.,1.51,2019-04-05,NL0009739416,archive
Citadel Advisors LLC,Lakefront Biotherapeutics NV,0.78,2019-04-05,BE0003818359,archive
Gladstone Capital Management LLP,Koninklijke BAM Groep N.V.,0.97,2019-04-05,NL0000337319,archive
HBK Investments LP,Fugro N.V.,1.57,2019-04-05,NL0000352565,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,4.0,2019-04-05,NL0000888691,archive
Marshall Wace LLP,Flow Traders Ltd.,0.73,2019-04-05,NL0011279492,archive
Marshall Wace LLP,Fugro N.V.,2.2,2019-04-05,NL0000352565,archive
"Public Equity Partners Management, L.P.",AMG Critical Materials N.V.,0.97,2019-04-05,NL0000888691,archive
"Woodson Capital Master Fund, LP",Wereldhave N.V.,1.22,2019-04-05,NL0000289213,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,1.69,2019-04-04,NL0000360618,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,3.92,2019-04-04,NL0000888691,archive
Marshall Wace LLP,Signify N.V.,1.07,2019-04-04,NL0011821392,archive
Marshall Wace LLP,Wereldhave N.V.,1.89,2019-04-04,NL0000289213,archive
Millennium International Management LP,AMG Critical Materials N.V.,0.53,2019-04-04,NL0000888691,archive
"Public Equity Partners Management, L.P.",AMG Critical Materials N.V.,0.78,2019-04-04,NL0000888691,archive
SFM UK Management LLP,Koninklijke BAM Groep N.V.,0.19,2019-04-04,NL0000337319,archive
AHL Partners LLP,PostNL N.V.,1.49,2019-04-03,NL0009739416,archive
AKO Capital LLP,Koninklijke BAM Groep N.V.,1.0,2019-04-03,NL0000337319,archive
Citadel Advisors LLC,Lakefront Biotherapeutics NV,0.8,2019-04-03,BE0003818359,archive
"Connor, Clark & Lunn Investment Management Ltd.",BE Semiconductor Industries N.V.,0.79,2019-04-03,NL0012866412,archive
"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,0.95,2019-04-03,NL0012866412,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,3.8,2019-04-03,NL0000888691,archive
Marshall Wace LLP,Fugro N.V.,2.1,2019-04-03,NL0000352565,archive
Millennium International Management LP,AMG Critical Materials N.V.,0.48,2019-04-03,NL0000888691,archive
"Public Equity Partners Management, L.P.",AMG Critical Materials N.V.,0.65,2019-04-03,NL0000888691,archive
Sculptor Capital Management Europe Limited,Fugro N.V.,1.58,2019-04-03,NL0000352565,archive
Voleon Capital Management LP,Fugro N.V.,0.78,2019-04-03,NL0000352565,archive
AHL Partners LLP,PostNL N.V.,1.51,2019-04-02,NL0009739416,archive
AKO Capital LLP,Koninklijke BAM Groep N.V.,0.75,2019-04-02,NL0000337319,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,3.21,2019-04-02,NL0000888691,archive
Jupiter Investment Management Limited,AMG Critical Materials N.V.,0.56,2019-04-02,NL0000888691,archive
Marshall Wace LLP,Flow Traders Ltd.,0.66,2019-04-02,NL0011279492,archive
Marshall Wace LLP,Fugro N.V.,2.03,2019-04-02,NL0000352565,archive
Marshall Wace LLP,PostNL N.V.,2.28,2019-04-02,NL0009739416,archive
Millennium International Management LP,AMG Critical Materials N.V.,0.55,2019-04-02,NL0000888691,archive
"WorldQuant, LLC",Fugro N.V.,0.78,2019-04-02,NL0000352565,archive
AHL Partners LLP,Fugro N.V.,2.32,2019-04-01,NL0000352565,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.89,2019-04-01,NL0000289213,archive
HBK Investments LP,Fugro N.V.,1.66,2019-04-01,NL0000352565,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,3.08,2019-04-01,NL0000888691,archive
Marshall Wace LLP,Fugro N.V.,1.96,2019-04-01,NL0000352565,archive
Marshall Wace LLP,PostNL N.V.,2.3,2019-04-01,NL0009739416,archive
Millennium Capital Partners LLP,AMG Critical Materials N.V.,0.46,2019-04-01,NL0000888691,archive
AHL Partners LLP,Fugro N.V.,2.29,2019-03-29,NL0000352565,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,1.77,2019-03-29,NL0000360618,archive
Citadel Advisors LLC,Lakefront Biotherapeutics NV,0.76,2019-03-29,BE0003818359,archive
ENA Investment Capital LLP,Signify N.V.,0.69,2019-03-29,NL0011821392,archive
GAM Investment Management (Switzerland) Ltd. ? Lugano Branch,Wereldhave N.V.,0.64,2019-03-29,NL0000289213,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,2.7,2019-03-29,NL0000888691,archive
Marshall Wace LLP,Signify N.V.,1.19,2019-03-29,NL0011821392,archive
Citadel Advisors II LLC,BE Semiconductor Industries N.V.,0.47,2019-03-28,NL0012866412,archive
HBK Investments LP,Fugro N.V.,1.74,2019-03-28,NL0000352565,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,2.37,2019-03-28,NL0000888691,archive
Marshall Wace LLP,Fugro N.V.,1.83,2019-03-28,NL0000352565,archive
Marshall Wace LLP,Signify N.V.,1.2,2019-03-28,NL0011821392,archive
Millennium International Management LP,AMG Critical Materials N.V.,0.79,2019-03-28,NL0000888691,archive
Polar Capital LLP,ARCADIS N.V.,1.03,2019-03-28,NL0006237562,archive
Capital Fund Management S.A.,PostNL N.V.,1.4,2019-03-27,NL0009739416,archive
Citadel Advisors II LLC,BE Semiconductor Industries N.V.,0.5,2019-03-27,NL0012866412,archive
"Connor, Clark & Lunn Investment Management Ltd.",BE Semiconductor Industries N.V.,0.8,2019-03-27,NL0012866412,archive
Engadine Partners LLP,Signify N.V.,0.59,2019-03-27,NL0011821392,archive
HBK Investments LP,Fugro N.V.,1.68,2019-03-27,NL0000352565,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.7,2019-03-27,NL0012866412,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,2.21,2019-03-26,NL0000888691,archive
Marshall Wace LLP,Fugro N.V.,1.71,2019-03-26,NL0000352565,archive
Marshall Wace LLP,Signify N.V.,1.19,2019-03-26,NL0011821392,archive
Polar Capital LLP,ARCADIS N.V.,0.94,2019-03-26,NL0006237562,archive
Scopia Capital Management LP,BE Semiconductor Industries N.V.,3.6,2019-03-26,NL0012866412,archive
"Connor, Clark & Lunn Investment Management Ltd.",BE Semiconductor Industries N.V.,0.79,2019-03-25,NL0012866412,archive
"Connor, Clark & Lunn Investment Management Ltd.",Wereldhave N.V.,0.7,2019-03-25,NL0000289213,archive
"Eminence Capital, LP",AMG Critical Materials N.V.,2.92,2019-03-25,NL0000888691,archive
GSA Capital Partners LLP,Wereldhave N.V.,0.51,2019-03-25,NL0000289213,archive
HBK Investments LP,Fugro N.V.,1.77,2019-03-25,NL0000352565,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,2.11,2019-03-25,NL0000888691,archive
Lansdowne Partners (UK) LLP,Signify N.V.,0.61,2019-03-25,NL0011821392,archive
Marshall Wace LLP,Signify N.V.,1.2,2019-03-25,NL0011821392,archive
Millennium Capital Partners LLP,AMG Critical Materials N.V.,0.57,2019-03-25,NL0000888691,archive
Millennium International Management LP,AMG Critical Materials N.V.,0.89,2019-03-25,NL0000888691,archive
"Philadelphia Financial Management of San Francisco, LLC",Flow Traders Ltd.,0.88,2019-03-25,NL0011279492,archive
Sculptor Capital Management Europe Limited,Fugro N.V.,1.6,2019-03-25,NL0000352565,archive
"WorldQuant, LLC",Fugro N.V.,0.82,2019-03-25,NL0000352565,archive
AHL Partners LLP,Fugro N.V.,2.31,2019-03-22,NL0000352565,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,1.87,2019-03-22,NL0000360618,archive
"Connor, Clark & Lunn Investment Management Ltd.",Wereldhave N.V.,0.69,2019-03-22,NL0000289213,archive
HBK Investments LP,Fugro N.V.,1.67,2019-03-22,NL0000352565,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,2.04,2019-03-22,NL0000888691,archive
Marshall Wace LLP,Fugro N.V.,1.62,2019-03-22,NL0000352565,archive
"AQR Capital Management, LLC",Koninklijke Vopak N.V.,1.08,2019-03-21,NL0009432491,archive
"Connor, Clark & Lunn Investment Management Ltd.",Wereldhave N.V.,0.7,2019-03-21,NL0000289213,archive
Gladstone Capital Management LLP,Koninklijke BAM Groep N.V.,1.08,2019-03-21,NL0000337319,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,1.9,2019-03-21,NL0000888691,archive
Millennium International Management LP,AMG Critical Materials N.V.,0.97,2019-03-21,NL0000888691,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.6,2019-03-21,NL0012866412,archive
AHL Partners LLP,AMG Critical Materials N.V.,1.38,2019-03-20,NL0000888691,archive
Gladstone Capital Management LLP,Koninklijke BAM Groep N.V.,1.12,2019-03-20,NL0000337319,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,1.82,2019-03-20,NL0000888691,archive
Marshall Wace LLP,PostNL N.V.,2.41,2019-03-20,NL0009739416,archive
Millennium International Management LP,Wereldhave N.V.,0.89,2019-03-20,NL0000289213,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.59,2019-03-20,NL0012866412,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,1.98,2019-03-19,NL0000360618,archive
Engadine Partners LLP,ARCADIS N.V.,0.99,2019-03-19,NL0006237562,archive
Marshall Wace LLP,Fugro N.V.,1.5,2019-03-19,NL0000352565,archive
"WorldQuant, LLC",Fugro N.V.,0.79,2019-03-19,NL0000352565,archive
AHL Partners LLP,AMG Critical Materials N.V.,1.46,2019-03-18,NL0000888691,archive
Capital Fund Management S.A.,PostNL N.V.,1.3,2019-03-18,NL0009739416,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,1.74,2019-03-18,NL0000888691,archive
Jupiter Investment Management Limited,BE Semiconductor Industries N.V.,1.71,2019-03-18,NL0012866412,archive
ShadowFall Fund Limited,ARCADIS N.V.,0.13,2019-03-18,NL0006237562,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.68,2019-03-18,NL0012866412,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,1.62,2019-03-15,NL0000888691,archive
Jupiter Investment Management Limited,AMG Critical Materials N.V.,0.62,2019-03-15,NL0000888691,archive
Marshall Wace LLP,Fugro N.V.,1.42,2019-03-15,NL0000352565,archive
Marshall Wace LLP,Wereldhave N.V.,1.93,2019-03-15,NL0000289213,archive
"Philadelphia Financial Management of San Francisco, LLC",Flow Traders Ltd.,0.78,2019-03-15,NL0011279492,archive
TT International,Pharming Group N.V.,0.52,2019-03-15,NL0010391025,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.75,2019-03-15,NL0012866412,archive
"WorldQuant, LLC",Fugro N.V.,0.8,2019-03-15,NL0000352565,archive
AHL Partners LLP,PostNL N.V.,1.42,2019-03-14,NL0009739416,archive
Gladstone Capital Management LLP,Koninklijke BAM Groep N.V.,1.26,2019-03-14,NL0000337319,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,1.34,2019-03-14,NL0000888691,archive
Systematica Investments Limited,Fugro N.V.,1.1,2019-03-14,NL0000352565,archive
"WorldQuant, LLC",Fugro N.V.,0.79,2019-03-14,NL0000352565,archive
AHL Partners LLP,Fugro N.V.,2.2,2019-03-13,NL0000352565,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2.07,2019-03-13,NL0000360618,archive
Gladstone Capital Management LLP,Koninklijke BAM Groep N.V.,1.31,2019-03-13,NL0000337319,archive
Jupiter Investment Management Limited,AMG Critical Materials N.V.,0.54,2019-03-13,NL0000888691,archive
Marshall Wace LLP,Fugro N.V.,1.32,2019-03-13,NL0000352565,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.61,2019-03-13,NL0012866412,archive
HBK Investments LP,Fugro N.V.,1.59,2019-03-12,NL0000352565,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,1.2,2019-03-12,NL0000888691,archive
Marshall Wace LLP,Fugro N.V.,1.25,2019-03-12,NL0000352565,archive
Marshall Wace LLP,Wereldhave N.V.,1.82,2019-03-12,NL0000289213,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.56,2019-03-12,NL0012866412,archive
HBK Investments LP,Fugro N.V.,1.62,2019-03-11,NL0000352565,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,1.12,2019-03-11,NL0000888691,archive
Millennium International Management LP,AMG Critical Materials N.V.,1.09,2019-03-11,NL0000888691,archive
Toscafund Asset Management LLP,Wereldhave N.V.,0.71,2019-03-11,NL0000289213,archive
AHL Partners LLP,Fugro N.V.,2.14,2019-03-08,NL0000352565,archive
"BlackRock Institutional Trust Company, National Association",PostNL N.V.,0.48,2019-03-08,NL0009739416,archive
Capital Fund Management S.A.,PostNL N.V.,1.21,2019-03-08,NL0009739416,archive
HBK Investments LP,Fugro N.V.,1.72,2019-03-08,NL0000352565,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,0.94,2019-03-08,NL0000888691,archive
Marshall Wace LLP,Fugro N.V.,1.13,2019-03-08,NL0000352565,archive
Marshall Wace LLP,PostNL N.V.,2.31,2019-03-08,NL0009739416,archive
SFM UK Management LLP,Koninklijke BAM Groep N.V.,0.57,2019-03-08,NL0000337319,archive
AHL Partners LLP,Fugro N.V.,2.04,2019-03-07,NL0000352565,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2.18,2019-03-07,NL0000360618,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,0.71,2019-03-07,NL0000888691,archive
Marshall Wace LLP,Fugro N.V.,1.03,2019-03-07,NL0000352565,archive
Millennium Capital Partners LLP,AMG Critical Materials N.V.,0.64,2019-03-07,NL0000888691,archive
"Philadelphia Financial Management of San Francisco, LLC",Flow Traders Ltd.,0.67,2019-03-07,NL0011279492,archive
SFM UK Management LLP,Koninklijke BAM Groep N.V.,0.75,2019-03-07,NL0000337319,archive
Voleon Capital Management LP,Fugro N.V.,0.8,2019-03-07,NL0000352565,archive
AHL Partners LLP,PostNL N.V.,1.31,2019-03-06,NL0009739416,archive
"BlackRock Institutional Trust Company, National Association",PostNL N.V.,0.54,2019-03-06,NL0009739416,archive
HBK Investments LP,Fugro N.V.,1.6,2019-03-06,NL0000352565,archive
"Hound Partners, LLC",AMG Critical Materials N.V.,0.54,2019-03-06,NL0000888691,archive
Jupiter Investment Management Limited,PostNL N.V.,0.44,2019-03-06,NL0009739416,archive
Marshall Wace LLP,PostNL N.V.,2.22,2019-03-06,NL0009739416,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.93,2019-03-05,NL0000289213,archive
"Eminence Capital, LP",AMG Critical Materials N.V.,2.78,2019-03-05,NL0000888691,archive
Numeric Investors LLC,Fugro N.V.,0.42,2019-03-05,NL0000352565,archive
"Philadelphia Financial Management of San Francisco, LLC",Flow Traders Ltd.,0.54,2019-03-05,NL0011279492,archive
SFM UK Management LLP,Koninklijke BAM Groep N.V.,0.98,2019-03-05,NL0000337319,archive
Systematica Investments Limited,Fugro N.V.,1.06,2019-03-05,NL0000352565,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.49,2019-03-05,NL0012866412,archive
"AQR Capital Management, LLC",Koninklijke Vopak N.V.,1.19,2019-03-04,NL0009432491,archive
AXA Investment Managers Chorus Limited,PostNL N.V.,0.49,2019-03-04,NL0009739416,archive
"BlackRock Institutional Trust Company, National Association",PostNL N.V.,0.61,2019-03-04,NL0009739416,archive
"Eminence Capital, LP",AMG Critical Materials N.V.,2.54,2019-03-04,NL0000888691,archive
"Great Point Partners, LLC",Pharming Group N.V.,1.31,2019-03-04,NL0010391025,archive
HBK Investments LP,Fugro N.V.,1.58,2019-03-04,NL0000352565,archive
Jupiter Investment Management Limited,PostNL N.V.,0.58,2019-03-04,NL0009739416,archive
Millennium International Management LP,AMG Critical Materials N.V.,1.17,2019-03-04,NL0000888691,archive
Numeric Investors LLC,Fugro N.V.,0.51,2019-03-04,NL0000352565,archive
SFM UK Management LLP,Koninklijke BAM Groep N.V.,1.08,2019-03-04,NL0000337319,archive
"AQR Capital Management, LLC",OCI N.V.,0.79,2019-03-01,NL0010558797,archive
Gladstone Capital Management LLP,Koninklijke BAM Groep N.V.,1.4,2019-03-01,NL0000337319,archive
"Great Point Partners, LLC",Pharming Group N.V.,1.02,2019-03-01,NL0010391025,archive
Jupiter Investment Management Limited,PostNL N.V.,0.65,2019-03-01,NL0009739416,archive
Marshall Wace LLP,PostNL N.V.,2.11,2019-03-01,NL0009739416,archive
Marshall Wace LLP,Signify N.V.,1.19,2019-03-01,NL0011821392,archive
Marshall Wace LLP,Wereldhave N.V.,1.7,2019-03-01,NL0000289213,archive
"WorldQuant, LLC",Fugro N.V.,0.84,2019-03-01,NL0000352565,archive
AHL Partners LLP,PostNL N.V.,1.29,2019-02-28,NL0009739416,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2.29,2019-02-28,NL0000360618,archive
"BlackRock Institutional Trust Company, National Association",PostNL N.V.,0.76,2019-02-28,NL0009739416,archive
"Great Point Partners, LLC",Pharming Group N.V.,0.98,2019-02-28,NL0010391025,archive
HBK Investments LP,Fugro N.V.,1.61,2019-02-28,NL0000352565,archive
Marshall Wace LLP,Fugro N.V.,0.99,2019-02-28,NL0000352565,archive
Millennium Capital Partners LLP,AMG Critical Materials N.V.,0.73,2019-02-28,NL0000888691,archive
Millennium International Management LP,AMG Critical Materials N.V.,1.27,2019-02-28,NL0000888691,archive
"WorldQuant, LLC",Fugro N.V.,0.76,2019-02-28,NL0000352565,archive
AHL Partners LLP,PostNL N.V.,1.31,2019-02-27,NL0009739416,archive
Canada Pension Plan Investment Board,Pharming Group N.V.,0.38,2019-02-27,NL0010391025,archive
HBK Investments LP,Fugro N.V.,1.57,2019-02-27,NL0000352565,archive
Marshall Wace LLP,Signify N.V.,1.21,2019-02-27,NL0011821392,archive
"WorldQuant, LLC",Fugro N.V.,0.67,2019-02-27,NL0000352565,archive
"BlackRock Institutional Trust Company, National Association",PostNL N.V.,0.86,2019-02-26,NL0009739416,archive
Canada Pension Plan Investment Board,Pharming Group N.V.,0.55,2019-02-26,NL0010391025,archive
HBK Investments LP,Fugro N.V.,1.6,2019-02-26,NL0000352565,archive
Voleon Capital Management LP,Fugro N.V.,0.79,2019-02-26,NL0000352565,archive
Voleon Capital Management LP,Koninklijke Heijmans N.V.,0.81,2019-02-26,NL0009269109,archive
AHL Partners LLP,AMG Critical Materials N.V.,1.59,2019-02-25,NL0000888691,archive
AHL Partners LLP,PostNL N.V.,1.2,2019-02-25,NL0009739416,archive
"Connor, Clark & Lunn Investment Management Ltd.",BE Semiconductor Industries N.V.,0.8,2019-02-25,NL0012866412,archive
HBK Investments LP,Fugro N.V.,1.76,2019-02-25,NL0000352565,archive
Marshall Wace LLP,Fugro N.V.,1.05,2019-02-25,NL0000352565,archive
Marshall Wace LLP,PostNL N.V.,2.23,2019-02-25,NL0009739416,archive
Numeric Investors LLC,Fugro N.V.,0.69,2019-02-25,NL0000352565,archive
Systematica Investments Limited,Fugro N.V.,1.17,2019-02-25,NL0000352565,archive
"WorldQuant, LLC",ASM International N.V.,0.44,2019-02-25,NL0000334118,archive
"WorldQuant, LLC",Koninklijke BAM Groep N.V.,0.45,2019-02-25,NL0000337319,archive
"AQR Capital Management, LLC",Lakefront Biotherapeutics NV,1.7,2019-02-22,BE0003818359,archive
"AQR Capital Management, LLC",SBM Offshore N.V.,2.37,2019-02-22,NL0000360618,archive
Canada Pension Plan Investment Board,Pharming Group N.V.,0.69,2019-02-22,NL0010391025,archive
Citadel Advisors LLC,Fugro N.V.,1.01,2019-02-22,NL0000352565,archive
Citadel Europe LLP,Fugro N.V.,2.84,2019-02-22,NL0000352565,archive
"D. E. Shaw & Co., L.P.",Wereldhave N.V.,0.89,2019-02-22,NL0000289213,archive
Engadine Partners LLP,ARCADIS N.V.,1.03,2019-02-22,NL0006237562,archive
GAM Investment Management (Switzerland) Ltd. ? Lugano Branch,Wereldhave N.V.,0.53,2019-02-22,NL0000289213,archive
JPMorgan Asset Management (UK) Ltd.,Koninklijke BAM Groep N.V.,0.46,2019-02-22,NL0000337319,archive
Millennium International Management LP,AMG Critical Materials N.V.,1.3,2019-02-22,NL0000888691,archive
Millennium International Management LP,Wereldhave N.V.,0.99,2019-02-22,NL0000289213,archive
"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.51,2019-02-22,NL0012866412,archive
