net_short_position,issuer_name,position_holder,isin,position_date,source
1.72,Wereldhave N.V.,"Woodson Capital Master Fund, LP",NL0000289213,2019-05-03,archive
1.04,Fugro N.V.,"WorldQuant, LLC",NL0000352565,2019-05-03,archive
1.66,AMG Critical Materials N.V.,AHL Partners LLP,NL0000888691,2019-05-02,archive
1.48,PostNL N.V.,AHL Partners LLP,NL0009739416,2019-05-02,archive
0.62,Fugro N.V.,"BlackRock Institutional Trust Company, National Association",NL0000352565,2019-05-02,archive
1.41,Signify N.V.,BlackRock Investment Management (UK) Limited,NL0011821392,2019-05-02,archive
1.6,PostNL N.V.,Capital Fund Management S.A.,NL0009739416,2019-05-02,archive
0.51,Fugro N.V.,"Connor, Clark & Lunn Investment Management Ltd.",NL0000352565,2019-05-02,archive
0.78,Wereldhave N.V.,"D. E. Shaw & Co., L.P.",NL0000289213,2019-05-02,archive
3.85,AMG Critical Materials N.V.,"Eminence Capital, LP",NL0000888691,2019-05-02,archive
1.76,Fugro N.V.,HBK Investments LP,NL0000352565,2019-05-02,archive
1.51,AMG Critical Materials N.V.,Jupiter Investment Management Limited,NL0000888691,2019-05-02,archive
3.85,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-05-02,archive
1.77,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2019-05-02,archive
0.55,Signify N.V.,Millennium Capital Partners LLP,NL0011821392,2019-05-02,archive
0.52,Signify N.V.,Millennium International Management LP,NL0011821392,2019-05-02,archive
1.2,AMG Critical Materials N.V.,"PDT Partners, LLC",NL0000888691,2019-05-02,archive
1.73,Fugro N.V.,Sculptor Capital Management Europe Limited,NL0000352565,2019-05-02,archive
1.81,AMG Critical Materials N.V.,Susquehanna International Holdings LLC,NL0000888691,2019-05-02,archive
0.69,BE Semiconductor Industries N.V.,"WorldQuant, LLC",NL0012866412,2019-05-02,archive
0.99,Fugro N.V.,"WorldQuant, LLC",NL0000352565,2019-05-02,archive
1.35,Signify N.V.,BlackRock Investment Management (UK) Limited,NL0011821392,2019-04-30,archive
0.6,AMG Critical Materials N.V.,"Connor, Clark & Lunn Investment Management Ltd.",NL0000888691,2019-04-30,archive
0.8,Wereldhave N.V.,"D. E. Shaw & Co., L.P.",NL0000289213,2019-04-30,archive
1.24,Signify N.V.,ENA Investment Capital LLP,NL0011821392,2019-04-30,archive
5.72,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-04-30,archive
1.43,AMG Critical Materials N.V.,Jupiter Investment Management Limited,NL0000888691,2019-04-30,archive
0.6,Flow Traders Ltd.,Marshall Wace LLP,NL0011279492,2019-04-30,archive
3.76,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-30,archive
1.2,Fugro N.V.,Systematica Investments Limited,NL0000352565,2019-04-30,archive
1.0,Fugro N.V.,"WorldQuant, LLC",NL0000352565,2019-04-30,archive
0.74,Eurocommercial Properties N.V.,Adelphi Capital LLP,NL0000288876,2019-04-29,archive
1.39,SBM Offshore N.V.,"AQR Capital Management, LLC",NL0000360618,2019-04-29,archive
0.54,Fugro N.V.,"BlackRock Institutional Trust Company, National Association",NL0000352565,2019-04-29,archive
1.28,Signify N.V.,BlackRock Investment Management (UK) Limited,NL0011821392,2019-04-29,archive
0.76,Wereldhave N.V.,"D. E. Shaw & Co., L.P.",NL0000289213,2019-04-29,archive
0.94,Signify N.V.,ENA Investment Capital LLP,NL0011821392,2019-04-29,archive
0.69,ARCADIS N.V.,Engadine Partners LLP,NL0006237562,2019-04-29,archive
1.6,Fugro N.V.,HBK Investments LP,NL0000352565,2019-04-29,archive
5.33,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-04-29,archive
1.35,AMG Critical Materials N.V.,Jupiter Investment Management Limited,NL0000888691,2019-04-29,archive
0.68,Koninklijke Ahold Delhaize N.V.,Lansdowne Partners (UK) LLP,NL0011794037,2019-04-29,archive
0.47,Fugro N.V.,Lazard Asset Management LLC,NL0000352565,2019-04-29,archive
0.7,BE Semiconductor Industries N.V.,Marshall Wace LLP,NL0012866412,2019-04-29,archive
3.67,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-29,archive
2.2,PostNL N.V.,Marshall Wace LLP,NL0009739416,2019-04-29,archive
0.75,AMG Critical Materials N.V.,Millennium International Management LP,NL0000888691,2019-04-29,archive
0.81,Wereldhave N.V.,Wellington Management Company LLP,NL0000289213,2019-04-29,archive
0.75,BE Semiconductor Industries N.V.,"WorldQuant, LLC",NL0012866412,2019-04-29,archive
1.12,Wereldhave N.V.,Adelphi Capital LLP,NL0000289213,2019-04-26,archive
2.04,Fugro N.V.,AHL Partners LLP,NL0000352565,2019-04-26,archive
1.14,Signify N.V.,BlackRock Investment Management (UK) Limited,NL0011821392,2019-04-26,archive
0.8,Wereldhave N.V.,"D. E. Shaw & Co., L.P.",NL0000289213,2019-04-26,archive
0.46,Koninklijke BAM Groep N.V.,Gladstone Capital Management LLP,NL0000337319,2019-04-26,archive
1.27,AMG Critical Materials N.V.,Jupiter Investment Management Limited,NL0000888691,2019-04-26,archive
0.6,BE Semiconductor Industries N.V.,Marshall Wace LLP,NL0012866412,2019-04-26,archive
0.59,Flow Traders Ltd.,Marshall Wace LLP,NL0011279492,2019-04-26,archive
3.55,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-26,archive
1.83,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2019-04-26,archive
0.63,AMG Critical Materials N.V.,Millennium International Management LP,NL0000888691,2019-04-26,archive
1.64,Fugro N.V.,Sculptor Capital Management Europe Limited,NL0000352565,2019-04-26,archive
1.16,Fugro N.V.,Systematica Investments Limited,NL0000352565,2019-04-26,archive
1.6,Wereldhave N.V.,"Woodson Capital Master Fund, LP",NL0000289213,2019-04-26,archive
0.9,Wereldhave N.V.,Adelphi Capital LLP,NL0000289213,2019-04-25,archive
2.19,Fugro N.V.,AHL Partners LLP,NL0000352565,2019-04-25,archive
1.8,Galapagos NV,"AQR Capital Management, LLC",BE0003818359,2019-04-25,archive
1.45,SBM Offshore N.V.,"AQR Capital Management, LLC",NL0000360618,2019-04-25,archive
0.5,AMG Critical Materials N.V.,"Connor, Clark & Lunn Investment Management Ltd.",NL0000888691,2019-04-25,archive
0.69,BE Semiconductor Industries N.V.,"Connor, Clark & Lunn Investment Management Ltd.",NL0012866412,2019-04-25,archive
0.52,Koninklijke BAM Groep N.V.,Gladstone Capital Management LLP,NL0000337319,2019-04-25,archive
1.5,Fugro N.V.,HBK Investments LP,NL0000352565,2019-04-25,archive
1.17,AMG Critical Materials N.V.,Jupiter Investment Management Limited,NL0000888691,2019-04-25,archive
0.51,BE Semiconductor Industries N.V.,Marshall Wace LLP,NL0012866412,2019-04-25,archive
2.87,BE Semiconductor Industries N.V.,Scopia Capital Management LP,NL0012866412,2019-04-25,archive
0.91,Fugro N.V.,"WorldQuant, LLC",NL0000352565,2019-04-25,archive
0.76,Wereldhave N.V.,Adelphi Capital LLP,NL0000289213,2019-04-24,archive
1.02,Koninklijke Vopak N.V.,"AQR Capital Management, LLC",NL0009432491,2019-04-24,archive
1.5,SBM Offshore N.V.,"AQR Capital Management, LLC",NL0000360618,2019-04-24,archive
1.48,Fugro N.V.,HBK Investments LP,NL0000352565,2019-04-24,archive
5.21,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-04-24,archive
1.07,AMG Critical Materials N.V.,Jupiter Investment Management Limited,NL0000888691,2019-04-24,archive
0.72,AMG Critical Materials N.V.,"PDT Partners, LLC",NL0000888691,2019-04-24,archive
2.94,AMG Critical Materials N.V.,"Public Equity Partners Management, L.P.",NL0000888691,2019-04-24,archive
2.99,BE Semiconductor Industries N.V.,Scopia Capital Management LP,NL0012866412,2019-04-24,archive
0.89,Fugro N.V.,"WorldQuant, LLC",NL0000352565,2019-04-24,archive
0.58,Eurocommercial Properties N.V.,Adelphi Capital LLP,NL0000288876,2019-04-23,archive
2.27,Fugro N.V.,AHL Partners LLP,NL0000352565,2019-04-23,archive
1.48,SBM Offshore N.V.,"AQR Capital Management, LLC",NL0000360618,2019-04-23,archive
0.74,Signify N.V.,ENA Investment Capital LLP,NL0011821392,2019-04-23,archive
3.1,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-23,archive
2.83,AMG Critical Materials N.V.,"Public Equity Partners Management, L.P.",NL0000888691,2019-04-23,archive
3.15,BE Semiconductor Industries N.V.,Scopia Capital Management LP,NL0012866412,2019-04-23,archive
0.52,argenx SE,AHL Partners LLP,NL0010832176,2019-04-18,archive
2.37,Fugro N.V.,AHL Partners LLP,NL0000352565,2019-04-18,archive
0.8,Wereldhave N.V.,"Connor, Clark & Lunn Investment Management Ltd.",NL0000289213,2019-04-18,archive
0.87,ARCADIS N.V.,Engadine Partners LLP,NL0006237562,2019-04-18,archive
5.12,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-04-18,archive
0.91,AMG Critical Materials N.V.,Jupiter Investment Management Limited,NL0000888691,2019-04-18,archive
0.45,Signify N.V.,Lansdowne Partners (UK) LLP,NL0011821392,2019-04-18,archive
2.53,ARCADIS N.V.,Marshall Wace LLP,NL0006237562,2019-04-18,archive
0.68,Flow Traders Ltd.,Marshall Wace LLP,NL0011279492,2019-04-18,archive
2.95,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-18,archive
0.53,AMG Critical Materials N.V.,Millennium International Management LP,NL0000888691,2019-04-18,archive
0.94,ARCADIS N.V.,Polar Capital LLP,NL0006237562,2019-04-18,archive
2.6,AMG Critical Materials N.V.,"Public Equity Partners Management, L.P.",NL0000888691,2019-04-18,archive
3.24,BE Semiconductor Industries N.V.,Scopia Capital Management LP,NL0012866412,2019-04-18,archive
0.56,Koninklijke BAM Groep N.V.,Canada Pension Plan Investment Board,NL0000337319,2019-04-17,archive
0.82,Galapagos NV,Citadel Advisors LLC,BE0003818359,2019-04-17,archive
0.68,Koninklijke BAM Groep N.V.,Gladstone Capital Management LLP,NL0000337319,2019-04-17,archive
5.08,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-04-17,archive
0.85,AMG Critical Materials N.V.,Jupiter Investment Management Limited,NL0000888691,2019-04-17,archive
2.86,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-17,archive
0.5,Unibail-Rodamco-Westfield SE,Numeric Investors LLC,FR0013326246,2019-04-17,archive
0.72,Flow Traders Ltd.,"Philadelphia Financial Management of San Francisco, LLC",NL0011279492,2019-04-17,archive
2.45,AMG Critical Materials N.V.,"Public Equity Partners Management, L.P.",NL0000888691,2019-04-17,archive
3.34,BE Semiconductor Industries N.V.,Scopia Capital Management LP,NL0012866412,2019-04-17,archive
0.59,Fugro N.V.,Voleon Capital Management LP,NL0000352565,2019-04-17,archive
0.93,Fugro N.V.,"WorldQuant, LLC",NL0000352565,2019-04-17,archive
1.51,PostNL N.V.,AHL Partners LLP,NL0009739416,2019-04-16,archive
0.8,OCI N.V.,"AQR Capital Management, LLC",NL0010558797,2019-04-16,archive
0.5,Wereldhave N.V.,Capital Fund Management S.A.,NL0000289213,2019-04-16,archive
0.82,Pharming Group N.V.,"Connor, Clark & Lunn Investment Management Ltd.",NL0010391025,2019-04-16,archive
0.8,BE Semiconductor Industries N.V.,CQS (UK) LLP,NL0012866412,2019-04-16,archive
3.77,AMG Critical Materials N.V.,"Eminence Capital, LP",NL0000888691,2019-04-16,archive
0.47,Signify N.V.,Engadine Partners LLP,NL0011821392,2019-04-16,archive
0.5,Wereldhave N.V.,GSA Capital Partners LLP,NL0000289213,2019-04-16,archive
4.92,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-04-16,archive
0.78,Signify N.V.,Marshall Wace LLP,NL0011821392,2019-04-16,archive
2.3,AMG Critical Materials N.V.,"Public Equity Partners Management, L.P.",NL0000888691,2019-04-16,archive
1.59,Fugro N.V.,Sculptor Capital Management Europe Limited,NL0000352565,2019-04-16,archive
1.2,Fugro N.V.,Systematica Investments Limited,NL0000352565,2019-04-16,archive
0.75,Koninklijke Heijmans N.V.,Voleon Capital Management LP,NL0009269109,2019-04-16,archive
1.49,PostNL N.V.,AHL Partners LLP,NL0009739416,2019-04-15,archive
1.76,Galapagos NV,"AQR Capital Management, LLC",BE0003818359,2019-04-15,archive
1.02,BE Semiconductor Industries N.V.,"Davidson Kempner European Partners, LLP",NL0012866412,2019-04-15,archive
0.77,AMG Critical Materials N.V.,Jupiter Investment Management Limited,NL0000888691,2019-04-15,archive
0.57,Signify N.V.,Lansdowne Partners (UK) LLP,NL0011821392,2019-04-15,archive
2.72,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-15,archive
2.14,AMG Critical Materials N.V.,"Public Equity Partners Management, L.P.",NL0000888691,2019-04-15,archive
3.47,BE Semiconductor Industries N.V.,Scopia Capital Management LP,NL0012866412,2019-04-15,archive
0.65,Pharming Group N.V.,TT International,NL0010391025,2019-04-15,archive
0.81,BE Semiconductor Industries N.V.,"WorldQuant, LLC",NL0012866412,2019-04-15,archive
0.89,Koninklijke BAM Groep N.V.,Canada Pension Plan Investment Board,NL0000337319,2019-04-12,archive
0.79,Wereldhave N.V.,"D. E. Shaw & Co., L.P.",NL0000289213,2019-04-12,archive
0.68,AMG Critical Materials N.V.,Jupiter Investment Management Limited,NL0000888691,2019-04-12,archive
2.61,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-12,archive
1.67,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2019-04-12,archive
2.06,AMG Critical Materials N.V.,"Public Equity Partners Management, L.P.",NL0000888691,2019-04-12,archive
3.54,BE Semiconductor Industries N.V.,Scopia Capital Management LP,NL0012866412,2019-04-12,archive
0.82,Fugro N.V.,"WorldQuant, LLC",NL0000352565,2019-04-12,archive
0.6,Wereldhave N.V.,Adelphi Capital LLP,NL0000289213,2019-04-11,archive
2.41,Fugro N.V.,AHL Partners LLP,NL0000352565,2019-04-11,archive
0.99,Koninklijke Vopak N.V.,"AQR Capital Management, LLC",NL0009432491,2019-04-11,archive
1.57,SBM Offshore N.V.,"AQR Capital Management, LLC",NL0000360618,2019-04-11,archive
2.47,ARCADIS N.V.,Marshall Wace LLP,NL0006237562,2019-04-11,archive
2.51,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-11,archive
2.19,PostNL N.V.,Marshall Wace LLP,NL0009739416,2019-04-11,archive
0.89,Signify N.V.,Marshall Wace LLP,NL0011821392,2019-04-11,archive
1.87,AMG Critical Materials N.V.,"Public Equity Partners Management, L.P.",NL0000888691,2019-04-11,archive
1.6,Fugro N.V.,Sculptor Capital Management Europe Limited,NL0000352565,2019-04-11,archive
0.71,Signify N.V.,Tower House Partners LLP,NL0011821392,2019-04-11,archive
0.53,Wereldhave N.V.,Adelphi Capital LLP,NL0000289213,2019-04-10,archive
1.5,PostNL N.V.,AHL Partners LLP,NL0009739416,2019-04-10,archive
0.99,Koninklijke BAM Groep N.V.,Canada Pension Plan Investment Board,NL0000337319,2019-04-10,archive
3.52,AMG Critical Materials N.V.,"Eminence Capital, LP",NL0000888691,2019-04-10,archive
0.87,Koninklijke BAM Groep N.V.,Gladstone Capital Management LLP,NL0000337319,2019-04-10,archive
0.49,Wereldhave N.V.,GSA Capital Partners LLP,NL0000289213,2019-04-10,archive
4.63,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-04-10,archive
2.42,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-10,archive
1.75,AMG Critical Materials N.V.,"Public Equity Partners Management, L.P.",NL0000888691,2019-04-10,archive
3.36,AMG Critical Materials N.V.,"Eminence Capital, LP",NL0000888691,2019-04-09,archive
4.49,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-04-09,archive
2.35,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-09,archive
0.97,Signify N.V.,Marshall Wace LLP,NL0011821392,2019-04-09,archive
1.78,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2019-04-09,archive
0.49,AMG Critical Materials N.V.,Millennium International Management LP,NL0000888691,2019-04-09,archive
0.62,AMG Critical Materials N.V.,"PDT Partners, LLC",NL0000888691,2019-04-09,archive
1.55,AMG Critical Materials N.V.,"Public Equity Partners Management, L.P.",NL0000888691,2019-04-09,archive
0.69,Fugro N.V.,Voleon Capital Management LP,NL0000352565,2019-04-09,archive
1.49,PostNL N.V.,AHL Partners LLP,NL0009739416,2019-04-08,archive
1.69,Galapagos NV,"AQR Capital Management, LLC",BE0003818359,2019-04-08,archive
4.12,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-04-08,archive
1.24,AMG Critical Materials N.V.,"Public Equity Partners Management, L.P.",NL0000888691,2019-04-08,archive
1.5,PostNL N.V.,AHL Partners LLP,NL0009739416,2019-04-05,archive
1.51,PostNL N.V.,Capital Fund Management S.A.,NL0009739416,2019-04-05,archive
0.78,Galapagos NV,Citadel Advisors LLC,BE0003818359,2019-04-05,archive
0.97,Koninklijke BAM Groep N.V.,Gladstone Capital Management LLP,NL0000337319,2019-04-05,archive
1.57,Fugro N.V.,HBK Investments LP,NL0000352565,2019-04-05,archive
4.0,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-04-05,archive
0.73,Flow Traders Ltd.,Marshall Wace LLP,NL0011279492,2019-04-05,archive
2.2,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-05,archive
0.97,AMG Critical Materials N.V.,"Public Equity Partners Management, L.P.",NL0000888691,2019-04-05,archive
1.22,Wereldhave N.V.,"Woodson Capital Master Fund, LP",NL0000289213,2019-04-05,archive
1.69,SBM Offshore N.V.,"AQR Capital Management, LLC",NL0000360618,2019-04-04,archive
3.92,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-04-04,archive
1.07,Signify N.V.,Marshall Wace LLP,NL0011821392,2019-04-04,archive
1.89,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2019-04-04,archive
0.53,AMG Critical Materials N.V.,Millennium International Management LP,NL0000888691,2019-04-04,archive
0.78,AMG Critical Materials N.V.,"Public Equity Partners Management, L.P.",NL0000888691,2019-04-04,archive
0.19,Koninklijke BAM Groep N.V.,SFM UK Management LLP,NL0000337319,2019-04-04,archive
1.49,PostNL N.V.,AHL Partners LLP,NL0009739416,2019-04-03,archive
1.0,Koninklijke BAM Groep N.V.,AKO Capital LLP,NL0000337319,2019-04-03,archive
0.8,Galapagos NV,Citadel Advisors LLC,BE0003818359,2019-04-03,archive
0.79,BE Semiconductor Industries N.V.,"Connor, Clark & Lunn Investment Management Ltd.",NL0012866412,2019-04-03,archive
0.95,BE Semiconductor Industries N.V.,"Davidson Kempner European Partners, LLP",NL0012866412,2019-04-03,archive
3.8,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-04-03,archive
2.1,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-03,archive
0.48,AMG Critical Materials N.V.,Millennium International Management LP,NL0000888691,2019-04-03,archive
0.65,AMG Critical Materials N.V.,"Public Equity Partners Management, L.P.",NL0000888691,2019-04-03,archive
1.58,Fugro N.V.,Sculptor Capital Management Europe Limited,NL0000352565,2019-04-03,archive
0.78,Fugro N.V.,Voleon Capital Management LP,NL0000352565,2019-04-03,archive
1.51,PostNL N.V.,AHL Partners LLP,NL0009739416,2019-04-02,archive
0.75,Koninklijke BAM Groep N.V.,AKO Capital LLP,NL0000337319,2019-04-02,archive
3.21,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-04-02,archive
0.56,AMG Critical Materials N.V.,Jupiter Investment Management Limited,NL0000888691,2019-04-02,archive
0.66,Flow Traders Ltd.,Marshall Wace LLP,NL0011279492,2019-04-02,archive
2.03,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-02,archive
2.28,PostNL N.V.,Marshall Wace LLP,NL0009739416,2019-04-02,archive
0.55,AMG Critical Materials N.V.,Millennium International Management LP,NL0000888691,2019-04-02,archive
0.78,Fugro N.V.,"WorldQuant, LLC",NL0000352565,2019-04-02,archive
2.32,Fugro N.V.,AHL Partners LLP,NL0000352565,2019-04-01,archive
0.89,Wereldhave N.V.,"D. E. Shaw & Co., L.P.",NL0000289213,2019-04-01,archive
1.66,Fugro N.V.,HBK Investments LP,NL0000352565,2019-04-01,archive
3.08,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-04-01,archive
1.96,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-04-01,archive
2.3,PostNL N.V.,Marshall Wace LLP,NL0009739416,2019-04-01,archive
0.46,AMG Critical Materials N.V.,Millennium Capital Partners LLP,NL0000888691,2019-04-01,archive
2.29,Fugro N.V.,AHL Partners LLP,NL0000352565,2019-03-29,archive
1.77,SBM Offshore N.V.,"AQR Capital Management, LLC",NL0000360618,2019-03-29,archive
0.76,Galapagos NV,Citadel Advisors LLC,BE0003818359,2019-03-29,archive
0.69,Signify N.V.,ENA Investment Capital LLP,NL0011821392,2019-03-29,archive
0.64,Wereldhave N.V.,GAM Investment Management (Switzerland) Ltd. ? Lugano Branch,NL0000289213,2019-03-29,archive
2.7,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-03-29,archive
1.19,Signify N.V.,Marshall Wace LLP,NL0011821392,2019-03-29,archive
0.47,BE Semiconductor Industries N.V.,Citadel Advisors II LLC,NL0012866412,2019-03-28,archive
1.74,Fugro N.V.,HBK Investments LP,NL0000352565,2019-03-28,archive
2.37,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-03-28,archive
1.83,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-03-28,archive
1.2,Signify N.V.,Marshall Wace LLP,NL0011821392,2019-03-28,archive
0.79,AMG Critical Materials N.V.,Millennium International Management LP,NL0000888691,2019-03-28,archive
1.03,ARCADIS N.V.,Polar Capital LLP,NL0006237562,2019-03-28,archive
1.4,PostNL N.V.,Capital Fund Management S.A.,NL0009739416,2019-03-27,archive
0.5,BE Semiconductor Industries N.V.,Citadel Advisors II LLC,NL0012866412,2019-03-27,archive
0.8,BE Semiconductor Industries N.V.,"Connor, Clark & Lunn Investment Management Ltd.",NL0012866412,2019-03-27,archive
0.59,Signify N.V.,Engadine Partners LLP,NL0011821392,2019-03-27,archive
1.68,Fugro N.V.,HBK Investments LP,NL0000352565,2019-03-27,archive
0.7,BE Semiconductor Industries N.V.,"WorldQuant, LLC",NL0012866412,2019-03-27,archive
2.21,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-03-26,archive
1.71,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-03-26,archive
1.19,Signify N.V.,Marshall Wace LLP,NL0011821392,2019-03-26,archive
0.94,ARCADIS N.V.,Polar Capital LLP,NL0006237562,2019-03-26,archive
3.6,BE Semiconductor Industries N.V.,Scopia Capital Management LP,NL0012866412,2019-03-26,archive
0.79,BE Semiconductor Industries N.V.,"Connor, Clark & Lunn Investment Management Ltd.",NL0012866412,2019-03-25,archive
0.7,Wereldhave N.V.,"Connor, Clark & Lunn Investment Management Ltd.",NL0000289213,2019-03-25,archive
2.92,AMG Critical Materials N.V.,"Eminence Capital, LP",NL0000888691,2019-03-25,archive
0.51,Wereldhave N.V.,GSA Capital Partners LLP,NL0000289213,2019-03-25,archive
1.77,Fugro N.V.,HBK Investments LP,NL0000352565,2019-03-25,archive
2.11,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-03-25,archive
0.61,Signify N.V.,Lansdowne Partners (UK) LLP,NL0011821392,2019-03-25,archive
1.2,Signify N.V.,Marshall Wace LLP,NL0011821392,2019-03-25,archive
0.57,AMG Critical Materials N.V.,Millennium Capital Partners LLP,NL0000888691,2019-03-25,archive
0.89,AMG Critical Materials N.V.,Millennium International Management LP,NL0000888691,2019-03-25,archive
0.88,Flow Traders Ltd.,"Philadelphia Financial Management of San Francisco, LLC",NL0011279492,2019-03-25,archive
1.6,Fugro N.V.,Sculptor Capital Management Europe Limited,NL0000352565,2019-03-25,archive
0.82,Fugro N.V.,"WorldQuant, LLC",NL0000352565,2019-03-25,archive
2.31,Fugro N.V.,AHL Partners LLP,NL0000352565,2019-03-22,archive
1.87,SBM Offshore N.V.,"AQR Capital Management, LLC",NL0000360618,2019-03-22,archive
0.69,Wereldhave N.V.,"Connor, Clark & Lunn Investment Management Ltd.",NL0000289213,2019-03-22,archive
1.67,Fugro N.V.,HBK Investments LP,NL0000352565,2019-03-22,archive
2.04,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-03-22,archive
1.62,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-03-22,archive
1.08,Koninklijke Vopak N.V.,"AQR Capital Management, LLC",NL0009432491,2019-03-21,archive
0.7,Wereldhave N.V.,"Connor, Clark & Lunn Investment Management Ltd.",NL0000289213,2019-03-21,archive
1.08,Koninklijke BAM Groep N.V.,Gladstone Capital Management LLP,NL0000337319,2019-03-21,archive
1.9,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-03-21,archive
0.97,AMG Critical Materials N.V.,Millennium International Management LP,NL0000888691,2019-03-21,archive
0.6,BE Semiconductor Industries N.V.,"WorldQuant, LLC",NL0012866412,2019-03-21,archive
1.38,AMG Critical Materials N.V.,AHL Partners LLP,NL0000888691,2019-03-20,archive
1.12,Koninklijke BAM Groep N.V.,Gladstone Capital Management LLP,NL0000337319,2019-03-20,archive
1.82,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-03-20,archive
2.41,PostNL N.V.,Marshall Wace LLP,NL0009739416,2019-03-20,archive
0.89,Wereldhave N.V.,Millennium International Management LP,NL0000289213,2019-03-20,archive
0.59,BE Semiconductor Industries N.V.,"WorldQuant, LLC",NL0012866412,2019-03-20,archive
1.98,SBM Offshore N.V.,"AQR Capital Management, LLC",NL0000360618,2019-03-19,archive
0.99,ARCADIS N.V.,Engadine Partners LLP,NL0006237562,2019-03-19,archive
1.5,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-03-19,archive
0.79,Fugro N.V.,"WorldQuant, LLC",NL0000352565,2019-03-19,archive
1.46,AMG Critical Materials N.V.,AHL Partners LLP,NL0000888691,2019-03-18,archive
1.3,PostNL N.V.,Capital Fund Management S.A.,NL0009739416,2019-03-18,archive
1.74,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-03-18,archive
1.71,BE Semiconductor Industries N.V.,Jupiter Investment Management Limited,NL0012866412,2019-03-18,archive
0.13,ARCADIS N.V.,ShadowFall Fund Limited,NL0006237562,2019-03-18,archive
0.68,BE Semiconductor Industries N.V.,"WorldQuant, LLC",NL0012866412,2019-03-18,archive
1.62,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-03-15,archive
0.62,AMG Critical Materials N.V.,Jupiter Investment Management Limited,NL0000888691,2019-03-15,archive
1.42,Fugro N.V.,Marshall Wace LLP,NL0000352565,2019-03-15,archive
1.93,Wereldhave N.V.,Marshall Wace LLP,NL0000289213,2019-03-15,archive
0.78,Flow Traders Ltd.,"Philadelphia Financial Management of San Francisco, LLC",NL0011279492,2019-03-15,archive
0.52,Pharming Group N.V.,TT International,NL0010391025,2019-03-15,archive
0.75,BE Semiconductor Industries N.V.,"WorldQuant, LLC",NL0012866412,2019-03-15,archive
0.8,Fugro N.V.,"WorldQuant, LLC",NL0000352565,2019-03-15,archive
1.42,PostNL N.V.,AHL Partners LLP,NL0009739416,2019-03-14,archive
1.26,Koninklijke BAM Groep N.V.,Gladstone Capital Management LLP,NL0000337319,2019-03-14,archive
1.34,AMG Critical Materials N.V.,"Hound Partners, LLC",NL0000888691,2019-03-14,archive
