net_short_position,issuer_name,position_holder,isin,position_date,source
0.61,ING Groep N.V.,Viking Global Investors LP,NL0011821202,2026-03-30,current
0.9,ARCADIS N.V.,"AQR Capital Management, LLC",NL0006237562,2026-03-27,current
1.12,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",NL0010801007,2026-03-27,current
1.09,IMCD N.V.,"BlackRock Financial Management, Inc.",NL0010801007,2026-03-27,current
0.51,IMCD N.V.,Capital Fund Management S.A.,NL0010801007,2026-03-27,current
0.7,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",NL0006237562,2026-03-27,current
0.59,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",NL0010391025,2026-03-27,current
0.59,The Magnum Ice Cream Company N.V.,GLG Partners LP,NL0015002MS2,2026-03-27,current
0.86,Randstad N.V.,Marshall Wace LLP,NL0000379121,2026-03-27,current
0.75,Akzo Nobel N.V.,Millennium International Management LP,NL0013267909,2026-03-27,current
0.79,Signify N.V.,Qube Research & Technologies Ltd.,NL0011821392,2026-03-27,current
0.52,Theon International Plc,Voleon Capital Management LP,CY0200751713,2026-03-27,current
0.6,Basic-Fit N.V.,Wellington Management International Ltd.,NL0011872650,2026-03-27,current
0.69,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",NL0006237562,2026-03-26,current
0.64,The Magnum Ice Cream Company N.V.,Ilex Capital Partners (UK) LLP,NL0015002MS2,2026-03-26,current
1.96,Signify N.V.,Marshall Wace LLP,NL0011821392,2026-03-26,current
1.14,Theon International Plc,Qube Research & Technologies Ltd.,CY0200751713,2026-03-26,current
1.5,InPost S.A.,"Two Sigma Investments, LP",LU2290522684,2026-03-26,current
0.5,IMCD N.V.,Voleon Capital Management LP,NL0010801007,2026-03-26,current
2.92,Alfen N.V.,"WorldQuant, LLC",NL0012817175,2026-03-26,current
0.71,IMCD N.V.,"WorldQuant, LLC",NL0010801007,2026-03-26,current
0.8,Adyen N.V.,"AQR Capital Management, LLC",NL0012969182,2026-03-25,current
0.6,Akzo Nobel N.V.,"AQR Capital Management, LLC",NL0013267909,2026-03-25,current
0.5,CVC Capital Partners plc,"AQR Capital Management, LLC",JE00BRX98089,2026-03-25,current
0.6,The Magnum Ice Cream Company N.V.,GLG Partners LP,NL0015002MS2,2026-03-25,current
0.82,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,CH1216478797,2026-03-25,current
0.57,The Magnum Ice Cream Company N.V.,Ilex Capital Partners (UK) LLP,NL0015002MS2,2026-03-25,current
0.81,Signify N.V.,Millennium Capital (DIFC) Limited,NL0011821392,2026-03-25,current
0.6,IMCD N.V.,Squarepoint Ops LLC,NL0010801007,2026-03-25,current
0.56,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,NL0010801007,2026-03-24,current
1.14,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2026-03-24,current
0.91,Randstad N.V.,Marshall Wace LLP,NL0000379121,2026-03-24,current
2.0,Signify N.V.,Marshall Wace LLP,NL0011821392,2026-03-24,current
1.6,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,NL0015002MS2,2026-03-24,current
0.79,Signify N.V.,Millennium Capital (DIFC) Limited,NL0011821392,2026-03-24,current
0.9,IMCD N.V.,"PDT Partners, LLC",NL0010801007,2026-03-24,current
0.81,CVC Capital Partners plc,Qube Research & Technologies Ltd.,JE00BRX98089,2026-03-24,current
0.89,Signify N.V.,Qube Research & Technologies Ltd.,NL0011821392,2026-03-24,current
0.59,IMCD N.V.,Squarepoint Ops LLC,NL0010801007,2026-03-24,current
