net_short_position,position_date,issuer_name,isin,position_holder,source
0.99,2026-05-21,Pharming Group N.V.,NL0010391025,"Two Sigma Investments, LP",current
1.29,2026-05-20,InPost S.A.,LU2290522684,"Two Sigma Investments, LP",current
1.0,2026-05-20,Pharming Group N.V.,NL0010391025,"Two Sigma Investments, LP",current
0.9,2026-05-19,Basic-Fit N.V.,NL0011872650,Linden Advisors LP,current
1.0,2026-05-19,Signify N.V.,NL0011821392,"PDT Partners, LLC",current
0.99,2026-05-18,ARCADIS N.V.,NL0006237562,"AQR Capital Management, LLC",current
0.62,2026-05-18,DSM-Firmenich AG,CH1216478797,Citadel Advisors LLC,current
1.59,2026-05-18,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
0.73,2026-05-18,The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,current
0.79,2026-05-15,IMCD N.V.,NL0010801007,"BlackRock Financial Management, Inc.",current
0.82,2026-05-15,Wereldhave N.V.,NL0000289213,Citadel Advisors LLC,current
0.68,2026-05-15,The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,current
0.71,2026-05-15,The Magnum Ice Cream Company N.V.,NL0015002MS2,Qube Research & Technologies Ltd.,current
0.78,2026-05-14,IMCD N.V.,NL0010801007,Capital Fund Management S.A.,current
0.89,2026-05-14,Basic-Fit N.V.,NL0011872650,"D. E. Shaw & Co., L.P.",current
0.8,2026-05-14,IMCD N.V.,NL0010801007,"PDT Partners, LLC",current
0.77,2026-05-14,Basic-Fit N.V.,NL0011872650,Sculptor Capital Management Europe Limited,current
0.8,2026-05-13,IMCD N.V.,NL0010801007,Capital Fund Management S.A.,current
1.61,2026-05-13,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
0.91,2026-05-13,Pharming Group N.V.,NL0010391025,"Two Sigma Investments, LP",current
0.74,2026-05-13,Pharming Group N.V.,NL0010391025,Walleye Capital LLC,current
0.59,2026-05-12,IMCD N.V.,NL0010801007,"BlackRock Advisors, LLC",current
0.71,2026-05-12,Signify N.V.,NL0011821392,"BlackRock Financial Management, Inc.",current
0.79,2026-05-12,IMCD N.V.,NL0010801007,Capital Fund Management S.A.,current
0.82,2026-05-12,Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,current
0.8,2026-05-12,NSI N.V.,NL0012365084,Numeric Investors LLC,current
1.36,2026-05-12,InPost S.A.,LU2290522684,"Two Sigma Investments, LP",current
0.8,2026-05-11,IMCD N.V.,NL0010801007,Capital Fund Management S.A.,current
0.5,2026-05-11,DSM-Firmenich AG,CH1216478797,Citadel Advisors LLC,current
0.7,2026-05-11,Wereldhave N.V.,NL0000289213,Citadel Advisors LLC,current
0.86,2026-05-11,Pharming Group N.V.,NL0010391025,"Two Sigma Investments, LP",current
0.8,2026-05-11,Theon International Plc,CY0200751713,"Two Sigma Investments, LP",current
0.63,2026-05-11,Pharming Group N.V.,NL0010391025,Walleye Capital LLC,current
1.5,2026-05-08,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
1.72,2026-05-08,Akzo Nobel N.V.,NL0013267909,Davidson Kempner Capital Management LP,current
0.75,2026-05-08,Pharming Group N.V.,NL0010391025,"Two Sigma Investments, LP",current
0.53,2026-05-08,Pharming Group N.V.,NL0010391025,Walleye Capital LLC,current
0.76,2026-05-07,Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,current
1.69,2026-05-07,Signify N.V.,NL0011821392,Marshall Wace LLP,current
0.79,2026-05-06,IMCD N.V.,NL0010801007,Capital Fund Management S.A.,current
1.41,2026-05-06,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
1.4,2026-05-06,DSM-Firmenich AG,CH1216478797,Ilex Capital Partners (UK) LLP,current
0.69,2026-05-06,CVC Capital Partners plc,JE00BRX98089,Marshall Wace LLP,current
0.77,2026-05-06,IMCD N.V.,NL0010801007,"PDT Partners, LLC",current
0.9,2026-05-06,Signify N.V.,NL0011821392,"PDT Partners, LLC",current
1.36,2026-05-05,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
0.98,2026-05-05,Basic-Fit N.V.,NL0011872650,"D. E. Shaw & Co., L.P.",current
