position_date,isin,issuer_name,net_short_position,position_holder,source
2025-10-21,NL0012866412,BE Semiconductor Industries N.V.,0.9,"D. E. Shaw & Co., L.P.",current
2025-10-21,NL0010391025,Pharming Group N.V.,0.58,Lazard Asset Management LLC,current
2025-10-21,NL0012817175,Alfen N.V.,1.45,"WorldQuant, LLC",current
2025-10-20,NL0000289213,Wereldhave N.V.,0.59,Citadel Advisors LLC,current
2025-10-20,CH1216478797,DSM-Firmenich AG,0.94,Ilex Capital Partners (UK) LLP,current
2025-10-17,NL00150003E1,Fugro N.V.,0.78,"PDT Partners, LLC",current
2025-10-17,NL0006237562,ARCADIS N.V.,0.62,Squarepoint Ops LLC,current
2025-10-16,NL0009739416,PostNL N.V.,0.8,Marshall Wace LLP,current
2025-10-16,NL0012817175,Alfen N.V.,0.86,Voleon Capital Management LP,current
2025-10-16,NL0012817175,Alfen N.V.,1.37,"WorldQuant, LLC",current
2025-10-15,BE0003818359,Galapagos NV,1.59,"Arrowstreet Capital, Limited Partnership",current
2025-10-15,NL0015002IE0,Avantium N.V.,1.7,Voleon Capital Management LP,current
2025-10-14,NL0009739416,PostNL N.V.,0.9,"D. E. Shaw & Co., L.P.",current
2025-10-14,NL0012817175,Alfen N.V.,0.99,Voleon Capital Management LP,current
2025-10-13,NL0006237562,ARCADIS N.V.,0.5,Squarepoint Ops LLC,current
2025-10-13,NL0012817175,Alfen N.V.,1.23,"WorldQuant, LLC",current
2025-10-10,NL00150003E1,Fugro N.V.,0.8,"PDT Partners, LLC",current
2025-10-10,NL0015002IE0,Avantium N.V.,1.61,Voleon Capital Management LP,current
2025-10-10,NL0012817175,Alfen N.V.,1.15,"WorldQuant, LLC",current
2025-10-09,NL0011872650,Basic-Fit N.V.,0.89,"D. E. Shaw & Co., L.P.",current
2025-10-09,NL0012817175,Alfen N.V.,1.07,Voleon Capital Management LP,current
2025-10-09,NL0015002IE0,Avantium N.V.,1.44,Voleon Capital Management LP,current
2025-10-08,NL0011872650,Basic-Fit N.V.,0.9,"D. E. Shaw & Co., L.P.",current
2025-10-08,NL0015002IE0,Avantium N.V.,1.33,Voleon Capital Management LP,current
2025-10-07,NL0012866412,BE Semiconductor Industries N.V.,0.81,"D. E. Shaw & Co., L.P.",current
2025-10-07,NL0011821392,Signify N.V.,0.9,Marshall Wace LLP,current
2025-10-06,NL0011872650,Basic-Fit N.V.,0.89,"D. E. Shaw & Co., L.P.",current
2025-10-06,NL0009739416,PostNL N.V.,0.74,Marshall Wace LLP,current
2025-10-03,NL0010801007,IMCD N.V.,1.06,"BlackRock Advisors, LLC",current
2025-10-03,NL0009739416,PostNL N.V.,0.69,Marshall Wace LLP,current
2025-10-03,NL0012817175,Alfen N.V.,1.18,Voleon Capital Management LP,current
2025-10-02,NL0011872650,Basic-Fit N.V.,0.9,"D. E. Shaw & Co., L.P.",current
2025-10-02,NL0012866412,BE Semiconductor Industries N.V.,0.7,"D. E. Shaw & Co., L.P.",current
2025-10-02,NL0009739416,PostNL N.V.,0.51,Marshall Wace LLP,current
2025-10-02,NL0012817175,Alfen N.V.,1.25,Voleon Capital Management LP,current
2025-10-02,NL0015002IE0,Avantium N.V.,1.21,Voleon Capital Management LP,current
2025-10-01,NL0010391025,Pharming Group N.V.,0.6,Whitebox Advisors LLC,current
2025-09-30,NL0010801007,IMCD N.V.,1.1,"BlackRock Advisors, LLC",current
2025-09-29,NL0010391025,Pharming Group N.V.,1.03,Capstone Volatility Master (Cayman) Limited,current
2025-09-29,NL0010391025,Pharming Group N.V.,0.6,Lazard Asset Management LLC,current
2025-09-29,NL00150003E1,Fugro N.V.,0.7,"PDT Partners, LLC",current
2025-09-26,NL0010391025,Pharming Group N.V.,0.97,Capstone Volatility Master (Cayman) Limited,current
2025-09-26,NL0015002IE0,Avantium N.V.,1.12,Voleon Capital Management LP,current
2025-09-26,NL0012817175,Alfen N.V.,0.91,"WorldQuant, LLC",current
2025-09-25,CH1216478797,DSM-Firmenich AG,0.84,Ilex Capital Partners (UK) LLP,current
2025-09-25,NL0011821392,Signify N.V.,0.8,Marshall Wace LLP,current
2025-09-25,NL0015002IE0,Avantium N.V.,1.02,Voleon Capital Management LP,current
2025-09-24,NL0010801007,IMCD N.V.,0.69,"Arrowstreet Capital, Limited Partnership",current
2025-09-24,NL0000289213,Wereldhave N.V.,0.69,Citadel Advisors LLC,current
2025-09-24,NL0011821392,Signify N.V.,0.7,"PDT Partners, LLC",current
2025-09-23,NL0010801007,IMCD N.V.,1.2,"BlackRock Financial Management, Inc.",current
2025-09-23,CH1216478797,DSM-Firmenich AG,0.93,Ilex Capital Partners (UK) LLP,current
2025-09-23,NL0015002IE0,Avantium N.V.,0.6,Voleon Capital Management LP,current
2025-09-22,NL0010801007,IMCD N.V.,1.0,"BlackRock Advisors, LLC",current
2025-09-22,NL0015002IE0,Avantium N.V.,0.59,Voleon Capital Management LP,current
2025-09-19,NL0013332471,TomTom N.V.,1.38,JPMorgan Asset Management (UK) Ltd.,current
2025-09-18,NL0009739416,PostNL N.V.,0.81,"D. E. Shaw & Co., L.P.",current
2025-09-18,NL0013332471,TomTom N.V.,1.48,JPMorgan Asset Management (UK) Ltd.,current
2025-09-17,CH1216478797,DSM-Firmenich AG,0.83,Ilex Capital Partners (UK) LLP,current
2025-09-17,NL0011821392,Signify N.V.,0.7,Marshall Wace LLP,current
2025-09-17,NL0012817175,Alfen N.V.,0.89,"WorldQuant, LLC",current
2025-09-16,NL0013267909,Akzo Nobel N.V.,0.93,AKO Capital LLP,current
2025-09-16,CH1216478797,DSM-Firmenich AG,0.72,Ilex Capital Partners (UK) LLP,current
2025-09-15,NL0013267909,Akzo Nobel N.V.,1.0,AKO Capital LLP,current
2025-09-15,NL0012817175,Alfen N.V.,1.38,Voleon Capital Management LP,current
2025-09-15,NL0012817175,Alfen N.V.,0.93,"WorldQuant, LLC",current
2025-09-12,NL0013267909,Akzo Nobel N.V.,1.23,AKO Capital LLP,current
2025-09-12,NL0000289213,Wereldhave N.V.,0.7,Citadel Advisors LLC,current
2025-09-12,CH1216478797,DSM-Firmenich AG,0.51,Ilex Capital Partners (UK) LLP,current
2025-09-11,NL0013267909,Akzo Nobel N.V.,1.39,AKO Capital LLP,current
2025-09-11,NL0010801007,IMCD N.V.,1.1,"BlackRock Financial Management, Inc.",current
2025-09-11,NL00150003E1,Fugro N.V.,0.69,"PDT Partners, LLC",current
2025-09-11,NL0012817175,Alfen N.V.,1.06,"WorldQuant, LLC",current
2025-09-10,NL0012817175,Alfen N.V.,1.47,Voleon Capital Management LP,current
2025-09-09,GB00BP6MXD84,Shell plc,0.69,"Elliott Investment Management, L.P",current
2025-09-09,NL0010391025,Pharming Group N.V.,0.58,Lazard Asset Management LLC,current
2025-09-08,NL0013267909,Akzo Nobel N.V.,1.46,AKO Capital LLP,current
2025-09-08,NL0010801007,IMCD N.V.,0.9,"BlackRock Advisors, LLC",current
2025-09-05,NL0010391025,Pharming Group N.V.,1.03,Capstone Volatility Master (Cayman) Limited,current
2025-09-05,NL0012817175,Alfen N.V.,1.59,Voleon Capital Management LP,current
2025-09-04,NL0011821392,Signify N.V.,0.61,Marshall Wace LLP,current
2025-09-04,NL0015002IE0,Avantium N.V.,1.75,Voleon Capital Management LP,current
2025-09-04,NL0012817175,Alfen N.V.,0.99,"WorldQuant, LLC",current
2025-09-02,NL0011821392,Signify N.V.,0.51,"AQR Capital Management, LLC",current
2025-09-02,NL0011872650,Basic-Fit N.V.,1.8,JPMorgan Asset Management (UK) Ltd.,current
2025-09-02,NL0015002IE0,Avantium N.V.,1.51,Voleon Capital Management LP,current
2025-09-02,NL0012817175,Alfen N.V.,1.0,"WorldQuant, LLC",current
2025-09-01,NL00150003E1,Fugro N.V.,0.7,"PDT Partners, LLC",current
2025-09-01,NL0012817175,Alfen N.V.,0.89,"WorldQuant, LLC",current
2025-08-29,NL0009739416,PostNL N.V.,0.7,"D. E. Shaw & Co., L.P.",current
2025-08-29,NL0010391025,Pharming Group N.V.,0.6,Lazard Asset Management LLC,current
2025-08-29,NL0015002IE0,Avantium N.V.,1.41,Voleon Capital Management LP,current
2025-08-29,NL0012817175,Alfen N.V.,0.7,"WorldQuant, LLC",current
2025-08-28,NL0010801007,IMCD N.V.,1.0,"BlackRock Financial Management, Inc.",current
2025-08-28,NL0010391025,Pharming Group N.V.,0.96,Capstone Volatility Master (Cayman) Limited,current
2025-08-28,NL0000289213,Wereldhave N.V.,0.68,Citadel Advisors LLC,current
2025-08-28,NL0012817175,Alfen N.V.,1.79,"D. E. Shaw & Co., L.P.",current
2025-08-28,NL0010391025,Pharming Group N.V.,0.57,Lazard Asset Management LLC,current
2025-08-28,NL00150003E1,Fugro N.V.,0.69,"PDT Partners, LLC",current
2025-08-28,NL0012817175,Alfen N.V.,1.61,Voleon Capital Management LP,current
2025-08-27,NL0012817175,Alfen N.V.,1.6,"D. E. Shaw & Co., L.P.",current
2025-08-27,NL0010391025,Pharming Group N.V.,0.72,Lazard Asset Management LLC,current
2025-08-25,NL0012817175,Alfen N.V.,1.44,Voleon Capital Management LP,current
2025-08-22,NL0010801007,IMCD N.V.,0.81,"BlackRock Advisors, LLC",current
2025-08-22,NL0010801007,IMCD N.V.,0.92,"BlackRock Financial Management, Inc.",current
2025-08-20,NL0012817175,Alfen N.V.,1.5,"D. E. Shaw & Co., L.P.",current
2025-08-20,NL0012817175,Alfen N.V.,1.53,Voleon Capital Management LP,current
2025-08-19,BE0003818359,Galapagos NV,1.69,"Arrowstreet Capital, Limited Partnership",current
2025-08-19,NL0012817175,Alfen N.V.,1.46,"D. E. Shaw & Co., L.P.",current
2025-08-19,NL00150003E1,Fugro N.V.,0.7,"PDT Partners, LLC",current
2025-08-18,NL0013267909,Akzo Nobel N.V.,1.5,AKO Capital LLP,current
2025-08-18,NL0000289213,Wereldhave N.V.,0.79,Citadel Advisors LLC,current
2025-08-18,NL0012817175,Alfen N.V.,1.56,"D. E. Shaw & Co., L.P.",current
2025-08-18,NL0015002IE0,Avantium N.V.,1.6,Voleon Capital Management LP,current
2025-08-14,NL0012817175,Alfen N.V.,1.67,"D. E. Shaw & Co., L.P.",current
2025-08-14,NL00150003E1,Fugro N.V.,0.68,"PDT Partners, LLC",current
2025-08-13,NL0010801007,IMCD N.V.,0.8,"BlackRock Financial Management, Inc.",current
2025-08-13,NL0011821392,Signify N.V.,0.5,Marshall Wace LLP,current
2025-08-13,NL0015002IE0,Avantium N.V.,1.51,Voleon Capital Management LP,current
2025-08-12,NL0010801007,IMCD N.V.,0.71,"BlackRock Advisors, LLC",current
2025-08-12,NL0010391025,Pharming Group N.V.,0.85,Capstone Volatility Master (Cayman) Limited,current
2025-08-12,NL00150003E1,Fugro N.V.,0.7,"PDT Partners, LLC",current
2025-08-08,NL0012817175,Alfen N.V.,1.46,Voleon Capital Management LP,current
2025-08-07,NL0010801007,IMCD N.V.,0.79,"Arrowstreet Capital, Limited Partnership",current
2025-08-07,NL0010801007,IMCD N.V.,0.73,"BlackRock Financial Management, Inc.",current
2025-08-07,NL0010391025,Pharming Group N.V.,0.92,Capstone Volatility Master (Cayman) Limited,current
2025-08-07,NL0012817175,Alfen N.V.,1.78,"D. E. Shaw & Co., L.P.",current
2025-08-06,NL0015002IE0,Avantium N.V.,1.48,Voleon Capital Management LP,current
2025-08-05,NL0011872650,Basic-Fit N.V.,1.77,JPMorgan Asset Management (UK) Ltd.,current
2025-08-05,NL0013332471,TomTom N.V.,1.58,JPMorgan Asset Management (UK) Ltd.,current
2025-08-04,NL0010391025,Pharming Group N.V.,0.63,Lazard Asset Management LLC,current
2025-08-01,NL0015002AH0,Havas N.V.,1.7,"Atalan Capital Partners, LP",current
2025-08-01,NL0010801007,IMCD N.V.,0.6,"BlackRock Financial Management, Inc.",current
2025-08-01,NL0012866412,BE Semiconductor Industries N.V.,0.68,"D. E. Shaw & Co., L.P.",current
2025-08-01,NL00150003E1,Fugro N.V.,0.65,"PDT Partners, LLC",current
2025-08-01,NL0015002IE0,Avantium N.V.,1.59,Voleon Capital Management LP,current
2025-07-31,BE0003818359,Galapagos NV,1.79,"Arrowstreet Capital, Limited Partnership",current
2025-07-31,NL0010391025,Pharming Group N.V.,0.82,Capstone Volatility Master (Cayman) Limited,current
2025-07-31,NL0000289213,Wereldhave N.V.,0.8,Citadel Advisors LLC,current
2025-07-31,NL0012817175,Alfen N.V.,1.53,Voleon Capital Management LP,current
2025-07-30,NL0010801007,IMCD N.V.,0.6,"BlackRock Advisors, LLC",current
2025-07-30,NL0011872650,Basic-Fit N.V.,0.82,"D. E. Shaw & Co., L.P.",current
2025-07-30,NL0015002IE0,Avantium N.V.,1.6,Voleon Capital Management LP,current
2025-07-29,NL0010801007,IMCD N.V.,0.5,"BlackRock Financial Management, Inc.",current
2025-07-29,NL0011872650,Basic-Fit N.V.,0.77,"D. E. Shaw & Co., L.P.",current
2025-07-29,NL0011872650,Basic-Fit N.V.,1.64,JPMorgan Asset Management (UK) Ltd.,current
2025-07-28,NL0012817175,Alfen N.V.,1.87,"D. E. Shaw & Co., L.P.",current
2025-07-28,NL0011872650,Basic-Fit N.V.,1.39,Fosse Capital Partners LLP,current
2025-07-25,NL0012866412,BE Semiconductor Industries N.V.,0.75,"D. E. Shaw & Co., L.P.",current
2025-07-24,NL0011872650,Basic-Fit N.V.,0.68,"D. E. Shaw & Co., L.P.",current
2025-07-24,NL0013332471,TomTom N.V.,1.89,JPMorgan Asset Management (UK) Ltd.,current
2025-07-23,NL0012817175,Alfen N.V.,1.97,"D. E. Shaw & Co., L.P.",current
2025-07-23,NL0013332471,TomTom N.V.,2.01,JPMorgan Asset Management (UK) Ltd.,current
2025-07-23,NL0012817175,Alfen N.V.,1.41,Voleon Capital Management LP,current
2025-07-22,NL0012866412,BE Semiconductor Industries N.V.,0.88,"D. E. Shaw & Co., L.P.",current
2025-07-22,NL0013332471,TomTom N.V.,2.17,JPMorgan Asset Management (UK) Ltd.,current
2025-07-21,NL0013267909,Akzo Nobel N.V.,1.41,AKO Capital LLP,current
2025-07-21,NL0012866412,BE Semiconductor Industries N.V.,0.9,"D. E. Shaw & Co., L.P.",current
2025-07-18,NL0012817175,Alfen N.V.,1.3,Voleon Capital Management LP,current
2025-07-17,NL0015002IE0,Avantium N.V.,1.51,Voleon Capital Management LP,current
2025-07-15,NL0009739416,PostNL N.V.,0.69,"D. E. Shaw & Co., L.P.",current
2025-07-14,NL0012817175,Alfen N.V.,1.22,Voleon Capital Management LP,current
2025-07-14,NL0015002IE0,Avantium N.V.,1.43,Voleon Capital Management LP,current
2025-07-09,NL0013267909,Akzo Nobel N.V.,1.32,AKO Capital LLP,current
2025-07-09,NL0011872650,Basic-Fit N.V.,0.79,"D. E. Shaw & Co., L.P.",current
2025-07-09,NL0015002IE0,Avantium N.V.,1.33,Voleon Capital Management LP,current
2025-07-08,NL0009739416,PostNL N.V.,0.7,"D. E. Shaw & Co., L.P.",current
2025-07-08,NL0011821392,Signify N.V.,0.61,"PDT Partners, LLC",current
2025-07-08,NL0015002IE0,Avantium N.V.,1.29,Voleon Capital Management LP,current
2025-07-04,NL0012817175,Alfen N.V.,1.1,Voleon Capital Management LP,current
2025-07-03,NL0010391025,Pharming Group N.V.,0.73,Lazard Asset Management LLC,current
2025-07-03,NL0015002IE0,Avantium N.V.,1.11,Voleon Capital Management LP,current
2025-07-02,NL0013267909,Akzo Nobel N.V.,1.29,AKO Capital LLP,current
2025-07-02,BE0003818359,Galapagos NV,1.8,"Arrowstreet Capital, Limited Partnership",current
2025-07-02,NL0010801007,IMCD N.V.,0.8,"Arrowstreet Capital, Limited Partnership",current
2025-07-02,NL0015002IE0,Avantium N.V.,0.9,Voleon Capital Management LP,current
2025-07-01,NL0015002IE0,Avantium N.V.,0.84,Voleon Capital Management LP,current
2025-06-30,NL0012817175,Alfen N.V.,1.01,Voleon Capital Management LP,current
2025-06-27,NL0012817175,Alfen N.V.,2.06,"D. E. Shaw & Co., L.P.",current
2025-06-27,NL0011872650,Basic-Fit N.V.,0.87,"D. E. Shaw & Co., L.P.",current
2025-06-27,NL0012866412,BE Semiconductor Industries N.V.,0.89,"D. E. Shaw & Co., L.P.",current
2025-06-27,NL0011821392,Signify N.V.,0.5,"PDT Partners, LLC",current
2025-06-27,NL0015002IE0,Avantium N.V.,0.7,Voleon Capital Management LP,current
2025-06-26,NL0012866412,BE Semiconductor Industries N.V.,0.9,"D. E. Shaw & Co., L.P.",current
2025-06-25,NL0012866412,BE Semiconductor Industries N.V.,0.89,"D. E. Shaw & Co., L.P.",current
2025-06-25,NL0015002IE0,Avantium N.V.,0.61,Voleon Capital Management LP,current
2025-06-24,NL0012866412,BE Semiconductor Industries N.V.,0.9,"D. E. Shaw & Co., L.P.",current
2025-06-24,NL0015002IE0,Avantium N.V.,0.58,Voleon Capital Management LP,current
2025-06-20,BE0003818359,Galapagos NV,1.71,"Arrowstreet Capital, Limited Partnership",current
2025-06-20,NL0010391025,Pharming Group N.V.,0.78,Capstone Volatility Master (Cayman) Limited,current
2025-06-20,NL0000289213,Wereldhave N.V.,0.7,Citadel Advisors LLC,current
2025-06-20,NL0013332471,TomTom N.V.,2.21,JPMorgan Asset Management (UK) Ltd.,current
2025-06-18,NL0010391025,Pharming Group N.V.,0.69,Lazard Asset Management LLC,current
2025-06-18,NL0012817175,Alfen N.V.,0.9,Voleon Capital Management LP,current
2025-06-17,NL0015002AH0,Havas N.V.,1.39,"Atalan Capital Partners, LP",current
2025-06-17,NL0012866412,BE Semiconductor Industries N.V.,0.87,"D. E. Shaw & Co., L.P.",current
2025-06-16,NL0010801007,IMCD N.V.,0.5,"BlackRock Advisors, LLC",current
2025-06-16,NL0012866412,BE Semiconductor Industries N.V.,0.9,"D. E. Shaw & Co., L.P.",current
2025-06-13,NL0012817175,Alfen N.V.,0.81,Voleon Capital Management LP,current
2025-06-10,NL0010391025,Pharming Group N.V.,0.81,Capstone Volatility Master (Cayman) Limited,current
2025-06-10,NL0012817175,Alfen N.V.,2.11,"D. E. Shaw & Co., L.P.",current
2025-06-10,NL0012866412,BE Semiconductor Industries N.V.,0.82,"D. E. Shaw & Co., L.P.",current
2025-06-09,NL0013267909,Akzo Nobel N.V.,1.3,AKO Capital LLP,current
