position_date,isin,issuer_name,net_short_position,position_holder,source
2025-04-09,NL0012817175,Alfen N.V.,1.66,"D. E. Shaw & Co., L.P.",current
2025-04-09,NL00150003E1,Fugro N.V.,1.03,JPMorgan Asset Management (UK) Ltd.,current
2025-04-09,NL0010391025,Pharming Group N.V.,0.61,Lazard Asset Management LLC,current
2025-04-08,NL00150003E1,Fugro N.V.,0.93,JPMorgan Asset Management (UK) Ltd.,current
2025-04-07,NL0013267909,Akzo Nobel N.V.,1.08,AKO Capital LLP,current
2025-04-07,NL00150003E1,Fugro N.V.,0.85,JPMorgan Asset Management (UK) Ltd.,current
2025-04-04,NL0013267909,Akzo Nobel N.V.,1.2,AKO Capital LLP,current
2025-04-04,BE0003818359,Galapagos NV,0.9,"Arrowstreet Capital, Limited Partnership",current
2025-04-04,NL0012817175,Alfen N.V.,1.5,"D. E. Shaw & Co., L.P.",current
2025-04-04,NL0011872650,Basic-Fit N.V.,0.91,"D. E. Shaw & Co., L.P.",current
2025-04-04,GB00BP6MXD84,Shell plc,0.63,"Elliott Investment Management, L.P",current
2025-04-04,NL00150003E1,Fugro N.V.,0.7,JPMorgan Asset Management (UK) Ltd.,current
2025-04-03,NL0013267909,Akzo Nobel N.V.,1.31,AKO Capital LLP,current
2025-04-03,NL0012817175,Alfen N.V.,1.39,"D. E. Shaw & Co., L.P.",current
2025-04-03,NL00150003E1,Fugro N.V.,0.61,JPMorgan Asset Management (UK) Ltd.,current
2025-04-02,NL0011872650,Basic-Fit N.V.,1.44,JPMorgan Asset Management (UK) Ltd.,current
2025-04-02,NL0010391025,Pharming Group N.V.,0.58,Lazard Asset Management LLC,current
2025-04-01,NL0010801007,IMCD N.V.,0.7,"Arrowstreet Capital, Limited Partnership",current
2025-04-01,NL00150003E1,Fugro N.V.,0.52,JPMorgan Asset Management (UK) Ltd.,current
2025-03-31,NL0012817175,Alfen N.V.,1.21,"D. E. Shaw & Co., L.P.",current
2025-03-27,NL0012817175,Alfen N.V.,1.11,"D. E. Shaw & Co., L.P.",current
2025-03-26,NL0013267909,Akzo Nobel N.V.,1.41,AKO Capital LLP,current
2025-03-25,GB00BP6MXD84,Shell plc,0.5,"Elliott Investment Management, L.P",current
2025-03-25,NL0010391025,Pharming Group N.V.,0.61,Lazard Asset Management LLC,current
2025-03-19,NL0012817175,Alfen N.V.,1.07,"D. E. Shaw & Co., L.P.",current
2025-03-18,NL0012866412,BE Semiconductor Industries N.V.,0.5,"D. E. Shaw & Co., L.P.",current
2025-03-17,NL0012817175,Alfen N.V.,1.19,"D. E. Shaw & Co., L.P.",current
2025-03-14,NL0012817175,Alfen N.V.,1.28,"D. E. Shaw & Co., L.P.",current
2025-03-13,NL0011872650,Basic-Fit N.V.,0.85,"D. E. Shaw & Co., L.P.",current
2025-03-13,NL0010391025,Pharming Group N.V.,0.58,Lazard Asset Management LLC,current
2025-03-12,NL0011872650,Basic-Fit N.V.,0.72,"D. E. Shaw & Co., L.P.",current
2025-03-12,NL0011872650,Basic-Fit N.V.,1.39,JPMorgan Asset Management (UK) Ltd.,current
2025-03-11,NL0013267909,Akzo Nobel N.V.,1.37,AKO Capital LLP,current
2025-03-06,NL0012817175,Alfen N.V.,1.38,"D. E. Shaw & Co., L.P.",current
2025-03-06,NL0010391025,Pharming Group N.V.,0.65,Lazard Asset Management LLC,current
2025-03-03,BE0003818359,Galapagos NV,0.88,"Arrowstreet Capital, Limited Partnership",current
2025-03-03,NL0011872650,Basic-Fit N.V.,1.22,JPMorgan Asset Management (UK) Ltd.,current
2025-02-28,NL0011872650,Basic-Fit N.V.,1.14,JPMorgan Asset Management (UK) Ltd.,current
2025-02-26,NL0011872650,Basic-Fit N.V.,1.04,JPMorgan Asset Management (UK) Ltd.,current
2025-02-25,NL0013267909,Akzo Nobel N.V.,1.43,AKO Capital LLP,current
2025-02-24,BE0003818359,Galapagos NV,0.98,"Arrowstreet Capital, Limited Partnership",current
2025-02-20,BE0003818359,Galapagos NV,1.06,"Arrowstreet Capital, Limited Partnership",current
2025-02-19,NL0012817175,Alfen N.V.,1.59,"D. E. Shaw & Co., L.P.",current
2025-02-19,NL0013332471,TomTom N.V.,2.62,JPMorgan Asset Management (UK) Ltd.,current
2025-02-18,NL0013332471,TomTom N.V.,2.52,JPMorgan Asset Management (UK) Ltd.,current
2025-02-17,NL0012817175,Alfen N.V.,1.69,"D. E. Shaw & Co., L.P.",current
2025-02-13,NL0012817175,Alfen N.V.,1.71,"D. E. Shaw & Co., L.P.",current
2025-02-12,NL0012817175,Alfen N.V.,1.21,"D. E. Shaw & Co., L.P.",current
2025-02-10,NL0013267909,Akzo Nobel N.V.,1.34,AKO Capital LLP,current
2025-02-07,NL0011872650,Basic-Fit N.V.,0.55,"D. E. Shaw & Co., L.P.",current
2025-02-06,NL0013332471,TomTom N.V.,2.1,JPMorgan Asset Management (UK) Ltd.,current
2025-02-04,NL0013332471,TomTom N.V.,1.91,JPMorgan Asset Management (UK) Ltd.,current
2025-01-31,NL0013267909,Akzo Nobel N.V.,1.22,AKO Capital LLP,current
2025-01-28,NL0011872650,Basic-Fit N.V.,0.9,JPMorgan Asset Management (UK) Ltd.,current
2025-01-17,NL0012817175,Alfen N.V.,0.9,"D. E. Shaw & Co., L.P.",current
2025-01-16,NL0013332471,TomTom N.V.,1.62,JPMorgan Asset Management (UK) Ltd.,current
2025-01-14,NL0013267909,Akzo Nobel N.V.,1.11,AKO Capital LLP,current
2025-01-13,NL0010391025,Pharming Group N.V.,0.79,Lazard Asset Management LLC,current
2025-01-08,NL0012817175,Alfen N.V.,0.8,"D. E. Shaw & Co., L.P.",current
2025-01-08,NL0013332471,TomTom N.V.,1.53,JPMorgan Asset Management (UK) Ltd.,current
2025-01-07,BE0003818359,Galapagos NV,1.19,"Arrowstreet Capital, Limited Partnership",current
2024-12-27,NL0012817175,Alfen N.V.,0.77,"D. E. Shaw & Co., L.P.",current
2024-12-27,NL0010391025,Pharming Group N.V.,0.82,Lazard Asset Management LLC,current
2024-12-20,NL0012817175,Alfen N.V.,0.83,"D. E. Shaw & Co., L.P.",current
2024-12-19,BE0003818359,Galapagos NV,1.2,"Arrowstreet Capital, Limited Partnership",current
2024-12-18,NL0012817175,Alfen N.V.,0.6,"D. E. Shaw & Co., L.P.",current
2024-12-16,NL0010801007,IMCD N.V.,0.6,"Arrowstreet Capital, Limited Partnership",current
2024-12-11,NL0010391025,Pharming Group N.V.,0.71,Lazard Asset Management LLC,current
2024-12-10,NL0013267909,Akzo Nobel N.V.,1.07,AKO Capital LLP,current
2024-12-06,NL0013267909,Akzo Nobel N.V.,1.18,AKO Capital LLP,current
2024-12-06,NL0012817175,Alfen N.V.,0.51,"D. E. Shaw & Co., L.P.",current
2024-12-05,NL0010391025,Pharming Group N.V.,0.6,Lazard Asset Management LLC,current
2024-11-19,NL0013267909,Akzo Nobel N.V.,1.25,AKO Capital LLP,current
2024-11-08,NL0011872650,Basic-Fit N.V.,0.81,JPMorgan Asset Management (UK) Ltd.,current
2024-10-31,NL0010391025,Pharming Group N.V.,0.59,Lazard Asset Management LLC,current
2024-10-30,NL0013267909,Akzo Nobel N.V.,1.31,AKO Capital LLP,current
2024-10-29,BE0003818359,Galapagos NV,1.19,"Arrowstreet Capital, Limited Partnership",current
2024-10-25,NL0010391025,Pharming Group N.V.,0.62,Lazard Asset Management LLC,current
2024-10-24,NL0010391025,Pharming Group N.V.,0.58,Lazard Asset Management LLC,current
2024-10-23,NL0013267909,Akzo Nobel N.V.,1.22,AKO Capital LLP,current
2024-10-18,NL0010391025,Pharming Group N.V.,0.62,Lazard Asset Management LLC,current
2024-10-11,NL0010391025,Pharming Group N.V.,0.59,Lazard Asset Management LLC,current
2024-10-10,NL0010391025,Pharming Group N.V.,0.63,Lazard Asset Management LLC,current
2024-10-08,NL0013267909,Akzo Nobel N.V.,1.12,AKO Capital LLP,current
2024-10-04,NL0013267909,Akzo Nobel N.V.,1.22,AKO Capital LLP,current
2024-09-27,NL0013267909,Akzo Nobel N.V.,1.38,AKO Capital LLP,current
2024-09-26,NL0013267909,Akzo Nobel N.V.,1.48,AKO Capital LLP,current
2024-09-24,NL0010801007,IMCD N.V.,0.5,"Arrowstreet Capital, Limited Partnership",current
2024-09-20,NL0013332471,TomTom N.V.,1.49,JPMorgan Asset Management (UK) Ltd.,current
2024-09-19,NL0013332471,TomTom N.V.,1.54,JPMorgan Asset Management (UK) Ltd.,current
2024-09-18,NL0011872650,Basic-Fit N.V.,0.7,JPMorgan Asset Management (UK) Ltd.,current
