issuer_name,position_date,position_holder,net_short_position,isin,source
Koninklijke BAM Groep N.V.,2020-07-17,Citadel Advisors LLC,1.08,NL0000337319,archive
Eurocommercial Properties N.V.,2020-07-17,Clearance Capital Limited,0.43,NL0000288876,archive
Fugro N.V.,2020-07-17,GSA Capital Partners LLP,0.65,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-07-17,HBK Investments LP,0.8,NL0000337319,archive
Fugro N.V.,2020-07-17,Marshall Wace LLP,2.41,NL0000352565,archive
Wereldhave N.V.,2020-07-17,Toscafund Asset Management LLP,1.52,NL0000289213,archive
Fugro N.V.,2020-07-17,Whitebox Advisors LLC,2.37,NL0000352565,archive
OCI N.V.,2020-07-16,"AQR Capital Management, LLC",1.7,NL0010558797,archive
AMG Critical Materials N.V.,2020-07-16,Capital Fund Management S.A.,0.56,NL0000888691,archive
Basic-Fit N.V.,2020-07-16,Citadel Advisors LLC,0.47,NL0011872650,archive
Fugro N.V.,2020-07-16,Marshall Wace LLP,2.53,NL0000352565,archive
Pharming Group N.V.,2020-07-16,Pictet Asset Management Limited,0.93,NL0010391025,archive
Fugro N.V.,2020-07-16,Whitebox Advisors LLC,1.69,NL0000352565,archive
OCI N.V.,2020-07-15,"AQR Capital Management, LLC",1.69,NL0010558797,archive
Flow Traders Ltd.,2020-07-15,Marshall Wace LLP,1.39,NL0011279492,archive
Koninklijke BAM Groep N.V.,2020-07-15,Marshall Wace LLP,0.96,NL0000337319,archive
Signify N.V.,2020-07-15,Millennium Capital Partners LLP,0.37,NL0011821392,archive
Wereldhave N.V.,2020-07-15,Toscafund Asset Management LLP,1.39,NL0000289213,archive
Fugro N.V.,2020-07-15,Whitebox Advisors LLC,1.59,NL0000352565,archive
Pharming Group N.V.,2020-07-14,Citadel Advisors LLC,0.84,NL0010391025,archive
Fugro N.V.,2020-07-14,HBK Investments LP,0.82,NL0000352565,archive
Fugro N.V.,2020-07-14,Marshall Wace LLP,2.67,NL0000352565,archive
Fugro N.V.,2020-07-14,Sculptor Capital Management Europe Limited,1.0,NL0000352565,archive
Fugro N.V.,2020-07-14,Whitebox Advisors LLC,1.46,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-07-13,Citadel Advisors LLC,1.11,NL0000337319,archive
Aperam S.A.,2020-07-13,Citadel Europe LLP,0.83,LU0569974404,archive
Lakefront Biotherapeutics NV,2020-07-13,"D. E. Shaw & Co., L.P.",0.79,BE0003818359,archive
Fugro N.V.,2020-07-13,HBK Investments LP,0.74,NL0000352565,archive
Unibail-Rodamco-Westfield SE,2020-07-13,Kintbury Capital LLP,0.59,FR0013326246,archive
Fugro N.V.,2020-07-13,Marshall Wace LLP,3.07,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-07-13,Marshall Wace LLP,0.88,NL0000337319,archive
Unibail-Rodamco-Westfield SE,2020-07-13,Marshall Wace LLP,1.03,FR0013326246,archive
AMG Critical Materials N.V.,2020-07-13,Susquehanna International Securities Limited,0.35,NL0000888691,archive
AMG Critical Materials N.V.,2020-07-13,Systematica Investments Limited,1.3,NL0000888691,archive
OCI N.V.,2020-07-10,"AQR Capital Management, LLC",1.7,NL0010558797,archive
Aperam S.A.,2020-07-10,Citadel Advisors LLC,0.5,LU0569974404,archive
Basic-Fit N.V.,2020-07-10,Citadel Advisors LLC,0.51,NL0011872650,archive
Koninklijke BAM Groep N.V.,2020-07-10,Citadel Advisors LLC,1.09,NL0000337319,archive
Eurocommercial Properties N.V.,2020-07-10,Clearance Capital Limited,0.5,NL0000288876,archive
Lakefront Biotherapeutics NV,2020-07-10,"D. E. Shaw & Co., L.P.",0.8,BE0003818359,archive
Fugro N.V.,2020-07-10,HBK Investments LP,0.64,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-07-10,HBK Investments LP,0.79,NL0000337319,archive
Sif Holding N.V.,2020-07-10,JPMorgan Asset Management (UK) Ltd.,0.62,NL0011660485,archive
Fugro N.V.,2020-07-10,Marshall Wace LLP,3.19,NL0000352565,archive
Fugro N.V.,2020-07-10,Sculptor Capital Management Europe Limited,1.22,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-07-10,"WorldQuant, LLC",1.54,NL0000337319,archive
Koninklijke BAM Groep N.V.,2020-07-09,Citadel Advisors LLC,1.1,NL0000337319,archive
Wereldhave N.V.,2020-07-09,"Connor, Clark & Lunn Investment Management Ltd.",1.06,NL0000289213,archive
Lakefront Biotherapeutics NV,2020-07-09,"D. E. Shaw & Co., L.P.",0.79,BE0003818359,archive
Fugro N.V.,2020-07-09,GSA Capital Partners LLP,0.51,NL0000352565,archive
Sif Holding N.V.,2020-07-09,JPMorgan Asset Management (UK) Ltd.,0.5,NL0011660485,archive
Fugro N.V.,2020-07-09,Marshall Wace LLP,3.26,NL0000352565,archive
Signify N.V.,2020-07-09,Millennium Capital Partners LLP,0.51,NL0011821392,archive
Koninklijke BAM Groep N.V.,2020-07-09,"WorldQuant, LLC",1.46,NL0000337319,archive
OCI N.V.,2020-07-08,"AQR Capital Management, LLC",1.69,NL0010558797,archive
Koninklijke BAM Groep N.V.,2020-07-08,GSA Capital Partners LLP,0.51,NL0000337319,archive
Koninklijke BAM Groep N.V.,2020-07-08,HBK Investments LP,0.81,NL0000337319,archive
Unibail-Rodamco-Westfield SE,2020-07-08,"Maverick Capital, Ltd.",1.06,FR0013326246,archive
AMG Critical Materials N.V.,2020-07-08,Susquehanna International Securities Limited,0.5,NL0000888691,archive
Fugro N.V.,2020-07-08,Susquehanna International Securities Limited,0.6,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-07-08,"WorldQuant, LLC",1.37,NL0000337319,archive
SBM Offshore N.V.,2020-07-07,"AQR Capital Management, LLC",2.19,NL0000360618,archive
Pharming Group N.V.,2020-07-07,Citadel Advisors LLC,0.71,NL0010391025,archive
BE Semiconductor Industries N.V.,2020-07-07,Citadel Europe LLP,1.82,NL0012866412,archive
Flow Traders Ltd.,2020-07-07,Marshall Wace LLP,1.47,NL0011279492,archive
Koninklijke BAM Groep N.V.,2020-07-07,"WorldQuant, LLC",1.26,NL0000337319,archive
ARCADIS N.V.,2020-07-06,AKO Capital LLP,1.54,NL0006237562,archive
Aperam S.A.,2020-07-06,Citadel Advisors LLC,0.49,LU0569974404,archive
Pharming Group N.V.,2020-07-06,Citadel Advisors LLC,0.69,NL0010391025,archive
Koninklijke BAM Groep N.V.,2020-07-06,GSA Capital Partners LLP,0.45,NL0000337319,archive
Koninklijke BAM Groep N.V.,2020-07-06,HBK Investments LP,0.77,NL0000337319,archive
Fugro N.V.,2020-07-06,Marshall Wace LLP,3.38,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-07-06,Marshall Wace LLP,0.92,NL0000337319,archive
Unibail-Rodamco-Westfield SE,2020-07-06,Marshall Wace LLP,0.99,FR0013326246,archive
Unibail-Rodamco-Westfield SE,2020-07-06,Viking Global Investors LP,1.26,FR0013326246,archive
Koninklijke BAM Groep N.V.,2020-07-06,"WorldQuant, LLC",1.16,NL0000337319,archive
Koninklijke BAM Groep N.V.,2020-07-03,Citadel Advisors LLC,1.09,NL0000337319,archive
ArcelorMittal S.A.,2020-07-03,"D. E. Shaw & Co., L.P.",0.49,LU1598757687,archive
Koninklijke BAM Groep N.V.,2020-07-03,HBK Investments LP,0.82,NL0000337319,archive
Koninklijke BAM Groep N.V.,2020-07-03,Marshall Wace LLP,0.81,NL0000337319,archive
Unibail-Rodamco-Westfield SE,2020-07-03,Marshall Wace LLP,1.08,FR0013326246,archive
Fugro N.V.,2020-07-03,Susquehanna International Securities Limited,0.57,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-07-03,"WorldQuant, LLC",1.04,NL0000337319,archive
Koninklijke Vopak N.V.,2020-07-02,"AQR Capital Management, LLC",0.48,NL0009432491,archive
Wereldhave N.V.,2020-07-02,"Athanor Capital, LP",1.0,NL0000289213,archive
Koninklijke BAM Groep N.V.,2020-07-02,Citadel Advisors LLC,1.12,NL0000337319,archive
BE Semiconductor Industries N.V.,2020-07-02,Citadel Europe LLP,1.72,NL0012866412,archive
Koninklijke BAM Groep N.V.,2020-07-02,GSA Capital Partners LLP,0.52,NL0000337319,archive
Koninklijke BAM Groep N.V.,2020-07-02,HBK Investments LP,0.78,NL0000337319,archive
Flow Traders Ltd.,2020-07-02,Marshall Wace LLP,1.56,NL0011279492,archive
Fugro N.V.,2020-07-02,Marshall Wace LLP,3.48,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-07-02,Marshall Wace LLP,0.75,NL0000337319,archive
AMG Critical Materials N.V.,2020-07-02,Susquehanna International Securities Limited,0.48,NL0000888691,archive
AMG Critical Materials N.V.,2020-07-02,Systematica Investments Limited,1.2,NL0000888691,archive
Koninklijke BAM Groep N.V.,2020-07-02,"WorldQuant, LLC",0.93,NL0000337319,archive
Flow Traders Ltd.,2020-07-01,Marshall Wace LLP,1.62,NL0011279492,archive
Fugro N.V.,2020-07-01,Marshall Wace LLP,3.54,NL0000352565,archive
Unibail-Rodamco-Westfield SE,2020-07-01,Marshall Wace LLP,1.11,FR0013326246,archive
Signify N.V.,2020-07-01,Millennium Capital Partners LLP,0.48,NL0011821392,archive
AMG Critical Materials N.V.,2020-07-01,Susquehanna International Securities Limited,0.5,NL0000888691,archive
Fugro N.V.,2020-06-30,HBK Investments LP,0.55,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-06-30,HBK Investments LP,0.58,NL0000337319,archive
Flow Traders Ltd.,2020-06-30,Marshall Wace LLP,1.59,NL0011279492,archive
Koninklijke BAM Groep N.V.,2020-06-30,Marshall Wace LLP,0.51,NL0000337319,archive
SBM Offshore N.V.,2020-06-30,Marshall Wace LLP,1.4,NL0000360618,archive
Unibail-Rodamco-Westfield SE,2020-06-30,Marshall Wace LLP,1.01,FR0013326246,archive
Signify N.V.,2020-06-30,Millennium Capital Partners LLP,0.51,NL0011821392,archive
BE Semiconductor Industries N.V.,2020-06-30,Scopia Capital Management LP,1.19,NL0012866412,archive
Koninklijke BAM Groep N.V.,2020-06-30,"WorldQuant, LLC",0.82,NL0000337319,archive
Koninklijke BAM Groep N.V.,2020-06-29,HBK Investments LP,0.61,NL0000337319,archive
Unibail-Rodamco-Westfield SE,2020-06-29,Marshall Wace LLP,0.9,FR0013326246,archive
Unibail-Rodamco-Westfield SE,2020-06-29,"Maverick Capital, Ltd.",0.91,FR0013326246,archive
AMG Critical Materials N.V.,2020-06-29,Susquehanna International Securities Limited,0.45,NL0000888691,archive
Wereldhave N.V.,2020-06-29,Wellington Management Company LLP,0.59,NL0000289213,archive
Wereldhave N.V.,2020-06-26,"Athanor Capital, LP",0.93,NL0000289213,archive
Pharming Group N.V.,2020-06-26,Citadel Advisors LLC,0.59,NL0010391025,archive
Fugro N.V.,2020-06-26,HBK Investments LP,0.62,NL0000352565,archive
Flow Traders Ltd.,2020-06-26,Marshall Wace LLP,1.61,NL0011279492,archive
Koninklijke BAM Groep N.V.,2020-06-26,Marshall Wace LLP,0.47,NL0000337319,archive
Unibail-Rodamco-Westfield SE,2020-06-26,"Maverick Capital, Ltd.",0.86,FR0013326246,archive
AMG Critical Materials N.V.,2020-06-26,Susquehanna International Securities Limited,0.52,NL0000888691,archive
Fugro N.V.,2020-06-26,The Mangrove Partners Master Fund Limited,0.95,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-06-25,Citadel Advisors LLC,0.89,NL0000337319,archive
Unibail-Rodamco-Westfield SE,2020-06-25,D1 Capital Partners LP,3.72,FR0013326246,archive
Fugro N.V.,2020-06-25,HBK Investments LP,0.59,NL0000352565,archive
AMG Critical Materials N.V.,2020-06-25,JPMorgan Asset Management (UK) Ltd.,1.5,NL0000888691,archive
Flow Traders Ltd.,2020-06-25,Marshall Wace LLP,1.59,NL0011279492,archive
Unibail-Rodamco-Westfield SE,2020-06-25,"Maverick Capital, Ltd.",0.71,FR0013326246,archive
AMG Critical Materials N.V.,2020-06-25,Susquehanna International Securities Limited,0.49,NL0000888691,archive
Unibail-Rodamco-Westfield SE,2020-06-25,"Woodson Capital Master Fund, LP",0.82,FR0013326246,archive
Koninklijke BAM Groep N.V.,2020-06-25,"WorldQuant, LLC",0.78,NL0000337319,archive
SBM Offshore N.V.,2020-06-24,"AQR Capital Management, LLC",2.28,NL0000360618,archive
Lakefront Biotherapeutics NV,2020-06-24,Citadel Advisors LLC,0.5,BE0003818359,archive
Wereldhave N.V.,2020-06-24,Eleva Capital SAS,0.81,NL0000289213,archive
Fugro N.V.,2020-06-24,HBK Investments LP,0.6,NL0000352565,archive
Unibail-Rodamco-Westfield SE,2020-06-24,Lone Pine Capital LLC,1.21,FR0013326246,archive
Unibail-Rodamco-Westfield SE,2020-06-24,Marshall Wace LLP,0.81,FR0013326246,archive
Fugro N.V.,2020-06-24,Sculptor Capital Management Europe Limited,1.7,NL0000352565,archive
AMG Critical Materials N.V.,2020-06-24,Susquehanna International Securities Limited,0.5,NL0000888691,archive
AMG Critical Materials N.V.,2020-06-24,Systematica Investments Limited,1.11,NL0000888691,archive
Flow Traders Ltd.,2020-06-24,Voleon Capital Management LP,0.47,NL0011279492,archive
ARCADIS N.V.,2020-06-23,AKO Capital LLP,1.41,NL0006237562,archive
Unibail-Rodamco-Westfield SE,2020-06-23,D1 Capital Partners LP,3.63,FR0013326246,archive
Flow Traders Ltd.,2020-06-23,Marshall Wace LLP,1.67,NL0011279492,archive
AEGON Ltd.,2020-06-23,"Samlyn Capital, LLC",0.71,NL0000303709,archive
Aperam S.A.,2020-06-22,Citadel Advisors LLC,0.59,LU0569974404,archive
Koninklijke BAM Groep N.V.,2020-06-22,HBK Investments LP,0.73,NL0000337319,archive
Flow Traders Ltd.,2020-06-22,Marshall Wace LLP,1.7,NL0011279492,archive
Fugro N.V.,2020-06-22,Marshall Wace LLP,3.61,NL0000352565,archive
Unibail-Rodamco-Westfield SE,2020-06-22,"Maverick Capital, Ltd.",0.63,FR0013326246,archive
AMG Critical Materials N.V.,2020-06-22,Susquehanna International Securities Limited,0.47,NL0000888691,archive
ARCADIS N.V.,2020-06-19,AKO Capital LLP,1.3,NL0006237562,archive
Koninklijke Vopak N.V.,2020-06-19,"AQR Capital Management, LLC",0.59,NL0009432491,archive
Wereldhave N.V.,2020-06-19,"Athanor Capital, LP",0.81,NL0000289213,archive
Koninklijke BAM Groep N.V.,2020-06-19,Citadel Advisors LLC,0.9,NL0000337319,archive
Wereldhave N.V.,2020-06-19,Clearance Capital Limited,0.21,NL0000289213,archive
Koninklijke BAM Groep N.V.,2020-06-19,HBK Investments LP,0.69,NL0000337319,archive
Unibail-Rodamco-Westfield SE,2020-06-19,Lone Pine Capital LLC,1.09,FR0013326246,archive
Fugro N.V.,2020-06-19,Marshall Wace LLP,3.58,NL0000352565,archive
BE Semiconductor Industries N.V.,2020-06-19,Millennium International Management LP,0.22,NL0012866412,archive
AMG Critical Materials N.V.,2020-06-19,Susquehanna International Securities Limited,0.51,NL0000888691,archive
Fugro N.V.,2020-06-19,The Mangrove Partners Master Fund Limited,0.81,NL0000352565,archive
Akzo Nobel N.V.,2020-06-18,AKO Capital LLP,0.48,NL0013267909,archive
ARCADIS N.V.,2020-06-18,AKO Capital LLP,1.12,NL0006237562,archive
Koninklijke BAM Groep N.V.,2020-06-18,HBK Investments LP,0.71,NL0000337319,archive
AMG Critical Materials N.V.,2020-06-18,JPMorgan Asset Management (UK) Ltd.,1.49,NL0000888691,archive
Fugro N.V.,2020-06-18,Marshall Wace LLP,3.48,NL0000352565,archive
SBM Offshore N.V.,2020-06-18,Marshall Wace LLP,1.39,NL0000360618,archive
BE Semiconductor Industries N.V.,2020-06-18,Millennium International Management LP,1.28,NL0012866412,archive
Fugro N.V.,2020-06-18,Sculptor Capital Management Europe Limited,1.6,NL0000352565,archive
Fugro N.V.,2020-06-18,The Mangrove Partners Master Fund Limited,0.7,NL0000352565,archive
Unibail-Rodamco-Westfield SE,2020-06-18,Viking Global Investors LP,1.1,FR0013326246,archive
Flow Traders Ltd.,2020-06-18,Voleon Capital Management LP,0.59,NL0011279492,archive
Unibail-Rodamco-Westfield SE,2020-06-18,"Woodson Capital Master Fund, LP",0.72,FR0013326246,archive
ArcelorMittal S.A.,2020-06-17,"AQR Capital Management, LLC",0.47,LU1598757687,archive
ArcelorMittal S.A.,2020-06-17,B&G Master Fund Plc,1.84,LU1598757687,archive
Koninklijke BAM Groep N.V.,2020-06-17,HBK Investments LP,0.69,NL0000337319,archive
Fugro N.V.,2020-06-17,Marshall Wace LLP,3.35,NL0000352565,archive
BE Semiconductor Industries N.V.,2020-06-17,Millennium International Management LP,1.03,NL0012866412,archive
Fugro N.V.,2020-06-17,The Mangrove Partners Master Fund Limited,0.66,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-06-17,"WorldQuant, LLC",0.89,NL0000337319,archive
Koninklijke BAM Groep N.V.,2020-06-16,Citadel Advisors LLC,0.89,NL0000337319,archive
Pharming Group N.V.,2020-06-16,Citadel Advisors LLC,0.6,NL0010391025,archive
Unibail-Rodamco-Westfield SE,2020-06-16,D1 Capital Partners LP,3.55,FR0013326246,archive
Wereldhave N.V.,2020-06-16,"Lucerne Capital Management, L.P.",0.31,NL0000289213,archive
Fugro N.V.,2020-06-16,Marshall Wace LLP,3.16,NL0000352565,archive
BE Semiconductor Industries N.V.,2020-06-16,Millennium International Management LP,0.73,NL0012866412,archive
Koninklijke BAM Groep N.V.,2020-06-16,"WorldQuant, LLC",0.94,NL0000337319,archive
OCI N.V.,2020-06-15,"AQR Capital Management, LLC",1.78,NL0010558797,archive
SBM Offshore N.V.,2020-06-15,"AQR Capital Management, LLC",2.39,NL0000360618,archive
Aperam S.A.,2020-06-15,Citadel Advisors LLC,0.61,LU0569974404,archive
Fugro N.V.,2020-06-15,HBK Investments LP,0.71,NL0000352565,archive
AMG Critical Materials N.V.,2020-06-15,Jupiter Investment Management Limited,0.49,NL0000888691,archive
Flow Traders Ltd.,2020-06-15,Marshall Wace LLP,1.69,NL0011279492,archive
Unibail-Rodamco-Westfield SE,2020-06-15,Marshall Wace LLP,0.7,FR0013326246,archive
AEGON Ltd.,2020-06-15,"Samlyn Capital, LLC",0.62,NL0000303709,archive
Aperam S.A.,2020-06-12,Citadel Europe LLP,0.7,LU0569974404,archive
Fugro N.V.,2020-06-12,HBK Investments LP,0.69,NL0000352565,archive
Unibail-Rodamco-Westfield SE,2020-06-12,Lone Pine Capital LLC,0.98,FR0013326246,archive
Fugro N.V.,2020-06-11,B&G Master Fund Plc,0.96,NL0000352565,archive
Fugro N.V.,2020-06-11,HBK Investments LP,0.7,NL0000352565,archive
Pharming Group N.V.,2020-06-11,Linden Advisors LP,1.18,NL0010391025,archive
Lakefront Biotherapeutics NV,2020-06-11,Marshall Wace LLP,0.82,BE0003818359,archive
SBM Offshore N.V.,2020-06-11,Marshall Wace LLP,1.41,NL0000360618,archive
Unibail-Rodamco-Westfield SE,2020-06-11,Marshall Wace LLP,0.67,FR0013326246,archive
Unibail-Rodamco-Westfield SE,2020-06-11,"Maverick Capital, Ltd.",0.5,FR0013326246,archive
Fugro N.V.,2020-06-11,Sculptor Capital Management Europe Limited,1.71,NL0000352565,archive
Wereldhave N.V.,2020-06-11,Toscafund Asset Management LLP,1.4,NL0000289213,archive
Flow Traders Ltd.,2020-06-11,Voleon Capital Management LP,0.61,NL0011279492,archive
AMG Critical Materials N.V.,2020-06-10,Canada Pension Plan Investment Board,0.69,NL0000888691,archive
AMG Critical Materials N.V.,2020-06-10,Citadel Advisors LLC,0.47,NL0000888691,archive
Fugro N.V.,2020-06-10,HBK Investments LP,0.6,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-06-10,HBK Investments LP,0.7,NL0000337319,archive
ARCADIS N.V.,2020-06-10,Lansdowne Partners (UK) LLP,1.88,NL0006237562,archive
Flow Traders Ltd.,2020-06-10,Marshall Wace LLP,1.7,NL0011279492,archive
Fugro N.V.,2020-06-10,Sculptor Capital Management Europe Limited,1.67,NL0000352565,archive
Unibail-Rodamco-Westfield SE,2020-06-10,"Woodson Capital Master Fund, LP",0.61,FR0013326246,archive
Koninklijke BAM Groep N.V.,2020-06-10,"WorldQuant, LLC",1.04,NL0000337319,archive
Koninklijke Vopak N.V.,2020-06-09,"AQR Capital Management, LLC",0.69,NL0009432491,archive
SBM Offshore N.V.,2020-06-09,"AQR Capital Management, LLC",2.49,NL0000360618,archive
Fugro N.V.,2020-06-09,B&G Master Fund Plc,0.82,NL0000352565,archive
Pharming Group N.V.,2020-06-09,Citadel Advisors LLC,0.53,NL0010391025,archive
Wereldhave N.V.,2020-06-09,"Connor, Clark & Lunn Investment Management Ltd.",1.18,NL0000289213,archive
Unibail-Rodamco-Westfield SE,2020-06-09,D1 Capital Partners LP,3.42,FR0013326246,archive
Wereldhave N.V.,2020-06-09,Eleva Capital SAS,0.72,NL0000289213,archive
AMG Critical Materials N.V.,2020-06-09,JPMorgan Asset Management (UK) Ltd.,1.5,NL0000888691,archive
Unibail-Rodamco-Westfield SE,2020-06-09,Marshall Wace LLP,0.5,FR0013326246,archive
Wereldhave N.V.,2020-06-09,Toscafund Asset Management LLP,1.21,NL0000289213,archive
Unibail-Rodamco-Westfield SE,2020-06-09,Viking Global Investors LP,0.95,FR0013326246,archive
Koninklijke BAM Groep N.V.,2020-06-09,"WorldQuant, LLC",1.1,NL0000337319,archive
Koninklijke Vopak N.V.,2020-06-08,"AQR Capital Management, LLC",0.7,NL0009432491,archive
ArcelorMittal S.A.,2020-06-08,B&G Master Fund Plc,1.64,LU1598757687,archive
Fugro N.V.,2020-06-08,B&G Master Fund Plc,0.73,NL0000352565,archive
Wereldhave N.V.,2020-06-08,"Bloom Tree Partners, LLC",0.0,NL0000289213,archive
AMG Critical Materials N.V.,2020-06-08,Canada Pension Plan Investment Board,0.79,NL0000888691,archive
ArcelorMittal S.A.,2020-06-08,"D. E. Shaw & Co., L.P.",0.51,LU1598757687,archive
Unibail-Rodamco-Westfield SE,2020-06-08,D1 Capital Partners LP,3.35,FR0013326246,archive
Fugro N.V.,2020-06-08,GSA Capital Partners LLP,0.18,NL0000352565,archive
Fugro N.V.,2020-06-08,HBK Investments LP,0.44,NL0000352565,archive
Unibail-Rodamco-Westfield SE,2020-06-08,Lone Pine Capital LLC,0.81,FR0013326246,archive
Wereldhave N.V.,2020-06-08,"Lucerne Capital Management, L.P.",0.62,NL0000289213,archive
Fugro N.V.,2020-06-08,Marshall Wace LLP,2.99,NL0000352565,archive
SBM Offshore N.V.,2020-06-08,Marshall Wace LLP,1.38,NL0000360618,archive
Unibail-Rodamco-Westfield SE,2020-06-08,Marshall Wace LLP,0.45,FR0013326246,archive
AEGON Ltd.,2020-06-08,"Samlyn Capital, LLC",0.55,NL0000303709,archive
Fugro N.V.,2020-06-08,Sculptor Capital Management Europe Limited,1.53,NL0000352565,archive
Wereldhave N.V.,2020-06-08,Toscafund Asset Management LLP,1.14,NL0000289213,archive
Unibail-Rodamco-Westfield SE,2020-06-08,Viking Global Investors LP,0.76,FR0013326246,archive
Fugro N.V.,2020-06-08,Whitebox Advisors LLC,1.11,NL0000352565,archive
Unibail-Rodamco-Westfield SE,2020-06-08,"Woodson Capital Master Fund, LP",0.55,FR0013326246,archive
Alfen N.V.,2020-06-08,"WorldQuant, LLC",0.48,NL0012817175,archive
ARCADIS N.V.,2020-06-05,AKO Capital LLP,1.04,NL0006237562,archive
Aperam S.A.,2020-06-05,Citadel Advisors LLC,0.59,LU0569974404,archive
Koninklijke BAM Groep N.V.,2020-06-05,Citadel Advisors LLC,0.98,NL0000337319,archive
Unibail-Rodamco-Westfield SE,2020-06-05,D1 Capital Partners LP,3.28,FR0013326246,archive
Fugro N.V.,2020-06-05,GSA Capital Partners LLP,0.56,NL0000352565,archive
Fugro N.V.,2020-06-05,HBK Investments LP,0.54,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-06-05,HBK Investments LP,0.64,NL0000337319,archive
Koninklijke BAM Groep N.V.,2020-06-05,Marshall Wace LLP,0.52,NL0000337319,archive
Unibail-Rodamco-Westfield SE,2020-06-05,Marshall Wace LLP,0.58,FR0013326246,archive
Unibail-Rodamco-Westfield SE,2020-06-05,Oceanwood Capital Management LLP,0.42,FR0013326246,archive
BE Semiconductor Industries N.V.,2020-06-05,Scopia Capital Management LP,1.29,NL0012866412,archive
Fugro N.V.,2020-06-05,Sculptor Capital Management Europe Limited,1.83,NL0000352565,archive
Unibail-Rodamco-Westfield SE,2020-06-05,Tiger Global Management LLC,0.67,FR0013326246,archive
AMG Critical Materials N.V.,2020-06-05,TT International Asset Management Limited,0.33,NL0000888691,archive
Unibail-Rodamco-Westfield SE,2020-06-05,"Woodson Capital Master Fund, LP",0.62,FR0013326246,archive
Akzo Nobel N.V.,2020-06-04,AKO Capital LLP,0.5,NL0013267909,archive
ARCADIS N.V.,2020-06-04,AKO Capital LLP,0.9,NL0006237562,archive
AMG Critical Materials N.V.,2020-06-04,Canada Pension Plan Investment Board,0.88,NL0000888691,archive
Unibail-Rodamco-Westfield SE,2020-06-04,Oceanwood Capital Management LLP,0.64,FR0013326246,archive
BE Semiconductor Industries N.V.,2020-06-04,Scopia Capital Management LP,1.13,NL0012866412,archive
Fugro N.V.,2020-06-04,Systematica Investments Limited,0.91,NL0000352565,archive
Flow Traders Ltd.,2020-06-04,Voleon Capital Management LP,0.59,NL0011279492,archive
Eurocommercial Properties N.V.,2020-06-04,"WorldQuant, LLC",0.48,NL0000288876,archive
Koninklijke BAM Groep N.V.,2020-06-04,"WorldQuant, LLC",1.26,NL0000337319,archive
AMG Critical Materials N.V.,2020-06-03,Canada Pension Plan Investment Board,1.08,NL0000888691,archive
Wereldhave N.V.,2020-06-03,Carmignac Gestion SA,0.26,NL0000289213,archive
AMG Critical Materials N.V.,2020-06-03,Citadel Advisors LLC,0.5,NL0000888691,archive
Unibail-Rodamco-Westfield SE,2020-06-03,Oceanwood Capital Management LLP,0.51,FR0013326246,archive
Fugro N.V.,2020-06-03,TFG Asset Management UK LLP,0.51,NL0000352565,archive
Unibail-Rodamco-Westfield SE,2020-06-03,"Woodson Capital Master Fund, LP",0.75,FR0013326246,archive
Alfen N.V.,2020-06-03,"WorldQuant, LLC",0.58,NL0012817175,archive
ARCADIS N.V.,2020-06-02,AKO Capital LLP,0.87,NL0006237562,archive
Unibail-Rodamco-Westfield SE,2020-06-02,D1 Capital Partners LP,3.15,FR0013326246,archive
Wereldhave N.V.,2020-06-02,Eleva Capital SAS,0.66,NL0000289213,archive
Unibail-Rodamco-Westfield SE,2020-06-02,Lone Pine Capital LLC,0.99,FR0013326246,archive
Lakefront Biotherapeutics NV,2020-06-02,Marshall Wace LLP,0.72,BE0003818359,archive
Unibail-Rodamco-Westfield SE,2020-06-02,Marshall Wace LLP,0.67,FR0013326246,archive
Unibail-Rodamco-Westfield SE,2020-06-02,Oceanwood Capital Management LLP,0.41,FR0013326246,archive
PostNL N.V.,2020-06-02,"PDT Partners, LLC",0.49,NL0009739416,archive
Aperam S.A.,2020-06-01,Citadel Europe LLP,0.64,LU0569974404,archive
Unibail-Rodamco-Westfield SE,2020-06-01,D1 Capital Partners LP,2.76,FR0013326246,archive
Wereldhave N.V.,2020-06-01,Eleva Capital SAS,0.58,NL0000289213,archive
Fugro N.V.,2020-06-01,HBK Investments LP,0.65,NL0000352565,archive
Koninklijke BAM Groep N.V.,2020-06-01,HBK Investments LP,0.76,NL0000337319,archive
Unibail-Rodamco-Westfield SE,2020-06-01,Oceanwood Capital Management LLP,0.7,FR0013326246,archive
AMG Critical Materials N.V.,2020-06-01,TT International Asset Management Limited,0.58,NL0000888691,archive
