issuer_name,position_date,position_holder,net_short_position,isin,source
Adyen N.V.,2026-06-04,"AQR Capital Management, LLC",1.07,NL0012969182,current
Akzo Nobel N.V.,2026-06-04,"BlackRock Advisors, LLC",0.65,NL0013267909,current
Pharming Group N.V.,2026-06-04,"D. E. Shaw & Co., L.P.",0.7,NL0010391025,current
Akzo Nobel N.V.,2026-06-04,Davidson Kempner Capital Management LP,1.17,NL0013267909,current
Akzo Nobel N.V.,2026-06-04,LMR Partners LLP,0.91,NL0013267909,current
Signify N.V.,2026-06-04,Squarepoint Ops LLC,0.62,NL0011821392,current
CVC Capital Partners plc,2026-06-03,"AQR Capital Management, LLC",0.69,JE00BRX98089,current
Adyen N.V.,2026-06-03,Capital Fund Management S.A.,0.52,NL0012969182,current
Akzo Nobel N.V.,2026-06-03,Davidson Kempner Capital Management LP,1.02,NL0013267909,current
Akzo Nobel N.V.,2026-06-03,LMR Partners LLP,0.83,NL0013267909,current
DSM-Firmenich AG,2026-06-03,Marshall Wace LLP,0.91,CH1216478797,current
The Magnum Ice Cream Company N.V.,2026-06-03,Marshall Wace LLP,0.81,NL0015002MS2,current
Pharming Group N.V.,2026-06-03,Whitebox Advisors LLC,0.58,NL0010391025,current
Pharming Group N.V.,2026-06-02,"D. E. Shaw & Co., L.P.",0.62,NL0010391025,current
Fugro N.V.,2026-06-02,JPMorgan Asset Management (UK) Ltd.,2.2,NL00150003E1,current
Basic-Fit N.V.,2026-06-02,Sculptor Capital Management Europe Limited,0.79,NL0011872650,current
Pharming Group N.V.,2026-06-02,Walleye Capital LLC,1.02,NL0010391025,current
NSI N.V.,2026-06-01,Numeric Investors LLC,0.81,NL0012365084,current
Aalberts N.V.,2026-05-29,"AQR Capital Management, LLC",0.59,NL0000852564,current
IMCD N.V.,2026-05-29,"BlackRock Financial Management, Inc.",0.69,NL0010801007,current
Signify N.V.,2026-05-29,"BlackRock Financial Management, Inc.",0.83,NL0011821392,current
Signify N.V.,2026-05-29,Citadel Advisors Europe Limited,1.0,NL0011821392,current
Akzo Nobel N.V.,2026-05-29,Davidson Kempner Capital Management LP,0.58,NL0013267909,current
DSM-Firmenich AG,2026-05-29,Ilex Capital Partners (UK) LLP,1.85,CH1216478797,current
DSM-Firmenich AG,2026-05-29,Marshall Wace LLP,0.85,CH1216478797,current
Signify N.V.,2026-05-29,"PDT Partners, LLC",1.11,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-05-29,Qube Research & Technologies Ltd.,0.83,NL0015002MS2,current
Signify N.V.,2026-05-29,Squarepoint Ops LLC,0.5,NL0011821392,current
Pharming Group N.V.,2026-05-29,"Two Sigma Investments, LP",1.09,NL0010391025,current
Adyen N.V.,2026-05-28,"AQR Capital Management, LLC",1.18,NL0012969182,current
Akzo Nobel N.V.,2026-05-28,Davidson Kempner Capital Management LP,0.66,NL0013267909,current
Basic-Fit N.V.,2026-05-28,Linden Advisors LP,0.87,NL0011872650,current
InPost S.A.,2026-05-28,"Two Sigma Investments, LP",1.18,LU2290522684,current
Pharming Group N.V.,2026-05-28,Walleye Capital LLC,0.92,NL0010391025,current
Akzo Nobel N.V.,2026-05-27,"AQR Capital Management, LLC",0.6,NL0013267909,current
Wereldhave N.V.,2026-05-27,Citadel Advisors LLC,0.91,NL0000289213,current
Pharming Group N.V.,2026-05-27,"D. E. Shaw & Co., L.P.",0.58,NL0010391025,current
Akzo Nobel N.V.,2026-05-27,Davidson Kempner Capital Management LP,1.01,NL0013267909,current
NSI N.V.,2026-05-27,Numeric Investors LLC,0.79,NL0012365084,current
The Magnum Ice Cream Company N.V.,2026-05-27,Qube Research & Technologies Ltd.,0.78,NL0015002MS2,current
Signify N.V.,2026-05-26,"AQR Capital Management, LLC",1.18,NL0011821392,current
IMCD N.V.,2026-05-26,"Arrowstreet Capital, Limited Partnership",1.3,NL0010801007,current
IMCD N.V.,2026-05-26,Capital Fund Management S.A.,0.8,NL0010801007,current
DSM-Firmenich AG,2026-05-26,Citadel Advisors LLC,0.91,CH1216478797,current
Pharming Group N.V.,2026-05-26,"D. E. Shaw & Co., L.P.",0.61,NL0010391025,current
PostNL N.V.,2026-05-26,Marshall Wace LLP,0.75,NL0009739416,current
Signify N.V.,2026-05-26,Marshall Wace LLP,1.6,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-05-26,Qube Research & Technologies Ltd.,0.8,NL0015002MS2,current
Pharming Group N.V.,2026-05-25,"D. E. Shaw & Co., L.P.",0.58,NL0010391025,current
IMCD N.V.,2026-05-25,"PDT Partners, LLC",0.8,NL0010801007,current
Basic-Fit N.V.,2026-05-25,Sculptor Capital Management Europe Limited,0.8,NL0011872650,current
Fugro N.V.,2026-05-22,"Algert Global, LLC",0.53,NL00150003E1,current
Signify N.V.,2026-05-22,Citadel Advisors Europe Limited,0.98,NL0011821392,current
DSM-Firmenich AG,2026-05-22,Citadel Advisors LLC,0.86,CH1216478797,current
