isin,net_short_position,position_date,issuer_name,position_holder,source
JE00BRX98089,0.61,2026-04-02,CVC Capital Partners plc,"AQR Capital Management, LLC",current
NL0010801007,0.99,2026-04-02,IMCD N.V.,"BlackRock Financial Management, Inc.",current
NL0000817179,0.5,2026-04-02,Sligro Food Group N.V.,Citadel Advisors LLC,current
NL0006237562,0.7,2026-04-02,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",current
NL0011872650,0.62,2026-04-02,Basic-Fit N.V.,Eleva Capital SAS,current
NL0000379121,0.78,2026-04-02,Randstad N.V.,Marshall Wace LLP,current
LU1598757687,0.61,2026-04-01,ArcelorMittal S.A.,"AQR Capital Management, LLC",current
NL0011821392,1.1,2026-04-01,Signify N.V.,"AQR Capital Management, LLC",current
NL0010801007,1.21,2026-04-01,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",current
NL0011821392,0.74,2026-04-01,Signify N.V.,Canada Pension Plan Investment Board,current
NL0011821392,2.36,2026-04-01,Signify N.V.,Citadel Advisors LLC,current
NL0006237562,0.69,2026-04-01,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",current
NL0011872650,0.5,2026-04-01,Basic-Fit N.V.,Eleva Capital SAS,current
NL0011821392,1.79,2026-04-01,Signify N.V.,Marshall Wace LLP,current
NL0012817175,2.86,2026-04-01,Alfen N.V.,"WorldQuant, LLC",current
NL0010801007,0.62,2026-03-31,IMCD N.V.,Capital Fund Management S.A.,current
NL0011821392,2.4,2026-03-31,Signify N.V.,Citadel Advisors LLC,current
NL0012817175,1.09,2026-03-31,Alfen N.V.,"D. E. Shaw & Co., L.P.",current
NL0011821392,1.21,2026-03-31,Signify N.V.,Eleva Capital SAS,current
JE00BRX98089,0.9,2026-03-31,CVC Capital Partners plc,Qube Research & Technologies Ltd.,current
NL0012969182,0.9,2026-03-30,Adyen N.V.,"AQR Capital Management, LLC",current
NL0011821392,1.05,2026-03-30,Signify N.V.,Eleva Capital SAS,current
NL0015002MS2,0.64,2026-03-30,The Magnum Ice Cream Company N.V.,GLG Partners LP,current
CH1216478797,0.91,2026-03-30,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,current
NL0011821392,1.87,2026-03-30,Signify N.V.,Marshall Wace LLP,current
NL0015002MS2,1.59,2026-03-30,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
NL0012365084,0.61,2026-03-30,NSI N.V.,Numeric Investors LLC,current
NL0006237562,0.99,2026-03-30,ARCADIS N.V.,Squarepoint Ops LLC,current
CY0200751713,0.7,2026-03-30,Theon International Plc,"Two Sigma Investments, LP",current
NL0006237562,0.9,2026-03-27,ARCADIS N.V.,"AQR Capital Management, LLC",current
NL0010801007,1.12,2026-03-27,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",current
NL0010801007,1.09,2026-03-27,IMCD N.V.,"BlackRock Financial Management, Inc.",current
NL0010801007,0.51,2026-03-27,IMCD N.V.,Capital Fund Management S.A.,current
NL0006237562,0.7,2026-03-27,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",current
NL0010391025,0.59,2026-03-27,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",current
NL0015002MS2,0.59,2026-03-27,The Magnum Ice Cream Company N.V.,GLG Partners LP,current
NL0000379121,0.86,2026-03-27,Randstad N.V.,Marshall Wace LLP,current
NL0006237562,0.69,2026-03-26,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",current
NL0015002MS2,0.64,2026-03-26,The Magnum Ice Cream Company N.V.,Ilex Capital Partners (UK) LLP,current
NL0011821392,1.96,2026-03-26,Signify N.V.,Marshall Wace LLP,current
CY0200751713,1.14,2026-03-26,Theon International Plc,Qube Research & Technologies Ltd.,current
LU2290522684,1.5,2026-03-26,InPost S.A.,"Two Sigma Investments, LP",current
NL0010801007,0.5,2026-03-26,IMCD N.V.,Voleon Capital Management LP,current
NL0012817175,2.92,2026-03-26,Alfen N.V.,"WorldQuant, LLC",current
NL0010801007,0.71,2026-03-26,IMCD N.V.,"WorldQuant, LLC",current
NL0012969182,0.8,2026-03-25,Adyen N.V.,"AQR Capital Management, LLC",current
JE00BRX98089,0.5,2026-03-25,CVC Capital Partners plc,"AQR Capital Management, LLC",current
NL0015002MS2,0.6,2026-03-25,The Magnum Ice Cream Company N.V.,GLG Partners LP,current
CH1216478797,0.82,2026-03-25,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,current
NL0015002MS2,0.57,2026-03-25,The Magnum Ice Cream Company N.V.,Ilex Capital Partners (UK) LLP,current
NL0011821392,0.81,2026-03-25,Signify N.V.,Millennium Capital (DIFC) Limited,current
NL0010801007,0.6,2026-03-25,IMCD N.V.,Squarepoint Ops LLC,current
NL0010801007,0.56,2026-03-24,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,current
NL0010391025,1.14,2026-03-24,Pharming Group N.V.,Lazard Asset Management LLC,current
NL0000379121,0.91,2026-03-24,Randstad N.V.,Marshall Wace LLP,current
NL0011821392,2.0,2026-03-24,Signify N.V.,Marshall Wace LLP,current
NL0015002MS2,1.6,2026-03-24,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
NL0011821392,0.79,2026-03-24,Signify N.V.,Millennium Capital (DIFC) Limited,current
NL0010801007,0.9,2026-03-24,IMCD N.V.,"PDT Partners, LLC",current
JE00BRX98089,0.81,2026-03-24,CVC Capital Partners plc,Qube Research & Technologies Ltd.,current
NL0010801007,0.59,2026-03-24,IMCD N.V.,Squarepoint Ops LLC,current
LU2290522684,1.44,2026-03-24,InPost S.A.,"Two Sigma Investments, LP",current
CY0200751713,0.6,2026-03-24,Theon International Plc,"Two Sigma Investments, LP",current
NL0012817175,2.0,2026-03-24,Alfen N.V.,Voleon Capital Management LP,current
NL0015000GX8,0.62,2026-03-23,Envipco Holding N.V.,Actus Ray Partners Limited,current
NL0012969182,0.72,2026-03-23,Adyen N.V.,"AQR Capital Management, LLC",current
NL0010801007,1.01,2026-03-23,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",current
NL0011821392,0.6,2026-03-23,Signify N.V.,"BlackRock Financial Management, Inc.",current
NL0011821392,1.19,2026-03-23,Signify N.V.,Citadel Advisors Europe Limited,current
NL0011821392,2.3,2026-03-23,Signify N.V.,Citadel Advisors LLC,current
NL0012817175,1.18,2026-03-23,Alfen N.V.,"D. E. Shaw & Co., L.P.",current
NL0009739416,0.69,2026-03-23,PostNL N.V.,"D. E. Shaw & Co., L.P.",current
NL0015002MS2,0.51,2026-03-23,The Magnum Ice Cream Company N.V.,GLG Partners LP,current
NL0009739416,0.7,2026-03-23,PostNL N.V.,Marshall Wace LLP,current
CY0200751713,1.01,2026-03-23,Theon International Plc,Qube Research & Technologies Ltd.,current
NL0006237562,1.05,2026-03-23,ARCADIS N.V.,Squarepoint Ops LLC,current
NL0010801007,0.6,2026-03-23,IMCD N.V.,Squarepoint Ops LLC,current
LU2290522684,1.36,2026-03-23,InPost S.A.,"Two Sigma Investments, LP",current
NL0011821392,0.58,2026-03-20,Signify N.V.,"BlackRock Financial Management, Inc.",current
NL0012969182,0.7,2026-03-20,Adyen N.V.,Capital Fund Management S.A.,current
CH1216478797,0.75,2026-03-20,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,current
NL0000379121,0.83,2026-03-20,Randstad N.V.,Marshall Wace LLP,current
NL0015002MS2,1.52,2026-03-20,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
NL0011821392,0.8,2026-03-20,Signify N.V.,Millennium Capital (DIFC) Limited,current
CY0200751713,0.99,2026-03-20,Theon International Plc,Qube Research & Technologies Ltd.,current
NL0010801007,0.57,2026-03-20,IMCD N.V.,Squarepoint Ops LLC,current
NL0010801007,0.81,2026-03-20,IMCD N.V.,"Two Sigma Investments, LP",current
LU2290522684,1.26,2026-03-20,InPost S.A.,"Two Sigma Investments, LP",current
NL0013267909,1.31,2026-03-19,Akzo Nobel N.V.,AKO Capital LLP,current
NL0006237562,0.8,2026-03-19,ARCADIS N.V.,"AQR Capital Management, LLC",current
JE00BRX98089,0.6,2026-03-19,CVC Capital Partners plc,Marshall Wace LLP,current
NL0000379121,0.73,2026-03-19,Randstad N.V.,Marshall Wace LLP,current
NL0015002MS2,1.43,2026-03-19,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
NL0013332471,0.61,2026-03-19,TomTom N.V.,Winton Capital Management Limited,current
NL0012817175,2.83,2026-03-19,Alfen N.V.,"WorldQuant, LLC",current
NL0010801007,0.6,2026-03-19,IMCD N.V.,"WorldQuant, LLC",current
NL0012969182,0.6,2026-03-18,Adyen N.V.,"AQR Capital Management, LLC",current
NL0011821392,1.21,2026-03-18,Signify N.V.,Citadel Advisors Europe Limited,current
NL0013267909,0.52,2026-03-18,Akzo Nobel N.V.,"Empyrean Capital Overseas Master Fund, Ltd",current
CH1216478797,0.87,2026-03-18,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,current
CY0200751713,0.57,2026-03-18,Theon International Plc,Qube Research & Technologies Ltd.,current
LU2290522684,1.11,2026-03-18,InPost S.A.,"Two Sigma Investments, LP",current
NL0012817175,1.97,2026-03-18,Alfen N.V.,Voleon Capital Management LP,current
NL0012817175,2.98,2026-03-18,Alfen N.V.,"WorldQuant, LLC",current
JE00BRX98089,0.71,2026-03-17,CVC Capital Partners plc,Qube Research & Technologies Ltd.,current
NL0015002MS2,1.3,2026-03-16,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
NL0010801007,0.8,2026-03-16,IMCD N.V.,"PDT Partners, LLC",current
NL0010801007,0.63,2026-03-16,IMCD N.V.,Squarepoint Ops LLC,current
NL0012817175,3.08,2026-03-16,Alfen N.V.,"WorldQuant, LLC",current
NL0012969182,0.52,2026-03-13,Adyen N.V.,"AQR Capital Management, LLC",current
CH1216478797,0.98,2026-03-13,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,current
JE00BRX98089,0.52,2026-03-13,CVC Capital Partners plc,Marshall Wace LLP,current
NL0000379121,0.61,2026-03-13,Randstad N.V.,Marshall Wace LLP,current
NL0012817175,3.14,2026-03-13,Alfen N.V.,"WorldQuant, LLC",current
NL0010801007,0.52,2026-03-13,IMCD N.V.,"WorldQuant, LLC",current
NL0015000GX8,0.54,2026-03-12,Envipco Holding N.V.,Actus Ray Partners Limited,current
NL0011821392,0.65,2026-03-12,Signify N.V.,Canada Pension Plan Investment Board,current
NL0010801007,0.64,2026-03-12,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,current
NL0006237562,1.1,2026-03-12,ARCADIS N.V.,Squarepoint Ops LLC,current
NL0010801007,0.5,2026-03-12,IMCD N.V.,Squarepoint Ops LLC,current
NL0011821392,0.57,2026-03-11,Signify N.V.,Canada Pension Plan Investment Board,current
NL0012969182,0.6,2026-03-11,Adyen N.V.,Capital Fund Management S.A.,current
NL0011821392,2.24,2026-03-11,Signify N.V.,Citadel Advisors LLC,current
NL0011821392,1.91,2026-03-11,Signify N.V.,Marshall Wace LLP,current
NL0011821392,2.17,2026-03-10,Signify N.V.,Citadel Advisors LLC,current
NL0010391025,0.96,2026-03-10,Pharming Group N.V.,Lazard Asset Management LLC,current
NL0015002MS2,1.21,2026-03-10,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
LU2290522684,1.03,2026-03-10,InPost S.A.,"Two Sigma Investments, LP",current
NL0013332471,0.52,2026-03-10,TomTom N.V.,Winton Capital Management Limited,current
NL0010801007,0.72,2026-03-09,IMCD N.V.,Acadian Asset Management LLC.,current
NL0013267909,1.21,2026-03-09,Akzo Nobel N.V.,AKO Capital LLP,current
NL0012969182,0.51,2026-03-09,Adyen N.V.,Capital Fund Management S.A.,current
NL0011821392,1.18,2026-03-09,Signify N.V.,Citadel Advisors Europe Limited,current
NL0009739416,0.69,2026-03-09,PostNL N.V.,Citadel Advisors LLC,current
NL0011821392,2.06,2026-03-09,Signify N.V.,Citadel Advisors LLC,current
NL0012817175,1.29,2026-03-09,Alfen N.V.,"D. E. Shaw & Co., L.P.",current
NL0010801007,0.71,2026-03-09,IMCD N.V.,"Two Sigma Investments, LP",current
NL0015000IY2,0.6,2026-03-06,Universal Music Group N.V.,"AQR Capital Management, LLC",current
NL0010801007,0.7,2026-03-06,IMCD N.V.,"BlackRock Advisors, LLC",current
NL0011821392,1.88,2026-03-06,Signify N.V.,Citadel Advisors LLC,current
NL00150003E1,0.81,2026-03-06,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,current
NL0006237562,1.09,2026-03-06,ARCADIS N.V.,Squarepoint Ops LLC,current
NL0010801007,1.1,2026-03-05,IMCD N.V.,"BlackRock Financial Management, Inc.",current
NL0000289213,0.63,2026-03-05,Wereldhave N.V.,Citadel Advisors LLC,current
NL0000379121,0.5,2026-03-05,Randstad N.V.,Marshall Wace LLP,current
NL0015002MS2,1.11,2026-03-05,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
JE00BRX98089,0.6,2026-03-05,CVC Capital Partners plc,Qube Research & Technologies Ltd.,current
CY0200751713,0.64,2026-03-05,Theon International Plc,Qube Research & Technologies Ltd.,current
NL0010801007,0.61,2026-03-04,IMCD N.V.,Acadian Asset Management LLC.,current
NL0000852564,0.52,2026-03-04,Aalberts N.V.,"AQR Capital Management, LLC",current
NL0011821392,1.03,2026-03-04,Signify N.V.,"AQR Capital Management, LLC",current
NL0010801007,1.06,2026-03-04,IMCD N.V.,"BlackRock Financial Management, Inc.",current
NL0009739416,0.7,2026-03-04,PostNL N.V.,Citadel Advisors LLC,current
NL0011821392,1.87,2026-03-04,Signify N.V.,Marshall Wace LLP,current
NL0010801007,0.71,2026-03-04,IMCD N.V.,"PDT Partners, LLC",current
