isin,position_holder,position_date,issuer_name,net_short_position,source
NL0011821392,Citadel Advisors LLC,2026-05-06,Signify N.V.,1.41,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-05-06,DSM-Firmenich AG,1.4,current
JE00BRX98089,Marshall Wace LLP,2026-05-06,CVC Capital Partners plc,0.69,current
NL0010801007,Marshall Wace LLP,2026-05-06,IMCD N.V.,0.83,current
NL0010801007,"PDT Partners, LLC",2026-05-06,IMCD N.V.,0.77,current
NL0011821392,"PDT Partners, LLC",2026-05-06,Signify N.V.,0.9,current
NL0011821392,Citadel Advisors Europe Limited,2026-05-05,Signify N.V.,0.8,current
NL0010801007,Citadel Advisors LLC,2026-05-05,IMCD N.V.,0.9,current
NL0011821392,Citadel Advisors LLC,2026-05-05,Signify N.V.,1.36,current
NL0011872650,"D. E. Shaw & Co., L.P.",2026-05-05,Basic-Fit N.V.,0.98,current
NL0009739416,"D. E. Shaw & Co., L.P.",2026-05-05,PostNL N.V.,0.7,current
NL0013332471,JPMorgan Asset Management (UK) Ltd.,2026-05-05,TomTom N.V.,1.09,current
NL0011821392,Marshall Wace LLP,2026-05-05,Signify N.V.,1.76,current
NL0011872650,Sculptor Capital Management Europe Limited,2026-05-05,Basic-Fit N.V.,0.65,current
NL0010801007,Capital Fund Management S.A.,2026-05-04,IMCD N.V.,0.81,current
NL0011821392,Citadel Advisors Europe Limited,2026-05-04,Signify N.V.,0.7,current
NL0009739416,"D. E. Shaw & Co., L.P.",2026-05-04,PostNL N.V.,0.69,current
NL0013267909,Davidson Kempner Capital Management LP,2026-05-04,Akzo Nobel N.V.,1.61,current
NL0015002MS2,Walleye Capital LLC,2026-05-04,The Magnum Ice Cream Company N.V.,0.67,current
NL0011821392,Citadel Advisors Europe Limited,2026-04-30,Signify N.V.,0.55,current
NL0006237562,"D. E. Shaw & Co., L.P.",2026-04-30,ARCADIS N.V.,0.57,current
NL0009739416,"D. E. Shaw & Co., L.P.",2026-04-30,PostNL N.V.,0.7,current
NL0010391025,Jupiter Asset Management Ltd.,2026-04-30,Pharming Group N.V.,0.5,current
NL0009739416,Marshall Wace LLP,2026-04-30,PostNL N.V.,0.89,current
NL0015002MS2,Marshall Wace LLP,2026-04-30,The Magnum Ice Cream Company N.V.,0.86,current
NL0011821392,"PDT Partners, LLC",2026-04-30,Signify N.V.,0.89,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-04-30,The Magnum Ice Cream Company N.V.,0.6,current
NL0011872650,Sculptor Capital Management Europe Limited,2026-04-30,Basic-Fit N.V.,0.59,current
NL0012817175,Squarepoint Ops LLC,2026-04-30,Alfen N.V.,0.73,current
NL0006237562,White Creek Capital LLP,2026-04-30,ARCADIS N.V.,0.56,current
NL0010801007,Citadel Advisors LLC,2026-04-29,IMCD N.V.,0.83,current
NL0011821392,Citadel Advisors LLC,2026-04-29,Signify N.V.,1.29,current
NL0000817179,Citadel Advisors LLC,2026-04-29,Sligro Food Group N.V.,0.9,current
NL0000395903,"D. E. Shaw & Co., L.P.",2026-04-29,Wolters Kluwer N.V.,0.79,current
JE00BRX98089,Marshall Wace LLP,2026-04-29,CVC Capital Partners plc,0.71,current
NL0010801007,Marshall Wace LLP,2026-04-29,IMCD N.V.,0.74,current
NL0009739416,Marshall Wace LLP,2026-04-29,PostNL N.V.,0.9,current
NL0011821392,"PDT Partners, LLC",2026-04-29,Signify N.V.,0.9,current
NL0015002MS2,Walleye Capital LLC,2026-04-29,The Magnum Ice Cream Company N.V.,0.7,current
NL0010801007,Citadel Advisors LLC,2026-04-28,IMCD N.V.,0.75,current
NL0011821392,Citadel Advisors LLC,2026-04-28,Signify N.V.,1.32,current
NL0013332471,JPMorgan Asset Management (UK) Ltd.,2026-04-28,TomTom N.V.,1.17,current
NL0011821392,Marshall Wace LLP,2026-04-28,Signify N.V.,1.8,current
NL0015002MS2,Marshall Wace LLP,2026-04-28,The Magnum Ice Cream Company N.V.,0.98,current
NL0012817175,Squarepoint Ops LLC,2026-04-28,Alfen N.V.,0.62,current
NL0012969182,"AQR Capital Management, LLC",2026-04-27,Adyen N.V.,1.27,current
NL0011821392,Citadel Advisors LLC,2026-04-27,Signify N.V.,1.43,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-04-27,DSM-Firmenich AG,1.3,current
NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-04-27,Fugro N.V.,2.15,current
NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-04-24,Fugro N.V.,2.06,current
NL0011872650,Linden Advisors LP,2026-04-24,Basic-Fit N.V.,0.82,current
NL0010801007,Marshall Wace LLP,2026-04-24,IMCD N.V.,0.61,current
NL0015002MS2,Marshall Wace LLP,2026-04-24,The Magnum Ice Cream Company N.V.,1.04,current
NL0011821392,Citadel Advisors LLC,2026-04-23,Signify N.V.,1.68,current
NL0000817179,Citadel Advisors LLC,2026-04-23,Sligro Food Group N.V.,0.8,current
NL0011872650,Eleva Capital SAS,2026-04-23,Basic-Fit N.V.,0.84,current
NL0015002MS2,Marshall Wace LLP,2026-04-23,The Magnum Ice Cream Company N.V.,1.11,current
NL0012817175,Squarepoint Ops LLC,2026-04-23,Alfen N.V.,0.5,current
NL0010391025,Capstone Volatility Master (Cayman) Limited,2026-04-22,Pharming Group N.V.,0.77,current
NL0010801007,Citadel Advisors LLC,2026-04-22,IMCD N.V.,0.62,current
NL0011821392,Citadel Advisors LLC,2026-04-22,Signify N.V.,1.71,current
NL0000289213,Citadel Advisors LLC,2026-04-22,Wereldhave N.V.,0.68,current
NL0013267909,Davidson Kempner Capital Management LP,2026-04-22,Akzo Nobel N.V.,1.55,current
NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-04-22,Fugro N.V.,1.73,current
NL0010801007,Marshall Wace LLP,2026-04-22,IMCD N.V.,0.56,current
NL0011821392,Marshall Wace LLP,2026-04-22,Signify N.V.,1.76,current
