position_holder,net_short_position,issuer_name,isin,position_date,source
"PDT Partners, LLC",1.3,Signify N.V.,NL0011821392,2026-06-22,current
Qube Research & Technologies Ltd.,0.6,CSG N.V.,NL0015073TS8,2026-06-22,current
SQUARE CIRCLE IA LP,0.61,Basic-Fit N.V.,NL0011872650,2026-06-22,current
"Two Sigma Investments, LP",1.1,Pharming Group N.V.,NL0010391025,2026-06-22,current
"WorldQuant, LLC",0.74,Alfen N.V.,NL0012817175,2026-06-22,current
Capital Fund Management S.A.,1.0,IMCD N.V.,NL0010801007,2026-06-19,current
Capstone Volatility Master (Cayman) Limited,0.83,Pharming Group N.V.,NL0010391025,2026-06-19,current
Citadel Advisors LLC,0.96,DSM-Firmenich AG,CH1216478797,2026-06-19,current
Citadel Advisors LLC,1.3,Signify N.V.,NL0011821392,2026-06-19,current
"D. E. Shaw & Co., L.P.",0.79,Basic-Fit N.V.,NL0011872650,2026-06-19,current
Marshall Wace LLP,0.91,DSM-Firmenich AG,CH1216478797,2026-06-19,current
"Point72 Asset Management, L.P.",0.56,Fugro N.V.,NL00150003E1,2026-06-19,current
Qube Research & Technologies Ltd.,0.79,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-06-19,current
Spark Investment Management LLC,0.52,Pharming Group N.V.,NL0010391025,2026-06-19,current
"WorldQuant, LLC",0.68,Alfen N.V.,NL0012817175,2026-06-19,current
Capital Fund Management S.A.,0.71,Adyen N.V.,NL0012969182,2026-06-18,current
"Farallon Capital Management, L.L.C.",0.85,Signify N.V.,NL0011821392,2026-06-18,current
Marshall Wace LLP,0.8,PostNL N.V.,NL0009739416,2026-06-18,current
Millennium International Management LP,0.62,Alfen N.V.,NL0012817175,2026-06-18,current
"PDT Partners, LLC",0.79,IMCD N.V.,NL0010801007,2026-06-18,current
SQUARE CIRCLE IA LP,0.54,Basic-Fit N.V.,NL0011872650,2026-06-18,current
"WorldQuant, LLC",0.71,Alfen N.V.,NL0012817175,2026-06-18,current
"AQR Capital Management, LLC",0.89,Adyen N.V.,NL0012969182,2026-06-17,current
"Arrowstreet Capital, Limited Partnership",1.29,IMCD N.V.,NL0010801007,2026-06-17,current
"BlackRock Financial Management, Inc.",0.79,Signify N.V.,NL0011821392,2026-06-17,current
Capital Fund Management S.A.,0.51,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-06-17,current
Citadel Advisors LLC,1.46,Signify N.V.,NL0011821392,2026-06-17,current
Citadel Advisors LLC,0.89,Sligro Food Group N.V.,NL0000817179,2026-06-17,current
"Farallon Capital Management, L.L.C.",0.75,Signify N.V.,NL0011821392,2026-06-17,current
Ilex Capital Partners (UK) LLP,1.91,DSM-Firmenich AG,CH1216478797,2026-06-17,current
Marshall Wace LLP,1.51,Signify N.V.,NL0011821392,2026-06-17,current
Qube Research & Technologies Ltd.,0.88,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-06-17,current
Capital Fund Management S.A.,0.62,Adyen N.V.,NL0012969182,2026-06-16,current
Davidson Kempner Capital Management LP,1.3,Akzo Nobel N.V.,NL0013267909,2026-06-16,current
"Farallon Capital Management, L.L.C.",0.61,Signify N.V.,NL0011821392,2026-06-16,current
Winton Capital Management Limited,0.51,PostNL N.V.,NL0009739416,2026-06-16,current
"WorldQuant, LLC",0.63,Alfen N.V.,NL0012817175,2026-06-16,current
"WorldQuant, LLC",0.51,Sligro Food Group N.V.,NL0000817179,2026-06-16,current
"Farallon Capital Management, L.L.C.",0.56,Signify N.V.,NL0011821392,2026-06-15,current
Marshall Wace LLP,0.9,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-06-15,current
Millennium International Management LP,0.5,Akzo Nobel N.V.,NL0013267909,2026-06-15,current
"O'Connor Alternative Investments, LLC",1.09,Akzo Nobel N.V.,NL0013267909,2026-06-15,current
Qube Research & Technologies Ltd.,0.9,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-06-15,current
"BlackRock Advisors, LLC",0.7,Akzo Nobel N.V.,NL0013267909,2026-06-12,current
Citadel Advisors LLC,1.56,Signify N.V.,NL0011821392,2026-06-12,current
Marshall Wace LLP,0.59,CVC Capital Partners plc,JE00BRX98089,2026-06-12,current
Marshall Wace LLP,0.88,DSM-Firmenich AG,CH1216478797,2026-06-12,current
Marshall Wace LLP,1.48,Signify N.V.,NL0011821392,2026-06-12,current
Linden Advisors LP,0.75,Basic-Fit N.V.,NL0011872650,2026-06-11,current
Marshall Wace LLP,0.89,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-06-11,current
Qube Research & Technologies Ltd.,0.5,CSG N.V.,NL0015073TS8,2026-06-11,current
Qube Research & Technologies Ltd.,0.89,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-06-11,current
"WorldQuant, LLC",0.56,Alfen N.V.,NL0012817175,2026-06-11,current
"AQR Capital Management, LLC",0.99,Adyen N.V.,NL0012969182,2026-06-10,current
"AQR Capital Management, LLC",0.89,ARCADIS N.V.,NL0006237562,2026-06-10,current
Citadel Advisors LLC,1.6,Signify N.V.,NL0011821392,2026-06-10,current
Sculptor Capital Management Europe Limited,0.83,Basic-Fit N.V.,NL0011872650,2026-06-10,current
Walleye Capital LLC,1.1,Pharming Group N.V.,NL0010391025,2026-06-10,current
Capital Fund Management S.A.,0.9,IMCD N.V.,NL0010801007,2026-06-09,current
Citadel Advisors LLC,1.59,Signify N.V.,NL0011821392,2026-06-09,current
Citadel Advisors LLC,1.0,Wereldhave N.V.,NL0000289213,2026-06-09,current
LMR Partners LLP,1.12,Akzo Nobel N.V.,NL0013267909,2026-06-09,current
Marshall Wace LLP,0.9,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-06-09,current
Millennium International Management LP,0.5,Alfen N.V.,NL0012817175,2026-06-09,current
"Two Sigma Investments, LP",0.77,Theon International Plc,CY0200751713,2026-06-09,current
Citadel Advisors LLC,1.01,DSM-Firmenich AG,CH1216478797,2026-06-08,current
LMR Partners LLP,1.08,Akzo Nobel N.V.,NL0013267909,2026-06-08,current
"PDT Partners, LLC",1.2,Signify N.V.,NL0011821392,2026-06-08,current
"Two Sigma Investments, LP",1.09,InPost S.A.,LU2290522684,2026-06-08,current
"BlackRock Institutional Trust Company, National Association",0.51,Signify N.V.,NL0011821392,2026-06-05,current
Davidson Kempner Capital Management LP,1.24,Akzo Nobel N.V.,NL0013267909,2026-06-05,current
Marshall Wace LLP,1.59,Signify N.V.,NL0011821392,2026-06-05,current
Qube Research & Technologies Ltd.,0.92,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-06-05,current
"AQR Capital Management, LLC",1.07,Adyen N.V.,NL0012969182,2026-06-04,current
"BlackRock Advisors, LLC",0.65,Akzo Nobel N.V.,NL0013267909,2026-06-04,current
Davidson Kempner Capital Management LP,1.17,Akzo Nobel N.V.,NL0013267909,2026-06-04,current
LMR Partners LLP,0.91,Akzo Nobel N.V.,NL0013267909,2026-06-04,current
Squarepoint Ops LLC,0.62,Signify N.V.,NL0011821392,2026-06-04,current
"AQR Capital Management, LLC",0.69,CVC Capital Partners plc,JE00BRX98089,2026-06-03,current
Capital Fund Management S.A.,0.52,Adyen N.V.,NL0012969182,2026-06-03,current
Davidson Kempner Capital Management LP,1.02,Akzo Nobel N.V.,NL0013267909,2026-06-03,current
LMR Partners LLP,0.83,Akzo Nobel N.V.,NL0013267909,2026-06-03,current
Marshall Wace LLP,0.91,DSM-Firmenich AG,CH1216478797,2026-06-03,current
Marshall Wace LLP,0.81,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-06-03,current
Whitebox Advisors LLC,0.58,Pharming Group N.V.,NL0010391025,2026-06-03,current
JPMorgan Asset Management (UK) Ltd.,2.2,Fugro N.V.,NL00150003E1,2026-06-02,current
Sculptor Capital Management Europe Limited,0.79,Basic-Fit N.V.,NL0011872650,2026-06-02,current
Walleye Capital LLC,1.02,Pharming Group N.V.,NL0010391025,2026-06-02,current
Numeric Investors LLC,0.81,NSI N.V.,NL0012365084,2026-06-01,current
"AQR Capital Management, LLC",0.59,Aalberts N.V.,NL0000852564,2026-05-29,current
"BlackRock Financial Management, Inc.",0.69,IMCD N.V.,NL0010801007,2026-05-29,current
"BlackRock Financial Management, Inc.",0.83,Signify N.V.,NL0011821392,2026-05-29,current
Davidson Kempner Capital Management LP,0.58,Akzo Nobel N.V.,NL0013267909,2026-05-29,current
Ilex Capital Partners (UK) LLP,1.85,DSM-Firmenich AG,CH1216478797,2026-05-29,current
Marshall Wace LLP,0.85,DSM-Firmenich AG,CH1216478797,2026-05-29,current
"PDT Partners, LLC",1.11,Signify N.V.,NL0011821392,2026-05-29,current
Qube Research & Technologies Ltd.,0.83,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-05-29,current
Squarepoint Ops LLC,0.5,Signify N.V.,NL0011821392,2026-05-29,current
"Two Sigma Investments, LP",1.09,Pharming Group N.V.,NL0010391025,2026-05-29,current
"AQR Capital Management, LLC",1.18,Adyen N.V.,NL0012969182,2026-05-28,current
Davidson Kempner Capital Management LP,0.66,Akzo Nobel N.V.,NL0013267909,2026-05-28,current
Linden Advisors LP,0.87,Basic-Fit N.V.,NL0011872650,2026-05-28,current
"Two Sigma Investments, LP",1.18,InPost S.A.,LU2290522684,2026-05-28,current
Walleye Capital LLC,0.92,Pharming Group N.V.,NL0010391025,2026-05-28,current
"AQR Capital Management, LLC",0.6,Akzo Nobel N.V.,NL0013267909,2026-05-27,current
Citadel Advisors LLC,0.91,Wereldhave N.V.,NL0000289213,2026-05-27,current
Davidson Kempner Capital Management LP,1.01,Akzo Nobel N.V.,NL0013267909,2026-05-27,current
Numeric Investors LLC,0.79,NSI N.V.,NL0012365084,2026-05-27,current
Qube Research & Technologies Ltd.,0.78,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-05-27,current
"AQR Capital Management, LLC",1.18,Signify N.V.,NL0011821392,2026-05-26,current
"Arrowstreet Capital, Limited Partnership",1.3,IMCD N.V.,NL0010801007,2026-05-26,current
Capital Fund Management S.A.,0.8,IMCD N.V.,NL0010801007,2026-05-26,current
Citadel Advisors LLC,0.91,DSM-Firmenich AG,CH1216478797,2026-05-26,current
Marshall Wace LLP,0.75,PostNL N.V.,NL0009739416,2026-05-26,current
Marshall Wace LLP,1.6,Signify N.V.,NL0011821392,2026-05-26,current
Qube Research & Technologies Ltd.,0.8,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-05-26,current
"PDT Partners, LLC",0.8,IMCD N.V.,NL0010801007,2026-05-25,current
Sculptor Capital Management Europe Limited,0.8,Basic-Fit N.V.,NL0011872650,2026-05-25,current
"Algert Global, LLC",0.53,Fugro N.V.,NL00150003E1,2026-05-22,current
Citadel Advisors LLC,0.86,DSM-Firmenich AG,CH1216478797,2026-05-22,current
Citadel Advisors LLC,1.6,Signify N.V.,NL0011821392,2026-05-22,current
Marshall Wace LLP,0.78,DSM-Firmenich AG,CH1216478797,2026-05-22,current
"PDT Partners, LLC",0.79,IMCD N.V.,NL0010801007,2026-05-22,current
Walleye Capital LLC,0.8,Pharming Group N.V.,NL0010391025,2026-05-22,current
Canada Pension Plan Investment Board,1.0,Signify N.V.,NL0011821392,2026-05-21,current
