position_holder,net_short_position,issuer_name,isin,position_date,source
Citadel Advisors Europe Limited,0.42,InPost S.A.,LU2290522684,2022-04-11,archive
Millennium International Management LP,1.02,PostNL N.V.,NL0009739416,2022-04-11,archive
Pictet Asset Management Limited,0.64,Pharming Group N.V.,NL0010391025,2022-04-11,archive
Voleon Capital Management LP,0.53,PostNL N.V.,NL0009739416,2022-04-11,archive
Capital Fund Management S.A.,0.75,AMG Critical Materials N.V.,NL0000888691,2022-04-08,archive
Sandbar Assets Management LLP,1.0,Signify N.V.,NL0011821392,2022-04-08,archive
"WorldQuant, LLC",0.92,Koninklijke BAM Groep N.V.,NL0000337319,2022-04-08,archive
Citadel Advisors LLC,0.48,Pharming Group N.V.,NL0010391025,2022-04-07,archive
Citadel Advisors LLC,0.59,PostNL N.V.,NL0009739416,2022-04-07,archive
Marshall Wace LLP,0.49,InPost S.A.,LU2290522684,2022-04-07,archive
Millennium Capital Partners LLP,1.72,PostNL N.V.,NL0009739416,2022-04-07,archive
Millennium International Management LP,0.93,PostNL N.V.,NL0009739416,2022-04-07,archive
Pictet Asset Management Limited,0.79,Pharming Group N.V.,NL0010391025,2022-04-07,archive
BlackRock Investment Management (UK) Limited,0.58,Fugro N.V.,NL00150003E1,2022-04-06,archive
Citadel Advisors LLC,0.6,PostNL N.V.,NL0009739416,2022-04-06,archive
"Davidson Kempner European Partners, LLP",1.29,BE Semiconductor Industries N.V.,NL0012866412,2022-04-06,archive
Marshall Wace LLP,1.54,PostNL N.V.,NL0009739416,2022-04-06,archive
Marshall Wace LLP,0.62,Unibail-Rodamco-Westfield SE,FR0013326246,2022-04-06,archive
Millennium Capital Partners LLP,1.69,PostNL N.V.,NL0009739416,2022-04-06,archive
Millennium International Management LP,0.78,PostNL N.V.,NL0009739416,2022-04-06,archive
Pictet Asset Management Limited,0.86,Pharming Group N.V.,NL0010391025,2022-04-06,archive
"WorldQuant, LLC",0.8,Koninklijke BAM Groep N.V.,NL0000337319,2022-04-06,archive
BlackRock Investment Management (UK) Limited,1.42,Fugro N.V.,NL00150003E1,2022-04-05,archive
CapeView Capital LLP,0.68,Basic-Fit N.V.,NL0011872650,2022-04-05,archive
Marshall Wace LLP,0.9,ABN AMRO Bank NV,NL0011540547,2022-04-05,archive
Marshall Wace LLP,0.47,Lakefront Biotherapeutics NV,BE0003818359,2022-04-05,archive
Marshall Wace LLP,1.41,PostNL N.V.,NL0009739416,2022-04-05,archive
Millennium Capital Partners LLP,0.93,PostNL N.V.,NL0009739416,2022-04-05,archive
Millennium International Management LP,0.58,PostNL N.V.,NL0009739416,2022-04-05,archive
Pictet Asset Management Limited,0.94,Pharming Group N.V.,NL0010391025,2022-04-05,archive
Sandbar Assets Management LLP,0.96,Signify N.V.,NL0011821392,2022-04-05,archive
Citadel Advisors LLC,0.57,PostNL N.V.,NL0009739416,2022-04-04,archive
Marshall Wace LLP,0.5,InPost S.A.,LU2290522684,2022-04-04,archive
Millennium Capital Partners LLP,0.84,PostNL N.V.,NL0009739416,2022-04-04,archive
Sandbar Assets Management LLP,0.85,Signify N.V.,NL0011821392,2022-04-04,archive
Voleon Capital Management LP,0.48,Alfen N.V.,NL0012817175,2022-04-04,archive
"WorldQuant, LLC",0.73,Koninklijke BAM Groep N.V.,NL0000337319,2022-04-04,archive
"WorldQuant, LLC",0.49,TomTom N.V.,NL0013332471,2022-04-04,archive
AHL Partners LLP,0.69,Lakefront Biotherapeutics NV,BE0003818359,2022-04-01,archive
BlackRock Investment Management (UK) Limited,1.56,Fugro N.V.,NL00150003E1,2022-04-01,archive
"D. E. Shaw & Co., L.P.",0.48,BE Semiconductor Industries N.V.,NL0012866412,2022-04-01,archive
JPMorgan Asset Management (UK) Ltd.,0.5,CM.com N.V.,NL0012747059,2022-04-01,archive
Citadel Advisors Europe Limited,0.55,InPost S.A.,LU2290522684,2022-03-31,archive
Citadel Advisors LLC,0.5,TomTom N.V.,NL0013332471,2022-03-31,archive
"Davidson Kempner European Partners, LLP",1.32,BE Semiconductor Industries N.V.,NL0012866412,2022-03-31,archive
Kuvari Partners LLP,0.55,InPost S.A.,LU2290522684,2022-03-31,archive
Sandbar Assets Management LLP,0.72,Signify N.V.,NL0011821392,2022-03-31,archive
Citadel Advisors LLC,0.62,PostNL N.V.,NL0009739416,2022-03-30,archive
"D. E. Shaw & Co., L.P.",0.58,BE Semiconductor Industries N.V.,NL0012866412,2022-03-30,archive
Marshall Wace LLP,0.57,Alfen N.V.,NL0012817175,2022-03-30,archive
Marshall Wace LLP,0.58,Lakefront Biotherapeutics NV,BE0003818359,2022-03-30,archive
Millennium Capital Partners LLP,0.72,PostNL N.V.,NL0009739416,2022-03-30,archive
Citadel Advisors Europe Limited,0.61,InPost S.A.,LU2290522684,2022-03-29,archive
Citadel Advisors LLC,0.5,Pharming Group N.V.,NL0010391025,2022-03-29,archive
"D. E. Shaw & Co., L.P.",0.6,BE Semiconductor Industries N.V.,NL0012866412,2022-03-29,archive
Marshall Wace LLP,0.63,Alfen N.V.,NL0012817175,2022-03-29,archive
Marshall Wace LLP,0.49,InPost S.A.,LU2290522684,2022-03-29,archive
"WorldQuant, LLC",0.46,Flow Traders Ltd.,NL0011279492,2022-03-29,archive
"WorldQuant, LLC",0.58,TomTom N.V.,NL0013332471,2022-03-29,archive
Citadel Advisors Europe Limited,0.59,InPost S.A.,LU2290522684,2022-03-28,archive
Citadel Advisors LLC,0.49,Pharming Group N.V.,NL0010391025,2022-03-28,archive
Marshall Wace LLP,0.53,InPost S.A.,LU2290522684,2022-03-28,archive
Marshall Wace LLP,0.61,Koninklijke Philips N.V.,NL0000009538,2022-03-28,archive
Marshall Wace LLP,1.37,PostNL N.V.,NL0009739416,2022-03-28,archive
Marshall Wace LLP,0.5,Unibail-Rodamco-Westfield SE,FR0013326246,2022-03-28,archive
"Woodson Capital Master Fund, LP",3.39,Wereldhave N.V.,NL0000289213,2022-03-28,archive
"Arrowstreet Capital, Limited Partnership",1.0,Alfen N.V.,NL0012817175,2022-03-25,archive
Citadel Advisors Europe Limited,1.17,Basic-Fit N.V.,NL0011872650,2022-03-25,archive
Marshall Wace LLP,0.76,Alfen N.V.,NL0012817175,2022-03-25,archive
Voleon Capital Management LP,0.58,Alfen N.V.,NL0012817175,2022-03-25,archive
"WorldQuant, LLC",0.58,Flow Traders Ltd.,NL0011279492,2022-03-25,archive
"WorldQuant, LLC",0.61,Koninklijke BAM Groep N.V.,NL0000337319,2022-03-25,archive
Citadel Advisors LLC,0.31,Koninklijke BAM Groep N.V.,NL0000337319,2022-03-24,archive
Marshall Wace LLP,0.87,Alfen N.V.,NL0012817175,2022-03-24,archive
Millennium Capital Partners LLP,0.69,Aperam S.A.,LU0569974404,2022-03-24,archive
"WorldQuant, LLC",0.69,TomTom N.V.,NL0013332471,2022-03-24,archive
"AQR Capital Management, LLC",0.49,Lakefront Biotherapeutics NV,BE0003818359,2022-03-23,archive
Canada Pension Plan Investment Board,0.44,Basic-Fit N.V.,NL0011872650,2022-03-23,archive
Citadel Advisors LLC,0.5,Koninklijke BAM Groep N.V.,NL0000337319,2022-03-23,archive
Franklin Templeton Investment Management Limited,0.53,Wereldhave N.V.,NL0000289213,2022-03-23,archive
Highbridge Capital Management LLC,0.84,CM.com N.V.,NL0012747059,2022-03-23,archive
Marshall Wace LLP,0.6,InPost S.A.,LU2290522684,2022-03-23,archive
Marshall Wace LLP,1.48,PostNL N.V.,NL0009739416,2022-03-23,archive
Millennium Capital Partners LLP,0.79,Aperam S.A.,LU0569974404,2022-03-23,archive
Pictet Asset Management Limited,1.06,Pharming Group N.V.,NL0010391025,2022-03-23,archive
"WorldQuant, LLC",0.67,Flow Traders Ltd.,NL0011279492,2022-03-23,archive
CapeView Capital LLP,0.71,Basic-Fit N.V.,NL0011872650,2022-03-22,archive
Citadel Advisors Europe Limited,1.23,Basic-Fit N.V.,NL0011872650,2022-03-22,archive
"Davidson Kempner European Partners, LLP",1.2,BE Semiconductor Industries N.V.,NL0012866412,2022-03-22,archive
Marshall Wace LLP,0.49,TomTom N.V.,NL0013332471,2022-03-22,archive
"Woodson Capital Master Fund, LP",3.47,Wereldhave N.V.,NL0000289213,2022-03-22,archive
Citadel Advisors LLC,0.52,Pharming Group N.V.,NL0010391025,2022-03-21,archive
Marshall Wace LLP,0.8,ABN AMRO Bank NV,NL0011540547,2022-03-21,archive
Millennium Capital Partners LLP,0.61,PostNL N.V.,NL0009739416,2022-03-21,archive
Canada Pension Plan Investment Board,0.59,Basic-Fit N.V.,NL0011872650,2022-03-18,archive
Kuvari Partners LLP,0.42,InPost S.A.,LU2290522684,2022-03-18,archive
Millennium International Management LP,0.42,Aperam S.A.,LU0569974404,2022-03-18,archive
Millennium International Management LP,0.32,PostNL N.V.,NL0009739416,2022-03-18,archive
Voleon Capital Management LP,0.69,Alfen N.V.,NL0012817175,2022-03-18,archive
"WorldQuant, LLC",0.79,Flow Traders Ltd.,NL0011279492,2022-03-18,archive
"WorldQuant, LLC",0.79,Koninklijke BAM Groep N.V.,NL0000337319,2022-03-18,archive
Marshall Wace LLP,0.79,ABN AMRO Bank NV,NL0011540547,2022-03-17,archive
Marshall Wace LLP,0.52,InPost S.A.,LU2290522684,2022-03-17,archive
Millennium International Management LP,0.82,Aperam S.A.,LU0569974404,2022-03-17,archive
Pictet Asset Management Limited,1.19,Pharming Group N.V.,NL0010391025,2022-03-17,archive
Sandbar Assets Management LLP,0.61,Signify N.V.,NL0011821392,2022-03-17,archive
Systematica Investments Limited,0.78,AMG Critical Materials N.V.,NL0000888691,2022-03-17,archive
"WorldQuant, LLC",0.84,Flow Traders Ltd.,NL0011279492,2022-03-17,archive
"AQR Capital Management, LLC",0.49,IMCD N.V.,NL0010801007,2022-03-16,archive
"AQR Capital Management, LLC",0.5,Lakefront Biotherapeutics NV,BE0003818359,2022-03-16,archive
CapeView Capital LLP,0.69,Basic-Fit N.V.,NL0011872650,2022-03-16,archive
Citadel Advisors LLC,0.47,Koninklijke BAM Groep N.V.,NL0000337319,2022-03-16,archive
Marshall Wace LLP,0.81,ABN AMRO Bank NV,NL0011540547,2022-03-16,archive
Marshall Wace LLP,0.51,Koninklijke Philips N.V.,NL0000009538,2022-03-16,archive
Millennium Capital Partners LLP,0.89,Aperam S.A.,LU0569974404,2022-03-16,archive
Rye Bay Capital LLP,0.68,Alfen N.V.,NL0012817175,2022-03-16,archive
"WorldQuant, LLC",0.48,ABN AMRO Bank NV,NL0011540547,2022-03-16,archive
Canada Pension Plan Investment Board,0.68,Basic-Fit N.V.,NL0011872650,2022-03-15,archive
CapeView Capital LLP,0.7,Basic-Fit N.V.,NL0011872650,2022-03-15,archive
Citadel Advisors Europe Limited,1.12,Basic-Fit N.V.,NL0011872650,2022-03-15,archive
Citadel Advisors LLC,0.53,Koninklijke BAM Groep N.V.,NL0000337319,2022-03-15,archive
"D. E. Shaw & Co., L.P.",0.51,BE Semiconductor Industries N.V.,NL0012866412,2022-03-15,archive
Kintbury Capital LLP,0.5,Unibail-Rodamco-Westfield SE,FR0013326246,2022-03-15,archive
Millennium Capital Partners LLP,0.94,Aperam S.A.,LU0569974404,2022-03-15,archive
Millennium International Management LP,0.7,Aperam S.A.,LU0569974404,2022-03-15,archive
Millennium International Management LP,0.5,PostNL N.V.,NL0009739416,2022-03-15,archive
"WorldQuant, LLC",0.97,Flow Traders Ltd.,NL0011279492,2022-03-15,archive
Millennium International Management LP,0.66,Aperam S.A.,LU0569974404,2022-03-14,archive
"WorldQuant, LLC",1.02,Flow Traders Ltd.,NL0011279492,2022-03-14,archive
"WorldQuant, LLC",0.85,Koninklijke BAM Groep N.V.,NL0000337319,2022-03-14,archive
AllianceBernstein L.P.,0.47,Alfen N.V.,NL0012817175,2022-03-11,archive
Marshall Wace LLP,0.72,ABN AMRO Bank NV,NL0011540547,2022-03-11,archive
Marshall Wace LLP,0.98,Alfen N.V.,NL0012817175,2022-03-11,archive
Marshall Wace LLP,1.57,PostNL N.V.,NL0009739416,2022-03-11,archive
Millennium Capital Partners LLP,1.06,Aperam S.A.,LU0569974404,2022-03-11,archive
Millennium International Management LP,0.59,Aperam S.A.,LU0569974404,2022-03-11,archive
"WorldQuant, LLC",0.51,ABN AMRO Bank NV,NL0011540547,2022-03-11,archive
"WorldQuant, LLC",1.12,Flow Traders Ltd.,NL0011279492,2022-03-11,archive
"WorldQuant, LLC",0.78,Koninklijke BAM Groep N.V.,NL0000337319,2022-03-11,archive
Capital Fund Management S.A.,0.87,AMG Critical Materials N.V.,NL0000888691,2022-03-10,archive
Citadel Advisors Europe Limited,1.09,Basic-Fit N.V.,NL0011872650,2022-03-10,archive
"D. E. Shaw & Co., L.P.",0.49,BE Semiconductor Industries N.V.,NL0012866412,2022-03-10,archive
Millennium Capital Partners LLP,1.2,Aperam S.A.,LU0569974404,2022-03-10,archive
Millennium International Management LP,0.61,Aperam S.A.,LU0569974404,2022-03-10,archive
Capital Fund Management S.A.,0.92,AMG Critical Materials N.V.,NL0000888691,2022-03-09,archive
Marshall Wace LLP,0.68,ABN AMRO Bank NV,NL0011540547,2022-03-09,archive
AllianceBernstein L.P.,0.53,Alfen N.V.,NL0012817175,2022-03-08,archive
Franklin Templeton Investment Management Limited,0.65,Wereldhave N.V.,NL0000289213,2022-03-08,archive
Kuvari Partners LLP,0.53,InPost S.A.,LU2290522684,2022-03-08,archive
Marshall Wace LLP,1.0,Alfen N.V.,NL0012817175,2022-03-08,archive
Millennium Capital Partners LLP,0.42,Alfen N.V.,NL0012817175,2022-03-08,archive
Millennium Capital Partners LLP,1.15,Aperam S.A.,LU0569974404,2022-03-08,archive
Millennium Capital Partners LLP,0.52,PostNL N.V.,NL0009739416,2022-03-08,archive
Otus Capital Management Ltd.,0.48,Ebusco Holding N.V.,NL0015000CZ2,2022-03-08,archive
Voleon Capital Management LP,0.79,Alfen N.V.,NL0012817175,2022-03-08,archive
Highbridge Capital Management LLC,0.78,CM.com N.V.,NL0012747059,2022-03-07,archive
Marshall Wace LLP,0.75,ABN AMRO Bank NV,NL0011540547,2022-03-07,archive
Marshall Wace LLP,1.6,PostNL N.V.,NL0009739416,2022-03-07,archive
Millennium Capital Partners LLP,0.51,Alfen N.V.,NL0012817175,2022-03-07,archive
Millennium Capital Partners LLP,0.48,PostNL N.V.,NL0009739416,2022-03-07,archive
"WorldQuant, LLC",0.65,Koninklijke BAM Groep N.V.,NL0000337319,2022-03-07,archive
Citadel Advisors Europe Limited,1.17,Basic-Fit N.V.,NL0011872650,2022-03-04,archive
Marshall Wace LLP,0.87,ABN AMRO Bank NV,NL0011540547,2022-03-04,archive
Marshall Wace LLP,0.93,Alfen N.V.,NL0012817175,2022-03-04,archive
Marshall Wace LLP,0.69,Lakefront Biotherapeutics NV,BE0003818359,2022-03-04,archive
Millennium Capital Partners LLP,0.62,Alfen N.V.,NL0012817175,2022-03-04,archive
Millennium Capital Partners LLP,1.04,Aperam S.A.,LU0569974404,2022-03-04,archive
Millennium International Management LP,0.56,Aperam S.A.,LU0569974404,2022-03-04,archive
"Point72 Europe (London), LLP",0.46,BE Semiconductor Industries N.V.,NL0012866412,2022-03-04,archive
Renaissance Technologies LLC,0.49,BE Semiconductor Industries N.V.,NL0012866412,2022-03-04,archive
Sandbar Assets Management LLP,0.53,Signify N.V.,NL0011821392,2022-03-04,archive
Voleon Capital Management LP,0.86,Alfen N.V.,NL0012817175,2022-03-04,archive
"WorldQuant, LLC",0.4,PostNL N.V.,NL0009739416,2022-03-04,archive
Adelphi Capital LLP,0.4,Wereldhave N.V.,NL0000289213,2022-03-03,archive
AllianceBernstein L.P.,0.61,Alfen N.V.,NL0012817175,2022-03-03,archive
"AQR Capital Management, LLC",0.5,IMCD N.V.,NL0010801007,2022-03-03,archive
Marshall Wace LLP,0.8,Alfen N.V.,NL0012817175,2022-03-03,archive
Millennium Capital Partners LLP,0.71,Alfen N.V.,NL0012817175,2022-03-03,archive
Millennium Capital Partners LLP,0.96,Aperam S.A.,LU0569974404,2022-03-03,archive
Renaissance Technologies LLC,0.5,BE Semiconductor Industries N.V.,NL0012866412,2022-03-03,archive
Voleon Capital Management LP,0.9,Alfen N.V.,NL0012817175,2022-03-03,archive
"WorldQuant, LLC",1.2,Flow Traders Ltd.,NL0011279492,2022-03-03,archive
"WorldQuant, LLC",0.53,Koninklijke BAM Groep N.V.,NL0000337319,2022-03-03,archive
"WorldQuant, LLC",0.51,PostNL N.V.,NL0009739416,2022-03-03,archive
Adelphi Capital LLP,0.67,Wereldhave N.V.,NL0000289213,2022-03-02,archive
"Arrowstreet Capital, Limited Partnership",0.98,Alfen N.V.,NL0012817175,2022-03-02,archive
Citadel Advisors LLC,0.49,Koninklijke BAM Groep N.V.,NL0000337319,2022-03-02,archive
Franklin Templeton Investment Management Limited,0.5,Wereldhave N.V.,NL0000289213,2022-03-02,archive
Marshall Wace LLP,0.95,ABN AMRO Bank NV,NL0011540547,2022-03-02,archive
"Point72 Europe (London), LLP",0.69,BE Semiconductor Industries N.V.,NL0012866412,2022-03-02,archive
Voleon Capital Management LP,0.89,Alfen N.V.,NL0012817175,2022-03-02,archive
"Woodson Capital Master Fund, LP",3.77,Wereldhave N.V.,NL0000289213,2022-03-02,archive
"BlackRock Institutional Trust Company, National Association",0.47,Alfen N.V.,NL0012817175,2022-03-01,archive
CapeView Capital LLP,0.64,Basic-Fit N.V.,NL0011872650,2022-03-01,archive
Marshall Wace LLP,1.59,PostNL N.V.,NL0009739416,2022-03-01,archive
Millennium Capital Partners LLP,0.67,Alfen N.V.,NL0012817175,2022-03-01,archive
Millennium Capital Partners LLP,0.53,PostNL N.V.,NL0009739416,2022-03-01,archive
Millennium International Management LP,0.49,PostNL N.V.,NL0009739416,2022-03-01,archive
"Point72 Europe (London), LLP",0.78,BE Semiconductor Industries N.V.,NL0012866412,2022-03-01,archive
Capital Fund Management S.A.,0.89,AMG Critical Materials N.V.,NL0000888691,2022-02-28,archive
Citadel Advisors Europe Limited,1.21,Basic-Fit N.V.,NL0011872650,2022-02-28,archive
"D. E. Shaw & Co., L.P.",0.48,Flow Traders Ltd.,NL0011279492,2022-02-28,archive
Kuvari Partners LLP,0.27,InPost S.A.,LU2290522684,2022-02-28,archive
Marshall Wace LLP,1.06,ABN AMRO Bank NV,NL0011540547,2022-02-28,archive
Marshall Wace LLP,0.73,Alfen N.V.,NL0012817175,2022-02-28,archive
Qube Research & Technologies Ltd.,0.49,Lakefront Biotherapeutics NV,BE0003818359,2022-02-28,archive
Citadel Advisors LLC,0.56,Koninklijke BAM Groep N.V.,NL0000337319,2022-02-25,archive
Kuvari Partners LLP,0.5,InPost S.A.,LU2290522684,2022-02-25,archive
Marshall Wace LLP,0.49,Koninklijke Philips N.V.,NL0000009538,2022-02-25,archive
Millennium Capital Partners LLP,0.67,PostNL N.V.,NL0009739416,2022-02-25,archive
Rye Bay Capital LLP,0.8,Alfen N.V.,NL0012817175,2022-02-25,archive
Citadel Advisors Europe Limited,1.19,Basic-Fit N.V.,NL0011872650,2022-02-24,archive
Marshall Wace LLP,1.15,ABN AMRO Bank NV,NL0011540547,2022-02-24,archive
Marshall Wace LLP,1.67,PostNL N.V.,NL0009739416,2022-02-24,archive
Marshall Wace LLP,0.59,TomTom N.V.,NL0013332471,2022-02-24,archive
Millennium International Management LP,0.51,PostNL N.V.,NL0009739416,2022-02-24,archive
Renaissance Technologies LLC,0.49,BE Semiconductor Industries N.V.,NL0012866412,2022-02-24,archive
Voleon Capital Management LP,0.91,Alfen N.V.,NL0012817175,2022-02-24,archive
Whitebox Advisors LLC,0.67,CM.com N.V.,NL0012747059,2022-02-24,archive
Adelphi Capital LLP,0.74,Wereldhave N.V.,NL0000289213,2022-02-23,archive
"D. E. Shaw & Co., L.P.",0.5,Flow Traders Ltd.,NL0011279492,2022-02-23,archive
Marshall Wace LLP,0.59,Koninklijke Philips N.V.,NL0000009538,2022-02-23,archive
Marshall Wace LLP,0.71,Lakefront Biotherapeutics NV,BE0003818359,2022-02-23,archive
Millennium Capital Partners LLP,0.5,Alfen N.V.,NL0012817175,2022-02-23,archive
Millennium Capital Partners LLP,0.7,PostNL N.V.,NL0009739416,2022-02-23,archive
"Point72 Europe (London), LLP",0.63,BE Semiconductor Industries N.V.,NL0012866412,2022-02-23,archive
Renaissance Technologies LLC,0.5,BE Semiconductor Industries N.V.,NL0012866412,2022-02-23,archive
"Woodson Capital Master Fund, LP",3.89,Wereldhave N.V.,NL0000289213,2022-02-23,archive
Adelphi Capital LLP,0.89,Wereldhave N.V.,NL0000289213,2022-02-22,archive
"BlackRock Institutional Trust Company, National Association",0.51,Alfen N.V.,NL0012817175,2022-02-22,archive
Capital Fund Management S.A.,0.93,AMG Critical Materials N.V.,NL0000888691,2022-02-22,archive
"Point72 Europe (London), LLP",0.58,BE Semiconductor Industries N.V.,NL0012866412,2022-02-22,archive
Renaissance Technologies LLC,0.49,BE Semiconductor Industries N.V.,NL0012866412,2022-02-22,archive
Voleon Capital Management LP,0.83,Alfen N.V.,NL0012817175,2022-02-22,archive
"WorldQuant, LLC",1.12,Flow Traders Ltd.,NL0011279492,2022-02-22,archive
"WorldQuant, LLC",0.68,PostNL N.V.,NL0009739416,2022-02-22,archive
"WorldQuant, LLC",0.72,TomTom N.V.,NL0013332471,2022-02-22,archive
Adelphi Capital LLP,0.99,Wereldhave N.V.,NL0000289213,2022-02-21,archive
"D. E. Shaw & Co., L.P.",0.5,BE Semiconductor Industries N.V.,NL0012866412,2022-02-21,archive
Marshall Wace LLP,1.78,PostNL N.V.,NL0009739416,2022-02-21,archive
Millennium Capital Partners LLP,0.88,Aperam S.A.,LU0569974404,2022-02-21,archive
Millennium Capital Partners LLP,0.67,PostNL N.V.,NL0009739416,2022-02-21,archive
"Point72 Europe (London), LLP",0.64,BE Semiconductor Industries N.V.,NL0012866412,2022-02-21,archive
Qube Research & Technologies Ltd.,0.39,AMG Critical Materials N.V.,NL0000888691,2022-02-21,archive
Voleon Capital Management LP,0.79,Alfen N.V.,NL0012817175,2022-02-21,archive
Adelphi Capital LLP,1.15,Wereldhave N.V.,NL0000289213,2022-02-18,archive
Marshall Wace LLP,0.98,SBM Offshore N.V.,NL0000360618,2022-02-18,archive
Millennium Capital Partners LLP,0.7,PostNL N.V.,NL0009739416,2022-02-18,archive
"Point72 Europe (London), LLP",0.7,BE Semiconductor Industries N.V.,NL0012866412,2022-02-18,archive
Renaissance Technologies LLC,0.5,BE Semiconductor Industries N.V.,NL0012866412,2022-02-18,archive
Voleon Capital Management LP,0.62,Alfen N.V.,NL0012817175,2022-02-18,archive
Adelphi Capital LLP,1.3,Wereldhave N.V.,NL0000289213,2022-02-17,archive
Citadel Advisors LLC,0.67,Koninklijke BAM Groep N.V.,NL0000337319,2022-02-17,archive
"D. E. Shaw & Co., L.P.",0.46,Alfen N.V.,NL0012817175,2022-02-17,archive
Marshall Wace LLP,0.6,Koninklijke Philips N.V.,NL0000009538,2022-02-17,archive
Marshall Wace LLP,1.85,PostNL N.V.,NL0009739416,2022-02-17,archive
Millennium Capital Partners LLP,0.69,PostNL N.V.,NL0009739416,2022-02-17,archive
Millennium International Management LP,0.48,Aperam S.A.,LU0569974404,2022-02-17,archive
"Point72 Europe (London), LLP",0.57,BE Semiconductor Industries N.V.,NL0012866412,2022-02-17,archive
"WorldQuant, LLC",0.49,Fugro N.V.,NL00150003E1,2022-02-17,archive
Adelphi Capital LLP,1.48,Wereldhave N.V.,NL0000289213,2022-02-16,archive
Capital Fund Management S.A.,0.88,AMG Critical Materials N.V.,NL0000888691,2022-02-16,archive
Citadel Advisors LLC,0.45,Koninklijke BAM Groep N.V.,NL0000337319,2022-02-16,archive
Marshall Wace LLP,1.2,ABN AMRO Bank NV,NL0011540547,2022-02-16,archive
Marshall Wace LLP,0.67,Alfen N.V.,NL0012817175,2022-02-16,archive
Millennium Capital Partners LLP,0.98,Aperam S.A.,LU0569974404,2022-02-16,archive
"Woodson Capital Master Fund, LP",3.92,Wereldhave N.V.,NL0000289213,2022-02-16,archive
"WorldQuant, LLC",1.01,Flow Traders Ltd.,NL0011279492,2022-02-16,archive
"WorldQuant, LLC",0.74,PostNL N.V.,NL0009739416,2022-02-16,archive
Adelphi Capital LLP,1.63,Wereldhave N.V.,NL0000289213,2022-02-15,archive
Citadel Advisors LLC,0.5,Koninklijke BAM Groep N.V.,NL0000337319,2022-02-15,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.49,AMG Critical Materials N.V.,NL0000888691,2022-02-15,archive
"WorldQuant, LLC",0.68,TomTom N.V.,NL0013332471,2022-02-15,archive
Adelphi Capital LLP,1.72,Wereldhave N.V.,NL0000289213,2022-02-14,archive
Citadel Advisors LLC,0.35,ASR Nederland N.V.,NL0011872643,2022-02-14,archive
Marshall Wace LLP,0.65,TomTom N.V.,NL0013332471,2022-02-14,archive
Millennium Capital Partners LLP,1.05,Aperam S.A.,LU0569974404,2022-02-14,archive
"Point72 Europe (London), LLP",0.66,BE Semiconductor Industries N.V.,NL0012866412,2022-02-14,archive
Qube Research & Technologies Ltd.,0.53,AMG Critical Materials N.V.,NL0000888691,2022-02-14,archive
Rye Bay Capital LLP,0.94,Alfen N.V.,NL0012817175,2022-02-14,archive
"WorldQuant, LLC",0.91,Flow Traders Ltd.,NL0011279492,2022-02-14,archive
"WorldQuant, LLC",0.88,PostNL N.V.,NL0009739416,2022-02-14,archive
"WorldQuant, LLC",0.7,TomTom N.V.,NL0013332471,2022-02-14,archive
Adelphi Capital LLP,0.44,Eurocommercial Properties N.V.,NL0015000K93,2022-02-11,archive
CapeView Capital LLP,0.52,Basic-Fit N.V.,NL0011872650,2022-02-11,archive
Marshall Wace LLP,1.11,ABN AMRO Bank NV,NL0011540547,2022-02-11,archive
Marshall Wace LLP,1.98,PostNL N.V.,NL0009739416,2022-02-11,archive
Millennium Capital Partners LLP,0.89,Aperam S.A.,LU0569974404,2022-02-11,archive
Adelphi Capital LLP,0.76,Eurocommercial Properties N.V.,NL0015000K93,2022-02-10,archive
Adelphi Capital LLP,1.83,Wereldhave N.V.,NL0000289213,2022-02-10,archive
Marshall Wace LLP,1.05,ABN AMRO Bank NV,NL0011540547,2022-02-10,archive
Marshall Wace LLP,0.88,Alfen N.V.,NL0012817175,2022-02-10,archive
Marshall Wace LLP,0.63,Lakefront Biotherapeutics NV,BE0003818359,2022-02-10,archive
Marshall Wace LLP,1.02,SBM Offshore N.V.,NL0000360618,2022-02-10,archive
Rye Bay Capital LLP,0.75,Alfen N.V.,NL0012817175,2022-02-10,archive
"Woodson Capital Master Fund, LP",4.04,Wereldhave N.V.,NL0000289213,2022-02-10,archive
"WorldQuant, LLC",0.82,Flow Traders Ltd.,NL0011279492,2022-02-10,archive
"WorldQuant, LLC",0.92,PostNL N.V.,NL0009739416,2022-02-10,archive
"WorldQuant, LLC",0.69,TomTom N.V.,NL0013332471,2022-02-10,archive
Adelphi Capital LLP,2.02,Wereldhave N.V.,NL0000289213,2022-02-09,archive
"AQR Capital Management, LLC",0.49,IMCD N.V.,NL0010801007,2022-02-09,archive
Citadel Advisors LLC,0.49,TomTom N.V.,NL0013332471,2022-02-09,archive
Marshall Wace LLP,0.89,ABN AMRO Bank NV,NL0011540547,2022-02-09,archive
Marshall Wace LLP,0.74,TomTom N.V.,NL0013332471,2022-02-09,archive
Rye Bay Capital LLP,0.56,Alfen N.V.,NL0012817175,2022-02-09,archive
"WorldQuant, LLC",1.0,PostNL N.V.,NL0009739416,2022-02-09,archive
Adelphi Capital LLP,0.97,Eurocommercial Properties N.V.,NL0015000K93,2022-02-08,archive
Highbridge Capital Management LLC,0.84,CM.com N.V.,NL0012747059,2022-02-08,archive
