position_holder,net_short_position,isin,issuer_name,position_date,source
Citadel Advisors LLC,0.67,NL0000379121,Randstad N.V.,2026-03-20,current
"D. E. Shaw & Co., L.P.",0.59,NL0012866412,BE Semiconductor Industries N.V.,2026-03-20,current
Ilex Capital Partners (UK) LLP,0.75,CH1216478797,DSM-Firmenich AG,2026-03-20,current
Kintbury Capital LLP,0.87,NL0013267909,Akzo Nobel N.V.,2026-03-20,current
Marshall Wace LLP,0.83,NL0000379121,Randstad N.V.,2026-03-20,current
Marshall Wace LLP,1.52,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-20,current
Millennium Capital (DIFC) Limited,0.8,NL0011821392,Signify N.V.,2026-03-20,current
Qube Research & Technologies Ltd.,0.91,NL0011821392,Signify N.V.,2026-03-20,current
Qube Research & Technologies Ltd.,0.99,CY0200751713,Theon International Plc,2026-03-20,current
Squarepoint Ops LLC,0.57,NL0010801007,IMCD N.V.,2026-03-20,current
"Two Sigma Investments, LP",0.81,NL0010801007,IMCD N.V.,2026-03-20,current
"Two Sigma Investments, LP",1.26,LU2290522684,InPost S.A.,2026-03-20,current
Viking Global Investors LP,0.51,NL0011821202,ING Groep N.V.,2026-03-20,current
AKO Capital LLP,1.31,NL0013267909,Akzo Nobel N.V.,2026-03-19,current
"AQR Capital Management, LLC",0.51,NL0012817175,Alfen N.V.,2026-03-19,current
"AQR Capital Management, LLC",0.8,NL0006237562,ARCADIS N.V.,2026-03-19,current
Marshall Wace LLP,0.6,JE00BRX98089,CVC Capital Partners plc,2026-03-19,current
Marshall Wace LLP,0.73,NL0000379121,Randstad N.V.,2026-03-19,current
Marshall Wace LLP,1.43,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-19,current
Winton Capital Management Limited,0.61,NL0013332471,TomTom N.V.,2026-03-19,current
"WorldQuant, LLC",2.83,NL0012817175,Alfen N.V.,2026-03-19,current
"WorldQuant, LLC",0.6,NL0010801007,IMCD N.V.,2026-03-19,current
"AQR Capital Management, LLC",0.6,NL0012969182,Adyen N.V.,2026-03-18,current
Citadel Advisors Europe Limited,1.21,NL0011821392,Signify N.V.,2026-03-18,current
"Empyrean Capital Overseas Master Fund, Ltd",0.52,NL0013267909,Akzo Nobel N.V.,2026-03-18,current
Ilex Capital Partners (UK) LLP,0.87,CH1216478797,DSM-Firmenich AG,2026-03-18,current
Qube Research & Technologies Ltd.,0.57,CY0200751713,Theon International Plc,2026-03-18,current
"Two Sigma Investments, LP",1.11,LU2290522684,InPost S.A.,2026-03-18,current
Voleon Capital Management LP,1.97,NL0012817175,Alfen N.V.,2026-03-18,current
"WorldQuant, LLC",2.98,NL0012817175,Alfen N.V.,2026-03-18,current
"AQR Capital Management, LLC",0.59,NL0013267909,Akzo Nobel N.V.,2026-03-17,current
Kintbury Capital LLP,0.91,NL0013267909,Akzo Nobel N.V.,2026-03-17,current
Millennium International Management LP,0.7,NL0013267909,Akzo Nobel N.V.,2026-03-17,current
Qube Research & Technologies Ltd.,0.71,JE00BRX98089,CVC Capital Partners plc,2026-03-17,current
Marshall Wace LLP,1.3,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-16,current
"PDT Partners, LLC",0.8,NL0010801007,IMCD N.V.,2026-03-16,current
Squarepoint Ops LLC,0.63,NL0010801007,IMCD N.V.,2026-03-16,current
"WorldQuant, LLC",3.08,NL0012817175,Alfen N.V.,2026-03-16,current
