position_holder,net_short_position,isin,issuer_name,position_date,source
Citadel Advisors LLC,0.57,NL0000337319,Koninklijke BAM Groep N.V.,2020-10-05,archive
D1 Capital Partners LP,5.94,FR0013326246,Unibail-Rodamco-Westfield SE,2020-10-05,archive
Marshall Wace LLP,1.22,NL0000352565,Fugro N.V.,2020-10-05,archive
Marshall Wace LLP,1.07,FR0013326246,Unibail-Rodamco-Westfield SE,2020-10-05,archive
Voleon Capital Management LP,1.96,NL0000352565,Fugro N.V.,2020-10-05,archive
Woodline Partners,0.78,NL0010391025,Pharming Group N.V.,2020-10-05,archive
"WorldQuant, LLC",1.6,NL0000352565,Fugro N.V.,2020-10-05,archive
Citadel Advisors LLC,0.62,NL0000337319,Koninklijke BAM Groep N.V.,2020-10-02,archive
"D. E. Shaw & Co., L.P.",0.89,BE0003818359,Galapagos NV,2020-10-02,archive
D1 Capital Partners LP,5.83,FR0013326246,Unibail-Rodamco-Westfield SE,2020-10-02,archive
HBK Investments LP,0.49,NL0000337319,Koninklijke BAM Groep N.V.,2020-10-02,archive
Marshall Wace LLP,0.97,FR0013326246,Unibail-Rodamco-Westfield SE,2020-10-02,archive
Susquehanna International Securities Limited,0.89,NL0000352565,Fugro N.V.,2020-10-02,archive
Voleon Capital Management LP,2.07,NL0000352565,Fugro N.V.,2020-10-02,archive
Voleon Capital Management LP,0.59,NL0000337319,Koninklijke BAM Groep N.V.,2020-10-02,archive
"WorldQuant, LLC",1.73,NL0000352565,Fugro N.V.,2020-10-02,archive
"AQR Capital Management, LLC",1.69,NL0000360618,SBM Offshore N.V.,2020-10-01,archive
BNP Paribas S.A.,0.0,NL0000226223,STMicroelectronics N.V.,2020-10-01,archive
Gladstone Capital Management LLP,0.94,FR0013326246,Unibail-Rodamco-Westfield SE,2020-10-01,archive
Marshall Wace LLP,0.8,NL0011279492,Flow Traders Ltd.,2020-10-01,archive
Marshall Wace LLP,1.13,NL0000352565,Fugro N.V.,2020-10-01,archive
Marshall Wace LLP,0.86,FR0013326246,Unibail-Rodamco-Westfield SE,2020-10-01,archive
"WorldQuant, LLC",1.85,NL0000352565,Fugro N.V.,2020-10-01,archive
D1 Capital Partners LP,5.63,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-30,archive
HBK Investments LP,0.51,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-30,archive
"Lucerne Capital Management, L.P.",1.64,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-30,archive
Marshall Wace LLP,0.74,NL0011279492,Flow Traders Ltd.,2020-09-30,archive
"WorldQuant, LLC",1.97,NL0000352565,Fugro N.V.,2020-09-30,archive
HBK Investments LP,0.63,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-29,archive
Oceanwood Capital Management LLP,0.43,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-29,archive
Susquehanna International Securities Limited,0.98,NL0000352565,Fugro N.V.,2020-09-29,archive
"WorldQuant, LLC",2.1,NL0000352565,Fugro N.V.,2020-09-29,archive
"Lucerne Capital Management, L.P.",1.5,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-28,archive
"Samlyn Capital, LLC",1.41,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-28,archive
Sculptor Capital Management Europe Limited,0.54,NL0000226223,STMicroelectronics N.V.,2020-09-28,archive
Voleon Capital Management LP,2.13,NL0000352565,Fugro N.V.,2020-09-28,archive
Voleon Capital Management LP,0.48,NL0010391025,Pharming Group N.V.,2020-09-28,archive
BNP Paribas S.A.,0.82,NL0000226223,STMicroelectronics N.V.,2020-09-25,archive
D1 Capital Partners LP,5.43,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-25,archive
Marshall Wace LLP,0.61,NL0011279492,Flow Traders Ltd.,2020-09-25,archive
Tiger Global Management LLC,0.42,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-25,archive
Voleon Capital Management LP,2.07,NL0000352565,Fugro N.V.,2020-09-25,archive
Voleon Capital Management LP,0.62,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-25,archive
"WorldQuant, LLC",2.22,NL0000352565,Fugro N.V.,2020-09-25,archive
Marshall Wace LLP,1.03,NL0000352565,Fugro N.V.,2020-09-24,archive
Millennium Capital Partners LLP,0.72,NL0011821392,Signify N.V.,2020-09-24,archive
"Samlyn Capital, LLC",1.37,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-24,archive
Susquehanna International Securities Limited,0.0,NL0000352565,Fugro N.V.,2020-09-24,archive
Tiger Global Management LLC,0.57,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-24,archive
"WorldQuant, LLC",2.35,NL0000352565,Fugro N.V.,2020-09-24,archive
BNP Paribas S.A.,0.95,NL0000226223,STMicroelectronics N.V.,2020-09-23,archive
Capital Fund Management S.A.,1.32,NL0000888691,AMG Critical Materials N.V.,2020-09-23,archive
JPMorgan Asset Management (UK) Ltd.,0.49,NL0011660485,Sif Holding N.V.,2020-09-23,archive
Lone Pine Capital LLC,2.01,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-23,archive
"Lucerne Capital Management, L.P.",1.34,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-23,archive
Marshall Wace LLP,0.53,NL0011279492,Flow Traders Ltd.,2020-09-23,archive
Marshall Wace LLP,0.72,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-23,archive
"Samlyn Capital, LLC",1.27,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-23,archive
Voleon Capital Management LP,1.91,NL0000352565,Fugro N.V.,2020-09-23,archive
Voleon Capital Management LP,0.56,NL0010391025,Pharming Group N.V.,2020-09-23,archive
Woodline Partners,0.89,NL0010391025,Pharming Group N.V.,2020-09-23,archive
"Davidson Kempner European Partners, LLP",1.14,NL0012866412,BE Semiconductor Industries N.V.,2020-09-22,archive
"Lucerne Capital Management, L.P.",1.24,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-22,archive
Marshall Wace LLP,1.39,NL0000360618,SBM Offshore N.V.,2020-09-22,archive
Marshall Wace LLP,0.68,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-22,archive
"Samlyn Capital, LLC",1.16,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-22,archive
Voleon Capital Management LP,1.84,NL0000352565,Fugro N.V.,2020-09-22,archive
AKO Capital LLP,1.27,NL0006237562,ARCADIS N.V.,2020-09-21,archive
HBK Investments LP,1.12,NL0000352565,Fugro N.V.,2020-09-21,archive
Lone Pine Capital LLC,1.6,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-21,archive
Marshall Wace LLP,1.4,NL0000360618,SBM Offshore N.V.,2020-09-21,archive
Oceanwood Capital Management LLP,0.51,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-21,archive
"Samlyn Capital, LLC",1.02,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-21,archive
Susquehanna International Securities Limited,0.91,NL0000352565,Fugro N.V.,2020-09-21,archive
"Woodson Capital Master Fund, LP",1.02,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-21,archive
"Woodson Capital Master Fund, LP",4.42,NL0000289213,Wereldhave N.V.,2020-09-21,archive
"Athanor Capital, LP",1.41,NL0000289213,Wereldhave N.V.,2020-09-18,archive
BNP Paribas S.A.,1.02,NL0000226223,STMicroelectronics N.V.,2020-09-18,archive
HBK Investments LP,1.01,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-18,archive
Lone Pine Capital LLC,1.59,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-18,archive
Marshall Wace LLP,0.49,BE0003818359,Galapagos NV,2020-09-18,archive
Marshall Wace LLP,1.39,NL0000360618,SBM Offshore N.V.,2020-09-18,archive
"Maverick Capital, Ltd.",2.24,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-18,archive
Moore Capital Management LP,0.5,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-18,archive
"Samlyn Capital, LLC",0.95,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-18,archive
Susquehanna International Securities Limited,0.84,NL0000352565,Fugro N.V.,2020-09-18,archive
Voleon Capital Management LP,0.5,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-18,archive
B&G Master Fund Plc,1.9,LU1598757687,ArcelorMittal S.A.,2020-09-17,archive
Citadel Advisors LLC,0.58,LU0569974404,Aperam S.A.,2020-09-17,archive
Citadel Europe LLP,0.67,LU1598757687,ArcelorMittal S.A.,2020-09-17,archive
Gladstone Capital Management LLP,0.81,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-17,archive
Marshall Wace LLP,0.89,NL0000352565,Fugro N.V.,2020-09-17,archive
Moore Capital Management LP,0.47,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-17,archive
"Samlyn Capital, LLC",0.79,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-17,archive
Susquehanna International Securities Limited,0.72,NL0000352565,Fugro N.V.,2020-09-17,archive
Voleon Capital Management LP,1.78,NL0000352565,Fugro N.V.,2020-09-17,archive
"D. E. Shaw & Co., L.P.",0.9,BE0003818359,Galapagos NV,2020-09-16,archive
GLG Partners LP,0.61,NL0012866412,BE Semiconductor Industries N.V.,2020-09-16,archive
GSA Capital Partners LLP,0.54,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-16,archive
Millennium Capital Partners LLP,0.61,NL0011821392,Signify N.V.,2020-09-16,archive
Parian GP LLC,0.47,NL0000288876,Eurocommercial Properties N.V.,2020-09-16,archive
Parian GP LLC,0.48,NL0000289213,Wereldhave N.V.,2020-09-16,archive
Susquehanna International Securities Limited,0.8,NL0000352565,Fugro N.V.,2020-09-16,archive
Systematica Investments Limited,1.41,NL0000352565,Fugro N.V.,2020-09-16,archive
Voleon Capital Management LP,1.96,NL0000352565,Fugro N.V.,2020-09-16,archive
Voleon Capital Management LP,0.68,NL0010391025,Pharming Group N.V.,2020-09-16,archive
AKO Capital LLP,1.39,NL0006237562,ARCADIS N.V.,2020-09-15,archive
"AQR Capital Management, LLC",1.79,NL0000360618,SBM Offshore N.V.,2020-09-15,archive
"Athanor Capital, LP",1.3,NL0000289213,Wereldhave N.V.,2020-09-15,archive
Gladstone Capital Management LLP,0.71,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-15,archive
HBK Investments LP,1.09,NL0000352565,Fugro N.V.,2020-09-15,archive
Parian GP LLC,0.58,NL0000289213,Wereldhave N.V.,2020-09-15,archive
Sculptor Capital Management Europe Limited,0.69,NL0000226223,STMicroelectronics N.V.,2020-09-15,archive
Voleon Capital Management LP,2.08,NL0000352565,Fugro N.V.,2020-09-15,archive
HBK Investments LP,1.1,NL0000352565,Fugro N.V.,2020-09-14,archive
JPMorgan Asset Management (UK) Ltd.,0.59,NL0011660485,Sif Holding N.V.,2020-09-14,archive
Marshall Wace LLP,0.53,BE0003818359,Galapagos NV,2020-09-14,archive
Systematica Investments Limited,1.09,NL0000888691,AMG Critical Materials N.V.,2020-09-14,archive
AKO Capital LLP,1.47,NL0006237562,ARCADIS N.V.,2020-09-11,archive
"AQR Capital Management, LLC",1.59,NL0010558797,OCI N.V.,2020-09-11,archive
BNP Paribas S.A.,1.25,NL0000226223,STMicroelectronics N.V.,2020-09-11,archive
D1 Capital Partners LP,5.23,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-11,archive
Gladstone Capital Management LLP,0.65,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-11,archive
Marshall Wace LLP,0.48,BE0003818359,Galapagos NV,2020-09-11,archive
Marshall Wace LLP,0.78,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-11,archive
"AQR Capital Management, LLC",1.6,NL0010558797,OCI N.V.,2020-09-10,archive
D1 Capital Partners LP,5.18,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-10,archive
"WorldQuant, LLC",0.44,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-10,archive
HBK Investments LP,1.09,NL0000352565,Fugro N.V.,2020-09-09,archive
"Samlyn Capital, LLC",0.8,NL0000303709,AEGON Ltd.,2020-09-09,archive
Systematica Investments Limited,1.1,NL0000888691,AMG Critical Materials N.V.,2020-09-09,archive
"WorldQuant, LLC",0.53,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-09,archive
Gladstone Capital Management LLP,0.53,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-08,archive
GSA Capital Partners LLP,0.64,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-08,archive
HBK Investments LP,1.1,NL0000352565,Fugro N.V.,2020-09-08,archive
Kintbury Capital LLP,0.54,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-08,archive
Marshall Wace LLP,1.41,NL0000360618,SBM Offshore N.V.,2020-09-08,archive
Susquehanna International Securities Limited,0.92,NL0000352565,Fugro N.V.,2020-09-08,archive
Systematica Investments Limited,1.09,NL0000888691,AMG Critical Materials N.V.,2020-09-08,archive
Systematica Investments Limited,1.31,NL0000352565,Fugro N.V.,2020-09-08,archive
"WorldQuant, LLC",0.61,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-08,archive
Marshall Wace LLP,0.58,BE0003818359,Galapagos NV,2020-09-07,archive
Voleon Capital Management LP,2.1,NL0000352565,Fugro N.V.,2020-09-07,archive
"WorldQuant, LLC",0.46,BE0003818359,Galapagos NV,2020-09-07,archive
"AQR Capital Management, LLC",1.59,NL0010558797,OCI N.V.,2020-09-04,archive
BlueCrest Capital Management Limited,0.78,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-04,archive
BNP Paribas S.A.,1.17,NL0000226223,STMicroelectronics N.V.,2020-09-04,archive
HBK Investments LP,0.98,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-04,archive
Lone Pine Capital LLC,1.63,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-04,archive
Marshall Wace LLP,0.6,BE0003818359,Galapagos NV,2020-09-04,archive
Marshall Wace LLP,0.87,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-04,archive
"WorldQuant, LLC",0.46,NL0000888691,AMG Critical Materials N.V.,2020-09-04,archive
"WorldQuant, LLC",0.79,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-04,archive
Citadel Advisors LLC,0.47,NL0010391025,Pharming Group N.V.,2020-09-03,archive
"D. E. Shaw & Co., L.P.",0.89,BE0003818359,Galapagos NV,2020-09-03,archive
Lone Pine Capital LLC,1.54,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-03,archive
"Lucerne Capital Management, L.P.",0.79,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-03,archive
"WorldQuant, LLC",0.89,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-03,archive
Citadel Advisors LLC,0.72,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-02,archive
Marshall Wace LLP,1.0,NL0000352565,Fugro N.V.,2020-09-02,archive
Pelham Capital Ltd.,1.32,NL0006237562,ARCADIS N.V.,2020-09-02,archive
"WorldQuant, LLC",0.58,NL0000888691,AMG Critical Materials N.V.,2020-09-02,archive
"WorldQuant, LLC",0.59,BE0003818359,Galapagos NV,2020-09-02,archive
"WorldQuant, LLC",0.98,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-02,archive
HBK Investments LP,0.71,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-01,archive
Marshall Wace LLP,0.94,FR0013326246,Unibail-Rodamco-Westfield SE,2020-09-01,archive
"WorldQuant, LLC",1.08,NL0000337319,Koninklijke BAM Groep N.V.,2020-09-01,archive
Canada Pension Plan Investment Board,0.4,NL0000888691,AMG Critical Materials N.V.,2020-08-31,archive
HBK Investments LP,0.69,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-31,archive
Moore Capital Management LP,0.53,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-31,archive
Voleon Capital Management LP,2.05,NL0000352565,Fugro N.V.,2020-08-31,archive
"WorldQuant, LLC",1.17,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-31,archive
Canada Pension Plan Investment Board,0.57,NL0000888691,AMG Critical Materials N.V.,2020-08-28,archive
D1 Capital Partners LP,5.03,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-28,archive
HBK Investments LP,1.0,NL0000352565,Fugro N.V.,2020-08-28,archive
HBK Investments LP,0.7,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-28,archive
JPMorgan Asset Management (UK) Ltd.,0.53,NL0011279492,Flow Traders Ltd.,2020-08-28,archive
Marshall Wace LLP,1.2,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-28,archive
Parian GP LLC,0.51,NL0000288876,Eurocommercial Properties N.V.,2020-08-28,archive
"Samlyn Capital, LLC",0.75,NL0000303709,AEGON Ltd.,2020-08-28,archive
"Samlyn Capital, LLC",0.62,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-28,archive
Sculptor Capital Management Europe Limited,0.79,NL0000226223,STMicroelectronics N.V.,2020-08-28,archive
Voleon Capital Management LP,2.1,NL0000352565,Fugro N.V.,2020-08-28,archive
"WorldQuant, LLC",1.27,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-28,archive
Canada Pension Plan Investment Board,0.67,NL0000888691,AMG Critical Materials N.V.,2020-08-27,archive
Marshall Wace LLP,0.92,NL0000352565,Fugro N.V.,2020-08-27,archive
Susquehanna International Securities Limited,0.81,NL0000352565,Fugro N.V.,2020-08-27,archive
"WorldQuant, LLC",1.38,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-27,archive
Citadel Advisors LLC,0.69,LU0569974404,Aperam S.A.,2020-08-26,archive
Voleon Capital Management LP,2.02,NL0000352565,Fugro N.V.,2020-08-26,archive
Woodline Partners,0.91,NL0010391025,Pharming Group N.V.,2020-08-26,archive
"WorldQuant, LLC",1.48,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-26,archive
"AQR Capital Management, LLC",1.89,NL0000360618,SBM Offshore N.V.,2020-08-25,archive
BNP Paribas S.A.,1.44,NL0000226223,STMicroelectronics N.V.,2020-08-25,archive
Citadel Europe LLP,2.11,NL0012866412,BE Semiconductor Industries N.V.,2020-08-25,archive
D1 Capital Partners LP,4.97,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-25,archive
Eleva Capital SAS,0.5,NL0000288876,Eurocommercial Properties N.V.,2020-08-25,archive
Eleva Capital SAS,0.92,NL0000289213,Wereldhave N.V.,2020-08-25,archive
HBK Investments LP,0.94,NL0000352565,Fugro N.V.,2020-08-25,archive
Lone Pine Capital LLC,1.46,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-25,archive
Marshall Wace LLP,0.86,NL0000352565,Fugro N.V.,2020-08-25,archive
Pelham Capital Ltd.,1.47,NL0006237562,ARCADIS N.V.,2020-08-25,archive
Susquehanna International Securities Limited,0.77,NL0000352565,Fugro N.V.,2020-08-25,archive
Viking Global Investors LP,0.43,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-25,archive
Voleon Capital Management LP,1.99,NL0000352565,Fugro N.V.,2020-08-25,archive
"WorldQuant, LLC",0.6,NL0000888691,AMG Critical Materials N.V.,2020-08-25,archive
"WorldQuant, LLC",0.61,BE0003818359,Galapagos NV,2020-08-25,archive
BNP Paribas S.A.,1.35,NL0000226223,STMicroelectronics N.V.,2020-08-24,archive
Citadel Advisors LLC,0.58,NL0010391025,Pharming Group N.V.,2020-08-24,archive
Marshall Wace LLP,1.3,NL0000360618,SBM Offshore N.V.,2020-08-24,archive
Marshall Wace LLP,1.07,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-24,archive
Voleon Capital Management LP,2.03,NL0000352565,Fugro N.V.,2020-08-24,archive
Citadel Advisors LLC,0.68,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-21,archive
D1 Capital Partners LP,4.82,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-21,archive
GSA Capital Partners LLP,0.7,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-21,archive
Marshall Wace LLP,1.11,NL0000352565,Fugro N.V.,2020-08-21,archive
Moore Capital Management LP,0.42,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-21,archive
Voleon Capital Management LP,1.9,NL0000352565,Fugro N.V.,2020-08-21,archive
"WorldQuant, LLC",0.55,BE0003818359,Galapagos NV,2020-08-21,archive
Cigogne Management S.A.,0.48,NL0012169213,Qiagen N.V.,2020-08-20,archive
Citadel Advisors LLC,0.76,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-20,archive
"D. E. Shaw & Co., L.P.",0.93,BE0003818359,Galapagos NV,2020-08-20,archive
Marshall Wace LLP,0.49,NL0011279492,Flow Traders Ltd.,2020-08-20,archive
TFG Asset Management UK LLP,1.33,NL0000352565,Fugro N.V.,2020-08-20,archive
"WorldQuant, LLC",0.51,NL0000888691,AMG Critical Materials N.V.,2020-08-20,archive
Citadel Advisors LLC,0.67,NL0010391025,Pharming Group N.V.,2020-08-19,archive
"D. E. Shaw & Co., L.P.",0.89,BE0003818359,Galapagos NV,2020-08-19,archive
GSA Capital Partners LLP,0.6,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-19,archive
HBK Investments LP,1.01,NL0000352565,Fugro N.V.,2020-08-19,archive
"Lucerne Capital Management, L.P.",0.62,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-19,archive
"Maverick Capital, Ltd.",1.95,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-19,archive
Parian GP LLC,0.65,NL0000289213,Wereldhave N.V.,2020-08-19,archive
Systematica Investments Limited,1.19,NL0000888691,AMG Critical Materials N.V.,2020-08-19,archive
TFG Asset Management UK LLP,1.11,NL0000352565,Fugro N.V.,2020-08-19,archive
Voleon Capital Management LP,1.8,NL0000352565,Fugro N.V.,2020-08-19,archive
Citadel Advisors LLC,0.88,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-18,archive
Marshall Wace LLP,2.39,NL0006237562,ARCADIS N.V.,2020-08-18,archive
Marshall Wace LLP,1.13,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-18,archive
"Maverick Capital, Ltd.",1.81,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-18,archive
Susquehanna International Securities Limited,0.82,NL0000352565,Fugro N.V.,2020-08-18,archive
Voleon Capital Management LP,1.65,NL0000352565,Fugro N.V.,2020-08-18,archive
Marshall Wace LLP,0.59,NL0011279492,Flow Traders Ltd.,2020-08-17,archive
Marshall Wace LLP,0.55,BE0003818359,Galapagos NV,2020-08-17,archive
Moore Capital Management LP,0.52,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-17,archive
Pictet Asset Management S.A.,0.4,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-17,archive
"Samlyn Capital, LLC",0.6,NL0000303709,AEGON Ltd.,2020-08-17,archive
Voleon Capital Management LP,1.5,NL0000352565,Fugro N.V.,2020-08-17,archive
"WorldQuant, LLC",0.49,NL0010391025,Pharming Group N.V.,2020-08-17,archive
BNP Paribas S.A.,1.46,NL0000226223,STMicroelectronics N.V.,2020-08-14,archive
Capital Fund Management S.A.,1.2,NL0000888691,AMG Critical Materials N.V.,2020-08-14,archive
Citadel Advisors LLC,0.46,BE0003818359,Galapagos NV,2020-08-14,archive
D1 Capital Partners LP,4.72,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-14,archive
Marshall Wace LLP,0.7,BE0003818359,Galapagos NV,2020-08-14,archive
"Samlyn Capital, LLC",0.58,NL0000303709,AEGON Ltd.,2020-08-14,archive
Voleon Capital Management LP,1.41,NL0000352565,Fugro N.V.,2020-08-14,archive
"WorldQuant, LLC",1.58,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-14,archive
BNP Paribas S.A.,1.52,NL0000226223,STMicroelectronics N.V.,2020-08-13,archive
Citadel Advisors LLC,0.79,NL0010391025,Pharming Group N.V.,2020-08-13,archive
HBK Investments LP,0.94,NL0000352565,Fugro N.V.,2020-08-13,archive
JPMorgan Asset Management (UK) Ltd.,1.37,NL0000888691,AMG Critical Materials N.V.,2020-08-13,archive
JPMorgan Asset Management (UK) Ltd.,0.47,NL0013332471,TomTom N.V.,2020-08-13,archive
Marshall Wace LLP,0.68,NL0011279492,Flow Traders Ltd.,2020-08-13,archive
Marshall Wace LLP,1.07,NL0000352565,Fugro N.V.,2020-08-13,archive
Marshall Wace LLP,0.69,BE0003818359,Galapagos NV,2020-08-13,archive
"Samlyn Capital, LLC",0.49,NL0000303709,AEGON Ltd.,2020-08-13,archive
"WorldQuant, LLC",0.57,NL0010391025,Pharming Group N.V.,2020-08-13,archive
BNP Paribas S.A.,1.46,NL0000226223,STMicroelectronics N.V.,2020-08-12,archive
Canada Pension Plan Investment Board,0.7,NL0000888691,AMG Critical Materials N.V.,2020-08-12,archive
Capital Fund Management S.A.,1.13,NL0000888691,AMG Critical Materials N.V.,2020-08-12,archive
GSA Capital Partners LLP,0.5,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-12,archive
HBK Investments LP,0.84,NL0000352565,Fugro N.V.,2020-08-12,archive
JPMorgan Asset Management (UK) Ltd.,1.46,NL0000888691,AMG Critical Materials N.V.,2020-08-12,archive
Marshall Wace LLP,1.29,NL0000360618,SBM Offshore N.V.,2020-08-12,archive
Marshall Wace LLP,1.03,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-12,archive
Susquehanna International Securities Limited,0.71,NL0000352565,Fugro N.V.,2020-08-12,archive
Voleon Capital Management LP,0.72,NL0010391025,Pharming Group N.V.,2020-08-12,archive
"WorldQuant, LLC",0.64,NL0010391025,Pharming Group N.V.,2020-08-12,archive
BNP Paribas S.A.,1.36,NL0000226223,STMicroelectronics N.V.,2020-08-11,archive
Citadel Advisors LLC,0.81,NL0010391025,Pharming Group N.V.,2020-08-11,archive
Citadel Europe LLP,0.89,LU0569974404,Aperam S.A.,2020-08-11,archive
HBK Investments LP,0.78,NL0000352565,Fugro N.V.,2020-08-11,archive
Marshall Wace LLP,1.13,NL0000352565,Fugro N.V.,2020-08-11,archive
Marshall Wace LLP,0.99,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-11,archive
"Samlyn Capital, LLC",0.58,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-11,archive
Susquehanna International Securities Limited,0.68,NL0000352565,Fugro N.V.,2020-08-11,archive
Systematica Investments Limited,1.29,NL0000888691,AMG Critical Materials N.V.,2020-08-11,archive
Systematica Investments Limited,1.2,NL0000352565,Fugro N.V.,2020-08-11,archive
"WorldQuant, LLC",0.72,NL0010391025,Pharming Group N.V.,2020-08-11,archive
"AQR Capital Management, LLC",1.99,NL0000360618,SBM Offshore N.V.,2020-08-10,archive
Citadel Advisors LLC,0.77,NL0010391025,Pharming Group N.V.,2020-08-10,archive
D1 Capital Partners LP,4.6,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-10,archive
Marshall Wace LLP,1.28,NL0000352565,Fugro N.V.,2020-08-10,archive
Susquehanna International Securities Limited,0.79,NL0000352565,Fugro N.V.,2020-08-10,archive
Voleon Capital Management LP,0.67,NL0010391025,Pharming Group N.V.,2020-08-10,archive
Adelphi Capital LLP,0.52,FR0013326246,Unibail-Rodamco-Westfield SE,2020-08-07,archive
Capital Fund Management S.A.,1.0,NL0000888691,AMG Critical Materials N.V.,2020-08-07,archive
Citadel Advisors LLC,0.71,LU0569974404,Aperam S.A.,2020-08-07,archive
Citadel Advisors LLC,0.48,NL0011872650,Basic-Fit N.V.,2020-08-07,archive
Citadel Advisors LLC,0.99,NL0000337319,Koninklijke BAM Groep N.V.,2020-08-07,archive
Citadel Advisors LLC,0.84,NL0010391025,Pharming Group N.V.,2020-08-07,archive
Millennium Capital Partners LLP,0.5,NL0011821392,Signify N.V.,2020-08-07,archive
