position_holder,position_date,issuer_name,net_short_position,isin,source
"PDT Partners, LLC",2026-06-08,Signify N.V.,1.2,NL0011821392,current
"BlackRock Institutional Trust Company, National Association",2026-06-05,Signify N.V.,0.51,NL0011821392,current
Davidson Kempner Capital Management LP,2026-06-05,Akzo Nobel N.V.,1.24,NL0013267909,current
Marshall Wace LLP,2026-06-05,Signify N.V.,1.59,NL0011821392,current
Qube Research & Technologies Ltd.,2026-06-05,The Magnum Ice Cream Company N.V.,0.92,NL0015002MS2,current
"AQR Capital Management, LLC",2026-06-04,Adyen N.V.,1.07,NL0012969182,current
"BlackRock Advisors, LLC",2026-06-04,Akzo Nobel N.V.,0.65,NL0013267909,current
Davidson Kempner Capital Management LP,2026-06-04,Akzo Nobel N.V.,1.17,NL0013267909,current
LMR Partners LLP,2026-06-04,Akzo Nobel N.V.,0.91,NL0013267909,current
Squarepoint Ops LLC,2026-06-04,Signify N.V.,0.62,NL0011821392,current
Davidson Kempner Capital Management LP,2026-06-03,Akzo Nobel N.V.,1.02,NL0013267909,current
LMR Partners LLP,2026-06-03,Akzo Nobel N.V.,0.83,NL0013267909,current
Marshall Wace LLP,2026-06-03,DSM-Firmenich AG,0.91,CH1216478797,current
Marshall Wace LLP,2026-06-03,The Magnum Ice Cream Company N.V.,0.81,NL0015002MS2,current
Whitebox Advisors LLC,2026-06-03,Pharming Group N.V.,0.58,NL0010391025,current
JPMorgan Asset Management (UK) Ltd.,2026-06-02,Fugro N.V.,2.2,NL00150003E1,current
Sculptor Capital Management Europe Limited,2026-06-02,Basic-Fit N.V.,0.79,NL0011872650,current
Walleye Capital LLC,2026-06-02,Pharming Group N.V.,1.02,NL0010391025,current
Numeric Investors LLC,2026-06-01,NSI N.V.,0.81,NL0012365084,current
"AQR Capital Management, LLC",2026-05-29,Aalberts N.V.,0.59,NL0000852564,current
"BlackRock Financial Management, Inc.",2026-05-29,IMCD N.V.,0.69,NL0010801007,current
"BlackRock Financial Management, Inc.",2026-05-29,Signify N.V.,0.83,NL0011821392,current
Davidson Kempner Capital Management LP,2026-05-29,Akzo Nobel N.V.,0.58,NL0013267909,current
Ilex Capital Partners (UK) LLP,2026-05-29,DSM-Firmenich AG,1.85,CH1216478797,current
Marshall Wace LLP,2026-05-29,DSM-Firmenich AG,0.85,CH1216478797,current
"PDT Partners, LLC",2026-05-29,Signify N.V.,1.11,NL0011821392,current
Qube Research & Technologies Ltd.,2026-05-29,The Magnum Ice Cream Company N.V.,0.83,NL0015002MS2,current
Squarepoint Ops LLC,2026-05-29,Signify N.V.,0.5,NL0011821392,current
"Two Sigma Investments, LP",2026-05-29,Pharming Group N.V.,1.09,NL0010391025,current
"AQR Capital Management, LLC",2026-05-28,Adyen N.V.,1.18,NL0012969182,current
Davidson Kempner Capital Management LP,2026-05-28,Akzo Nobel N.V.,0.66,NL0013267909,current
Linden Advisors LP,2026-05-28,Basic-Fit N.V.,0.87,NL0011872650,current
Walleye Capital LLC,2026-05-28,Pharming Group N.V.,0.92,NL0010391025,current
"AQR Capital Management, LLC",2026-05-27,Akzo Nobel N.V.,0.6,NL0013267909,current
Citadel Advisors LLC,2026-05-27,Wereldhave N.V.,0.91,NL0000289213,current
Davidson Kempner Capital Management LP,2026-05-27,Akzo Nobel N.V.,1.01,NL0013267909,current
Numeric Investors LLC,2026-05-27,NSI N.V.,0.79,NL0012365084,current
Qube Research & Technologies Ltd.,2026-05-27,The Magnum Ice Cream Company N.V.,0.78,NL0015002MS2,current
"AQR Capital Management, LLC",2026-05-26,Signify N.V.,1.18,NL0011821392,current
"Arrowstreet Capital, Limited Partnership",2026-05-26,IMCD N.V.,1.3,NL0010801007,current
Capital Fund Management S.A.,2026-05-26,IMCD N.V.,0.8,NL0010801007,current
Citadel Advisors LLC,2026-05-26,DSM-Firmenich AG,0.91,CH1216478797,current
Marshall Wace LLP,2026-05-26,PostNL N.V.,0.75,NL0009739416,current
