position_holder,position_date,issuer_name,net_short_position,isin,source
"WorldQuant, LLC",2019-11-26,Wereldhave N.V.,0.5,NL0000289213,archive
"D. E. Shaw & Co., L.P.",2019-11-25,Lakefront Biotherapeutics NV,0.98,BE0003818359,archive
HBK Investments LP,2019-11-25,Koninklijke BAM Groep N.V.,0.49,NL0000337319,archive
Voleon Capital Management LP,2019-11-25,Koninklijke BAM Groep N.V.,0.59,NL0000337319,archive
"WorldQuant, LLC",2019-11-25,AMG Critical Materials N.V.,0.58,NL0000888691,archive
AHL Partners LLP,2019-11-22,SBM Offshore N.V.,0.69,NL0000360618,archive
"AQR Capital Management, LLC",2019-11-22,Lakefront Biotherapeutics NV,1.14,BE0003818359,archive
Canada Pension Plan Investment Board,2019-11-22,Fugro N.V.,0.66,NL0000352565,archive
CQS (UK) LLP,2019-11-22,BE Semiconductor Industries N.V.,0.53,NL0012866412,archive
HBK Investments LP,2019-11-22,Fugro N.V.,1.09,NL0000352565,archive
JPMorgan Asset Management (UK) Ltd.,2019-11-22,Kendrion N.V.,0.0,NL0000852531,archive
Marshall Wace LLP,2019-11-22,AMG Critical Materials N.V.,0.81,NL0000888691,archive
Voleon Capital Management LP,2019-11-22,Fugro N.V.,0.6,NL0000352565,archive
Voleon Capital Management LP,2019-11-22,PostNL N.V.,0.7,NL0009739416,archive
"WorldQuant, LLC",2019-11-22,AMG Critical Materials N.V.,0.65,NL0000888691,archive
"WorldQuant, LLC",2019-11-22,Wereldhave N.V.,0.49,NL0000289213,archive
"AQR Capital Management, LLC",2019-11-21,ArcelorMittal S.A.,0.9,LU1598757687,archive
"AQR Capital Management, LLC",2019-11-21,Lakefront Biotherapeutics NV,1.21,BE0003818359,archive
Canada Pension Plan Investment Board,2019-11-21,Fugro N.V.,0.72,NL0000352565,archive
Canada Pension Plan Investment Board,2019-11-21,PostNL N.V.,0.49,NL0009739416,archive
Kuvari Partners LLP,2019-11-21,ARCADIS N.V.,0.73,NL0006237562,archive
Marshall Wace LLP,2019-11-21,PostNL N.V.,1.31,NL0009739416,archive
Sculptor Capital Management Europe Limited,2019-11-21,Fugro N.V.,1.89,NL0000352565,archive
AHL Partners LLP,2019-11-20,SBM Offshore N.V.,0.7,NL0000360618,archive
AKO Capital LLP,2019-11-20,ARCADIS N.V.,0.61,NL0006237562,archive
Canada Pension Plan Investment Board,2019-11-20,PostNL N.V.,0.57,NL0009739416,archive
Marshall Wace LLP,2019-11-20,AMG Critical Materials N.V.,0.71,NL0000888691,archive
Marshall Wace LLP,2019-11-20,Koninklijke BAM Groep N.V.,3.23,NL0000337319,archive
Marshall Wace LLP,2019-11-20,SBM Offshore N.V.,0.81,NL0000360618,archive
Voleon Capital Management LP,2019-11-20,AMG Critical Materials N.V.,1.02,NL0000888691,archive
Voleon Capital Management LP,2019-11-20,Fugro N.V.,0.59,NL0000352565,archive
"WorldQuant, LLC",2019-11-20,AMG Critical Materials N.V.,0.76,NL0000888691,archive
AKO Capital LLP,2019-11-19,ARCADIS N.V.,0.53,NL0006237562,archive
Canada Pension Plan Investment Board,2019-11-19,Fugro N.V.,0.89,NL0000352565,archive
ENA Investment Capital LLP,2019-11-19,Signify N.V.,0.81,NL0011821392,archive
Marshall Wace LLP,2019-11-19,Fugro N.V.,4.5,NL0000352565,archive
Marshall Wace LLP,2019-11-19,Lakefront Biotherapeutics NV,0.77,BE0003818359,archive
Marshall Wace LLP,2019-11-19,PostNL N.V.,1.23,NL0009739416,archive
Sculptor Capital Management Europe Limited,2019-11-19,Fugro N.V.,1.9,NL0000352565,archive
Voleon Capital Management LP,2019-11-19,AMG Critical Materials N.V.,0.99,NL0000888691,archive
Voleon Capital Management LP,2019-11-19,PostNL N.V.,0.6,NL0009739416,archive
"AQR Capital Management, LLC",2019-11-18,Lakefront Biotherapeutics NV,1.37,BE0003818359,archive
HBK Investments LP,2019-11-18,Koninklijke BAM Groep N.V.,0.5,NL0000337319,archive
Marshall Wace LLP,2019-11-18,AMG Critical Materials N.V.,0.62,NL0000888691,archive
Marshall Wace LLP,2019-11-18,Aperam S.A.,0.8,LU0569974404,archive
Marshall Wace LLP,2019-11-18,Fugro N.V.,4.42,NL0000352565,archive
Scopia Capital Management LP,2019-11-18,BE Semiconductor Industries N.V.,1.67,NL0012866412,archive
"WorldQuant, LLC",2019-11-18,AMG Critical Materials N.V.,0.98,NL0000888691,archive
"AQR Capital Management, LLC",2019-11-15,Lakefront Biotherapeutics NV,1.45,BE0003818359,archive
"AQR Capital Management, LLC",2019-11-15,OCI N.V.,1.39,NL0010558797,archive
"AQR Capital Management, LLC",2019-11-15,SBM Offshore N.V.,2.58,NL0000360618,archive
Marshall Wace LLP,2019-11-15,Koninklijke BAM Groep N.V.,3.1,NL0000337319,archive
Marshall Wace LLP,2019-11-15,PostNL N.V.,1.14,NL0009739416,archive
"PDT Partners, LLC",2019-11-15,PostNL N.V.,0.7,NL0009739416,archive
"WorldQuant, LLC",2019-11-15,AMG Critical Materials N.V.,1.09,NL0000888691,archive
"AQR Capital Management, LLC",2019-11-14,ArcelorMittal S.A.,0.8,LU1598757687,archive
Citadel Advisors LLC,2019-11-14,Lakefront Biotherapeutics NV,0.52,BE0003818359,archive
HBK Investments LP,2019-11-14,Fugro N.V.,1.12,NL0000352565,archive
Marshall Wace LLP,2019-11-14,AMG Critical Materials N.V.,0.51,NL0000888691,archive
Marshall Wace LLP,2019-11-14,PostNL N.V.,1.09,NL0009739416,archive
Scopia Capital Management LP,2019-11-14,BE Semiconductor Industries N.V.,1.72,NL0012866412,archive
"Arrowstreet Capital, Limited Partnership",2019-11-13,AMG Critical Materials N.V.,0.89,NL0000888691,archive
Marshall Wace LLP,2019-11-13,Fugro N.V.,4.31,NL0000352565,archive
Marshall Wace LLP,2019-11-13,Koninklijke BAM Groep N.V.,3.03,NL0000337319,archive
Millennium Capital Partners LLP,2019-11-13,Signify N.V.,0.58,NL0011821392,archive
Voleon Capital Management LP,2019-11-13,AMG Critical Materials N.V.,1.0,NL0000888691,archive
Voleon Capital Management LP,2019-11-13,PostNL N.V.,0.5,NL0009739416,archive
"WorldQuant, LLC",2019-11-13,AMG Critical Materials N.V.,1.26,NL0000888691,archive
"AQR Capital Management, LLC",2019-11-12,Adyen N.V.,0.6,NL0012969182,archive
Marshall Wace LLP,2019-11-12,Brunel International N.V.,0.52,NL0010776944,archive
Marshall Wace LLP,2019-11-12,Koninklijke BAM Groep N.V.,2.94,NL0000337319,archive
Marshall Wace LLP,2019-11-12,SBM Offshore N.V.,0.7,NL0000360618,archive
Voleon Capital Management LP,2019-11-12,Fugro N.V.,0.69,NL0000352565,archive
"AQR Capital Management, LLC",2019-11-11,Adyen N.V.,0.59,NL0012969182,archive
"Arrowstreet Capital, Limited Partnership",2019-11-11,AMG Critical Materials N.V.,0.93,NL0000888691,archive
Citadel Advisors II LLC,2019-11-11,Wereldhave N.V.,0.5,NL0000289213,archive
Citadel Advisors LLC,2019-11-11,Lakefront Biotherapeutics NV,0.49,BE0003818359,archive
Marshall Wace LLP,2019-11-11,Fugro N.V.,4.25,NL0000352565,archive
Marshall Wace LLP,2019-11-11,Lakefront Biotherapeutics NV,0.88,BE0003818359,archive
Marshall Wace LLP,2019-11-11,TomTom N.V.,0.99,NL0013332471,archive
"AQR Capital Management, LLC",2019-11-08,Lakefront Biotherapeutics NV,1.58,BE0003818359,archive
Canada Pension Plan Investment Board,2019-11-08,PostNL N.V.,0.68,NL0009739416,archive
Kuvari Partners LLP,2019-11-08,ARCADIS N.V.,0.85,NL0006237562,archive
"Lucerne Capital Management, L.P.",2019-11-08,Koninklijke BAM Groep N.V.,0.18,NL0000337319,archive
Marshall Wace LLP,2019-11-08,Koninklijke BAM Groep N.V.,2.89,NL0000337319,archive
Marshall Wace LLP,2019-11-08,PostNL N.V.,1.15,NL0009739416,archive
Marshall Wace LLP,2019-11-08,SBM Offshore N.V.,0.63,NL0000360618,archive
Millennium International Management LP,2019-11-08,Signify N.V.,0.81,NL0011821392,archive
Voleon Capital Management LP,2019-11-08,AMG Critical Materials N.V.,0.98,NL0000888691,archive
Voleon Capital Management LP,2019-11-08,Koninklijke BAM Groep N.V.,0.63,NL0000337319,archive
"AQR Capital Management, LLC",2019-11-07,Adyen N.V.,0.6,NL0012969182,archive
"AQR Capital Management, LLC",2019-11-07,Lakefront Biotherapeutics NV,1.65,BE0003818359,archive
"Arrowstreet Capital, Limited Partnership",2019-11-07,AMG Critical Materials N.V.,1.09,NL0000888691,archive
Citadel Advisors II LLC,2019-11-07,Wereldhave N.V.,0.49,NL0000289213,archive
GSA Capital Partners LLP,2019-11-07,Koninklijke BAM Groep N.V.,0.49,NL0000337319,archive
Marshall Wace LLP,2019-11-07,Aperam S.A.,0.78,LU0569974404,archive
Marshall Wace LLP,2019-11-07,PostNL N.V.,1.2,NL0009739416,archive
"PDT Partners, LLC",2019-11-07,PostNL N.V.,0.69,NL0009739416,archive
"AQR Capital Management, LLC",2019-11-06,Adyen N.V.,0.59,NL0012969182,archive
"Arrowstreet Capital, Limited Partnership",2019-11-06,AMG Critical Materials N.V.,1.17,NL0000888691,archive
Canada Pension Plan Investment Board,2019-11-06,PostNL N.V.,0.76,NL0009739416,archive
GSA Capital Partners LLP,2019-11-06,Koninklijke BAM Groep N.V.,0.61,NL0000337319,archive
Marshall Wace LLP,2019-11-06,Lakefront Biotherapeutics NV,0.99,BE0003818359,archive
Marshall Wace LLP,2019-11-06,PostNL N.V.,1.16,NL0009739416,archive
Marshall Wace LLP,2019-11-06,SBM Offshore N.V.,0.51,NL0000360618,archive
"PDT Partners, LLC",2019-11-06,PostNL N.V.,0.72,NL0009739416,archive
Voleon Capital Management LP,2019-11-06,PostNL N.V.,0.49,NL0009739416,archive
"AQR Capital Management, LLC",2019-11-05,Adyen N.V.,0.6,NL0012969182,archive
"AQR Capital Management, LLC",2019-11-05,Lakefront Biotherapeutics NV,1.77,BE0003818359,archive
"Arrowstreet Capital, Limited Partnership",2019-11-05,AMG Critical Materials N.V.,1.28,NL0000888691,archive
Canada Pension Plan Investment Board,2019-11-05,PostNL N.V.,0.84,NL0009739416,archive
Citadel Advisors LLC,2019-11-05,Lakefront Biotherapeutics NV,0.53,BE0003818359,archive
Clearance Capital Limited,2019-11-05,Eurocommercial Properties N.V.,0.64,NL0000288876,archive
HBK Investments LP,2019-11-05,Fugro N.V.,1.08,NL0000352565,archive
Marshall Wace LLP,2019-11-05,Koninklijke BAM Groep N.V.,2.95,NL0000337319,archive
Millennium Capital Partners LLP,2019-11-05,Signify N.V.,0.62,NL0011821392,archive
Scopia Capital Management LP,2019-11-05,BE Semiconductor Industries N.V.,1.88,NL0012866412,archive
Sculptor Capital Management Europe Limited,2019-11-05,Fugro N.V.,1.88,NL0000352565,archive
SFM UK Management LLP,2019-11-05,TKH Group N.V.,0.71,NL0000852523,archive
Voleon Capital Management LP,2019-11-05,AMG Critical Materials N.V.,1.01,NL0000888691,archive
Voleon Capital Management LP,2019-11-05,Fugro N.V.,0.79,NL0000352565,archive
Voleon Capital Management LP,2019-11-05,PostNL N.V.,0.57,NL0009739416,archive
"WorldQuant, LLC",2019-11-05,AMG Critical Materials N.V.,1.11,NL0000888691,archive
"AQR Capital Management, LLC",2019-11-04,Adyen N.V.,0.59,NL0012969182,archive
"D. E. Shaw & Co., L.P.",2019-11-04,Lakefront Biotherapeutics NV,1.01,BE0003818359,archive
HBK Investments LP,2019-11-04,Koninklijke BAM Groep N.V.,0.49,NL0000337319,archive
Marshall Wace LLP,2019-11-04,Aperam S.A.,0.88,LU0569974404,archive
SFM UK Management LLP,2019-11-04,TKH Group N.V.,0.62,NL0000852523,archive
UBS Asset Management (UK) Ltd.,2019-11-04,Fugro N.V.,0.61,NL0000352565,archive
Voleon Capital Management LP,2019-11-04,PostNL N.V.,0.62,NL0009739416,archive
"AQR Capital Management, LLC",2019-11-01,Adyen N.V.,0.6,NL0012969182,archive
"AQR Capital Management, LLC",2019-11-01,Koninklijke Vopak N.V.,1.59,NL0009432491,archive
Clearance Capital Limited,2019-11-01,Wereldhave N.V.,1.23,NL0000289213,archive
"Eminence Capital, LP",2019-11-01,AMG Critical Materials N.V.,2.7,NL0000888691,archive
Marshall Wace Asia Limited,2019-11-01,ARCADIS N.V.,1.4,NL0006237562,archive
Marshall Wace LLP,2019-11-01,AMG Critical Materials N.V.,0.48,NL0000888691,archive
Marshall Wace LLP,2019-11-01,ARCADIS N.V.,2.35,NL0006237562,archive
Marshall Wace LLP,2019-11-01,Fugro N.V.,4.1,NL0000352565,archive
"PDT Partners, LLC",2019-11-01,PostNL N.V.,0.67,NL0009739416,archive
Scopia Capital Management LP,2019-11-01,BE Semiconductor Industries N.V.,1.98,NL0012866412,archive
SFM UK Management LLP,2019-11-01,TKH Group N.V.,0.57,NL0000852523,archive
Voleon Capital Management LP,2019-11-01,AMG Critical Materials N.V.,0.91,NL0000888691,archive
Voleon Capital Management LP,2019-11-01,Koninklijke BAM Groep N.V.,0.51,NL0000337319,archive
"WorldQuant, LLC",2019-11-01,AMG Critical Materials N.V.,1.02,NL0000888691,archive
"AQR Capital Management, LLC",2019-10-31,Lakefront Biotherapeutics NV,1.89,BE0003818359,archive
"Arrowstreet Capital, Limited Partnership",2019-10-31,AMG Critical Materials N.V.,1.38,NL0000888691,archive
Capital Fund Management S.A.,2019-10-31,Fugro N.V.,0.89,NL0000352565,archive
Citadel Europe LLP,2019-10-31,BE Semiconductor Industries N.V.,0.64,NL0012866412,archive
Marshall Wace LLP,2019-10-31,Fugro N.V.,4.03,NL0000352565,archive
Marshall Wace LLP,2019-10-31,Koninklijke BAM Groep N.V.,3.08,NL0000337319,archive
Marshall Wace LLP,2019-10-31,Wereldhave N.V.,0.91,NL0000289213,archive
Scopia Capital Management LP,2019-10-31,BE Semiconductor Industries N.V.,2.13,NL0012866412,archive
"AQR Capital Management, LLC",2019-10-30,ArcelorMittal S.A.,0.71,LU1598757687,archive
"Arrowstreet Capital, Limited Partnership",2019-10-30,AMG Critical Materials N.V.,1.41,NL0000888691,archive
"Connor, Clark & Lunn Investment Management Ltd.",2019-10-30,AMG Critical Materials N.V.,1.39,NL0000888691,archive
Marshall Wace LLP,2019-10-30,AMG Critical Materials N.V.,0.52,NL0000888691,archive
Marshall Wace LLP,2019-10-30,Aperam S.A.,0.99,LU0569974404,archive
Marshall Wace LLP,2019-10-30,Fugro N.V.,3.97,NL0000352565,archive
Marshall Wace LLP,2019-10-30,Lakefront Biotherapeutics NV,1.09,BE0003818359,archive
"PDT Partners, LLC",2019-10-30,PostNL N.V.,0.7,NL0009739416,archive
Scopia Capital Management LP,2019-10-30,BE Semiconductor Industries N.V.,2.25,NL0012866412,archive
Voleon Capital Management LP,2019-10-30,AMG Critical Materials N.V.,0.82,NL0000888691,archive
Voleon Capital Management LP,2019-10-30,Koninklijke BAM Groep N.V.,0.49,NL0000337319,archive
BlueCrest Capital Management Limited,2019-10-29,Fugro N.V.,0.7,NL0000352565,archive
Citadel Advisors LLC,2019-10-29,Lakefront Biotherapeutics NV,0.46,BE0003818359,archive
"D. E. Shaw & Co., L.P.",2019-10-29,Lakefront Biotherapeutics NV,0.98,BE0003818359,archive
Marshall Wace LLP,2019-10-29,Fugro N.V.,3.85,NL0000352565,archive
Marshall Wace LLP,2019-10-29,PostNL N.V.,1.09,NL0009739416,archive
Millennium Capital Partners LLP,2019-10-29,Signify N.V.,0.56,NL0011821392,archive
Millennium International Management LP,2019-10-29,Signify N.V.,0.73,NL0011821392,archive
Scopia Capital Management LP,2019-10-29,BE Semiconductor Industries N.V.,2.4,NL0012866412,archive
"WorldQuant, LLC",2019-10-29,Wereldhave N.V.,0.56,NL0000289213,archive
"Arrowstreet Capital, Limited Partnership",2019-10-28,AMG Critical Materials N.V.,1.59,NL0000888691,archive
Citadel Advisors LLC,2019-10-28,Lakefront Biotherapeutics NV,0.59,BE0003818359,archive
"D. E. Shaw & Co., L.P.",2019-10-28,Lakefront Biotherapeutics NV,1.0,BE0003818359,archive
Marshall Wace LLP,2019-10-28,Fugro N.V.,3.74,NL0000352565,archive
Marshall Wace LLP,2019-10-28,PostNL N.V.,1.1,NL0009739416,archive
Otus Capital Management Ltd.,2019-10-28,Brunel International N.V.,0.43,NL0010776944,archive
Scopia Capital Management LP,2019-10-28,BE Semiconductor Industries N.V.,2.56,NL0012866412,archive
Tybourne Capital Management (HK) Limited,2019-10-28,Signify N.V.,1.16,NL0011821392,archive
Voleon Capital Management LP,2019-10-28,AMG Critical Materials N.V.,0.78,NL0000888691,archive
"WorldQuant, LLC",2019-10-28,AMG Critical Materials N.V.,0.92,NL0000888691,archive
Citadel Advisors II LLC,2019-10-25,Pharming Group N.V.,0.19,NL0010391025,archive
Citadel Advisors II LLC,2019-10-25,Wereldhave N.V.,0.51,NL0000289213,archive
Citadel Advisors LLC,2019-10-25,Lakefront Biotherapeutics NV,0.69,BE0003818359,archive
Lansdowne Partners (UK) LLP,2019-10-25,ARCADIS N.V.,2.53,NL0006237562,archive
Marshall Wace LLP,2019-10-25,Fugro N.V.,3.65,NL0000352565,archive
Marshall Wace LLP,2019-10-25,Lakefront Biotherapeutics NV,1.1,BE0003818359,archive
Marshall Wace LLP,2019-10-25,Wereldhave N.V.,0.81,NL0000289213,archive
Millennium International Management LP,2019-10-25,Signify N.V.,0.88,NL0011821392,archive
"WorldQuant, LLC",2019-10-25,AMG Critical Materials N.V.,0.87,NL0000888691,archive
"WorldQuant, LLC",2019-10-25,Wereldhave N.V.,0.6,NL0000289213,archive
BlueCrest Capital Management Limited,2019-10-24,Fugro N.V.,0.65,NL0000352565,archive
Citadel Europe LLP,2019-10-24,BE Semiconductor Industries N.V.,0.81,NL0012866412,archive
"D. E. Shaw & Co., L.P.",2019-10-24,Lakefront Biotherapeutics NV,1.1,BE0003818359,archive
"Davidson Kempner European Partners, LLP",2019-10-24,BE Semiconductor Industries N.V.,1.45,NL0012866412,archive
Kuvari Partners LLP,2019-10-24,ARCADIS N.V.,0.9,NL0006237562,archive
Lansdowne Partners (UK) LLP,2019-10-24,ARCADIS N.V.,2.63,NL0006237562,archive
Marshall Wace LLP,2019-10-24,ARCADIS N.V.,2.42,NL0006237562,archive
Marshall Wace LLP,2019-10-24,PostNL N.V.,1.09,NL0009739416,archive
Marshall Wace LLP,2019-10-24,TomTom N.V.,1.0,NL0013332471,archive
Millennium Capital Partners LLP,2019-10-24,Signify N.V.,0.63,NL0011821392,archive
Voleon Capital Management LP,2019-10-24,PostNL N.V.,0.58,NL0009739416,archive
"WorldQuant, LLC",2019-10-24,AMG Critical Materials N.V.,0.9,NL0000888691,archive
"WorldQuant, LLC",2019-10-24,Wereldhave N.V.,0.59,NL0000289213,archive
"AQR Capital Management, LLC",2019-10-23,SBM Offshore N.V.,2.69,NL0000360618,archive
HBK Investments LP,2019-10-23,Koninklijke BAM Groep N.V.,0.5,NL0000337319,archive
Marshall Wace LLP,2019-10-23,AMG Critical Materials N.V.,0.49,NL0000888691,archive
Marshall Wace LLP,2019-10-23,Fugro N.V.,3.32,NL0000352565,archive
Marshall Wace LLP,2019-10-23,Randstad N.V.,0.49,NL0000379121,archive
Millennium International Management LP,2019-10-23,Signify N.V.,0.91,NL0011821392,archive
Otus Capital Management Ltd.,2019-10-23,Brunel International N.V.,0.58,NL0010776944,archive
Voleon Capital Management LP,2019-10-23,Fugro N.V.,0.89,NL0000352565,archive
AHL Partners LLP,2019-10-22,SBM Offshore N.V.,0.6,NL0000360618,archive
"AQR Capital Management, LLC",2019-10-22,ArcelorMittal S.A.,0.62,LU1598757687,archive
Clearance Capital Limited,2019-10-22,Wereldhave N.V.,1.17,NL0000289213,archive
"Connor, Clark & Lunn Investment Management Ltd.",2019-10-22,Fugro N.V.,0.59,NL0000352565,archive
Marshall Wace LLP,2019-10-22,TomTom N.V.,0.95,NL0013332471,archive
Scopia Capital Management LP,2019-10-22,BE Semiconductor Industries N.V.,2.66,NL0012866412,archive
Voleon Capital Management LP,2019-10-22,AMG Critical Materials N.V.,0.8,NL0000888691,archive
BlueCrest Capital Management Limited,2019-10-21,Fugro N.V.,0.51,NL0000352565,archive
Citadel Advisors II LLC,2019-10-21,Pharming Group N.V.,0.53,NL0010391025,archive
HBK Investments LP,2019-10-21,Fugro N.V.,1.19,NL0000352565,archive
HBK Investments LP,2019-10-21,Koninklijke BAM Groep N.V.,0.49,NL0000337319,archive
Lancaster Investment Management LLP,2019-10-21,Koninklijke BAM Groep N.V.,1.32,NL0000337319,archive
Marshall Wace LLP,2019-10-21,Fugro N.V.,3.22,NL0000352565,archive
Marshall Wace LLP,2019-10-21,Wereldhave N.V.,0.78,NL0000289213,archive
Scopia Capital Management LP,2019-10-21,BE Semiconductor Industries N.V.,2.74,NL0012866412,archive
"AQR Capital Management, LLC",2019-10-18,SBM Offshore N.V.,2.71,NL0000360618,archive
Clearance Capital Limited,2019-10-18,Wereldhave N.V.,0.96,NL0000289213,archive
"D. E. Shaw & Co., L.P.",2019-10-18,Lakefront Biotherapeutics NV,1.02,BE0003818359,archive
Marshall Wace LLP,2019-10-18,Lakefront Biotherapeutics NV,0.9,BE0003818359,archive
Scopia Capital Management LP,2019-10-18,BE Semiconductor Industries N.V.,2.87,NL0012866412,archive
Sculptor Capital Management Europe Limited,2019-10-18,Fugro N.V.,1.99,NL0000352565,archive
"WorldQuant, LLC",2019-10-18,AMG Critical Materials N.V.,0.87,NL0000888691,archive
"WorldQuant, LLC",2019-10-18,Wereldhave N.V.,0.6,NL0000289213,archive
AHL Partners LLP,2019-10-17,PostNL N.V.,0.47,NL0009739416,archive
"AQR Capital Management, LLC",2019-10-17,ArcelorMittal S.A.,0.5,LU1598757687,archive
Citadel Advisors II LLC,2019-10-17,Pharming Group N.V.,0.48,NL0010391025,archive
"D. E. Shaw & Co., L.P.",2019-10-17,Lakefront Biotherapeutics NV,0.99,BE0003818359,archive
HBK Investments LP,2019-10-17,Fugro N.V.,1.24,NL0000352565,archive
Marshall Wace LLP,2019-10-17,Koninklijke BAM Groep N.V.,3.1,NL0000337319,archive
Marshall Wace LLP,2019-10-17,PostNL N.V.,1.19,NL0009739416,archive
Scopia Capital Management LP,2019-10-17,BE Semiconductor Industries N.V.,2.93,NL0012866412,archive
Voleon Capital Management LP,2019-10-17,Koninklijke BAM Groep N.V.,0.5,NL0000337319,archive
Voleon Capital Management LP,2019-10-17,PostNL N.V.,0.68,NL0009739416,archive
"WorldQuant, LLC",2019-10-17,Fugro N.V.,0.37,NL0000352565,archive
Citadel Advisors II LLC,2019-10-16,Pharming Group N.V.,0.52,NL0010391025,archive
HBK Investments LP,2019-10-16,Fugro N.V.,1.32,NL0000352565,archive
Jupiter Investment Management Limited,2019-10-16,BE Semiconductor Industries N.V.,0.47,NL0012866412,archive
Marshall Wace LLP,2019-10-16,AMG Critical Materials N.V.,0.58,NL0000888691,archive
Marshall Wace LLP,2019-10-16,BE Semiconductor Industries N.V.,0.44,NL0012866412,archive
Millennium Capital Partners LLP,2019-10-16,Signify N.V.,0.7,NL0011821392,archive
Otus Capital Management Ltd.,2019-10-16,Brunel International N.V.,0.7,NL0010776944,archive
Sculptor Capital Management Europe Limited,2019-10-16,Fugro N.V.,2.05,NL0000352565,archive
"WorldQuant, LLC",2019-10-16,Fugro N.V.,0.51,NL0000352565,archive
Capital Fund Management S.A.,2019-10-15,PostNL N.V.,0.48,NL0009739416,archive
Citadel Europe LLP,2019-10-15,Fugro N.V.,0.48,NL0000352565,archive
HBK Investments LP,2019-10-15,Fugro N.V.,1.4,NL0000352565,archive
Marshall Wace LLP,2019-10-15,Fugro N.V.,3.18,NL0000352565,archive
Marshall Wace LLP,2019-10-15,Koninklijke BAM Groep N.V.,3.02,NL0000337319,archive
Marshall Wace LLP,2019-10-15,PostNL N.V.,1.28,NL0009739416,archive
Millennium International Management LP,2019-10-15,Signify N.V.,0.81,NL0011821392,archive
Scopia Capital Management LP,2019-10-15,BE Semiconductor Industries N.V.,3.07,NL0012866412,archive
Sculptor Capital Management Europe Limited,2019-10-15,Fugro N.V.,2.12,NL0000352565,archive
Tybourne Capital Management (HK) Limited,2019-10-15,Signify N.V.,1.77,NL0011821392,archive
Whitebox Advisors LLC,2019-10-15,Fugro N.V.,0.51,NL0000352565,archive
AHL Partners LLP,2019-10-14,PostNL N.V.,0.57,NL0009739416,archive
Marshall Wace LLP,2019-10-14,Wereldhave N.V.,0.88,NL0000289213,archive
Otus Capital Management Ltd.,2019-10-14,Brunel International N.V.,0.65,NL0010776944,archive
"WorldQuant, LLC",2019-10-14,AMG Critical Materials N.V.,0.97,NL0000888691,archive
Boldhaven Management LLP,2019-10-11,Koninklijke BAM Groep N.V.,0.43,NL0000337319,archive
Capital Fund Management S.A.,2019-10-11,Wereldhave N.V.,0.49,NL0000289213,archive
Marshall Wace LLP,2019-10-11,Koninklijke BAM Groep N.V.,2.94,NL0000337319,archive
Marshall Wace LLP,2019-10-11,PostNL N.V.,1.36,NL0009739416,archive
Millennium International Management LP,2019-10-11,Signify N.V.,0.79,NL0011821392,archive
Scopia Capital Management LP,2019-10-11,BE Semiconductor Industries N.V.,3.17,NL0012866412,archive
"WorldQuant, LLC",2019-10-11,Wereldhave N.V.,0.5,NL0000289213,archive
"AQR Capital Management, LLC",2019-10-10,SBM Offshore N.V.,2.6,NL0000360618,archive
Capital Fund Management S.A.,2019-10-10,PostNL N.V.,0.59,NL0009739416,archive
"D. E. Shaw & Co., L.P.",2019-10-10,Lakefront Biotherapeutics NV,1.01,BE0003818359,archive
"D. E. Shaw & Co., L.P.",2019-10-10,Wereldhave N.V.,0.49,NL0000289213,archive
"Eminence Capital, LP",2019-10-10,AMG Critical Materials N.V.,2.69,NL0000888691,archive
HBK Investments LP,2019-10-10,Fugro N.V.,1.67,NL0000352565,archive
Jupiter Investment Management Limited,2019-10-10,AMG Critical Materials N.V.,2.19,NL0000888691,archive
Marshall Wace LLP,2019-10-10,BE Semiconductor Industries N.V.,0.59,NL0012866412,archive
Marshall Wace LLP,2019-10-10,Koninklijke BAM Groep N.V.,2.81,NL0000337319,archive
Millennium International Management LP,2019-10-10,Signify N.V.,0.81,NL0011821392,archive
Otus Capital Management Ltd.,2019-10-10,Brunel International N.V.,0.51,NL0010776944,archive
Voleon Capital Management LP,2019-10-10,AMG Critical Materials N.V.,0.7,NL0000888691,archive
Voleon Capital Management LP,2019-10-10,PostNL N.V.,0.79,NL0009739416,archive
Wellington Management Company LLP,2019-10-10,Wereldhave N.V.,0.47,NL0000289213,archive
Citadel Advisors II LLC,2019-10-09,AMG Critical Materials N.V.,0.48,NL0000888691,archive
Citadel Advisors LLC,2019-10-09,Lakefront Biotherapeutics NV,0.79,BE0003818359,archive
"D. E. Shaw & Co., L.P.",2019-10-09,Lakefront Biotherapeutics NV,0.99,BE0003818359,archive
HBK Investments LP,2019-10-09,Fugro N.V.,1.72,NL0000352565,archive
Jupiter Investment Management Limited,2019-10-09,BE Semiconductor Industries N.V.,0.58,NL0012866412,archive
Marshall Wace LLP,2019-10-09,AMG Critical Materials N.V.,0.67,NL0000888691,archive
Marshall Wace LLP,2019-10-09,Fugro N.V.,3.4,NL0000352565,archive
Marshall Wace LLP,2019-10-09,Koninklijke BAM Groep N.V.,2.74,NL0000337319,archive
Marshall Wace LLP,2019-10-09,TomTom N.V.,0.8,NL0013332471,archive
Marshall Wace LLP,2019-10-09,Wereldhave N.V.,0.9,NL0000289213,archive
Voleon Capital Management LP,2019-10-09,Fugro N.V.,0.93,NL0000352565,archive
Voleon Capital Management LP,2019-10-09,PostNL N.V.,0.8,NL0009739416,archive
Wellington Management Company LLP,2019-10-09,Wereldhave N.V.,0.55,NL0000289213,archive
