issuer_name,net_short_position,isin,position_holder,position_date,source
CVC Capital Partners plc,0.81,JE00BRX98089,Qube Research & Technologies Ltd.,2026-03-24,current
Signify N.V.,0.89,NL0011821392,Qube Research & Technologies Ltd.,2026-03-24,current
IMCD N.V.,0.59,NL0010801007,Squarepoint Ops LLC,2026-03-24,current
InPost S.A.,1.44,LU2290522684,"Two Sigma Investments, LP",2026-03-24,current
Theon International Plc,0.6,CY0200751713,"Two Sigma Investments, LP",2026-03-24,current
Alfen N.V.,2.0,NL0012817175,Voleon Capital Management LP,2026-03-24,current
Envipco Holding N.V.,0.62,NL0015000GX8,Actus Ray Partners Limited,2026-03-23,current
Adyen N.V.,0.72,NL0012969182,"AQR Capital Management, LLC",2026-03-23,current
Alfen N.V.,0.64,NL0012817175,"AQR Capital Management, LLC",2026-03-23,current
IMCD N.V.,1.01,NL0010801007,"Arrowstreet Capital, Limited Partnership",2026-03-23,current
Signify N.V.,0.6,NL0011821392,"BlackRock Financial Management, Inc.",2026-03-23,current
Signify N.V.,1.19,NL0011821392,Citadel Advisors Europe Limited,2026-03-23,current
Signify N.V.,2.3,NL0011821392,Citadel Advisors LLC,2026-03-23,current
Alfen N.V.,1.18,NL0012817175,"D. E. Shaw & Co., L.P.",2026-03-23,current
PostNL N.V.,0.69,NL0009739416,"D. E. Shaw & Co., L.P.",2026-03-23,current
The Magnum Ice Cream Company N.V.,0.51,NL0015002MS2,GLG Partners LP,2026-03-23,current
Akzo Nobel N.V.,0.78,NL0013267909,Kintbury Capital LLP,2026-03-23,current
PostNL N.V.,0.7,NL0009739416,Marshall Wace LLP,2026-03-23,current
Akzo Nobel N.V.,0.69,NL0013267909,Millennium International Management LP,2026-03-23,current
Theon International Plc,1.01,CY0200751713,Qube Research & Technologies Ltd.,2026-03-23,current
ARCADIS N.V.,1.05,NL0006237562,Squarepoint Ops LLC,2026-03-23,current
IMCD N.V.,0.6,NL0010801007,Squarepoint Ops LLC,2026-03-23,current
InPost S.A.,1.36,LU2290522684,"Two Sigma Investments, LP",2026-03-23,current
Signify N.V.,0.58,NL0011821392,"BlackRock Financial Management, Inc.",2026-03-20,current
Adyen N.V.,0.7,NL0012969182,Capital Fund Management S.A.,2026-03-20,current
BE Semiconductor Industries N.V.,0.59,NL0012866412,"D. E. Shaw & Co., L.P.",2026-03-20,current
DSM-Firmenich AG,0.75,CH1216478797,Ilex Capital Partners (UK) LLP,2026-03-20,current
Akzo Nobel N.V.,0.87,NL0013267909,Kintbury Capital LLP,2026-03-20,current
Randstad N.V.,0.83,NL0000379121,Marshall Wace LLP,2026-03-20,current
The Magnum Ice Cream Company N.V.,1.52,NL0015002MS2,Marshall Wace LLP,2026-03-20,current
Signify N.V.,0.8,NL0011821392,Millennium Capital (DIFC) Limited,2026-03-20,current
Signify N.V.,0.91,NL0011821392,Qube Research & Technologies Ltd.,2026-03-20,current
Theon International Plc,0.99,CY0200751713,Qube Research & Technologies Ltd.,2026-03-20,current
IMCD N.V.,0.57,NL0010801007,Squarepoint Ops LLC,2026-03-20,current
IMCD N.V.,0.81,NL0010801007,"Two Sigma Investments, LP",2026-03-20,current
InPost S.A.,1.26,LU2290522684,"Two Sigma Investments, LP",2026-03-20,current
ING Groep N.V.,0.51,NL0011821202,Viking Global Investors LP,2026-03-20,current
Akzo Nobel N.V.,1.31,NL0013267909,AKO Capital LLP,2026-03-19,current
Alfen N.V.,0.51,NL0012817175,"AQR Capital Management, LLC",2026-03-19,current
ARCADIS N.V.,0.8,NL0006237562,"AQR Capital Management, LLC",2026-03-19,current
CVC Capital Partners plc,0.6,JE00BRX98089,Marshall Wace LLP,2026-03-19,current
Randstad N.V.,0.73,NL0000379121,Marshall Wace LLP,2026-03-19,current
The Magnum Ice Cream Company N.V.,1.43,NL0015002MS2,Marshall Wace LLP,2026-03-19,current
TomTom N.V.,0.61,NL0013332471,Winton Capital Management Limited,2026-03-19,current
Alfen N.V.,2.83,NL0012817175,"WorldQuant, LLC",2026-03-19,current
IMCD N.V.,0.6,NL0010801007,"WorldQuant, LLC",2026-03-19,current
Adyen N.V.,0.6,NL0012969182,"AQR Capital Management, LLC",2026-03-18,current
Signify N.V.,1.21,NL0011821392,Citadel Advisors Europe Limited,2026-03-18,current
Akzo Nobel N.V.,0.52,NL0013267909,"Empyrean Capital Overseas Master Fund, Ltd",2026-03-18,current
DSM-Firmenich AG,0.87,CH1216478797,Ilex Capital Partners (UK) LLP,2026-03-18,current
Theon International Plc,0.57,CY0200751713,Qube Research & Technologies Ltd.,2026-03-18,current
