issuer_name,net_short_position,isin,position_holder,position_date,source
AMG Critical Materials N.V.,0.58,NL0000888691,"PDT Partners, LLC",2022-05-05,archive
ABN AMRO Bank NV,0.44,NL0011540547,Qube Research & Technologies Ltd.,2022-05-05,archive
TomTom N.V.,0.46,NL0013332471,Qube Research & Technologies Ltd.,2022-05-05,archive
Koninklijke Philips N.V.,0.63,NL0000009538,Citadel Advisors LLC,2022-05-04,archive
ABN AMRO Bank NV,0.82,NL0011540547,Marshall Wace LLP,2022-05-04,archive
Aperam S.A.,0.58,LU0569974404,Millennium Capital Partners LLP,2022-05-04,archive
PostNL N.V.,1.7,NL0009739416,Millennium Capital Partners LLP,2022-05-04,archive
Fugro N.V.,0.49,NL00150003E1,BlackRock Investment Management (UK) Limited,2022-05-03,archive
Pharming Group N.V.,0.48,NL0010391025,Citadel Advisors LLC,2022-05-03,archive
PostNL N.V.,0.73,NL0009739416,Citadel Advisors LLC,2022-05-03,archive
TomTom N.V.,0.58,NL0013332471,Citadel Advisors LLC,2022-05-03,archive
PostNL N.V.,2.0,NL0009739416,Marshall Wace LLP,2022-05-03,archive
Unibail-Rodamco-Westfield SE,0.8,FR0013326246,Marshall Wace LLP,2022-05-03,archive
PostNL N.V.,1.1,NL0009739416,Millennium International Management LP,2022-05-03,archive
PostNL N.V.,0.89,NL0009739416,Voleon Capital Management LP,2022-05-03,archive
Basic-Fit N.V.,0.44,NL0011872650,CapeView Capital LLP,2022-05-02,archive
Koninklijke Philips N.V.,0.62,NL0000009538,Marshall Wace LLP,2022-05-02,archive
PostNL N.V.,1.95,NL0009739416,Marshall Wace LLP,2022-05-02,archive
TomTom N.V.,0.5,NL0013332471,Qube Research & Technologies Ltd.,2022-05-02,archive
Signify N.V.,1.01,NL0011821392,Sandbar Assets Management LLP,2022-05-02,archive
PostNL N.V.,0.91,NL0009739416,Voleon Capital Management LP,2022-05-02,archive
PostNL N.V.,0.49,NL0009739416,"WorldQuant, LLC",2022-05-02,archive
BE Semiconductor Industries N.V.,0.53,NL0012866412,"Davidson Kempner European Partners, LLP",2022-04-29,archive
Signify N.V.,0.98,NL0011821392,Sandbar Assets Management LLP,2022-04-29,archive
Basic-Fit N.V.,0.57,NL0011872650,CapeView Capital LLP,2022-04-28,archive
Pharming Group N.V.,0.5,NL0010391025,Citadel Advisors LLC,2022-04-28,archive
PostNL N.V.,0.67,NL0009739416,Citadel Advisors LLC,2022-04-28,archive
BE Semiconductor Industries N.V.,0.98,NL0012866412,"Davidson Kempner European Partners, LLP",2022-04-28,archive
PostNL N.V.,0.47,NL0009739416,HRTEU Limited,2022-04-28,archive
Koninklijke Ahold Delhaize N.V.,0.61,NL0011794037,Marshall Wace LLP,2022-04-28,archive
Aperam S.A.,0.6,LU0569974404,Millennium Capital Partners LLP,2022-04-28,archive
PostNL N.V.,1.6,NL0009739416,Millennium Capital Partners LLP,2022-04-28,archive
Basic-Fit N.V.,0.61,NL0011872650,CapeView Capital LLP,2022-04-27,archive
PostNL N.V.,0.7,NL0009739416,Citadel Advisors LLC,2022-04-27,archive
PostNL N.V.,0.51,NL0009739416,HRTEU Limited,2022-04-27,archive
PostNL N.V.,1.8,NL0009739416,Marshall Wace LLP,2022-04-27,archive
Unibail-Rodamco-Westfield SE,0.7,FR0013326246,Marshall Wace LLP,2022-04-27,archive
PostNL N.V.,1.56,NL0009739416,Millennium Capital Partners LLP,2022-04-27,archive
PostNL N.V.,1.08,NL0009739416,Millennium International Management LP,2022-04-27,archive
ABN AMRO Bank NV,0.52,NL0011540547,Qube Research & Technologies Ltd.,2022-04-27,archive
Aperam S.A.,0.53,LU0569974404,BlackRock Investment Management (UK) Limited,2022-04-26,archive
BE Semiconductor Industries N.V.,1.01,NL0012866412,"Davidson Kempner European Partners, LLP",2022-04-26,archive
ABN AMRO Bank NV,0.99,NL0011540547,Marshall Wace LLP,2022-04-26,archive
Alfen N.V.,0.58,NL0012817175,Odey Asset Management LLP,2022-04-26,archive
Signify N.V.,1.0,NL0011821392,Sandbar Assets Management LLP,2022-04-26,archive
CM.com N.V.,0.46,NL0012747059,JPMorgan Asset Management (UK) Ltd.,2022-04-25,archive
ABN AMRO Bank NV,1.01,NL0011540547,Marshall Wace LLP,2022-04-25,archive
PostNL N.V.,1.71,NL0009739416,Marshall Wace LLP,2022-04-25,archive
PostNL N.V.,1.1,NL0009739416,Millennium International Management LP,2022-04-25,archive
Wereldhave N.V.,3.26,NL0000289213,"Woodson Capital Master Fund, LP",2022-04-25,archive
PostNL N.V.,0.56,NL0009739416,"WorldQuant, LLC",2022-04-25,archive
Basic-Fit N.V.,0.51,NL0011872650,CapeView Capital LLP,2022-04-22,archive
AMG Critical Materials N.V.,0.69,NL0000888691,Capital Fund Management S.A.,2022-04-22,archive
BE Semiconductor Industries N.V.,0.25,NL0012866412,CQS (UK) LLP,2022-04-22,archive
Koninklijke Ahold Delhaize N.V.,0.51,NL0011794037,Marshall Wace LLP,2022-04-22,archive
PostNL N.V.,1.63,NL0009739416,Marshall Wace LLP,2022-04-22,archive
Koninklijke BAM Groep N.V.,0.89,NL0000337319,"WorldQuant, LLC",2022-04-22,archive
Basic-Fit N.V.,1.21,NL0011872650,Citadel Advisors Europe Limited,2022-04-21,archive
PostNL N.V.,0.67,NL0009739416,Citadel Advisors LLC,2022-04-21,archive
InPost S.A.,0.48,LU2290522684,Kuvari Partners LLP,2022-04-21,archive
Basic-Fit N.V.,0.47,NL0011872650,CapeView Capital LLP,2022-04-20,archive
PostNL N.V.,0.59,NL0009739416,Citadel Advisors LLC,2022-04-20,archive
Alfen N.V.,0.49,NL0012817175,Marshall Wace LLP,2022-04-20,archive
Signify N.V.,0.96,NL0011821392,Sandbar Assets Management LLP,2022-04-20,archive
PostNL N.V.,0.64,NL0009739416,"WorldQuant, LLC",2022-04-20,archive
PostNL N.V.,0.78,NL0009739416,Eleva Capital SAS,2022-04-19,archive
Wereldhave N.V.,0.6,NL0000289213,Franklin Templeton Investment Management Limited,2022-04-19,archive
Koninklijke Philips N.V.,0.58,NL0000009538,Marshall Wace LLP,2022-04-19,archive
PostNL N.V.,1.58,NL0009739416,Marshall Wace LLP,2022-04-19,archive
PostNL N.V.,1.63,NL0009739416,Millennium Capital Partners LLP,2022-04-19,archive
PostNL N.V.,0.8,NL0009739416,Voleon Capital Management LP,2022-04-19,archive
TomTom N.V.,0.66,NL0013332471,"WorldQuant, LLC",2022-04-19,archive
PostNL N.V.,0.62,NL0009739416,Eleva Capital SAS,2022-04-14,archive
PostNL N.V.,0.74,NL0009739416,Voleon Capital Management LP,2022-04-14,archive
PostNL N.V.,0.72,NL0009739416,"WorldQuant, LLC",2022-04-14,archive
TomTom N.V.,0.58,NL0013332471,"WorldQuant, LLC",2022-04-14,archive
PostNL N.V.,0.69,NL0009739416,Citadel Advisors LLC,2022-04-13,archive
TomTom N.V.,0.64,NL0013332471,Citadel Advisors LLC,2022-04-13,archive
PostNL N.V.,1.63,NL0009739416,Marshall Wace LLP,2022-04-13,archive
PostNL N.V.,1.54,NL0009739416,Millennium Capital Partners LLP,2022-04-13,archive
PostNL N.V.,0.68,NL0009739416,Voleon Capital Management LP,2022-04-13,archive
PostNL N.V.,0.5,NL0009739416,"WorldQuant, LLC",2022-04-13,archive
Alfen N.V.,1.1,NL0012817175,"Arrowstreet Capital, Limited Partnership",2022-04-12,archive
Basic-Fit N.V.,0.54,NL0011872650,CapeView Capital LLP,2022-04-12,archive
Aperam S.A.,0.59,LU0569974404,Millennium Capital Partners LLP,2022-04-12,archive
Pharming Group N.V.,0.58,NL0010391025,Pictet Asset Management Limited,2022-04-12,archive
InPost S.A.,0.42,LU2290522684,Citadel Advisors Europe Limited,2022-04-11,archive
PostNL N.V.,1.02,NL0009739416,Millennium International Management LP,2022-04-11,archive
Pharming Group N.V.,0.64,NL0010391025,Pictet Asset Management Limited,2022-04-11,archive
PostNL N.V.,0.53,NL0009739416,Voleon Capital Management LP,2022-04-11,archive
AMG Critical Materials N.V.,0.75,NL0000888691,Capital Fund Management S.A.,2022-04-08,archive
Signify N.V.,1.0,NL0011821392,Sandbar Assets Management LLP,2022-04-08,archive
Koninklijke BAM Groep N.V.,0.92,NL0000337319,"WorldQuant, LLC",2022-04-08,archive
Pharming Group N.V.,0.48,NL0010391025,Citadel Advisors LLC,2022-04-07,archive
PostNL N.V.,0.59,NL0009739416,Citadel Advisors LLC,2022-04-07,archive
InPost S.A.,0.49,LU2290522684,Marshall Wace LLP,2022-04-07,archive
PostNL N.V.,1.72,NL0009739416,Millennium Capital Partners LLP,2022-04-07,archive
PostNL N.V.,0.93,NL0009739416,Millennium International Management LP,2022-04-07,archive
Pharming Group N.V.,0.79,NL0010391025,Pictet Asset Management Limited,2022-04-07,archive
Fugro N.V.,0.58,NL00150003E1,BlackRock Investment Management (UK) Limited,2022-04-06,archive
PostNL N.V.,0.6,NL0009739416,Citadel Advisors LLC,2022-04-06,archive
BE Semiconductor Industries N.V.,1.29,NL0012866412,"Davidson Kempner European Partners, LLP",2022-04-06,archive
PostNL N.V.,1.54,NL0009739416,Marshall Wace LLP,2022-04-06,archive
Unibail-Rodamco-Westfield SE,0.62,FR0013326246,Marshall Wace LLP,2022-04-06,archive
PostNL N.V.,1.69,NL0009739416,Millennium Capital Partners LLP,2022-04-06,archive
PostNL N.V.,0.78,NL0009739416,Millennium International Management LP,2022-04-06,archive
Pharming Group N.V.,0.86,NL0010391025,Pictet Asset Management Limited,2022-04-06,archive
Koninklijke BAM Groep N.V.,0.8,NL0000337319,"WorldQuant, LLC",2022-04-06,archive
Fugro N.V.,1.42,NL00150003E1,BlackRock Investment Management (UK) Limited,2022-04-05,archive
Basic-Fit N.V.,0.68,NL0011872650,CapeView Capital LLP,2022-04-05,archive
ABN AMRO Bank NV,0.9,NL0011540547,Marshall Wace LLP,2022-04-05,archive
Galapagos NV,0.47,BE0003818359,Marshall Wace LLP,2022-04-05,archive
PostNL N.V.,1.41,NL0009739416,Marshall Wace LLP,2022-04-05,archive
PostNL N.V.,0.93,NL0009739416,Millennium Capital Partners LLP,2022-04-05,archive
PostNL N.V.,0.58,NL0009739416,Millennium International Management LP,2022-04-05,archive
Pharming Group N.V.,0.94,NL0010391025,Pictet Asset Management Limited,2022-04-05,archive
Signify N.V.,0.96,NL0011821392,Sandbar Assets Management LLP,2022-04-05,archive
PostNL N.V.,0.57,NL0009739416,Citadel Advisors LLC,2022-04-04,archive
InPost S.A.,0.5,LU2290522684,Marshall Wace LLP,2022-04-04,archive
PostNL N.V.,0.84,NL0009739416,Millennium Capital Partners LLP,2022-04-04,archive
Signify N.V.,0.85,NL0011821392,Sandbar Assets Management LLP,2022-04-04,archive
Alfen N.V.,0.48,NL0012817175,Voleon Capital Management LP,2022-04-04,archive
Koninklijke BAM Groep N.V.,0.73,NL0000337319,"WorldQuant, LLC",2022-04-04,archive
TomTom N.V.,0.49,NL0013332471,"WorldQuant, LLC",2022-04-04,archive
Galapagos NV,0.69,BE0003818359,AHL Partners LLP,2022-04-01,archive
Fugro N.V.,1.56,NL00150003E1,BlackRock Investment Management (UK) Limited,2022-04-01,archive
BE Semiconductor Industries N.V.,0.48,NL0012866412,"D. E. Shaw & Co., L.P.",2022-04-01,archive
CM.com N.V.,0.5,NL0012747059,JPMorgan Asset Management (UK) Ltd.,2022-04-01,archive
InPost S.A.,0.55,LU2290522684,Citadel Advisors Europe Limited,2022-03-31,archive
TomTom N.V.,0.5,NL0013332471,Citadel Advisors LLC,2022-03-31,archive
BE Semiconductor Industries N.V.,1.32,NL0012866412,"Davidson Kempner European Partners, LLP",2022-03-31,archive
InPost S.A.,0.55,LU2290522684,Kuvari Partners LLP,2022-03-31,archive
Signify N.V.,0.72,NL0011821392,Sandbar Assets Management LLP,2022-03-31,archive
PostNL N.V.,0.62,NL0009739416,Citadel Advisors LLC,2022-03-30,archive
BE Semiconductor Industries N.V.,0.58,NL0012866412,"D. E. Shaw & Co., L.P.",2022-03-30,archive
Alfen N.V.,0.57,NL0012817175,Marshall Wace LLP,2022-03-30,archive
Galapagos NV,0.58,BE0003818359,Marshall Wace LLP,2022-03-30,archive
PostNL N.V.,0.72,NL0009739416,Millennium Capital Partners LLP,2022-03-30,archive
InPost S.A.,0.61,LU2290522684,Citadel Advisors Europe Limited,2022-03-29,archive
Pharming Group N.V.,0.5,NL0010391025,Citadel Advisors LLC,2022-03-29,archive
BE Semiconductor Industries N.V.,0.6,NL0012866412,"D. E. Shaw & Co., L.P.",2022-03-29,archive
Alfen N.V.,0.63,NL0012817175,Marshall Wace LLP,2022-03-29,archive
InPost S.A.,0.49,LU2290522684,Marshall Wace LLP,2022-03-29,archive
Flow Traders Ltd.,0.46,NL0011279492,"WorldQuant, LLC",2022-03-29,archive
TomTom N.V.,0.58,NL0013332471,"WorldQuant, LLC",2022-03-29,archive
InPost S.A.,0.59,LU2290522684,Citadel Advisors Europe Limited,2022-03-28,archive
Pharming Group N.V.,0.49,NL0010391025,Citadel Advisors LLC,2022-03-28,archive
InPost S.A.,0.53,LU2290522684,Marshall Wace LLP,2022-03-28,archive
Koninklijke Philips N.V.,0.61,NL0000009538,Marshall Wace LLP,2022-03-28,archive
PostNL N.V.,1.37,NL0009739416,Marshall Wace LLP,2022-03-28,archive
Unibail-Rodamco-Westfield SE,0.5,FR0013326246,Marshall Wace LLP,2022-03-28,archive
Wereldhave N.V.,3.39,NL0000289213,"Woodson Capital Master Fund, LP",2022-03-28,archive
Alfen N.V.,1.0,NL0012817175,"Arrowstreet Capital, Limited Partnership",2022-03-25,archive
Basic-Fit N.V.,1.17,NL0011872650,Citadel Advisors Europe Limited,2022-03-25,archive
Alfen N.V.,0.76,NL0012817175,Marshall Wace LLP,2022-03-25,archive
Alfen N.V.,0.58,NL0012817175,Voleon Capital Management LP,2022-03-25,archive
Flow Traders Ltd.,0.58,NL0011279492,"WorldQuant, LLC",2022-03-25,archive
Koninklijke BAM Groep N.V.,0.61,NL0000337319,"WorldQuant, LLC",2022-03-25,archive
Koninklijke BAM Groep N.V.,0.31,NL0000337319,Citadel Advisors LLC,2022-03-24,archive
Alfen N.V.,0.87,NL0012817175,Marshall Wace LLP,2022-03-24,archive
Aperam S.A.,0.69,LU0569974404,Millennium Capital Partners LLP,2022-03-24,archive
TomTom N.V.,0.69,NL0013332471,"WorldQuant, LLC",2022-03-24,archive
Galapagos NV,0.49,BE0003818359,"AQR Capital Management, LLC",2022-03-23,archive
Basic-Fit N.V.,0.44,NL0011872650,Canada Pension Plan Investment Board,2022-03-23,archive
Koninklijke BAM Groep N.V.,0.5,NL0000337319,Citadel Advisors LLC,2022-03-23,archive
Wereldhave N.V.,0.53,NL0000289213,Franklin Templeton Investment Management Limited,2022-03-23,archive
CM.com N.V.,0.84,NL0012747059,Highbridge Capital Management LLC,2022-03-23,archive
InPost S.A.,0.6,LU2290522684,Marshall Wace LLP,2022-03-23,archive
PostNL N.V.,1.48,NL0009739416,Marshall Wace LLP,2022-03-23,archive
Aperam S.A.,0.79,LU0569974404,Millennium Capital Partners LLP,2022-03-23,archive
Pharming Group N.V.,1.06,NL0010391025,Pictet Asset Management Limited,2022-03-23,archive
Flow Traders Ltd.,0.67,NL0011279492,"WorldQuant, LLC",2022-03-23,archive
Basic-Fit N.V.,0.71,NL0011872650,CapeView Capital LLP,2022-03-22,archive
Basic-Fit N.V.,1.23,NL0011872650,Citadel Advisors Europe Limited,2022-03-22,archive
BE Semiconductor Industries N.V.,1.2,NL0012866412,"Davidson Kempner European Partners, LLP",2022-03-22,archive
TomTom N.V.,0.49,NL0013332471,Marshall Wace LLP,2022-03-22,archive
Wereldhave N.V.,3.47,NL0000289213,"Woodson Capital Master Fund, LP",2022-03-22,archive
Pharming Group N.V.,0.52,NL0010391025,Citadel Advisors LLC,2022-03-21,archive
ABN AMRO Bank NV,0.8,NL0011540547,Marshall Wace LLP,2022-03-21,archive
PostNL N.V.,0.61,NL0009739416,Millennium Capital Partners LLP,2022-03-21,archive
Basic-Fit N.V.,0.59,NL0011872650,Canada Pension Plan Investment Board,2022-03-18,archive
InPost S.A.,0.42,LU2290522684,Kuvari Partners LLP,2022-03-18,archive
Aperam S.A.,0.42,LU0569974404,Millennium International Management LP,2022-03-18,archive
PostNL N.V.,0.32,NL0009739416,Millennium International Management LP,2022-03-18,archive
Alfen N.V.,0.69,NL0012817175,Voleon Capital Management LP,2022-03-18,archive
Flow Traders Ltd.,0.79,NL0011279492,"WorldQuant, LLC",2022-03-18,archive
Koninklijke BAM Groep N.V.,0.79,NL0000337319,"WorldQuant, LLC",2022-03-18,archive
ABN AMRO Bank NV,0.79,NL0011540547,Marshall Wace LLP,2022-03-17,archive
InPost S.A.,0.52,LU2290522684,Marshall Wace LLP,2022-03-17,archive
Aperam S.A.,0.82,LU0569974404,Millennium International Management LP,2022-03-17,archive
Pharming Group N.V.,1.19,NL0010391025,Pictet Asset Management Limited,2022-03-17,archive
Signify N.V.,0.61,NL0011821392,Sandbar Assets Management LLP,2022-03-17,archive
AMG Critical Materials N.V.,0.78,NL0000888691,Systematica Investments Limited,2022-03-17,archive
Flow Traders Ltd.,0.84,NL0011279492,"WorldQuant, LLC",2022-03-17,archive
Galapagos NV,0.5,BE0003818359,"AQR Capital Management, LLC",2022-03-16,archive
IMCD N.V.,0.49,NL0010801007,"AQR Capital Management, LLC",2022-03-16,archive
Basic-Fit N.V.,0.69,NL0011872650,CapeView Capital LLP,2022-03-16,archive
Koninklijke BAM Groep N.V.,0.47,NL0000337319,Citadel Advisors LLC,2022-03-16,archive
ABN AMRO Bank NV,0.81,NL0011540547,Marshall Wace LLP,2022-03-16,archive
Koninklijke Philips N.V.,0.51,NL0000009538,Marshall Wace LLP,2022-03-16,archive
Aperam S.A.,0.89,LU0569974404,Millennium Capital Partners LLP,2022-03-16,archive
Alfen N.V.,0.68,NL0012817175,Rye Bay Capital LLP,2022-03-16,archive
ABN AMRO Bank NV,0.48,NL0011540547,"WorldQuant, LLC",2022-03-16,archive
Basic-Fit N.V.,0.68,NL0011872650,Canada Pension Plan Investment Board,2022-03-15,archive
Basic-Fit N.V.,0.7,NL0011872650,CapeView Capital LLP,2022-03-15,archive
Basic-Fit N.V.,1.12,NL0011872650,Citadel Advisors Europe Limited,2022-03-15,archive
Koninklijke BAM Groep N.V.,0.53,NL0000337319,Citadel Advisors LLC,2022-03-15,archive
BE Semiconductor Industries N.V.,0.51,NL0012866412,"D. E. Shaw & Co., L.P.",2022-03-15,archive
Unibail-Rodamco-Westfield SE,0.5,FR0013326246,Kintbury Capital LLP,2022-03-15,archive
Aperam S.A.,0.94,LU0569974404,Millennium Capital Partners LLP,2022-03-15,archive
Aperam S.A.,0.7,LU0569974404,Millennium International Management LP,2022-03-15,archive
PostNL N.V.,0.5,NL0009739416,Millennium International Management LP,2022-03-15,archive
Flow Traders Ltd.,0.97,NL0011279492,"WorldQuant, LLC",2022-03-15,archive
Aperam S.A.,0.66,LU0569974404,Millennium International Management LP,2022-03-14,archive
Flow Traders Ltd.,1.02,NL0011279492,"WorldQuant, LLC",2022-03-14,archive
Koninklijke BAM Groep N.V.,0.85,NL0000337319,"WorldQuant, LLC",2022-03-14,archive
Alfen N.V.,0.47,NL0012817175,AllianceBernstein L.P.,2022-03-11,archive
ABN AMRO Bank NV,0.72,NL0011540547,Marshall Wace LLP,2022-03-11,archive
Alfen N.V.,0.98,NL0012817175,Marshall Wace LLP,2022-03-11,archive
PostNL N.V.,1.57,NL0009739416,Marshall Wace LLP,2022-03-11,archive
Aperam S.A.,1.06,LU0569974404,Millennium Capital Partners LLP,2022-03-11,archive
Aperam S.A.,0.59,LU0569974404,Millennium International Management LP,2022-03-11,archive
ABN AMRO Bank NV,0.51,NL0011540547,"WorldQuant, LLC",2022-03-11,archive
Flow Traders Ltd.,1.12,NL0011279492,"WorldQuant, LLC",2022-03-11,archive
Koninklijke BAM Groep N.V.,0.78,NL0000337319,"WorldQuant, LLC",2022-03-11,archive
AMG Critical Materials N.V.,0.87,NL0000888691,Capital Fund Management S.A.,2022-03-10,archive
Basic-Fit N.V.,1.09,NL0011872650,Citadel Advisors Europe Limited,2022-03-10,archive
BE Semiconductor Industries N.V.,0.49,NL0012866412,"D. E. Shaw & Co., L.P.",2022-03-10,archive
Aperam S.A.,1.2,LU0569974404,Millennium Capital Partners LLP,2022-03-10,archive
Aperam S.A.,0.61,LU0569974404,Millennium International Management LP,2022-03-10,archive
AMG Critical Materials N.V.,0.92,NL0000888691,Capital Fund Management S.A.,2022-03-09,archive
ABN AMRO Bank NV,0.68,NL0011540547,Marshall Wace LLP,2022-03-09,archive
Alfen N.V.,0.53,NL0012817175,AllianceBernstein L.P.,2022-03-08,archive
Wereldhave N.V.,0.65,NL0000289213,Franklin Templeton Investment Management Limited,2022-03-08,archive
InPost S.A.,0.53,LU2290522684,Kuvari Partners LLP,2022-03-08,archive
Alfen N.V.,1.0,NL0012817175,Marshall Wace LLP,2022-03-08,archive
Alfen N.V.,0.42,NL0012817175,Millennium Capital Partners LLP,2022-03-08,archive
Aperam S.A.,1.15,LU0569974404,Millennium Capital Partners LLP,2022-03-08,archive
PostNL N.V.,0.52,NL0009739416,Millennium Capital Partners LLP,2022-03-08,archive
Ebusco Holding N.V.,0.48,NL0015000CZ2,Otus Capital Management Ltd.,2022-03-08,archive
Alfen N.V.,0.79,NL0012817175,Voleon Capital Management LP,2022-03-08,archive
CM.com N.V.,0.78,NL0012747059,Highbridge Capital Management LLC,2022-03-07,archive
ABN AMRO Bank NV,0.75,NL0011540547,Marshall Wace LLP,2022-03-07,archive
PostNL N.V.,1.6,NL0009739416,Marshall Wace LLP,2022-03-07,archive
Alfen N.V.,0.51,NL0012817175,Millennium Capital Partners LLP,2022-03-07,archive
PostNL N.V.,0.48,NL0009739416,Millennium Capital Partners LLP,2022-03-07,archive
Koninklijke BAM Groep N.V.,0.65,NL0000337319,"WorldQuant, LLC",2022-03-07,archive
Basic-Fit N.V.,1.17,NL0011872650,Citadel Advisors Europe Limited,2022-03-04,archive
ABN AMRO Bank NV,0.87,NL0011540547,Marshall Wace LLP,2022-03-04,archive
Alfen N.V.,0.93,NL0012817175,Marshall Wace LLP,2022-03-04,archive
Galapagos NV,0.69,BE0003818359,Marshall Wace LLP,2022-03-04,archive
Alfen N.V.,0.62,NL0012817175,Millennium Capital Partners LLP,2022-03-04,archive
Aperam S.A.,1.04,LU0569974404,Millennium Capital Partners LLP,2022-03-04,archive
Aperam S.A.,0.56,LU0569974404,Millennium International Management LP,2022-03-04,archive
BE Semiconductor Industries N.V.,0.46,NL0012866412,"Point72 Europe (London), LLP",2022-03-04,archive
BE Semiconductor Industries N.V.,0.49,NL0012866412,Renaissance Technologies LLC,2022-03-04,archive
Signify N.V.,0.53,NL0011821392,Sandbar Assets Management LLP,2022-03-04,archive
Alfen N.V.,0.86,NL0012817175,Voleon Capital Management LP,2022-03-04,archive
PostNL N.V.,0.4,NL0009739416,"WorldQuant, LLC",2022-03-04,archive
Wereldhave N.V.,0.4,NL0000289213,Adelphi Capital LLP,2022-03-03,archive
Alfen N.V.,0.61,NL0012817175,AllianceBernstein L.P.,2022-03-03,archive
IMCD N.V.,0.5,NL0010801007,"AQR Capital Management, LLC",2022-03-03,archive
Alfen N.V.,0.8,NL0012817175,Marshall Wace LLP,2022-03-03,archive
Alfen N.V.,0.71,NL0012817175,Millennium Capital Partners LLP,2022-03-03,archive
Aperam S.A.,0.96,LU0569974404,Millennium Capital Partners LLP,2022-03-03,archive
BE Semiconductor Industries N.V.,0.5,NL0012866412,Renaissance Technologies LLC,2022-03-03,archive
Alfen N.V.,0.9,NL0012817175,Voleon Capital Management LP,2022-03-03,archive
Flow Traders Ltd.,1.2,NL0011279492,"WorldQuant, LLC",2022-03-03,archive
Koninklijke BAM Groep N.V.,0.53,NL0000337319,"WorldQuant, LLC",2022-03-03,archive
PostNL N.V.,0.51,NL0009739416,"WorldQuant, LLC",2022-03-03,archive
Wereldhave N.V.,0.67,NL0000289213,Adelphi Capital LLP,2022-03-02,archive
Alfen N.V.,0.98,NL0012817175,"Arrowstreet Capital, Limited Partnership",2022-03-02,archive
Koninklijke BAM Groep N.V.,0.49,NL0000337319,Citadel Advisors LLC,2022-03-02,archive
Wereldhave N.V.,0.5,NL0000289213,Franklin Templeton Investment Management Limited,2022-03-02,archive
ABN AMRO Bank NV,0.95,NL0011540547,Marshall Wace LLP,2022-03-02,archive
BE Semiconductor Industries N.V.,0.69,NL0012866412,"Point72 Europe (London), LLP",2022-03-02,archive
Alfen N.V.,0.89,NL0012817175,Voleon Capital Management LP,2022-03-02,archive
Wereldhave N.V.,3.77,NL0000289213,"Woodson Capital Master Fund, LP",2022-03-02,archive
Alfen N.V.,0.47,NL0012817175,"BlackRock Institutional Trust Company, National Association",2022-03-01,archive
Basic-Fit N.V.,0.64,NL0011872650,CapeView Capital LLP,2022-03-01,archive
PostNL N.V.,1.59,NL0009739416,Marshall Wace LLP,2022-03-01,archive
Alfen N.V.,0.67,NL0012817175,Millennium Capital Partners LLP,2022-03-01,archive
PostNL N.V.,0.53,NL0009739416,Millennium Capital Partners LLP,2022-03-01,archive
PostNL N.V.,0.49,NL0009739416,Millennium International Management LP,2022-03-01,archive
BE Semiconductor Industries N.V.,0.78,NL0012866412,"Point72 Europe (London), LLP",2022-03-01,archive
AMG Critical Materials N.V.,0.89,NL0000888691,Capital Fund Management S.A.,2022-02-28,archive
Basic-Fit N.V.,1.21,NL0011872650,Citadel Advisors Europe Limited,2022-02-28,archive
Flow Traders Ltd.,0.48,NL0011279492,"D. E. Shaw & Co., L.P.",2022-02-28,archive
InPost S.A.,0.27,LU2290522684,Kuvari Partners LLP,2022-02-28,archive
ABN AMRO Bank NV,1.06,NL0011540547,Marshall Wace LLP,2022-02-28,archive
Alfen N.V.,0.73,NL0012817175,Marshall Wace LLP,2022-02-28,archive
Galapagos NV,0.49,BE0003818359,Qube Research & Technologies Ltd.,2022-02-28,archive
Koninklijke BAM Groep N.V.,0.56,NL0000337319,Citadel Advisors LLC,2022-02-25,archive
InPost S.A.,0.5,LU2290522684,Kuvari Partners LLP,2022-02-25,archive
Koninklijke Philips N.V.,0.49,NL0000009538,Marshall Wace LLP,2022-02-25,archive
PostNL N.V.,0.67,NL0009739416,Millennium Capital Partners LLP,2022-02-25,archive
Alfen N.V.,0.8,NL0012817175,Rye Bay Capital LLP,2022-02-25,archive
Basic-Fit N.V.,1.19,NL0011872650,Citadel Advisors Europe Limited,2022-02-24,archive
ABN AMRO Bank NV,1.15,NL0011540547,Marshall Wace LLP,2022-02-24,archive
PostNL N.V.,1.67,NL0009739416,Marshall Wace LLP,2022-02-24,archive
TomTom N.V.,0.59,NL0013332471,Marshall Wace LLP,2022-02-24,archive
PostNL N.V.,0.51,NL0009739416,Millennium International Management LP,2022-02-24,archive
BE Semiconductor Industries N.V.,0.49,NL0012866412,Renaissance Technologies LLC,2022-02-24,archive
Alfen N.V.,0.91,NL0012817175,Voleon Capital Management LP,2022-02-24,archive
CM.com N.V.,0.67,NL0012747059,Whitebox Advisors LLC,2022-02-24,archive
Wereldhave N.V.,0.74,NL0000289213,Adelphi Capital LLP,2022-02-23,archive
Flow Traders Ltd.,0.5,NL0011279492,"D. E. Shaw & Co., L.P.",2022-02-23,archive
Galapagos NV,0.71,BE0003818359,Marshall Wace LLP,2022-02-23,archive
Koninklijke Philips N.V.,0.59,NL0000009538,Marshall Wace LLP,2022-02-23,archive
Alfen N.V.,0.5,NL0012817175,Millennium Capital Partners LLP,2022-02-23,archive
PostNL N.V.,0.7,NL0009739416,Millennium Capital Partners LLP,2022-02-23,archive
BE Semiconductor Industries N.V.,0.63,NL0012866412,"Point72 Europe (London), LLP",2022-02-23,archive
