position_date,isin,issuer_name,position_holder,net_short_position,source
2026-07-30,NL0011821392,Signify N.V.,Marshall Wace LLP,0.98,current
2026-07-30,NL0013267909,Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",1.19,current
2026-07-30,NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",1.46,current
2026-07-29,NL0011821392,Signify N.V.,"AQR Capital Management, LLC",0.97,current
2026-07-29,NL0015002IE0,Avantium N.V.,Citadel Securities (Europe) Limited,0.79,current
2026-07-29,NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.67,current
2026-07-29,NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,0.8,current
2026-07-29,NL0011872650,Basic-Fit N.V.,Syquant Capital,0.86,current
2026-07-28,NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,1.11,current
2026-07-28,NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.6,current
2026-07-28,NL0011872650,Basic-Fit N.V.,Eleva Capital SAS,0.74,current
2026-07-28,NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",1.63,current
2026-07-28,NL0012365084,NSI N.V.,Marshall Wace LLP,0.6,current
2026-07-28,NL0011821392,Signify N.V.,Marshall Wace LLP,1.02,current
2026-07-28,NL0011872650,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.8,current
2026-07-28,NL0011872650,Basic-Fit N.V.,Syquant Capital,0.6,current
2026-07-27,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,0.89,current
2026-07-27,NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",1.21,current
2026-07-24,NL0011821392,Signify N.V.,Citadel Advisors LLC,0.91,current
2026-07-24,NL0000817179,Sligro Food Group N.V.,Citadel Advisors LLC,0.81,current
2026-07-24,NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.5,current
2026-07-24,NL0011821392,Signify N.V.,Marshall Wace LLP,0.95,current
2026-07-24,NL0010801007,IMCD N.V.,"PDT Partners, LLC",0.79,current
2026-07-24,NL0010391025,Pharming Group N.V.,Walleye Capital LLC,1.21,current
2026-07-23,NL0006237562,ARCADIS N.V.,Capital Fund Management S.A.,0.5,current
2026-07-23,NL0011821392,Signify N.V.,Citadel Advisors LLC,0.79,current
2026-07-23,NL0015002IE0,Avantium N.V.,Citadel Securities (Europe) Limited,0.8,current
2026-07-23,NL0000817179,Sligro Food Group N.V.,JPMorgan Asset Management (UK) Ltd.,0.71,current
2026-07-23,CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,1.03,current
2026-07-23,NL0011821392,Signify N.V.,Marshall Wace LLP,0.8,current
2026-07-22,NL0011821392,Signify N.V.,Citadel Advisors LLC,0.97,current
2026-07-22,NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",1.51,current
2026-07-21,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,0.96,current
2026-07-21,NL0011821392,Signify N.V.,Citadel Advisors LLC,1.01,current
2026-07-21,NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.11,current
2026-07-20,NL0013267909,Akzo Nobel N.V.,"BlackRock Financial Management, Inc.",0.51,current
2026-07-20,NL0011821392,Signify N.V.,Citadel Advisors LLC,0.97,current
2026-07-20,NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",1.44,current
2026-07-20,NL0011821392,Signify N.V.,Squarepoint Ops LLC,0.78,current
2026-07-20,CY0200751713,Theon International Plc,"Two Sigma Investments, LP",0.68,current
2026-07-17,NL0011821392,Signify N.V.,"BlackRock Institutional Trust Company, National Association",0.61,current
2026-07-17,NL0011821392,Signify N.V.,Citadel Advisors LLC,1.01,current
2026-07-17,CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,0.98,current
2026-07-16,NL0010801007,IMCD N.V.,"BlackRock Financial Management, Inc.",0.71,current
2026-07-16,NL0011821392,Signify N.V.,"BlackRock Institutional Trust Company, National Association",0.59,current
2026-07-16,NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",1.37,current
2026-07-16,NL0010391025,Pharming Group N.V.,Walleye Capital LLC,1.1,current
2026-07-15,NL0013267909,Akzo Nobel N.V.,"BlackRock Advisors, LLC",1.0,current
2026-07-15,NL0011821392,Signify N.V.,Citadel Advisors LLC,0.98,current
2026-07-15,NL0011821392,Signify N.V.,Marshall Wace LLP,0.73,current
2026-07-14,NL00150003E1,Fugro N.V.,Actus Ray Partners Limited,0.72,current
2026-07-14,NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.4,current
2026-07-14,NL0011821392,Signify N.V.,Marshall Wace LLP,0.82,current
2026-07-14,NL0011821392,Signify N.V.,Squarepoint Ops LLC,0.89,current
2026-07-13,NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,0.73,current
2026-07-10,NL0011821392,Signify N.V.,Citadel Advisors LLC,1.05,current
2026-07-10,NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,1.09,current
2026-07-10,NL0011821392,Signify N.V.,Marshall Wace LLP,0.98,current
2026-07-10,NL0011821392,Signify N.V.,Squarepoint Ops LLC,0.91,current
2026-07-09,NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,1.1,current
2026-07-09,NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,1.97,current
2026-07-09,NL0011821392,Signify N.V.,Marshall Wace LLP,1.06,current
2026-07-09,NL0012365084,NSI N.V.,Numeric Investors LLC,0.91,current
2026-07-09,NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.02,current
2026-07-08,NL0006237562,ARCADIS N.V.,"AQR Capital Management, LLC",0.79,current
2026-07-08,NL0015002MS2,The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,0.6,current
2026-07-08,NL0011821392,Signify N.V.,Citadel Advisors LLC,1.16,current
2026-07-08,NL0012365084,NSI N.V.,Marshall Wace LLP,0.51,current
2026-07-08,NL0012817175,Alfen N.V.,"WorldQuant, LLC",0.99,current
2026-07-07,NL00150003E1,Fugro N.V.,Actus Ray Partners Limited,0.61,current
2026-07-07,NL0015002MS2,The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,0.59,current
2026-07-06,NL0011821392,Signify N.V.,"BlackRock Financial Management, Inc.",0.69,current
2026-07-06,NL0015002MS2,The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,0.6,current
2026-07-06,NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2.08,current
2026-07-06,CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,1.0,current
2026-07-06,NL0011821392,Signify N.V.,Marshall Wace LLP,1.17,current
2026-07-03,NL0000817179,Sligro Food Group N.V.,JPMorgan Asset Management (UK) Ltd.,0.67,current
2026-07-03,CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,0.99,current
2026-07-02,NL0013267909,Akzo Nobel N.V.,"BlackRock Advisors, LLC",0.92,current
2026-07-02,NL0011821392,Signify N.V.,"BlackRock Financial Management, Inc.",0.7,current
2026-07-02,NL0011821392,Signify N.V.,Marshall Wace LLP,1.27,current
2026-07-01,NL00150003E1,Fugro N.V.,Actus Ray Partners Limited,0.5,current
2026-07-01,NL0013267909,Akzo Nobel N.V.,"BlackRock Advisors, LLC",0.85,current
2026-07-01,NL0011821392,Signify N.V.,Eleva Capital SAS,1.38,current
2026-07-01,NL0011872650,Basic-Fit N.V.,Fosse Capital Partners LLP,0.83,current
2026-07-01,CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,1.0,current
2026-07-01,NL0011821392,Signify N.V.,Marshall Wace LLP,1.37,current
2026-07-01,NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,0.72,current
2026-07-01,NL0013267909,Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",1.09,current
2026-06-30,NL0011821392,Signify N.V.,"AQR Capital Management, LLC",1.09,current
2026-06-30,NL0011821392,Signify N.V.,"BlackRock Financial Management, Inc.",0.69,current
2026-06-30,NL0010801007,IMCD N.V.,Caisse de dépôt et placement du Québec,0.72,current
2026-06-30,NL0011821392,Signify N.V.,Citadel Advisors LLC,1.25,current
2026-06-30,NL0015002IE0,Avantium N.V.,Citadel Securities (Europe) Limited,0.75,current
2026-06-30,NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2.16,current
2026-06-30,NL0011821392,Signify N.V.,Marshall Wace LLP,1.47,current
2026-06-30,NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.01,current
2026-06-29,NL0011821392,Signify N.V.,"BlackRock Institutional Trust Company, National Association",0.6,current
2026-06-29,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,1.0,current
2026-06-29,CH1216478797,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,2.01,current
2026-06-29,NL0011821392,Signify N.V.,Marshall Wace LLP,1.58,current
2026-06-29,NL0012817175,Alfen N.V.,"WorldQuant, LLC",0.92,current
2026-06-26,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,0.99,current
2026-06-26,NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,1.09,current
2026-06-26,CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,0.99,current
2026-06-26,NL0010391025,Pharming Group N.V.,Walleye Capital LLC,1.09,current
2026-06-25,NL0011821392,Signify N.V.,Citadel Advisors LLC,1.33,current
2026-06-25,NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",1.2,current
2026-06-25,CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,1.0,current
2026-06-25,NL0011821392,Signify N.V.,Marshall Wace LLP,1.65,current
2026-06-25,NL0012817175,Alfen N.V.,"WorldQuant, LLC",0.88,current
2026-06-24,NL0000817179,Sligro Food Group N.V.,Citadel Advisors LLC,0.79,current
