net_short_position,position_holder,isin,position_date,issuer_name,source
1.03,"AQR Capital Management, LLC",NL0011821392,2026-03-04,Signify N.V.,current
1.06,"BlackRock Financial Management, Inc.",NL0010801007,2026-03-04,IMCD N.V.,current
0.7,Citadel Advisors LLC,NL0009739416,2026-03-04,PostNL N.V.,current
0.64,Marshall Wace LLP,NL0000009082,2026-03-04,Koninklijke KPN N.V.,current
1.87,Marshall Wace LLP,NL0011821392,2026-03-04,Signify N.V.,current
0.71,"PDT Partners, LLC",NL0010801007,2026-03-04,IMCD N.V.,current
0.8,"PDT Partners, LLC",NL0011821392,2026-03-04,Signify N.V.,current
0.59,Qube Research & Technologies Ltd.,CY0200751713,2026-03-04,Theon International Plc,current
0.9,"Two Sigma Investments, LP",LU2290522684,2026-03-04,InPost S.A.,current
1.03,Ilex Capital Partners (UK) LLP,CH1216478797,2026-03-03,DSM-Firmenich AG,current
0.77,Lazard Asset Management LLC,NL0010391025,2026-03-03,Pharming Group N.V.,current
0.69,Marshall Wace LLP,NL0009739416,2026-03-03,PostNL N.V.,current
1.92,Marshall Wace LLP,NL0011821392,2026-03-03,Signify N.V.,current
0.52,Numeric Investors LLC,NL0012365084,2026-03-03,NSI N.V.,current
0.6,Qube Research & Technologies Ltd.,CY0200751713,2026-03-03,Theon International Plc,current
2.01,Voleon Capital Management LP,NL0012817175,2026-03-03,Alfen N.V.,current
1.68,Voleon Capital Management LP,NL0015002IE0,2026-03-03,Avantium N.V.,current
1.7,Citadel Advisors LLC,NL0011821392,2026-03-02,Signify N.V.,current
0.69,"D. E. Shaw & Co., L.P.",NL0012866412,2026-03-02,BE Semiconductor Industries N.V.,current
0.7,"D. E. Shaw & Co., L.P.",NL0000395903,2026-03-02,Wolters Kluwer N.V.,current
0.59,"Two Sigma Investments, LP",CY0200751713,2026-03-02,Theon International Plc,current
1.95,Voleon Capital Management LP,NL0012817175,2026-03-02,Alfen N.V.,current
0.66,Voleon Capital Management LP,NL00150003E1,2026-03-02,Fugro N.V.,current
0.69,"BlackRock Advisors, LLC",NL0010801007,2026-02-27,IMCD N.V.,current
1.18,"BlackRock Financial Management, Inc.",NL0010801007,2026-02-27,IMCD N.V.,current
0.5,Citadel Advisors LLC,NL0015002K83,2026-02-27,Havas N.V.,current
0.51,Marshall Wace LLP,NL0000009082,2026-02-27,Koninklijke KPN N.V.,current
1.88,Marshall Wace LLP,NL0011821392,2026-02-27,Signify N.V.,current
0.81,"Two Sigma Investments, LP",LU2290522684,2026-02-27,InPost S.A.,current
0.7,Voleon Capital Management LP,NL00150003E1,2026-02-27,Fugro N.V.,current
0.71,"AQR Capital Management, LLC",NL0006237562,2026-02-26,ARCADIS N.V.,current
1.0,Citadel Advisors Europe Limited,NL0011821392,2026-02-26,Signify N.V.,current
1.38,"D. E. Shaw & Co., L.P.",NL0012817175,2026-02-26,Alfen N.V.,current
1.9,Marshall Wace LLP,NL0011821392,2026-02-26,Signify N.V.,current
1.01,Marshall Wace LLP,NL0015002MS2,2026-02-26,The Magnum Ice Cream Company N.V.,current
0.66,"PDT Partners, LLC",NL00150003E1,2026-02-26,Fugro N.V.,current
0.78,"PDT Partners, LLC",NL0011821392,2026-02-26,Signify N.V.,current
1.78,Voleon Capital Management LP,NL0015002IE0,2026-02-26,Avantium N.V.,current
1.14,AKO Capital LLP,NL0013267909,2026-02-25,Akzo Nobel N.V.,current
1.12,Ilex Capital Partners (UK) LLP,CH1216478797,2026-02-25,DSM-Firmenich AG,current
1.24,UBS Asset Management (Americas) LLC,NL0013267909,2026-02-25,Akzo Nobel N.V.,current
1.29,"BlackRock Financial Management, Inc.",NL0010801007,2026-02-24,IMCD N.V.,current
0.7,"D. E. Shaw & Co., L.P.",NL0006237562,2026-02-24,ARCADIS N.V.,current
1.31,Davidson Kempner Capital Management LP,NL0013267909,2026-02-24,Akzo Nobel N.V.,current
0.61,Marshall Wace LLP,NL0013267909,2026-02-24,Akzo Nobel N.V.,current
1.85,Voleon Capital Management LP,NL0015002IE0,2026-02-24,Avantium N.V.,current
0.61,Citadel Advisors LLC,NL0009739416,2026-02-23,PostNL N.V.,current
1.63,Citadel Advisors LLC,NL0011821392,2026-02-23,Signify N.V.,current
0.91,Marshall Wace LLP,NL0015002MS2,2026-02-23,The Magnum Ice Cream Company N.V.,current
0.8,"PDT Partners, LLC",NL0011821392,2026-02-23,Signify N.V.,current
1.58,Citadel Advisors LLC,NL0011821392,2026-02-20,Signify N.V.,current
0.6,"D. E. Shaw & Co., L.P.",NL0000395903,2026-02-20,Wolters Kluwer N.V.,current
0.7,"Elliott Investment Management, L.P",GB00BP6MXD84,2026-02-20,Shell plc,current
1.84,Marshall Wace LLP,NL0011821392,2026-02-20,Signify N.V.,current
1.17,Squarepoint Ops LLC,NL0006237562,2026-02-20,ARCADIS N.V.,current
1.48,"D. E. Shaw & Co., L.P.",NL0012817175,2026-02-19,Alfen N.V.,current
0.62,"D. E. Shaw & Co., L.P.",NL0006237562,2026-02-19,ARCADIS N.V.,current
0.7,"Two Sigma Investments, LP",LU2290522684,2026-02-19,InPost S.A.,current
1.84,Voleon Capital Management LP,NL0012817175,2026-02-19,Alfen N.V.,current
1.97,Voleon Capital Management LP,NL0015002IE0,2026-02-19,Avantium N.V.,current
1.39,"BlackRock Financial Management, Inc.",NL0010801007,2026-02-18,IMCD N.V.,current
1.62,Citadel Advisors LLC,NL0011821392,2026-02-18,Signify N.V.,current
1.23,Davidson Kempner Capital Management LP,NL0013267909,2026-02-18,Akzo Nobel N.V.,current
0.72,JPMorgan Asset Management (UK) Ltd.,NL0010801007,2026-02-18,IMCD N.V.,current
0.81,Marshall Wace LLP,NL0015002MS2,2026-02-18,The Magnum Ice Cream Company N.V.,current
0.63,"PDT Partners, LLC",NL0010801007,2026-02-18,IMCD N.V.,current
1.1,UBS Asset Management (Americas) LLC,NL0013267909,2026-02-18,Akzo Nobel N.V.,current
1.77,Voleon Capital Management LP,NL0012817175,2026-02-18,Alfen N.V.,current
3.25,"WorldQuant, LLC",NL0012817175,2026-02-18,Alfen N.V.,current
0.58,Citadel Advisors LLC,NL0000289213,2026-02-17,Wereldhave N.V.,current
0.59,"D. E. Shaw & Co., L.P.",NL0000395903,2026-02-17,Wolters Kluwer N.V.,current
0.92,Eleva Capital SAS,NL0011821392,2026-02-17,Signify N.V.,current
1.07,Ilex Capital Partners (UK) LLP,CH1216478797,2026-02-17,DSM-Firmenich AG,current
1.06,UBS Asset Management (Americas) LLC,NL0013267909,2026-02-17,Akzo Nobel N.V.,current
1.68,Voleon Capital Management LP,NL0012817175,2026-02-17,Alfen N.V.,current
0.6,Voleon Capital Management LP,NL00150003E1,2026-02-17,Fugro N.V.,current
3.11,"WorldQuant, LLC",NL0012817175,2026-02-17,Alfen N.V.,current
0.6,Citadel Advisors LLC,NL0000289213,2026-02-16,Wereldhave N.V.,current
0.6,"D. E. Shaw & Co., L.P.",NL0000395903,2026-02-16,Wolters Kluwer N.V.,current
1.12,Ilex Capital Partners (UK) LLP,CH1216478797,2026-02-16,DSM-Firmenich AG,current
0.7,Marshall Wace LLP,NL0015002MS2,2026-02-16,The Magnum Ice Cream Company N.V.,current
2.09,Voleon Capital Management LP,NL0015002IE0,2026-02-16,Avantium N.V.,current
