net_short_position,position_holder,isin,position_date,issuer_name,source
0.49,Marshall Wace LLP,NL0013332471,2019-07-08,TomTom N.V.,archive
0.89,"WorldQuant, LLC",NL0000352565,2019-07-08,Fugro N.V.,archive
0.82,"WorldQuant, LLC",NL0009739416,2019-07-08,PostNL N.V.,archive
0.45,AXA Investment Managers Chorus Limited,NL0009739416,2019-07-05,PostNL N.V.,archive
1.08,"Connor, Clark & Lunn Investment Management Ltd.",NL0000289213,2019-07-05,Wereldhave N.V.,archive
4.7,Marshall Wace LLP,NL0009739416,2019-07-05,PostNL N.V.,archive
1.96,AHL Partners LLP,NL0009739416,2019-07-04,PostNL N.V.,archive
0.68,B&G Master Fund Plc,NL0000352565,2019-07-04,Fugro N.V.,archive
0.49,Citadel Advisors LLC,BE0003818359,2019-07-04,Galapagos NV,archive
1.02,"Connor, Clark & Lunn Investment Management Ltd.",NL0009739416,2019-07-04,PostNL N.V.,archive
0.47,Lansdowne Partners (UK) LLP,NL0011821392,2019-07-04,Signify N.V.,archive
1.79,Marshall Wace LLP,NL0012866412,2019-07-04,BE Semiconductor Industries N.V.,archive
0.62,Millennium Capital Partners LLP,NL0011821392,2019-07-04,Signify N.V.,archive
0.91,Millennium International Management LP,NL0011821392,2019-07-04,Signify N.V.,archive
0.49,Voleon Capital Management LP,NL0009739416,2019-07-04,PostNL N.V.,archive
0.95,"WorldQuant, LLC",NL0000352565,2019-07-04,Fugro N.V.,archive
1.78,AHL Partners LLP,NL0000888691,2019-07-03,AMG Critical Materials N.V.,archive
0.56,AXA Investment Managers Chorus Limited,NL0009739416,2019-07-03,PostNL N.V.,archive
0.7,B&G Master Fund Plc,NL0000352565,2019-07-03,Fugro N.V.,archive
0.49,"Connor, Clark & Lunn Investment Management Ltd.",NL0012866412,2019-07-03,BE Semiconductor Industries N.V.,archive
0.68,"D. E. Shaw & Co., L.P.",NL0000289213,2019-07-03,Wereldhave N.V.,archive
1.39,ENA Investment Capital LLP,NL0011821392,2019-07-03,Signify N.V.,archive
1.62,HBK Investments LP,NL0000352565,2019-07-03,Fugro N.V.,archive
4.85,Marshall Wace LLP,NL0009739416,2019-07-03,PostNL N.V.,archive
0.5,Numeric Investors LLC,NL0009739416,2019-07-03,PostNL N.V.,archive
0.7,"WorldQuant, LLC",NL0012866412,2019-07-03,BE Semiconductor Industries N.V.,archive
1.0,"WorldQuant, LLC",NL0000352565,2019-07-03,Fugro N.V.,archive
2.01,AHL Partners LLP,NL0009739416,2019-07-02,PostNL N.V.,archive
1.5,"AQR Capital Management, LLC",NL0009432491,2019-07-02,Koninklijke Vopak N.V.,archive
1.1,"AQR Capital Management, LLC",NL0010558797,2019-07-02,OCI N.V.,archive
0.48,"BlackRock Institutional Trust Company, National Association",NL0009432491,2019-07-02,Koninklijke Vopak N.V.,archive
0.56,Citadel Advisors LLC,BE0003818359,2019-07-02,Galapagos NV,archive
0.7,"D. E. Shaw & Co., L.P.",NL0000289213,2019-07-02,Wereldhave N.V.,archive
1.57,HBK Investments LP,NL0000352565,2019-07-02,Fugro N.V.,archive
4.79,Marshall Wace LLP,NL0009739416,2019-07-02,PostNL N.V.,archive
1.82,Marshall Wace LLP,NL0000289213,2019-07-02,Wereldhave N.V.,archive
1.07,Millennium International Management LP,NL0000289213,2019-07-02,Wereldhave N.V.,archive
1.8,Sculptor Capital Management Europe Limited,NL0000352565,2019-07-02,Fugro N.V.,archive
0.79,TT International,NL0010391025,2019-07-02,Pharming Group N.V.,archive
0.53,Voleon Capital Management LP,NL0009739416,2019-07-02,PostNL N.V.,archive
0.99,"WorldQuant, LLC",NL0000352565,2019-07-02,Fugro N.V.,archive
0.69,"D. E. Shaw & Co., L.P.",NL0000289213,2019-07-01,Wereldhave N.V.,archive
1.58,ENA Investment Capital LLP,NL0011821392,2019-07-01,Signify N.V.,archive
0.37,Engadine Partners LLP,NL0006237562,2019-07-01,ARCADIS N.V.,archive
1.49,HBK Investments LP,NL0000352565,2019-07-01,Fugro N.V.,archive
1.82,Marshall Wace LLP,NL0012866412,2019-07-01,BE Semiconductor Industries N.V.,archive
0.48,Marshall Wace LLP,NL0011279492,2019-07-01,Flow Traders Ltd.,archive
0.59,Marshall Wace LLP,NL0013332471,2019-07-01,TomTom N.V.,archive
1.23,Millennium International Management LP,NL0000888691,2019-07-01,AMG Critical Materials N.V.,archive
0.82,Millennium International Management LP,NL0011821392,2019-07-01,Signify N.V.,archive
0.75,"Philadelphia Financial Management of San Francisco, LLC",NL0011279492,2019-07-01,Flow Traders Ltd.,archive
0.63,Systematica Investments Limited,NL0009739416,2019-07-01,PostNL N.V.,archive
0.46,Wellington Management Company LLP,NL0000289213,2019-07-01,Wereldhave N.V.,archive
0.69,"WorldQuant, LLC",NL0012866412,2019-07-01,BE Semiconductor Industries N.V.,archive
1.68,Capital Fund Management S.A.,NL0009739416,2019-06-28,PostNL N.V.,archive
1.74,ENA Investment Capital LLP,NL0011821392,2019-06-28,Signify N.V.,archive
1.74,Marshall Wace LLP,NL0012866412,2019-06-28,BE Semiconductor Industries N.V.,archive
0.79,Millennium International Management LP,NL0011821392,2019-06-28,Signify N.V.,archive
3.18,Scopia Capital Management LP,NL0012866412,2019-06-28,BE Semiconductor Industries N.V.,archive
0.59,Voleon Capital Management LP,NL0009269109,2019-06-28,Koninklijke Heijmans N.V.,archive
1.96,AHL Partners LLP,NL0009739416,2019-06-27,PostNL N.V.,archive
1.22,"BlackRock Institutional Trust Company, National Association",NL0000352565,2019-06-27,Fugro N.V.,archive
1.1,"Connor, Clark & Lunn Investment Management Ltd.",NL0000289213,2019-06-27,Wereldhave N.V.,archive
0.5,Marshall Wace LLP,NL0011279492,2019-06-27,Flow Traders Ltd.,archive
3.57,Marshall Wace LLP,NL0000352565,2019-06-27,Fugro N.V.,archive
1.0,Marshall Wace LLP,BE0003818359,2019-06-27,Galapagos NV,archive
1.71,Marshall Wace LLP,NL0000289213,2019-06-27,Wereldhave N.V.,archive
1.19,Millennium International Management LP,NL0000888691,2019-06-27,AMG Critical Materials N.V.,archive
0.8,Millennium International Management LP,NL0011821392,2019-06-27,Signify N.V.,archive
0.42,Numeric Investors LLC,NL0000888691,2019-06-27,AMG Critical Materials N.V.,archive
1.21,Pictet Asset Management Limited,NL0010391025,2019-06-27,Pharming Group N.V.,archive
3.25,Scopia Capital Management LP,NL0012866412,2019-06-27,BE Semiconductor Industries N.V.,archive
1.79,Sculptor Capital Management Europe Limited,NL0000352565,2019-06-27,Fugro N.V.,archive
0.49,Voleon Capital Management LP,NL0009739416,2019-06-27,PostNL N.V.,archive
0.8,"WorldQuant, LLC",NL0000888691,2019-06-27,AMG Critical Materials N.V.,archive
0.5,"BlackRock Institutional Trust Company, National Association",NL0009432491,2019-06-26,Koninklijke Vopak N.V.,archive
1.51,ENA Investment Capital LLP,NL0011821392,2019-06-26,Signify N.V.,archive
1.52,HBK Investments LP,NL0000352565,2019-06-26,Fugro N.V.,archive
1.2,Millennium International Management LP,NL0000888691,2019-06-26,AMG Critical Materials N.V.,archive
1.1,Millennium International Management LP,NL0000289213,2019-06-26,Wereldhave N.V.,archive
0.78,"PDT Partners, LLC",NL0000888691,2019-06-26,AMG Critical Materials N.V.,archive
0.66,Systematica Investments Limited,NL0000352565,2019-06-26,Fugro N.V.,archive
0.79,Wellington Management Company LLP,NL0000289213,2019-06-26,Wereldhave N.V.,archive
2.02,AHL Partners LLP,NL0009739416,2019-06-25,PostNL N.V.,archive
0.9,"Connor, Clark & Lunn Investment Management Ltd.",NL0009739416,2019-06-25,PostNL N.V.,archive
1.6,HBK Investments LP,NL0000352565,2019-06-25,Fugro N.V.,archive
4.6,Marshall Wace LLP,NL0009739416,2019-06-25,PostNL N.V.,archive
0.61,Marshall Wace LLP,NL0013332471,2019-06-25,TomTom N.V.,archive
0.54,Millennium Capital Partners LLP,NL0011821392,2019-06-25,Signify N.V.,archive
0.57,Numeric Investors LLC,NL0000888691,2019-06-25,AMG Critical Materials N.V.,archive
3.37,Scopia Capital Management LP,NL0012866412,2019-06-25,BE Semiconductor Industries N.V.,archive
1.98,AHL Partners LLP,NL0009739416,2019-06-24,PostNL N.V.,archive
0.81,Lancaster Investment Management LLP,NL0000337319,2019-06-24,Koninklijke BAM Groep N.V.,archive
1.19,Millennium International Management LP,NL0000888691,2019-06-24,AMG Critical Materials N.V.,archive
0.65,Numeric Investors LLC,NL0000888691,2019-06-24,AMG Critical Materials N.V.,archive
0.77,Systematica Investments Limited,NL0000352565,2019-06-24,Fugro N.V.,archive
0.59,Systematica Investments Limited,NL0009739416,2019-06-24,PostNL N.V.,archive
0.77,"WorldQuant, LLC",NL0012866412,2019-06-24,BE Semiconductor Industries N.V.,archive
1.08,"WorldQuant, LLC",NL0000352565,2019-06-24,Fugro N.V.,archive
2.01,AHL Partners LLP,NL0009739416,2019-06-21,PostNL N.V.,archive
0.68,Citadel Advisors LLC,BE0003818359,2019-06-21,Galapagos NV,archive
1.43,ENA Investment Capital LLP,NL0011821392,2019-06-21,Signify N.V.,archive
0.74,Lancaster Investment Management LLP,NL0000337319,2019-06-21,Koninklijke BAM Groep N.V.,archive
3.67,Marshall Wace LLP,NL0000352565,2019-06-21,Fugro N.V.,archive
4.56,Marshall Wace LLP,NL0009739416,2019-06-21,PostNL N.V.,archive
0.89,Marshall Wace LLP,NL0011821392,2019-06-21,Signify N.V.,archive
0.62,Millennium Capital Partners LLP,NL0011821392,2019-06-21,Signify N.V.,archive
1.21,Millennium International Management LP,NL0000888691,2019-06-21,AMG Critical Materials N.V.,archive
0.76,Millennium International Management LP,NL0011821392,2019-06-21,Signify N.V.,archive
0.84,Systematica Investments Limited,NL0000352565,2019-06-21,Fugro N.V.,archive
1.15,"WorldQuant, LLC",NL0000352565,2019-06-21,Fugro N.V.,archive
1.41,"AQR Capital Management, LLC",NL0009432491,2019-06-20,Koninklijke Vopak N.V.,archive
0.8,"Connor, Clark & Lunn Investment Management Ltd.",NL0009739416,2019-06-20,PostNL N.V.,archive
1.58,HBK Investments LP,NL0000352565,2019-06-20,Fugro N.V.,archive
0.61,Lancaster Investment Management LLP,NL0000337319,2019-06-20,Koninklijke BAM Groep N.V.,archive
0.71,Millennium Capital Partners LLP,NL0011821392,2019-06-20,Signify N.V.,archive
0.59,"Philadelphia Financial Management of San Francisco, LLC",NL0011279492,2019-06-20,Flow Traders Ltd.,archive
3.48,Scopia Capital Management LP,NL0012866412,2019-06-20,BE Semiconductor Industries N.V.,archive
0.59,Voleon Capital Management LP,NL0009739416,2019-06-20,PostNL N.V.,archive
0.78,"WorldQuant, LLC",NL0000888691,2019-06-20,AMG Critical Materials N.V.,archive
1.89,AHL Partners LLP,NL0000888691,2019-06-19,AMG Critical Materials N.V.,archive
1.98,AHL Partners LLP,NL0009739416,2019-06-19,PostNL N.V.,archive
0.86,"Arrowstreet Capital, Limited Partnership",NL0000888691,2019-06-19,AMG Critical Materials N.V.,archive
1.08,Capital Fund Management S.A.,NL0000352565,2019-06-19,Fugro N.V.,archive
0.49,Marshall Wace LLP,NL0000888691,2019-06-19,AMG Critical Materials N.V.,archive
0.97,Marshall Wace LLP,BE0003818359,2019-06-19,Galapagos NV,archive
4.65,Marshall Wace LLP,NL0009739416,2019-06-19,PostNL N.V.,archive
0.95,Marshall Wace LLP,NL0011821392,2019-06-19,Signify N.V.,archive
1.6,Marshall Wace LLP,NL0000289213,2019-06-19,Wereldhave N.V.,archive
1.19,Millennium International Management LP,NL0000888691,2019-06-19,AMG Critical Materials N.V.,archive
0.81,Millennium International Management LP,NL0011821392,2019-06-19,Signify N.V.,archive
0.95,Systematica Investments Limited,NL0000352565,2019-06-19,Fugro N.V.,archive
0.8,"WorldQuant, LLC",NL0000888691,2019-06-19,AMG Critical Materials N.V.,archive
1.28,"WorldQuant, LLC",NL0000352565,2019-06-19,Fugro N.V.,archive
0.79,"WorldQuant, LLC",NL0009739416,2019-06-19,PostNL N.V.,archive
2.04,AHL Partners LLP,NL0009739416,2019-06-18,PostNL N.V.,archive
1.13,"BlackRock Institutional Trust Company, National Association",NL0000352565,2019-06-18,Fugro N.V.,archive
0.5,"BlackRock Institutional Trust Company, National Association",NL0009739416,2019-06-18,PostNL N.V.,archive
0.76,"Connor, Clark & Lunn Investment Management Ltd.",NL0009739416,2019-06-18,PostNL N.V.,archive
1.69,Marshall Wace LLP,NL0012866412,2019-06-18,BE Semiconductor Industries N.V.,archive
3.79,Marshall Wace LLP,NL0000352565,2019-06-18,Fugro N.V.,archive
0.62,RAM Active Investments SA,NL0009739416,2019-06-18,PostNL N.V.,archive
3.57,Scopia Capital Management LP,NL0012866412,2019-06-18,BE Semiconductor Industries N.V.,archive
0.69,Systematica Investments Limited,NL0009739416,2019-06-18,PostNL N.V.,archive
0.68,Voleon Capital Management LP,NL0009739416,2019-06-18,PostNL N.V.,archive
0.73,"WorldQuant, LLC",NL0000888691,2019-06-18,AMG Critical Materials N.V.,archive
0.79,Citadel Advisors LLC,BE0003818359,2019-06-17,Galapagos NV,archive
0.56,Lancaster Investment Management LLP,NL0000337319,2019-06-17,Koninklijke BAM Groep N.V.,archive
0.49,Marshall Wace LLP,NL0000337319,2019-06-17,Koninklijke BAM Groep N.V.,archive
1.05,Systematica Investments Limited,NL0000352565,2019-06-17,Fugro N.V.,archive
1.39,"WorldQuant, LLC",NL0000352565,2019-06-17,Fugro N.V.,archive
0.87,"WorldQuant, LLC",NL0009739416,2019-06-17,PostNL N.V.,archive
1.98,AHL Partners LLP,NL0009739416,2019-06-14,PostNL N.V.,archive
0.61,AXA Investment Managers Chorus Limited,NL0009739416,2019-06-14,PostNL N.V.,archive
0.91,Canada Pension Plan Investment Board,NL0000352565,2019-06-14,Fugro N.V.,archive
1.72,Marshall Wace LLP,NL0012866412,2019-06-14,BE Semiconductor Industries N.V.,archive
3.89,Marshall Wace LLP,NL0000352565,2019-06-14,Fugro N.V.,archive
4.57,Marshall Wace LLP,NL0009739416,2019-06-14,PostNL N.V.,archive
0.72,Millennium International Management LP,NL0011821392,2019-06-14,Signify N.V.,archive
2.02,AHL Partners LLP,NL0009739416,2019-06-13,PostNL N.V.,archive
1.68,BlackRock Investment Management (UK) Limited,NL0011821392,2019-06-13,Signify N.V.,archive
0.82,Canada Pension Plan Investment Board,NL0000352565,2019-06-13,Fugro N.V.,archive
0.7,Canada Pension Plan Investment Board,NL0009739416,2019-06-13,PostNL N.V.,archive
1.7,Capital Fund Management S.A.,NL0009739416,2019-06-13,PostNL N.V.,archive
0.8,Citadel Advisors LLC,BE0003818359,2019-06-13,Galapagos NV,archive
3.96,Marshall Wace LLP,NL0000352565,2019-06-13,Fugro N.V.,archive
4.65,Marshall Wace LLP,NL0009739416,2019-06-13,PostNL N.V.,archive
1.06,Marshall Wace LLP,NL0011821392,2019-06-13,Signify N.V.,archive
1.5,Marshall Wace LLP,NL0000289213,2019-06-13,Wereldhave N.V.,archive
1.17,Pictet Asset Management Limited,NL0010391025,2019-06-13,Pharming Group N.V.,archive
0.0,Susquehanna International Securities Limited,NL0000888691,2019-06-13,AMG Critical Materials N.V.,archive
0.63,"WorldQuant, LLC",NL0000888691,2019-06-13,AMG Critical Materials N.V.,archive
0.48,"WorldQuant, LLC",NL0000337319,2019-06-13,Koninklijke BAM Groep N.V.,archive
1.65,HBK Investments LP,NL0000352565,2019-06-12,Fugro N.V.,archive
0.54,Lansdowne Partners (UK) LLP,NL0011821392,2019-06-12,Signify N.V.,archive
4.03,Marshall Wace LLP,NL0000352565,2019-06-12,Fugro N.V.,archive
0.51,Marshall Wace LLP,NL0013332471,2019-06-12,TomTom N.V.,archive
0.61,Millennium Capital Partners LLP,NL0011821392,2019-06-12,Signify N.V.,archive
1.24,Millennium International Management LP,NL0000888691,2019-06-12,AMG Critical Materials N.V.,archive
0.79,Numeric Investors LLC,NL0000888691,2019-06-12,AMG Critical Materials N.V.,archive
0.51,Susquehanna International Securities Limited,NL0000888691,2019-06-12,AMG Critical Materials N.V.,archive
1.18,Systematica Investments Limited,NL0000352565,2019-06-12,Fugro N.V.,archive
0.55,"WorldQuant, LLC",NL0000888691,2019-06-12,AMG Critical Materials N.V.,archive
0.88,"WorldQuant, LLC",NL0012866412,2019-06-12,BE Semiconductor Industries N.V.,archive
1.94,AHL Partners LLP,NL0000888691,2019-06-11,AMG Critical Materials N.V.,archive
1.9,AHL Partners LLP,NL0009739416,2019-06-11,PostNL N.V.,archive
1.83,AKO Capital LLP,NL0000337319,2019-06-11,Koninklijke BAM Groep N.V.,archive
1.0,"AQR Capital Management, LLC",NL0010558797,2019-06-11,OCI N.V.,archive
0.9,"Arrowstreet Capital, Limited Partnership",NL0000888691,2019-06-11,AMG Critical Materials N.V.,archive
0.79,Citadel Advisors LLC,BE0003818359,2019-06-11,Galapagos NV,archive
0.8,"Connor, Clark & Lunn Investment Management Ltd.",NL0000352565,2019-06-11,Fugro N.V.,archive
0.56,CQS (UK) LLP,NL0012866412,2019-06-11,BE Semiconductor Industries N.V.,archive
1.59,HBK Investments LP,NL0000352565,2019-06-11,Fugro N.V.,archive
4.13,Marshall Wace LLP,NL0000352565,2019-06-11,Fugro N.V.,archive
0.8,Marshall Wace LLP,BE0003818359,2019-06-11,Galapagos NV,archive
0.84,"PDT Partners, LLC",NL0000888691,2019-06-11,AMG Critical Materials N.V.,archive
1.05,Pictet Asset Management Limited,NL0010391025,2019-06-11,Pharming Group N.V.,archive
0.99,"WorldQuant, LLC",NL0009739416,2019-06-11,PostNL N.V.,archive
1.79,AKO Capital LLP,NL0000337319,2019-06-10,Koninklijke BAM Groep N.V.,archive
1.98,"AQR Capital Management, LLC",BE0003818359,2019-06-10,Galapagos NV,archive
1.3,"AQR Capital Management, LLC",NL0009432491,2019-06-10,Koninklijke Vopak N.V.,archive
0.71,Canada Pension Plan Investment Board,NL0000352565,2019-06-10,Fugro N.V.,archive
1.68,Capital Fund Management S.A.,NL0009739416,2019-06-10,PostNL N.V.,archive
0.6,"Connor, Clark & Lunn Investment Management Ltd.",NL0009739416,2019-06-10,PostNL N.V.,archive
2.51,Lansdowne Partners (UK) LLP,NL0006237562,2019-06-10,ARCADIS N.V.,archive
0.49,Lansdowne Partners (UK) LLP,NL0011794037,2019-06-10,Koninklijke Ahold Delhaize N.V.,archive
0.6,Marshall Wace LLP,NL0011794037,2019-06-10,Koninklijke Ahold Delhaize N.V.,archive
4.73,Marshall Wace LLP,NL0009739416,2019-06-10,PostNL N.V.,archive
0.53,Millennium Capital Partners LLP,NL0011821392,2019-06-10,Signify N.V.,archive
1.01,Millennium International Management LP,NL0000289213,2019-06-10,Wereldhave N.V.,archive
0.49,Odey Asset Management LLP,NL0000289213,2019-06-10,Wereldhave N.V.,archive
0.49,Susquehanna International Securities Limited,NL0000888691,2019-06-10,AMG Critical Materials N.V.,archive
1.84,AHL Partners LLP,NL0009739416,2019-06-07,PostNL N.V.,archive
1.63,AKO Capital LLP,NL0000337319,2019-06-07,Koninklijke BAM Groep N.V.,archive
0.6,B&G Master Fund Plc,NL0000352565,2019-06-07,Fugro N.V.,archive
1.02,"BlackRock Institutional Trust Company, National Association",NL0000352565,2019-06-07,Fugro N.V.,archive
0.8,Citadel Advisors LLC,BE0003818359,2019-06-07,Galapagos NV,archive
0.88,Citadel Europe LLP,NL0000352565,2019-06-07,Fugro N.V.,archive
1.0,"Connor, Clark & Lunn Investment Management Ltd.",NL0010391025,2019-06-07,Pharming Group N.V.,archive
2.46,Lansdowne Partners (UK) LLP,NL0006237562,2019-06-07,ARCADIS N.V.,archive
4.23,Marshall Wace LLP,NL0000352565,2019-06-07,Fugro N.V.,archive
0.71,Marshall Wace LLP,BE0003818359,2019-06-07,Galapagos NV,archive
1.47,Marshall Wace LLP,NL0000289213,2019-06-07,Wereldhave N.V.,archive
0.9,Pictet Asset Management Limited,NL0010391025,2019-06-07,Pharming Group N.V.,archive
0.52,Susquehanna International Securities Limited,NL0000888691,2019-06-07,AMG Critical Materials N.V.,archive
0.46,"WorldQuant, LLC",NL0000888691,2019-06-07,AMG Critical Materials N.V.,archive
1.01,"WorldQuant, LLC",NL0009739416,2019-06-07,PostNL N.V.,archive
0.79,"D. E. Shaw & Co., L.P.",NL0000289213,2019-06-06,Wereldhave N.V.,archive
0.37,GAM Investment Management (Switzerland) Ltd. ? Lugano Branch,NL0000289213,2019-06-06,Wereldhave N.V.,archive
0.47,Millennium Capital Partners LLP,NL0011821392,2019-06-06,Signify N.V.,archive
0.63,"PDT Partners, LLC",NL0009739416,2019-06-06,PostNL N.V.,archive
0.47,"Philadelphia Financial Management of San Francisco, LLC",NL0011279492,2019-06-06,Flow Traders Ltd.,archive
0.6,Susquehanna International Securities Limited,NL0000888691,2019-06-06,AMG Critical Materials N.V.,archive
0.69,Voleon Capital Management LP,NL0009269109,2019-06-06,Koninklijke Heijmans N.V.,archive
0.99,"WorldQuant, LLC",NL0009739416,2019-06-06,PostNL N.V.,archive
1.61,"AQR Capital Management, LLC",NL0000360618,2019-06-05,SBM Offshore N.V.,archive
0.8,"D. E. Shaw & Co., L.P.",NL0000289213,2019-06-05,Wereldhave N.V.,archive
1.6,HBK Investments LP,NL0000352565,2019-06-05,Fugro N.V.,archive
2.37,Lansdowne Partners (UK) LLP,NL0006237562,2019-06-05,ARCADIS N.V.,archive
0.5,Marshall Wace LLP,NL0000888691,2019-06-05,AMG Critical Materials N.V.,archive
4.66,Marshall Wace LLP,NL0009739416,2019-06-05,PostNL N.V.,archive
1.55,Marshall Wace LLP,NL0000289213,2019-06-05,Wereldhave N.V.,archive
0.51,Millennium Capital Partners LLP,NL0011821392,2019-06-05,Signify N.V.,archive
0.9,Millennium International Management LP,NL0000289213,2019-06-05,Wereldhave N.V.,archive
0.81,Pictet Asset Management Limited,NL0010391025,2019-06-05,Pharming Group N.V.,archive
0.58,Tower House Partners LLP,NL0011821392,2019-06-05,Signify N.V.,archive
0.71,Voleon Capital Management LP,NL0009739416,2019-06-05,PostNL N.V.,archive
1.46,"WorldQuant, LLC",NL0000352565,2019-06-05,Fugro N.V.,archive
0.51,"Connor, Clark & Lunn Investment Management Ltd.",NL0009739416,2019-06-04,PostNL N.V.,archive
0.79,"D. E. Shaw & Co., L.P.",NL0000289213,2019-06-04,Wereldhave N.V.,archive
3.9,"Eminence Capital, LP",NL0000888691,2019-06-04,AMG Critical Materials N.V.,archive
1.57,HBK Investments LP,NL0000352565,2019-06-04,Fugro N.V.,archive
2.25,Lansdowne Partners (UK) LLP,NL0006237562,2019-06-04,ARCADIS N.V.,archive
1.6,Marshall Wace LLP,NL0012866412,2019-06-04,BE Semiconductor Industries N.V.,archive
4.57,Marshall Wace LLP,NL0009739416,2019-06-04,PostNL N.V.,archive
0.66,Millennium International Management LP,NL0011821392,2019-06-04,Signify N.V.,archive
0.99,"PDT Partners, LLC",NL0000888691,2019-06-04,AMG Critical Materials N.V.,archive
0.54,"PDT Partners, LLC",NL0009739416,2019-06-04,PostNL N.V.,archive
3.61,Scopia Capital Management LP,NL0012866412,2019-06-04,BE Semiconductor Industries N.V.,archive
0.47,Susquehanna International Holdings LLC,NL0009269109,2019-06-04,Koninklijke Heijmans N.V.,archive
0.7,Systematica Investments Limited,NL0009739416,2019-06-04,PostNL N.V.,archive
1.5,"WorldQuant, LLC",NL0000352565,2019-06-04,Fugro N.V.,archive
1.08,"WorldQuant, LLC",NL0009739416,2019-06-04,PostNL N.V.,archive
0.4,AHL Partners LLP,NL0000352565,2019-06-03,Fugro N.V.,archive
1.41,AKO Capital LLP,NL0000337319,2019-06-03,Koninklijke BAM Groep N.V.,archive
2.0,"AQR Capital Management, LLC",BE0003818359,2019-06-03,Galapagos NV,archive
1.59,"AQR Capital Management, LLC",NL0000360618,2019-06-03,SBM Offshore N.V.,archive
1.67,HBK Investments LP,NL0000352565,2019-06-03,Fugro N.V.,archive
2.16,Lansdowne Partners (UK) LLP,NL0006237562,2019-06-03,ARCADIS N.V.,archive
4.42,Marshall Wace LLP,NL0000352565,2019-06-03,Fugro N.V.,archive
0.59,Marshall Wace LLP,NL0000337319,2019-06-03,Koninklijke BAM Groep N.V.,archive
0.47,Millennium Capital Partners LLP,NL0011821392,2019-06-03,Signify N.V.,archive
1.05,"PDT Partners, LLC",NL0000888691,2019-06-03,AMG Critical Materials N.V.,archive
0.6,"Philadelphia Financial Management of San Francisco, LLC",NL0011279492,2019-06-03,Flow Traders Ltd.,archive
0.73,Pictet Asset Management Limited,NL0010391025,2019-06-03,Pharming Group N.V.,archive
0.58,"WorldQuant, LLC",NL0000888691,2019-06-03,AMG Critical Materials N.V.,archive
0.51,"WorldQuant, LLC",NL0000337319,2019-06-03,Koninklijke BAM Groep N.V.,archive
0.92,Adelphi Capital LLP,NL0000288876,2019-05-31,Eurocommercial Properties N.V.,archive
0.54,AHL Partners LLP,NL0000352565,2019-05-31,Fugro N.V.,archive
1.7,AHL Partners LLP,NL0009739416,2019-05-31,PostNL N.V.,archive
0.49,Capital Fund Management S.A.,NL0000289213,2019-05-31,Wereldhave N.V.,archive
1.36,Citadel Europe LLP,NL0000352565,2019-05-31,Fugro N.V.,archive
0.58,"Connor, Clark & Lunn Investment Management Ltd.",NL0012866412,2019-05-31,BE Semiconductor Industries N.V.,archive
1.31,ENA Investment Capital LLP,NL0011821392,2019-05-31,Signify N.V.,archive
1.53,Marshall Wace LLP,NL0012866412,2019-05-31,BE Semiconductor Industries N.V.,archive
4.54,Marshall Wace LLP,NL0000352565,2019-05-31,Fugro N.V.,archive
0.6,Marshall Wace LLP,BE0003818359,2019-05-31,Galapagos NV,archive
4.42,Marshall Wace LLP,NL0009739416,2019-05-31,PostNL N.V.,archive
1.1,Marshall Wace LLP,NL0011821392,2019-05-31,Signify N.V.,archive
3.51,Scopia Capital Management LP,NL0012866412,2019-05-31,BE Semiconductor Industries N.V.,archive
1.81,Sculptor Capital Management Europe Limited,NL0000352565,2019-05-31,Fugro N.V.,archive
0.5,Susquehanna International Holdings LLC,NL0009269109,2019-05-31,Koninklijke Heijmans N.V.,archive
1.1,"WorldQuant, LLC",NL0009739416,2019-05-31,PostNL N.V.,archive
1.35,AKO Capital LLP,NL0000337319,2019-05-30,Koninklijke BAM Groep N.V.,archive
0.51,AXA Investment Managers Chorus Limited,NL0009739416,2019-05-30,PostNL N.V.,archive
0.93,"BlackRock Institutional Trust Company, National Association",NL0000352565,2019-05-30,Fugro N.V.,archive
1.53,"Connor, Clark & Lunn Investment Management Ltd.",NL0000888691,2019-05-30,AMG Critical Materials N.V.,archive
1.01,"Connor, Clark & Lunn Investment Management Ltd.",NL0000289213,2019-05-30,Wereldhave N.V.,archive
0.51,"Davidson Kempner European Partners, LLP",NL0000337319,2019-05-30,Koninklijke BAM Groep N.V.,archive
1.23,ENA Investment Capital LLP,NL0011821392,2019-05-30,Signify N.V.,archive
0.5,Marshall Wace LLP,NL0011794037,2019-05-30,Koninklijke Ahold Delhaize N.V.,archive
0.8,Millennium International Management LP,NL0000289213,2019-05-30,Wereldhave N.V.,archive
3.42,Scopia Capital Management LP,NL0012866412,2019-05-30,BE Semiconductor Industries N.V.,archive
0.47,Susquehanna International Holdings LLC,NL0009269109,2019-05-30,Koninklijke Heijmans N.V.,archive
0.6,"WorldQuant, LLC",NL0000888691,2019-05-30,AMG Critical Materials N.V.,archive
1.43,"WorldQuant, LLC",NL0000352565,2019-05-30,Fugro N.V.,archive
0.66,AHL Partners LLP,NL0000352565,2019-05-29,Fugro N.V.,archive
1.6,AHL Partners LLP,NL0009739416,2019-05-29,PostNL N.V.,archive
0.81,"Arrowstreet Capital, Limited Partnership",NL0000888691,2019-05-29,AMG Critical Materials N.V.,archive
0.61,Boldhaven Management LLP,NL0000337319,2019-05-29,Koninklijke BAM Groep N.V.,archive
