isin,position_holder,issuer_name,net_short_position,position_date,source
LU0569974404,CQS (UK) LLP,Aperam S.A.,0.69,2014-05-15,archive
NL0000352565,Lansdowne Partners Limited,Fugro N.V.,0.74,2014-05-15,archive
NL0000289213,"BlackRock Institutional Trust Company, National Association",Wereldhave N.V.,0.48,2014-05-13,archive
NL0000387058,TT International,TomTom N.V.,0.68,2014-05-13,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.71,2014-05-12,archive
LU0569974404,BNP Paribas S.A.,Aperam S.A.,0.56,2014-05-09,archive
NL0000352565,UBS Global Asset Management (UK) Ltd.,Fugro N.V.,0.75,2014-05-09,archive
LU0569974404,BNP Paribas S.A.,Aperam S.A.,0.63,2014-05-08,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.62,2014-05-08,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.7,2014-05-06,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.57,2014-05-06,archive
NL0000360618,"AQR Capital Management, LLC",SBM Offshore N.V.,0.61,2014-05-05,archive
NL0000352565,"WorldQuant, LLC",Fugro N.V.,0.45,2014-05-05,archive
NL0000387058,TT International,TomTom N.V.,0.82,2014-04-29,archive
NL0009432491,Fil Investment Services (UK) Limited,Koninklijke Vopak N.V.,0.62,2014-04-28,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,0.46,2014-04-28,archive
NL0000352565,"WorldQuant, LLC",Fugro N.V.,0.57,2014-04-28,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,0.56,2014-04-25,archive
NL0000352565,"WorldQuant, LLC",Fugro N.V.,0.65,2014-04-25,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,0.65,2014-04-24,archive
NL0000387058,TT International,TomTom N.V.,0.68,2014-04-24,archive
NL0000387058,TT International,TomTom N.V.,0.76,2014-04-23,archive
NL0000360618,"AQR Capital Management, LLC",SBM Offshore N.V.,0.53,2014-04-17,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.69,2014-04-15,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.47,2014-04-15,archive
LU0569974404,Adage Capital Management L.P.,Aperam S.A.,2.57,2014-04-11,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.54,2014-04-11,archive
NL0000352565,"WorldQuant, LLC",Fugro N.V.,0.73,2014-04-11,archive
NL0000352565,"WorldQuant, LLC",Fugro N.V.,0.66,2014-04-10,archive
LU0569974404,Adage Capital Management L.P.,Aperam S.A.,2.97,2014-04-08,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.67,2014-04-08,archive
NL0000337319,AKO Capital LLP,Koninklijke BAM Groep N.V.,1.16,2014-04-07,archive
NL0000352565,"WorldQuant, LLC",Fugro N.V.,0.51,2014-04-07,archive
NL0000337319,AKO Capital LLP,Koninklijke BAM Groep N.V.,1.06,2014-04-04,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,0.72,2014-04-04,archive
NL0000337319,AKO Capital LLP,Koninklijke BAM Groep N.V.,0.92,2014-04-03,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,0.54,2014-04-03,archive
NL0000337319,AKO Capital LLP,Koninklijke BAM Groep N.V.,0.8,2014-04-02,archive
LU0569974404,Adage Capital Management L.P.,Aperam S.A.,3.03,2014-04-01,archive
LU0569974404,Adage Capital Management L.P.,Aperam S.A.,2.84,2014-03-31,archive
NL0000337319,AKO Capital LLP,Koninklijke BAM Groep N.V.,0.7,2014-03-31,archive
NL0000337319,AKO Capital LLP,Koninklijke BAM Groep N.V.,0.62,2014-03-28,archive
NL0000387058,TT International,TomTom N.V.,0.81,2014-03-28,archive
NL0000337319,AKO Capital LLP,Koninklijke BAM Groep N.V.,0.5,2014-03-27,archive
NL0000352565,The Children's Investment Fund Management (UK) LLP,Fugro N.V.,0.49,2014-03-27,archive
NL0000352565,"BlackRock Institutional Trust Company, National Association",Fugro N.V.,0.49,2014-03-26,archive
NL0000289213,"BlackRock Institutional Trust Company, National Association",Wereldhave N.V.,0.59,2014-03-26,archive
LU0569974404,BNP Paribas S.A.,Aperam S.A.,0.71,2014-03-26,archive
NL0000352565,The Children's Investment Fund Management (UK) LLP,Fugro N.V.,0.55,2014-03-26,archive
LU0569974404,BNP Paribas S.A.,Aperam S.A.,0.66,2014-03-25,archive
NL0009739416,Oxford Asset Management,PostNL N.V.,0.44,2014-03-25,archive
NL0009739416,Oxford Asset Management,PostNL N.V.,0.5,2014-03-24,archive
LU0569974404,BNP Paribas S.A.,Aperam S.A.,0.7,2014-03-21,archive
NL0000387058,"Cadian Capital Management GP, LLC",TomTom N.V.,0.45,2014-03-21,archive
NL0000387058,"Cadian Capital Management GP, LLC",TomTom N.V.,0.66,2014-03-20,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.7,2014-03-19,archive
NL0000360618,Marshall Wace LLP,SBM Offshore N.V.,0.39,2014-03-19,archive
NL0000360618,Marshall Wace LLP,SBM Offshore N.V.,0.54,2014-03-18,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,0.49,2014-03-18,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.62,2014-03-17,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,0.5,2014-03-14,archive
NL0000387058,TT International,TomTom N.V.,0.65,2014-03-14,archive
LU0569974404,Adage Capital Management L.P.,Aperam S.A.,2.72,2014-03-13,archive
NL0000352565,"BlackRock Institutional Trust Company, National Association",Fugro N.V.,0.5,2014-03-13,archive
LU0569974404,BNP Paribas S.A.,Aperam S.A.,0.63,2014-03-13,archive
