isin,position_holder,issuer_name,net_short_position,position_date,source
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2.19,2024-11-25,archive
LU0569974404,Qube Research & Technologies Ltd.,Aperam S.A.,0.42,2024-11-25,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.08,2024-11-25,archive
NL0000888691,Acadian Asset Management LLC.,AMG Critical Materials N.V.,0.47,2024-11-22,archive
NL0000379121,AKO Capital LLP,Randstad N.V.,0.71,2024-11-22,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.18,2024-11-22,archive
NL0015002AG2,Citadel Securities (Europe) Limited,Ebusco Holding N.V.,0.0,2024-11-22,archive
NL0015002AG2,Guevoura Fund Limited,Ebusco Holding N.V.,1.08,2024-11-22,archive
NL0011794037,Ilex Capital Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,0.53,2024-11-22,archive
NL0015002AG2,Jane Street Group LLC,Ebusco Holding N.V.,0.43,2024-11-22,archive
NL0011794037,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,0.6,2024-11-22,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,1.15,2024-11-22,archive
NL0015002AG2,Quartys Limited,Ebusco Holding N.V.,0.8,2024-11-22,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2.39,2024-11-22,archive
NL0012047823,Qube Research & Technologies Ltd.,Avantium N.V.,0.9,2024-11-22,archive
NL0011872643,"AQR Capital Management, LLC",ASR Nederland N.V.,0.8,2024-11-21,archive
NL0010391025,"Arrowstreet Capital, Limited Partnership",Pharming Group N.V.,1.12,2024-11-21,archive
NL0000888691,Capital Fund Management S.A.,AMG Critical Materials N.V.,0.5,2024-11-21,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.27,2024-11-21,archive
NL0015002AG2,Citadel Securities (Europe) Limited,Ebusco Holding N.V.,0.51,2024-11-21,archive
NL0009739416,GSA Capital Partners LLP,PostNL N.V.,0.6,2024-11-21,archive
NL0015002AG2,Guevoura Fund Limited,Ebusco Holding N.V.,0.8,2024-11-21,archive
NL0011794037,Ilex Capital Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,0.6,2024-11-21,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,1.73,2024-11-21,archive
NL0000852523,Marshall Wace LLP,TKH Group N.V.,0.51,2024-11-21,archive
LU0569974404,Millennium Capital Partners LLP,Aperam S.A.,0.97,2024-11-21,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,1.04,2024-11-21,archive
LU0569974404,Millennium International Management LP,Aperam S.A.,0.8,2024-11-21,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,2.02,2024-11-21,archive
NL0012747059,TFG Asset Management UK LLP,CM.com N.V.,0.61,2024-11-21,archive
NL0012817175,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,1.89,2024-11-20,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.33,2024-11-20,archive
NL0010558797,Citadel Advisors LLC,OCI N.V.,0.91,2024-11-20,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,1.66,2024-11-20,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,1.4,2024-11-20,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,0.92,2024-11-20,archive
LU0569974404,Millennium International Management LP,Aperam S.A.,0.72,2024-11-20,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,3.1,2024-11-20,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,1.87,2024-11-20,archive
NL0011821392,"Point72 Europe (London), LLP",Signify N.V.,0.43,2024-11-20,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2.41,2024-11-20,archive
LU0569974404,Qube Research & Technologies Ltd.,Aperam S.A.,0.59,2024-11-20,archive
BE0003818359,Qube Research & Technologies Ltd.,Galapagos NV,0.61,2024-11-20,archive
NL0000379121,AKO Capital LLP,Randstad N.V.,0.69,2024-11-19,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.29,2024-11-19,archive
NL0000009082,Marshall Wace LLP,Koninklijke KPN N.V.,0.98,2024-11-19,archive
LU0569974404,Millennium Capital Partners LLP,Aperam S.A.,0.82,2024-11-19,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,0.82,2024-11-19,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,1.94,2024-11-19,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2.38,2024-11-19,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.1,2024-11-19,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,1.92,2024-11-19,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.11,2024-11-18,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,1.41,2024-11-18,archive
NL0011794037,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,0.59,2024-11-18,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,1.53,2024-11-18,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,1.32,2024-11-18,archive
LU0569974404,Millennium Capital Partners LLP,Aperam S.A.,0.76,2024-11-18,archive
LU0569974404,Millennium International Management LP,Aperam S.A.,0.61,2024-11-18,archive
LU0569974404,Qube Research & Technologies Ltd.,Aperam S.A.,0.6,2024-11-18,archive
NL0010391025,Qube Research & Technologies Ltd.,Pharming Group N.V.,0.71,2024-11-18,archive
NL0012866412,"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.6,2024-11-18,archive
NL0012866412,"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,0.52,2024-11-15,archive
NL0012866412,"Connor, Clark & Lunn Investment Management Ltd.",BE Semiconductor Industries N.V.,0.52,2024-11-15,archive
NL0015002AG2,Jane Street Group LLC,Ebusco Holding N.V.,0.6,2024-11-15,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,1.08,2024-11-15,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,0.62,2024-11-15,archive
NL0013332471,Otus Capital Management Ltd.,TomTom N.V.,1.08,2024-11-15,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,1.74,2024-11-15,archive
BE0003818359,Qube Research & Technologies Ltd.,Galapagos NV,0.51,2024-11-15,archive
NL0000888691,SIH Partners LLLP,AMG Critical Materials N.V.,0.26,2024-11-15,archive
NL0012747059,TFG Asset Management UK LLP,CM.com N.V.,0.51,2024-11-15,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.43,2024-11-15,archive
NL0000888691,Capital Fund Management S.A.,AMG Critical Materials N.V.,0.46,2024-11-14,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.05,2024-11-14,archive
NL0010558797,Citadel Advisors LLC,OCI N.V.,0.83,2024-11-14,archive
NL0012817175,"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,0.48,2024-11-14,archive
NL0000009082,Marshall Wace LLP,Koninklijke KPN N.V.,1.06,2024-11-14,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,1.41,2024-11-14,archive
NL0015002AG2,Millennium Capital Partners LLP,Ebusco Holding N.V.,0.91,2024-11-14,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,1.8,2024-11-14,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,1.81,2024-11-14,archive
NL0000888691,SIH Partners LLLP,AMG Critical Materials N.V.,0.58,2024-11-14,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.56,2024-11-14,archive
NL0011872650,BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,0.01,2024-11-13,archive
NL0000888691,Capital Fund Management S.A.,AMG Critical Materials N.V.,0.54,2024-11-13,archive
NL0013267909,Marshall Wace LLP,Akzo Nobel N.V.,1.1,2024-11-13,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,1.36,2024-11-13,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,0.52,2024-11-13,archive
LU0569974404,Millennium International Management LP,Aperam S.A.,0.51,2024-11-13,archive
NL0011821392,"Point72 Europe (London), LLP",Signify N.V.,0.55,2024-11-13,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2.28,2024-11-13,archive
NL0000888691,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.09,2024-11-13,archive
LU0569974404,Qube Research & Technologies Ltd.,Aperam S.A.,0.54,2024-11-13,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.09,2024-11-13,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,1.76,2024-11-13,archive
NL0009739416,Qube Research & Technologies Ltd.,PostNL N.V.,1.6,2024-11-13,archive
NL0012866412,"WorldQuant, LLC",BE Semiconductor Industries N.V.,0.54,2024-11-13,archive
NL0009739416,"WorldQuant, LLC",PostNL N.V.,0.51,2024-11-13,archive
NL0012866412,"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,0.49,2024-11-12,archive
NL0012817175,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,1.98,2024-11-12,archive
NL0006237562,Boldhaven Management LLP,ARCADIS N.V.,0.69,2024-11-12,archive
NL0000888691,Capital Fund Management S.A.,AMG Critical Materials N.V.,0.6,2024-11-12,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.19,2024-11-12,archive
NL0010558797,Citadel Advisors LLC,OCI N.V.,0.78,2024-11-12,archive
NL0015002AG2,Jane Street Group LLC,Ebusco Holding N.V.,0.82,2024-11-12,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,1.31,2024-11-12,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,1.28,2024-11-12,archive
LU0569974404,Millennium Capital Partners LLP,Aperam S.A.,0.6,2024-11-12,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,3.02,2024-11-12,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2.32,2024-11-12,archive
NL0000888691,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.15,2024-11-12,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.14,2024-11-12,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,1.66,2024-11-12,archive
NL0000888691,SIH Partners LLLP,AMG Critical Materials N.V.,0.66,2024-11-12,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.64,2024-11-12,archive
NL0012866412,"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,0.5,2024-11-11,archive
NL0000888691,Capital Fund Management S.A.,AMG Critical Materials N.V.,0.47,2024-11-11,archive
NL0015002AG2,Citadel Securities (Europe) Limited,Ebusco Holding N.V.,0.37,2024-11-11,archive
LU0569974404,JPMorgan Asset Management (UK) Ltd.,Aperam S.A.,0.42,2024-11-11,archive
NL0000009082,Marshall Wace LLP,Koninklijke KPN N.V.,0.99,2024-11-11,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,1.21,2024-11-11,archive
NL0011821392,Mirabella Financial Services LLP,Signify N.V.,0.49,2024-11-11,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,1.76,2024-11-11,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2.24,2024-11-11,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,1.59,2024-11-11,archive
NL0012866412,"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,0.49,2024-11-08,archive
NL0000888691,Capital Fund Management S.A.,AMG Critical Materials N.V.,0.53,2024-11-08,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.22,2024-11-08,archive
NL0015002AG2,Citadel Securities (Europe) Limited,Ebusco Holding N.V.,0.79,2024-11-08,archive
NL0011821392,Mirabella Financial Services LLP,Signify N.V.,0.51,2024-11-08,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2.48,2024-11-08,archive
NL0011872650,Qube Research & Technologies Ltd.,Basic-Fit N.V.,0.99,2024-11-08,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,1.6,2024-11-08,archive
NL0009739416,Qube Research & Technologies Ltd.,PostNL N.V.,1.51,2024-11-08,archive
NL0011821392,AKO Capital LLP,Signify N.V.,0.79,2024-11-07,archive
NL0012817175,"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,0.56,2024-11-07,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,1.21,2024-11-07,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,1.1,2024-11-07,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2.04,2024-11-07,archive
BE0003818359,Qube Research & Technologies Ltd.,Galapagos NV,0.49,2024-11-07,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,1.58,2024-11-07,archive
NL0000888691,SIH Partners LLLP,AMG Critical Materials N.V.,0.58,2024-11-07,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.18,2024-11-06,archive
NL0013267909,Marshall Wace LLP,Akzo Nobel N.V.,1.04,2024-11-06,archive
NL0011794037,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,0.6,2024-11-06,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,1.12,2024-11-06,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,1.38,2024-11-06,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2.9,2024-11-06,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,1.86,2024-11-06,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2.23,2024-11-06,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.25,2024-11-06,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.78,2024-11-06,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.27,2024-11-05,archive
NL0013332471,Citadel Advisors LLC,TomTom N.V.,0.49,2024-11-05,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,1.1,2024-11-05,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,1.04,2024-11-05,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,1.02,2024-11-05,archive
LU0569974404,Qube Research & Technologies Ltd.,Aperam S.A.,0.48,2024-11-05,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.84,2024-11-05,archive
NL0010558797,"Arrowstreet Capital, Limited Partnership",OCI N.V.,0.51,2024-11-04,archive
NL0006237562,Boldhaven Management LLP,ARCADIS N.V.,0.7,2024-11-04,archive
NL0011794037,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,0.5,2024-11-04,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,0.94,2024-11-04,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,0.99,2024-11-04,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,1.4,2024-11-04,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2.8,2024-11-04,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,1.92,2024-11-04,archive
NL0000888691,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.09,2024-11-04,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.39,2024-11-04,archive
BE0003818359,Qube Research & Technologies Ltd.,Galapagos NV,0.5,2024-11-04,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,1.64,2024-11-04,archive
NL0009739416,Qube Research & Technologies Ltd.,PostNL N.V.,1.42,2024-11-04,archive
NL0011872650,BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,0.58,2024-11-01,archive
NL0010558797,Citadel Advisors LLC,OCI N.V.,0.62,2024-11-01,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,1.09,2024-11-01,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,0.81,2024-11-01,archive
NL0000888691,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.1,2024-11-01,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.44,2024-11-01,archive
NL0011872650,Wellington Management International Ltd.,Basic-Fit N.V.,0.6,2024-11-01,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.98,2024-11-01,archive
NL0010558797,Citadel Advisors LLC,OCI N.V.,0.52,2024-10-31,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2.71,2024-10-31,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,1.86,2024-10-31,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.51,2024-10-31,archive
NL0000888691,Acadian Asset Management LLC.,AMG Critical Materials N.V.,0.56,2024-10-30,archive
NL0011872650,BlackRock Investment Management (UK) Limited,Basic-Fit N.V.,0.74,2024-10-30,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.39,2024-10-30,archive
NL0010558797,Marshall Wace LLP,OCI N.V.,0.5,2024-10-30,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,1.31,2024-10-30,archive
LU0569974404,Millennium Capital Partners LLP,Aperam S.A.,0.56,2024-10-30,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,1.76,2024-10-30,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.48,2024-10-30,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,1.52,2024-10-30,archive
NL0000352565,TFG Asset Management UK LLP,Fugro N.V.,0.2,2024-10-30,archive
BE0003818359,"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.19,2024-10-29,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.4,2024-10-29,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,1.29,2024-10-29,archive
LU0569974404,Millennium Capital Partners LLP,Aperam S.A.,0.6,2024-10-29,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,1.41,2024-10-29,archive
NL0010391025,Qube Research & Technologies Ltd.,Pharming Group N.V.,0.69,2024-10-29,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,1.07,2024-10-29,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,0.44,2024-10-28,archive
NL0010558797,Millennium International Management LP,OCI N.V.,0.0,2024-10-28,archive
NL0009739416,Millennium International Management LP,PostNL N.V.,0.39,2024-10-28,archive
NL0011821392,"Point72 Europe (London), LLP",Signify N.V.,0.44,2024-10-28,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,1.64,2024-10-28,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,1.31,2024-10-28,archive
NL0010391025,Qube Research & Technologies Ltd.,Pharming Group N.V.,0.7,2024-10-28,archive
NL0009739416,Qube Research & Technologies Ltd.,PostNL N.V.,1.31,2024-10-28,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,1.11,2024-10-28,archive
NL0011821392,AKO Capital LLP,Signify N.V.,0.69,2024-10-25,archive
NL0012817175,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,2.0,2024-10-25,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.38,2024-10-25,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,1.12,2024-10-25,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,0.54,2024-10-25,archive
NL0010558797,Millennium International Management LP,OCI N.V.,0.75,2024-10-25,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2.61,2024-10-25,archive
NL0011821392,"Point72 Europe (London), LLP",Signify N.V.,0.5,2024-10-25,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,1.76,2024-10-25,archive
NL0000888691,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.07,2024-10-25,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.58,2024-10-25,archive
NL0010391025,Qube Research & Technologies Ltd.,Pharming Group N.V.,0.68,2024-10-25,archive
NL0012817175,Teacher Retirement System of Texas,Alfen N.V.,0.05,2024-10-25,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.44,2024-10-24,archive
NL0013267909,Marshall Wace LLP,Akzo Nobel N.V.,0.91,2024-10-24,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,0.66,2024-10-24,archive
NL0010558797,Millennium International Management LP,OCI N.V.,0.61,2024-10-24,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2.51,2024-10-24,archive
NL0009739416,Millennium International Management LP,PostNL N.V.,0.5,2024-10-24,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,1.99,2024-10-24,archive
NL0000888691,"PDT Partners, LLC",AMG Critical Materials N.V.,0.57,2024-10-24,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,1.89,2024-10-24,archive
NL0010391025,Qube Research & Technologies Ltd.,Pharming Group N.V.,0.8,2024-10-24,archive
NL0013332471,Qube Research & Technologies Ltd.,TomTom N.V.,0.6,2024-10-24,archive
NL0000888691,"AQR Capital Management, LLC",AMG Critical Materials N.V.,0.68,2024-10-23,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.6,2024-10-23,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,0.78,2024-10-23,archive
NL0000888691,"PDT Partners, LLC",AMG Critical Materials N.V.,0.6,2024-10-23,archive
NL0012047823,Qube Research & Technologies Ltd.,Avantium N.V.,0.8,2024-10-23,archive
NL0011872650,Qube Research & Technologies Ltd.,Basic-Fit N.V.,1.09,2024-10-23,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,1.13,2024-10-23,archive
NL0000379121,AKO Capital LLP,Randstad N.V.,0.76,2024-10-22,archive
NL0012817175,"BlackRock Advisors, LLC",Alfen N.V.,0.47,2024-10-22,archive
NL0012866412,Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,0.68,2024-10-22,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2.25,2024-10-22,archive
NL0011872650,Qube Research & Technologies Ltd.,Basic-Fit N.V.,1.1,2024-10-22,archive
NL0010391025,Qube Research & Technologies Ltd.,Pharming Group N.V.,0.66,2024-10-22,archive
NL0012817175,"BlackRock Advisors, LLC",Alfen N.V.,0.57,2024-10-21,archive
NL0012817175,"BlackRock Financial Management, Inc.",Alfen N.V.,0.26,2024-10-21,archive
NL0011794037,Ilex Capital Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,0.59,2024-10-21,archive
NL0000009082,Marshall Wace LLP,Koninklijke KPN N.V.,1.0,2024-10-21,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,0.88,2024-10-21,archive
NL0009739416,Qube Research & Technologies Ltd.,PostNL N.V.,1.23,2024-10-21,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,1.03,2024-10-21,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.55,2024-10-18,archive
NL0015000CZ2,Citadel Securities (Europe) Limited,Ebusco Holding N.V.,0.44,2024-10-18,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,0.92,2024-10-18,archive
NL0011872650,Qube Research & Technologies Ltd.,Basic-Fit N.V.,1.08,2024-10-18,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,1.0,2024-10-18,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.97,2024-10-18,archive
NL0012866412,"AQR Capital Management, LLC",BE Semiconductor Industries N.V.,0.5,2024-10-17,archive
NL0000360618,Balyasny Asset Management (UK) LLP,SBM Offshore N.V.,0.48,2024-10-17,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.6,2024-10-17,archive
NL0011794037,Ilex Capital Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,0.6,2024-10-17,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,1.08,2024-10-17,archive
LU0569974404,Qube Research & Technologies Ltd.,Aperam S.A.,0.52,2024-10-17,archive
NL0009739416,Qube Research & Technologies Ltd.,PostNL N.V.,1.19,2024-10-17,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.76,2024-10-17,archive
NL0011821392,AKO Capital LLP,Signify N.V.,0.93,2024-10-16,archive
NL0000888691,Capital Fund Management S.A.,AMG Critical Materials N.V.,0.47,2024-10-16,archive
NL0012817175,"Connor, Clark & Lunn Investment Management Ltd.",Alfen N.V.,0.66,2024-10-16,archive
NL0000888691,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,0.78,2024-10-16,archive
NL0013267909,Marshall Wace LLP,Akzo Nobel N.V.,0.8,2024-10-16,archive
NL0009739416,Marshall Wace LLP,PostNL N.V.,0.8,2024-10-16,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,1.24,2024-10-16,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2.11,2024-10-16,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2.18,2024-10-16,archive
NL0010558797,Qube Research & Technologies Ltd.,OCI N.V.,0.93,2024-10-16,archive
NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.54,2024-10-16,archive
NL00150003E1,Balyasny Asset Management (UK) LLP,Fugro N.V.,0.49,2024-10-15,archive
NL0000888691,Capital Fund Management S.A.,AMG Critical Materials N.V.,0.5,2024-10-15,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.53,2024-10-15,archive
NL0000888691,"D. E. Shaw & Co., L.P.",AMG Critical Materials N.V.,0.8,2024-10-15,archive
NL0000888691,Marshall Wace LLP,AMG Critical Materials N.V.,1.08,2024-10-15,archive
NL0013332471,Otus Capital Management Ltd.,TomTom N.V.,1.11,2024-10-15,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,2.03,2024-10-15,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,2.2,2024-10-15,archive
NL0000888691,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.18,2024-10-15,archive
BMG3602E1084,Qube Research & Technologies Ltd.,Flow Traders Ltd.,1.66,2024-10-15,archive
NL0000888691,Actus Ray Partners Limited,AMG Critical Materials N.V.,0.5,2024-10-14,archive
NL0011794037,Ilex Capital Partners (UK) LLP,Koninklijke Ahold Delhaize N.V.,0.59,2024-10-14,archive
NL0012817175,Millennium International Management LP,Alfen N.V.,1.46,2024-10-14,archive
NL0013332471,Otus Capital Management Ltd.,TomTom N.V.,1.03,2024-10-14,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,1.91,2024-10-14,archive
NL0000888691,Qube Research & Technologies Ltd.,AMG Critical Materials N.V.,2.2,2024-10-14,archive
NL0012047823,Qube Research & Technologies Ltd.,Avantium N.V.,0.71,2024-10-14,archive
NL0009739416,Qube Research & Technologies Ltd.,PostNL N.V.,1.2,2024-10-14,archive
NL0010391025,"Arrowstreet Capital, Limited Partnership",Pharming Group N.V.,1.0,2024-10-11,archive
NL0012866412,Canada Pension Plan Investment Board,BE Semiconductor Industries N.V.,0.71,2024-10-11,archive
NL0012817175,Citadel Advisors LLC,Alfen N.V.,1.15,2024-10-11,archive
NL0000009082,Marshall Wace LLP,Koninklijke KPN N.V.,0.98,2024-10-11,archive
NL0012817175,Millennium Capital Partners LLP,Alfen N.V.,1.37,2024-10-11,archive
NL0010391025,Millennium International Management LP,Pharming Group N.V.,2.01,2024-10-11,archive
NL0013332471,Otus Capital Management Ltd.,TomTom N.V.,0.82,2024-10-11,archive
NL0012817175,"PDT Partners, LLC",Alfen N.V.,1.94,2024-10-11,archive
NL0012817175,Qube Research & Technologies Ltd.,Alfen N.V.,1.84,2024-10-11,archive
