isin,position_holder,issuer_name,position_date,net_short_position,source
NL0015002MS2,GLG Partners LP,The Magnum Ice Cream Company N.V.,2026-03-25,0.6,current
CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-03-25,0.82,current
NL0015002MS2,Ilex Capital Partners (UK) LLP,The Magnum Ice Cream Company N.V.,2026-03-25,0.57,current
NL0011821392,Millennium Capital (DIFC) Limited,Signify N.V.,2026-03-25,0.81,current
NL0010801007,Squarepoint Ops LLC,IMCD N.V.,2026-03-25,0.6,current
NL0010801007,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,2026-03-24,0.56,current
NL0010391025,Lazard Asset Management LLC,Pharming Group N.V.,2026-03-24,1.14,current
NL0000379121,Marshall Wace LLP,Randstad N.V.,2026-03-24,0.91,current
NL0011821392,Marshall Wace LLP,Signify N.V.,2026-03-24,2.0,current
NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-03-24,1.6,current
NL0011821392,Millennium Capital (DIFC) Limited,Signify N.V.,2026-03-24,0.79,current
NL0010801007,"PDT Partners, LLC",IMCD N.V.,2026-03-24,0.9,current
JE00BRX98089,Qube Research & Technologies Ltd.,CVC Capital Partners plc,2026-03-24,0.81,current
NL0011821392,Qube Research & Technologies Ltd.,Signify N.V.,2026-03-24,0.89,current
NL0010801007,Squarepoint Ops LLC,IMCD N.V.,2026-03-24,0.59,current
LU2290522684,"Two Sigma Investments, LP",InPost S.A.,2026-03-24,1.44,current
CY0200751713,"Two Sigma Investments, LP",Theon International Plc,2026-03-24,0.6,current
NL0012817175,Voleon Capital Management LP,Alfen N.V.,2026-03-24,2.0,current
NL0015000GX8,Actus Ray Partners Limited,Envipco Holding N.V.,2026-03-23,0.62,current
NL0012969182,"AQR Capital Management, LLC",Adyen N.V.,2026-03-23,0.72,current
NL0012817175,"AQR Capital Management, LLC",Alfen N.V.,2026-03-23,0.64,current
NL0010801007,"Arrowstreet Capital, Limited Partnership",IMCD N.V.,2026-03-23,1.01,current
NL0011821392,"BlackRock Financial Management, Inc.",Signify N.V.,2026-03-23,0.6,current
NL0011821392,Citadel Advisors Europe Limited,Signify N.V.,2026-03-23,1.19,current
NL0011821392,Citadel Advisors LLC,Signify N.V.,2026-03-23,2.3,current
NL0012817175,"D. E. Shaw & Co., L.P.",Alfen N.V.,2026-03-23,1.18,current
NL0009739416,"D. E. Shaw & Co., L.P.",PostNL N.V.,2026-03-23,0.69,current
NL0015002MS2,GLG Partners LP,The Magnum Ice Cream Company N.V.,2026-03-23,0.51,current
NL0013267909,Kintbury Capital LLP,Akzo Nobel N.V.,2026-03-23,0.78,current
NL0009739416,Marshall Wace LLP,PostNL N.V.,2026-03-23,0.7,current
NL0013267909,Millennium International Management LP,Akzo Nobel N.V.,2026-03-23,0.69,current
CY0200751713,Qube Research & Technologies Ltd.,Theon International Plc,2026-03-23,1.01,current
NL0006237562,Squarepoint Ops LLC,ARCADIS N.V.,2026-03-23,1.05,current
NL0010801007,Squarepoint Ops LLC,IMCD N.V.,2026-03-23,0.6,current
LU2290522684,"Two Sigma Investments, LP",InPost S.A.,2026-03-23,1.36,current
NL0011821392,"BlackRock Financial Management, Inc.",Signify N.V.,2026-03-20,0.58,current
NL0012969182,Capital Fund Management S.A.,Adyen N.V.,2026-03-20,0.7,current
NL0012866412,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,2026-03-20,0.59,current
CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-03-20,0.75,current
NL0013267909,Kintbury Capital LLP,Akzo Nobel N.V.,2026-03-20,0.87,current
NL0000379121,Marshall Wace LLP,Randstad N.V.,2026-03-20,0.83,current
NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-03-20,1.52,current
NL0011821392,Millennium Capital (DIFC) Limited,Signify N.V.,2026-03-20,0.8,current
NL0011821392,Qube Research & Technologies Ltd.,Signify N.V.,2026-03-20,0.91,current
CY0200751713,Qube Research & Technologies Ltd.,Theon International Plc,2026-03-20,0.99,current
NL0010801007,Squarepoint Ops LLC,IMCD N.V.,2026-03-20,0.57,current
NL0010801007,"Two Sigma Investments, LP",IMCD N.V.,2026-03-20,0.81,current
LU2290522684,"Two Sigma Investments, LP",InPost S.A.,2026-03-20,1.26,current
NL0011821202,Viking Global Investors LP,ING Groep N.V.,2026-03-20,0.51,current
NL0013267909,AKO Capital LLP,Akzo Nobel N.V.,2026-03-19,1.31,current
NL0012817175,"AQR Capital Management, LLC",Alfen N.V.,2026-03-19,0.51,current
