position_holder,isin,issuer_name,position_date,net_short_position,source
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,2026-04-16,1.3,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-04-16,2.32,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,IMCD N.V.,2026-04-16,0.85,current
JPMorgan Asset Management (UK) Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-16,0.58,current
Lazard Asset Management LLC,NL0010391025,Pharming Group N.V.,2026-04-16,1.18,current
Marshall Wace LLP,NL0010801007,IMCD N.V.,2026-04-16,0.52,current
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2026-04-16,1.79,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-04-16,2.75,current
AKO Capital LLP,NL0013267909,Akzo Nobel N.V.,2026-04-15,1.41,current
Capital Fund Management S.A.,NL0012969182,Adyen N.V.,2026-04-15,0.68,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,2026-04-15,1.23,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,IMCD N.V.,2026-04-15,0.76,current
Lazard Asset Management LLC,NL0010391025,Pharming Group N.V.,2026-04-15,1.2,current
Marshall Wace LLP,NL0011821392,Signify N.V.,2026-04-15,1.82,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-15,1.15,current
Qube Research & Technologies Ltd.,CY0200751713,Theon International Plc,2026-04-15,1.16,current
Squarepoint Ops LLC,NL0006237562,ARCADIS N.V.,2026-04-15,0.88,current
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2026-04-15,1.89,current
"BlackRock Financial Management, Inc.",NL0010801007,IMCD N.V.,2026-04-14,0.97,current
Citadel Advisors LLC,NL0015002K83,Havas N.V.,2026-04-14,0.51,current
Fosse Capital Partners LLP,NL0011872650,Basic-Fit N.V.,2026-04-14,1.23,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,IMCD N.V.,2026-04-14,0.66,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-14,1.22,current
"PDT Partners, LLC",NL0009739416,PostNL N.V.,2026-04-14,0.5,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-04-14,2.84,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,2026-04-13,1.21,current
"AQR Capital Management, LLC",NL0006237562,ARCADIS N.V.,2026-04-13,1.01,current
"AQR Capital Management, LLC",JE00BRX98089,CVC Capital Partners plc,2026-04-13,0.71,current
Citadel Advisors LLC,NL0000817179,Sligro Food Group N.V.,2026-04-13,0.61,current
"PDT Partners, LLC",NL0010801007,IMCD N.V.,2026-04-13,0.89,current
Walleye Capital LLC,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-13,0.5,current
"AQR Capital Management, LLC",LU1598757687,ArcelorMittal S.A.,2026-04-10,0.58,current
"D. E. Shaw & Co., L.P.",NL0000395903,Wolters Kluwer N.V.,2026-04-10,0.8,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-10,1.38,current
"PDT Partners, LLC",NL0010801007,IMCD N.V.,2026-04-10,0.9,current
Qube Research & Technologies Ltd.,CY0200751713,Theon International Plc,2026-04-10,1.22,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,2026-04-09,1.13,current
"AQR Capital Management, LLC",NL0010801007,IMCD N.V.,2026-04-09,0.51,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-04-09,2.42,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,2026-04-09,1.0,current
Numeric Investors LLC,NL0012365084,NSI N.V.,2026-04-09,0.71,current
"PDT Partners, LLC",NL0010801007,IMCD N.V.,2026-04-09,0.89,current
"AQR Capital Management, LLC",NL0000852564,Aalberts N.V.,2026-04-08,0.61,current
"AQR Capital Management, LLC",NL0011821392,Signify N.V.,2026-04-08,1.22,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-04-08,2.39,current
Qube Research & Technologies Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-08,0.5,current
"Two Sigma Investments, LP",NL0010801007,IMCD N.V.,2026-04-08,0.79,current
"BlackRock Advisors, LLC",NL0010801007,IMCD N.V.,2026-04-07,0.66,current
"BlackRock Financial Management, Inc.",NL0010801007,IMCD N.V.,2026-04-07,1.0,current
Capital Fund Management S.A.,NL0010801007,IMCD N.V.,2026-04-07,0.76,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-04-07,2.41,current
"D. E. Shaw & Co., L.P.",NL0006237562,ARCADIS N.V.,2026-04-07,0.69,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-07,1.46,current
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2026-04-07,1.98,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-04-07,2.77,current
