position_holder,isin,issuer_name,position_date,net_short_position,source
Dalton Strategic Partnership LLP,NL0000337319,Koninklijke BAM Groep N.V.,2019-08-13,0.55,archive
HBK Investments LP,NL0000352565,Fugro N.V.,2019-08-13,1.46,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,2019-08-13,3.56,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-08-13,3.17,archive
"Philadelphia Financial Management of San Francisco, LLC",NL0011279492,Flow Traders Ltd.,2019-08-13,0.18,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2019-08-13,2.1,archive
Susquehanna International Holdings LLC,NL0000888691,AMG Critical Materials N.V.,2019-08-13,0.67,archive
B&G Master Fund Plc,NL0000352565,Fugro N.V.,2019-08-12,0.89,archive
"D. E. Shaw & Co., L.P.",NL0000888691,AMG Critical Materials N.V.,2019-08-12,0.6,archive
Marshall Wace LLP,NL0012866412,BE Semiconductor Industries N.V.,2019-08-12,1.7,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-08-12,3.24,archive
Marshall Wace LLP,NL0011821392,Signify N.V.,2019-08-12,0.6,archive
Marshall Wace LLP,NL0000289213,Wereldhave N.V.,2019-08-12,1.5,archive
"WorldQuant, LLC",NL0011279492,Flow Traders Ltd.,2019-08-12,0.61,archive
"WorldQuant, LLC",NL0000352565,Fugro N.V.,2019-08-12,0.81,archive
AHL Partners LLP,NL0009739416,PostNL N.V.,2019-08-09,1.76,archive
"AQR Capital Management, LLC",NL0009432491,Koninklijke Vopak N.V.,2019-08-09,1.6,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0000352565,Fugro N.V.,2019-08-09,0.8,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0010391025,Pharming Group N.V.,2019-08-09,0.58,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0009739416,PostNL N.V.,2019-08-09,0.98,archive
HBK Investments LP,NL0000352565,Fugro N.V.,2019-08-09,1.5,archive
Jupiter Investment Management Limited,NL0012866412,BE Semiconductor Industries N.V.,2019-08-09,1.38,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-08-09,3.31,archive
"WorldQuant, LLC",NL0000888691,AMG Critical Materials N.V.,2019-08-09,1.29,archive
"WorldQuant, LLC",NL0011279492,Flow Traders Ltd.,2019-08-09,0.58,archive
"WorldQuant, LLC",NL0000352565,Fugro N.V.,2019-08-09,0.74,archive
"Arrowstreet Capital, Limited Partnership",NL0000888691,AMG Critical Materials N.V.,2019-08-08,1.4,archive
Capital Fund Management S.A.,NL0009739416,PostNL N.V.,2019-08-08,1.48,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-08-08,3.4,archive
Susquehanna International Holdings LLC,NL0000888691,AMG Critical Materials N.V.,2019-08-08,0.71,archive
Systematica Investments Limited,NL0009739416,PostNL N.V.,2019-08-08,0.5,archive
Wellington Management Company LLP,NL0000289213,Wereldhave N.V.,2019-08-08,0.7,archive
"WorldQuant, LLC",NL0011279492,Flow Traders Ltd.,2019-08-08,0.6,archive
"WorldQuant, LLC",NL0000352565,Fugro N.V.,2019-08-08,0.63,archive
"BlackRock Institutional Trust Company, National Association",NL0000352565,Fugro N.V.,2019-08-07,0.97,archive
"D. E. Shaw & Co., L.P.",BE0003818359,Galapagos NV,2019-08-07,0.8,archive
"D. E. Shaw & Co., L.P.",NL0000289213,Wereldhave N.V.,2019-08-07,0.7,archive
HBK Investments LP,NL0000352565,Fugro N.V.,2019-08-07,1.46,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2019-08-07,0.77,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-08-07,3.55,archive
Marshall Wace LLP,NL0011821392,Signify N.V.,2019-08-07,0.59,archive
Marshall Wace LLP,NL0000289213,Wereldhave N.V.,2019-08-07,1.49,archive
Wellington Management Company LLP,NL0000289213,Wereldhave N.V.,2019-08-07,0.52,archive
"WorldQuant, LLC",NL0000888691,AMG Critical Materials N.V.,2019-08-07,1.36,archive
AHL Partners LLP,NL0009739416,PostNL N.V.,2019-08-06,1.88,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0010391025,Pharming Group N.V.,2019-08-06,0.69,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0009739416,PostNL N.V.,2019-08-06,1.09,archive
HBK Investments LP,NL0000352565,Fugro N.V.,2019-08-06,1.39,archive
Marshall Wace LLP,NL0012866412,BE Semiconductor Industries N.V.,2019-08-06,1.6,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,2019-08-06,3.41,archive
Millennium International Management LP,NL0000289213,Wereldhave N.V.,2019-08-06,1.0,archive
Numeric Investors LLC,FR0013326246,Unibail-Rodamco-Westfield SE,2019-08-06,0.55,archive
"PDT Partners, LLC",NL0000888691,AMG Critical Materials N.V.,2019-08-06,0.79,archive
Voleon Capital Management LP,NL0009739416,PostNL N.V.,2019-08-06,0.37,archive
"WorldQuant, LLC",NL0000888691,AMG Critical Materials N.V.,2019-08-06,1.18,archive
"WorldQuant, LLC",NL0009739416,PostNL N.V.,2019-08-06,0.44,archive
AHL Partners LLP,NL0009739416,PostNL N.V.,2019-08-05,1.99,archive
HBK Investments LP,NL0000352565,Fugro N.V.,2019-08-05,1.41,archive
Jupiter Investment Management Limited,NL0012866412,BE Semiconductor Industries N.V.,2019-08-05,1.46,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2019-08-05,0.85,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-08-05,3.68,archive
"Public Equity Partners Management, L.P.",NL0000888691,AMG Critical Materials N.V.,2019-08-05,2.27,archive
Renaissance Technologies LLC,LU0569974404,Aperam S.A.,2019-08-05,0.49,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2019-08-05,2.03,archive
"WorldQuant, LLC",NL0000888691,AMG Critical Materials N.V.,2019-08-05,1.07,archive
"WorldQuant, LLC",NL0011279492,Flow Traders Ltd.,2019-08-05,0.51,archive
AHL Partners LLP,NL0009739416,PostNL N.V.,2019-08-02,2.01,archive
"Arrowstreet Capital, Limited Partnership",NL0000888691,AMG Critical Materials N.V.,2019-08-02,1.3,archive
BlackRock Investment Management (UK) Limited,NL0011821392,Signify N.V.,2019-08-02,1.9,archive
"D. E. Shaw & Co., L.P.",NL0000888691,AMG Critical Materials N.V.,2019-08-02,0.5,archive
HBK Investments LP,NL0000352565,Fugro N.V.,2019-08-02,1.32,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2019-08-02,0.92,archive
Marshall Wace LLP,NL0011279492,Flow Traders Ltd.,2019-08-02,0.81,archive
Marshall Wace LLP,NL0011821392,Signify N.V.,2019-08-02,0.68,archive
Marshall Wace LLP,NL0000289213,Wereldhave N.V.,2019-08-02,1.57,archive
"Public Equity Partners Management, L.P.",NL0000888691,AMG Critical Materials N.V.,2019-08-02,2.42,archive
Renaissance Technologies LLC,LU0569974404,Aperam S.A.,2019-08-02,0.5,archive
Scopia Capital Management LP,NL0012866412,BE Semiconductor Industries N.V.,2019-08-02,3.51,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2019-08-02,1.94,archive
Susquehanna International Holdings LLC,NL0000888691,AMG Critical Materials N.V.,2019-08-02,0.85,archive
"WorldQuant, LLC",NL0000888691,AMG Critical Materials N.V.,2019-08-02,0.85,archive
"Arrowstreet Capital, Limited Partnership",NL0000888691,AMG Critical Materials N.V.,2019-08-01,1.21,archive
"BlackRock Institutional Trust Company, National Association",NL0000352565,Fugro N.V.,2019-08-01,1.06,archive
"Bloom Tree Partners, LLC",NL0000289213,Wereldhave N.V.,2019-08-01,0.57,archive
Capital Fund Management S.A.,NL0009739416,PostNL N.V.,2019-08-01,1.59,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0000352565,Fugro N.V.,2019-08-01,0.76,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0010391025,Pharming Group N.V.,2019-08-01,0.77,archive
Jupiter Investment Management Limited,NL0000888691,AMG Critical Materials N.V.,2019-08-01,2.29,archive
Lancaster Investment Management LLP,NL0000337319,Koninklijke BAM Groep N.V.,2019-08-01,0.81,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2019-08-01,1.07,archive
Marshall Wace LLP,NL0006237562,ARCADIS N.V.,2019-08-01,2.6,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,2019-08-01,3.37,archive
Marshall Wace LLP,NL0011821392,Signify N.V.,2019-08-01,0.72,archive
Marshall Wace LLP,NL0000289213,Wereldhave N.V.,2019-08-01,1.6,archive
"Public Equity Partners Management, L.P.",NL0000888691,AMG Critical Materials N.V.,2019-08-01,2.68,archive
Renaissance Technologies LLC,LU0569974404,Aperam S.A.,2019-08-01,0.49,archive
Scopia Capital Management LP,NL0012866412,BE Semiconductor Industries N.V.,2019-08-01,3.44,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2019-08-01,1.89,archive
Susquehanna International Holdings LLC,NL0000888691,AMG Critical Materials N.V.,2019-08-01,0.97,archive
Tybourne Capital Management (HK) Limited,NL0011821392,Signify N.V.,2019-08-01,2.26,archive
"WorldQuant, LLC",NL0009739416,PostNL N.V.,2019-08-01,0.79,archive
Citadel Europe LLP,NL0012866412,BE Semiconductor Industries N.V.,2019-07-31,0.53,archive
GSA Capital Partners LLP,NL0000352565,Fugro N.V.,2019-07-31,0.31,archive
HBK Investments LP,NL0000352565,Fugro N.V.,2019-07-31,1.25,archive
Marshall Wace LLP,NL0012866412,BE Semiconductor Industries N.V.,2019-07-31,1.54,archive
Marshall Wace LLP,NL0011279492,Flow Traders Ltd.,2019-07-31,0.78,archive
Marshall Wace LLP,NL0011821392,Signify N.V.,2019-07-31,0.81,archive
"Philadelphia Financial Management of San Francisco, LLC",NL0011279492,Flow Traders Ltd.,2019-07-31,0.52,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2019-07-31,1.92,archive
"Woodson Capital Master Fund, LP",NL0000289213,Wereldhave N.V.,2019-07-31,2.05,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0010391025,Pharming Group N.V.,2019-07-30,0.86,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0000289213,Wereldhave N.V.,2019-07-30,1.2,archive
Dalton Strategic Partnership LLP,NL0000337319,Koninklijke BAM Groep N.V.,2019-07-30,0.61,archive
GSA Capital Partners LLP,NL0000352565,Fugro N.V.,2019-07-30,0.57,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-07-30,3.87,archive
Marshall Wace LLP,NL0000289213,Wereldhave N.V.,2019-07-30,1.58,archive
Millennium International Management LP,NL0011821392,Signify N.V.,2019-07-30,0.81,archive
Numeric Investors LLC,FR0013326246,Unibail-Rodamco-Westfield SE,2019-07-30,0.49,archive
Renaissance Technologies LLC,LU0569974404,Aperam S.A.,2019-07-30,0.5,archive
Voleon Capital Management LP,NL0009739416,PostNL N.V.,2019-07-30,0.5,archive
"Woodson Capital Master Fund, LP",NL0000289213,Wereldhave N.V.,2019-07-30,1.94,archive
Clearance Capital Limited,NL0000288876,Eurocommercial Properties N.V.,2019-07-29,0.7,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0010391025,Pharming Group N.V.,2019-07-29,0.92,archive
ENA Investment Capital LLP,NL0011821392,Signify N.V.,2019-07-29,0.72,archive
HBK Investments LP,NL0000352565,Fugro N.V.,2019-07-29,1.64,archive
"Lucerne Capital Management, L.P.",NL0000289213,Wereldhave N.V.,2019-07-29,0.53,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2019-07-29,1.11,archive
Marshall Wace LLP,NL0012866412,BE Semiconductor Industries N.V.,2019-07-29,1.44,archive
Marshall Wace LLP,NL0011821392,Signify N.V.,2019-07-29,0.93,archive
Millennium International Management LP,NL0011821392,Signify N.V.,2019-07-29,0.91,archive
"PDT Partners, LLC",NL0011279492,Flow Traders Ltd.,2019-07-29,0.49,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2019-07-29,2.0,archive
"WorldQuant, LLC",NL0000888691,AMG Critical Materials N.V.,2019-07-29,0.78,archive
"WorldQuant, LLC",NL0012866412,BE Semiconductor Industries N.V.,2019-07-29,0.48,archive
Adelphi Capital LLP,NL0000289213,Wereldhave N.V.,2019-07-26,1.63,archive
BlackRock Investment Management (UK) Limited,NL0011821392,Signify N.V.,2019-07-26,1.8,archive
Clearance Capital Limited,NL0000288876,Eurocommercial Properties N.V.,2019-07-26,0.62,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,2019-07-26,3.51,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-07-26,3.96,archive
Marshall Wace LLP,NL0013332471,TomTom N.V.,2019-07-26,0.58,archive
Marshall Wace LLP,NL0000289213,Wereldhave N.V.,2019-07-26,1.6,archive
Millennium Capital Partners LLP,NL0011821392,Signify N.V.,2019-07-26,0.49,archive
Millennium International Management LP,NL0011821392,Signify N.V.,2019-07-26,1.0,archive
Millennium International Management LP,NL0000289213,Wereldhave N.V.,2019-07-26,0.94,archive
"Philadelphia Financial Management of San Francisco, LLC",NL0011279492,Flow Traders Ltd.,2019-07-26,0.64,archive
"WorldQuant, LLC",NL0000888691,AMG Critical Materials N.V.,2019-07-26,0.92,archive
BlackRock Investment Management (UK) Limited,NL0012866412,BE Semiconductor Industries N.V.,2019-07-25,0.0,archive
Bodenholm Capital AB,NL0006237562,ARCADIS N.V.,2019-07-25,0.81,archive
"Davidson Kempner European Partners, LLP",NL0012866412,BE Semiconductor Industries N.V.,2019-07-25,1.26,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2019-07-25,1.02,archive
Marshall Wace LLP,NL0012866412,BE Semiconductor Industries N.V.,2019-07-25,1.39,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-07-25,4.01,archive
Marshall Wace LLP,NL0000289213,Wereldhave N.V.,2019-07-25,1.59,archive
Millennium Capital Partners LLP,NL0011821392,Signify N.V.,2019-07-25,0.64,archive
Polar Capital LLP,NL0006237562,ARCADIS N.V.,2019-07-25,0.32,archive
"WorldQuant, LLC",NL0000352565,Fugro N.V.,2019-07-25,0.59,archive
"AQR Capital Management, LLC",NL0010558797,OCI N.V.,2019-07-24,1.2,archive
"Arrowstreet Capital, Limited Partnership",NL0000888691,AMG Critical Materials N.V.,2019-07-24,1.11,archive
Capital Fund Management S.A.,NL0000289213,Wereldhave N.V.,2019-07-24,0.5,archive
"D. E. Shaw & Co., L.P.",BE0003818359,Galapagos NV,2019-07-24,0.7,archive
Dalton Strategic Partnership LLP,NL0000337319,Koninklijke BAM Groep N.V.,2019-07-24,0.57,archive
"Davidson Kempner European Partners, LLP",NL0012866412,BE Semiconductor Industries N.V.,2019-07-24,1.18,archive
ENA Investment Capital LLP,NL0011821392,Signify N.V.,2019-07-24,1.0,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2019-07-24,0.91,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-07-24,4.12,archive
Marshall Wace LLP,NL0013332471,TomTom N.V.,2019-07-24,0.61,archive
"PDT Partners, LLC",NL0000888691,AMG Critical Materials N.V.,2019-07-24,0.81,archive
"PDT Partners, LLC",NL0011279492,Flow Traders Ltd.,2019-07-24,0.5,archive
"Philadelphia Financial Management of San Francisco, LLC",NL0011279492,Flow Traders Ltd.,2019-07-24,0.77,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2019-07-24,1.99,archive
"WorldQuant, LLC",NL0009739416,PostNL N.V.,2019-07-24,0.85,archive
"AQR Capital Management, LLC",BE0003818359,Galapagos NV,2019-07-23,1.84,archive
B&G Master Fund Plc,NL0000352565,Fugro N.V.,2019-07-23,0.91,archive
"BlackRock Institutional Trust Company, National Association",NL0000352565,Fugro N.V.,2019-07-23,1.17,archive
Bodenholm Capital AB,NL0006237562,ARCADIS N.V.,2019-07-23,0.53,archive
HBK Investments LP,NL0000352565,Fugro N.V.,2019-07-23,1.57,archive
Jupiter Investment Management Limited,NL0000888691,AMG Critical Materials N.V.,2019-07-23,2.38,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2019-07-23,0.76,archive
Marshall Wace LLP,NL0012866412,BE Semiconductor Industries N.V.,2019-07-23,1.47,archive
Marshall Wace LLP,NL0000337319,Koninklijke BAM Groep N.V.,2019-07-23,1.09,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-07-23,4.2,archive
Millennium International Management LP,NL0000289213,Wereldhave N.V.,2019-07-23,1.0,archive
Systematica Investments Limited,NL0000352565,Fugro N.V.,2019-07-23,0.7,archive
"WorldQuant, LLC",NL0012866412,BE Semiconductor Industries N.V.,2019-07-23,0.57,archive
"D. E. Shaw & Co., L.P.",BE0003818359,Galapagos NV,2019-07-22,0.6,archive
Marshall Wace LLP,NL0011794037,Koninklijke Ahold Delhaize N.V.,2019-07-22,0.58,archive
Marshall Wace LLP,NL0013332471,TomTom N.V.,2019-07-22,0.59,archive
Millennium International Management LP,NL0000888691,AMG Critical Materials N.V.,2019-07-22,0.38,archive
"PDT Partners, LLC",NL0009739416,PostNL N.V.,2019-07-22,0.69,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2019-07-22,2.01,archive
"Woodson Capital Master Fund, LP",NL0000289213,Wereldhave N.V.,2019-07-22,1.83,archive
"WorldQuant, LLC",NL0000352565,Fugro N.V.,2019-07-22,0.68,archive
"Arrowstreet Capital, Limited Partnership",NL0000888691,AMG Critical Materials N.V.,2019-07-19,1.04,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0009739416,PostNL N.V.,2019-07-19,1.11,archive
ENA Investment Capital LLP,NL0011821392,Signify N.V.,2019-07-19,1.21,archive
Marshall Wace LLP,NL0012866412,BE Semiconductor Industries N.V.,2019-07-19,1.55,archive
Marshall Wace LLP,NL0011279492,Flow Traders Ltd.,2019-07-19,0.89,archive
Marshall Wace LLP,BE0003818359,Galapagos NV,2019-07-19,0.56,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-07-19,4.37,archive
Marshall Wace LLP,NL0013332471,TomTom N.V.,2019-07-19,0.6,archive
Millennium Capital Partners LLP,NL0011821392,Signify N.V.,2019-07-19,0.7,archive
Millennium International Management LP,NL0000888691,AMG Critical Materials N.V.,2019-07-19,0.5,archive
Millennium International Management LP,NL0011821392,Signify N.V.,2019-07-19,1.13,archive
"PDT Partners, LLC",NL0009739416,PostNL N.V.,2019-07-19,0.7,archive
Systematica Investments Limited,NL0009739416,PostNL N.V.,2019-07-19,0.48,archive
"WorldQuant, LLC",NL0000888691,AMG Critical Materials N.V.,2019-07-19,1.0,archive
HBK Investments LP,NL0000352565,Fugro N.V.,2019-07-18,1.63,archive
Lancaster Investment Management LLP,NL0000337319,Koninklijke BAM Groep N.V.,2019-07-18,0.75,archive
Marshall Wace LLP,NL0011279492,Flow Traders Ltd.,2019-07-18,0.91,archive
Marshall Wace LLP,NL0013332471,TomTom N.V.,2019-07-18,0.59,archive
Marshall Wace LLP,NL0000289213,Wereldhave N.V.,2019-07-18,1.68,archive
Millennium International Management LP,NL0000888691,AMG Critical Materials N.V.,2019-07-18,0.62,archive
Voleon Capital Management LP,NL0009269109,Koninklijke Heijmans N.V.,2019-07-18,0.49,archive
"Arrowstreet Capital, Limited Partnership",NL0000888691,AMG Critical Materials N.V.,2019-07-17,0.94,archive
B&G Master Fund Plc,NL0000352565,Fugro N.V.,2019-07-17,0.8,archive
Canada Pension Plan Investment Board,NL0009739416,PostNL N.V.,2019-07-17,0.9,archive
HBK Investments LP,NL0000352565,Fugro N.V.,2019-07-17,1.59,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,2019-07-17,3.4,archive
Marshall Wace LLP,BE0003818359,Galapagos NV,2019-07-17,0.69,archive
Marshall Wace LLP,NL0011794037,Koninklijke Ahold Delhaize N.V.,2019-07-17,0.66,archive
Marshall Wace LLP,NL0000337319,Koninklijke BAM Groep N.V.,2019-07-17,1.11,archive
Millennium International Management LP,NL0000888691,AMG Critical Materials N.V.,2019-07-17,0.78,archive
Systematica Investments Limited,NL0009739416,PostNL N.V.,2019-07-17,0.56,archive
"WorldQuant, LLC",NL0000352565,Fugro N.V.,2019-07-17,0.75,archive
BlackRock Investment Management (UK) Limited,NL0011821392,Signify N.V.,2019-07-16,1.7,archive
Marshall Wace LLP,NL0012866412,BE Semiconductor Industries N.V.,2019-07-16,1.68,archive
Marshall Wace LLP,NL0011279492,Flow Traders Ltd.,2019-07-16,0.83,archive
Marshall Wace LLP,NL0011794037,Koninklijke Ahold Delhaize N.V.,2019-07-16,0.59,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-07-16,4.49,archive
Marshall Wace LLP,NL0013332471,TomTom N.V.,2019-07-16,0.6,archive
Millennium International Management LP,NL0000888691,AMG Critical Materials N.V.,2019-07-16,0.86,archive
"PDT Partners, LLC",NL0000888691,AMG Critical Materials N.V.,2019-07-16,0.79,archive
B&G Master Fund Plc,NL0000352565,Fugro N.V.,2019-07-15,0.73,archive
Canada Pension Plan Investment Board,NL0009739416,PostNL N.V.,2019-07-15,0.82,archive
HBK Investments LP,NL0000352565,Fugro N.V.,2019-07-15,1.6,archive
Lancaster Investment Management LLP,NL0000337319,Koninklijke BAM Groep N.V.,2019-07-15,0.91,archive
Marshall Wace LLP,BE0003818359,Galapagos NV,2019-07-15,0.71,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-07-15,4.58,archive
Millennium International Management LP,NL0000289213,Wereldhave N.V.,2019-07-15,0.99,archive
"WorldQuant, LLC",NL0000888691,AMG Critical Materials N.V.,2019-07-15,0.91,archive
B&G Master Fund Plc,NL0000352565,Fugro N.V.,2019-07-12,0.69,archive
Marshall Wace LLP,NL0011279492,Flow Traders Ltd.,2019-07-12,0.72,archive
Marshall Wace LLP,NL0000337319,Koninklijke BAM Groep N.V.,2019-07-12,1.07,archive
Millennium International Management LP,NL0000888691,AMG Critical Materials N.V.,2019-07-12,0.98,archive
"WorldQuant, LLC",NL0000352565,Fugro N.V.,2019-07-12,0.87,archive
"WorldQuant, LLC",NL0009739416,PostNL N.V.,2019-07-12,0.9,archive
BlackRock Investment Management (UK) Limited,NL0012866412,BE Semiconductor Industries N.V.,2019-07-11,0.84,archive
Citadel Europe LLP,NL0000352565,Fugro N.V.,2019-07-11,0.76,archive
HBK Investments LP,NL0000352565,Fugro N.V.,2019-07-11,1.52,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2019-07-11,0.61,archive
Marshall Wace LLP,NL0012866412,BE Semiconductor Industries N.V.,2019-07-11,1.79,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,2019-07-11,3.38,archive
Millennium Capital Partners LLP,NL0000888691,AMG Critical Materials N.V.,2019-07-11,0.44,archive
Millennium International Management LP,NL0000888691,AMG Critical Materials N.V.,2019-07-11,1.04,archive
"PDT Partners, LLC",NL0000888691,AMG Critical Materials N.V.,2019-07-11,0.83,archive
"Philadelphia Financial Management of San Francisco, LLC",NL0011279492,Flow Traders Ltd.,2019-07-11,0.9,archive
"WorldQuant, LLC",NL0012866412,BE Semiconductor Industries N.V.,2019-07-11,0.69,archive
"AQR Capital Management, LLC",NL0000360618,SBM Offshore N.V.,2019-07-10,1.72,archive
"BlackRock Institutional Trust Company, National Association",NL0009739416,PostNL N.V.,2019-07-10,0.48,archive
BlackRock Investment Management (UK) Limited,NL0012866412,BE Semiconductor Industries N.V.,2019-07-10,0.66,archive
Marshall Wace LLP,NL0012866412,BE Semiconductor Industries N.V.,2019-07-10,1.81,archive
Marshall Wace LLP,NL0011279492,Flow Traders Ltd.,2019-07-10,0.69,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,2019-07-10,3.43,archive
Marshall Wace LLP,NL0000337319,Koninklijke BAM Groep N.V.,2019-07-10,1.14,archive
Marshall Wace LLP,NL0000289213,Wereldhave N.V.,2019-07-10,1.79,archive
Millennium International Management LP,NL0011821392,Signify N.V.,2019-07-10,1.0,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0000888691,AMG Critical Materials N.V.,2019-07-09,1.49,archive
CQS (UK) LLP,NL0012866412,BE Semiconductor Industries N.V.,2019-07-09,0.49,archive
HBK Investments LP,NL0000352565,Fugro N.V.,2019-07-09,1.79,archive
HBK Investments LP,NL0000337319,Koninklijke BAM Groep N.V.,2019-07-09,0.49,archive
Marshall Wace LLP,NL0011279492,Flow Traders Ltd.,2019-07-09,0.57,archive
Marshall Wace LLP,NL0000337319,Koninklijke BAM Groep N.V.,2019-07-09,1.21,archive
Marshall Wace LLP,NL0013332471,TomTom N.V.,2019-07-09,0.51,archive
Millennium Capital Partners LLP,NL0000888691,AMG Critical Materials N.V.,2019-07-09,0.55,archive
Millennium International Management LP,NL0000888691,AMG Critical Materials N.V.,2019-07-09,1.17,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2019-07-09,1.91,archive
"WorldQuant, LLC",NL0000352565,Fugro N.V.,2019-07-09,0.94,archive
B&G Master Fund Plc,NL0000352565,Fugro N.V.,2019-07-08,0.7,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0000289213,Wereldhave N.V.,2019-07-08,1.11,archive
"Davidson Kempner European Partners, LLP",NL0000337319,Koninklijke BAM Groep N.V.,2019-07-08,0.44,archive
HBK Investments LP,NL0000337319,Koninklijke BAM Groep N.V.,2019-07-08,0.5,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2019-07-08,0.53,archive
Marshall Wace LLP,NL0000337319,Koninklijke BAM Groep N.V.,2019-07-08,1.16,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-07-08,4.67,archive
Marshall Wace LLP,NL0013332471,TomTom N.V.,2019-07-08,0.49,archive
"WorldQuant, LLC",NL0000352565,Fugro N.V.,2019-07-08,0.89,archive
"WorldQuant, LLC",NL0009739416,PostNL N.V.,2019-07-08,0.82,archive
AXA Investment Managers Chorus Limited,NL0009739416,PostNL N.V.,2019-07-05,0.45,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0000289213,Wereldhave N.V.,2019-07-05,1.08,archive
Marshall Wace LLP,NL0009739416,PostNL N.V.,2019-07-05,4.7,archive
AHL Partners LLP,NL0009739416,PostNL N.V.,2019-07-04,1.96,archive
B&G Master Fund Plc,NL0000352565,Fugro N.V.,2019-07-04,0.68,archive
Citadel Advisors LLC,BE0003818359,Galapagos NV,2019-07-04,0.49,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0009739416,PostNL N.V.,2019-07-04,1.02,archive
Lansdowne Partners (UK) LLP,NL0011821392,Signify N.V.,2019-07-04,0.47,archive
Marshall Wace LLP,NL0012866412,BE Semiconductor Industries N.V.,2019-07-04,1.79,archive
Millennium Capital Partners LLP,NL0011821392,Signify N.V.,2019-07-04,0.62,archive
Millennium International Management LP,NL0011821392,Signify N.V.,2019-07-04,0.91,archive
Voleon Capital Management LP,NL0009739416,PostNL N.V.,2019-07-04,0.49,archive
"WorldQuant, LLC",NL0000352565,Fugro N.V.,2019-07-04,0.95,archive
AHL Partners LLP,NL0000888691,AMG Critical Materials N.V.,2019-07-03,1.78,archive
AXA Investment Managers Chorus Limited,NL0009739416,PostNL N.V.,2019-07-03,0.56,archive
B&G Master Fund Plc,NL0000352565,Fugro N.V.,2019-07-03,0.7,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0012866412,BE Semiconductor Industries N.V.,2019-07-03,0.49,archive
"D. E. Shaw & Co., L.P.",NL0000289213,Wereldhave N.V.,2019-07-03,0.68,archive
