position_date,isin,position_holder,issuer_name,net_short_position,source
2026-06-29,NL0011821392,Marshall Wace LLP,Signify N.V.,1.58,current
2026-06-29,NL0015073TS8,Qube Research & Technologies Ltd.,CSG N.V.,0.7,current
2026-06-29,NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.92,current
2026-06-26,NL0010801007,Capital Fund Management S.A.,IMCD N.V.,0.99,current
2026-06-26,NL0000289213,Citadel Advisors LLC,Wereldhave N.V.,1.09,current
2026-06-26,CH1216478797,Marshall Wace LLP,DSM-Firmenich AG,0.99,current
2026-06-26,NL0010391025,Walleye Capital LLC,Pharming Group N.V.,1.09,current
2026-06-25,JE00BRX98089,"AQR Capital Management, LLC",CVC Capital Partners plc,0.59,current
2026-06-25,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.33,current
2026-06-25,NL0011821392,"Farallon Capital Management, L.L.C.",Signify N.V.,1.2,current
2026-06-25,CH1216478797,Marshall Wace LLP,DSM-Firmenich AG,1.0,current
2026-06-25,NL0011821392,Marshall Wace LLP,Signify N.V.,1.65,current
2026-06-25,NL0012817175,Millennium International Management LP,Alfen N.V.,0.56,current
2026-06-25,NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.88,current
2026-06-24,NL0000817179,Citadel Advisors LLC,Sligro Food Group N.V.,0.79,current
2026-06-24,NL0015002IE0,Citadel Securities (Europe) Limited,Avantium N.V.,0.51,current
2026-06-24,NL0011821392,"Farallon Capital Management, L.L.C.",Signify N.V.,1.17,current
2026-06-24,NL0013267909,Millennium International Management LP,Akzo Nobel N.V.,0.6,current
2026-06-24,NL0011821392,Squarepoint Ops LLC,Signify N.V.,0.81,current
2026-06-24,NL0009739416,Winton Capital Management Limited,PostNL N.V.,0.6,current
2026-06-23,NL0012969182,Capital Fund Management S.A.,Adyen N.V.,0.81,current
2026-06-23,NL0011872650,Eleva Capital SAS,Basic-Fit N.V.,0.93,current
2026-06-23,NL0011821392,"Farallon Capital Management, L.L.C.",Signify N.V.,1.04,current
2026-06-23,NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,1.01,current
2026-06-23,NL0011872650,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.77,current
2026-06-23,NL0011821392,Squarepoint Ops LLC,Signify N.V.,0.79,current
2026-06-22,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.27,current
2026-06-22,NL0000289213,Citadel Advisors LLC,Wereldhave N.V.,1.1,current
2026-06-22,NL0010801007,"PDT Partners, LLC",IMCD N.V.,0.8,current
2026-06-22,NL0009739416,"PDT Partners, LLC",PostNL N.V.,0.61,current
2026-06-22,NL0011821392,"PDT Partners, LLC",Signify N.V.,1.3,current
2026-06-22,NL0015073TS8,Qube Research & Technologies Ltd.,CSG N.V.,0.6,current
2026-06-22,NL0011872650,SQUARE CIRCLE IA LP,Basic-Fit N.V.,0.61,current
2026-06-22,NL0010391025,"Two Sigma Investments, LP",Pharming Group N.V.,1.1,current
2026-06-22,NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.74,current
2026-06-19,NL0010801007,Capital Fund Management S.A.,IMCD N.V.,1.0,current
2026-06-19,NL0010391025,Capstone Volatility Master (Cayman) Limited,Pharming Group N.V.,0.83,current
2026-06-19,CH1216478797,Citadel Advisors LLC,DSM-Firmenich AG,0.96,current
2026-06-19,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.3,current
2026-06-19,NL0011872650,"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.79,current
2026-06-19,CH1216478797,Marshall Wace LLP,DSM-Firmenich AG,0.91,current
2026-06-19,NL00150003E1,"Point72 Asset Management, L.P.",Fugro N.V.,0.56,current
2026-06-19,NL0015002MS2,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.79,current
2026-06-19,NL0010391025,Spark Investment Management LLC,Pharming Group N.V.,0.52,current
2026-06-19,NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.68,current
2026-06-18,NL0012969182,Capital Fund Management S.A.,Adyen N.V.,0.71,current
2026-06-18,NL0011821392,"Farallon Capital Management, L.L.C.",Signify N.V.,0.85,current
2026-06-18,NL0009739416,Marshall Wace LLP,PostNL N.V.,0.8,current
2026-06-18,NL0012817175,Millennium International Management LP,Alfen N.V.,0.62,current
2026-06-18,NL0010801007,"PDT Partners, LLC",IMCD N.V.,0.79,current
2026-06-18,NL0011872650,SQUARE CIRCLE IA LP,Basic-Fit N.V.,0.54,current
2026-06-18,NL0012817175,"WorldQuant, LLC",Alfen N.V.,0.71,current
2026-06-17,NL0012969182,"AQR Capital Management, LLC",Adyen N.V.,0.89,current
2026-06-17,NL0010801007,"Arrowstreet Capital, Limited Partnership",IMCD N.V.,1.29,current
