issuer_name,isin,position_holder,net_short_position,position_date,source
IMCD N.V.,NL0010801007,"BlackRock Advisors, LLC",0.66,2026-04-07,current
IMCD N.V.,NL0010801007,"BlackRock Financial Management, Inc.",1.0,2026-04-07,current
IMCD N.V.,NL0010801007,Capital Fund Management S.A.,0.76,2026-04-07,current
Signify N.V.,NL0011821392,Citadel Advisors Europe Limited,1.21,2026-04-07,current
PostNL N.V.,NL0009739416,Citadel Advisors LLC,0.58,2026-04-07,current
Signify N.V.,NL0011821392,Citadel Advisors LLC,2.41,2026-04-07,current
ARCADIS N.V.,NL0006237562,"D. E. Shaw & Co., L.P.",0.69,2026-04-07,current
Koninklijke KPN N.V.,NL0000009082,Marshall Wace LLP,0.68,2026-04-07,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,1.46,2026-04-07,current
Alfen N.V.,NL0012817175,Voleon Capital Management LP,1.98,2026-04-07,current
Alfen N.V.,NL0012817175,"WorldQuant, LLC",2.77,2026-04-07,current
Adyen N.V.,NL0012969182,"AQR Capital Management, LLC",1.0,2026-04-02,current
CVC Capital Partners plc,JE00BRX98089,"AQR Capital Management, LLC",0.61,2026-04-02,current
IMCD N.V.,NL0010801007,"BlackRock Financial Management, Inc.",0.99,2026-04-02,current
Sligro Food Group N.V.,NL0000817179,Citadel Advisors LLC,0.5,2026-04-02,current
ARCADIS N.V.,NL0006237562,"D. E. Shaw & Co., L.P.",0.7,2026-04-02,current
Basic-Fit N.V.,NL0011872650,Eleva Capital SAS,0.62,2026-04-02,current
Randstad N.V.,NL0000379121,Marshall Wace LLP,0.78,2026-04-02,current
ArcelorMittal S.A.,LU1598757687,"AQR Capital Management, LLC",0.61,2026-04-01,current
Signify N.V.,NL0011821392,"AQR Capital Management, LLC",1.1,2026-04-01,current
IMCD N.V.,NL0010801007,"Arrowstreet Capital, Limited Partnership",1.21,2026-04-01,current
Signify N.V.,NL0011821392,Canada Pension Plan Investment Board,0.74,2026-04-01,current
Signify N.V.,NL0011821392,Citadel Advisors LLC,2.36,2026-04-01,current
ARCADIS N.V.,NL0006237562,"D. E. Shaw & Co., L.P.",0.69,2026-04-01,current
Basic-Fit N.V.,NL0011872650,Eleva Capital SAS,0.5,2026-04-01,current
Signify N.V.,NL0011821392,Marshall Wace LLP,1.79,2026-04-01,current
Akzo Nobel N.V.,NL0013267909,"O'Connor Alternative Investments, LLC",1.3,2026-04-01,current
Alfen N.V.,NL0012817175,"WorldQuant, LLC",2.86,2026-04-01,current
IMCD N.V.,NL0010801007,Capital Fund Management S.A.,0.62,2026-03-31,current
Signify N.V.,NL0011821392,Citadel Advisors LLC,2.4,2026-03-31,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.09,2026-03-31,current
Signify N.V.,NL0011821392,Eleva Capital SAS,1.21,2026-03-31,current
CVC Capital Partners plc,JE00BRX98089,Qube Research & Technologies Ltd.,0.9,2026-03-31,current
ING Groep N.V.,NL0011821202,Viking Global Investors LP,0.58,2026-03-31,current
Adyen N.V.,NL0012969182,"AQR Capital Management, LLC",0.9,2026-03-30,current
IMCD N.V.,NL0010801007,"D. E. Shaw & Co., L.P.",0.6,2026-03-30,current
