issuer_name,isin,position_holder,net_short_position,position_date,source
Galapagos NV,BE0003818359,"AQR Capital Management, LLC",1.89,2019-09-20,archive
Koninklijke Vopak N.V.,NL0009432491,"AQR Capital Management, LLC",1.69,2019-09-20,archive
Fugro N.V.,NL0000352565,"BlackRock Institutional Trust Company, National Association",0.54,2019-09-20,archive
BE Semiconductor Industries N.V.,NL0012866412,Citadel Europe LLP,0.7,2019-09-20,archive
ARCADIS N.V.,NL0006237562,Marshall Wace LLP,2.39,2019-09-20,archive
BE Semiconductor Industries N.V.,NL0012866412,Marshall Wace LLP,0.88,2019-09-20,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,2.42,2019-09-20,archive
Koninklijke BAM Groep N.V.,NL0000337319,Marshall Wace LLP,2.01,2019-09-20,archive
Signify N.V.,NL0011821392,Marshall Wace LLP,0.24,2019-09-20,archive
Signify N.V.,NL0011821392,Millennium Capital Partners LLP,0.39,2019-09-20,archive
Signify N.V.,NL0011821392,Millennium International Management LP,0.5,2019-09-20,archive
Unibail-Rodamco-Westfield SE,FR0013326246,Millennium International Management LP,0.0,2019-09-20,archive
Pharming Group N.V.,NL0010391025,"PDT Partners, LLC",0.5,2019-09-20,archive
Signify N.V.,NL0011821392,Tybourne Capital Management (HK) Limited,1.65,2019-09-20,archive
AMG Critical Materials N.V.,NL0000888691,"WorldQuant, LLC",0.96,2019-09-20,archive
Koninklijke Vopak N.V.,NL0009432491,"AQR Capital Management, LLC",1.7,2019-09-19,archive
SBM Offshore N.V.,NL0000360618,"AQR Capital Management, LLC",2.33,2019-09-19,archive
ARCADIS N.V.,NL0006237562,Bodenholm Capital AB,0.05,2019-09-19,archive
BE Semiconductor Industries N.V.,NL0012866412,Jupiter Investment Management Limited,0.89,2019-09-19,archive
ARCADIS N.V.,NL0006237562,Marshall Wace LLP,2.4,2019-09-19,archive
Signify N.V.,NL0011821392,Millennium Capital Partners LLP,0.71,2019-09-19,archive
AMG Critical Materials N.V.,NL0000888691,"WorldQuant, LLC",1.0,2019-09-19,archive
Koninklijke Heijmans N.V.,NL0009269109,"WorldQuant, LLC",0.49,2019-09-19,archive
Galapagos NV,BE0003818359,"AQR Capital Management, LLC",1.9,2019-09-18,archive
Koninklijke Vopak N.V.,NL0009432491,"AQR Capital Management, LLC",1.69,2019-09-18,archive
AMG Critical Materials N.V.,NL0000888691,"Arrowstreet Capital, Limited Partnership",1.48,2019-09-18,archive
ARCADIS N.V.,NL0006237562,Bodenholm Capital AB,0.58,2019-09-18,archive
Koninklijke BAM Groep N.V.,NL0000337319,Citadel Advisors II LLC,0.58,2019-09-18,archive
Fugro N.V.,NL0000352565,HBK Investments LP,1.31,2019-09-18,archive
Aperam S.A.,LU0569974404,Marshall Wace LLP,0.6,2019-09-18,archive
BE Semiconductor Industries N.V.,NL0012866412,Marshall Wace LLP,0.96,2019-09-18,archive
Signify N.V.,NL0011821392,Marshall Wace LLP,0.58,2019-09-18,archive
Wereldhave N.V.,NL0000289213,Millennium International Management LP,0.69,2019-09-18,archive
Fugro N.V.,NL0000352565,Systematica Investments Limited,0.79,2019-09-18,archive
PostNL N.V.,NL0009739416,Voleon Capital Management LP,0.5,2019-09-18,archive
ARCADIS N.V.,NL0006237562,Bodenholm Capital AB,0.79,2019-09-17,archive
Fugro N.V.,NL0000352565,Citadel Europe LLP,0.69,2019-09-17,archive
Fugro N.V.,NL0000352565,"Connor, Clark & Lunn Investment Management Ltd.",0.69,2019-09-17,archive
AMG Critical Materials N.V.,NL0000888691,Marshall Wace LLP,0.99,2019-09-17,archive
BE Semiconductor Industries N.V.,NL0012866412,Marshall Wace LLP,1.02,2019-09-17,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,2.37,2019-09-17,archive
Fugro N.V.,NL0000352565,Sculptor Capital Management Europe Limited,1.9,2019-09-17,archive
Koninklijke KPN N.V.,NL0000009082,"AQR Capital Management, LLC",0.98,2019-09-16,archive
SBM Offshore N.V.,NL0000360618,"AQR Capital Management, LLC",2.21,2019-09-16,archive
PostNL N.V.,NL0009739416,Capital Fund Management S.A.,0.89,2019-09-16,archive
ARCADIS N.V.,NL0006237562,Marshall Wace LLP,2.59,2019-09-16,archive
BE Semiconductor Industries N.V.,NL0012866412,Marshall Wace LLP,1.11,2019-09-16,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,2.45,2019-09-16,archive
Fugro N.V.,NL0000352565,Sculptor Capital Management Europe Limited,1.89,2019-09-16,archive
Koninklijke Heijmans N.V.,NL0009269109,"WorldQuant, LLC",0.57,2019-09-16,archive
AMG Critical Materials N.V.,NL0000888691,AHL Partners LLP,0.45,2019-09-13,archive
Koninklijke Vopak N.V.,NL0009432491,"AQR Capital Management, LLC",1.7,2019-09-13,archive
AMG Critical Materials N.V.,NL0000888691,"Connor, Clark & Lunn Investment Management Ltd.",1.48,2019-09-13,archive
PostNL N.V.,NL0009739416,"Connor, Clark & Lunn Investment Management Ltd.",0.49,2019-09-13,archive
Fugro N.V.,NL0000352565,HBK Investments LP,1.25,2019-09-13,archive
AMG Critical Materials N.V.,NL0000888691,Marshall Wace LLP,1.09,2019-09-13,archive
TomTom N.V.,NL0013332471,Marshall Wace LLP,0.69,2019-09-13,archive
AMG Critical Materials N.V.,NL0000888691,"Public Equity Partners Management, L.P.",2.88,2019-09-13,archive
PostNL N.V.,NL0009739416,Systematica Investments Limited,0.49,2019-09-13,archive
AMG Critical Materials N.V.,NL0000888691,Voleon Capital Management LP,0.5,2019-09-13,archive
AMG Critical Materials N.V.,NL0000888691,AHL Partners LLP,0.51,2019-09-12,archive
Galapagos NV,BE0003818359,"AQR Capital Management, LLC",1.84,2019-09-12,archive
Koninklijke KPN N.V.,NL0000009082,"AQR Capital Management, LLC",1.0,2019-09-12,archive
SBM Offshore N.V.,NL0000360618,"AQR Capital Management, LLC",2.19,2019-09-12,archive
Fugro N.V.,NL0000352565,"Connor, Clark & Lunn Investment Management Ltd.",0.76,2019-09-12,archive
Kendrion N.V.,NL0000852531,JPMorgan Asset Management (UK) Ltd.,0.6,2019-09-12,archive
BE Semiconductor Industries N.V.,NL0012866412,Jupiter Investment Management Limited,0.98,2019-09-12,archive
BE Semiconductor Industries N.V.,NL0012866412,Marshall Wace LLP,1.29,2019-09-12,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,2.59,2019-09-12,archive
PostNL N.V.,NL0009739416,Marshall Wace LLP,2.27,2019-09-12,archive
TomTom N.V.,NL0013332471,Marshall Wace LLP,0.7,2019-09-12,archive
Wereldhave N.V.,NL0000289213,Millennium International Management LP,0.75,2019-09-12,archive
AMG Critical Materials N.V.,NL0000888691,"PDT Partners, LLC",0.8,2019-09-12,archive
AMG Critical Materials N.V.,NL0000888691,"Public Equity Partners Management, L.P.",2.74,2019-09-12,archive
BE Semiconductor Industries N.V.,NL0012866412,"Tenor Capital Management Company, L.P.",0.5,2019-09-12,archive
Fugro N.V.,NL0000352565,"WorldQuant, LLC",0.79,2019-09-12,archive
Koninklijke BAM Groep N.V.,NL0000337319,"WorldQuant, LLC",0.44,2019-09-12,archive
AMG Critical Materials N.V.,NL0000888691,AHL Partners LLP,0.64,2019-09-11,archive
PostNL N.V.,NL0009739416,AHL Partners LLP,0.78,2019-09-11,archive
AMG Critical Materials N.V.,NL0000888691,"Arrowstreet Capital, Limited Partnership",1.56,2019-09-11,archive
Koninklijke BAM Groep N.V.,NL0000337319,Boldhaven Management LLP,0.52,2019-09-11,archive
PostNL N.V.,NL0009739416,Capital Fund Management S.A.,0.97,2019-09-11,archive
Eurocommercial Properties N.V.,NL0000288876,Clearance Capital Limited,0.66,2019-09-11,archive
PostNL N.V.,NL0009739416,"Connor, Clark & Lunn Investment Management Ltd.",0.55,2019-09-11,archive
BE Semiconductor Industries N.V.,NL0012866412,"Davidson Kempner European Partners, LLP",1.33,2019-09-11,archive
AMG Critical Materials N.V.,NL0000888691,Marshall Wace LLP,1.15,2019-09-11,archive
Aperam S.A.,LU0569974404,Marshall Wace LLP,0.59,2019-09-11,archive
BE Semiconductor Industries N.V.,NL0012866412,Marshall Wace LLP,1.38,2019-09-11,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,2.68,2019-09-11,archive
PostNL N.V.,NL0009739416,Marshall Wace LLP,2.31,2019-09-11,archive
Signify N.V.,NL0011821392,Marshall Wace LLP,0.68,2019-09-11,archive
Wereldhave N.V.,NL0000289213,Marshall Wace LLP,1.08,2019-09-11,archive
Signify N.V.,NL0011821392,Millennium Capital Partners LLP,0.65,2019-09-11,archive
Wereldhave N.V.,NL0000289213,Millennium International Management LP,0.81,2019-09-11,archive
AMG Critical Materials N.V.,NL0000888691,"Public Equity Partners Management, L.P.",2.54,2019-09-11,archive
Fugro N.V.,NL0000352565,Sculptor Capital Management Europe Limited,1.96,2019-09-11,archive
Wereldhave N.V.,NL0000289213,Wellington Management Company LLP,0.63,2019-09-11,archive
AMG Critical Materials N.V.,NL0000888691,AHL Partners LLP,0.78,2019-09-10,archive
Fugro N.V.,NL0000352565,"BlackRock Institutional Trust Company, National Association",0.49,2019-09-10,archive
Koninklijke BAM Groep N.V.,NL0000337319,Citadel Advisors II LLC,0.49,2019-09-10,archive
Galapagos NV,BE0003818359,"D. E. Shaw & Co., L.P.",0.98,2019-09-10,archive
Wereldhave N.V.,NL0000289213,"D. E. Shaw & Co., L.P.",0.56,2019-09-10,archive
Kendrion N.V.,NL0000852531,JPMorgan Asset Management (UK) Ltd.,0.57,2019-09-10,archive
BE Semiconductor Industries N.V.,NL0012866412,Marshall Wace LLP,1.46,2019-09-10,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,2.76,2019-09-10,archive
Koninklijke BAM Groep N.V.,NL0000337319,Marshall Wace LLP,1.8,2019-09-10,archive
PostNL N.V.,NL0009739416,Marshall Wace LLP,2.41,2019-09-10,archive
Wereldhave N.V.,NL0000289213,Marshall Wace LLP,1.18,2019-09-10,archive
Signify N.V.,NL0011821392,Millennium International Management LP,1.08,2019-09-10,archive
Unibail-Rodamco-Westfield SE,FR0013326246,Millennium International Management LP,0.82,2019-09-10,archive
Wereldhave N.V.,NL0000289213,Millennium International Management LP,0.98,2019-09-10,archive
AMG Critical Materials N.V.,NL0000888691,"WorldQuant, LLC",0.97,2019-09-10,archive
Koninklijke BAM Groep N.V.,NL0000337319,"WorldQuant, LLC",0.58,2019-09-10,archive
AMG Critical Materials N.V.,NL0000888691,AHL Partners LLP,0.94,2019-09-09,archive
PostNL N.V.,NL0009739416,AHL Partners LLP,0.86,2019-09-09,archive
Koninklijke BAM Groep N.V.,NL0000337319,AKO Capital LLP,1.49,2019-09-09,archive
Galapagos NV,BE0003818359,Citadel Advisors LLC,0.8,2019-09-09,archive
AMG Critical Materials N.V.,NL0000888691,"D. E. Shaw & Co., L.P.",0.48,2019-09-09,archive
AMG Critical Materials N.V.,NL0000888691,Marshall Wace LLP,1.02,2019-09-09,archive
Aperam S.A.,LU0569974404,Marshall Wace LLP,0.61,2019-09-09,archive
Flow Traders Ltd.,NL0011279492,Marshall Wace LLP,0.47,2019-09-09,archive
PostNL N.V.,NL0009739416,Marshall Wace LLP,2.58,2019-09-09,archive
Signify N.V.,NL0011821392,Millennium Capital Partners LLP,0.72,2019-09-09,archive
Unibail-Rodamco-Westfield SE,FR0013326246,Millennium International Management LP,0.72,2019-09-09,archive
Koninklijke Heijmans N.V.,NL0009269109,"WorldQuant, LLC",0.62,2019-09-09,archive
AMG Critical Materials N.V.,NL0000888691,AHL Partners LLP,1.03,2019-09-06,archive
Galapagos NV,BE0003818359,"AQR Capital Management, LLC",1.7,2019-09-06,archive
Fugro N.V.,NL0000352565,B&G Master Fund Plc,0.88,2019-09-06,archive
Fugro N.V.,NL0000352565,"BlackRock Institutional Trust Company, National Association",0.54,2019-09-06,archive
Koninklijke BAM Groep N.V.,NL0000337319,Lancaster Investment Management LLP,1.25,2019-09-06,archive
BE Semiconductor Industries N.V.,NL0012866412,Marshall Wace LLP,1.58,2019-09-06,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,2.87,2019-09-06,archive
Koninklijke BAM Groep N.V.,NL0000337319,Marshall Wace LLP,1.72,2019-09-06,archive
PostNL N.V.,NL0009739416,Marshall Wace LLP,2.67,2019-09-06,archive
TomTom N.V.,NL0013332471,Marshall Wace LLP,0.65,2019-09-06,archive
Wereldhave N.V.,NL0000289213,Marshall Wace LLP,1.25,2019-09-06,archive
Unibail-Rodamco-Westfield SE,FR0013326246,Millennium International Management LP,0.62,2019-09-06,archive
Wereldhave N.V.,NL0000289213,Millennium International Management LP,1.08,2019-09-06,archive
AMG Critical Materials N.V.,NL0000888691,Voleon Capital Management LP,0.49,2019-09-06,archive
Koninklijke BAM Groep N.V.,NL0000337319,"WorldQuant, LLC",0.67,2019-09-06,archive
AMG Critical Materials N.V.,NL0000888691,AHL Partners LLP,1.2,2019-09-05,archive
PostNL N.V.,NL0009739416,Capital Fund Management S.A.,1.08,2019-09-05,archive
PostNL N.V.,NL0009739416,"Connor, Clark & Lunn Investment Management Ltd.",0.69,2019-09-05,archive
Fugro N.V.,NL0000352565,HBK Investments LP,1.33,2019-09-05,archive
BE Semiconductor Industries N.V.,NL0012866412,Jupiter Investment Management Limited,1.09,2019-09-05,archive
Koninklijke BAM Groep N.V.,NL0000337319,Lancaster Investment Management LLP,1.09,2019-09-05,archive
AMG Critical Materials N.V.,NL0000888691,Marshall Wace LLP,0.94,2019-09-05,archive
Flow Traders Ltd.,NL0011279492,Marshall Wace LLP,0.55,2019-09-05,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,2.96,2019-09-05,archive
Koninklijke BAM Groep N.V.,NL0000337319,Marshall Wace LLP,1.59,2019-09-05,archive
PostNL N.V.,NL0009739416,Marshall Wace LLP,2.79,2019-09-05,archive
Wereldhave N.V.,NL0000289213,Marshall Wace LLP,1.32,2019-09-05,archive
Unibail-Rodamco-Westfield SE,FR0013326246,Millennium International Management LP,0.53,2019-09-05,archive
Wereldhave N.V.,NL0000289213,Millennium International Management LP,1.13,2019-09-05,archive
AMG Critical Materials N.V.,NL0000888691,"WorldQuant, LLC",1.04,2019-09-05,archive
Koninklijke Heijmans N.V.,NL0009269109,"WorldQuant, LLC",0.54,2019-09-05,archive
AMG Critical Materials N.V.,NL0000888691,AHL Partners LLP,1.4,2019-09-04,archive
PostNL N.V.,NL0009739416,AHL Partners LLP,0.97,2019-09-04,archive
Fugro N.V.,NL0000352565,"BlackRock Institutional Trust Company, National Association",0.64,2019-09-04,archive
Koninklijke BAM Groep N.V.,NL0000337319,Citadel Advisors II LLC,0.59,2019-09-04,archive
Galapagos NV,BE0003818359,"D. E. Shaw & Co., L.P.",1.0,2019-09-04,archive
Fugro N.V.,NL0000352565,HBK Investments LP,1.4,2019-09-04,archive
BE Semiconductor Industries N.V.,NL0012866412,Marshall Wace LLP,1.66,2019-09-04,archive
Fugro N.V.,NL0000352565,Sculptor Capital Management Europe Limited,2.09,2019-09-04,archive
AMG Critical Materials N.V.,NL0000888691,AHL Partners LLP,1.58,2019-09-03,archive
SBM Offshore N.V.,NL0000360618,"AQR Capital Management, LLC",2.2,2019-09-03,archive
Galapagos NV,BE0003818359,Citadel Advisors LLC,0.71,2019-09-03,archive
Fugro N.V.,NL0000352565,HBK Investments LP,1.51,2019-09-03,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,3.08,2019-09-03,archive
Koninklijke BAM Groep N.V.,NL0000337319,Marshall Wace LLP,1.41,2019-09-03,archive
TomTom N.V.,NL0013332471,Marshall Wace LLP,0.5,2019-09-03,archive
Unibail-Rodamco-Westfield SE,FR0013326246,Numeric Investors LLC,0.49,2019-09-03,archive
AMG Critical Materials N.V.,NL0000888691,"WorldQuant, LLC",1.19,2019-09-03,archive
Flow Traders Ltd.,NL0011279492,"WorldQuant, LLC",0.46,2019-09-03,archive
AMG Critical Materials N.V.,NL0000888691,AHL Partners LLP,1.69,2019-09-02,archive
Koninklijke BAM Groep N.V.,NL0000337319,Citadel Advisors II LLC,0.61,2019-09-02,archive
AMG Critical Materials N.V.,NL0000888691,Marshall Wace LLP,0.81,2019-09-02,archive
Aperam S.A.,LU0569974404,Marshall Wace LLP,0.51,2019-09-02,archive
Signify N.V.,NL0011821392,Millennium International Management LP,1.11,2019-09-02,archive
Wereldhave N.V.,NL0000289213,Otus Capital Management Ltd.,0.49,2019-09-02,archive
PostNL N.V.,NL0009739416,AHL Partners LLP,1.08,2019-08-30,archive
PostNL N.V.,NL0009739416,Capital Fund Management S.A.,1.18,2019-08-30,archive
AMG Critical Materials N.V.,NL0000888691,Marshall Wace LLP,0.77,2019-08-30,archive
Koninklijke BAM Groep N.V.,NL0000337319,Marshall Wace LLP,1.32,2019-08-30,archive
PostNL N.V.,NL0009739416,Marshall Wace LLP,2.99,2019-08-30,archive
Signify N.V.,NL0011821392,Millennium International Management LP,1.09,2019-08-30,archive
Koninklijke BAM Groep N.V.,NL0000337319,Citadel Advisors II LLC,0.5,2019-08-29,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,3.19,2019-08-29,archive
Koninklijke BAM Groep N.V.,NL0000337319,Marshall Wace LLP,1.22,2019-08-29,archive
Signify N.V.,NL0011821392,Millennium International Management LP,1.1,2019-08-29,archive
Fugro N.V.,NL0000352565,"WorldQuant, LLC",0.88,2019-08-29,archive
PostNL N.V.,NL0009739416,AHL Partners LLP,1.15,2019-08-28,archive
Galapagos NV,BE0003818359,"AQR Capital Management, LLC",1.66,2019-08-28,archive
OCI N.V.,NL0010558797,"AQR Capital Management, LLC",1.4,2019-08-28,archive
Galapagos NV,BE0003818359,Citadel Advisors LLC,0.67,2019-08-28,archive
AMG Critical Materials N.V.,NL0000888691,"D. E. Shaw & Co., L.P.",0.58,2019-08-28,archive
BE Semiconductor Industries N.V.,NL0012866412,Marshall Wace LLP,1.76,2019-08-28,archive
Wereldhave N.V.,NL0000289213,Toscafund Asset Management LLP,0.91,2019-08-28,archive
AMG Critical Materials N.V.,NL0000888691,"WorldQuant, LLC",1.27,2019-08-28,archive
AMG Critical Materials N.V.,NL0000888691,"Arrowstreet Capital, Limited Partnership",1.6,2019-08-27,archive
Wereldhave N.V.,NL0000289213,"D. E. Shaw & Co., L.P.",0.67,2019-08-27,archive
BE Semiconductor Industries N.V.,NL0012866412,Jupiter Investment Management Limited,1.18,2019-08-27,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,3.29,2019-08-27,archive
Wereldhave N.V.,NL0000289213,Marshall Wace LLP,1.47,2019-08-27,archive
PostNL N.V.,NL0009739416,Numeric Investors LLC,0.48,2019-08-27,archive
Koninklijke BAM Groep N.V.,NL0000337319,"WorldQuant, LLC",0.7,2019-08-27,archive
SBM Offshore N.V.,NL0000360618,"AQR Capital Management, LLC",2.11,2019-08-26,archive
PostNL N.V.,NL0009739416,"Connor, Clark & Lunn Investment Management Ltd.",0.79,2019-08-26,archive
Galapagos NV,BE0003818359,"D. E. Shaw & Co., L.P.",0.95,2019-08-26,archive
Wereldhave N.V.,NL0000289213,Millennium International Management LP,1.08,2019-08-26,archive
Koninklijke BAM Groep N.V.,NL0000337319,"WorldQuant, LLC",0.59,2019-08-26,archive
Fugro N.V.,NL0000352565,"BlackRock Institutional Trust Company, National Association",0.75,2019-08-23,archive
Galapagos NV,BE0003818359,Citadel Advisors LLC,0.72,2019-08-23,archive
AMG Critical Materials N.V.,NL0000888691,"Connor, Clark & Lunn Investment Management Ltd.",1.54,2019-08-23,archive
Koninklijke BAM Groep N.V.,NL0000337319,"Lucerne Capital Management, L.P.",0.64,2019-08-23,archive
Flow Traders Ltd.,NL0011279492,Marshall Wace LLP,0.69,2019-08-23,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,3.35,2019-08-23,archive
Fugro N.V.,NL0000352565,Systematica Investments Limited,0.8,2019-08-23,archive
AMG Critical Materials N.V.,NL0000888691,Voleon Capital Management LP,0.5,2019-08-23,archive
AMG Critical Materials N.V.,NL0000888691,"WorldQuant, LLC",1.18,2019-08-23,archive
PostNL N.V.,NL0009739416,AHL Partners LLP,1.29,2019-08-22,archive
SBM Offshore N.V.,NL0000360618,"AQR Capital Management, LLC",2.04,2019-08-22,archive
Fugro N.V.,NL0000352565,JPMorgan Asset Management (UK) Ltd.,1.75,2019-08-22,archive
Koninklijke BAM Groep N.V.,NL0000337319,Marshall Wace LLP,1.15,2019-08-22,archive
Signify N.V.,NL0011821392,Millennium Capital Partners LLP,0.6,2019-08-22,archive
Koninklijke Heijmans N.V.,NL0009269109,Susquehanna International Holdings LLC,0.29,2019-08-22,archive
AMG Critical Materials N.V.,NL0000888691,"WorldQuant, LLC",1.08,2019-08-22,archive
AMG Critical Materials N.V.,NL0000888691,"Arrowstreet Capital, Limited Partnership",1.5,2019-08-21,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,3.47,2019-08-21,archive
Pharming Group N.V.,NL0010391025,"PDT Partners, LLC",0.45,2019-08-21,archive
Koninklijke Heijmans N.V.,NL0009269109,Susquehanna International Holdings LLC,0.54,2019-08-21,archive
Pharming Group N.V.,NL0010391025,TT International,0.48,2019-08-21,archive
Flow Traders Ltd.,NL0011279492,"WorldQuant, LLC",0.58,2019-08-21,archive
PostNL N.V.,NL0009739416,AHL Partners LLP,1.37,2019-08-20,archive
Fugro N.V.,NL0000352565,Capital Fund Management S.A.,0.99,2019-08-20,archive
PostNL N.V.,NL0009739416,Capital Fund Management S.A.,1.29,2019-08-20,archive
Koninklijke BAM Groep N.V.,NL0000337319,Marshall Wace LLP,1.21,2019-08-20,archive
TomTom N.V.,NL0013332471,Marshall Wace LLP,0.48,2019-08-20,archive
Signify N.V.,NL0011821392,Millennium International Management LP,1.0,2019-08-20,archive
PostNL N.V.,NL0009739416,Numeric Investors LLC,0.58,2019-08-20,archive
Koninklijke Heijmans N.V.,NL0009269109,Susquehanna International Holdings LLC,0.47,2019-08-20,archive
AMG Critical Materials N.V.,NL0000888691,"WorldQuant, LLC",0.97,2019-08-20,archive
SBM Offshore N.V.,NL0000360618,"AQR Capital Management, LLC",1.93,2019-08-19,archive
Fugro N.V.,NL0000352565,"BlackRock Institutional Trust Company, National Association",0.85,2019-08-19,archive
Galapagos NV,BE0003818359,Citadel Advisors LLC,0.6,2019-08-19,archive
PostNL N.V.,NL0009739416,"Connor, Clark & Lunn Investment Management Ltd.",0.89,2019-08-19,archive
Wereldhave N.V.,NL0000289213,"Connor, Clark & Lunn Investment Management Ltd.",1.3,2019-08-19,archive
Koninklijke BAM Groep N.V.,NL0000337319,Dalton Strategic Partnership LLP,0.46,2019-08-19,archive
Fugro N.V.,NL0000352565,HBK Investments LP,1.46,2019-08-19,archive
BE Semiconductor Industries N.V.,NL0012866412,Jupiter Investment Management Limited,1.28,2019-08-19,archive
Flow Traders Ltd.,NL0011279492,Marshall Wace LLP,0.79,2019-08-19,archive
Koninklijke BAM Groep N.V.,NL0000337319,Marshall Wace LLP,1.16,2019-08-19,archive
Wereldhave N.V.,NL0000289213,Marshall Wace LLP,1.52,2019-08-19,archive
PostNL N.V.,NL0009739416,Numeric Investors LLC,0.6,2019-08-19,archive
Pharming Group N.V.,NL0010391025,"PDT Partners, LLC",0.59,2019-08-19,archive
PostNL N.V.,NL0009739416,"PDT Partners, LLC",0.68,2019-08-19,archive
Koninklijke Heijmans N.V.,NL0009269109,Susquehanna International Holdings LLC,0.59,2019-08-19,archive
AMG Critical Materials N.V.,NL0000888691,"WorldQuant, LLC",1.01,2019-08-19,archive
PostNL N.V.,NL0009739416,AHL Partners LLP,1.48,2019-08-16,archive
Galapagos NV,BE0003818359,"D. E. Shaw & Co., L.P.",1.01,2019-08-16,archive
Fugro N.V.,NL0000352565,HBK Investments LP,1.53,2019-08-16,archive
BE Semiconductor Industries N.V.,NL0012866412,Marshall Wace LLP,1.82,2019-08-16,archive
PostNL N.V.,NL0009739416,Marshall Wace LLP,3.0,2019-08-16,archive
Signify N.V.,NL0011821392,Marshall Wace LLP,0.7,2019-08-16,archive
Wereldhave N.V.,NL0000289213,Marshall Wace LLP,1.49,2019-08-16,archive
Wereldhave N.V.,NL0000289213,Millennium International Management LP,1.13,2019-08-16,archive
PostNL N.V.,NL0009739416,RAM Active Investments SA,0.48,2019-08-16,archive
AMG Critical Materials N.V.,NL0000888691,Susquehanna International Holdings LLC,0.49,2019-08-16,archive
Wereldhave N.V.,NL0000289213,Toscafund Asset Management LLP,0.84,2019-08-16,archive
Fugro N.V.,NL0000352565,"WorldQuant, LLC",0.92,2019-08-16,archive
PostNL N.V.,NL0009739416,AHL Partners LLP,1.56,2019-08-15,archive
OCI N.V.,NL0010558797,"AQR Capital Management, LLC",1.3,2019-08-15,archive
AMG Critical Materials N.V.,NL0000888691,"Eminence Capital, LP",2.77,2019-08-15,archive
AMG Critical Materials N.V.,NL0000888691,Marshall Wace LLP,0.81,2019-08-15,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,3.59,2019-08-15,archive
Koninklijke Ahold Delhaize N.V.,NL0011794037,Marshall Wace LLP,0.48,2019-08-15,archive
PostNL N.V.,NL0009739416,Marshall Wace LLP,2.99,2019-08-15,archive
Signify N.V.,NL0011821392,Millennium Capital Partners LLP,0.51,2019-08-15,archive
Signify N.V.,NL0011821392,Millennium International Management LP,0.93,2019-08-15,archive
AMG Critical Materials N.V.,NL0000888691,Susquehanna International Holdings LLC,0.55,2019-08-15,archive
Wereldhave N.V.,NL0000289213,"Woodson Capital Master Fund, LP",2.22,2019-08-15,archive
AMG Critical Materials N.V.,NL0000888691,"WorldQuant, LLC",1.17,2019-08-15,archive
Fugro N.V.,NL0000352565,B&G Master Fund Plc,0.91,2019-08-14,archive
Galapagos NV,BE0003818359,Citadel Advisors LLC,0.5,2019-08-14,archive
Pharming Group N.V.,NL0010391025,"Connor, Clark & Lunn Investment Management Ltd.",0.44,2019-08-14,archive
AMG Critical Materials N.V.,NL0000888691,"Eminence Capital, LP",3.39,2019-08-14,archive
Fugro N.V.,NL0000352565,HBK Investments LP,1.6,2019-08-14,archive
ARCADIS N.V.,NL0006237562,Kuvari Partners LLP,0.6,2019-08-14,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,3.63,2019-08-14,archive
PostNL N.V.,NL0009739416,Marshall Wace LLP,3.04,2019-08-14,archive
PostNL N.V.,NL0009739416,"PDT Partners, LLC",0.72,2019-08-14,archive
Wereldhave N.V.,NL0000289213,"Woodson Capital Master Fund, LP",2.11,2019-08-14,archive
PostNL N.V.,NL0009739416,AHL Partners LLP,1.68,2019-08-13,archive
SBM Offshore N.V.,NL0000360618,"AQR Capital Management, LLC",1.8,2019-08-13,archive
PostNL N.V.,NL0009739416,Capital Fund Management S.A.,1.39,2019-08-13,archive
BE Semiconductor Industries N.V.,NL0012866412,Citadel Europe LLP,0.63,2019-08-13,archive
Galapagos NV,BE0003818359,"D. E. Shaw & Co., L.P.",0.91,2019-08-13,archive
Koninklijke BAM Groep N.V.,NL0000337319,Dalton Strategic Partnership LLP,0.55,2019-08-13,archive
Fugro N.V.,NL0000352565,HBK Investments LP,1.46,2019-08-13,archive
Fugro N.V.,NL0000352565,Marshall Wace LLP,3.56,2019-08-13,archive
PostNL N.V.,NL0009739416,Marshall Wace LLP,3.17,2019-08-13,archive
Flow Traders Ltd.,NL0011279492,"Philadelphia Financial Management of San Francisco, LLC",0.18,2019-08-13,archive
Fugro N.V.,NL0000352565,Sculptor Capital Management Europe Limited,2.1,2019-08-13,archive
AMG Critical Materials N.V.,NL0000888691,Susquehanna International Holdings LLC,0.67,2019-08-13,archive
Fugro N.V.,NL0000352565,B&G Master Fund Plc,0.89,2019-08-12,archive
