position_holder,net_short_position,isin,position_date,issuer_name,source
Voleon Capital Management LP,2.0,NL0012817175,2026-03-24,Alfen N.V.,current
Actus Ray Partners Limited,0.62,NL0015000GX8,2026-03-23,Envipco Holding N.V.,current
"AQR Capital Management, LLC",0.72,NL0012969182,2026-03-23,Adyen N.V.,current
"AQR Capital Management, LLC",0.64,NL0012817175,2026-03-23,Alfen N.V.,current
"Arrowstreet Capital, Limited Partnership",1.01,NL0010801007,2026-03-23,IMCD N.V.,current
"BlackRock Financial Management, Inc.",0.6,NL0011821392,2026-03-23,Signify N.V.,current
Citadel Advisors Europe Limited,1.19,NL0011821392,2026-03-23,Signify N.V.,current
Citadel Advisors LLC,2.3,NL0011821392,2026-03-23,Signify N.V.,current
"D. E. Shaw & Co., L.P.",1.18,NL0012817175,2026-03-23,Alfen N.V.,current
"D. E. Shaw & Co., L.P.",0.69,NL0009739416,2026-03-23,PostNL N.V.,current
GLG Partners LP,0.51,NL0015002MS2,2026-03-23,The Magnum Ice Cream Company N.V.,current
Kintbury Capital LLP,0.78,NL0013267909,2026-03-23,Akzo Nobel N.V.,current
Marshall Wace LLP,0.7,NL0009739416,2026-03-23,PostNL N.V.,current
Millennium International Management LP,0.69,NL0013267909,2026-03-23,Akzo Nobel N.V.,current
"Point72 Europe (London), LLP",0.5,NL0000379121,2026-03-23,Randstad N.V.,current
Qube Research & Technologies Ltd.,1.01,CY0200751713,2026-03-23,Theon International Plc,current
Squarepoint Ops LLC,1.05,NL0006237562,2026-03-23,ARCADIS N.V.,current
Squarepoint Ops LLC,0.6,NL0010801007,2026-03-23,IMCD N.V.,current
"Two Sigma Investments, LP",1.36,LU2290522684,2026-03-23,InPost S.A.,current
"BlackRock Financial Management, Inc.",0.58,NL0011821392,2026-03-20,Signify N.V.,current
Capital Fund Management S.A.,0.7,NL0012969182,2026-03-20,Adyen N.V.,current
Citadel Advisors LLC,0.67,NL0000379121,2026-03-20,Randstad N.V.,current
"D. E. Shaw & Co., L.P.",0.59,NL0012866412,2026-03-20,BE Semiconductor Industries N.V.,current
Ilex Capital Partners (UK) LLP,0.75,CH1216478797,2026-03-20,DSM-Firmenich AG,current
Kintbury Capital LLP,0.87,NL0013267909,2026-03-20,Akzo Nobel N.V.,current
Marshall Wace LLP,0.83,NL0000379121,2026-03-20,Randstad N.V.,current
Marshall Wace LLP,1.52,NL0015002MS2,2026-03-20,The Magnum Ice Cream Company N.V.,current
Millennium Capital (DIFC) Limited,0.8,NL0011821392,2026-03-20,Signify N.V.,current
Qube Research & Technologies Ltd.,0.91,NL0011821392,2026-03-20,Signify N.V.,current
Qube Research & Technologies Ltd.,0.99,CY0200751713,2026-03-20,Theon International Plc,current
Squarepoint Ops LLC,0.57,NL0010801007,2026-03-20,IMCD N.V.,current
"Two Sigma Investments, LP",0.81,NL0010801007,2026-03-20,IMCD N.V.,current
"Two Sigma Investments, LP",1.26,LU2290522684,2026-03-20,InPost S.A.,current
Viking Global Investors LP,0.51,NL0011821202,2026-03-20,ING Groep N.V.,current
AKO Capital LLP,1.31,NL0013267909,2026-03-19,Akzo Nobel N.V.,current
"AQR Capital Management, LLC",0.51,NL0012817175,2026-03-19,Alfen N.V.,current
"AQR Capital Management, LLC",0.8,NL0006237562,2026-03-19,ARCADIS N.V.,current
Marshall Wace LLP,0.59,NL0013267909,2026-03-19,Akzo Nobel N.V.,current
Marshall Wace LLP,0.6,JE00BRX98089,2026-03-19,CVC Capital Partners plc,current
Marshall Wace LLP,0.73,NL0000379121,2026-03-19,Randstad N.V.,current
Marshall Wace LLP,1.43,NL0015002MS2,2026-03-19,The Magnum Ice Cream Company N.V.,current
Winton Capital Management Limited,0.61,NL0013332471,2026-03-19,TomTom N.V.,current
"WorldQuant, LLC",2.83,NL0012817175,2026-03-19,Alfen N.V.,current
"WorldQuant, LLC",0.6,NL0010801007,2026-03-19,IMCD N.V.,current
"AQR Capital Management, LLC",0.6,NL0012969182,2026-03-18,Adyen N.V.,current
Citadel Advisors Europe Limited,1.21,NL0011821392,2026-03-18,Signify N.V.,current
"Empyrean Capital Overseas Master Fund, Ltd",0.52,NL0013267909,2026-03-18,Akzo Nobel N.V.,current
Ilex Capital Partners (UK) LLP,0.87,CH1216478797,2026-03-18,DSM-Firmenich AG,current
Qube Research & Technologies Ltd.,0.57,CY0200751713,2026-03-18,Theon International Plc,current
"Two Sigma Investments, LP",1.11,LU2290522684,2026-03-18,InPost S.A.,current
Voleon Capital Management LP,1.97,NL0012817175,2026-03-18,Alfen N.V.,current
"WorldQuant, LLC",2.98,NL0012817175,2026-03-18,Alfen N.V.,current
"AQR Capital Management, LLC",0.59,NL0013267909,2026-03-17,Akzo Nobel N.V.,current
Kintbury Capital LLP,0.91,NL0013267909,2026-03-17,Akzo Nobel N.V.,current
Millennium International Management LP,0.7,NL0013267909,2026-03-17,Akzo Nobel N.V.,current
Qube Research & Technologies Ltd.,0.71,JE00BRX98089,2026-03-17,CVC Capital Partners plc,current
Marshall Wace LLP,1.3,NL0015002MS2,2026-03-16,The Magnum Ice Cream Company N.V.,current
"PDT Partners, LLC",0.8,NL0010801007,2026-03-16,IMCD N.V.,current
Squarepoint Ops LLC,0.63,NL0010801007,2026-03-16,IMCD N.V.,current
"WorldQuant, LLC",3.08,NL0012817175,2026-03-16,Alfen N.V.,current
"AQR Capital Management, LLC",0.52,NL0012969182,2026-03-13,Adyen N.V.,current
Citadel Advisors LLC,0.5,NL0000379121,2026-03-13,Randstad N.V.,current
Ilex Capital Partners (UK) LLP,0.98,CH1216478797,2026-03-13,DSM-Firmenich AG,current
Marshall Wace LLP,0.52,JE00BRX98089,2026-03-13,CVC Capital Partners plc,current
Marshall Wace LLP,0.61,NL0000379121,2026-03-13,Randstad N.V.,current
Millennium International Management LP,0.6,NL0013267909,2026-03-13,Akzo Nobel N.V.,current
"WorldQuant, LLC",3.14,NL0012817175,2026-03-13,Alfen N.V.,current
"WorldQuant, LLC",0.52,NL0010801007,2026-03-13,IMCD N.V.,current
Actus Ray Partners Limited,0.54,NL0015000GX8,2026-03-12,Envipco Holding N.V.,current
Albar Capital Partners LLP,0.64,NL0013267909,2026-03-12,Akzo Nobel N.V.,current
Canada Pension Plan Investment Board,0.65,NL0011821392,2026-03-12,Signify N.V.,current
JPMorgan Asset Management (UK) Ltd.,0.64,NL0010801007,2026-03-12,IMCD N.V.,current
Squarepoint Ops LLC,1.1,NL0006237562,2026-03-12,ARCADIS N.V.,current
Squarepoint Ops LLC,0.5,NL0010801007,2026-03-12,IMCD N.V.,current
Canada Pension Plan Investment Board,0.57,NL0011821392,2026-03-11,Signify N.V.,current
Capital Fund Management S.A.,0.6,NL0012969182,2026-03-11,Adyen N.V.,current
Citadel Advisors LLC,2.24,NL0011821392,2026-03-11,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.69,NL0012866412,2026-03-11,BE Semiconductor Industries N.V.,current
Marshall Wace LLP,0.63,NL0013267909,2026-03-11,Akzo Nobel N.V.,current
Marshall Wace LLP,1.91,NL0011821392,2026-03-11,Signify N.V.,current
Citadel Advisors LLC,2.17,NL0011821392,2026-03-10,Signify N.V.,current
"Connor, Clark & Lunn Investment Management Ltd.",0.59,LU2290522684,2026-03-10,InPost S.A.,current
"D. E. Shaw & Co., L.P.",0.7,NL0012866412,2026-03-10,BE Semiconductor Industries N.V.,current
Kintbury Capital LLP,0.86,NL0013267909,2026-03-10,Akzo Nobel N.V.,current
Lazard Asset Management LLC,0.96,NL0010391025,2026-03-10,Pharming Group N.V.,current
Marshall Wace LLP,0.59,NL0013267909,2026-03-10,Akzo Nobel N.V.,current
Marshall Wace LLP,0.72,NL0000009082,2026-03-10,Koninklijke KPN N.V.,current
Marshall Wace LLP,1.21,NL0015002MS2,2026-03-10,The Magnum Ice Cream Company N.V.,current
"Two Sigma Investments, LP",1.03,LU2290522684,2026-03-10,InPost S.A.,current
Winton Capital Management Limited,0.52,NL0013332471,2026-03-10,TomTom N.V.,current
Acadian Asset Management LLC.,0.72,NL0010801007,2026-03-09,IMCD N.V.,current
AKO Capital LLP,1.21,NL0013267909,2026-03-09,Akzo Nobel N.V.,current
Capital Fund Management S.A.,0.51,NL0012969182,2026-03-09,Adyen N.V.,current
Citadel Advisors Europe Limited,1.18,NL0011821392,2026-03-09,Signify N.V.,current
Citadel Advisors LLC,0.69,NL0009739416,2026-03-09,PostNL N.V.,current
Citadel Advisors LLC,2.06,NL0011821392,2026-03-09,Signify N.V.,current
"D. E. Shaw & Co., L.P.",1.29,NL0012817175,2026-03-09,Alfen N.V.,current
"D. E. Shaw & Co., L.P.",0.5,NL0010801007,2026-03-09,IMCD N.V.,current
Millennium International Management LP,0.51,NL0013267909,2026-03-09,Akzo Nobel N.V.,current
"Two Sigma Investments, LP",0.71,NL0010801007,2026-03-09,IMCD N.V.,current
Wellington Management International Ltd.,0.51,NL0011872650,2026-03-09,Basic-Fit N.V.,current
"AQR Capital Management, LLC",0.67,NL0013267909,2026-03-06,Akzo Nobel N.V.,current
