position_holder,net_short_position,isin,position_date,issuer_name,source
"Arrowstreet Capital, Limited Partnership",1.41,NL0000888691,2019-10-30,AMG Critical Materials N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",1.39,NL0000888691,2019-10-30,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.52,NL0000888691,2019-10-30,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.99,LU0569974404,2019-10-30,Aperam S.A.,archive
Marshall Wace LLP,3.97,NL0000352565,2019-10-30,Fugro N.V.,archive
Marshall Wace LLP,1.09,BE0003818359,2019-10-30,Galapagos NV,archive
"PDT Partners, LLC",0.7,NL0009739416,2019-10-30,PostNL N.V.,archive
Scopia Capital Management LP,2.25,NL0012866412,2019-10-30,BE Semiconductor Industries N.V.,archive
Voleon Capital Management LP,0.82,NL0000888691,2019-10-30,AMG Critical Materials N.V.,archive
Voleon Capital Management LP,0.49,NL0000337319,2019-10-30,Koninklijke BAM Groep N.V.,archive
BlueCrest Capital Management Limited,0.7,NL0000352565,2019-10-29,Fugro N.V.,archive
Citadel Advisors LLC,0.46,BE0003818359,2019-10-29,Galapagos NV,archive
"D. E. Shaw & Co., L.P.",0.98,BE0003818359,2019-10-29,Galapagos NV,archive
Marshall Wace LLP,3.85,NL0000352565,2019-10-29,Fugro N.V.,archive
Marshall Wace LLP,1.09,NL0009739416,2019-10-29,PostNL N.V.,archive
Millennium Capital Partners LLP,0.56,NL0011821392,2019-10-29,Signify N.V.,archive
Millennium International Management LP,0.73,NL0011821392,2019-10-29,Signify N.V.,archive
Scopia Capital Management LP,2.4,NL0012866412,2019-10-29,BE Semiconductor Industries N.V.,archive
"WorldQuant, LLC",0.56,NL0000289213,2019-10-29,Wereldhave N.V.,archive
"Arrowstreet Capital, Limited Partnership",1.59,NL0000888691,2019-10-28,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.59,BE0003818359,2019-10-28,Galapagos NV,archive
"D. E. Shaw & Co., L.P.",1.0,BE0003818359,2019-10-28,Galapagos NV,archive
Marshall Wace LLP,3.74,NL0000352565,2019-10-28,Fugro N.V.,archive
Marshall Wace LLP,1.1,NL0009739416,2019-10-28,PostNL N.V.,archive
Otus Capital Management Ltd.,0.43,NL0010776944,2019-10-28,Brunel International N.V.,archive
Scopia Capital Management LP,2.56,NL0012866412,2019-10-28,BE Semiconductor Industries N.V.,archive
Tybourne Capital Management (HK) Limited,1.16,NL0011821392,2019-10-28,Signify N.V.,archive
Voleon Capital Management LP,0.78,NL0000888691,2019-10-28,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",0.92,NL0000888691,2019-10-28,AMG Critical Materials N.V.,archive
Citadel Advisors II LLC,0.19,NL0010391025,2019-10-25,Pharming Group N.V.,archive
Citadel Advisors II LLC,0.51,NL0000289213,2019-10-25,Wereldhave N.V.,archive
Citadel Advisors LLC,0.69,BE0003818359,2019-10-25,Galapagos NV,archive
Lansdowne Partners (UK) LLP,2.53,NL0006237562,2019-10-25,ARCADIS N.V.,archive
Marshall Wace LLP,3.65,NL0000352565,2019-10-25,Fugro N.V.,archive
Marshall Wace LLP,1.1,BE0003818359,2019-10-25,Galapagos NV,archive
Marshall Wace LLP,0.81,NL0000289213,2019-10-25,Wereldhave N.V.,archive
Millennium International Management LP,0.88,NL0011821392,2019-10-25,Signify N.V.,archive
"WorldQuant, LLC",0.87,NL0000888691,2019-10-25,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",0.6,NL0000289213,2019-10-25,Wereldhave N.V.,archive
BlueCrest Capital Management Limited,0.65,NL0000352565,2019-10-24,Fugro N.V.,archive
Citadel Europe LLP,0.81,NL0012866412,2019-10-24,BE Semiconductor Industries N.V.,archive
"D. E. Shaw & Co., L.P.",1.1,BE0003818359,2019-10-24,Galapagos NV,archive
"Davidson Kempner European Partners, LLP",1.45,NL0012866412,2019-10-24,BE Semiconductor Industries N.V.,archive
Kuvari Partners LLP,0.9,NL0006237562,2019-10-24,ARCADIS N.V.,archive
Lansdowne Partners (UK) LLP,2.63,NL0006237562,2019-10-24,ARCADIS N.V.,archive
Marshall Wace LLP,2.42,NL0006237562,2019-10-24,ARCADIS N.V.,archive
Marshall Wace LLP,1.09,NL0009739416,2019-10-24,PostNL N.V.,archive
Marshall Wace LLP,1.0,NL0013332471,2019-10-24,TomTom N.V.,archive
Millennium Capital Partners LLP,0.63,NL0011821392,2019-10-24,Signify N.V.,archive
Voleon Capital Management LP,0.58,NL0009739416,2019-10-24,PostNL N.V.,archive
"WorldQuant, LLC",0.9,NL0000888691,2019-10-24,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",0.59,NL0000289213,2019-10-24,Wereldhave N.V.,archive
"AQR Capital Management, LLC",2.69,NL0000360618,2019-10-23,SBM Offshore N.V.,archive
HBK Investments LP,0.5,NL0000337319,2019-10-23,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.49,NL0000888691,2019-10-23,AMG Critical Materials N.V.,archive
Marshall Wace LLP,3.32,NL0000352565,2019-10-23,Fugro N.V.,archive
Marshall Wace LLP,0.49,NL0000379121,2019-10-23,Randstad N.V.,archive
Millennium International Management LP,0.91,NL0011821392,2019-10-23,Signify N.V.,archive
Otus Capital Management Ltd.,0.58,NL0010776944,2019-10-23,Brunel International N.V.,archive
Voleon Capital Management LP,0.89,NL0000352565,2019-10-23,Fugro N.V.,archive
AHL Partners LLP,0.6,NL0000360618,2019-10-22,SBM Offshore N.V.,archive
"AQR Capital Management, LLC",0.62,LU1598757687,2019-10-22,ArcelorMittal S.A.,archive
Clearance Capital Limited,1.17,NL0000289213,2019-10-22,Wereldhave N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.59,NL0000352565,2019-10-22,Fugro N.V.,archive
Marshall Wace LLP,0.95,NL0013332471,2019-10-22,TomTom N.V.,archive
Scopia Capital Management LP,2.66,NL0012866412,2019-10-22,BE Semiconductor Industries N.V.,archive
Voleon Capital Management LP,0.8,NL0000888691,2019-10-22,AMG Critical Materials N.V.,archive
BlueCrest Capital Management Limited,0.51,NL0000352565,2019-10-21,Fugro N.V.,archive
Citadel Advisors II LLC,0.53,NL0010391025,2019-10-21,Pharming Group N.V.,archive
HBK Investments LP,1.19,NL0000352565,2019-10-21,Fugro N.V.,archive
HBK Investments LP,0.49,NL0000337319,2019-10-21,Koninklijke BAM Groep N.V.,archive
Lancaster Investment Management LLP,1.32,NL0000337319,2019-10-21,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,3.22,NL0000352565,2019-10-21,Fugro N.V.,archive
Marshall Wace LLP,0.78,NL0000289213,2019-10-21,Wereldhave N.V.,archive
Scopia Capital Management LP,2.74,NL0012866412,2019-10-21,BE Semiconductor Industries N.V.,archive
"AQR Capital Management, LLC",2.71,NL0000360618,2019-10-18,SBM Offshore N.V.,archive
Clearance Capital Limited,0.96,NL0000289213,2019-10-18,Wereldhave N.V.,archive
"D. E. Shaw & Co., L.P.",1.02,BE0003818359,2019-10-18,Galapagos NV,archive
Marshall Wace LLP,0.9,BE0003818359,2019-10-18,Galapagos NV,archive
Scopia Capital Management LP,2.87,NL0012866412,2019-10-18,BE Semiconductor Industries N.V.,archive
Sculptor Capital Management Europe Limited,1.99,NL0000352565,2019-10-18,Fugro N.V.,archive
"WorldQuant, LLC",0.87,NL0000888691,2019-10-18,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",0.6,NL0000289213,2019-10-18,Wereldhave N.V.,archive
AHL Partners LLP,0.47,NL0009739416,2019-10-17,PostNL N.V.,archive
"AQR Capital Management, LLC",0.5,LU1598757687,2019-10-17,ArcelorMittal S.A.,archive
Citadel Advisors II LLC,0.48,NL0010391025,2019-10-17,Pharming Group N.V.,archive
"D. E. Shaw & Co., L.P.",0.99,BE0003818359,2019-10-17,Galapagos NV,archive
HBK Investments LP,1.24,NL0000352565,2019-10-17,Fugro N.V.,archive
Marshall Wace LLP,3.1,NL0000337319,2019-10-17,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,1.19,NL0009739416,2019-10-17,PostNL N.V.,archive
Scopia Capital Management LP,2.93,NL0012866412,2019-10-17,BE Semiconductor Industries N.V.,archive
Voleon Capital Management LP,0.5,NL0000337319,2019-10-17,Koninklijke BAM Groep N.V.,archive
Voleon Capital Management LP,0.68,NL0009739416,2019-10-17,PostNL N.V.,archive
"WorldQuant, LLC",0.37,NL0000352565,2019-10-17,Fugro N.V.,archive
Citadel Advisors II LLC,0.52,NL0010391025,2019-10-16,Pharming Group N.V.,archive
HBK Investments LP,1.32,NL0000352565,2019-10-16,Fugro N.V.,archive
Jupiter Investment Management Limited,0.47,NL0012866412,2019-10-16,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,0.58,NL0000888691,2019-10-16,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.44,NL0012866412,2019-10-16,BE Semiconductor Industries N.V.,archive
Millennium Capital Partners LLP,0.7,NL0011821392,2019-10-16,Signify N.V.,archive
Otus Capital Management Ltd.,0.7,NL0010776944,2019-10-16,Brunel International N.V.,archive
Sculptor Capital Management Europe Limited,2.05,NL0000352565,2019-10-16,Fugro N.V.,archive
"WorldQuant, LLC",0.51,NL0000352565,2019-10-16,Fugro N.V.,archive
Capital Fund Management S.A.,0.48,NL0009739416,2019-10-15,PostNL N.V.,archive
Citadel Europe LLP,0.48,NL0000352565,2019-10-15,Fugro N.V.,archive
HBK Investments LP,1.4,NL0000352565,2019-10-15,Fugro N.V.,archive
Marshall Wace LLP,3.18,NL0000352565,2019-10-15,Fugro N.V.,archive
Marshall Wace LLP,3.02,NL0000337319,2019-10-15,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,1.28,NL0009739416,2019-10-15,PostNL N.V.,archive
Millennium International Management LP,0.81,NL0011821392,2019-10-15,Signify N.V.,archive
Scopia Capital Management LP,3.07,NL0012866412,2019-10-15,BE Semiconductor Industries N.V.,archive
Sculptor Capital Management Europe Limited,2.12,NL0000352565,2019-10-15,Fugro N.V.,archive
Tybourne Capital Management (HK) Limited,1.77,NL0011821392,2019-10-15,Signify N.V.,archive
Whitebox Advisors LLC,0.51,NL0000352565,2019-10-15,Fugro N.V.,archive
AHL Partners LLP,0.57,NL0009739416,2019-10-14,PostNL N.V.,archive
Marshall Wace LLP,0.88,NL0000289213,2019-10-14,Wereldhave N.V.,archive
Otus Capital Management Ltd.,0.65,NL0010776944,2019-10-14,Brunel International N.V.,archive
"WorldQuant, LLC",0.97,NL0000888691,2019-10-14,AMG Critical Materials N.V.,archive
Boldhaven Management LLP,0.43,NL0000337319,2019-10-11,Koninklijke BAM Groep N.V.,archive
Capital Fund Management S.A.,0.49,NL0000289213,2019-10-11,Wereldhave N.V.,archive
Marshall Wace LLP,2.94,NL0000337319,2019-10-11,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,1.36,NL0009739416,2019-10-11,PostNL N.V.,archive
Millennium International Management LP,0.79,NL0011821392,2019-10-11,Signify N.V.,archive
Scopia Capital Management LP,3.17,NL0012866412,2019-10-11,BE Semiconductor Industries N.V.,archive
"WorldQuant, LLC",0.5,NL0000289213,2019-10-11,Wereldhave N.V.,archive
"AQR Capital Management, LLC",2.6,NL0000360618,2019-10-10,SBM Offshore N.V.,archive
Capital Fund Management S.A.,0.59,NL0009739416,2019-10-10,PostNL N.V.,archive
"D. E. Shaw & Co., L.P.",1.01,BE0003818359,2019-10-10,Galapagos NV,archive
"D. E. Shaw & Co., L.P.",0.49,NL0000289213,2019-10-10,Wereldhave N.V.,archive
"Eminence Capital, LP",2.69,NL0000888691,2019-10-10,AMG Critical Materials N.V.,archive
HBK Investments LP,1.67,NL0000352565,2019-10-10,Fugro N.V.,archive
Jupiter Investment Management Limited,2.19,NL0000888691,2019-10-10,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.59,NL0012866412,2019-10-10,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2.81,NL0000337319,2019-10-10,Koninklijke BAM Groep N.V.,archive
Millennium International Management LP,0.81,NL0011821392,2019-10-10,Signify N.V.,archive
Otus Capital Management Ltd.,0.51,NL0010776944,2019-10-10,Brunel International N.V.,archive
Voleon Capital Management LP,0.7,NL0000888691,2019-10-10,AMG Critical Materials N.V.,archive
Voleon Capital Management LP,0.79,NL0009739416,2019-10-10,PostNL N.V.,archive
Wellington Management Company LLP,0.47,NL0000289213,2019-10-10,Wereldhave N.V.,archive
Citadel Advisors II LLC,0.48,NL0000888691,2019-10-09,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,0.79,BE0003818359,2019-10-09,Galapagos NV,archive
"D. E. Shaw & Co., L.P.",0.99,BE0003818359,2019-10-09,Galapagos NV,archive
HBK Investments LP,1.72,NL0000352565,2019-10-09,Fugro N.V.,archive
Jupiter Investment Management Limited,0.58,NL0012866412,2019-10-09,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,0.67,NL0000888691,2019-10-09,AMG Critical Materials N.V.,archive
Marshall Wace LLP,3.4,NL0000352565,2019-10-09,Fugro N.V.,archive
Marshall Wace LLP,2.74,NL0000337319,2019-10-09,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.8,NL0013332471,2019-10-09,TomTom N.V.,archive
Marshall Wace LLP,0.9,NL0000289213,2019-10-09,Wereldhave N.V.,archive
Voleon Capital Management LP,0.93,NL0000352565,2019-10-09,Fugro N.V.,archive
Voleon Capital Management LP,0.8,NL0009739416,2019-10-09,PostNL N.V.,archive
Wellington Management Company LLP,0.55,NL0000289213,2019-10-09,Wereldhave N.V.,archive
Citadel Advisors II LLC,0.5,NL0000888691,2019-10-08,AMG Critical Materials N.V.,archive
"D. E. Shaw & Co., L.P.",0.52,NL0000289213,2019-10-08,Wereldhave N.V.,archive
GSA Capital Partners LLP,0.5,NL0000337319,2019-10-08,Koninklijke BAM Groep N.V.,archive
HBK Investments LP,0.54,NL0000337319,2019-10-08,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,1.0,LU0569974404,2019-10-08,Aperam S.A.,archive
"Woodson Capital Master Fund, LP",2.32,NL0000289213,2019-10-08,Wereldhave N.V.,archive
"WorldQuant, LLC",1.09,NL0000888691,2019-10-08,AMG Critical Materials N.V.,archive
"D. E. Shaw & Co., L.P.",0.49,NL0000289213,2019-10-07,Wereldhave N.V.,archive
HBK Investments LP,0.49,NL0000337319,2019-10-07,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,1.59,NL0009739416,2019-10-07,PostNL N.V.,archive
Marshall Wace LLP,0.89,NL0000289213,2019-10-07,Wereldhave N.V.,archive
Millennium Capital Partners LLP,0.55,NL0011821392,2019-10-07,Signify N.V.,archive
Millennium International Management LP,0.76,NL0011821392,2019-10-07,Signify N.V.,archive
Voleon Capital Management LP,0.83,NL0000352565,2019-10-07,Fugro N.V.,archive
"WorldQuant, LLC",1.14,NL0000888691,2019-10-07,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",1.4,NL0010558797,2019-10-04,OCI N.V.,archive
Capital Fund Management S.A.,0.68,NL0009739416,2019-10-04,PostNL N.V.,archive
Clearance Capital Limited,0.81,NL0000289213,2019-10-04,Wereldhave N.V.,archive
"D. E. Shaw & Co., L.P.",1.01,BE0003818359,2019-10-04,Galapagos NV,archive
Marshall Wace LLP,0.66,NL0012866412,2019-10-04,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,3.33,NL0000352565,2019-10-04,Fugro N.V.,archive
"PDT Partners, LLC",0.48,NL0010391025,2019-10-04,Pharming Group N.V.,archive
"WorldQuant, LLC",0.7,NL0000352565,2019-10-04,Fugro N.V.,archive
Capital Fund Management S.A.,0.7,NL0009739416,2019-10-03,PostNL N.V.,archive
Clearance Capital Limited,0.72,NL0000289213,2019-10-03,Wereldhave N.V.,archive
HBK Investments LP,1.69,NL0000352565,2019-10-03,Fugro N.V.,archive
Kuvari Partners LLP,0.7,NL0006237562,2019-10-03,ARCADIS N.V.,archive
Marshall Wace LLP,0.78,NL0000888691,2019-10-03,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.93,LU0569974404,2019-10-03,Aperam S.A.,archive
Marshall Wace LLP,3.26,NL0000352565,2019-10-03,Fugro N.V.,archive
Marshall Wace LLP,2.51,NL0000337319,2019-10-03,Koninklijke BAM Groep N.V.,archive
Millennium International Management LP,0.62,NL0011821392,2019-10-03,Signify N.V.,archive
Scopia Capital Management LP,3.29,NL0012866412,2019-10-03,BE Semiconductor Industries N.V.,archive
Susquehanna International Securities Limited,0.23,NL0000352565,2019-10-03,Fugro N.V.,archive
Voleon Capital Management LP,0.7,NL0000352565,2019-10-03,Fugro N.V.,archive
AHL Partners LLP,0.5,NL0000360618,2019-10-02,SBM Offshore N.V.,archive
BlackRock Investment Management (UK) Limited,1.94,NL0011821392,2019-10-02,Signify N.V.,archive
Capital Fund Management S.A.,0.69,NL0009739416,2019-10-02,PostNL N.V.,archive
Clearance Capital Limited,0.45,NL0000288876,2019-10-02,Eurocommercial Properties N.V.,archive
Clearance Capital Limited,0.56,NL0000289213,2019-10-02,Wereldhave N.V.,archive
HBK Investments LP,0.5,NL0000337319,2019-10-02,Koninklijke BAM Groep N.V.,archive
JPMorgan Asset Management (UK) Ltd.,0.54,NL0011660485,2019-10-02,Sif Holding N.V.,archive
Jupiter Investment Management Limited,0.69,NL0012866412,2019-10-02,BE Semiconductor Industries N.V.,archive
Lone Pine Capital LLC,0.14,NL0011821392,2019-10-02,Signify N.V.,archive
Marshall Wace LLP,2.42,NL0000337319,2019-10-02,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,1.64,NL0009739416,2019-10-02,PostNL N.V.,archive
Marshall Wace LLP,0.72,NL0013332471,2019-10-02,TomTom N.V.,archive
Millennium International Management LP,0.49,NL0000289213,2019-10-02,Wereldhave N.V.,archive
Sculptor Capital Management Europe Limited,2.22,NL0000352565,2019-10-02,Fugro N.V.,archive
Susquehanna International Securities Limited,0.5,NL0000352565,2019-10-02,Fugro N.V.,archive
Tower House Partners LLP,0.64,NL0011821392,2019-10-02,Signify N.V.,archive
Voleon Capital Management LP,0.62,NL0000888691,2019-10-02,AMG Critical Materials N.V.,archive
Voleon Capital Management LP,0.72,NL0009739416,2019-10-02,PostNL N.V.,archive
AHL Partners LLP,0.69,NL0009739416,2019-10-01,PostNL N.V.,archive
"AQR Capital Management, LLC",1.93,BE0003818359,2019-10-01,Galapagos NV,archive
"AQR Capital Management, LLC",2.42,NL0000360618,2019-10-01,SBM Offshore N.V.,archive
HBK Investments LP,1.7,NL0000352565,2019-10-01,Fugro N.V.,archive
Lone Pine Capital LLC,1.02,NL0011821392,2019-10-01,Signify N.V.,archive
Marshall Wace LLP,3.11,NL0000352565,2019-10-01,Fugro N.V.,archive
Marshall Wace LLP,0.81,BE0003818359,2019-10-01,Galapagos NV,archive
Marshall Wace LLP,1.7,NL0009739416,2019-10-01,PostNL N.V.,archive
"Public Equity Partners Management, L.P.",2.91,NL0000888691,2019-10-01,AMG Critical Materials N.V.,archive
Systematica Investments Limited,0.82,NL0000352565,2019-10-01,Fugro N.V.,archive
Voleon Capital Management LP,0.51,NL0000352565,2019-10-01,Fugro N.V.,archive
ENA Investment Capital LLP,0.73,NL0011821392,2019-09-30,Signify N.V.,archive
Lansdowne Partners (UK) LLP,2.72,NL0006237562,2019-09-30,ARCADIS N.V.,archive
Lone Pine Capital LLC,1.22,NL0011821392,2019-09-30,Signify N.V.,archive
Marshall Wace LLP,2.87,NL0000352565,2019-09-30,Fugro N.V.,archive
Marshall Wace LLP,2.32,NL0000337319,2019-09-30,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,1.81,NL0009739416,2019-09-30,PostNL N.V.,archive
Millennium International Management LP,0.52,NL0011821392,2019-09-30,Signify N.V.,archive
"PDT Partners, LLC",0.65,NL0009739416,2019-09-30,PostNL N.V.,archive
Sculptor Capital Management Europe Limited,2.15,NL0000352565,2019-09-30,Fugro N.V.,archive
"WorldQuant, LLC",0.68,NL0000352565,2019-09-30,Fugro N.V.,archive
"AQR Capital Management, LLC",1.39,NL0010558797,2019-09-27,OCI N.V.,archive
HBK Investments LP,1.6,NL0000352565,2019-09-27,Fugro N.V.,archive
Marshall Wace LLP,0.7,BE0003818359,2019-09-27,Galapagos NV,archive
Marshall Wace LLP,0.5,NL0000379121,2019-09-27,Randstad N.V.,archive
Millennium International Management LP,0.57,NL0000289213,2019-09-27,Wereldhave N.V.,archive
Scopia Capital Management LP,3.39,NL0012866412,2019-09-27,BE Semiconductor Industries N.V.,archive
"WorldQuant, LLC",1.26,NL0000888691,2019-09-27,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",0.7,NL0000352565,2019-09-27,Fugro N.V.,archive
"AQR Capital Management, LLC",0.89,NL0000009082,2019-09-26,Koninklijke KPN N.V.,archive
"Arrowstreet Capital, Limited Partnership",1.64,NL0000888691,2019-09-26,AMG Critical Materials N.V.,archive
ENA Investment Capital LLP,0.58,NL0011821392,2019-09-26,Signify N.V.,archive
Marshall Wace LLP,0.89,NL0000888691,2019-09-26,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.81,LU0569974404,2019-09-26,Aperam S.A.,archive
Marshall Wace LLP,2.72,NL0000352565,2019-09-26,Fugro N.V.,archive
Marshall Wace LLP,2.24,NL0000337319,2019-09-26,Koninklijke BAM Groep N.V.,archive
"PDT Partners, LLC",0.78,NL0000888691,2019-09-26,AMG Critical Materials N.V.,archive
BlackRock Investment Management (UK) Limited,1.83,NL0011821392,2019-09-25,Signify N.V.,archive
Citadel Advisors II LLC,0.45,NL0000337319,2019-09-25,Koninklijke BAM Groep N.V.,archive
ENA Investment Capital LLP,0.64,NL0011821392,2019-09-25,Signify N.V.,archive
Jupiter Investment Management Limited,0.79,NL0012866412,2019-09-25,BE Semiconductor Industries N.V.,archive
Lansdowne Partners (UK) LLP,2.62,NL0006237562,2019-09-25,ARCADIS N.V.,archive
Marshall Wace LLP,0.92,NL0000888691,2019-09-25,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.79,NL0012866412,2019-09-25,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2.67,NL0000352565,2019-09-25,Fugro N.V.,archive
Marshall Wace LLP,2.19,NL0000337319,2019-09-25,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.63,NL0013332471,2019-09-25,TomTom N.V.,archive
Marshall Wace LLP,0.99,NL0000289213,2019-09-25,Wereldhave N.V.,archive
"PDT Partners, LLC",0.7,NL0009739416,2019-09-25,PostNL N.V.,archive
Scopia Capital Management LP,3.46,NL0012866412,2019-09-25,BE Semiconductor Industries N.V.,archive
Voleon Capital Management LP,0.61,NL0009739416,2019-09-25,PostNL N.V.,archive
"WorldQuant, LLC",1.11,NL0000888691,2019-09-25,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",0.52,NL0012969182,2019-09-24,Adyen N.V.,archive
"Arrowstreet Capital, Limited Partnership",1.54,NL0000888691,2019-09-24,AMG Critical Materials N.V.,archive
Capital Fund Management S.A.,0.79,NL0009739416,2019-09-24,PostNL N.V.,archive
Clearance Capital Limited,0.5,NL0000288876,2019-09-24,Eurocommercial Properties N.V.,archive
HBK Investments LP,1.52,NL0000352565,2019-09-24,Fugro N.V.,archive
Marshall Wace LLP,0.89,NL0000888691,2019-09-24,AMG Critical Materials N.V.,archive
Marshall Wace LLP,0.74,LU0569974404,2019-09-24,Aperam S.A.,archive
Marshall Wace LLP,0.6,BE0003818359,2019-09-24,Galapagos NV,archive
Marshall Wace LLP,2.19,NL0009739416,2019-09-24,PostNL N.V.,archive
Marshall Wace LLP,0.59,NL0013332471,2019-09-24,TomTom N.V.,archive
"WorldQuant, LLC",0.68,NL0000352565,2019-09-24,Fugro N.V.,archive
HBK Investments LP,1.46,NL0000352565,2019-09-23,Fugro N.V.,archive
Marshall Wace LLP,2.51,NL0000352565,2019-09-23,Fugro N.V.,archive
Millennium International Management LP,0.36,NL0011821392,2019-09-23,Signify N.V.,archive
Sculptor Capital Management Europe Limited,2.01,NL0000352565,2019-09-23,Fugro N.V.,archive
"WorldQuant, LLC",1.04,NL0000888691,2019-09-23,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",1.89,BE0003818359,2019-09-20,Galapagos NV,archive
"AQR Capital Management, LLC",1.69,NL0009432491,2019-09-20,Koninklijke Vopak N.V.,archive
"BlackRock Institutional Trust Company, National Association",0.54,NL0000352565,2019-09-20,Fugro N.V.,archive
Citadel Europe LLP,0.7,NL0012866412,2019-09-20,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2.39,NL0006237562,2019-09-20,ARCADIS N.V.,archive
Marshall Wace LLP,0.88,NL0012866412,2019-09-20,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2.42,NL0000352565,2019-09-20,Fugro N.V.,archive
Marshall Wace LLP,2.01,NL0000337319,2019-09-20,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,0.24,NL0011821392,2019-09-20,Signify N.V.,archive
Millennium Capital Partners LLP,0.39,NL0011821392,2019-09-20,Signify N.V.,archive
Millennium International Management LP,0.5,NL0011821392,2019-09-20,Signify N.V.,archive
Millennium International Management LP,0.0,FR0013326246,2019-09-20,Unibail-Rodamco-Westfield SE,archive
"PDT Partners, LLC",0.5,NL0010391025,2019-09-20,Pharming Group N.V.,archive
Tybourne Capital Management (HK) Limited,1.65,NL0011821392,2019-09-20,Signify N.V.,archive
"WorldQuant, LLC",0.96,NL0000888691,2019-09-20,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",1.7,NL0009432491,2019-09-19,Koninklijke Vopak N.V.,archive
"AQR Capital Management, LLC",2.33,NL0000360618,2019-09-19,SBM Offshore N.V.,archive
Bodenholm Capital AB,0.05,NL0006237562,2019-09-19,ARCADIS N.V.,archive
Jupiter Investment Management Limited,0.89,NL0012866412,2019-09-19,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2.4,NL0006237562,2019-09-19,ARCADIS N.V.,archive
Millennium Capital Partners LLP,0.71,NL0011821392,2019-09-19,Signify N.V.,archive
"WorldQuant, LLC",1.0,NL0000888691,2019-09-19,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",0.49,NL0009269109,2019-09-19,Koninklijke Heijmans N.V.,archive
"AQR Capital Management, LLC",1.9,BE0003818359,2019-09-18,Galapagos NV,archive
"AQR Capital Management, LLC",1.69,NL0009432491,2019-09-18,Koninklijke Vopak N.V.,archive
"Arrowstreet Capital, Limited Partnership",1.48,NL0000888691,2019-09-18,AMG Critical Materials N.V.,archive
Bodenholm Capital AB,0.58,NL0006237562,2019-09-18,ARCADIS N.V.,archive
Citadel Advisors II LLC,0.58,NL0000337319,2019-09-18,Koninklijke BAM Groep N.V.,archive
HBK Investments LP,1.31,NL0000352565,2019-09-18,Fugro N.V.,archive
Marshall Wace LLP,0.6,LU0569974404,2019-09-18,Aperam S.A.,archive
Marshall Wace LLP,0.96,NL0012866412,2019-09-18,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,0.58,NL0011821392,2019-09-18,Signify N.V.,archive
Millennium International Management LP,0.69,NL0000289213,2019-09-18,Wereldhave N.V.,archive
Systematica Investments Limited,0.79,NL0000352565,2019-09-18,Fugro N.V.,archive
Voleon Capital Management LP,0.5,NL0009739416,2019-09-18,PostNL N.V.,archive
Bodenholm Capital AB,0.79,NL0006237562,2019-09-17,ARCADIS N.V.,archive
Citadel Europe LLP,0.69,NL0000352565,2019-09-17,Fugro N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.69,NL0000352565,2019-09-17,Fugro N.V.,archive
Marshall Wace LLP,0.99,NL0000888691,2019-09-17,AMG Critical Materials N.V.,archive
