isin,net_short_position,position_date,position_holder,issuer_name,source
NL0000379121,0.91,2026-03-24,Marshall Wace LLP,Randstad N.V.,current
NL0011821392,2.0,2026-03-24,Marshall Wace LLP,Signify N.V.,current
NL0015002MS2,1.6,2026-03-24,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
NL0011821392,0.79,2026-03-24,Millennium Capital (DIFC) Limited,Signify N.V.,current
NL0010801007,0.9,2026-03-24,"PDT Partners, LLC",IMCD N.V.,current
JE00BRX98089,0.81,2026-03-24,Qube Research & Technologies Ltd.,CVC Capital Partners plc,current
NL0011821392,0.89,2026-03-24,Qube Research & Technologies Ltd.,Signify N.V.,current
NL0010801007,0.59,2026-03-24,Squarepoint Ops LLC,IMCD N.V.,current
LU2290522684,1.44,2026-03-24,"Two Sigma Investments, LP",InPost S.A.,current
CY0200751713,0.6,2026-03-24,"Two Sigma Investments, LP",Theon International Plc,current
NL0012817175,2.0,2026-03-24,Voleon Capital Management LP,Alfen N.V.,current
NL0015002IE0,1.01,2026-03-24,Voleon Capital Management LP,Avantium N.V.,current
NL0015000GX8,0.62,2026-03-23,Actus Ray Partners Limited,Envipco Holding N.V.,current
NL0012969182,0.72,2026-03-23,"AQR Capital Management, LLC",Adyen N.V.,current
NL0012817175,0.64,2026-03-23,"AQR Capital Management, LLC",Alfen N.V.,current
NL0010801007,1.01,2026-03-23,"Arrowstreet Capital, Limited Partnership",IMCD N.V.,current
NL0011821392,0.6,2026-03-23,"BlackRock Financial Management, Inc.",Signify N.V.,current
NL0011821392,1.19,2026-03-23,Citadel Advisors Europe Limited,Signify N.V.,current
NL0011821392,2.3,2026-03-23,Citadel Advisors LLC,Signify N.V.,current
NL0012817175,1.18,2026-03-23,"D. E. Shaw & Co., L.P.",Alfen N.V.,current
NL0009739416,0.69,2026-03-23,"D. E. Shaw & Co., L.P.",PostNL N.V.,current
NL0015002MS2,0.51,2026-03-23,GLG Partners LP,The Magnum Ice Cream Company N.V.,current
NL0013267909,0.78,2026-03-23,Kintbury Capital LLP,Akzo Nobel N.V.,current
NL0009739416,0.7,2026-03-23,Marshall Wace LLP,PostNL N.V.,current
NL0013267909,0.69,2026-03-23,Millennium International Management LP,Akzo Nobel N.V.,current
NL0000379121,0.5,2026-03-23,"Point72 Europe (London), LLP",Randstad N.V.,current
CY0200751713,1.01,2026-03-23,Qube Research & Technologies Ltd.,Theon International Plc,current
NL0006237562,1.05,2026-03-23,Squarepoint Ops LLC,ARCADIS N.V.,current
NL0010801007,0.6,2026-03-23,Squarepoint Ops LLC,IMCD N.V.,current
LU2290522684,1.36,2026-03-23,"Two Sigma Investments, LP",InPost S.A.,current
NL0015002IE0,1.16,2026-03-23,Voleon Capital Management LP,Avantium N.V.,current
