position_holder,position_date,isin,net_short_position,issuer_name,source
Marshall Wace LLP,2019-10-10,NL0012866412,0.59,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-10-10,NL0000337319,2.81,Koninklijke BAM Groep N.V.,archive
Millennium International Management LP,2019-10-10,NL0011821392,0.81,Signify N.V.,archive
Otus Capital Management Ltd.,2019-10-10,NL0010776944,0.51,Brunel International N.V.,archive
Voleon Capital Management LP,2019-10-10,NL0000888691,0.7,AMG Critical Materials N.V.,archive
Voleon Capital Management LP,2019-10-10,NL0009739416,0.79,PostNL N.V.,archive
Wellington Management Company LLP,2019-10-10,NL0000289213,0.47,Wereldhave N.V.,archive
Citadel Advisors II LLC,2019-10-09,NL0000888691,0.48,AMG Critical Materials N.V.,archive
Citadel Advisors LLC,2019-10-09,BE0003818359,0.79,Galapagos NV,archive
"D. E. Shaw & Co., L.P.",2019-10-09,BE0003818359,0.99,Galapagos NV,archive
HBK Investments LP,2019-10-09,NL0000352565,1.72,Fugro N.V.,archive
Jupiter Investment Management Limited,2019-10-09,NL0012866412,0.58,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-10-09,NL0000888691,0.67,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2019-10-09,NL0000352565,3.4,Fugro N.V.,archive
Marshall Wace LLP,2019-10-09,NL0000337319,2.74,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2019-10-09,NL0013332471,0.8,TomTom N.V.,archive
Marshall Wace LLP,2019-10-09,NL0000289213,0.9,Wereldhave N.V.,archive
Voleon Capital Management LP,2019-10-09,NL0000352565,0.93,Fugro N.V.,archive
Voleon Capital Management LP,2019-10-09,NL0009739416,0.8,PostNL N.V.,archive
Wellington Management Company LLP,2019-10-09,NL0000289213,0.55,Wereldhave N.V.,archive
Citadel Advisors II LLC,2019-10-08,NL0000888691,0.5,AMG Critical Materials N.V.,archive
"D. E. Shaw & Co., L.P.",2019-10-08,NL0000289213,0.52,Wereldhave N.V.,archive
GSA Capital Partners LLP,2019-10-08,NL0000337319,0.5,Koninklijke BAM Groep N.V.,archive
HBK Investments LP,2019-10-08,NL0000337319,0.54,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2019-10-08,LU0569974404,1.0,Aperam S.A.,archive
"Woodson Capital Master Fund, LP",2019-10-08,NL0000289213,2.32,Wereldhave N.V.,archive
"WorldQuant, LLC",2019-10-08,NL0000888691,1.09,AMG Critical Materials N.V.,archive
"D. E. Shaw & Co., L.P.",2019-10-07,NL0000289213,0.49,Wereldhave N.V.,archive
HBK Investments LP,2019-10-07,NL0000337319,0.49,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2019-10-07,NL0009739416,1.59,PostNL N.V.,archive
Marshall Wace LLP,2019-10-07,NL0000289213,0.89,Wereldhave N.V.,archive
Millennium Capital Partners LLP,2019-10-07,NL0011821392,0.55,Signify N.V.,archive
Millennium International Management LP,2019-10-07,NL0011821392,0.76,Signify N.V.,archive
Voleon Capital Management LP,2019-10-07,NL0000352565,0.83,Fugro N.V.,archive
"WorldQuant, LLC",2019-10-07,NL0000888691,1.14,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",2019-10-04,NL0010558797,1.4,OCI N.V.,archive
Capital Fund Management S.A.,2019-10-04,NL0009739416,0.68,PostNL N.V.,archive
Clearance Capital Limited,2019-10-04,NL0000289213,0.81,Wereldhave N.V.,archive
"D. E. Shaw & Co., L.P.",2019-10-04,BE0003818359,1.01,Galapagos NV,archive
Marshall Wace LLP,2019-10-04,NL0012866412,0.66,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-10-04,NL0000352565,3.33,Fugro N.V.,archive
"PDT Partners, LLC",2019-10-04,NL0010391025,0.48,Pharming Group N.V.,archive
"WorldQuant, LLC",2019-10-04,NL0000352565,0.7,Fugro N.V.,archive
Capital Fund Management S.A.,2019-10-03,NL0009739416,0.7,PostNL N.V.,archive
Clearance Capital Limited,2019-10-03,NL0000289213,0.72,Wereldhave N.V.,archive
HBK Investments LP,2019-10-03,NL0000352565,1.69,Fugro N.V.,archive
Kuvari Partners LLP,2019-10-03,NL0006237562,0.7,ARCADIS N.V.,archive
Marshall Wace LLP,2019-10-03,NL0000888691,0.78,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2019-10-03,LU0569974404,0.93,Aperam S.A.,archive
Marshall Wace LLP,2019-10-03,NL0000352565,3.26,Fugro N.V.,archive
Marshall Wace LLP,2019-10-03,NL0000337319,2.51,Koninklijke BAM Groep N.V.,archive
Millennium International Management LP,2019-10-03,NL0011821392,0.62,Signify N.V.,archive
Scopia Capital Management LP,2019-10-03,NL0012866412,3.29,BE Semiconductor Industries N.V.,archive
Susquehanna International Securities Limited,2019-10-03,NL0000352565,0.23,Fugro N.V.,archive
Voleon Capital Management LP,2019-10-03,NL0000352565,0.7,Fugro N.V.,archive
AHL Partners LLP,2019-10-02,NL0000360618,0.5,SBM Offshore N.V.,archive
BlackRock Investment Management (UK) Limited,2019-10-02,NL0011821392,1.94,Signify N.V.,archive
Capital Fund Management S.A.,2019-10-02,NL0009739416,0.69,PostNL N.V.,archive
Clearance Capital Limited,2019-10-02,NL0000288876,0.45,Eurocommercial Properties N.V.,archive
Clearance Capital Limited,2019-10-02,NL0000289213,0.56,Wereldhave N.V.,archive
HBK Investments LP,2019-10-02,NL0000337319,0.5,Koninklijke BAM Groep N.V.,archive
JPMorgan Asset Management (UK) Ltd.,2019-10-02,NL0011660485,0.54,Sif Holding N.V.,archive
Jupiter Investment Management Limited,2019-10-02,NL0012866412,0.69,BE Semiconductor Industries N.V.,archive
Lone Pine Capital LLC,2019-10-02,NL0011821392,0.14,Signify N.V.,archive
Marshall Wace LLP,2019-10-02,NL0000337319,2.42,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2019-10-02,NL0009739416,1.64,PostNL N.V.,archive
Marshall Wace LLP,2019-10-02,NL0013332471,0.72,TomTom N.V.,archive
Millennium International Management LP,2019-10-02,NL0000289213,0.49,Wereldhave N.V.,archive
Sculptor Capital Management Europe Limited,2019-10-02,NL0000352565,2.22,Fugro N.V.,archive
Susquehanna International Securities Limited,2019-10-02,NL0000352565,0.5,Fugro N.V.,archive
Tower House Partners LLP,2019-10-02,NL0011821392,0.64,Signify N.V.,archive
Voleon Capital Management LP,2019-10-02,NL0000888691,0.62,AMG Critical Materials N.V.,archive
Voleon Capital Management LP,2019-10-02,NL0009739416,0.72,PostNL N.V.,archive
AHL Partners LLP,2019-10-01,NL0009739416,0.69,PostNL N.V.,archive
"AQR Capital Management, LLC",2019-10-01,BE0003818359,1.93,Galapagos NV,archive
"AQR Capital Management, LLC",2019-10-01,NL0000360618,2.42,SBM Offshore N.V.,archive
HBK Investments LP,2019-10-01,NL0000352565,1.7,Fugro N.V.,archive
Lone Pine Capital LLC,2019-10-01,NL0011821392,1.02,Signify N.V.,archive
Marshall Wace LLP,2019-10-01,NL0000352565,3.11,Fugro N.V.,archive
Marshall Wace LLP,2019-10-01,BE0003818359,0.81,Galapagos NV,archive
Marshall Wace LLP,2019-10-01,NL0009739416,1.7,PostNL N.V.,archive
"Public Equity Partners Management, L.P.",2019-10-01,NL0000888691,2.91,AMG Critical Materials N.V.,archive
Systematica Investments Limited,2019-10-01,NL0000352565,0.82,Fugro N.V.,archive
Voleon Capital Management LP,2019-10-01,NL0000352565,0.51,Fugro N.V.,archive
ENA Investment Capital LLP,2019-09-30,NL0011821392,0.73,Signify N.V.,archive
Lansdowne Partners (UK) LLP,2019-09-30,NL0006237562,2.72,ARCADIS N.V.,archive
Lone Pine Capital LLC,2019-09-30,NL0011821392,1.22,Signify N.V.,archive
Marshall Wace LLP,2019-09-30,NL0000352565,2.87,Fugro N.V.,archive
Marshall Wace LLP,2019-09-30,NL0000337319,2.32,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2019-09-30,NL0009739416,1.81,PostNL N.V.,archive
Millennium International Management LP,2019-09-30,NL0011821392,0.52,Signify N.V.,archive
"PDT Partners, LLC",2019-09-30,NL0009739416,0.65,PostNL N.V.,archive
Sculptor Capital Management Europe Limited,2019-09-30,NL0000352565,2.15,Fugro N.V.,archive
"WorldQuant, LLC",2019-09-30,NL0000352565,0.68,Fugro N.V.,archive
"AQR Capital Management, LLC",2019-09-27,NL0010558797,1.39,OCI N.V.,archive
HBK Investments LP,2019-09-27,NL0000352565,1.6,Fugro N.V.,archive
Marshall Wace LLP,2019-09-27,BE0003818359,0.7,Galapagos NV,archive
Marshall Wace LLP,2019-09-27,NL0000379121,0.5,Randstad N.V.,archive
Millennium International Management LP,2019-09-27,NL0000289213,0.57,Wereldhave N.V.,archive
Scopia Capital Management LP,2019-09-27,NL0012866412,3.39,BE Semiconductor Industries N.V.,archive
"WorldQuant, LLC",2019-09-27,NL0000888691,1.26,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",2019-09-27,NL0000352565,0.7,Fugro N.V.,archive
"AQR Capital Management, LLC",2019-09-26,NL0000009082,0.89,Koninklijke KPN N.V.,archive
"Arrowstreet Capital, Limited Partnership",2019-09-26,NL0000888691,1.64,AMG Critical Materials N.V.,archive
ENA Investment Capital LLP,2019-09-26,NL0011821392,0.58,Signify N.V.,archive
Marshall Wace LLP,2019-09-26,NL0000888691,0.89,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2019-09-26,LU0569974404,0.81,Aperam S.A.,archive
Marshall Wace LLP,2019-09-26,NL0000352565,2.72,Fugro N.V.,archive
Marshall Wace LLP,2019-09-26,NL0000337319,2.24,Koninklijke BAM Groep N.V.,archive
"PDT Partners, LLC",2019-09-26,NL0000888691,0.78,AMG Critical Materials N.V.,archive
BlackRock Investment Management (UK) Limited,2019-09-25,NL0011821392,1.83,Signify N.V.,archive
Citadel Advisors II LLC,2019-09-25,NL0000337319,0.45,Koninklijke BAM Groep N.V.,archive
ENA Investment Capital LLP,2019-09-25,NL0011821392,0.64,Signify N.V.,archive
Jupiter Investment Management Limited,2019-09-25,NL0012866412,0.79,BE Semiconductor Industries N.V.,archive
Lansdowne Partners (UK) LLP,2019-09-25,NL0006237562,2.62,ARCADIS N.V.,archive
Marshall Wace LLP,2019-09-25,NL0000888691,0.92,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2019-09-25,NL0012866412,0.79,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-09-25,NL0000352565,2.67,Fugro N.V.,archive
Marshall Wace LLP,2019-09-25,NL0000337319,2.19,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2019-09-25,NL0013332471,0.63,TomTom N.V.,archive
Marshall Wace LLP,2019-09-25,NL0000289213,0.99,Wereldhave N.V.,archive
"PDT Partners, LLC",2019-09-25,NL0009739416,0.7,PostNL N.V.,archive
Scopia Capital Management LP,2019-09-25,NL0012866412,3.46,BE Semiconductor Industries N.V.,archive
Voleon Capital Management LP,2019-09-25,NL0009739416,0.61,PostNL N.V.,archive
"WorldQuant, LLC",2019-09-25,NL0000888691,1.11,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",2019-09-24,NL0012969182,0.52,Adyen N.V.,archive
"Arrowstreet Capital, Limited Partnership",2019-09-24,NL0000888691,1.54,AMG Critical Materials N.V.,archive
Capital Fund Management S.A.,2019-09-24,NL0009739416,0.79,PostNL N.V.,archive
Clearance Capital Limited,2019-09-24,NL0000288876,0.5,Eurocommercial Properties N.V.,archive
HBK Investments LP,2019-09-24,NL0000352565,1.52,Fugro N.V.,archive
Marshall Wace LLP,2019-09-24,NL0000888691,0.89,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2019-09-24,LU0569974404,0.74,Aperam S.A.,archive
Marshall Wace LLP,2019-09-24,BE0003818359,0.6,Galapagos NV,archive
Marshall Wace LLP,2019-09-24,NL0009739416,2.19,PostNL N.V.,archive
Marshall Wace LLP,2019-09-24,NL0013332471,0.59,TomTom N.V.,archive
"WorldQuant, LLC",2019-09-24,NL0000352565,0.68,Fugro N.V.,archive
HBK Investments LP,2019-09-23,NL0000352565,1.46,Fugro N.V.,archive
Marshall Wace LLP,2019-09-23,NL0000352565,2.51,Fugro N.V.,archive
Millennium International Management LP,2019-09-23,NL0011821392,0.36,Signify N.V.,archive
Sculptor Capital Management Europe Limited,2019-09-23,NL0000352565,2.01,Fugro N.V.,archive
"WorldQuant, LLC",2019-09-23,NL0000888691,1.04,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",2019-09-20,BE0003818359,1.89,Galapagos NV,archive
"AQR Capital Management, LLC",2019-09-20,NL0009432491,1.69,Koninklijke Vopak N.V.,archive
"BlackRock Institutional Trust Company, National Association",2019-09-20,NL0000352565,0.54,Fugro N.V.,archive
Citadel Europe LLP,2019-09-20,NL0012866412,0.7,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-09-20,NL0006237562,2.39,ARCADIS N.V.,archive
Marshall Wace LLP,2019-09-20,NL0012866412,0.88,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-09-20,NL0000352565,2.42,Fugro N.V.,archive
Marshall Wace LLP,2019-09-20,NL0000337319,2.01,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2019-09-20,NL0011821392,0.24,Signify N.V.,archive
Millennium Capital Partners LLP,2019-09-20,NL0011821392,0.39,Signify N.V.,archive
Millennium International Management LP,2019-09-20,NL0011821392,0.5,Signify N.V.,archive
Millennium International Management LP,2019-09-20,FR0013326246,0.0,Unibail-Rodamco-Westfield SE,archive
"PDT Partners, LLC",2019-09-20,NL0010391025,0.5,Pharming Group N.V.,archive
Tybourne Capital Management (HK) Limited,2019-09-20,NL0011821392,1.65,Signify N.V.,archive
"WorldQuant, LLC",2019-09-20,NL0000888691,0.96,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",2019-09-19,NL0009432491,1.7,Koninklijke Vopak N.V.,archive
"AQR Capital Management, LLC",2019-09-19,NL0000360618,2.33,SBM Offshore N.V.,archive
Bodenholm Capital AB,2019-09-19,NL0006237562,0.05,ARCADIS N.V.,archive
Jupiter Investment Management Limited,2019-09-19,NL0012866412,0.89,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-09-19,NL0006237562,2.4,ARCADIS N.V.,archive
Millennium Capital Partners LLP,2019-09-19,NL0011821392,0.71,Signify N.V.,archive
"WorldQuant, LLC",2019-09-19,NL0000888691,1.0,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",2019-09-19,NL0009269109,0.49,Koninklijke Heijmans N.V.,archive
"AQR Capital Management, LLC",2019-09-18,BE0003818359,1.9,Galapagos NV,archive
"AQR Capital Management, LLC",2019-09-18,NL0009432491,1.69,Koninklijke Vopak N.V.,archive
"Arrowstreet Capital, Limited Partnership",2019-09-18,NL0000888691,1.48,AMG Critical Materials N.V.,archive
Bodenholm Capital AB,2019-09-18,NL0006237562,0.58,ARCADIS N.V.,archive
Citadel Advisors II LLC,2019-09-18,NL0000337319,0.58,Koninklijke BAM Groep N.V.,archive
HBK Investments LP,2019-09-18,NL0000352565,1.31,Fugro N.V.,archive
Marshall Wace LLP,2019-09-18,LU0569974404,0.6,Aperam S.A.,archive
Marshall Wace LLP,2019-09-18,NL0012866412,0.96,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-09-18,NL0011821392,0.58,Signify N.V.,archive
Millennium International Management LP,2019-09-18,NL0000289213,0.69,Wereldhave N.V.,archive
Systematica Investments Limited,2019-09-18,NL0000352565,0.79,Fugro N.V.,archive
Voleon Capital Management LP,2019-09-18,NL0009739416,0.5,PostNL N.V.,archive
Bodenholm Capital AB,2019-09-17,NL0006237562,0.79,ARCADIS N.V.,archive
Citadel Europe LLP,2019-09-17,NL0000352565,0.69,Fugro N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",2019-09-17,NL0000352565,0.69,Fugro N.V.,archive
Marshall Wace LLP,2019-09-17,NL0000888691,0.99,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2019-09-17,NL0012866412,1.02,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-09-17,NL0000352565,2.37,Fugro N.V.,archive
Sculptor Capital Management Europe Limited,2019-09-17,NL0000352565,1.9,Fugro N.V.,archive
"AQR Capital Management, LLC",2019-09-16,NL0000009082,0.98,Koninklijke KPN N.V.,archive
"AQR Capital Management, LLC",2019-09-16,NL0000360618,2.21,SBM Offshore N.V.,archive
Capital Fund Management S.A.,2019-09-16,NL0009739416,0.89,PostNL N.V.,archive
Marshall Wace LLP,2019-09-16,NL0006237562,2.59,ARCADIS N.V.,archive
Marshall Wace LLP,2019-09-16,NL0012866412,1.11,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-09-16,NL0000352565,2.45,Fugro N.V.,archive
Sculptor Capital Management Europe Limited,2019-09-16,NL0000352565,1.89,Fugro N.V.,archive
"WorldQuant, LLC",2019-09-16,NL0009269109,0.57,Koninklijke Heijmans N.V.,archive
AHL Partners LLP,2019-09-13,NL0000888691,0.45,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",2019-09-13,NL0009432491,1.7,Koninklijke Vopak N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",2019-09-13,NL0000888691,1.48,AMG Critical Materials N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",2019-09-13,NL0009739416,0.49,PostNL N.V.,archive
HBK Investments LP,2019-09-13,NL0000352565,1.25,Fugro N.V.,archive
Marshall Wace LLP,2019-09-13,NL0000888691,1.09,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2019-09-13,NL0013332471,0.69,TomTom N.V.,archive
"Public Equity Partners Management, L.P.",2019-09-13,NL0000888691,2.88,AMG Critical Materials N.V.,archive
Systematica Investments Limited,2019-09-13,NL0009739416,0.49,PostNL N.V.,archive
Voleon Capital Management LP,2019-09-13,NL0000888691,0.5,AMG Critical Materials N.V.,archive
AHL Partners LLP,2019-09-12,NL0000888691,0.51,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",2019-09-12,BE0003818359,1.84,Galapagos NV,archive
"AQR Capital Management, LLC",2019-09-12,NL0000009082,1.0,Koninklijke KPN N.V.,archive
"AQR Capital Management, LLC",2019-09-12,NL0000360618,2.19,SBM Offshore N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",2019-09-12,NL0000352565,0.76,Fugro N.V.,archive
JPMorgan Asset Management (UK) Ltd.,2019-09-12,NL0000852531,0.6,Kendrion N.V.,archive
Jupiter Investment Management Limited,2019-09-12,NL0012866412,0.98,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-09-12,NL0012866412,1.29,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-09-12,NL0000352565,2.59,Fugro N.V.,archive
Marshall Wace LLP,2019-09-12,NL0009739416,2.27,PostNL N.V.,archive
Marshall Wace LLP,2019-09-12,NL0013332471,0.7,TomTom N.V.,archive
Millennium International Management LP,2019-09-12,NL0000289213,0.75,Wereldhave N.V.,archive
"PDT Partners, LLC",2019-09-12,NL0000888691,0.8,AMG Critical Materials N.V.,archive
"Public Equity Partners Management, L.P.",2019-09-12,NL0000888691,2.74,AMG Critical Materials N.V.,archive
"Tenor Capital Management Company, L.P.",2019-09-12,NL0012866412,0.5,BE Semiconductor Industries N.V.,archive
"WorldQuant, LLC",2019-09-12,NL0000352565,0.79,Fugro N.V.,archive
"WorldQuant, LLC",2019-09-12,NL0000337319,0.44,Koninklijke BAM Groep N.V.,archive
AHL Partners LLP,2019-09-11,NL0000888691,0.64,AMG Critical Materials N.V.,archive
AHL Partners LLP,2019-09-11,NL0009739416,0.78,PostNL N.V.,archive
"Arrowstreet Capital, Limited Partnership",2019-09-11,NL0000888691,1.56,AMG Critical Materials N.V.,archive
Boldhaven Management LLP,2019-09-11,NL0000337319,0.52,Koninklijke BAM Groep N.V.,archive
Capital Fund Management S.A.,2019-09-11,NL0009739416,0.97,PostNL N.V.,archive
Clearance Capital Limited,2019-09-11,NL0000288876,0.66,Eurocommercial Properties N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",2019-09-11,NL0009739416,0.55,PostNL N.V.,archive
"Davidson Kempner European Partners, LLP",2019-09-11,NL0012866412,1.33,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-09-11,NL0000888691,1.15,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2019-09-11,LU0569974404,0.59,Aperam S.A.,archive
Marshall Wace LLP,2019-09-11,NL0012866412,1.38,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-09-11,NL0000352565,2.68,Fugro N.V.,archive
Marshall Wace LLP,2019-09-11,NL0009739416,2.31,PostNL N.V.,archive
Marshall Wace LLP,2019-09-11,NL0011821392,0.68,Signify N.V.,archive
Marshall Wace LLP,2019-09-11,NL0000289213,1.08,Wereldhave N.V.,archive
Millennium Capital Partners LLP,2019-09-11,NL0011821392,0.65,Signify N.V.,archive
Millennium International Management LP,2019-09-11,NL0000289213,0.81,Wereldhave N.V.,archive
"Public Equity Partners Management, L.P.",2019-09-11,NL0000888691,2.54,AMG Critical Materials N.V.,archive
Sculptor Capital Management Europe Limited,2019-09-11,NL0000352565,1.96,Fugro N.V.,archive
Wellington Management Company LLP,2019-09-11,NL0000289213,0.63,Wereldhave N.V.,archive
AHL Partners LLP,2019-09-10,NL0000888691,0.78,AMG Critical Materials N.V.,archive
"BlackRock Institutional Trust Company, National Association",2019-09-10,NL0000352565,0.49,Fugro N.V.,archive
Citadel Advisors II LLC,2019-09-10,NL0000337319,0.49,Koninklijke BAM Groep N.V.,archive
"D. E. Shaw & Co., L.P.",2019-09-10,BE0003818359,0.98,Galapagos NV,archive
"D. E. Shaw & Co., L.P.",2019-09-10,NL0000289213,0.56,Wereldhave N.V.,archive
JPMorgan Asset Management (UK) Ltd.,2019-09-10,NL0000852531,0.57,Kendrion N.V.,archive
Marshall Wace LLP,2019-09-10,NL0012866412,1.46,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-09-10,NL0000352565,2.76,Fugro N.V.,archive
Marshall Wace LLP,2019-09-10,NL0000337319,1.8,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2019-09-10,NL0009739416,2.41,PostNL N.V.,archive
Marshall Wace LLP,2019-09-10,NL0000289213,1.18,Wereldhave N.V.,archive
Millennium International Management LP,2019-09-10,NL0011821392,1.08,Signify N.V.,archive
Millennium International Management LP,2019-09-10,FR0013326246,0.82,Unibail-Rodamco-Westfield SE,archive
Millennium International Management LP,2019-09-10,NL0000289213,0.98,Wereldhave N.V.,archive
"WorldQuant, LLC",2019-09-10,NL0000888691,0.97,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",2019-09-10,NL0000337319,0.58,Koninklijke BAM Groep N.V.,archive
AHL Partners LLP,2019-09-09,NL0000888691,0.94,AMG Critical Materials N.V.,archive
AHL Partners LLP,2019-09-09,NL0009739416,0.86,PostNL N.V.,archive
AKO Capital LLP,2019-09-09,NL0000337319,1.49,Koninklijke BAM Groep N.V.,archive
Citadel Advisors LLC,2019-09-09,BE0003818359,0.8,Galapagos NV,archive
"D. E. Shaw & Co., L.P.",2019-09-09,NL0000888691,0.48,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2019-09-09,NL0000888691,1.02,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2019-09-09,LU0569974404,0.61,Aperam S.A.,archive
Marshall Wace LLP,2019-09-09,NL0011279492,0.47,Flow Traders Ltd.,archive
Marshall Wace LLP,2019-09-09,NL0009739416,2.58,PostNL N.V.,archive
Millennium Capital Partners LLP,2019-09-09,NL0011821392,0.72,Signify N.V.,archive
Millennium International Management LP,2019-09-09,FR0013326246,0.72,Unibail-Rodamco-Westfield SE,archive
"WorldQuant, LLC",2019-09-09,NL0009269109,0.62,Koninklijke Heijmans N.V.,archive
AHL Partners LLP,2019-09-06,NL0000888691,1.03,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",2019-09-06,BE0003818359,1.7,Galapagos NV,archive
B&G Master Fund Plc,2019-09-06,NL0000352565,0.88,Fugro N.V.,archive
"BlackRock Institutional Trust Company, National Association",2019-09-06,NL0000352565,0.54,Fugro N.V.,archive
Lancaster Investment Management LLP,2019-09-06,NL0000337319,1.25,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2019-09-06,NL0012866412,1.58,BE Semiconductor Industries N.V.,archive
Marshall Wace LLP,2019-09-06,NL0000352565,2.87,Fugro N.V.,archive
Marshall Wace LLP,2019-09-06,NL0000337319,1.72,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2019-09-06,NL0009739416,2.67,PostNL N.V.,archive
Marshall Wace LLP,2019-09-06,NL0013332471,0.65,TomTom N.V.,archive
Marshall Wace LLP,2019-09-06,NL0000289213,1.25,Wereldhave N.V.,archive
Millennium International Management LP,2019-09-06,FR0013326246,0.62,Unibail-Rodamco-Westfield SE,archive
Millennium International Management LP,2019-09-06,NL0000289213,1.08,Wereldhave N.V.,archive
Voleon Capital Management LP,2019-09-06,NL0000888691,0.49,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",2019-09-06,NL0000337319,0.67,Koninklijke BAM Groep N.V.,archive
AHL Partners LLP,2019-09-05,NL0000888691,1.2,AMG Critical Materials N.V.,archive
Capital Fund Management S.A.,2019-09-05,NL0009739416,1.08,PostNL N.V.,archive
"Connor, Clark & Lunn Investment Management Ltd.",2019-09-05,NL0009739416,0.69,PostNL N.V.,archive
HBK Investments LP,2019-09-05,NL0000352565,1.33,Fugro N.V.,archive
Jupiter Investment Management Limited,2019-09-05,NL0012866412,1.09,BE Semiconductor Industries N.V.,archive
Lancaster Investment Management LLP,2019-09-05,NL0000337319,1.09,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2019-09-05,NL0000888691,0.94,AMG Critical Materials N.V.,archive
Marshall Wace LLP,2019-09-05,NL0011279492,0.55,Flow Traders Ltd.,archive
Marshall Wace LLP,2019-09-05,NL0000352565,2.96,Fugro N.V.,archive
Marshall Wace LLP,2019-09-05,NL0000337319,1.59,Koninklijke BAM Groep N.V.,archive
Marshall Wace LLP,2019-09-05,NL0009739416,2.79,PostNL N.V.,archive
Marshall Wace LLP,2019-09-05,NL0000289213,1.32,Wereldhave N.V.,archive
Millennium International Management LP,2019-09-05,FR0013326246,0.53,Unibail-Rodamco-Westfield SE,archive
Millennium International Management LP,2019-09-05,NL0000289213,1.13,Wereldhave N.V.,archive
"WorldQuant, LLC",2019-09-05,NL0000888691,1.04,AMG Critical Materials N.V.,archive
"WorldQuant, LLC",2019-09-05,NL0009269109,0.54,Koninklijke Heijmans N.V.,archive
AHL Partners LLP,2019-09-04,NL0000888691,1.4,AMG Critical Materials N.V.,archive
AHL Partners LLP,2019-09-04,NL0009739416,0.97,PostNL N.V.,archive
"BlackRock Institutional Trust Company, National Association",2019-09-04,NL0000352565,0.64,Fugro N.V.,archive
Citadel Advisors II LLC,2019-09-04,NL0000337319,0.59,Koninklijke BAM Groep N.V.,archive
"D. E. Shaw & Co., L.P.",2019-09-04,BE0003818359,1.0,Galapagos NV,archive
HBK Investments LP,2019-09-04,NL0000352565,1.4,Fugro N.V.,archive
Marshall Wace LLP,2019-09-04,NL0012866412,1.66,BE Semiconductor Industries N.V.,archive
Sculptor Capital Management Europe Limited,2019-09-04,NL0000352565,2.09,Fugro N.V.,archive
AHL Partners LLP,2019-09-03,NL0000888691,1.58,AMG Critical Materials N.V.,archive
"AQR Capital Management, LLC",2019-09-03,NL0000360618,2.2,SBM Offshore N.V.,archive
Citadel Advisors LLC,2019-09-03,BE0003818359,0.71,Galapagos NV,archive
HBK Investments LP,2019-09-03,NL0000352565,1.51,Fugro N.V.,archive
