position_holder,position_date,isin,net_short_position,issuer_name,source
Eleva Capital SAS,2026-04-02,NL0011872650,0.62,Basic-Fit N.V.,current
Marshall Wace LLP,2026-04-02,NL0000379121,0.78,Randstad N.V.,current
"AQR Capital Management, LLC",2026-04-01,LU1598757687,0.61,ArcelorMittal S.A.,current
"AQR Capital Management, LLC",2026-04-01,NL0011821392,1.1,Signify N.V.,current
"Arrowstreet Capital, Limited Partnership",2026-04-01,NL0010801007,1.21,IMCD N.V.,current
Canada Pension Plan Investment Board,2026-04-01,NL0011821392,0.74,Signify N.V.,current
Citadel Advisors LLC,2026-04-01,NL0011821392,2.36,Signify N.V.,current
"D. E. Shaw & Co., L.P.",2026-04-01,NL0006237562,0.69,ARCADIS N.V.,current
Eleva Capital SAS,2026-04-01,NL0011872650,0.5,Basic-Fit N.V.,current
Marshall Wace LLP,2026-04-01,NL0011821392,1.79,Signify N.V.,current
"WorldQuant, LLC",2026-04-01,NL0012817175,2.86,Alfen N.V.,current
Capital Fund Management S.A.,2026-03-31,NL0010801007,0.62,IMCD N.V.,current
Citadel Advisors LLC,2026-03-31,NL0011821392,2.4,Signify N.V.,current
"D. E. Shaw & Co., L.P.",2026-03-31,NL0012817175,1.09,Alfen N.V.,current
Eleva Capital SAS,2026-03-31,NL0011821392,1.21,Signify N.V.,current
Qube Research & Technologies Ltd.,2026-03-31,JE00BRX98089,0.9,CVC Capital Partners plc,current
"AQR Capital Management, LLC",2026-03-30,NL0012969182,0.9,Adyen N.V.,current
Eleva Capital SAS,2026-03-30,NL0011821392,1.05,Signify N.V.,current
GLG Partners LP,2026-03-30,NL0015002MS2,0.64,The Magnum Ice Cream Company N.V.,current
Ilex Capital Partners (UK) LLP,2026-03-30,CH1216478797,0.91,DSM-Firmenich AG,current
Marshall Wace LLP,2026-03-30,NL0011821392,1.87,Signify N.V.,current
Marshall Wace LLP,2026-03-30,NL0015002MS2,1.59,The Magnum Ice Cream Company N.V.,current
Numeric Investors LLC,2026-03-30,NL0012365084,0.61,NSI N.V.,current
Squarepoint Ops LLC,2026-03-30,NL0006237562,0.99,ARCADIS N.V.,current
"Two Sigma Investments, LP",2026-03-30,CY0200751713,0.7,Theon International Plc,current
"AQR Capital Management, LLC",2026-03-27,NL0006237562,0.9,ARCADIS N.V.,current
"Arrowstreet Capital, Limited Partnership",2026-03-27,NL0010801007,1.12,IMCD N.V.,current
"BlackRock Financial Management, Inc.",2026-03-27,NL0010801007,1.09,IMCD N.V.,current
Capital Fund Management S.A.,2026-03-27,NL0010801007,0.51,IMCD N.V.,current
"D. E. Shaw & Co., L.P.",2026-03-27,NL0006237562,0.7,ARCADIS N.V.,current
"D. E. Shaw & Co., L.P.",2026-03-27,NL0010391025,0.59,Pharming Group N.V.,current
GLG Partners LP,2026-03-27,NL0015002MS2,0.59,The Magnum Ice Cream Company N.V.,current
Marshall Wace LLP,2026-03-27,NL0000379121,0.86,Randstad N.V.,current
"D. E. Shaw & Co., L.P.",2026-03-26,NL0006237562,0.69,ARCADIS N.V.,current
Marshall Wace LLP,2026-03-26,NL0011821392,1.96,Signify N.V.,current
Qube Research & Technologies Ltd.,2026-03-26,CY0200751713,1.14,Theon International Plc,current
"Two Sigma Investments, LP",2026-03-26,LU2290522684,1.5,InPost S.A.,current
Voleon Capital Management LP,2026-03-26,NL0010801007,0.5,IMCD N.V.,current
"WorldQuant, LLC",2026-03-26,NL0012817175,2.92,Alfen N.V.,current
"WorldQuant, LLC",2026-03-26,NL0010801007,0.71,IMCD N.V.,current
"AQR Capital Management, LLC",2026-03-25,NL0012969182,0.8,Adyen N.V.,current
"AQR Capital Management, LLC",2026-03-25,JE00BRX98089,0.5,CVC Capital Partners plc,current
GLG Partners LP,2026-03-25,NL0015002MS2,0.6,The Magnum Ice Cream Company N.V.,current
Ilex Capital Partners (UK) LLP,2026-03-25,CH1216478797,0.82,DSM-Firmenich AG,current
Millennium Capital (DIFC) Limited,2026-03-25,NL0011821392,0.81,Signify N.V.,current
JPMorgan Asset Management (UK) Ltd.,2026-03-24,NL0010801007,0.56,IMCD N.V.,current
Lazard Asset Management LLC,2026-03-24,NL0010391025,1.14,Pharming Group N.V.,current
Marshall Wace LLP,2026-03-24,NL0000379121,0.91,Randstad N.V.,current
Marshall Wace LLP,2026-03-24,NL0011821392,2.0,Signify N.V.,current
Marshall Wace LLP,2026-03-24,NL0015002MS2,1.6,The Magnum Ice Cream Company N.V.,current
Millennium Capital (DIFC) Limited,2026-03-24,NL0011821392,0.79,Signify N.V.,current
"PDT Partners, LLC",2026-03-24,NL0010801007,0.9,IMCD N.V.,current
Qube Research & Technologies Ltd.,2026-03-24,JE00BRX98089,0.81,CVC Capital Partners plc,current
"Two Sigma Investments, LP",2026-03-24,LU2290522684,1.44,InPost S.A.,current
"Two Sigma Investments, LP",2026-03-24,CY0200751713,0.6,Theon International Plc,current
Voleon Capital Management LP,2026-03-24,NL0012817175,2.0,Alfen N.V.,current
Actus Ray Partners Limited,2026-03-23,NL0015000GX8,0.62,Envipco Holding N.V.,current
"AQR Capital Management, LLC",2026-03-23,NL0012969182,0.72,Adyen N.V.,current
"Arrowstreet Capital, Limited Partnership",2026-03-23,NL0010801007,1.01,IMCD N.V.,current
"BlackRock Financial Management, Inc.",2026-03-23,NL0011821392,0.6,Signify N.V.,current
Citadel Advisors Europe Limited,2026-03-23,NL0011821392,1.19,Signify N.V.,current
Citadel Advisors LLC,2026-03-23,NL0011821392,2.3,Signify N.V.,current
"D. E. Shaw & Co., L.P.",2026-03-23,NL0012817175,1.18,Alfen N.V.,current
"D. E. Shaw & Co., L.P.",2026-03-23,NL0009739416,0.69,PostNL N.V.,current
