position_holder,isin,issuer_name,net_short_position,position_date,source
"D. E. Shaw & Co., L.P.",NL0009739416,PostNL N.V.,0.7,2026-05-05,current
JPMorgan Asset Management (UK) Ltd.,NL0013332471,TomTom N.V.,1.09,2026-05-05,current
Marshall Wace LLP,NL0011821392,Signify N.V.,1.76,2026-05-05,current
Sculptor Capital Management Europe Limited,NL0011872650,Basic-Fit N.V.,0.65,2026-05-05,current
Capital Fund Management S.A.,NL0010801007,IMCD N.V.,0.81,2026-05-04,current
Citadel Advisors Europe Limited,NL0011821392,Signify N.V.,0.7,2026-05-04,current
"D. E. Shaw & Co., L.P.",NL0009739416,PostNL N.V.,0.69,2026-05-04,current
Davidson Kempner Capital Management LP,NL0013267909,Akzo Nobel N.V.,1.61,2026-05-04,current
Walleye Capital LLC,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.67,2026-05-04,current
Citadel Advisors Europe Limited,NL0011821392,Signify N.V.,0.55,2026-04-30,current
"D. E. Shaw & Co., L.P.",NL0006237562,ARCADIS N.V.,0.57,2026-04-30,current
"D. E. Shaw & Co., L.P.",NL0009739416,PostNL N.V.,0.7,2026-04-30,current
Jupiter Asset Management Ltd.,NL0010391025,Pharming Group N.V.,0.5,2026-04-30,current
Marshall Wace LLP,NL0009739416,PostNL N.V.,0.89,2026-04-30,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.86,2026-04-30,current
"PDT Partners, LLC",NL0011821392,Signify N.V.,0.89,2026-04-30,current
Qube Research & Technologies Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.6,2026-04-30,current
Sculptor Capital Management Europe Limited,NL0011872650,Basic-Fit N.V.,0.59,2026-04-30,current
Squarepoint Ops LLC,NL0012817175,Alfen N.V.,0.73,2026-04-30,current
White Creek Capital LLP,NL0006237562,ARCADIS N.V.,0.56,2026-04-30,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,0.83,2026-04-29,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,1.29,2026-04-29,current
Citadel Advisors LLC,NL0000817179,Sligro Food Group N.V.,0.9,2026-04-29,current
"D. E. Shaw & Co., L.P.",NL0000395903,Wolters Kluwer N.V.,0.79,2026-04-29,current
Marshall Wace LLP,JE00BRX98089,CVC Capital Partners plc,0.71,2026-04-29,current
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.74,2026-04-29,current
Marshall Wace LLP,NL0009739416,PostNL N.V.,0.9,2026-04-29,current
"PDT Partners, LLC",NL0011821392,Signify N.V.,0.9,2026-04-29,current
Walleye Capital LLC,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.7,2026-04-29,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,0.75,2026-04-28,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,1.32,2026-04-28,current
JPMorgan Asset Management (UK) Ltd.,NL0013332471,TomTom N.V.,1.17,2026-04-28,current
Marshall Wace LLP,NL0011821392,Signify N.V.,1.8,2026-04-28,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.98,2026-04-28,current
Squarepoint Ops LLC,NL0012817175,Alfen N.V.,0.62,2026-04-28,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,1.27,2026-04-27,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,1.43,2026-04-27,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,1.3,2026-04-27,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,2.15,2026-04-27,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,2.06,2026-04-24,current
Linden Advisors LP,NL0011872650,Basic-Fit N.V.,0.82,2026-04-24,current
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.61,2026-04-24,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,1.04,2026-04-24,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,1.68,2026-04-23,current
Citadel Advisors LLC,NL0000817179,Sligro Food Group N.V.,0.8,2026-04-23,current
Eleva Capital SAS,NL0011872650,Basic-Fit N.V.,0.84,2026-04-23,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,1.11,2026-04-23,current
Squarepoint Ops LLC,NL0012817175,Alfen N.V.,0.5,2026-04-23,current
Capstone Volatility Master (Cayman) Limited,NL0010391025,Pharming Group N.V.,0.77,2026-04-22,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,0.62,2026-04-22,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,1.71,2026-04-22,current
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,0.68,2026-04-22,current
Davidson Kempner Capital Management LP,NL0013267909,Akzo Nobel N.V.,1.55,2026-04-22,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,1.73,2026-04-22,current
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.56,2026-04-22,current
Marshall Wace LLP,NL0011821392,Signify N.V.,1.76,2026-04-22,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,1.09,2026-04-22,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,1.3,2026-04-21,current
