position_holder,isin,issuer_name,net_short_position,position_date,source
"WorldQuant, LLC",NL0000337319,Koninklijke BAM Groep N.V.,1.74,2020-05-14,archive
B&G Master Fund Plc,LU1598757687,ArcelorMittal S.A.,1.21,2020-05-13,archive
Citadel Advisors LLC,NL0000337319,Koninklijke BAM Groep N.V.,1.35,2020-05-13,archive
GSA Capital Partners LLP,NL0000352565,Fugro N.V.,0.62,2020-05-13,archive
JPMorgan Asset Management (UK) Ltd.,NL0011872650,Basic-Fit N.V.,0.56,2020-05-13,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,0.61,2020-05-13,archive
Marshall Wace LLP,NL0011279492,Flow Traders Ltd.,1.66,2020-05-13,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,3.18,2020-05-13,archive
Marshall Wace LLP,BE0003818359,Galapagos NV,0.68,2020-05-13,archive
Marshall Wace LLP,FR0013326246,Unibail-Rodamco-Westfield SE,0.7,2020-05-13,archive
Scopia Capital Management LP,NL0012866412,BE Semiconductor Industries N.V.,1.12,2020-05-13,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2.75,2020-05-13,archive
Susquehanna International Securities Limited,NL0000888691,AMG Critical Materials N.V.,0.4,2020-05-13,archive
Susquehanna International Securities Limited,NL0009269109,Koninklijke Heijmans N.V.,0.51,2020-05-13,archive
Systematica Investments Limited,NL0000888691,AMG Critical Materials N.V.,0.9,2020-05-13,archive
Toscafund Asset Management LLP,NL0000289213,Wereldhave N.V.,1.01,2020-05-13,archive
"WorldQuant, LLC",NL0000337319,Koninklijke BAM Groep N.V.,1.55,2020-05-13,archive
B&G Master Fund Plc,LU1598757687,ArcelorMittal S.A.,1.1,2020-05-12,archive
Citadel Advisors LLC,NL0000888691,AMG Critical Materials N.V.,0.9,2020-05-12,archive
Citadel Advisors LLC,NL0000337319,Koninklijke BAM Groep N.V.,1.22,2020-05-12,archive
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,0.52,2020-05-12,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,3.05,2020-05-12,archive
Sandbar Assets Management LLP,NL0011821392,Signify N.V.,0.9,2020-05-12,archive
Susquehanna International Securities Limited,NL0000888691,AMG Critical Materials N.V.,0.51,2020-05-12,archive
Voleon Capital Management LP,NL0011279492,Flow Traders Ltd.,0.99,2020-05-12,archive
Voleon Capital Management LP,NL0009739416,PostNL N.V.,0.79,2020-05-12,archive
"Woodson Capital Master Fund, LP",FR0013326246,Unibail-Rodamco-Westfield SE,0.8,2020-05-12,archive
Adage Capital Management L.P.,LU1598757687,ArcelorMittal S.A.,0.45,2020-05-11,archive
"Athanor Capital, LP",NL0000289213,Wereldhave N.V.,0.7,2020-05-11,archive
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,0.49,2020-05-11,archive
"D. E. Shaw & Co., L.P.",BE0003818359,Galapagos NV,0.89,2020-05-11,archive
GSA Capital Partners LLP,NL0000352565,Fugro N.V.,0.52,2020-05-11,archive
HBK Investments LP,NL0000352565,Fugro N.V.,0.5,2020-05-11,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,0.76,2020-05-11,archive
Marshall Wace LLP,FR0013326246,Unibail-Rodamco-Westfield SE,0.67,2020-05-11,archive
Scopia Capital Management LP,NL0012866412,BE Semiconductor Industries N.V.,1.01,2020-05-11,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2.87,2020-05-11,archive
"Woodson Capital Master Fund, LP",NL0000289213,Wereldhave N.V.,4.2,2020-05-11,archive
"WorldQuant, LLC",NL0000337319,Koninklijke BAM Groep N.V.,1.31,2020-05-11,archive
Canada Pension Plan Investment Board,NL0000888691,AMG Critical Materials N.V.,1.11,2020-05-08,archive
Citadel Advisors LLC,NL0000337319,Koninklijke BAM Groep N.V.,0.99,2020-05-08,archive
HBK Investments LP,NL0000352565,Fugro N.V.,0.97,2020-05-08,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,0.85,2020-05-08,archive
Marshall Wace LLP,NL0011279492,Flow Traders Ltd.,1.79,2020-05-08,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,2.97,2020-05-08,archive
Marshall Wace LLP,BE0003818359,Galapagos NV,0.71,2020-05-08,archive
Marshall Wace LLP,NL0000360618,SBM Offshore N.V.,1.5,2020-05-08,archive
Marshall Wace LLP,FR0013326246,Unibail-Rodamco-Westfield SE,0.59,2020-05-08,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2.91,2020-05-08,archive
Susquehanna International Securities Limited,NL0000888691,AMG Critical Materials N.V.,0.48,2020-05-08,archive
Verde Serviços Internacionais S.A.,NL0012866412,BE Semiconductor Industries N.V.,0.55,2020-05-08,archive
Voleon Capital Management LP,NL0011279492,Flow Traders Ltd.,1.09,2020-05-08,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,0.89,2020-05-08,archive
Adage Capital Management L.P.,LU1598757687,ArcelorMittal S.A.,0.74,2020-05-07,archive
BlueCrest Capital Management Limited,NL0000337319,Koninklijke BAM Groep N.V.,1.02,2020-05-07,archive
Bogle Investment Management LP,NL0000888691,AMG Critical Materials N.V.,0.59,2020-05-07,archive
Canada Pension Plan Investment Board,NL0000888691,AMG Critical Materials N.V.,0.76,2020-05-07,archive
Clearance Capital Limited,NL0000288876,Eurocommercial Properties N.V.,0.66,2020-05-07,archive
HBK Investments LP,NL0000352565,Fugro N.V.,1.44,2020-05-07,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,0.95,2020-05-07,archive
Marshall Wace LLP,FR0013326246,Unibail-Rodamco-Westfield SE,0.61,2020-05-07,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2.89,2020-05-07,archive
Whitebox Advisors LLC,NL0000352565,Fugro N.V.,1.39,2020-05-07,archive
Adage Capital Management L.P.,LU1598757687,ArcelorMittal S.A.,0.84,2020-05-06,archive
AKO Capital LLP,NL0006237562,ARCADIS N.V.,0.88,2020-05-06,archive
Canada Pension Plan Investment Board,NL0000888691,AMG Critical Materials N.V.,0.64,2020-05-06,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,1.04,2020-05-06,archive
Sandbar Assets Management LLP,NL0011821392,Signify N.V.,0.86,2020-05-06,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,3.06,2020-05-06,archive
Susquehanna International Securities Limited,NL0000888691,AMG Critical Materials N.V.,0.55,2020-05-06,archive
Voleon Capital Management LP,NL0009739416,PostNL N.V.,0.88,2020-05-06,archive
"Woodson Capital Master Fund, LP",FR0013326246,Unibail-Rodamco-Westfield SE,0.73,2020-05-06,archive
"Woodson Capital Master Fund, LP",NL0000289213,Wereldhave N.V.,4.11,2020-05-06,archive
Canada Pension Plan Investment Board,NL0000888691,AMG Critical Materials N.V.,0.52,2020-05-05,archive
Citadel Advisors LLC,NL0000337319,Koninklijke BAM Groep N.V.,1.07,2020-05-05,archive
HBK Investments LP,NL0000337319,Koninklijke BAM Groep N.V.,0.88,2020-05-05,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,3.12,2020-05-05,archive
Susquehanna International Securities Limited,NL0000888691,AMG Critical Materials N.V.,0.44,2020-05-05,archive
Voleon Capital Management LP,NL0009739416,PostNL N.V.,0.98,2020-05-05,archive
Whitebox Advisors LLC,NL0000352565,Fugro N.V.,1.44,2020-05-05,archive
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,0.54,2020-05-04,archive
HBK Investments LP,NL0000352565,Fugro N.V.,1.8,2020-05-04,archive
HBK Investments LP,NL0000337319,Koninklijke BAM Groep N.V.,0.9,2020-05-04,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,1.17,2020-05-04,archive
Marshall Wace LLP,NL0011279492,Flow Traders Ltd.,1.89,2020-05-04,archive
Renaissance Technologies LLC,NL0011872643,ASR Nederland N.V.,0.49,2020-05-04,archive
Susquehanna International Securities Limited,NL0000888691,AMG Critical Materials N.V.,0.51,2020-05-04,archive
Toscafund Asset Management LLP,NL0000289213,Wereldhave N.V.,0.95,2020-05-04,archive
Oceanwood Capital Management Limited,NL0006237562,ARCADIS N.V.,0.0,2020-05-01,archive
Oceanwood Capital Management LLP,NL0006237562,ARCADIS N.V.,0.6,2020-05-01,archive
Susquehanna International Securities Limited,NL0000888691,AMG Critical Materials N.V.,0.45,2020-05-01,archive
"AQR Capital Management, LLC",NL0009432491,Koninklijke Vopak N.V.,0.79,2020-04-30,archive
BlueCrest Capital Management Limited,NL0000337319,Koninklijke BAM Groep N.V.,0.98,2020-04-30,archive
Citadel Advisors LLC,NL0000337319,Koninklijke BAM Groep N.V.,1.16,2020-04-30,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,0.37,2020-04-30,archive
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,0.49,2020-04-30,archive
Clearance Capital Limited,NL0000288876,Eurocommercial Properties N.V.,0.77,2020-04-30,archive
CQS (UK) LLP,NL0012866412,BE Semiconductor Industries N.V.,0.76,2020-04-30,archive
HBK Investments LP,NL0000352565,Fugro N.V.,1.63,2020-04-30,archive
Linden Advisors LP,NL0010391025,Pharming Group N.V.,1.26,2020-04-30,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,1.22,2020-04-30,archive
Marshall Wace LLP,FR0013326246,Unibail-Rodamco-Westfield SE,0.5,2020-04-30,archive
Oceanwood Capital Management Limited,NL0006237562,ARCADIS N.V.,0.6,2020-04-30,archive
Renaissance Technologies LLC,NL0011872643,ASR Nederland N.V.,0.5,2020-04-30,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,3.23,2020-04-30,archive
Susquehanna International Securities Limited,NL0000888691,AMG Critical Materials N.V.,0.57,2020-04-30,archive
Systematica Investments Limited,NL0000888691,AMG Critical Materials N.V.,0.8,2020-04-30,archive
Voleon Capital Management LP,NL0011279492,Flow Traders Ltd.,1.19,2020-04-30,archive
Voleon Capital Management LP,NL0000352565,Fugro N.V.,0.48,2020-04-30,archive
"AQR Capital Management, LLC",LU1598757687,ArcelorMittal S.A.,0.69,2020-04-29,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,0.59,2020-04-29,archive
HBK Investments LP,NL0000352565,Fugro N.V.,1.55,2020-04-29,archive
HBK Investments LP,NL0000337319,Koninklijke BAM Groep N.V.,0.84,2020-04-29,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,3.01,2020-04-29,archive
Marshall Wace LLP,BE0003818359,Galapagos NV,0.69,2020-04-29,archive
Sandbar Assets Management LLP,NL0011821392,Signify N.V.,0.7,2020-04-29,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,3.18,2020-04-29,archive
"BlackRock Institutional Trust Company, National Association",NL0010558797,OCI N.V.,0.49,2020-04-28,archive
Citadel Advisors LLC,NL0000888691,AMG Critical Materials N.V.,0.82,2020-04-28,archive
Citadel Advisors LLC,NL0000337319,Koninklijke BAM Groep N.V.,1.25,2020-04-28,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,0.67,2020-04-28,archive
Citadel Advisors LLC,NL0009739416,PostNL N.V.,0.42,2020-04-28,archive
CQS (UK) LLP,NL0012866412,BE Semiconductor Industries N.V.,0.68,2020-04-28,archive
GLG Partners LP,NL0000289213,Wereldhave N.V.,0.47,2020-04-28,archive
HBK Investments LP,NL0000352565,Fugro N.V.,1.6,2020-04-28,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,1.38,2020-04-28,archive
Voleon Capital Management LP,NL0011279492,Flow Traders Ltd.,1.26,2020-04-28,archive
Voleon Capital Management LP,NL0009739416,PostNL N.V.,1.0,2020-04-28,archive
Whitebox Advisors LLC,NL0000352565,Fugro N.V.,1.34,2020-04-28,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,0.93,2020-04-28,archive
"AQR Capital Management, LLC",NL0000360618,SBM Offshore N.V.,2.69,2020-04-27,archive
Citadel Advisors LLC,NL0000337319,Koninklijke BAM Groep N.V.,1.31,2020-04-27,archive
HBK Investments LP,NL0000352565,Fugro N.V.,1.58,2020-04-27,archive
Marshall Wace LLP,NL0011279492,Flow Traders Ltd.,1.98,2020-04-27,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,2.98,2020-04-27,archive
Marshall Wace LLP,NL0000360618,SBM Offshore N.V.,1.47,2020-04-27,archive
The Mangrove Partners Master Fund Limited,NL0000352565,Fugro N.V.,0.77,2020-04-27,archive
Voleon Capital Management LP,NL0000888691,AMG Critical Materials N.V.,0.48,2020-04-27,archive
Voleon Capital Management LP,NL0011279492,Flow Traders Ltd.,1.35,2020-04-27,archive
BlackRock Investment Management (UK) Limited,NL0011821392,Signify N.V.,0.39,2020-04-24,archive
Citadel Advisors LLC,NL0000888691,AMG Critical Materials N.V.,0.74,2020-04-24,archive
HBK Investments LP,NL0000352565,Fugro N.V.,1.41,2020-04-24,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,1.46,2020-04-24,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,2.89,2020-04-24,archive
Oceanwood Capital Management Limited,NL0006237562,ARCADIS N.V.,0.5,2020-04-24,archive
Voleon Capital Management LP,NL0000888691,AMG Critical Materials N.V.,0.56,2020-04-24,archive
Voleon Capital Management LP,NL0011279492,Flow Traders Ltd.,1.44,2020-04-24,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,0.83,2020-04-24,archive
"WorldQuant, LLC",NL0000337319,Koninklijke BAM Groep N.V.,1.29,2020-04-24,archive
Adage Capital Management L.P.,LU1598757687,ArcelorMittal S.A.,0.91,2020-04-23,archive
Citadel Advisors LLC,NL0009739416,PostNL N.V.,0.57,2020-04-23,archive
GLG Partners LP,NL0000289213,Wereldhave N.V.,0.54,2020-04-23,archive
HBK Investments LP,NL0000352565,Fugro N.V.,1.39,2020-04-23,archive
HBK Investments LP,NL0000337319,Koninklijke BAM Groep N.V.,0.93,2020-04-23,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,2.34,2020-04-23,archive
Sandbar Assets Management LLP,NL0011821392,Signify N.V.,0.84,2020-04-23,archive
AKO Capital LLP,NL0000337319,Koninklijke BAM Groep N.V.,0.45,2020-04-22,archive
"Atalan Capital Partners, LP",NL0011821392,Signify N.V.,0.53,2020-04-22,archive
Citadel Advisors LLC,NL0000888691,AMG Critical Materials N.V.,0.62,2020-04-22,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,1.57,2020-04-22,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,1.97,2020-04-22,archive
Marshall Wace LLP,NL0000360618,SBM Offshore N.V.,1.5,2020-04-22,archive
Sandbar Assets Management LLP,NL0011821392,Signify N.V.,0.71,2020-04-22,archive
Systematica Investments Limited,NL0000888691,AMG Critical Materials N.V.,0.7,2020-04-22,archive
Voleon Capital Management LP,NL0000888691,AMG Critical Materials N.V.,0.67,2020-04-22,archive
Voleon Capital Management LP,NL0000352565,Fugro N.V.,0.58,2020-04-22,archive
Voleon Capital Management LP,NL0009739416,PostNL N.V.,0.9,2020-04-22,archive
Whitebox Advisors LLC,NL0000352565,Fugro N.V.,1.29,2020-04-22,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,0.71,2020-04-22,archive
AKO Capital LLP,NL0000337319,Koninklijke BAM Groep N.V.,0.63,2020-04-21,archive
"Athanor Capital, LP",NL0000289213,Wereldhave N.V.,0.62,2020-04-21,archive
Citadel Advisors LLC,NL0000888691,AMG Critical Materials N.V.,0.54,2020-04-21,archive
HBK Investments LP,NL0000352565,Fugro N.V.,1.4,2020-04-21,archive
Linden Advisors LP,NL0010391025,Pharming Group N.V.,1.18,2020-04-21,archive
Marshall Wace LLP,NL0012969182,Adyen N.V.,0.44,2020-04-21,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,1.72,2020-04-21,archive
Numeric Investors LLC,BE0003818359,Galapagos NV,0.47,2020-04-21,archive
Sandbar Assets Management LLP,NL0011821392,Signify N.V.,0.91,2020-04-21,archive
Voleon Capital Management LP,NL0011279492,Flow Traders Ltd.,1.54,2020-04-21,archive
Voleon Capital Management LP,NL0000352565,Fugro N.V.,0.63,2020-04-21,archive
Whitebox Advisors LLC,NL0000352565,Fugro N.V.,1.18,2020-04-21,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,0.63,2020-04-21,archive
AKO Capital LLP,NL0000337319,Koninklijke BAM Groep N.V.,0.94,2020-04-20,archive
"AQR Capital Management, LLC",NL0009432491,Koninklijke Vopak N.V.,0.88,2020-04-20,archive
Clearance Capital Limited,NL0000288876,Eurocommercial Properties N.V.,0.82,2020-04-20,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,1.67,2020-04-20,archive
Marshall Wace LLP,NL0006237562,ARCADIS N.V.,2.39,2020-04-20,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,1.66,2020-04-20,archive
Systematica Investments Limited,NL0000352565,Fugro N.V.,0.8,2020-04-20,archive
Voleon Capital Management LP,NL0000888691,AMG Critical Materials N.V.,0.74,2020-04-20,archive
Whitebox Advisors LLC,NL0000352565,Fugro N.V.,1.0,2020-04-20,archive
Woodline Partners,NL0010391025,Pharming Group N.V.,0.48,2020-04-20,archive
"WorldQuant, LLC",NL0000337319,Koninklijke BAM Groep N.V.,1.11,2020-04-20,archive
AKO Capital LLP,NL0006237562,ARCADIS N.V.,1.09,2020-04-17,archive
BlueCrest Capital Management Limited,NL0000337319,Koninklijke BAM Groep N.V.,0.63,2020-04-17,archive
Citadel Advisors LLC,NL0000337319,Koninklijke BAM Groep N.V.,1.1,2020-04-17,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,0.7,2020-04-17,archive
HBK Investments LP,NL0000352565,Fugro N.V.,1.2,2020-04-17,archive
Kuvari Partners LLP,NL0006237562,ARCADIS N.V.,0.45,2020-04-17,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,1.84,2020-04-17,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,1.55,2020-04-17,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,3.2,2020-04-17,archive
SFM UK Management LLP,NL0006237562,ARCADIS N.V.,0.72,2020-04-17,archive
SFM UK Management LLP,NL0000852523,TKH Group N.V.,0.84,2020-04-17,archive
Tybourne Capital Management (HK) Limited,NL0011821392,Signify N.V.,0.0,2020-04-17,archive
"WorldQuant, LLC",NL0000337319,Koninklijke BAM Groep N.V.,1.07,2020-04-17,archive
AKO Capital LLP,NL0006237562,ARCADIS N.V.,0.98,2020-04-16,archive
"Arrowstreet Capital, Limited Partnership",NL0000888691,AMG Critical Materials N.V.,0.48,2020-04-16,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,0.62,2020-04-16,archive
Citadel Europe LLP,NL0000303709,AEGON Ltd.,0.49,2020-04-16,archive
CQS (UK) LLP,NL0012866412,BE Semiconductor Industries N.V.,0.71,2020-04-16,archive
GLG Partners LP,NL0000289213,Wereldhave N.V.,0.69,2020-04-16,archive
HBK Investments LP,NL0000352565,Fugro N.V.,0.73,2020-04-16,archive
HBK Investments LP,NL0000337319,Koninklijke BAM Groep N.V.,1.05,2020-04-16,archive
"Lakewood Capital Management, LP",NL0011279492,Flow Traders Ltd.,0.49,2020-04-16,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,1.98,2020-04-16,archive
Marshall Wace LLP,BE0003818359,Galapagos NV,0.73,2020-04-16,archive
Sandbar Assets Management LLP,NL0011821392,Signify N.V.,0.87,2020-04-16,archive
SFM UK Management LLP,NL0006237562,ARCADIS N.V.,0.66,2020-04-16,archive
SFM UK Management LLP,NL0000852523,TKH Group N.V.,0.73,2020-04-16,archive
Voleon Capital Management LP,NL0011279492,Flow Traders Ltd.,1.37,2020-04-16,archive
Voleon Capital Management LP,NL0000352565,Fugro N.V.,0.79,2020-04-16,archive
"WorldQuant, LLC",NL0012817175,Alfen N.V.,0.5,2020-04-16,archive
BlueCrest Capital Management Limited,NL0000337319,Koninklijke BAM Groep N.V.,0.51,2020-04-15,archive
Citadel Advisors LLC,NL0000337319,Koninklijke BAM Groep N.V.,1.01,2020-04-15,archive
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,0.56,2020-04-15,archive
Citadel Advisors LLC,NL0009739416,PostNL N.V.,0.61,2020-04-15,archive
"D. E. Shaw & Co., L.P.",BE0003818359,Galapagos NV,0.99,2020-04-15,archive
GLG Partners LP,NL0000289213,Wereldhave N.V.,0.7,2020-04-15,archive
HBK Investments LP,NL0000352565,Fugro N.V.,0.68,2020-04-15,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2.03,2020-04-15,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,1.03,2020-04-15,archive
Marshall Wace LLP,BE0003818359,Galapagos NV,0.69,2020-04-15,archive
Marshall Wace LLP,NL0000289213,Wereldhave N.V.,0.45,2020-04-15,archive
Sandbar Assets Management LLP,NL0011821392,Signify N.V.,0.79,2020-04-15,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,3.1,2020-04-15,archive
Toscafund Asset Management LLP,NL0000289213,Wereldhave N.V.,0.82,2020-04-15,archive
Wellington Management Company LLP,NL0000289213,Wereldhave N.V.,0.64,2020-04-15,archive
"WorldQuant, LLC",NL0000337319,Koninklijke BAM Groep N.V.,0.9,2020-04-15,archive
"BlackRock Institutional Trust Company, National Association",NL0010558797,OCI N.V.,0.58,2020-04-14,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0000289213,Wereldhave N.V.,1.29,2020-04-14,archive
HBK Investments LP,NL0000337319,Koninklijke BAM Groep N.V.,1.57,2020-04-14,archive
Marshall Wace LLP,NL0011279492,Flow Traders Ltd.,2.08,2020-04-14,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,0.99,2020-04-14,archive
Sandbar Assets Management LLP,NL0011821392,Signify N.V.,0.69,2020-04-14,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2.99,2020-04-14,archive
Voleon Capital Management LP,NL0011279492,Flow Traders Ltd.,1.41,2020-04-14,archive
Wellington Management Company LLP,NL0000289213,Wereldhave N.V.,0.52,2020-04-14,archive
"WorldQuant, LLC",NL0000288876,Eurocommercial Properties N.V.,0.49,2020-04-14,archive
Capital Fund Management S.A.,NL0000352565,Fugro N.V.,0.49,2020-04-09,archive
Caxton Associates LLP,NL0000352565,Fugro N.V.,0.49,2020-04-09,archive
Citadel Europe LLP,NL0012866412,BE Semiconductor Industries N.V.,1.67,2020-04-09,archive
"D. E. Shaw & Co., L.P.",NL0000289213,Wereldhave N.V.,0.46,2020-04-09,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,0.88,2020-04-09,archive
Marshall Wace LLP,NL0000289213,Wereldhave N.V.,0.58,2020-04-09,archive
Sandbar Assets Management LLP,NL0011821392,Signify N.V.,0.54,2020-04-09,archive
Scopia Capital Management LP,NL0012866412,BE Semiconductor Industries N.V.,0.91,2020-04-09,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2.89,2020-04-09,archive
Voleon Capital Management LP,NL0000888691,AMG Critical Materials N.V.,0.88,2020-04-09,archive
"WorldQuant, LLC",NL0000337319,Koninklijke BAM Groep N.V.,0.82,2020-04-09,archive
Capital Fund Management S.A.,NL0000352565,Fugro N.V.,0.56,2020-04-08,archive
Citadel Advisors LLC,NL0000337319,Koninklijke BAM Groep N.V.,0.92,2020-04-08,archive
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,0.53,2020-04-08,archive
Clearance Capital Limited,NL0000288876,Eurocommercial Properties N.V.,0.77,2020-04-08,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,0.72,2020-04-08,archive
Marshall Wace LLP,NL0000289213,Wereldhave N.V.,0.66,2020-04-08,archive
Scopia Capital Management LP,NL0012866412,BE Semiconductor Industries N.V.,0.85,2020-04-08,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,2.99,2020-04-08,archive
SFM UK Management LLP,NL0006237562,ARCADIS N.V.,0.5,2020-04-08,archive
Systematica Investments Limited,NL0000888691,AMG Critical Materials N.V.,0.6,2020-04-08,archive
Toscafund Asset Management LLP,NL0000289213,Wereldhave N.V.,0.7,2020-04-08,archive
"WorldQuant, LLC",NL0000288876,Eurocommercial Properties N.V.,0.55,2020-04-08,archive
B&G Master Fund Plc,NL0000352565,Fugro N.V.,0.67,2020-04-07,archive
Capital Fund Management S.A.,NL0000352565,Fugro N.V.,0.66,2020-04-07,archive
Citadel Advisors LLC,NL0000337319,Koninklijke BAM Groep N.V.,0.89,2020-04-07,archive
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,0.45,2020-04-07,archive
Citadel Europe LLP,NL0012866412,BE Semiconductor Industries N.V.,1.5,2020-04-07,archive
Clearance Capital Limited,NL0000288876,Eurocommercial Properties N.V.,0.62,2020-04-07,archive
"D. E. Shaw & Co., L.P.",LU1598757687,ArcelorMittal S.A.,0.47,2020-04-07,archive
"D. E. Shaw & Co., L.P.",BE0003818359,Galapagos NV,1.0,2020-04-07,archive
"D. E. Shaw & Co., L.P.",NL0000289213,Wereldhave N.V.,0.55,2020-04-07,archive
Eleva Capital SAS,NL0000289213,Wereldhave N.V.,0.0,2020-04-07,archive
GLG Partners LP,NL0000289213,Wereldhave N.V.,0.61,2020-04-07,archive
HBK Investments LP,NL0000337319,Koninklijke BAM Groep N.V.,1.47,2020-04-07,archive
Marshall Wace LLP,NL0012969182,Adyen N.V.,0.58,2020-04-07,archive
Marshall Wace LLP,NL0000888691,AMG Critical Materials N.V.,2.19,2020-04-07,archive
Marshall Wace LLP,NL0011279492,Flow Traders Ltd.,2.16,2020-04-07,archive
Marshall Wace LLP,NL0000352565,Fugro N.V.,0.53,2020-04-07,archive
Marshall Wace LLP,BE0003818359,Galapagos NV,0.73,2020-04-07,archive
Marshall Wace LLP,NL0000289213,Wereldhave N.V.,0.74,2020-04-07,archive
Numeric Investors LLC,BE0003818359,Galapagos NV,0.51,2020-04-07,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,3.03,2020-04-07,archive
Voleon Capital Management LP,NL0011279492,Flow Traders Ltd.,1.35,2020-04-07,archive
Voleon Capital Management LP,NL0009739416,PostNL N.V.,0.89,2020-04-07,archive
"WorldQuant, LLC",NL0012866412,BE Semiconductor Industries N.V.,0.49,2020-04-07,archive
"Arrowstreet Capital, Limited Partnership",NL0000888691,AMG Critical Materials N.V.,0.59,2020-04-06,archive
Carmignac Gestion SA,NL0000289213,Wereldhave N.V.,0.53,2020-04-06,archive
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,0.59,2020-04-06,archive
Eleva Capital SAS,NL0000289213,Wereldhave N.V.,0.55,2020-04-06,archive
Marshall Wace LLP,BE0003818359,Galapagos NV,0.69,2020-04-06,archive
Marshall Wace LLP,NL0000289213,Wereldhave N.V.,0.89,2020-04-06,archive
Sculptor Capital Management Europe Limited,NL0000352565,Fugro N.V.,3.11,2020-04-06,archive
Tybourne Capital Management (HK) Limited,NL0011821392,Signify N.V.,0.51,2020-04-06,archive
"WorldQuant, LLC",NL0000352565,Fugro N.V.,2.47,2020-04-06,archive
AKO Capital LLP,NL0006237562,ARCADIS N.V.,0.88,2020-04-03,archive
BlackRock Investment Management (UK) Limited,NL0011821392,Signify N.V.,1.74,2020-04-03,archive
Citadel Advisors LLC,NL0000337319,Koninklijke BAM Groep N.V.,0.91,2020-04-03,archive
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,0.61,2020-04-03,archive
