position_holder,issuer_name,net_short_position,isin,position_date,source
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.25,NL0013332471,2023-12-08,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.15,NL0013332471,2023-12-07,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,0.62,NL0011872650,2023-12-06,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.09,NL0013332471,2023-12-06,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.92,NL0013332471,2023-12-05,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.83,NL0013332471,2023-12-04,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.72,NL0013332471,2023-11-30,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.69,NL0013332471,2023-11-29,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.5,NL0013332471,2023-11-23,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.43,NL0013332471,2023-11-21,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.36,NL0013332471,2023-11-06,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,0.52,NL0011872650,2023-11-01,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.4,NL0013332471,2023-11-01,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.12,NL0013332471,2023-10-30,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.0,NL0013332471,2023-10-25,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,0.92,NL0013332471,2023-10-20,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,0.82,NL0013332471,2023-10-17,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,0.75,NL0013332471,2023-10-16,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,0.64,NL0013332471,2023-09-20,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.56,BE0003818359,2023-08-31,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,0.54,NL0013332471,2023-07-21,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,0.64,NL0013332471,2023-07-19,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,0.79,NL0013332471,2023-07-18,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,0.87,NL0013332471,2023-07-17,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.91,NL0013332471,2023-07-06,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.8,NL0013332471,2023-06-13,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.6,BE0003818359,2023-06-12,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.7,NL0013332471,2023-06-02,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.5,BE0003818359,2023-05-31,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.4,BE0003818359,2023-05-24,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.3,BE0003818359,2023-05-19,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.2,BE0003818359,2023-05-05,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.11,BE0003818359,2023-05-04,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.02,BE0003818359,2023-04-28,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,0.91,BE0003818359,2023-04-27,current
