position_holder,issuer_name,net_short_position,isin,position_date,source
Voleon Capital Management LP,Alfen N.V.,1.22,NL0012817175,2025-07-14,current
Voleon Capital Management LP,Avantium N.V.,1.43,NL0015002IE0,2025-07-14,current
AKO Capital LLP,Akzo Nobel N.V.,1.32,NL0013267909,2025-07-09,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.79,NL0011872650,2025-07-09,current
Voleon Capital Management LP,Avantium N.V.,1.33,NL0015002IE0,2025-07-09,current
"D. E. Shaw & Co., L.P.",PostNL N.V.,0.7,NL0009739416,2025-07-08,current
"PDT Partners, LLC",Signify N.V.,0.61,NL0011821392,2025-07-08,current
Voleon Capital Management LP,Avantium N.V.,1.29,NL0015002IE0,2025-07-08,current
Voleon Capital Management LP,Alfen N.V.,1.1,NL0012817175,2025-07-04,current
Lazard Asset Management LLC,Pharming Group N.V.,0.73,NL0010391025,2025-07-03,current
Voleon Capital Management LP,Avantium N.V.,1.11,NL0015002IE0,2025-07-03,current
AKO Capital LLP,Akzo Nobel N.V.,1.29,NL0013267909,2025-07-02,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.8,BE0003818359,2025-07-02,current
"Arrowstreet Capital, Limited Partnership",IMCD N.V.,0.8,NL0010801007,2025-07-02,current
Voleon Capital Management LP,Avantium N.V.,0.9,NL0015002IE0,2025-07-02,current
Voleon Capital Management LP,Avantium N.V.,0.84,NL0015002IE0,2025-07-01,current
Voleon Capital Management LP,Alfen N.V.,1.01,NL0012817175,2025-06-30,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,2.06,NL0012817175,2025-06-27,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.87,NL0011872650,2025-06-27,current
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.89,NL0012866412,2025-06-27,current
"PDT Partners, LLC",Signify N.V.,0.5,NL0011821392,2025-06-27,current
Voleon Capital Management LP,Avantium N.V.,0.7,NL0015002IE0,2025-06-27,current
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.9,NL0012866412,2025-06-26,current
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.89,NL0012866412,2025-06-25,current
Voleon Capital Management LP,Avantium N.V.,0.61,NL0015002IE0,2025-06-25,current
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.9,NL0012866412,2025-06-24,current
Voleon Capital Management LP,Avantium N.V.,0.58,NL0015002IE0,2025-06-24,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.71,BE0003818359,2025-06-20,current
Capstone Volatility Master (Cayman) Limited,Pharming Group N.V.,0.78,NL0010391025,2025-06-20,current
Citadel Advisors LLC,Wereldhave N.V.,0.7,NL0000289213,2025-06-20,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.21,NL0013332471,2025-06-20,current
Lazard Asset Management LLC,Pharming Group N.V.,0.69,NL0010391025,2025-06-18,current
Voleon Capital Management LP,Alfen N.V.,0.9,NL0012817175,2025-06-18,current
"Atalan Capital Partners, LP",Havas N.V.,1.39,NL0015002AH0,2025-06-17,current
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.87,NL0012866412,2025-06-17,current
"BlackRock Advisors, LLC",IMCD N.V.,0.5,NL0010801007,2025-06-16,current
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.9,NL0012866412,2025-06-16,current
Voleon Capital Management LP,Alfen N.V.,0.81,NL0012817175,2025-06-13,current
Capstone Volatility Master (Cayman) Limited,Pharming Group N.V.,0.81,NL0010391025,2025-06-10,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,2.11,NL0012817175,2025-06-10,current
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.82,NL0012866412,2025-06-10,current
AKO Capital LLP,Akzo Nobel N.V.,1.3,NL0013267909,2025-06-09,current
"D. E. Shaw & Co., L.P.",PostNL N.V.,0.62,NL0009739416,2025-06-06,current
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.73,NL0012866412,2025-06-05,current
AKO Capital LLP,Akzo Nobel N.V.,1.27,NL0013267909,2025-06-04,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,2.0,NL0012817175,2025-06-03,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,1.59,NL0011872650,2025-06-03,current
Voleon Capital Management LP,Alfen N.V.,0.71,NL0012817175,2025-06-02,current
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.68,NL0012866412,2025-05-30,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.1,NL0013332471,2025-05-30,current
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.7,NL0012866412,2025-05-29,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.6,BE0003818359,2025-05-28,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.99,NL0012817175,2025-05-28,current
AKO Capital LLP,Akzo Nobel N.V.,1.4,NL0013267909,2025-05-27,current
Citadel Advisors LLC,Wereldhave N.V.,0.6,NL0000289213,2025-05-27,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.0,NL0013332471,2025-05-26,current
"Atalan Capital Partners, LP",Havas N.V.,1.28,NL0015002AH0,2025-05-22,current
Citadel Advisors LLC,Wereldhave N.V.,0.52,NL0000289213,2025-05-22,current
"Elliott Investment Management, L.P",Shell plc,0.7,GB00BP6MXD84,2025-05-22,current
Capstone Volatility Master (Cayman) Limited,Pharming Group N.V.,0.74,NL0010391025,2025-05-21,current
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.68,NL0012866412,2025-05-20,current
Voleon Capital Management LP,Alfen N.V.,0.63,NL0012817175,2025-05-20,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.53,BE0003818359,2025-05-19,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,2.07,NL0012817175,2025-05-19,current
Lazard Asset Management LLC,Pharming Group N.V.,0.71,NL0010391025,2025-05-19,current
Voleon Capital Management LP,Alfen N.V.,0.59,NL0012817175,2025-05-19,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,2.1,NL0012817175,2025-05-16,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.43,BE0003818359,2025-05-15,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.93,NL0012817175,2025-05-15,current
Lazard Asset Management LLC,Pharming Group N.V.,0.69,NL0010391025,2025-05-15,current
"Atalan Capital Partners, LP",Havas N.V.,0.92,NL0015002AH0,2025-05-14,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.69,NL0012817175,2025-05-14,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.99,NL0013332471,2025-05-14,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.47,NL0012817175,2025-05-13,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,0.88,NL0012817175,2025-05-12,current
"D. E. Shaw & Co., L.P.",PostNL N.V.,0.59,NL0009739416,2025-05-12,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.08,NL0013332471,2025-05-12,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.31,BE0003818359,2025-05-09,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.99,NL0011872650,2025-05-09,current
"D. E. Shaw & Co., L.P.",PostNL N.V.,0.6,NL0009739416,2025-05-09,current
"Atalan Capital Partners, LP",Havas N.V.,0.67,NL0015002AH0,2025-05-08,current
Capstone Volatility Master (Cayman) Limited,Pharming Group N.V.,0.56,NL0010391025,2025-05-08,current
Lazard Asset Management LLC,Pharming Group N.V.,0.73,NL0010391025,2025-05-08,current
"Atalan Capital Partners, LP",Havas N.V.,0.5,NL0015002AH0,2025-05-07,current
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.71,NL0012866412,2025-05-07,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.2,BE0003818359,2025-05-06,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,0.99,NL0012817175,2025-05-06,current
AKO Capital LLP,Akzo Nobel N.V.,1.33,NL0013267909,2025-05-02,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.06,NL0012817175,2025-05-02,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.13,BE0003818359,2025-04-30,current
"D. E. Shaw & Co., L.P.",PostNL N.V.,0.52,NL0009739416,2025-04-30,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.28,NL0012817175,2025-04-29,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.33,NL0012817175,2025-04-28,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.49,NL0012817175,2025-04-24,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,1.01,BE0003818359,2025-04-23,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.58,NL0012817175,2025-04-22,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.19,NL0013332471,2025-04-22,current
"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,0.6,NL0012866412,2025-04-17,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.27,NL0013332471,2025-04-16,current
AKO Capital LLP,Akzo Nobel N.V.,1.2,NL0013267909,2025-04-15,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2.36,NL0013332471,2025-04-15,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,1.62,NL0011872650,2025-04-14,current
JPMorgan Asset Management (UK) Ltd.,Basic-Fit N.V.,1.57,NL0011872650,2025-04-11,current
AKO Capital LLP,Akzo Nobel N.V.,1.17,NL0013267909,2025-04-10,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,1.05,NL0011872650,2025-04-10,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.66,NL0012817175,2025-04-09,current
