issuer_name,isin,position_date,position_holder,net_short_position,source
Koninklijke BAM Groep N.V.,NL0000337319,2013-10-01,JPMorgan Asset Management (UK) Ltd.,0.67,archive
Fugro N.V.,NL0000352565,2013-09-30,Marshall Wace LLP,0.72,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-09-24,Marshall Wace LLP,0.68,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-09-23,BlackRock Investment Management (UK) Limited,0.59,archive
Fugro N.V.,NL0000352565,2013-09-23,Marshall Wace LLP,0.62,archive
Fugro N.V.,NL0000352565,2013-09-20,"AQR Capital Management, LLC",1.19,archive
TomTom N.V.,NL0000387058,2013-09-18,AKO Capital LLP,3.59,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-09-18,Marshall Wace LLP,0.7,archive
TomTom N.V.,NL0000387058,2013-09-17,AKO Capital LLP,3.62,archive
PostNL N.V.,NL0009739416,2013-09-17,"AQR Capital Management, LLC",0.79,archive
TomTom N.V.,NL0000387058,2013-09-16,AKO Capital LLP,3.71,archive
TomTom N.V.,NL0000387058,2013-09-13,AKO Capital LLP,3.93,archive
Fugro N.V.,NL0000352565,2013-09-13,Marshall Wace LLP,0.49,archive
TomTom N.V.,NL0000387058,2013-09-12,AKO Capital LLP,4.14,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-09-11,BlackRock Investment Management (UK) Limited,0.69,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-09-10,Marshall Wace LLP,0.63,archive
PostNL N.V.,NL0009739416,2013-09-10,Oxford Asset Management,0.47,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-09-09,"WorldQuant, LLC",0.5,archive
Fugro N.V.,NL0000352565,2013-09-06,AKO Capital LLP,2.16,archive
PostNL N.V.,NL0009739416,2013-09-06,"AQR Capital Management, LLC",0.87,archive
Fugro N.V.,NL0000352565,2013-09-04,"AQR Capital Management, LLC",1.21,archive
Wolters Kluwer N.V.,NL0000395903,2013-09-04,GLG Partners LP,0.48,archive
PostNL N.V.,NL0009739416,2013-09-04,Oxford Asset Management,0.58,archive
Koninklijke Vopak N.V.,NL0009432491,2013-09-04,Scopia Capital Management LP,0.47,archive
Wolters Kluwer N.V.,NL0000395903,2013-09-03,GLG Partners LP,0.5,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-09-03,Marshall Wace LLP,0.5,archive
Fugro N.V.,NL0000352565,2013-08-30,"AQR Capital Management, LLC",1.19,archive
PostNL N.V.,NL0009739416,2013-08-30,Oxford Asset Management,0.67,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-08-27,"BlackRock Institutional Trust Company, National Association",1.16,archive
Fugro N.V.,NL0000352565,2013-08-27,Marshall Wace LLP,0.59,archive
PostNL N.V.,NL0009739416,2013-08-27,Oxford Asset Management,0.77,archive
Fugro N.V.,NL0000352565,2013-08-26,Marshall Wace LLP,0.67,archive
PostNL N.V.,NL0009739416,2013-08-22,Oxford Asset Management,0.85,archive
SBM Offshore N.V.,NL0000360618,2013-08-21,"AQR Capital Management, LLC",0.49,archive
Fugro N.V.,NL0000352565,2013-08-21,"Arrowstreet Capital, Limited Partnership",0.6,archive
PostNL N.V.,NL0009739416,2013-08-21,Highbridge Capital Management LLC,0.46,archive
PostNL N.V.,NL0009739416,2013-08-20,Highbridge Capital Management LLC,0.54,archive
Fugro N.V.,NL0000352565,2013-08-19,AKO Capital LLP,2.24,archive
PostNL N.V.,NL0009739416,2013-08-19,Highbridge Capital Management LLC,0.64,archive
Aperam S.A.,LU0569974404,2013-08-16,Adage Capital Management L.P.,1.3,archive
Fugro N.V.,NL0000352565,2013-08-16,"AQR Capital Management, LLC",1.23,archive
Wereldhave N.V.,NL0000289213,2013-08-16,"BlackRock Institutional Trust Company, National Association",0.9,archive
PostNL N.V.,NL0009739416,2013-08-16,Oxford Asset Management,0.98,archive
Fugro N.V.,NL0000352565,2013-08-15,Marshall Wace LLP,0.7,archive
Fugro N.V.,NL0000352565,2013-08-14,Marshall Wace LLP,0.68,archive
PostNL N.V.,NL0009739416,2013-08-13,Highbridge Capital Management LLC,0.54,archive
Fugro N.V.,NL0000352565,2013-08-13,Marshall Wace LLP,0.7,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-08-12,"BlackRock Institutional Trust Company, National Association",1.26,archive
Fugro N.V.,NL0000352565,2013-08-09,AKO Capital LLP,2.19,archive
Fugro N.V.,NL0000352565,2013-08-09,Marshall Wace LLP,0.67,archive
PostNL N.V.,NL0009739416,2013-08-09,Oxford Asset Management,1.09,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-08-08,BlackRock Advisors (UK) Limited,0.78,archive
Fugro N.V.,NL0000352565,2013-08-06,"AQR Capital Management, LLC",1.19,archive
SBM Offshore N.V.,NL0000360618,2013-08-06,"AQR Capital Management, LLC",0.53,archive
Aperam S.A.,LU0569974404,2013-08-06,"Bocage Capital, LLC",0.48,archive
Fugro N.V.,NL0000352565,2013-08-06,Marshall Wace LLP,0.51,archive
Aperam S.A.,LU0569974404,2013-08-06,TT International,0.29,archive
Wereldhave N.V.,NL0000289213,2013-08-05,"BlackRock Institutional Trust Company, National Association",0.8,archive
Wolters Kluwer N.V.,NL0000395903,2013-08-05,Odey Asset Management LLP,0.42,archive
PostNL N.V.,NL0009739416,2013-08-05,Oxford Asset Management,1.1,archive
Aperam S.A.,LU0569974404,2013-08-05,TT International,0.5,archive
NSI N.V.,NL0000292324,2013-08-02,Thames River Capital LLP,0.75,archive
AMG Critical Materials N.V.,NL0000888691,2013-08-01,Oxford Asset Management,0.49,archive
Wereldhave N.V.,NL0000289213,2013-07-31,"BlackRock Institutional Trust Company, National Association",0.7,archive
PostNL N.V.,NL0009739416,2013-07-31,Oxford Asset Management,1.08,archive
PostNL N.V.,NL0009739416,2013-07-29,"AQR Capital Management, LLC",0.91,archive
Wolters Kluwer N.V.,NL0000395903,2013-07-24,Odey Asset Management LLP,0.74,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-07-23,"BlackRock Institutional Trust Company, National Association",0.49,archive
PostNL N.V.,NL0009739416,2013-07-23,Oxford Asset Management,1.19,archive
PostNL N.V.,NL0009739416,2013-07-22,Oxford Asset Management,1.2,archive
SBM Offshore N.V.,NL0000360618,2013-07-19,"AQR Capital Management, LLC",0.68,archive
PostNL N.V.,NL0009739416,2013-07-19,Oxford Asset Management,1.19,archive
Aperam S.A.,LU0569974404,2013-07-19,TT International,0.71,archive
PostNL N.V.,NL0009739416,2013-07-18,Oxford Asset Management,1.29,archive
Aperam S.A.,LU0569974404,2013-07-18,TT International,0.88,archive
Fugro N.V.,NL0000352565,2013-07-17,AKO Capital LLP,2.09,archive
Fugro N.V.,NL0000352565,2013-07-17,"Arrowstreet Capital, Limited Partnership",0.59,archive
AMG Critical Materials N.V.,NL0000888691,2013-07-17,Oxford Asset Management,0.5,archive
PostNL N.V.,NL0009739416,2013-07-16,"AQR Capital Management, LLC",0.81,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-07-11,"BlackRock Institutional Trust Company, National Association",0.59,archive
Fugro N.V.,NL0000352565,2013-07-09,AKO Capital LLP,1.97,archive
PostNL N.V.,NL0009739416,2013-07-09,Archipel Asset Management AB,0.49,archive
PostNL N.V.,NL0009739416,2013-07-09,Oxford Asset Management,1.39,archive
NSI N.V.,NL0000292324,2013-07-04,Thames River Capital LLP,0.89,archive
Aperam S.A.,LU0569974404,2013-07-03,TT International,0.94,archive
Aperam S.A.,LU0569974404,2013-07-02,"Bocage Capital, LLC",0.61,archive
Fugro N.V.,NL0000352565,2013-06-26,"AQR Capital Management, LLC",1.21,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-06-26,"BlackRock Institutional Trust Company, National Association",0.69,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-06-24,"BlackRock Institutional Trust Company, National Association",1.39,archive
NSI N.V.,NL0000292324,2013-06-24,Thames River Capital LLP,0.91,archive
Aperam S.A.,LU0569974404,2013-06-24,TT International,0.63,archive
TomTom N.V.,NL0000387058,2013-06-20,"Marble Arch Investments, LP",1.46,archive
Wolters Kluwer N.V.,NL0000395903,2013-06-20,Odey Asset Management LLP,0.84,archive
TomTom N.V.,NL0000387058,2013-06-18,"Marble Arch Investments, LP",1.59,archive
Fugro N.V.,NL0000352565,2013-06-17,AKO Capital LLP,1.8,archive
NSI N.V.,NL0000292324,2013-06-17,Thames River Capital LLP,0.78,archive
TomTom N.V.,NL0000387058,2013-06-14,"Marble Arch Investments, LP",1.66,archive
PostNL N.V.,NL0009739416,2013-06-14,Oxford Asset Management,1.48,archive
TomTom N.V.,NL0000387058,2013-06-13,"Marble Arch Investments, LP",1.72,archive
NSI N.V.,NL0000292324,2013-06-13,Thames River Capital LLP,0.59,archive
Fugro N.V.,NL0000352565,2013-06-12,AKO Capital LLP,1.6,archive
