issuer_name,isin,position_date,position_holder,net_short_position,source
Ebusco Holding N.V.,NL0015000CZ2,2023-05-11,Otus Capital Management Ltd.,0.91,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-05-11,"Point72 Asset Management, L.P.",3.77,archive
AMG Critical Materials N.V.,NL0000888691,2023-05-10,Citadel Advisors LLC,0.92,archive
Pharming Group N.V.,NL0010391025,2023-05-10,Citadel Advisors LLC,0.44,archive
Alfen N.V.,NL0012817175,2023-05-10,Marble Bar Asset Management LLP,0.74,archive
AMG Critical Materials N.V.,NL0000888691,2023-05-10,Qube Research & Technologies Ltd.,0.56,archive
Alfen N.V.,NL0012817175,2023-05-10,Voleon Capital Management LP,0.52,archive
Koninklijke Philips N.V.,NL0000009538,2023-05-09,"AQR Capital Management, LLC",0.49,archive
AMG Critical Materials N.V.,NL0000888691,2023-05-09,Citadel Advisors LLC,0.86,archive
Pharming Group N.V.,NL0010391025,2023-05-09,Citadel Advisors LLC,0.71,archive
PostNL N.V.,NL0009739416,2023-05-09,JPMorgan Asset Management (UK) Ltd.,0.69,archive
Galapagos NV,BE0003818359,2023-05-09,Qube Research & Technologies Ltd.,0.6,archive
AMG Critical Materials N.V.,NL0000888691,2023-05-08,Qube Research & Technologies Ltd.,0.66,archive
SBM Offshore N.V.,NL0000360618,2023-05-05,"AQR Capital Management, LLC",0.52,archive
Galapagos NV,BE0003818359,2023-05-05,"Arrowstreet Capital, Limited Partnership",1.2,archive
AMG Critical Materials N.V.,NL0000888691,2023-05-05,Citadel Advisors LLC,0.74,archive
Pharming Group N.V.,NL0010391025,2023-05-05,Citadel Advisors LLC,0.6,archive
Alfen N.V.,NL0012817175,2023-05-05,Marble Bar Asset Management LLP,0.82,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-05-05,Millennium Capital Management France SAS,0.51,archive
Alfen N.V.,NL0012817175,2023-05-05,Qube Research & Technologies Ltd.,0.61,archive
AMG Critical Materials N.V.,NL0000888691,2023-05-05,Qube Research & Technologies Ltd.,0.55,archive
IMCD N.V.,NL0010801007,2023-05-04,"AQR Capital Management, LLC",0.51,archive
Galapagos NV,BE0003818359,2023-05-04,"Arrowstreet Capital, Limited Partnership",1.11,archive
AMG Critical Materials N.V.,NL0000888691,2023-05-04,Citadel Advisors LLC,0.69,archive
Basic-Fit N.V.,NL0011872650,2023-05-04,"D. E. Shaw & Co., L.P.",0.42,archive
Alfen N.V.,NL0012817175,2023-05-04,Marshall Wace LLP,1.14,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-05-04,Marshall Wace LLP,0.79,archive
Signify N.V.,NL0011821392,2023-05-03,AKO Capital LLP,0.75,archive
IMCD N.V.,NL0010801007,2023-05-03,"AQR Capital Management, LLC",0.49,archive
Alfen N.V.,NL0012817175,2023-05-03,Pictet Asset Management S.A.,0.44,archive
AMG Critical Materials N.V.,NL0000888691,2023-05-02,Citadel Advisors LLC,0.54,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-05-02,"Point72 Asset Management, L.P.",3.88,archive
Galapagos NV,BE0003818359,2023-05-01,Qube Research & Technologies Ltd.,0.51,archive
Galapagos NV,BE0003818359,2023-04-28,"Arrowstreet Capital, Limited Partnership",1.02,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-04-28,Citadel Advisors LLC,0.48,archive
Koninklijke Philips N.V.,NL0000009538,2023-04-28,Citadel Advisors LLC,0.55,archive
Galapagos NV,BE0003818359,2023-04-28,Qube Research & Technologies Ltd.,0.49,archive
Galapagos NV,BE0003818359,2023-04-27,"Arrowstreet Capital, Limited Partnership",0.91,archive
AMG Critical Materials N.V.,NL0000888691,2023-04-27,Citadel Advisors LLC,0.49,archive
Pharming Group N.V.,NL0010391025,2023-04-27,Citadel Advisors LLC,0.71,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-04-27,"Davidson Kempner European Partners, LLP",0.7,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-04-27,"Point72 Asset Management, L.P.",3.96,archive
Signify N.V.,NL0011821392,2023-04-26,AKO Capital LLP,1.12,archive
Koninklijke Philips N.V.,NL0000009538,2023-04-26,"AQR Capital Management, LLC",0.5,archive
TomTom N.V.,NL0013332471,2023-04-26,Citadel Advisors LLC,0.59,archive
ASM International N.V.,NL0000334118,2023-04-26,Marshall Wace LLP,0.45,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-04-26,"Point72 Asset Management, L.P.",4.02,archive
Alfen N.V.,NL0012817175,2023-04-26,Qube Research & Technologies Ltd.,0.5,archive
Galapagos NV,BE0003818359,2023-04-26,Qube Research & Technologies Ltd.,0.52,archive
Signify N.V.,NL0011821392,2023-04-25,AKO Capital LLP,1.21,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-04-25,"Davidson Kempner European Partners, LLP",0.64,archive
Alfen N.V.,NL0012817175,2023-04-25,Marshall Wace LLP,1.21,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-04-25,"Point72 Asset Management, L.P.",3.76,archive
Koninklijke Philips N.V.,NL0000009538,2023-04-25,Viking Global Investors LP,0.82,archive
Koninklijke Philips N.V.,NL0000009538,2023-04-24,Citadel Advisors LLC,0.64,archive
PostNL N.V.,NL0009739416,2023-04-24,Eleva Capital SAS,0.41,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-04-24,"Point72 Asset Management, L.P.",3.96,archive
Koninklijke Philips N.V.,NL0000009538,2023-04-24,Viking Global Investors LP,1.05,archive
AMG Critical Materials N.V.,NL0000888691,2023-04-21,Citadel Advisors LLC,0.59,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-04-21,Citadel Advisors LLC,0.59,archive
PostNL N.V.,NL0009739416,2023-04-21,Eleva Capital SAS,0.64,archive
Alfen N.V.,NL0012817175,2023-04-21,Marshall Wace LLP,1.13,archive
Galapagos NV,BE0003818359,2023-04-20,"Arrowstreet Capital, Limited Partnership",0.84,archive
ASM International N.V.,NL0000334118,2023-04-20,Marshall Wace LLP,0.5,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-04-20,Marshall Wace LLP,0.8,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-04-20,"Point72 Asset Management, L.P.",4.06,archive
ASM International N.V.,NL0000334118,2023-04-20,Qube Research & Technologies Ltd.,0.5,archive
Basic-Fit N.V.,NL0011872650,2023-04-19,CapeView Capital LLP,0.46,archive
ASM International N.V.,NL0000334118,2023-04-19,Qube Research & Technologies Ltd.,0.49,archive
Basic-Fit N.V.,NL0011872650,2023-04-18,CapeView Capital LLP,0.52,archive
Pharming Group N.V.,NL0010391025,2023-04-18,Citadel Advisors LLC,0.62,archive
Fugro N.V.,NL00150003E1,2023-04-18,Voleon Capital Management LP,0.6,archive
SBM Offshore N.V.,NL0000360618,2023-04-17,"AQR Capital Management, LLC",0.49,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2023-04-17,CapeView Capital LLP,0.0,archive
AMG Critical Materials N.V.,NL0000888691,2023-04-17,Citadel Advisors LLC,0.7,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-04-17,Citadel Advisors LLC,0.69,archive
TomTom N.V.,NL0013332471,2023-04-17,Citadel Advisors LLC,0.63,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2023-04-17,Kintbury Capital LLP,0.0,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-04-17,"Point72 Asset Management, L.P.",3.94,archive
IMCD N.V.,NL0010801007,2023-04-14,"AQR Capital Management, LLC",0.5,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-04-14,Citadel Advisors LLC,0.7,archive
Pharming Group N.V.,NL0010391025,2023-04-14,Citadel Advisors LLC,0.58,archive
Alfen N.V.,NL0012817175,2023-04-14,Marshall Wace LLP,1.09,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-04-14,Marshall Wace LLP,0.73,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-04-14,"Point72 Asset Management, L.P.",4.0,archive
PostNL N.V.,NL0009739416,2023-04-14,Qube Research & Technologies Ltd.,0.48,archive
Pharming Group N.V.,NL0010391025,2023-04-13,Citadel Advisors LLC,0.6,archive
TomTom N.V.,NL0013332471,2023-04-13,Citadel Advisors LLC,0.79,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-04-13,"Point72 Asset Management, L.P.",3.94,archive
Alfen N.V.,NL0012817175,2023-04-12,AllianceBernstein L.P.,0.45,archive
SBM Offshore N.V.,NL0000360618,2023-04-12,"AQR Capital Management, LLC",0.5,archive
Pharming Group N.V.,NL0010391025,2023-04-12,Citadel Advisors LLC,0.7,archive
Basic-Fit N.V.,NL0011872650,2023-04-12,JPMorgan Asset Management (UK) Ltd.,0.49,archive
PostNL N.V.,NL0009739416,2023-04-12,JPMorgan Asset Management (UK) Ltd.,0.77,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-04-12,Marshall Wace LLP,0.61,archive
Alfen N.V.,NL0012817175,2023-04-12,Pictet Asset Management S.A.,0.52,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-04-12,"Point72 Asset Management, L.P.",3.85,archive
PostNL N.V.,NL0009739416,2023-04-12,Qube Research & Technologies Ltd.,0.56,archive
PostNL N.V.,NL0009739416,2023-04-12,UBS Asset Management (UK) Ltd.,0.52,archive
Alfen N.V.,NL0012817175,2023-04-12,"WorldQuant, LLC",0.49,archive
PostNL N.V.,NL0009739416,2023-04-11,JPMorgan Asset Management (UK) Ltd.,0.69,archive
Aperam S.A.,LU0569974404,2023-04-11,Pantechnicon Advisors LLP,0.58,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-04-11,"Point72 Asset Management, L.P.",3.94,archive
Wereldhave N.V.,NL0000289213,2023-04-11,"Woodson Capital Master Fund, LP",1.49,archive
Signify N.V.,NL0011821392,2023-04-06,AKO Capital LLP,1.33,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-04-06,Citadel Advisors LLC,0.61,archive
Pharming Group N.V.,NL0010391025,2023-04-06,Citadel Advisors LLC,0.66,archive
PostNL N.V.,NL0009739416,2023-04-06,JPMorgan Asset Management (UK) Ltd.,0.52,archive
Alfen N.V.,NL0012817175,2023-04-06,Marshall Wace LLP,1.19,archive
Koninklijke Philips N.V.,NL0000009538,2023-04-06,Viking Global Investors LP,1.37,archive
Wereldhave N.V.,NL0000289213,2023-04-06,"Woodson Capital Master Fund, LP",1.5,archive
Galapagos NV,BE0003818359,2023-04-05,"Arrowstreet Capital, Limited Partnership",0.71,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-04-05,Citadel Advisors LLC,0.57,archive
Pharming Group N.V.,NL0010391025,2023-04-05,Citadel Advisors LLC,0.77,archive
Alfen N.V.,NL0012817175,2023-04-05,Marble Bar Asset Management LLP,0.77,archive
Aperam S.A.,LU0569974404,2023-04-05,Pantechnicon Advisors LLP,0.6,archive
PostNL N.V.,NL0009739416,2023-04-05,Qube Research & Technologies Ltd.,0.62,archive
Fugro N.V.,NL00150003E1,2023-04-05,Voleon Capital Management LP,0.58,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2023-04-04,CapeView Capital LLP,0.5,archive
Pharming Group N.V.,NL0010391025,2023-04-04,Citadel Advisors LLC,0.81,archive
TomTom N.V.,NL0013332471,2023-04-04,Citadel Advisors LLC,0.8,archive
Alfen N.V.,NL0012817175,2023-04-04,Pictet Asset Management S.A.,0.47,archive
Wereldhave N.V.,NL0000289213,2023-04-04,"Woodson Capital Master Fund, LP",1.63,archive
AMG Critical Materials N.V.,NL0000888691,2023-04-03,Citadel Advisors LLC,0.5,archive
Ebusco Holding N.V.,NL0015000CZ2,2023-04-03,GSA Capital Partners LLP,0.44,archive
Alfen N.V.,NL0012817175,2023-04-03,Marble Bar Asset Management LLP,0.88,archive
ARCADIS N.V.,NL0006237562,2023-03-31,Boldhaven Management LLP,0.6,archive
Pharming Group N.V.,NL0010391025,2023-03-31,Citadel Advisors LLC,0.79,archive
Ebusco Holding N.V.,NL0015000CZ2,2023-03-31,GSA Capital Partners LLP,0.5,archive
Alfen N.V.,NL0012817175,2023-03-31,JPMorgan Asset Management (UK) Ltd.,0.94,archive
Akzo Nobel N.V.,NL0013267909,2023-03-31,Marshall Wace LLP,0.48,archive
PostNL N.V.,NL0009739416,2023-03-31,"WorldQuant, LLC",0.49,archive
Alfen N.V.,NL0012817175,2023-03-30,"Arrowstreet Capital, Limited Partnership",1.21,archive
Koninklijke Philips N.V.,NL0000009538,2023-03-30,Citadel Advisors LLC,0.74,archive
Koninklijke Philips N.V.,NL0000009538,2023-03-30,Greenvale Capital LLP,0.7,archive
Akzo Nobel N.V.,NL0013267909,2023-03-30,Marshall Wace LLP,0.58,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-03-30,"Point72 Asset Management, L.P.",3.81,archive
ASM International N.V.,NL0000334118,2023-03-30,Qube Research & Technologies Ltd.,0.51,archive
Galapagos NV,BE0003818359,2023-03-30,Qube Research & Technologies Ltd.,0.49,archive
PostNL N.V.,NL0009739416,2023-03-30,Qube Research & Technologies Ltd.,0.57,archive
Galapagos NV,BE0003818359,2023-03-29,"Arrowstreet Capital, Limited Partnership",0.61,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2023-03-29,CapeView Capital LLP,0.49,archive
Pharming Group N.V.,NL0010391025,2023-03-29,Citadel Advisors LLC,0.84,archive
TomTom N.V.,NL0013332471,2023-03-29,Citadel Advisors LLC,0.71,archive
Alfen N.V.,NL0012817175,2023-03-29,JPMorgan Asset Management (UK) Ltd.,0.8,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2023-03-29,Kintbury Capital LLP,0.83,archive
Akzo Nobel N.V.,NL0013267909,2023-03-29,Marshall Wace LLP,0.64,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-03-29,Marshall Wace LLP,0.59,archive
Koninklijke Philips N.V.,NL0000009538,2023-03-29,Marshall Wace LLP,0.49,archive
Pharming Group N.V.,NL0010391025,2023-03-28,Citadel Advisors LLC,0.79,archive
Alfen N.V.,NL0012817175,2023-03-28,Marble Bar Asset Management LLP,1.0,archive
Aperam S.A.,LU0569974404,2023-03-28,Pantechnicon Advisors LLP,0.58,archive
Koninklijke Philips N.V.,NL0000009538,2023-03-28,Viking Global Investors LP,1.4,archive
Pharming Group N.V.,NL0010391025,2023-03-28,"WorldQuant, LLC",0.37,archive
Alfen N.V.,NL0012817175,2023-03-27,"Arrowstreet Capital, Limited Partnership",1.11,archive
Basic-Fit N.V.,NL0011872650,2023-03-27,JPMorgan Asset Management (UK) Ltd.,0.56,archive
Koninklijke Philips N.V.,NL0000009538,2023-03-27,Marshall Wace LLP,0.5,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-03-27,"Point72 Asset Management, L.P.",3.61,archive
Pharming Group N.V.,NL0010391025,2023-03-27,"WorldQuant, LLC",0.63,archive
Galapagos NV,BE0003818359,2023-03-24,"Arrowstreet Capital, Limited Partnership",0.52,archive
OCI N.V.,NL0010558797,2023-03-24,Citadel Advisors LLC,0.48,archive
Alfen N.V.,NL0012817175,2023-03-24,Marble Bar Asset Management LLP,0.91,archive
Alfen N.V.,NL0012817175,2023-03-24,Marshall Wace LLP,1.29,archive
Aperam S.A.,LU0569974404,2023-03-24,Pantechnicon Advisors LLP,0.6,archive
PostNL N.V.,NL0009739416,2023-03-24,Qube Research & Technologies Ltd.,0.6,archive
Wereldhave N.V.,NL0000289213,2023-03-24,Toscafund Asset Management LLP,1.33,archive
Alfen N.V.,NL0012817175,2023-03-24,"WorldQuant, LLC",0.53,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-03-23,"Point72 Asset Management, L.P.",3.54,archive
Pharming Group N.V.,NL0010391025,2023-03-23,"WorldQuant, LLC",0.75,archive
Alfen N.V.,NL0012817175,2023-03-22,AllianceBernstein L.P.,0.55,archive
Alfen N.V.,NL0012817175,2023-03-22,"Arrowstreet Capital, Limited Partnership",1.01,archive
Koninklijke Philips N.V.,NL0000009538,2023-03-22,Citadel Advisors LLC,0.6,archive
Pharming Group N.V.,NL0010391025,2023-03-22,Citadel Advisors LLC,0.85,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2023-03-22,Kintbury Capital LLP,0.71,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-03-22,"Point72 Asset Management, L.P.",3.42,archive
Koninklijke Philips N.V.,NL0000009538,2023-03-22,Viking Global Investors LP,1.39,archive
Pharming Group N.V.,NL0010391025,2023-03-22,"WorldQuant, LLC",0.84,archive
Alfen N.V.,NL0012817175,2023-03-21,Marble Bar Asset Management LLP,0.8,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-03-21,"Point72 Asset Management, L.P.",3.36,archive
PostNL N.V.,NL0009739416,2023-03-21,Qube Research & Technologies Ltd.,0.58,archive
Pharming Group N.V.,NL0010391025,2023-03-21,"WorldQuant, LLC",0.69,archive
OCI N.V.,NL0010558797,2023-03-20,Citadel Advisors LLC,0.51,archive
Alfen N.V.,NL0012817175,2023-03-20,Marshall Wace LLP,1.39,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-03-20,"Point72 Asset Management, L.P.",3.26,archive
Pharming Group N.V.,NL0010391025,2023-03-20,"WorldQuant, LLC",0.54,archive
PostNL N.V.,NL0009739416,2023-03-20,"WorldQuant, LLC",0.54,archive
Alfen N.V.,NL0012817175,2023-03-17,"Arrowstreet Capital, Limited Partnership",0.91,archive
Pharming Group N.V.,NL0010391025,2023-03-17,Citadel Advisors LLC,0.98,archive
TomTom N.V.,NL0013332471,2023-03-17,Citadel Advisors LLC,0.61,archive
Alfen N.V.,NL0012817175,2023-03-17,"Clear Sky Advisers, LLC",0.46,archive
Koninklijke Philips N.V.,NL0000009538,2023-03-17,Marshall Wace LLP,0.49,archive
Alfen N.V.,NL0012817175,2023-03-17,Pictet Asset Management S.A.,0.59,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-03-17,"Point72 Asset Management, L.P.",3.17,archive
PostNL N.V.,NL0009739416,2023-03-17,Qube Research & Technologies Ltd.,0.61,archive
Fugro N.V.,NL00150003E1,2023-03-17,Voleon Capital Management LP,0.61,archive
Signify N.V.,NL0011821392,2023-03-16,AKO Capital LLP,1.22,archive
IMCD N.V.,NL0010801007,2023-03-16,"AQR Capital Management, LLC",0.45,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2023-03-16,Kintbury Capital LLP,0.63,archive
Alfen N.V.,NL0012817175,2023-03-16,Marshall Wace LLP,1.49,archive
Pharming Group N.V.,NL0010391025,2023-03-16,Millennium International Management LP,0.44,archive
Galapagos NV,BE0003818359,2023-03-16,Qube Research & Technologies Ltd.,0.5,archive
Basic-Fit N.V.,NL0011872650,2023-03-15,CapeView Capital LLP,0.49,archive
Alfen N.V.,NL0012817175,2023-03-15,"Clear Sky Advisers, LLC",0.51,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2023-03-15,Kintbury Capital LLP,0.57,archive
Alfen N.V.,NL0012817175,2023-03-15,Marshall Wace LLP,1.5,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-03-15,"WorldQuant, LLC",0.49,archive
Alfen N.V.,NL0012817175,2023-03-14,"Arrowstreet Capital, Limited Partnership",0.81,archive
Koninklijke Philips N.V.,NL0000009538,2023-03-14,Citadel Advisors LLC,0.5,archive
TomTom N.V.,NL0013332471,2023-03-14,Citadel Advisors LLC,0.57,archive
SBM Offshore N.V.,NL0000360618,2023-03-14,JPMorgan Asset Management (UK) Ltd.,0.69,archive
Akzo Nobel N.V.,NL0013267909,2023-03-14,Marshall Wace LLP,0.7,archive
Koninklijke Philips N.V.,NL0000009538,2023-03-14,Marshall Wace LLP,0.56,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-03-14,"Point72 Asset Management, L.P.",3.0,archive
PostNL N.V.,NL0009739416,2023-03-14,"WorldQuant, LLC",0.49,archive
Signify N.V.,NL0011821392,2023-03-13,AKO Capital LLP,1.17,archive
Basic-Fit N.V.,NL0011872650,2023-03-13,CapeView Capital LLP,0.53,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2023-03-13,CapeView Capital LLP,0.5,archive
TomTom N.V.,NL0013332471,2023-03-13,Citadel Advisors LLC,0.6,archive
Koninklijke Philips N.V.,NL0000009538,2023-03-13,Marshall Wace LLP,0.62,archive
Pharming Group N.V.,NL0010391025,2023-03-13,Millennium International Management LP,0.58,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-03-13,"Point72 Asset Management, L.P.",2.8,archive
Basic-Fit N.V.,NL0011872650,2023-03-10,CapeView Capital LLP,0.49,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2023-03-10,Kintbury Capital LLP,0.49,archive
Alfen N.V.,NL0012817175,2023-03-10,Marble Bar Asset Management LLP,0.77,archive
Akzo Nobel N.V.,NL0013267909,2023-03-10,Marshall Wace LLP,0.62,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-03-10,"Point72 Asset Management, L.P.",2.76,archive
Fugro N.V.,NL00150003E1,2023-03-10,Voleon Capital Management LP,0.54,archive
Pharming Group N.V.,NL0010391025,2023-03-09,Millennium International Management LP,0.61,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-03-09,"Point72 Asset Management, L.P.",2.66,archive
Wereldhave N.V.,NL0000289213,2023-03-09,"Woodson Capital Master Fund, LP",1.87,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-03-08,Citadel Advisors LLC,0.48,archive
Alfen N.V.,NL0012817175,2023-03-08,Pictet Asset Management S.A.,0.6,archive
Wereldhave N.V.,NL0000289213,2023-03-08,Toscafund Asset Management LLP,1.28,archive
Wereldhave N.V.,NL0000289213,2023-03-08,"Woodson Capital Master Fund, LP",1.98,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-03-08,"WorldQuant, LLC",0.51,archive
Alfen N.V.,NL0012817175,2023-03-07,AllianceBernstein L.P.,0.6,archive
Koninklijke Philips N.V.,NL0000009538,2023-03-07,Marshall Wace LLP,0.7,archive
Fugro N.V.,NL00150003E1,2023-03-07,Voleon Capital Management LP,0.6,archive
Alfen N.V.,NL0012817175,2023-03-06,AllianceBernstein L.P.,0.59,archive
TomTom N.V.,NL0013332471,2023-03-06,Citadel Advisors LLC,0.59,archive
Alfen N.V.,NL0012817175,2023-03-06,Marshall Wace LLP,1.42,archive
Koninklijke Philips N.V.,NL0000009538,2023-03-06,Marshall Wace LLP,0.69,archive
Wereldhave N.V.,NL0000289213,2023-03-06,"Woodson Capital Master Fund, LP",2.04,archive
PostNL N.V.,NL0009739416,2023-03-03,"WorldQuant, LLC",0.5,archive
Basic-Fit N.V.,NL0011872650,2023-03-02,"D. E. Shaw & Co., L.P.",0.51,archive
PostNL N.V.,NL0009739416,2023-03-02,Marshall Wace LLP,0.49,archive
Alfen N.V.,NL0012817175,2023-03-01,"Arrowstreet Capital, Limited Partnership",0.7,archive
TomTom N.V.,NL0013332471,2023-03-01,Citadel Advisors LLC,0.68,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2023-03-01,Kintbury Capital LLP,0.51,archive
Alfen N.V.,NL0012817175,2023-03-01,Marble Bar Asset Management LLP,0.81,archive
PostNL N.V.,NL0009739416,2023-03-01,Marshall Wace LLP,0.54,archive
Alfen N.V.,NL0012817175,2023-03-01,Pictet Asset Management S.A.,0.55,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-03-01,"Point72 Asset Management, L.P.",2.51,archive
PostNL N.V.,NL0009739416,2023-03-01,Qube Research & Technologies Ltd.,0.45,archive
Wereldhave N.V.,NL0000289213,2023-03-01,"Woodson Capital Master Fund, LP",2.16,archive
PostNL N.V.,NL0009739416,2023-02-28,Marshall Wace LLP,0.74,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-02-28,"Point72 Asset Management, L.P.",2.38,archive
PostNL N.V.,NL0009739416,2023-02-28,Qube Research & Technologies Ltd.,0.58,archive
Akzo Nobel N.V.,NL0013267909,2023-02-27,Marshall Wace LLP,0.51,archive
PostNL N.V.,NL0009739416,2023-02-27,Marshall Wace LLP,0.91,archive
PostNL N.V.,NL0009739416,2023-02-27,Millennium Capital Partners LLP,0.41,archive
Signify N.V.,NL0011821392,2023-02-27,Millennium International Management LP,0.49,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-02-27,"Point72 Asset Management, L.P.",2.26,archive
Wereldhave N.V.,NL0000289213,2023-02-27,"Woodson Capital Master Fund, LP",2.27,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-02-24,Citadel Advisors LLC,0.55,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-02-24,Marshall Wace LLP,0.61,archive
Pharming Group N.V.,NL0010391025,2023-02-24,Millennium International Management LP,0.5,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-02-24,"Point72 Asset Management, L.P.",2.17,archive
Fugro N.V.,NL00150003E1,2023-02-24,Voleon Capital Management LP,0.5,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-02-23,"Point72 Asset Management, L.P.",2.08,archive
TomTom N.V.,NL0013332471,2023-02-22,Citadel Advisors LLC,0.77,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-02-22,"Davidson Kempner European Partners, LLP",0.7,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-02-22,Marshall Wace LLP,0.48,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-02-22,"Point72 Asset Management, L.P.",1.89,archive
Koninklijke Philips N.V.,NL0000009538,2023-02-22,Viking Global Investors LP,1.45,archive
Alfen N.V.,NL0012817175,2023-02-21,"Arrowstreet Capital, Limited Partnership",0.61,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-02-21,Citadel Advisors LLC,0.6,archive
Alfen N.V.,NL0012817175,2023-02-21,JPMorgan Asset Management (UK) Ltd.,0.73,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2023-02-21,Kintbury Capital LLP,0.49,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-02-21,"Point72 Asset Management, L.P.",1.63,archive
Koninklijke Philips N.V.,NL0000009538,2023-02-21,Viking Global Investors LP,1.5,archive
Koninklijke BAM Groep N.V.,NL0000337319,2023-02-20,Citadel Advisors LLC,0.58,archive
Pharming Group N.V.,NL0010391025,2023-02-20,Millennium International Management LP,0.47,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-02-17,"Point72 Asset Management, L.P.",1.56,archive
Koninklijke Philips N.V.,NL0000009538,2023-02-17,Viking Global Investors LP,1.49,archive
TomTom N.V.,NL0013332471,2023-02-16,Citadel Advisors LLC,0.88,archive
Unibail-Rodamco-Westfield SE,FR0013326246,2023-02-16,Kintbury Capital LLP,0.53,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-02-16,Millennium International Management LP,0.45,archive
Signify N.V.,NL0011821392,2023-02-16,Millennium International Management LP,0.59,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-02-16,"Point72 Asset Management, L.P.",1.61,archive
Pharming Group N.V.,NL0010391025,2023-02-15,Lazard Asset Management LLC,0.49,archive
Alfen N.V.,NL0012817175,2023-02-15,Marble Bar Asset Management LLP,0.77,archive
Alfen N.V.,NL0012817175,2023-02-15,Marshall Wace LLP,1.3,archive
BE Semiconductor Industries N.V.,NL0012866412,2023-02-15,Millennium International Management LP,0.54,archive
IMCD N.V.,NL0010801007,2023-02-14,"AQR Capital Management, LLC",0.59,archive
Alfen N.V.,NL0012817175,2023-02-14,Marble Bar Asset Management LLP,0.67,archive
Akzo Nobel N.V.,NL0013267909,2023-02-14,Marshall Wace LLP,0.49,archive
Alfen N.V.,NL0012817175,2023-02-13,Marshall Wace LLP,1.29,archive
Koninklijke Philips N.V.,NL0000009538,2023-02-13,Marshall Wace LLP,0.78,archive
