issuer_name,net_short_position,isin,position_date,position_holder,source
Koninklijke BAM Groep N.V.,0.47,NL0000337319,2020-02-11,HBK Investments LP,archive
ARCADIS N.V.,0.93,NL0006237562,2020-02-11,Kuvari Partners LLP,archive
Wereldhave N.V.,1.9,NL0000289213,2020-02-11,Marshall Wace LLP,archive
Wereldhave N.V.,1.52,NL0000289213,2020-02-11,Millennium International Management LP,archive
Flow Traders Ltd.,0.29,NL0011279492,2020-02-11,"Philadelphia Financial Management of San Francisco, LLC",archive
Pharming Group N.V.,0.8,NL0010391025,2020-02-11,Woodline Partners,archive
Wereldhave N.V.,0.64,NL0000289213,2020-02-11,"WorldQuant, LLC",archive
Eurocommercial Properties N.V.,1.83,NL0000288876,2020-02-10,Adelphi Capital LLP,archive
Fugro N.V.,0.88,NL0000352565,2020-02-10,HBK Investments LP,archive
Koninklijke BAM Groep N.V.,1.58,NL0000337319,2020-02-10,Marshall Wace LLP,archive
Wereldhave N.V.,1.89,NL0000289213,2020-02-10,Marshall Wace LLP,archive
Wereldhave N.V.,1.48,NL0000289213,2020-02-10,Millennium International Management LP,archive
Flow Traders Ltd.,0.46,NL0011279492,2020-02-10,"PDT Partners, LLC",archive
Fugro N.V.,1.94,NL0000352565,2020-02-10,Sculptor Capital Management Europe Limited,archive
Wereldhave N.V.,3.67,NL0000289213,2020-02-10,"Woodson Capital Master Fund, LP",archive
Wereldhave N.V.,0.55,NL0000289213,2020-02-10,"WorldQuant, LLC",archive
Eurocommercial Properties N.V.,1.76,NL0000288876,2020-02-07,Adelphi Capital LLP,archive
Wereldhave N.V.,3.6,NL0000289213,2020-02-07,Adelphi Capital LLP,archive
Wereldhave N.V.,0.28,NL0000289213,2020-02-07,Carmignac Gestion SA,archive
Wereldhave N.V.,0.66,NL0000289213,2020-02-07,Citadel Advisors LLC,archive
Wereldhave N.V.,0.78,NL0000289213,2020-02-07,"D. E. Shaw & Co., L.P.",archive
Wereldhave N.V.,0.67,NL0000289213,2020-02-07,Eleva Capital SAS,archive
Fugro N.V.,0.9,NL0000352565,2020-02-07,HBK Investments LP,archive
Koninklijke BAM Groep N.V.,0.51,NL0000337319,2020-02-07,HBK Investments LP,archive
Fugro N.V.,2.39,NL0000352565,2020-02-07,Marshall Wace LLP,archive
SBM Offshore N.V.,1.12,NL0000360618,2020-02-07,Marshall Wace LLP,archive
Wereldhave N.V.,1.73,NL0000289213,2020-02-07,Marshall Wace LLP,archive
Flow Traders Ltd.,0.5,NL0011279492,2020-02-07,"PDT Partners, LLC",archive
Flow Traders Ltd.,0.68,NL0011279492,2020-02-07,"Philadelphia Financial Management of San Francisco, LLC",archive
Fugro N.V.,1.84,NL0000352565,2020-02-07,Sculptor Capital Management Europe Limited,archive
AMG Critical Materials N.V.,0.0,NL0000888691,2020-02-07,Susquehanna International Securities Limited,archive
Wereldhave N.V.,3.29,NL0000289213,2020-02-07,"Woodson Capital Master Fund, LP",archive
Eurocommercial Properties N.V.,1.23,NL0000288876,2020-02-06,Adelphi Capital LLP,archive
Wereldhave N.V.,3.11,NL0000289213,2020-02-06,Adelphi Capital LLP,archive
OCI N.V.,0.59,NL0010558797,2020-02-06,AHL Partners LLP,archive
Koninklijke KPN N.V.,0.47,NL0000009082,2020-02-06,"AQR Capital Management, LLC",archive
Galapagos NV,0.8,BE0003818359,2020-02-06,Citadel Advisors LLC,archive
Koninklijke BAM Groep N.V.,0.48,NL0000337319,2020-02-06,HBK Investments LP,archive
AMG Critical Materials N.V.,1.78,NL0000888691,2020-02-06,Jupiter Investment Management Limited,archive
PostNL N.V.,1.0,NL0009739416,2020-02-06,Marshall Wace LLP,archive
Wereldhave N.V.,1.69,NL0000289213,2020-02-06,Marshall Wace LLP,archive
Wereldhave N.V.,1.35,NL0000289213,2020-02-06,Millennium International Management LP,archive
AMG Critical Materials N.V.,0.59,NL0000888691,2020-02-06,Susquehanna International Securities Limited,archive
Fugro N.V.,1.0,NL0000352565,2020-02-06,Systematica Investments Limited,archive
AMG Critical Materials N.V.,0.6,NL0000888691,2020-02-06,Voleon Capital Management LP,archive
Wereldhave N.V.,2.51,NL0000289213,2020-02-05,Adelphi Capital LLP,archive
Signify N.V.,1.77,NL0011821392,2020-02-05,BlackRock Investment Management (UK) Limited,archive
Signify N.V.,0.58,NL0011821392,2020-02-05,ENA Investment Capital LLP,archive
Fugro N.V.,0.87,NL0000352565,2020-02-05,HBK Investments LP,archive
Unibail-Rodamco-Westfield SE,0.52,FR0013326246,2020-02-05,Lone Pine Capital LLC,archive
Aperam S.A.,0.49,LU0569974404,2020-02-05,Marshall Wace LLP,archive
Galapagos NV,1.11,BE0003818359,2020-02-05,Marshall Wace LLP,archive
Koninklijke BAM Groep N.V.,1.66,NL0000337319,2020-02-05,Marshall Wace LLP,archive
TomTom N.V.,0.44,NL0013332471,2020-02-05,Marshall Wace LLP,archive
Galapagos NV,0.49,BE0003818359,2020-02-05,Millennium International Management LP,archive
Galapagos NV,0.58,BE0003818359,2020-02-05,Numeric Investors LLC,archive
AMG Critical Materials N.V.,3.13,NL0000888691,2020-02-05,"Public Equity Partners Management, L.P.",archive
PostNL N.V.,0.61,NL0009739416,2020-02-05,UBS Asset Management (UK) Ltd.,archive
Wereldhave N.V.,0.51,NL0000289213,2020-02-05,UBS Asset Management (UK) Ltd.,archive
AMG Critical Materials N.V.,0.58,NL0000888691,2020-02-05,Voleon Capital Management LP,archive
Pharming Group N.V.,0.7,NL0010391025,2020-02-05,Woodline Partners,archive
Eurocommercial Properties N.V.,1.01,NL0000288876,2020-02-04,Adelphi Capital LLP,archive
Wereldhave N.V.,2.46,NL0000289213,2020-02-04,Adelphi Capital LLP,archive
OCI N.V.,1.7,NL0010558797,2020-02-04,"AQR Capital Management, LLC",archive
AMG Critical Materials N.V.,0.62,NL0000888691,2020-02-04,"Arrowstreet Capital, Limited Partnership",archive
Signify N.V.,1.87,NL0011821392,2020-02-04,BlackRock Investment Management (UK) Limited,archive
Galapagos NV,0.77,BE0003818359,2020-02-04,Citadel Advisors LLC,archive
Wereldhave N.V.,0.79,NL0000289213,2020-02-04,Clearance Capital Limited,archive
Galapagos NV,0.93,BE0003818359,2020-02-04,"D. E. Shaw & Co., L.P.",archive
Fugro N.V.,1.29,NL0000352565,2020-02-04,JPMorgan Asset Management (UK) Ltd.,archive
Fugro N.V.,2.46,NL0000352565,2020-02-04,Marshall Wace LLP,archive
Wereldhave N.V.,0.21,NL0000289213,2020-02-04,Thames River Capital LLP,archive
Signify N.V.,0.45,NL0011821392,2020-02-04,Tower House Partners LLP,archive
Wereldhave N.V.,1.77,NL0000289213,2020-02-03,Adelphi Capital LLP,archive
OCI N.V.,0.61,NL0010558797,2020-02-03,AHL Partners LLP,archive
PostNL N.V.,1.04,NL0009739416,2020-02-03,AHL Partners LLP,archive
Galapagos NV,0.8,BE0003818359,2020-02-03,Citadel Advisors LLC,archive
ARCADIS N.V.,0.81,NL0006237562,2020-02-03,Kuvari Partners LLP,archive
Wereldhave N.V.,1.81,NL0000289213,2020-02-03,Marshall Wace LLP,archive
Signify N.V.,0.85,NL0011821392,2020-02-03,Millennium International Management LP,archive
Wereldhave N.V.,1.22,NL0000289213,2020-02-03,Millennium International Management LP,archive
Pharming Group N.V.,0.9,NL0010391025,2020-02-03,"Point72 Asset Management, L.P.",archive
Wereldhave N.V.,0.63,NL0000289213,2020-02-03,Toscafund Asset Management LLP,archive
PostNL N.V.,0.47,NL0009739416,2020-02-03,Voleon Capital Management LP,archive
Pharming Group N.V.,0.61,NL0010391025,2020-02-03,Woodline Partners,archive
AMG Critical Materials N.V.,0.47,NL0000888691,2020-02-03,"WorldQuant, LLC",archive
ARCADIS N.V.,0.49,NL0006237562,2020-01-31,Boldhaven Management LLP,archive
Wereldhave N.V.,1.17,NL0000289213,2020-01-31,Clearance Capital Limited,archive
BE Semiconductor Industries N.V.,0.76,NL0012866412,2020-01-31,CQS (UK) LLP,archive
Fugro N.V.,0.94,NL0000352565,2020-01-31,HBK Investments LP,archive
AMG Critical Materials N.V.,1.5,NL0000888691,2020-01-31,JPMorgan Asset Management (UK) Ltd.,archive
Fugro N.V.,2.53,NL0000352565,2020-01-31,Marshall Wace LLP,archive
Galapagos NV,1.01,BE0003818359,2020-01-31,Marshall Wace LLP,archive
Koninklijke BAM Groep N.V.,1.78,NL0000337319,2020-01-31,Marshall Wace LLP,archive
OCI N.V.,0.46,NL0010558797,2020-01-31,Marshall Wace LLP,archive
Wereldhave N.V.,1.78,NL0000289213,2020-01-31,Marshall Wace LLP,archive
Wereldhave N.V.,1.15,NL0000289213,2020-01-31,Millennium International Management LP,archive
Flow Traders Ltd.,0.86,NL0011279492,2020-01-31,"Philadelphia Financial Management of San Francisco, LLC",archive
PostNL N.V.,0.53,NL0009739416,2020-01-31,Voleon Capital Management LP,archive
Pharming Group N.V.,0.55,NL0010391025,2020-01-31,Woodline Partners,archive
Wereldhave N.V.,3.02,NL0000289213,2020-01-31,"Woodson Capital Master Fund, LP",archive
PostNL N.V.,0.92,NL0009739416,2020-01-30,AHL Partners LLP,archive
Adyen N.V.,0.49,NL0012969182,2020-01-30,"AQR Capital Management, LLC",archive
ArcelorMittal S.A.,1.19,LU1598757687,2020-01-30,"AQR Capital Management, LLC",archive
Koninklijke Vopak N.V.,1.19,NL0009432491,2020-01-30,"AQR Capital Management, LLC",archive
AMG Critical Materials N.V.,0.5,NL0000888691,2020-01-30,"Arrowstreet Capital, Limited Partnership",archive
Wereldhave N.V.,0.51,NL0000289213,2020-01-30,"D. E. Shaw & Co., L.P.",archive
Fugro N.V.,1.0,NL0000352565,2020-01-30,HBK Investments LP,archive
Wereldhave N.V.,1.66,NL0000289213,2020-01-30,Marshall Wace LLP,archive
Signify N.V.,1.1,NL0011821392,2020-01-30,Millennium Capital Partners LLP,archive
Wereldhave N.V.,1.02,NL0000289213,2020-01-30,Millennium International Management LP,archive
Signify N.V.,0.54,NL0011821392,2020-01-30,Tower House Partners LLP,archive
PostNL N.V.,0.61,NL0009739416,2020-01-30,Voleon Capital Management LP,archive
Koninklijke KPN N.V.,0.58,NL0000009082,2020-01-29,"AQR Capital Management, LLC",archive
Wereldhave N.V.,0.47,NL0000289213,2020-01-29,"D. E. Shaw & Co., L.P.",archive
PostNL N.V.,0.62,NL0009739416,2020-01-29,Kuvari Partners LLP,archive
Wereldhave N.V.,0.99,NL0000289213,2020-01-29,"Lucerne Capital Management, L.P.",archive
Fugro N.V.,2.68,NL0000352565,2020-01-29,Marshall Wace LLP,archive
PostNL N.V.,0.92,NL0009739416,2020-01-29,Marshall Wace LLP,archive
Wereldhave N.V.,1.56,NL0000289213,2020-01-29,Marshall Wace LLP,archive
AMG Critical Materials N.V.,0.57,NL0000888691,2020-01-29,"WorldQuant, LLC",archive
SBM Offshore N.V.,2.41,NL0000360618,2020-01-28,"AQR Capital Management, LLC",archive
Wereldhave N.V.,0.57,NL0000289213,2020-01-28,"D. E. Shaw & Co., L.P.",archive
Signify N.V.,0.69,NL0011821392,2020-01-28,ENA Investment Capital LLP,archive
Fugro N.V.,0.97,NL0000352565,2020-01-28,HBK Investments LP,archive
Koninklijke BAM Groep N.V.,1.89,NL0000337319,2020-01-28,Marshall Wace LLP,archive
SBM Offshore N.V.,1.01,NL0000360618,2020-01-28,Marshall Wace LLP,archive
Wereldhave N.V.,1.45,NL0000289213,2020-01-28,Marshall Wace LLP,archive
Wereldhave N.V.,0.93,NL0000289213,2020-01-28,Millennium International Management LP,archive
PostNL N.V.,0.79,NL0009739416,2020-01-28,Voleon Capital Management LP,archive
Wereldhave N.V.,2.72,NL0000289213,2020-01-28,"Woodson Capital Master Fund, LP",archive
PostNL N.V.,0.8,NL0009739416,2020-01-27,AHL Partners LLP,archive
OCI N.V.,1.6,NL0010558797,2020-01-27,"AQR Capital Management, LLC",archive
Fugro N.V.,0.79,NL0000352565,2020-01-27,B&G Master Fund Plc,archive
Signify N.V.,0.77,NL0011821392,2020-01-27,ENA Investment Capital LLP,archive
Fugro N.V.,1.01,NL0000352565,2020-01-27,HBK Investments LP,archive
Koninklijke BAM Groep N.V.,0.54,NL0000337319,2020-01-27,HBK Investments LP,archive
Pharming Group N.V.,1.43,NL0010391025,2020-01-27,Linden Advisors LP,archive
Fugro N.V.,2.76,NL0000352565,2020-01-27,Marshall Wace LLP,archive
Galapagos NV,0.9,BE0003818359,2020-01-27,Marshall Wace LLP,archive
TomTom N.V.,0.58,NL0013332471,2020-01-27,Marshall Wace LLP,archive
Fugro N.V.,1.71,NL0000352565,2020-01-27,Sculptor Capital Management Europe Limited,archive
AMG Critical Materials N.V.,0.0,NL0000888691,2020-01-27,Susquehanna International Securities Limited,archive
Wereldhave N.V.,2.46,NL0000289213,2020-01-27,"Woodson Capital Master Fund, LP",archive
ArcelorMittal S.A.,1.2,LU1598757687,2020-01-24,"AQR Capital Management, LLC",archive
Wereldhave N.V.,0.75,NL0000289213,2020-01-24,Carmignac Gestion SA,archive
Galapagos NV,0.7,BE0003818359,2020-01-24,Citadel Advisors LLC,archive
Wereldhave N.V.,0.48,NL0000289213,2020-01-24,"D. E. Shaw & Co., L.P.",archive
BE Semiconductor Industries N.V.,0.8,NL0012866412,2020-01-24,"Davidson Kempner European Partners, LLP",archive
AMG Critical Materials N.V.,2.57,NL0000888691,2020-01-24,"Eminence Capital, LP",archive
Koninklijke BAM Groep N.V.,0.49,NL0000337319,2020-01-24,HBK Investments LP,archive
Koninklijke BAM Groep N.V.,1.99,NL0000337319,2020-01-24,Marshall Wace LLP,archive
Flow Traders Ltd.,0.72,NL0011279492,2020-01-24,"Philadelphia Financial Management of San Francisco, LLC",archive
Fugro N.V.,1.69,NL0000352565,2020-01-24,Sculptor Capital Management Europe Limited,archive
AMG Critical Materials N.V.,0.62,NL0000888691,2020-01-24,"WorldQuant, LLC",archive
SBM Offshore N.V.,0.79,NL0000360618,2020-01-23,AHL Partners LLP,archive
SBM Offshore N.V.,2.39,NL0000360618,2020-01-23,"AQR Capital Management, LLC",archive
Koninklijke BAM Groep N.V.,0.75,NL0000337319,2020-01-23,Citadel Advisors LLC,archive
Wereldhave N.V.,1.37,NL0000289213,2020-01-23,Clearance Capital Limited,archive
Koninklijke BAM Groep N.V.,0.5,NL0000337319,2020-01-23,HBK Investments LP,archive
Pharming Group N.V.,1.36,NL0010391025,2020-01-23,Linden Advisors LP,archive
Fugro N.V.,2.86,NL0000352565,2020-01-23,Marshall Wace LLP,archive
PostNL N.V.,0.83,NL0009739416,2020-01-23,Marshall Wace LLP,archive
Fugro N.V.,1.7,NL0000352565,2020-01-23,Sculptor Capital Management Europe Limited,archive
AMG Critical Materials N.V.,0.66,NL0000888691,2020-01-23,Susquehanna International Securities Limited,archive
AMG Critical Materials N.V.,0.6,NL0000888691,2020-01-23,Voleon Capital Management LP,archive
ArcelorMittal S.A.,1.18,LU1598757687,2020-01-22,"AQR Capital Management, LLC",archive
ARCADIS N.V.,2.48,NL0006237562,2020-01-22,Lansdowne Partners (UK) LLP,archive
Galapagos NV,0.8,BE0003818359,2020-01-22,Marshall Wace LLP,archive
Wereldhave N.V.,1.25,NL0000289213,2020-01-22,Marshall Wace LLP,archive
Flow Traders Ltd.,0.62,NL0011279492,2020-01-22,"Philadelphia Financial Management of San Francisco, LLC",archive
Wereldhave N.V.,0.48,NL0000289213,2020-01-22,"WorldQuant, LLC",archive
PostNL N.V.,0.7,NL0009739416,2020-01-21,AHL Partners LLP,archive
Pharming Group N.V.,1.05,NL0010391025,2020-01-21,Linden Advisors LP,archive
Koninklijke BAM Groep N.V.,2.08,NL0000337319,2020-01-21,Marshall Wace LLP,archive
AMG Critical Materials N.V.,0.54,NL0000888691,2020-01-21,Susquehanna International Securities Limited,archive
Wereldhave N.V.,0.76,NL0000289213,2020-01-21,Toscafund Asset Management LLP,archive
AMG Critical Materials N.V.,0.55,NL0000888691,2020-01-21,"WorldQuant, LLC",archive
Wereldhave N.V.,0.44,NL0000289213,2020-01-20,Citadel Advisors LLC,archive
Wereldhave N.V.,0.84,NL0000289213,2020-01-20,"Lucerne Capital Management, L.P.",archive
Aperam S.A.,0.58,LU0569974404,2020-01-20,Marshall Wace LLP,archive
Galapagos NV,0.7,BE0003818359,2020-01-20,Marshall Wace LLP,archive
AMG Critical Materials N.V.,0.5,NL0000888691,2020-01-20,Voleon Capital Management LP,archive
PostNL N.V.,0.82,NL0009739416,2020-01-20,Voleon Capital Management LP,archive
OCI N.V.,0.5,NL0010558797,2020-01-17,AHL Partners LLP,archive
OCI N.V.,0.72,NL0010558797,2020-01-17,"BlackRock Institutional Trust Company, National Association",archive
Koninklijke BAM Groep N.V.,0.68,NL0000337319,2020-01-17,Citadel Advisors LLC,archive
Fugro N.V.,2.99,NL0000352565,2020-01-17,Marshall Wace LLP,archive
Koninklijke BAM Groep N.V.,0.5,NL0000337319,2020-01-17,"PDT Partners, LLC",archive
AMG Critical Materials N.V.,0.45,NL0000888691,2020-01-17,Susquehanna International Securities Limited,archive
Koninklijke Vopak N.V.,1.29,NL0009432491,2020-01-16,"AQR Capital Management, LLC",archive
Wereldhave N.V.,1.48,NL0000289213,2020-01-16,Clearance Capital Limited,archive
Pharming Group N.V.,0.93,NL0010391025,2020-01-16,Linden Advisors LP,archive
BE Semiconductor Industries N.V.,1.18,NL0012866412,2020-01-16,Scopia Capital Management LP,archive
Wereldhave N.V.,1.02,NL0000289213,2020-01-16,Toscafund Asset Management LLP,archive
PostNL N.V.,0.6,NL0009739416,2020-01-15,AHL Partners LLP,archive
Fugro N.V.,0.59,NL0000352565,2020-01-15,Capital Fund Management S.A.,archive
Koninklijke BAM Groep N.V.,0.7,NL0000337319,2020-01-15,Citadel Advisors LLC,archive
Pharming Group N.V.,0.49,NL0010391025,2020-01-15,Citadel Advisors LLC,archive
Galapagos NV,1.08,BE0003818359,2020-01-15,"D. E. Shaw & Co., L.P.",archive
Wereldhave N.V.,0.51,NL0000289213,2020-01-15,"D. E. Shaw & Co., L.P.",archive
Pharming Group N.V.,0.86,NL0010391025,2020-01-15,Linden Advisors LP,archive
Fugro N.V.,3.06,NL0000352565,2020-01-15,Marshall Wace LLP,archive
Galapagos NV,0.62,BE0003818359,2020-01-15,Marshall Wace LLP,archive
Koninklijke BAM Groep N.V.,2.18,NL0000337319,2020-01-15,Marshall Wace LLP,archive
PostNL N.V.,0.73,NL0009739416,2020-01-15,Marshall Wace LLP,archive
Wereldhave N.V.,0.81,NL0000289213,2020-01-15,Millennium International Management LP,archive
AMG Critical Materials N.V.,0.52,NL0000888691,2020-01-15,Susquehanna International Securities Limited,archive
PostNL N.V.,0.5,NL0009739416,2020-01-15,UBS Asset Management (UK) Ltd.,archive
AMG Critical Materials N.V.,0.62,NL0000888691,2020-01-15,"WorldQuant, LLC",archive
Adyen N.V.,0.58,NL0012969182,2020-01-14,"AQR Capital Management, LLC",archive
Koninklijke KPN N.V.,0.69,NL0000009082,2020-01-14,"AQR Capital Management, LLC",archive
Pharming Group N.V.,0.56,NL0010391025,2020-01-14,Linden Advisors LP,archive
PostNL N.V.,0.69,NL0009739416,2020-01-14,Marshall Wace LLP,archive
Wereldhave N.V.,1.39,NL0000289213,2020-01-14,Marshall Wace LLP,archive
PostNL N.V.,0.7,NL0009739416,2020-01-14,Voleon Capital Management LP,archive
AMG Critical Materials N.V.,0.55,NL0000888691,2020-01-14,"WorldQuant, LLC",archive
Fugro N.V.,0.9,NL0000352565,2020-01-13,HBK Investments LP,archive
Galapagos NV,0.59,BE0003818359,2020-01-13,Marshall Wace LLP,archive
Signify N.V.,0.96,NL0011821392,2020-01-13,Millennium International Management LP,archive
Galapagos NV,0.61,BE0003818359,2020-01-13,Numeric Investors LLC,archive
BE Semiconductor Industries N.V.,1.28,NL0012866412,2020-01-13,Scopia Capital Management LP,archive
PostNL N.V.,0.61,NL0009739416,2020-01-13,Voleon Capital Management LP,archive
Wereldhave N.V.,0.59,NL0000289213,2020-01-13,"WorldQuant, LLC",archive
PostNL N.V.,0.5,NL0009739416,2020-01-10,AHL Partners LLP,archive
OCI N.V.,0.6,NL0010558797,2020-01-10,"BlackRock Institutional Trust Company, National Association",archive
Pharming Group N.V.,0.56,NL0010391025,2020-01-10,Citadel Advisors LLC,archive
Wereldhave N.V.,1.33,NL0000289213,2020-01-10,Clearance Capital Limited,archive
BE Semiconductor Industries N.V.,0.71,NL0012866412,2020-01-10,"Davidson Kempner European Partners, LLP",archive
Galapagos NV,0.6,BE0003818359,2020-01-10,Marshall Wace LLP,archive
ArcelorMittal S.A.,1.23,LU1598757687,2020-01-09,"AQR Capital Management, LLC",archive
Pharming Group N.V.,0.46,NL0010391025,2020-01-09,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,1.88,NL0000888691,2020-01-09,Jupiter Investment Management Limited,archive
Pharming Group N.V.,0.73,NL0010391025,2020-01-09,Kingdon Capital Management LLC,archive
Koninklijke BAM Groep N.V.,2.29,NL0000337319,2020-01-09,Marshall Wace LLP,archive
Wereldhave N.V.,1.4,NL0000289213,2020-01-09,Marshall Wace LLP,archive
Wereldhave N.V.,0.71,NL0000289213,2020-01-09,Millennium International Management LP,archive
Galapagos NV,0.59,BE0003818359,2020-01-09,Numeric Investors LLC,archive
PostNL N.V.,0.55,NL0009739416,2020-01-09,Voleon Capital Management LP,archive
SBM Offshore N.V.,2.41,NL0000360618,2020-01-08,"AQR Capital Management, LLC",archive
Koninklijke BAM Groep N.V.,0.68,NL0000337319,2020-01-08,Citadel Advisors LLC,archive
Pharming Group N.V.,0.57,NL0010391025,2020-01-08,Citadel Advisors LLC,archive
BE Semiconductor Industries N.V.,0.68,NL0012866412,2020-01-08,"Davidson Kempner European Partners, LLP",archive
ARCADIS N.V.,0.77,NL0006237562,2020-01-08,Kuvari Partners LLP,archive
Fugro N.V.,3.16,NL0000352565,2020-01-08,Marshall Wace LLP,archive
PostNL N.V.,0.77,NL0009739416,2020-01-08,Marshall Wace LLP,archive
Wereldhave N.V.,1.39,NL0000289213,2020-01-08,Marshall Wace LLP,archive
Signify N.V.,1.28,NL0011821392,2020-01-08,Millennium Capital Partners LLP,archive
Wereldhave N.V.,0.67,NL0000289213,2020-01-08,Millennium International Management LP,archive
Pharming Group N.V.,0.64,NL0010391025,2020-01-07,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,1.45,NL0000888691,2020-01-07,JPMorgan Asset Management (UK) Ltd.,archive
AMG Critical Materials N.V.,1.96,NL0000888691,2020-01-07,Jupiter Investment Management Limited,archive
Aperam S.A.,0.69,LU0569974404,2020-01-07,Marshall Wace LLP,archive
Fugro N.V.,3.24,NL0000352565,2020-01-07,Marshall Wace LLP,archive
TomTom N.V.,0.69,NL0013332471,2020-01-07,Marshall Wace LLP,archive
Signify N.V.,1.0,NL0011821392,2020-01-07,Millennium International Management LP,archive
Wereldhave N.V.,0.5,NL0000289213,2020-01-07,Millennium International Management LP,archive
Wereldhave N.V.,0.64,NL0000289213,2020-01-07,"WorldQuant, LLC",archive
Pharming Group N.V.,0.57,NL0010391025,2020-01-06,Citadel Advisors LLC,archive
Fugro N.V.,0.87,NL0000352565,2020-01-06,HBK Investments LP,archive
Galapagos NV,0.58,BE0003818359,2020-01-06,Marshall Wace LLP,archive
Koninklijke Vopak N.V.,1.38,NL0009432491,2020-01-03,"AQR Capital Management, LLC",archive
SBM Offshore N.V.,2.38,NL0000360618,2020-01-03,"AQR Capital Management, LLC",archive
Koninklijke BAM Groep N.V.,0.7,NL0000337319,2020-01-03,Citadel Advisors LLC,archive
BE Semiconductor Industries N.V.,0.63,NL0012866412,2020-01-03,CQS (UK) LLP,archive
Galapagos NV,1.1,BE0003818359,2020-01-03,"D. E. Shaw & Co., L.P.",archive
BE Semiconductor Industries N.V.,0.9,NL0012866412,2020-01-03,"Davidson Kempner European Partners, LLP",archive
Fugro N.V.,3.39,NL0000352565,2020-01-03,Marshall Wace LLP,archive
Koninklijke BAM Groep N.V.,2.39,NL0000337319,2020-01-03,Marshall Wace LLP,archive
Wereldhave N.V.,1.41,NL0000289213,2020-01-03,Marshall Wace LLP,archive
Signify N.V.,0.76,NL0011821392,2020-01-03,Tybourne Capital Management (HK) Limited,archive
Koninklijke Vopak N.V.,1.4,NL0009432491,2020-01-02,"AQR Capital Management, LLC",archive
Fugro N.V.,0.48,NL0000352565,2020-01-02,"BlackRock Institutional Trust Company, National Association",archive
Koninklijke BAM Groep N.V.,0.68,NL0000337319,2020-01-02,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,4.12,NL0000888691,2020-01-02,"Hound Partners, LLC",archive
Fugro N.V.,3.41,NL0000352565,2020-01-02,Marshall Wace LLP,archive
Galapagos NV,0.6,BE0003818359,2020-01-02,Marshall Wace LLP,archive
Signify N.V.,0.49,NL0011821392,2020-01-02,Marshall Wace LLP,archive
Signify N.V.,1.11,NL0011821392,2020-01-02,Millennium Capital Partners LLP,archive
AMG Critical Materials N.V.,0.43,NL0000888691,2020-01-02,Susquehanna International Securities Limited,archive
Signify N.V.,0.83,NL0011821392,2020-01-02,Tybourne Capital Management (HK) Limited,archive
Wereldhave N.V.,0.52,NL0000289213,2020-01-02,"WorldQuant, LLC",archive
Koninklijke Vopak N.V.,1.39,NL0009432491,2019-12-31,"AQR Capital Management, LLC",archive
Wereldhave N.V.,0.0,NL0000289213,2019-12-31,Citadel Advisors II LLC,archive
Koninklijke BAM Groep N.V.,0.73,NL0000337319,2019-12-31,Citadel Advisors LLC,archive
Wereldhave N.V.,0.51,NL0000289213,2019-12-31,Citadel Advisors LLC,archive
Fugro N.V.,0.98,NL0000352565,2019-12-31,HBK Investments LP,archive
Fugro N.V.,3.56,NL0000352565,2019-12-31,Marshall Wace LLP,archive
Galapagos NV,0.59,BE0003818359,2019-12-31,Marshall Wace LLP,archive
Wereldhave N.V.,0.49,NL0000289213,2019-12-31,"WorldQuant, LLC",archive
OCI N.V.,0.5,NL0010558797,2019-12-30,"BlackRock Institutional Trust Company, National Association",archive
Wereldhave N.V.,0.71,NL0000289213,2019-12-30,"Lucerne Capital Management, L.P.",archive
Koninklijke BAM Groep N.V.,2.48,NL0000337319,2019-12-30,Marshall Wace LLP,archive
TomTom N.V.,0.79,NL0013332471,2019-12-30,Marshall Wace LLP,archive
Galapagos NV,0.53,BE0003818359,2019-12-30,Millennium International Management LP,archive
Fugro N.V.,1.69,NL0000352565,2019-12-30,Sculptor Capital Management Europe Limited,archive
PostNL N.V.,0.49,NL0009739416,2019-12-30,Voleon Capital Management LP,archive
Galapagos NV,0.47,BE0003818359,2019-12-27,"AQR Capital Management, LLC",archive
Fugro N.V.,0.69,NL0000352565,2019-12-27,Capital Fund Management S.A.,archive
Wereldhave N.V.,0.66,NL0000289213,2019-12-27,"Lucerne Capital Management, L.P.",archive
Fugro N.V.,3.65,NL0000352565,2019-12-27,Marshall Wace LLP,archive
OCI N.V.,0.5,NL0010558797,2019-12-27,Marshall Wace LLP,archive
Wereldhave N.V.,1.32,NL0000289213,2019-12-27,Marshall Wace LLP,archive
Signify N.V.,0.9,NL0011821392,2019-12-27,Millennium International Management LP,archive
Signify N.V.,0.89,NL0011821392,2019-12-24,Millennium International Management LP,archive
AMG Critical Materials N.V.,0.53,NL0000888691,2019-12-23,Susquehanna International Securities Limited,archive
Signify N.V.,0.9,NL0011821392,2019-12-20,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,1.39,NL0012866412,2019-12-20,Scopia Capital Management LP,archive
PostNL N.V.,0.56,NL0009739416,2019-12-20,Voleon Capital Management LP,archive
AMG Critical Materials N.V.,2.69,NL0000888691,2019-12-19,"Eminence Capital, LP",archive
ARCADIS N.V.,2.19,NL0006237562,2019-12-19,Marshall Wace LLP,archive
