issuer_name,net_short_position,isin,position_date,position_holder,source
Signify N.V.,1.1,NL0011821392,2026-04-01,"AQR Capital Management, LLC",current
IMCD N.V.,1.21,NL0010801007,2026-04-01,"Arrowstreet Capital, Limited Partnership",current
Signify N.V.,0.74,NL0011821392,2026-04-01,Canada Pension Plan Investment Board,current
Signify N.V.,2.36,NL0011821392,2026-04-01,Citadel Advisors LLC,current
ARCADIS N.V.,0.69,NL0006237562,2026-04-01,"D. E. Shaw & Co., L.P.",current
Basic-Fit N.V.,0.5,NL0011872650,2026-04-01,Eleva Capital SAS,current
Signify N.V.,1.79,NL0011821392,2026-04-01,Marshall Wace LLP,current
Alfen N.V.,2.86,NL0012817175,2026-04-01,"WorldQuant, LLC",current
IMCD N.V.,0.62,NL0010801007,2026-03-31,Capital Fund Management S.A.,current
Signify N.V.,2.4,NL0011821392,2026-03-31,Citadel Advisors LLC,current
Signify N.V.,1.21,NL0011821392,2026-03-31,Eleva Capital SAS,current
Adyen N.V.,0.9,NL0012969182,2026-03-30,"AQR Capital Management, LLC",current
Signify N.V.,1.05,NL0011821392,2026-03-30,Eleva Capital SAS,current
DSM-Firmenich AG,0.91,CH1216478797,2026-03-30,Ilex Capital Partners (UK) LLP,current
Signify N.V.,1.87,NL0011821392,2026-03-30,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,1.59,NL0015002MS2,2026-03-30,Marshall Wace LLP,current
NSI N.V.,0.61,NL0012365084,2026-03-30,Numeric Investors LLC,current
Theon International Plc,0.7,CY0200751713,2026-03-30,"Two Sigma Investments, LP",current
ARCADIS N.V.,0.9,NL0006237562,2026-03-27,"AQR Capital Management, LLC",current
IMCD N.V.,1.12,NL0010801007,2026-03-27,"Arrowstreet Capital, Limited Partnership",current
IMCD N.V.,1.09,NL0010801007,2026-03-27,"BlackRock Financial Management, Inc.",current
IMCD N.V.,0.51,NL0010801007,2026-03-27,Capital Fund Management S.A.,current
ARCADIS N.V.,0.7,NL0006237562,2026-03-27,"D. E. Shaw & Co., L.P.",current
Randstad N.V.,0.86,NL0000379121,2026-03-27,Marshall Wace LLP,current
ARCADIS N.V.,0.69,NL0006237562,2026-03-26,"D. E. Shaw & Co., L.P.",current
Signify N.V.,1.96,NL0011821392,2026-03-26,Marshall Wace LLP,current
InPost S.A.,1.5,LU2290522684,2026-03-26,"Two Sigma Investments, LP",current
IMCD N.V.,0.5,NL0010801007,2026-03-26,Voleon Capital Management LP,current
Alfen N.V.,2.92,NL0012817175,2026-03-26,"WorldQuant, LLC",current
Adyen N.V.,0.8,NL0012969182,2026-03-25,"AQR Capital Management, LLC",current
CVC Capital Partners plc,0.5,JE00BRX98089,2026-03-25,"AQR Capital Management, LLC",current
DSM-Firmenich AG,0.82,CH1216478797,2026-03-25,Ilex Capital Partners (UK) LLP,current
IMCD N.V.,0.56,NL0010801007,2026-03-24,JPMorgan Asset Management (UK) Ltd.,current
Pharming Group N.V.,1.14,NL0010391025,2026-03-24,Lazard Asset Management LLC,current
Randstad N.V.,0.91,NL0000379121,2026-03-24,Marshall Wace LLP,current
Signify N.V.,2.0,NL0011821392,2026-03-24,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,1.6,NL0015002MS2,2026-03-24,Marshall Wace LLP,current
IMCD N.V.,0.9,NL0010801007,2026-03-24,"PDT Partners, LLC",current
InPost S.A.,1.44,LU2290522684,2026-03-24,"Two Sigma Investments, LP",current
Theon International Plc,0.6,CY0200751713,2026-03-24,"Two Sigma Investments, LP",current
Adyen N.V.,0.72,NL0012969182,2026-03-23,"AQR Capital Management, LLC",current
IMCD N.V.,1.01,NL0010801007,2026-03-23,"Arrowstreet Capital, Limited Partnership",current
Signify N.V.,0.6,NL0011821392,2026-03-23,"BlackRock Financial Management, Inc.",current
Signify N.V.,2.3,NL0011821392,2026-03-23,Citadel Advisors LLC,current
PostNL N.V.,0.69,NL0009739416,2026-03-23,"D. E. Shaw & Co., L.P.",current
PostNL N.V.,0.7,NL0009739416,2026-03-23,Marshall Wace LLP,current
InPost S.A.,1.36,LU2290522684,2026-03-23,"Two Sigma Investments, LP",current
Signify N.V.,0.58,NL0011821392,2026-03-20,"BlackRock Financial Management, Inc.",current
