issuer_name,position_date,net_short_position,isin,position_holder,source
Pharming Group N.V.,2026-05-20,1.0,NL0010391025,"Two Sigma Investments, LP",current
Pharming Group N.V.,2026-05-19,0.6,NL0010391025,"D. E. Shaw & Co., L.P.",current
Basic-Fit N.V.,2026-05-19,0.9,NL0011872650,Linden Advisors LP,current
Signify N.V.,2026-05-19,1.0,NL0011821392,"PDT Partners, LLC",current
IMCD N.V.,2026-05-19,0.68,NL0010801007,"Two Sigma Investments, LP",current
ARCADIS N.V.,2026-05-18,0.99,NL0006237562,"AQR Capital Management, LLC",current
DSM-Firmenich AG,2026-05-18,0.62,CH1216478797,Citadel Advisors LLC,current
Signify N.V.,2026-05-18,1.59,NL0011821392,Citadel Advisors LLC,current
The Magnum Ice Cream Company N.V.,2026-05-18,0.73,NL0015002MS2,Marshall Wace LLP,current
IMCD N.V.,2026-05-15,0.79,NL0010801007,"BlackRock Financial Management, Inc.",current
Wereldhave N.V.,2026-05-15,0.82,NL0000289213,Citadel Advisors LLC,current
Wolters Kluwer N.V.,2026-05-15,0.68,NL0000395903,"D. E. Shaw & Co., L.P.",current
The Magnum Ice Cream Company N.V.,2026-05-15,0.68,NL0015002MS2,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-05-15,0.71,NL0015002MS2,Qube Research & Technologies Ltd.,current
Flow Traders Ltd.,2026-05-14,0.51,BMG3602E1084,Capital Fund Management S.A.,current
IMCD N.V.,2026-05-14,0.78,NL0010801007,Capital Fund Management S.A.,current
Basic-Fit N.V.,2026-05-14,0.89,NL0011872650,"D. E. Shaw & Co., L.P.",current
IMCD N.V.,2026-05-14,0.8,NL0010801007,"PDT Partners, LLC",current
Basic-Fit N.V.,2026-05-14,0.77,NL0011872650,Sculptor Capital Management Europe Limited,current
IMCD N.V.,2026-05-13,0.8,NL0010801007,Capital Fund Management S.A.,current
Signify N.V.,2026-05-13,1.61,NL0011821392,Citadel Advisors LLC,current
Pharming Group N.V.,2026-05-13,0.53,NL0010391025,"D. E. Shaw & Co., L.P.",current
Pharming Group N.V.,2026-05-13,0.91,NL0010391025,"Two Sigma Investments, LP",current
Pharming Group N.V.,2026-05-13,0.74,NL0010391025,Walleye Capital LLC,current
IMCD N.V.,2026-05-12,0.59,NL0010801007,"BlackRock Advisors, LLC",current
Signify N.V.,2026-05-12,0.71,NL0011821392,"BlackRock Financial Management, Inc.",current
IMCD N.V.,2026-05-12,0.79,NL0010801007,Capital Fund Management S.A.,current
Pharming Group N.V.,2026-05-12,0.82,NL0010391025,Lazard Asset Management LLC,current
NSI N.V.,2026-05-12,0.8,NL0012365084,Numeric Investors LLC,current
InPost S.A.,2026-05-12,1.36,LU2290522684,"Two Sigma Investments, LP",current
IMCD N.V.,2026-05-11,0.8,NL0010801007,Capital Fund Management S.A.,current
TKH Group N.V.,2026-05-11,0.52,NL0000852523,Capital Fund Management S.A.,current
Signify N.V.,2026-05-11,1.02,NL0011821392,Citadel Advisors Europe Limited,current
DSM-Firmenich AG,2026-05-11,0.5,CH1216478797,Citadel Advisors LLC,current
Wereldhave N.V.,2026-05-11,0.7,NL0000289213,Citadel Advisors LLC,current
Pharming Group N.V.,2026-05-11,0.86,NL0010391025,"Two Sigma Investments, LP",current
Theon International Plc,2026-05-11,0.8,CY0200751713,"Two Sigma Investments, LP",current
Pharming Group N.V.,2026-05-11,0.63,NL0010391025,Walleye Capital LLC,current
Signify N.V.,2026-05-08,1.5,NL0011821392,Citadel Advisors LLC,current
Akzo Nobel N.V.,2026-05-08,1.72,NL0013267909,Davidson Kempner Capital Management LP,current
Pharming Group N.V.,2026-05-08,0.75,NL0010391025,"Two Sigma Investments, LP",current
Pharming Group N.V.,2026-05-08,0.53,NL0010391025,Walleye Capital LLC,current
Signify N.V.,2026-05-07,0.97,NL0011821392,Citadel Advisors Europe Limited,current
Pharming Group N.V.,2026-05-07,0.76,NL0010391025,Lazard Asset Management LLC,current
IMCD N.V.,2026-05-07,0.79,NL0010801007,Marshall Wace LLP,current
Signify N.V.,2026-05-07,1.69,NL0011821392,Marshall Wace LLP,current
IMCD N.V.,2026-05-06,0.79,NL0010801007,Capital Fund Management S.A.,current
Signify N.V.,2026-05-06,1.41,NL0011821392,Citadel Advisors LLC,current
DSM-Firmenich AG,2026-05-06,1.4,CH1216478797,Ilex Capital Partners (UK) LLP,current
CVC Capital Partners plc,2026-05-06,0.69,JE00BRX98089,Marshall Wace LLP,current
IMCD N.V.,2026-05-06,0.83,NL0010801007,Marshall Wace LLP,current
IMCD N.V.,2026-05-06,0.77,NL0010801007,"PDT Partners, LLC",current
Signify N.V.,2026-05-06,0.9,NL0011821392,"PDT Partners, LLC",current
Signify N.V.,2026-05-05,0.8,NL0011821392,Citadel Advisors Europe Limited,current
Signify N.V.,2026-05-05,1.36,NL0011821392,Citadel Advisors LLC,current
Basic-Fit N.V.,2026-05-05,0.98,NL0011872650,"D. E. Shaw & Co., L.P.",current
TomTom N.V.,2026-05-05,1.09,NL0013332471,JPMorgan Asset Management (UK) Ltd.,current
Signify N.V.,2026-05-05,1.76,NL0011821392,Marshall Wace LLP,current
Basic-Fit N.V.,2026-05-05,0.65,NL0011872650,Sculptor Capital Management Europe Limited,current
IMCD N.V.,2026-05-04,0.81,NL0010801007,Capital Fund Management S.A.,current
Signify N.V.,2026-05-04,0.7,NL0011821392,Citadel Advisors Europe Limited,current
Akzo Nobel N.V.,2026-05-04,1.61,NL0013267909,Davidson Kempner Capital Management LP,current
The Magnum Ice Cream Company N.V.,2026-05-04,0.67,NL0015002MS2,Walleye Capital LLC,current
Signify N.V.,2026-04-30,0.55,NL0011821392,Citadel Advisors Europe Limited,current
ARCADIS N.V.,2026-04-30,0.57,NL0006237562,"D. E. Shaw & Co., L.P.",current
Pharming Group N.V.,2026-04-30,0.5,NL0010391025,Jupiter Asset Management Ltd.,current
PostNL N.V.,2026-04-30,0.89,NL0009739416,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-04-30,0.86,NL0015002MS2,Marshall Wace LLP,current
Signify N.V.,2026-04-30,0.89,NL0011821392,"PDT Partners, LLC",current
The Magnum Ice Cream Company N.V.,2026-04-30,0.6,NL0015002MS2,Qube Research & Technologies Ltd.,current
