position_holder,isin,net_short_position,issuer_name,position_date,source
Marshall Wace LLP,BE0003818359,0.58,Galapagos NV,2020-09-07,archive
Voleon Capital Management LP,NL0000352565,2.1,Fugro N.V.,2020-09-07,archive
"WorldQuant, LLC",BE0003818359,0.46,Galapagos NV,2020-09-07,archive
"AQR Capital Management, LLC",NL0010558797,1.59,OCI N.V.,2020-09-04,archive
BlueCrest Capital Management Limited,NL0000337319,0.78,Koninklijke BAM Groep N.V.,2020-09-04,archive
BNP Paribas S.A.,NL0000226223,1.17,STMicroelectronics N.V.,2020-09-04,archive
HBK Investments LP,NL0000337319,0.98,Koninklijke BAM Groep N.V.,2020-09-04,archive
Lone Pine Capital LLC,FR0013326246,1.63,Unibail-Rodamco-Westfield SE,2020-09-04,archive
Marshall Wace LLP,BE0003818359,0.6,Galapagos NV,2020-09-04,archive
Marshall Wace LLP,FR0013326246,0.87,Unibail-Rodamco-Westfield SE,2020-09-04,archive
"WorldQuant, LLC",NL0000888691,0.46,AMG Critical Materials N.V.,2020-09-04,archive
"WorldQuant, LLC",NL0000337319,0.79,Koninklijke BAM Groep N.V.,2020-09-04,archive
Citadel Advisors LLC,NL0010391025,0.47,Pharming Group N.V.,2020-09-03,archive
"D. E. Shaw & Co., L.P.",BE0003818359,0.89,Galapagos NV,2020-09-03,archive
Lone Pine Capital LLC,FR0013326246,1.54,Unibail-Rodamco-Westfield SE,2020-09-03,archive
"Lucerne Capital Management, L.P.",NL0000337319,0.79,Koninklijke BAM Groep N.V.,2020-09-03,archive
"WorldQuant, LLC",NL0000337319,0.89,Koninklijke BAM Groep N.V.,2020-09-03,archive
Citadel Advisors LLC,NL0000337319,0.72,Koninklijke BAM Groep N.V.,2020-09-02,archive
Marshall Wace LLP,NL0000352565,1.0,Fugro N.V.,2020-09-02,archive
Pelham Capital Ltd.,NL0006237562,1.32,ARCADIS N.V.,2020-09-02,archive
"WorldQuant, LLC",NL0000888691,0.58,AMG Critical Materials N.V.,2020-09-02,archive
"WorldQuant, LLC",BE0003818359,0.59,Galapagos NV,2020-09-02,archive
"WorldQuant, LLC",NL0000337319,0.98,Koninklijke BAM Groep N.V.,2020-09-02,archive
HBK Investments LP,NL0000337319,0.71,Koninklijke BAM Groep N.V.,2020-09-01,archive
Marshall Wace LLP,FR0013326246,0.94,Unibail-Rodamco-Westfield SE,2020-09-01,archive
"WorldQuant, LLC",NL0000337319,1.08,Koninklijke BAM Groep N.V.,2020-09-01,archive
Canada Pension Plan Investment Board,NL0000888691,0.4,AMG Critical Materials N.V.,2020-08-31,archive
HBK Investments LP,NL0000337319,0.69,Koninklijke BAM Groep N.V.,2020-08-31,archive
Moore Capital Management LP,FR0013326246,0.53,Unibail-Rodamco-Westfield SE,2020-08-31,archive
Voleon Capital Management LP,NL0000352565,2.05,Fugro N.V.,2020-08-31,archive
"WorldQuant, LLC",NL0000337319,1.17,Koninklijke BAM Groep N.V.,2020-08-31,archive
Canada Pension Plan Investment Board,NL0000888691,0.57,AMG Critical Materials N.V.,2020-08-28,archive
D1 Capital Partners LP,FR0013326246,5.03,Unibail-Rodamco-Westfield SE,2020-08-28,archive
HBK Investments LP,NL0000352565,1.0,Fugro N.V.,2020-08-28,archive
HBK Investments LP,NL0000337319,0.7,Koninklijke BAM Groep N.V.,2020-08-28,archive
JPMorgan Asset Management (UK) Ltd.,NL0011279492,0.53,Flow Traders Ltd.,2020-08-28,archive
Marshall Wace LLP,NL0000337319,1.2,Koninklijke BAM Groep N.V.,2020-08-28,archive
Parian GP LLC,NL0000288876,0.51,Eurocommercial Properties N.V.,2020-08-28,archive
"Samlyn Capital, LLC",NL0000303709,0.75,AEGON Ltd.,2020-08-28,archive
"Samlyn Capital, LLC",FR0013326246,0.62,Unibail-Rodamco-Westfield SE,2020-08-28,archive
Sculptor Capital Management Europe Limited,NL0000226223,0.79,STMicroelectronics N.V.,2020-08-28,archive
Voleon Capital Management LP,NL0000352565,2.1,Fugro N.V.,2020-08-28,archive
"WorldQuant, LLC",NL0000337319,1.27,Koninklijke BAM Groep N.V.,2020-08-28,archive
Canada Pension Plan Investment Board,NL0000888691,0.67,AMG Critical Materials N.V.,2020-08-27,archive
Marshall Wace LLP,NL0000352565,0.92,Fugro N.V.,2020-08-27,archive
Susquehanna International Securities Limited,NL0000352565,0.81,Fugro N.V.,2020-08-27,archive
"WorldQuant, LLC",NL0000337319,1.38,Koninklijke BAM Groep N.V.,2020-08-27,archive
Citadel Advisors LLC,LU0569974404,0.69,Aperam S.A.,2020-08-26,archive
Voleon Capital Management LP,NL0000352565,2.02,Fugro N.V.,2020-08-26,archive
Woodline Partners,NL0010391025,0.91,Pharming Group N.V.,2020-08-26,archive
"WorldQuant, LLC",NL0000337319,1.48,Koninklijke BAM Groep N.V.,2020-08-26,archive
"AQR Capital Management, LLC",NL0000360618,1.89,SBM Offshore N.V.,2020-08-25,archive
BNP Paribas S.A.,NL0000226223,1.44,STMicroelectronics N.V.,2020-08-25,archive
Citadel Europe LLP,NL0012866412,2.11,BE Semiconductor Industries N.V.,2020-08-25,archive
D1 Capital Partners LP,FR0013326246,4.97,Unibail-Rodamco-Westfield SE,2020-08-25,archive
Eleva Capital SAS,NL0000288876,0.5,Eurocommercial Properties N.V.,2020-08-25,archive
Eleva Capital SAS,NL0000289213,0.92,Wereldhave N.V.,2020-08-25,archive
HBK Investments LP,NL0000352565,0.94,Fugro N.V.,2020-08-25,archive
Lone Pine Capital LLC,FR0013326246,1.46,Unibail-Rodamco-Westfield SE,2020-08-25,archive
Marshall Wace LLP,NL0000352565,0.86,Fugro N.V.,2020-08-25,archive
Pelham Capital Ltd.,NL0006237562,1.47,ARCADIS N.V.,2020-08-25,archive
Susquehanna International Securities Limited,NL0000352565,0.77,Fugro N.V.,2020-08-25,archive
Viking Global Investors LP,FR0013326246,0.43,Unibail-Rodamco-Westfield SE,2020-08-25,archive
Voleon Capital Management LP,NL0000352565,1.99,Fugro N.V.,2020-08-25,archive
"WorldQuant, LLC",NL0000888691,0.6,AMG Critical Materials N.V.,2020-08-25,archive
"WorldQuant, LLC",BE0003818359,0.61,Galapagos NV,2020-08-25,archive
BNP Paribas S.A.,NL0000226223,1.35,STMicroelectronics N.V.,2020-08-24,archive
Citadel Advisors LLC,NL0010391025,0.58,Pharming Group N.V.,2020-08-24,archive
Marshall Wace LLP,NL0000360618,1.3,SBM Offshore N.V.,2020-08-24,archive
Marshall Wace LLP,FR0013326246,1.07,Unibail-Rodamco-Westfield SE,2020-08-24,archive
Voleon Capital Management LP,NL0000352565,2.03,Fugro N.V.,2020-08-24,archive
Citadel Advisors LLC,NL0000337319,0.68,Koninklijke BAM Groep N.V.,2020-08-21,archive
D1 Capital Partners LP,FR0013326246,4.82,Unibail-Rodamco-Westfield SE,2020-08-21,archive
GSA Capital Partners LLP,NL0000337319,0.7,Koninklijke BAM Groep N.V.,2020-08-21,archive
Marshall Wace LLP,NL0000352565,1.11,Fugro N.V.,2020-08-21,archive
Moore Capital Management LP,FR0013326246,0.42,Unibail-Rodamco-Westfield SE,2020-08-21,archive
Voleon Capital Management LP,NL0000352565,1.9,Fugro N.V.,2020-08-21,archive
"WorldQuant, LLC",BE0003818359,0.55,Galapagos NV,2020-08-21,archive
Cigogne Management S.A.,NL0012169213,0.48,Qiagen N.V.,2020-08-20,archive
Citadel Advisors LLC,NL0000337319,0.76,Koninklijke BAM Groep N.V.,2020-08-20,archive
"D. E. Shaw & Co., L.P.",BE0003818359,0.93,Galapagos NV,2020-08-20,archive
Marshall Wace LLP,NL0011279492,0.49,Flow Traders Ltd.,2020-08-20,archive
TFG Asset Management UK LLP,NL0000352565,1.33,Fugro N.V.,2020-08-20,archive
"WorldQuant, LLC",NL0000888691,0.51,AMG Critical Materials N.V.,2020-08-20,archive
Citadel Advisors LLC,NL0010391025,0.67,Pharming Group N.V.,2020-08-19,archive
"D. E. Shaw & Co., L.P.",BE0003818359,0.89,Galapagos NV,2020-08-19,archive
GSA Capital Partners LLP,NL0000337319,0.6,Koninklijke BAM Groep N.V.,2020-08-19,archive
HBK Investments LP,NL0000352565,1.01,Fugro N.V.,2020-08-19,archive
"Lucerne Capital Management, L.P.",NL0000337319,0.62,Koninklijke BAM Groep N.V.,2020-08-19,archive
"Maverick Capital, Ltd.",FR0013326246,1.95,Unibail-Rodamco-Westfield SE,2020-08-19,archive
Parian GP LLC,NL0000289213,0.65,Wereldhave N.V.,2020-08-19,archive
Systematica Investments Limited,NL0000888691,1.19,AMG Critical Materials N.V.,2020-08-19,archive
TFG Asset Management UK LLP,NL0000352565,1.11,Fugro N.V.,2020-08-19,archive
Voleon Capital Management LP,NL0000352565,1.8,Fugro N.V.,2020-08-19,archive
Citadel Advisors LLC,NL0000337319,0.88,Koninklijke BAM Groep N.V.,2020-08-18,archive
Marshall Wace LLP,NL0006237562,2.39,ARCADIS N.V.,2020-08-18,archive
Marshall Wace LLP,FR0013326246,1.13,Unibail-Rodamco-Westfield SE,2020-08-18,archive
"Maverick Capital, Ltd.",FR0013326246,1.81,Unibail-Rodamco-Westfield SE,2020-08-18,archive
Susquehanna International Securities Limited,NL0000352565,0.82,Fugro N.V.,2020-08-18,archive
Voleon Capital Management LP,NL0000352565,1.65,Fugro N.V.,2020-08-18,archive
Marshall Wace LLP,NL0011279492,0.59,Flow Traders Ltd.,2020-08-17,archive
Marshall Wace LLP,BE0003818359,0.55,Galapagos NV,2020-08-17,archive
Moore Capital Management LP,FR0013326246,0.52,Unibail-Rodamco-Westfield SE,2020-08-17,archive
Pictet Asset Management S.A.,FR0013326246,0.4,Unibail-Rodamco-Westfield SE,2020-08-17,archive
"Samlyn Capital, LLC",NL0000303709,0.6,AEGON Ltd.,2020-08-17,archive
Voleon Capital Management LP,NL0000352565,1.5,Fugro N.V.,2020-08-17,archive
"WorldQuant, LLC",NL0010391025,0.49,Pharming Group N.V.,2020-08-17,archive
BNP Paribas S.A.,NL0000226223,1.46,STMicroelectronics N.V.,2020-08-14,archive
Capital Fund Management S.A.,NL0000888691,1.2,AMG Critical Materials N.V.,2020-08-14,archive
Citadel Advisors LLC,BE0003818359,0.46,Galapagos NV,2020-08-14,archive
D1 Capital Partners LP,FR0013326246,4.72,Unibail-Rodamco-Westfield SE,2020-08-14,archive
Marshall Wace LLP,BE0003818359,0.7,Galapagos NV,2020-08-14,archive
"Samlyn Capital, LLC",NL0000303709,0.58,AEGON Ltd.,2020-08-14,archive
Voleon Capital Management LP,NL0000352565,1.41,Fugro N.V.,2020-08-14,archive
"WorldQuant, LLC",NL0000337319,1.58,Koninklijke BAM Groep N.V.,2020-08-14,archive
BNP Paribas S.A.,NL0000226223,1.52,STMicroelectronics N.V.,2020-08-13,archive
Citadel Advisors LLC,NL0010391025,0.79,Pharming Group N.V.,2020-08-13,archive
HBK Investments LP,NL0000352565,0.94,Fugro N.V.,2020-08-13,archive
JPMorgan Asset Management (UK) Ltd.,NL0000888691,1.37,AMG Critical Materials N.V.,2020-08-13,archive
JPMorgan Asset Management (UK) Ltd.,NL0013332471,0.47,TomTom N.V.,2020-08-13,archive
Marshall Wace LLP,NL0011279492,0.68,Flow Traders Ltd.,2020-08-13,archive
Marshall Wace LLP,NL0000352565,1.07,Fugro N.V.,2020-08-13,archive
Marshall Wace LLP,BE0003818359,0.69,Galapagos NV,2020-08-13,archive
"Samlyn Capital, LLC",NL0000303709,0.49,AEGON Ltd.,2020-08-13,archive
"WorldQuant, LLC",NL0010391025,0.57,Pharming Group N.V.,2020-08-13,archive
BNP Paribas S.A.,NL0000226223,1.46,STMicroelectronics N.V.,2020-08-12,archive
Canada Pension Plan Investment Board,NL0000888691,0.7,AMG Critical Materials N.V.,2020-08-12,archive
Capital Fund Management S.A.,NL0000888691,1.13,AMG Critical Materials N.V.,2020-08-12,archive
GSA Capital Partners LLP,NL0000337319,0.5,Koninklijke BAM Groep N.V.,2020-08-12,archive
HBK Investments LP,NL0000352565,0.84,Fugro N.V.,2020-08-12,archive
JPMorgan Asset Management (UK) Ltd.,NL0000888691,1.46,AMG Critical Materials N.V.,2020-08-12,archive
Marshall Wace LLP,NL0000360618,1.29,SBM Offshore N.V.,2020-08-12,archive
Marshall Wace LLP,FR0013326246,1.03,Unibail-Rodamco-Westfield SE,2020-08-12,archive
Susquehanna International Securities Limited,NL0000352565,0.71,Fugro N.V.,2020-08-12,archive
Voleon Capital Management LP,NL0010391025,0.72,Pharming Group N.V.,2020-08-12,archive
"WorldQuant, LLC",NL0010391025,0.64,Pharming Group N.V.,2020-08-12,archive
BNP Paribas S.A.,NL0000226223,1.36,STMicroelectronics N.V.,2020-08-11,archive
Citadel Advisors LLC,NL0010391025,0.81,Pharming Group N.V.,2020-08-11,archive
Citadel Europe LLP,LU0569974404,0.89,Aperam S.A.,2020-08-11,archive
HBK Investments LP,NL0000352565,0.78,Fugro N.V.,2020-08-11,archive
Marshall Wace LLP,NL0000352565,1.13,Fugro N.V.,2020-08-11,archive
Marshall Wace LLP,FR0013326246,0.99,Unibail-Rodamco-Westfield SE,2020-08-11,archive
"Samlyn Capital, LLC",FR0013326246,0.58,Unibail-Rodamco-Westfield SE,2020-08-11,archive
Susquehanna International Securities Limited,NL0000352565,0.68,Fugro N.V.,2020-08-11,archive
Systematica Investments Limited,NL0000888691,1.29,AMG Critical Materials N.V.,2020-08-11,archive
Systematica Investments Limited,NL0000352565,1.2,Fugro N.V.,2020-08-11,archive
"WorldQuant, LLC",NL0010391025,0.72,Pharming Group N.V.,2020-08-11,archive
"AQR Capital Management, LLC",NL0000360618,1.99,SBM Offshore N.V.,2020-08-10,archive
Citadel Advisors LLC,NL0010391025,0.77,Pharming Group N.V.,2020-08-10,archive
D1 Capital Partners LP,FR0013326246,4.6,Unibail-Rodamco-Westfield SE,2020-08-10,archive
Marshall Wace LLP,NL0000352565,1.28,Fugro N.V.,2020-08-10,archive
Susquehanna International Securities Limited,NL0000352565,0.79,Fugro N.V.,2020-08-10,archive
Voleon Capital Management LP,NL0010391025,0.67,Pharming Group N.V.,2020-08-10,archive
Adelphi Capital LLP,FR0013326246,0.52,Unibail-Rodamco-Westfield SE,2020-08-07,archive
Capital Fund Management S.A.,NL0000888691,1.0,AMG Critical Materials N.V.,2020-08-07,archive
Citadel Advisors LLC,LU0569974404,0.71,Aperam S.A.,2020-08-07,archive
Citadel Advisors LLC,NL0011872650,0.48,Basic-Fit N.V.,2020-08-07,archive
Citadel Advisors LLC,NL0000337319,0.99,Koninklijke BAM Groep N.V.,2020-08-07,archive
Citadel Advisors LLC,NL0010391025,0.84,Pharming Group N.V.,2020-08-07,archive
Millennium Capital Partners LLP,NL0011821392,0.5,Signify N.V.,2020-08-07,archive
"Samlyn Capital, LLC",NL0000303709,0.58,AEGON Ltd.,2020-08-07,archive
Tiger Global Management LLC,FR0013326246,0.85,Unibail-Rodamco-Westfield SE,2020-08-07,archive
Wellington Management Company LLP,NL0000289213,0.6,Wereldhave N.V.,2020-08-07,archive
"WorldQuant, LLC",NL0010391025,0.87,Pharming Group N.V.,2020-08-07,archive
BNP Paribas S.A.,NL0000226223,1.44,STMicroelectronics N.V.,2020-08-06,archive
Citadel Advisors LLC,LU0569974404,0.69,Aperam S.A.,2020-08-06,archive
Marshall Wace LLP,NL0000352565,1.39,Fugro N.V.,2020-08-06,archive
Marshall Wace LLP,FR0013326246,1.08,Unibail-Rodamco-Westfield SE,2020-08-06,archive
Parian GP LLC,NL0000289213,0.8,Wereldhave N.V.,2020-08-06,archive
Pictet Asset Management S.A.,FR0013326246,0.51,Unibail-Rodamco-Westfield SE,2020-08-06,archive
"Samlyn Capital, LLC",NL0000303709,0.62,AEGON Ltd.,2020-08-06,archive
"Samlyn Capital, LLC",FR0013326246,0.6,Unibail-Rodamco-Westfield SE,2020-08-06,archive
Toscafund Asset Management LLP,NL0000289213,1.65,Wereldhave N.V.,2020-08-06,archive
Voleon Capital Management LP,NL0000852564,0.48,Aalberts N.V.,2020-08-06,archive
"WorldQuant, LLC",NL0010391025,0.95,Pharming Group N.V.,2020-08-06,archive
Citadel Advisors LLC,LU0569974404,0.7,Aperam S.A.,2020-08-05,archive
D1 Capital Partners LP,FR0013326246,4.5,Unibail-Rodamco-Westfield SE,2020-08-05,archive
Marshall Wace LLP,NL0011279492,0.79,Flow Traders Ltd.,2020-08-05,archive
Marshall Wace LLP,NL0000352565,1.46,Fugro N.V.,2020-08-05,archive
Marshall Wace LLP,FR0013326246,1.11,Unibail-Rodamco-Westfield SE,2020-08-05,archive
SFM UK Management LLP,NL0006237562,0.5,ARCADIS N.V.,2020-08-05,archive
"WorldQuant, LLC",NL0000337319,1.67,Koninklijke BAM Groep N.V.,2020-08-05,archive
"WorldQuant, LLC",NL0010391025,1.02,Pharming Group N.V.,2020-08-05,archive
Citadel Advisors LLC,NL0011872650,0.55,Basic-Fit N.V.,2020-08-04,archive
"Connor, Clark & Lunn Investment Management Ltd.",NL0000289213,0.99,Wereldhave N.V.,2020-08-04,archive
D1 Capital Partners LP,FR0013326246,4.29,Unibail-Rodamco-Westfield SE,2020-08-04,archive
Marshall Wace LLP,NL0000352565,1.51,Fugro N.V.,2020-08-04,archive
Susquehanna International Securities Limited,NL0000352565,0.8,Fugro N.V.,2020-08-04,archive
Voleon Capital Management LP,NL0000352565,1.33,Fugro N.V.,2020-08-04,archive
"WorldQuant, LLC",NL0010391025,0.97,Pharming Group N.V.,2020-08-04,archive
Citadel Advisors LLC,NL0010391025,0.99,Pharming Group N.V.,2020-08-03,archive
D1 Capital Partners LP,FR0013326246,4.13,Unibail-Rodamco-Westfield SE,2020-08-03,archive
JPMorgan Asset Management (UK) Ltd.,NL0013332471,0.5,TomTom N.V.,2020-08-03,archive
Kintbury Capital LLP,FR0013326246,0.68,Unibail-Rodamco-Westfield SE,2020-08-03,archive
Marshall Wace LLP,NL0006237562,2.4,ARCADIS N.V.,2020-08-03,archive
Marshall Wace LLP,NL0011279492,0.82,Flow Traders Ltd.,2020-08-03,archive
Marshall Wace LLP,NL0000352565,1.63,Fugro N.V.,2020-08-03,archive
"Maverick Capital, Ltd.",FR0013326246,1.7,Unibail-Rodamco-Westfield SE,2020-08-03,archive
Parian GP LLC,NL0000289213,0.64,Wereldhave N.V.,2020-08-03,archive
"Samlyn Capital, LLC",FR0013326246,0.57,Unibail-Rodamco-Westfield SE,2020-08-03,archive
SFM UK Management LLP,NL0006237562,0.69,ARCADIS N.V.,2020-08-03,archive
Susquehanna International Securities Limited,NL0000352565,0.77,Fugro N.V.,2020-08-03,archive
Systematica Investments Limited,NL0000352565,1.1,Fugro N.V.,2020-08-03,archive
Viking Global Investors LP,FR0013326246,0.86,Unibail-Rodamco-Westfield SE,2020-08-03,archive
Voleon Capital Management LP,NL0000352565,1.15,Fugro N.V.,2020-08-03,archive
Voleon Capital Management LP,NL0010391025,0.53,Pharming Group N.V.,2020-08-03,archive
"WorldQuant, LLC",NL0010391025,0.79,Pharming Group N.V.,2020-08-03,archive
D1 Capital Partners LP,FR0013326246,4.06,Unibail-Rodamco-Westfield SE,2020-07-31,archive
Lone Pine Capital LLC,FR0013326246,1.39,Unibail-Rodamco-Westfield SE,2020-07-31,archive
Marshall Wace LLP,NL0011279492,0.98,Flow Traders Ltd.,2020-07-31,archive
Marshall Wace LLP,NL0000352565,1.73,Fugro N.V.,2020-07-31,archive
Marshall Wace LLP,BE0003818359,0.78,Galapagos NV,2020-07-31,archive
Sculptor Capital Management Europe Limited,NL0000226223,0.8,STMicroelectronics N.V.,2020-07-31,archive
TFG Asset Management UK LLP,NL0000352565,0.8,Fugro N.V.,2020-07-31,archive
Voleon Capital Management LP,NL0000352565,1.09,Fugro N.V.,2020-07-31,archive
Woodline Partners,NL0010391025,0.87,Pharming Group N.V.,2020-07-31,archive
"WorldQuant, LLC",NL0000337319,1.78,Koninklijke BAM Groep N.V.,2020-07-31,archive
"WorldQuant, LLC",NL0010391025,0.63,Pharming Group N.V.,2020-07-31,archive
Citadel Advisors LLC,LU0569974404,0.6,Aperam S.A.,2020-07-30,archive
Citadel Advisors LLC,NL0010391025,1.03,Pharming Group N.V.,2020-07-30,archive
Linden Advisors LP,NL0010391025,1.05,Pharming Group N.V.,2020-07-30,archive
Marshall Wace LLP,NL0000352565,1.81,Fugro N.V.,2020-07-30,archive
Marshall Wace LLP,BE0003818359,0.84,Galapagos NV,2020-07-30,archive
Marshall Wace LLP,FR0013326246,1.0,Unibail-Rodamco-Westfield SE,2020-07-30,archive
"Maverick Capital, Ltd.",FR0013326246,1.59,Unibail-Rodamco-Westfield SE,2020-07-30,archive
Sculptor Capital Management Europe Limited,NL0000226223,0.76,STMicroelectronics N.V.,2020-07-30,archive
TFG Asset Management UK LLP,NL0000352565,0.79,Fugro N.V.,2020-07-30,archive
The Mangrove Partners Master Fund Limited,NL0000352565,0.38,Fugro N.V.,2020-07-30,archive
Viking Global Investors LP,FR0013326246,0.94,Unibail-Rodamco-Westfield SE,2020-07-30,archive
Voleon Capital Management LP,NL0000352565,0.93,Fugro N.V.,2020-07-30,archive
Woodline Partners,NL0010391025,0.79,Pharming Group N.V.,2020-07-30,archive
"Woodson Capital Master Fund, LP",FR0013326246,0.95,Unibail-Rodamco-Westfield SE,2020-07-30,archive
Citadel Advisors LLC,LU0569974404,0.58,Aperam S.A.,2020-07-29,archive
Citadel Advisors LLC,NL0010391025,0.9,Pharming Group N.V.,2020-07-29,archive
Citadel Europe LLP,NL0012866412,2.08,BE Semiconductor Industries N.V.,2020-07-29,archive
D1 Capital Partners LP,FR0013326246,3.96,Unibail-Rodamco-Westfield SE,2020-07-29,archive
"Davidson Kempner European Partners, LLP",NL0012866412,1.02,BE Semiconductor Industries N.V.,2020-07-29,archive
GSA Capital Partners LLP,NL0000352565,0.26,Fugro N.V.,2020-07-29,archive
GSA Capital Partners LLP,NL0000337319,0.47,Koninklijke BAM Groep N.V.,2020-07-29,archive
"Lucerne Capital Management, L.P.",NL0000337319,0.5,Koninklijke BAM Groep N.V.,2020-07-29,archive
Marshall Wace LLP,NL0000352565,1.95,Fugro N.V.,2020-07-29,archive
Marshall Wace LLP,NL0000337319,1.0,Koninklijke BAM Groep N.V.,2020-07-29,archive
"Maverick Capital, Ltd.",FR0013326246,1.16,Unibail-Rodamco-Westfield SE,2020-07-29,archive
Sculptor Capital Management Europe Limited,NL0000226223,0.55,STMicroelectronics N.V.,2020-07-29,archive
Susquehanna International Securities Limited,NL0000352565,0.86,Fugro N.V.,2020-07-29,archive
Voleon Capital Management LP,NL0000852564,0.5,Aalberts N.V.,2020-07-29,archive
Voleon Capital Management LP,NL0000352565,0.89,Fugro N.V.,2020-07-29,archive
Marshall Wace LLP,NL0011279492,1.18,Flow Traders Ltd.,2020-07-28,archive
Marshall Wace LLP,BE0003818359,0.9,Galapagos NV,2020-07-28,archive
Voleon Capital Management LP,NL0000352565,0.72,Fugro N.V.,2020-07-28,archive
HBK Investments LP,NL0000337319,0.61,Koninklijke BAM Groep N.V.,2020-07-27,archive
Voleon Capital Management LP,NL0000352565,0.5,Fugro N.V.,2020-07-27,archive
Woodline Partners,NL0010391025,0.6,Pharming Group N.V.,2020-07-27,archive
"Athanor Capital, LP",NL0000289213,1.2,Wereldhave N.V.,2020-07-24,archive
BNP Paribas S.A.,NL0000226223,0.53,STMicroelectronics N.V.,2020-07-24,archive
Citadel Advisors LLC,NL0010391025,0.81,Pharming Group N.V.,2020-07-24,archive
GSA Capital Partners LLP,NL0000352565,0.72,Fugro N.V.,2020-07-24,archive
Sculptor Capital Management Europe Limited,NL0000352565,0.25,Fugro N.V.,2020-07-24,archive
Systematica Investments Limited,NL0000352565,1.0,Fugro N.V.,2020-07-24,archive
"WorldQuant, LLC",NL0000337319,1.82,Koninklijke BAM Groep N.V.,2020-07-24,archive
"AQR Capital Management, LLC",NL0010558797,1.69,OCI N.V.,2020-07-23,archive
Capital Fund Management S.A.,NL0000888691,0.92,AMG Critical Materials N.V.,2020-07-23,archive
Cigogne Management S.A.,NL0012169213,0.53,Qiagen N.V.,2020-07-23,archive
Citadel Advisors LLC,LU0569974404,0.62,Aperam S.A.,2020-07-23,archive
Citadel Europe LLP,LU0569974404,0.96,Aperam S.A.,2020-07-23,archive
Marshall Wace LLP,NL0011279492,1.29,Flow Traders Ltd.,2020-07-23,archive
Parian GP LLC,NL0000289213,0.54,Wereldhave N.V.,2020-07-23,archive
Sculptor Capital Management Europe Limited,NL0000352565,0.55,Fugro N.V.,2020-07-23,archive
"AQR Capital Management, LLC",NL0010558797,1.7,OCI N.V.,2020-07-22,archive
"AQR Capital Management, LLC",NL0000360618,2.09,SBM Offshore N.V.,2020-07-22,archive
"Athanor Capital, LP",NL0000289213,1.12,Wereldhave N.V.,2020-07-22,archive
Sculptor Capital Management Europe Limited,NL0000352565,0.66,Fugro N.V.,2020-07-22,archive
The Mangrove Partners Master Fund Limited,NL0000352565,0.79,Fugro N.V.,2020-07-22,archive
Whitebox Advisors LLC,NL0000352565,2.9,Fugro N.V.,2020-07-22,archive
"AQR Capital Management, LLC",NL0010558797,1.69,OCI N.V.,2020-07-21,archive
Capital Fund Management S.A.,NL0000888691,0.8,AMG Critical Materials N.V.,2020-07-21,archive
Citadel Advisors LLC,BE0003818359,0.5,Galapagos NV,2020-07-21,archive
D1 Capital Partners LP,FR0013326246,3.84,Unibail-Rodamco-Westfield SE,2020-07-21,archive
HBK Investments LP,NL0000337319,0.56,Koninklijke BAM Groep N.V.,2020-07-21,archive
Marshall Wace LLP,NL0000352565,2.27,Fugro N.V.,2020-07-21,archive
Marshall Wace LLP,NL0000360618,1.39,SBM Offshore N.V.,2020-07-21,archive
Marshall Wace LLP,FR0013326246,0.96,Unibail-Rodamco-Westfield SE,2020-07-21,archive
Whitebox Advisors LLC,NL0000352565,2.8,Fugro N.V.,2020-07-21,archive
Capital Fund Management S.A.,NL0000888691,0.74,AMG Critical Materials N.V.,2020-07-20,archive
Citadel Advisors LLC,BE0003818359,0.49,Galapagos NV,2020-07-20,archive
Citadel Advisors LLC,NL0010391025,0.79,Pharming Group N.V.,2020-07-20,archive
Marshall Wace LLP,NL0000352565,2.35,Fugro N.V.,2020-07-20,archive
Sculptor Capital Management Europe Limited,NL0000352565,0.71,Fugro N.V.,2020-07-20,archive
Whitebox Advisors LLC,NL0000352565,2.74,Fugro N.V.,2020-07-20,archive
Woodline Partners,NL0010391025,0.51,Pharming Group N.V.,2020-07-20,archive
"WorldQuant, LLC",NL0000337319,1.71,Koninklijke BAM Groep N.V.,2020-07-20,archive
Capital Fund Management S.A.,NL0000888691,0.66,AMG Critical Materials N.V.,2020-07-17,archive
Citadel Advisors LLC,NL0000337319,1.08,Koninklijke BAM Groep N.V.,2020-07-17,archive
Clearance Capital Limited,NL0000288876,0.43,Eurocommercial Properties N.V.,2020-07-17,archive
GSA Capital Partners LLP,NL0000352565,0.65,Fugro N.V.,2020-07-17,archive
HBK Investments LP,NL0000337319,0.8,Koninklijke BAM Groep N.V.,2020-07-17,archive
Marshall Wace LLP,NL0000352565,2.41,Fugro N.V.,2020-07-17,archive
Toscafund Asset Management LLP,NL0000289213,1.52,Wereldhave N.V.,2020-07-17,archive
Whitebox Advisors LLC,NL0000352565,2.37,Fugro N.V.,2020-07-17,archive
"AQR Capital Management, LLC",NL0010558797,1.7,OCI N.V.,2020-07-16,archive
Capital Fund Management S.A.,NL0000888691,0.56,AMG Critical Materials N.V.,2020-07-16,archive
Citadel Advisors LLC,NL0011872650,0.47,Basic-Fit N.V.,2020-07-16,archive
Marshall Wace LLP,NL0000352565,2.53,Fugro N.V.,2020-07-16,archive
Pictet Asset Management Limited,NL0010391025,0.93,Pharming Group N.V.,2020-07-16,archive
