position_holder,isin,net_short_position,issuer_name,position_date,source
Marshall Wace LLP,NL0015002MS2,1.15,The Magnum Ice Cream Company N.V.,2026-04-15,current
Qube Research & Technologies Ltd.,CY0200751713,1.16,Theon International Plc,2026-04-15,current
Squarepoint Ops LLC,NL0006237562,0.88,ARCADIS N.V.,2026-04-15,current
Voleon Capital Management LP,NL0012817175,1.89,Alfen N.V.,2026-04-15,current
"BlackRock Financial Management, Inc.",NL0010801007,0.97,IMCD N.V.,2026-04-14,current
Citadel Advisors LLC,NL0015002K83,0.51,Havas N.V.,2026-04-14,current
Fosse Capital Partners LLP,NL0011872650,1.23,Basic-Fit N.V.,2026-04-14,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,0.66,IMCD N.V.,2026-04-14,current
Marshall Wace LLP,NL0015002MS2,1.22,The Magnum Ice Cream Company N.V.,2026-04-14,current
"PDT Partners, LLC",NL0009739416,0.5,PostNL N.V.,2026-04-14,current
"WorldQuant, LLC",NL0012817175,2.84,Alfen N.V.,2026-04-14,current
"AQR Capital Management, LLC",NL0012969182,1.21,Adyen N.V.,2026-04-13,current
"AQR Capital Management, LLC",NL0006237562,1.01,ARCADIS N.V.,2026-04-13,current
"AQR Capital Management, LLC",JE00BRX98089,0.71,CVC Capital Partners plc,2026-04-13,current
Citadel Advisors LLC,NL0000817179,0.61,Sligro Food Group N.V.,2026-04-13,current
"PDT Partners, LLC",NL0010801007,0.89,IMCD N.V.,2026-04-13,current
Walleye Capital LLC,NL0015002MS2,0.5,The Magnum Ice Cream Company N.V.,2026-04-13,current
"AQR Capital Management, LLC",LU1598757687,0.58,ArcelorMittal S.A.,2026-04-10,current
"D. E. Shaw & Co., L.P.",NL0000395903,0.8,Wolters Kluwer N.V.,2026-04-10,current
Marshall Wace LLP,NL0015002MS2,1.38,The Magnum Ice Cream Company N.V.,2026-04-10,current
"PDT Partners, LLC",NL0010801007,0.9,IMCD N.V.,2026-04-10,current
Qube Research & Technologies Ltd.,CY0200751713,1.22,Theon International Plc,2026-04-10,current
"AQR Capital Management, LLC",NL0012969182,1.13,Adyen N.V.,2026-04-09,current
"AQR Capital Management, LLC",NL0010801007,0.51,IMCD N.V.,2026-04-09,current
Citadel Advisors LLC,NL0011821392,2.42,Signify N.V.,2026-04-09,current
Ilex Capital Partners (UK) LLP,CH1216478797,1.0,DSM-Firmenich AG,2026-04-09,current
Numeric Investors LLC,NL0012365084,0.71,NSI N.V.,2026-04-09,current
