isin,position_date,position_holder,net_short_position,issuer_name,source
NL0000379121,2026-03-20,Marshall Wace LLP,0.83,Randstad N.V.,current
NL0015002MS2,2026-03-20,Marshall Wace LLP,1.52,The Magnum Ice Cream Company N.V.,current
NL0011821392,2026-03-20,Millennium Capital (DIFC) Limited,0.8,Signify N.V.,current
NL0011821392,2026-03-20,Qube Research & Technologies Ltd.,0.91,Signify N.V.,current
CY0200751713,2026-03-20,Qube Research & Technologies Ltd.,0.99,Theon International Plc,current
NL0010801007,2026-03-20,Squarepoint Ops LLC,0.57,IMCD N.V.,current
NL0010801007,2026-03-20,"Two Sigma Investments, LP",0.81,IMCD N.V.,current
LU2290522684,2026-03-20,"Two Sigma Investments, LP",1.26,InPost S.A.,current
NL0013267909,2026-03-19,AKO Capital LLP,1.31,Akzo Nobel N.V.,current
NL0006237562,2026-03-19,"AQR Capital Management, LLC",0.8,ARCADIS N.V.,current
JE00BRX98089,2026-03-19,Marshall Wace LLP,0.6,CVC Capital Partners plc,current
NL0000379121,2026-03-19,Marshall Wace LLP,0.73,Randstad N.V.,current
NL0015002MS2,2026-03-19,Marshall Wace LLP,1.43,The Magnum Ice Cream Company N.V.,current
NL0013332471,2026-03-19,Winton Capital Management Limited,0.61,TomTom N.V.,current
NL0012817175,2026-03-19,"WorldQuant, LLC",2.83,Alfen N.V.,current
NL0010801007,2026-03-19,"WorldQuant, LLC",0.6,IMCD N.V.,current
NL0012969182,2026-03-18,"AQR Capital Management, LLC",0.6,Adyen N.V.,current
NL0011821392,2026-03-18,Citadel Advisors Europe Limited,1.21,Signify N.V.,current
NL0013267909,2026-03-18,"Empyrean Capital Overseas Master Fund, Ltd",0.52,Akzo Nobel N.V.,current
CH1216478797,2026-03-18,Ilex Capital Partners (UK) LLP,0.87,DSM-Firmenich AG,current
CY0200751713,2026-03-18,Qube Research & Technologies Ltd.,0.57,Theon International Plc,current
LU2290522684,2026-03-18,"Two Sigma Investments, LP",1.11,InPost S.A.,current
NL0012817175,2026-03-18,Voleon Capital Management LP,1.97,Alfen N.V.,current
NL0012817175,2026-03-18,"WorldQuant, LLC",2.98,Alfen N.V.,current
JE00BRX98089,2026-03-17,Qube Research & Technologies Ltd.,0.71,CVC Capital Partners plc,current
NL0015002MS2,2026-03-16,Marshall Wace LLP,1.3,The Magnum Ice Cream Company N.V.,current
NL0010801007,2026-03-16,"PDT Partners, LLC",0.8,IMCD N.V.,current
NL0010801007,2026-03-16,Squarepoint Ops LLC,0.63,IMCD N.V.,current
NL0012817175,2026-03-16,"WorldQuant, LLC",3.08,Alfen N.V.,current
NL0012969182,2026-03-13,"AQR Capital Management, LLC",0.52,Adyen N.V.,current
CH1216478797,2026-03-13,Ilex Capital Partners (UK) LLP,0.98,DSM-Firmenich AG,current
JE00BRX98089,2026-03-13,Marshall Wace LLP,0.52,CVC Capital Partners plc,current
NL0000379121,2026-03-13,Marshall Wace LLP,0.61,Randstad N.V.,current
NL0012817175,2026-03-13,"WorldQuant, LLC",3.14,Alfen N.V.,current
NL0010801007,2026-03-13,"WorldQuant, LLC",0.52,IMCD N.V.,current
NL0015000GX8,2026-03-12,Actus Ray Partners Limited,0.54,Envipco Holding N.V.,current
NL0011821392,2026-03-12,Canada Pension Plan Investment Board,0.65,Signify N.V.,current
NL0010801007,2026-03-12,JPMorgan Asset Management (UK) Ltd.,0.64,IMCD N.V.,current
NL0006237562,2026-03-12,Squarepoint Ops LLC,1.1,ARCADIS N.V.,current
NL0010801007,2026-03-12,Squarepoint Ops LLC,0.5,IMCD N.V.,current
NL0011821392,2026-03-11,Canada Pension Plan Investment Board,0.57,Signify N.V.,current
NL0012969182,2026-03-11,Capital Fund Management S.A.,0.6,Adyen N.V.,current
NL0011821392,2026-03-11,Citadel Advisors LLC,2.24,Signify N.V.,current
NL0011821392,2026-03-11,Marshall Wace LLP,1.91,Signify N.V.,current
NL0011821392,2026-03-10,Citadel Advisors LLC,2.17,Signify N.V.,current
NL0010391025,2026-03-10,Lazard Asset Management LLC,0.96,Pharming Group N.V.,current
NL0000009082,2026-03-10,Marshall Wace LLP,0.72,Koninklijke KPN N.V.,current
NL0015002MS2,2026-03-10,Marshall Wace LLP,1.21,The Magnum Ice Cream Company N.V.,current
LU2290522684,2026-03-10,"Two Sigma Investments, LP",1.03,InPost S.A.,current
NL0013332471,2026-03-10,Winton Capital Management Limited,0.52,TomTom N.V.,current
NL0010801007,2026-03-09,Acadian Asset Management LLC.,0.72,IMCD N.V.,current
NL0013267909,2026-03-09,AKO Capital LLP,1.21,Akzo Nobel N.V.,current
NL0012969182,2026-03-09,Capital Fund Management S.A.,0.51,Adyen N.V.,current
NL0011821392,2026-03-09,Citadel Advisors Europe Limited,1.18,Signify N.V.,current
NL0009739416,2026-03-09,Citadel Advisors LLC,0.69,PostNL N.V.,current
NL0011821392,2026-03-09,Citadel Advisors LLC,2.06,Signify N.V.,current
NL0012817175,2026-03-09,"D. E. Shaw & Co., L.P.",1.29,Alfen N.V.,current
NL0010801007,2026-03-09,"D. E. Shaw & Co., L.P.",0.5,IMCD N.V.,current
NL0010801007,2026-03-09,"Two Sigma Investments, LP",0.71,IMCD N.V.,current
