isin,position_date,issuer_name,position_holder,net_short_position,source
NL0010801007,2026-05-13,IMCD N.V.,Capital Fund Management S.A.,0.8,current
NL0000379121,2026-05-13,Randstad N.V.,Citadel Advisors Europe Limited,0.6,current
NL0010801007,2026-05-13,IMCD N.V.,Citadel Advisors LLC,0.7,current
NL0011821392,2026-05-13,Signify N.V.,Citadel Advisors LLC,1.61,current
NL0010391025,2026-05-13,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.53,current
NL0010391025,2026-05-13,Pharming Group N.V.,"Two Sigma Investments, LP",0.91,current
NL0010391025,2026-05-13,Pharming Group N.V.,Walleye Capital LLC,0.74,current
NL0010801007,2026-05-12,IMCD N.V.,"BlackRock Advisors, LLC",0.59,current
NL0011821392,2026-05-12,Signify N.V.,"BlackRock Financial Management, Inc.",0.71,current
NL0010801007,2026-05-12,IMCD N.V.,Capital Fund Management S.A.,0.79,current
NL0010801007,2026-05-12,IMCD N.V.,Citadel Advisors LLC,0.69,current
NL0010391025,2026-05-12,Pharming Group N.V.,Lazard Asset Management LLC,0.82,current
NL0012365084,2026-05-12,NSI N.V.,Numeric Investors LLC,0.8,current
LU2290522684,2026-05-12,InPost S.A.,"Two Sigma Investments, LP",1.36,current
NL0010801007,2026-05-11,IMCD N.V.,Capital Fund Management S.A.,0.8,current
NL0000852523,2026-05-11,TKH Group N.V.,Capital Fund Management S.A.,0.52,current
NL0011821392,2026-05-11,Signify N.V.,Citadel Advisors Europe Limited,1.02,current
CH1216478797,2026-05-11,DSM-Firmenich AG,Citadel Advisors LLC,0.5,current
NL0010801007,2026-05-11,IMCD N.V.,Citadel Advisors LLC,0.79,current
NL0000289213,2026-05-11,Wereldhave N.V.,Citadel Advisors LLC,0.7,current
NL0010391025,2026-05-11,Pharming Group N.V.,"Two Sigma Investments, LP",0.86,current
CY0200751713,2026-05-11,Theon International Plc,"Two Sigma Investments, LP",0.8,current
NL0010391025,2026-05-11,Pharming Group N.V.,Walleye Capital LLC,0.63,current
NL0011821392,2026-05-08,Signify N.V.,Citadel Advisors LLC,1.5,current
NL0013267909,2026-05-08,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.72,current
