isin,position_holder,position_date,net_short_position,issuer_name,source
NL0013267909,"BlackRock Advisors, LLC",2026-06-04,0.65,Akzo Nobel N.V.,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-06-04,0.7,Pharming Group N.V.,current
NL0013267909,Davidson Kempner Capital Management LP,2026-06-04,1.17,Akzo Nobel N.V.,current
NL0013267909,LMR Partners LLP,2026-06-04,0.91,Akzo Nobel N.V.,current
NL0011821392,Squarepoint Ops LLC,2026-06-04,0.62,Signify N.V.,current
JE00BRX98089,"AQR Capital Management, LLC",2026-06-03,0.69,CVC Capital Partners plc,current
NL0012969182,Capital Fund Management S.A.,2026-06-03,0.52,Adyen N.V.,current
NL0013267909,Davidson Kempner Capital Management LP,2026-06-03,1.02,Akzo Nobel N.V.,current
NL0013267909,LMR Partners LLP,2026-06-03,0.83,Akzo Nobel N.V.,current
CH1216478797,Marshall Wace LLP,2026-06-03,0.91,DSM-Firmenich AG,current
NL0015002MS2,Marshall Wace LLP,2026-06-03,0.81,The Magnum Ice Cream Company N.V.,current
NL0010391025,Whitebox Advisors LLC,2026-06-03,0.58,Pharming Group N.V.,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-06-02,0.62,Pharming Group N.V.,current
NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-06-02,2.2,Fugro N.V.,current
NL0011872650,Sculptor Capital Management Europe Limited,2026-06-02,0.79,Basic-Fit N.V.,current
NL0010391025,Walleye Capital LLC,2026-06-02,1.02,Pharming Group N.V.,current
NL0012365084,Numeric Investors LLC,2026-06-01,0.81,NSI N.V.,current
NL0000852564,"AQR Capital Management, LLC",2026-05-29,0.59,Aalberts N.V.,current
NL0010801007,"BlackRock Financial Management, Inc.",2026-05-29,0.69,IMCD N.V.,current
NL0011821392,"BlackRock Financial Management, Inc.",2026-05-29,0.83,Signify N.V.,current
NL0011821392,Citadel Advisors Europe Limited,2026-05-29,1.0,Signify N.V.,current
NL0013267909,Davidson Kempner Capital Management LP,2026-05-29,0.58,Akzo Nobel N.V.,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-05-29,1.85,DSM-Firmenich AG,current
CH1216478797,Marshall Wace LLP,2026-05-29,0.85,DSM-Firmenich AG,current
NL0011821392,"PDT Partners, LLC",2026-05-29,1.11,Signify N.V.,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-05-29,0.83,The Magnum Ice Cream Company N.V.,current
NL0011821392,Squarepoint Ops LLC,2026-05-29,0.5,Signify N.V.,current
NL0010391025,"Two Sigma Investments, LP",2026-05-29,1.09,Pharming Group N.V.,current
