net_short_position,isin,position_date,position_holder,issuer_name,source
0.75,NL0009739416,2022-05-17,"WorldQuant, LLC",PostNL N.V.,archive
1.28,NL0011872650,2022-05-16,Citadel Advisors Europe Limited,Basic-Fit N.V.,archive
0.7,NL0009739416,2022-05-16,Citadel Advisors LLC,PostNL N.V.,archive
0.7,NL0011794037,2022-05-16,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,archive
2.7,NL0009739416,2022-05-16,Marshall Wace LLP,PostNL N.V.,archive
0.78,NL0000337319,2022-05-16,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,archive
0.58,NL0013332471,2022-05-16,"WorldQuant, LLC",TomTom N.V.,archive
0.63,NL0011872650,2022-05-13,CapeView Capital LLP,Basic-Fit N.V.,archive
0.72,NL0009739416,2022-05-13,Capital Fund Management S.A.,PostNL N.V.,archive
0.92,NL0000009538,2022-05-13,Citadel Advisors LLC,Koninklijke Philips N.V.,archive
0.68,NL0009739416,2022-05-13,Citadel Advisors LLC,PostNL N.V.,archive
0.82,NL0009739416,2022-05-13,Eleva Capital SAS,PostNL N.V.,archive
0.84,NL0000289213,2022-05-13,Franklin Templeton Investment Management Limited,Wereldhave N.V.,archive
0.62,FR0013326246,2022-05-13,Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,archive
0.6,NL0012817175,2022-05-13,Marshall Wace LLP,Alfen N.V.,archive
2.65,NL0009739416,2022-05-13,Marshall Wace LLP,PostNL N.V.,archive
0.69,NL0009739416,2022-05-13,Millennium Capital Partners LLP,PostNL N.V.,archive
0.47,NL0009739416,2022-05-13,Qube Research & Technologies Ltd.,PostNL N.V.,archive
0.51,NL0013332471,2022-05-13,Qube Research & Technologies Ltd.,TomTom N.V.,archive
0.73,NL0012747059,2022-05-13,Whitebox Advisors LLC,CM.com N.V.,archive
0.7,NL0011872650,2022-05-12,CapeView Capital LLP,Basic-Fit N.V.,archive
0.89,NL0000009538,2022-05-12,Citadel Advisors LLC,Koninklijke Philips N.V.,archive
0.71,NL0000009538,2022-05-12,Marshall Wace LLP,Koninklijke Philips N.V.,archive
2.56,NL0009739416,2022-05-12,Marshall Wace LLP,PostNL N.V.,archive
0.7,NL0009739416,2022-05-12,Millennium Capital Partners LLP,PostNL N.V.,archive
0.53,NL0009739416,2022-05-12,Qube Research & Technologies Ltd.,PostNL N.V.,archive
1.28,NL0009739416,2022-05-12,Voleon Capital Management LP,PostNL N.V.,archive
0.97,NL0009739416,2022-05-12,"WorldQuant, LLC",PostNL N.V.,archive
1.3,NL0011872650,2022-05-11,Citadel Advisors Europe Limited,Basic-Fit N.V.,archive
0.59,NL0000888691,2022-05-11,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
0.71,NL0009739416,2022-05-11,Citadel Advisors LLC,PostNL N.V.,archive
0.65,NL0011540547,2022-05-11,Marshall Wace LLP,ABN AMRO Bank NV,archive
0.69,NL0000009538,2022-05-11,Marshall Wace LLP,Koninklijke Philips N.V.,archive
0.47,LU2290522684,2022-05-11,Millennium International Management LP,InPost S.A.,archive
0.49,NL0000888691,2022-05-11,"PDT Partners, LLC",AMG Critical Materials N.V.,archive
0.04,NL0012817175,2022-05-11,Rye Bay Capital LLP,Alfen N.V.,archive
0.51,NL0009739416,2022-05-11,Squarepoint Ops LLC,PostNL N.V.,archive
1.3,NL0009739416,2022-05-11,Voleon Capital Management LP,PostNL N.V.,archive
0.6,NL0009739416,2022-05-10,Capital Fund Management S.A.,PostNL N.V.,archive
0.61,NL0000888691,2022-05-10,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
0.67,NL0009739416,2022-05-10,Citadel Advisors LLC,PostNL N.V.,archive
0.51,NL0012747059,2022-05-10,Jupiter Investment Management Limited,CM.com N.V.,archive
2.42,NL0009739416,2022-05-10,Marshall Wace LLP,PostNL N.V.,archive
0.54,LU0569974404,2022-05-10,Millennium Capital Partners LLP,Aperam S.A.,archive
0.53,NL0009739416,2022-05-10,Millennium Capital Partners LLP,PostNL N.V.,archive
0.5,LU2290522684,2022-05-10,Millennium International Management LP,InPost S.A.,archive
0.48,NL0009739416,2022-05-10,Millennium International Management LP,PostNL N.V.,archive
0.4,NL0009739416,2022-05-10,"PDT Partners, LLC",PostNL N.V.,archive
0.5,LU2290522684,2022-05-10,Qube Research & Technologies Ltd.,InPost S.A.,archive
1.28,NL0009739416,2022-05-10,Voleon Capital Management LP,PostNL N.V.,archive
0.83,NL0009739416,2022-05-10,"WorldQuant, LLC",PostNL N.V.,archive
0.53,NL0000888691,2022-05-09,Capital Fund Management S.A.,AMG Critical Materials N.V.,archive
0.9,NL0000009538,2022-05-09,Citadel Advisors LLC,Koninklijke Philips N.V.,archive
0.86,NL0009739416,2022-05-09,Citadel Advisors LLC,PostNL N.V.,archive
0.5,NL0012817175,2022-05-09,Marshall Wace LLP,Alfen N.V.,archive
0.68,NL0011794037,2022-05-09,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,archive
2.16,NL0009739416,2022-05-09,Marshall Wace LLP,PostNL N.V.,archive
1.04,NL0009739416,2022-05-09,Millennium Capital Partners LLP,PostNL N.V.,archive
0.84,NL0009739416,2022-05-09,Millennium International Management LP,PostNL N.V.,archive
0.52,NL0009739416,2022-05-09,"PDT Partners, LLC",PostNL N.V.,archive
1.05,NL0009739416,2022-05-09,Voleon Capital Management LP,PostNL N.V.,archive
0.58,NL0009739416,2022-05-09,"WorldQuant, LLC",PostNL N.V.,archive
0.6,NL0011872650,2022-05-06,CapeView Capital LLP,Basic-Fit N.V.,archive
0.87,NL0000009538,2022-05-06,Citadel Advisors LLC,Koninklijke Philips N.V.,archive
0.48,NL0012866412,2022-05-06,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,archive
0.76,NL0000289213,2022-05-06,Franklin Templeton Investment Management Limited,Wereldhave N.V.,archive
0.72,NL0011794037,2022-05-06,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,archive
0.42,LU0569974404,2022-05-06,Millennium Capital Partners LLP,Aperam S.A.,archive
1.53,NL0009739416,2022-05-06,Millennium Capital Partners LLP,PostNL N.V.,archive
0.93,NL0009739416,2022-05-06,Voleon Capital Management LP,PostNL N.V.,archive
0.51,NL0010801007,2022-05-05,"AQR Capital Management, LLC",IMCD N.V.,archive
0.54,NL0011872650,2022-05-05,CapeView Capital LLP,Basic-Fit N.V.,archive
0.55,NL0000888691,2022-05-05,Citadel Advisors LLC,AMG Critical Materials N.V.,archive
0.71,NL0000009538,2022-05-05,Citadel Advisors LLC,Koninklijke Philips N.V.,archive
0.74,NL0011540547,2022-05-05,Marshall Wace LLP,ABN AMRO Bank NV,archive
0.7,NL0000009538,2022-05-05,Marshall Wace LLP,Koninklijke Philips N.V.,archive
0.58,NL0000888691,2022-05-05,"PDT Partners, LLC",AMG Critical Materials N.V.,archive
0.44,NL0011540547,2022-05-05,Qube Research & Technologies Ltd.,ABN AMRO Bank NV,archive
0.46,NL0013332471,2022-05-05,Qube Research & Technologies Ltd.,TomTom N.V.,archive
0.63,NL0000009538,2022-05-04,Citadel Advisors LLC,Koninklijke Philips N.V.,archive
0.82,NL0011540547,2022-05-04,Marshall Wace LLP,ABN AMRO Bank NV,archive
0.58,LU0569974404,2022-05-04,Millennium Capital Partners LLP,Aperam S.A.,archive
1.7,NL0009739416,2022-05-04,Millennium Capital Partners LLP,PostNL N.V.,archive
0.49,NL00150003E1,2022-05-03,BlackRock Investment Management (UK) Limited,Fugro N.V.,archive
0.48,NL0010391025,2022-05-03,Citadel Advisors LLC,Pharming Group N.V.,archive
0.73,NL0009739416,2022-05-03,Citadel Advisors LLC,PostNL N.V.,archive
0.58,NL0013332471,2022-05-03,Citadel Advisors LLC,TomTom N.V.,archive
2.0,NL0009739416,2022-05-03,Marshall Wace LLP,PostNL N.V.,archive
0.8,FR0013326246,2022-05-03,Marshall Wace LLP,Unibail-Rodamco-Westfield SE,archive
1.1,NL0009739416,2022-05-03,Millennium International Management LP,PostNL N.V.,archive
0.89,NL0009739416,2022-05-03,Voleon Capital Management LP,PostNL N.V.,archive
0.44,NL0011872650,2022-05-02,CapeView Capital LLP,Basic-Fit N.V.,archive
0.62,NL0000009538,2022-05-02,Marshall Wace LLP,Koninklijke Philips N.V.,archive
1.95,NL0009739416,2022-05-02,Marshall Wace LLP,PostNL N.V.,archive
0.5,NL0013332471,2022-05-02,Qube Research & Technologies Ltd.,TomTom N.V.,archive
1.01,NL0011821392,2022-05-02,Sandbar Assets Management LLP,Signify N.V.,archive
0.91,NL0009739416,2022-05-02,Voleon Capital Management LP,PostNL N.V.,archive
0.49,NL0009739416,2022-05-02,"WorldQuant, LLC",PostNL N.V.,archive
0.53,NL0012866412,2022-04-29,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,archive
0.98,NL0011821392,2022-04-29,Sandbar Assets Management LLP,Signify N.V.,archive
0.57,NL0011872650,2022-04-28,CapeView Capital LLP,Basic-Fit N.V.,archive
0.5,NL0010391025,2022-04-28,Citadel Advisors LLC,Pharming Group N.V.,archive
0.67,NL0009739416,2022-04-28,Citadel Advisors LLC,PostNL N.V.,archive
0.98,NL0012866412,2022-04-28,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,archive
0.47,NL0009739416,2022-04-28,HRTEU Limited,PostNL N.V.,archive
0.61,NL0011794037,2022-04-28,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,archive
0.6,LU0569974404,2022-04-28,Millennium Capital Partners LLP,Aperam S.A.,archive
1.6,NL0009739416,2022-04-28,Millennium Capital Partners LLP,PostNL N.V.,archive
0.61,NL0011872650,2022-04-27,CapeView Capital LLP,Basic-Fit N.V.,archive
0.7,NL0009739416,2022-04-27,Citadel Advisors LLC,PostNL N.V.,archive
0.51,NL0009739416,2022-04-27,HRTEU Limited,PostNL N.V.,archive
1.8,NL0009739416,2022-04-27,Marshall Wace LLP,PostNL N.V.,archive
0.7,FR0013326246,2022-04-27,Marshall Wace LLP,Unibail-Rodamco-Westfield SE,archive
1.56,NL0009739416,2022-04-27,Millennium Capital Partners LLP,PostNL N.V.,archive
1.08,NL0009739416,2022-04-27,Millennium International Management LP,PostNL N.V.,archive
0.52,NL0011540547,2022-04-27,Qube Research & Technologies Ltd.,ABN AMRO Bank NV,archive
0.53,LU0569974404,2022-04-26,BlackRock Investment Management (UK) Limited,Aperam S.A.,archive
1.01,NL0012866412,2022-04-26,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,archive
0.99,NL0011540547,2022-04-26,Marshall Wace LLP,ABN AMRO Bank NV,archive
0.58,NL0012817175,2022-04-26,Odey Asset Management LLP,Alfen N.V.,archive
1.0,NL0011821392,2022-04-26,Sandbar Assets Management LLP,Signify N.V.,archive
0.46,NL0012747059,2022-04-25,JPMorgan Asset Management (UK) Ltd.,CM.com N.V.,archive
1.01,NL0011540547,2022-04-25,Marshall Wace LLP,ABN AMRO Bank NV,archive
1.71,NL0009739416,2022-04-25,Marshall Wace LLP,PostNL N.V.,archive
1.1,NL0009739416,2022-04-25,Millennium International Management LP,PostNL N.V.,archive
3.26,NL0000289213,2022-04-25,"Woodson Capital Master Fund, LP",Wereldhave N.V.,archive
0.56,NL0009739416,2022-04-25,"WorldQuant, LLC",PostNL N.V.,archive
0.51,NL0011872650,2022-04-22,CapeView Capital LLP,Basic-Fit N.V.,archive
0.69,NL0000888691,2022-04-22,Capital Fund Management S.A.,AMG Critical Materials N.V.,archive
0.25,NL0012866412,2022-04-22,CQS (UK) LLP,BE Semiconductor Industries N.V.,archive
0.51,NL0011794037,2022-04-22,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,archive
1.63,NL0009739416,2022-04-22,Marshall Wace LLP,PostNL N.V.,archive
0.89,NL0000337319,2022-04-22,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,archive
1.21,NL0011872650,2022-04-21,Citadel Advisors Europe Limited,Basic-Fit N.V.,archive
0.67,NL0009739416,2022-04-21,Citadel Advisors LLC,PostNL N.V.,archive
0.48,LU2290522684,2022-04-21,Kuvari Partners LLP,InPost S.A.,archive
0.47,NL0011872650,2022-04-20,CapeView Capital LLP,Basic-Fit N.V.,archive
0.59,NL0009739416,2022-04-20,Citadel Advisors LLC,PostNL N.V.,archive
0.49,NL0012817175,2022-04-20,Marshall Wace LLP,Alfen N.V.,archive
0.96,NL0011821392,2022-04-20,Sandbar Assets Management LLP,Signify N.V.,archive
0.64,NL0009739416,2022-04-20,"WorldQuant, LLC",PostNL N.V.,archive
0.78,NL0009739416,2022-04-19,Eleva Capital SAS,PostNL N.V.,archive
0.6,NL0000289213,2022-04-19,Franklin Templeton Investment Management Limited,Wereldhave N.V.,archive
0.58,NL0000009538,2022-04-19,Marshall Wace LLP,Koninklijke Philips N.V.,archive
1.58,NL0009739416,2022-04-19,Marshall Wace LLP,PostNL N.V.,archive
1.63,NL0009739416,2022-04-19,Millennium Capital Partners LLP,PostNL N.V.,archive
0.8,NL0009739416,2022-04-19,Voleon Capital Management LP,PostNL N.V.,archive
0.66,NL0013332471,2022-04-19,"WorldQuant, LLC",TomTom N.V.,archive
0.62,NL0009739416,2022-04-14,Eleva Capital SAS,PostNL N.V.,archive
0.74,NL0009739416,2022-04-14,Voleon Capital Management LP,PostNL N.V.,archive
0.72,NL0009739416,2022-04-14,"WorldQuant, LLC",PostNL N.V.,archive
0.58,NL0013332471,2022-04-14,"WorldQuant, LLC",TomTom N.V.,archive
0.69,NL0009739416,2022-04-13,Citadel Advisors LLC,PostNL N.V.,archive
0.64,NL0013332471,2022-04-13,Citadel Advisors LLC,TomTom N.V.,archive
1.63,NL0009739416,2022-04-13,Marshall Wace LLP,PostNL N.V.,archive
1.54,NL0009739416,2022-04-13,Millennium Capital Partners LLP,PostNL N.V.,archive
0.68,NL0009739416,2022-04-13,Voleon Capital Management LP,PostNL N.V.,archive
0.5,NL0009739416,2022-04-13,"WorldQuant, LLC",PostNL N.V.,archive
1.1,NL0012817175,2022-04-12,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,archive
0.54,NL0011872650,2022-04-12,CapeView Capital LLP,Basic-Fit N.V.,archive
0.59,LU0569974404,2022-04-12,Millennium Capital Partners LLP,Aperam S.A.,archive
0.58,NL0010391025,2022-04-12,Pictet Asset Management Limited,Pharming Group N.V.,archive
0.42,LU2290522684,2022-04-11,Citadel Advisors Europe Limited,InPost S.A.,archive
1.02,NL0009739416,2022-04-11,Millennium International Management LP,PostNL N.V.,archive
0.64,NL0010391025,2022-04-11,Pictet Asset Management Limited,Pharming Group N.V.,archive
0.53,NL0009739416,2022-04-11,Voleon Capital Management LP,PostNL N.V.,archive
0.75,NL0000888691,2022-04-08,Capital Fund Management S.A.,AMG Critical Materials N.V.,archive
1.0,NL0011821392,2022-04-08,Sandbar Assets Management LLP,Signify N.V.,archive
0.92,NL0000337319,2022-04-08,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,archive
0.48,NL0010391025,2022-04-07,Citadel Advisors LLC,Pharming Group N.V.,archive
0.59,NL0009739416,2022-04-07,Citadel Advisors LLC,PostNL N.V.,archive
0.49,LU2290522684,2022-04-07,Marshall Wace LLP,InPost S.A.,archive
1.72,NL0009739416,2022-04-07,Millennium Capital Partners LLP,PostNL N.V.,archive
0.93,NL0009739416,2022-04-07,Millennium International Management LP,PostNL N.V.,archive
0.79,NL0010391025,2022-04-07,Pictet Asset Management Limited,Pharming Group N.V.,archive
0.58,NL00150003E1,2022-04-06,BlackRock Investment Management (UK) Limited,Fugro N.V.,archive
0.6,NL0009739416,2022-04-06,Citadel Advisors LLC,PostNL N.V.,archive
1.29,NL0012866412,2022-04-06,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,archive
1.54,NL0009739416,2022-04-06,Marshall Wace LLP,PostNL N.V.,archive
0.62,FR0013326246,2022-04-06,Marshall Wace LLP,Unibail-Rodamco-Westfield SE,archive
1.69,NL0009739416,2022-04-06,Millennium Capital Partners LLP,PostNL N.V.,archive
0.78,NL0009739416,2022-04-06,Millennium International Management LP,PostNL N.V.,archive
0.86,NL0010391025,2022-04-06,Pictet Asset Management Limited,Pharming Group N.V.,archive
0.8,NL0000337319,2022-04-06,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,archive
1.42,NL00150003E1,2022-04-05,BlackRock Investment Management (UK) Limited,Fugro N.V.,archive
0.68,NL0011872650,2022-04-05,CapeView Capital LLP,Basic-Fit N.V.,archive
0.9,NL0011540547,2022-04-05,Marshall Wace LLP,ABN AMRO Bank NV,archive
0.47,BE0003818359,2022-04-05,Marshall Wace LLP,Galapagos NV,archive
1.41,NL0009739416,2022-04-05,Marshall Wace LLP,PostNL N.V.,archive
0.93,NL0009739416,2022-04-05,Millennium Capital Partners LLP,PostNL N.V.,archive
0.58,NL0009739416,2022-04-05,Millennium International Management LP,PostNL N.V.,archive
0.94,NL0010391025,2022-04-05,Pictet Asset Management Limited,Pharming Group N.V.,archive
0.96,NL0011821392,2022-04-05,Sandbar Assets Management LLP,Signify N.V.,archive
0.57,NL0009739416,2022-04-04,Citadel Advisors LLC,PostNL N.V.,archive
0.5,LU2290522684,2022-04-04,Marshall Wace LLP,InPost S.A.,archive
0.84,NL0009739416,2022-04-04,Millennium Capital Partners LLP,PostNL N.V.,archive
0.85,NL0011821392,2022-04-04,Sandbar Assets Management LLP,Signify N.V.,archive
0.48,NL0012817175,2022-04-04,Voleon Capital Management LP,Alfen N.V.,archive
0.73,NL0000337319,2022-04-04,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,archive
0.49,NL0013332471,2022-04-04,"WorldQuant, LLC",TomTom N.V.,archive
0.69,BE0003818359,2022-04-01,AHL Partners LLP,Galapagos NV,archive
1.56,NL00150003E1,2022-04-01,BlackRock Investment Management (UK) Limited,Fugro N.V.,archive
0.48,NL0012866412,2022-04-01,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,archive
0.5,NL0012747059,2022-04-01,JPMorgan Asset Management (UK) Ltd.,CM.com N.V.,archive
0.55,LU2290522684,2022-03-31,Citadel Advisors Europe Limited,InPost S.A.,archive
0.5,NL0013332471,2022-03-31,Citadel Advisors LLC,TomTom N.V.,archive
1.32,NL0012866412,2022-03-31,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,archive
0.55,LU2290522684,2022-03-31,Kuvari Partners LLP,InPost S.A.,archive
0.72,NL0011821392,2022-03-31,Sandbar Assets Management LLP,Signify N.V.,archive
0.62,NL0009739416,2022-03-30,Citadel Advisors LLC,PostNL N.V.,archive
0.58,NL0012866412,2022-03-30,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,archive
0.57,NL0012817175,2022-03-30,Marshall Wace LLP,Alfen N.V.,archive
0.58,BE0003818359,2022-03-30,Marshall Wace LLP,Galapagos NV,archive
0.72,NL0009739416,2022-03-30,Millennium Capital Partners LLP,PostNL N.V.,archive
0.61,LU2290522684,2022-03-29,Citadel Advisors Europe Limited,InPost S.A.,archive
0.5,NL0010391025,2022-03-29,Citadel Advisors LLC,Pharming Group N.V.,archive
0.6,NL0012866412,2022-03-29,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,archive
0.63,NL0012817175,2022-03-29,Marshall Wace LLP,Alfen N.V.,archive
0.49,LU2290522684,2022-03-29,Marshall Wace LLP,InPost S.A.,archive
0.46,NL0011279492,2022-03-29,"WorldQuant, LLC",Flow Traders Ltd.,archive
0.58,NL0013332471,2022-03-29,"WorldQuant, LLC",TomTom N.V.,archive
0.59,LU2290522684,2022-03-28,Citadel Advisors Europe Limited,InPost S.A.,archive
0.49,NL0010391025,2022-03-28,Citadel Advisors LLC,Pharming Group N.V.,archive
0.53,LU2290522684,2022-03-28,Marshall Wace LLP,InPost S.A.,archive
0.61,NL0000009538,2022-03-28,Marshall Wace LLP,Koninklijke Philips N.V.,archive
1.37,NL0009739416,2022-03-28,Marshall Wace LLP,PostNL N.V.,archive
0.5,FR0013326246,2022-03-28,Marshall Wace LLP,Unibail-Rodamco-Westfield SE,archive
3.39,NL0000289213,2022-03-28,"Woodson Capital Master Fund, LP",Wereldhave N.V.,archive
1.0,NL0012817175,2022-03-25,"Arrowstreet Capital, Limited Partnership",Alfen N.V.,archive
1.17,NL0011872650,2022-03-25,Citadel Advisors Europe Limited,Basic-Fit N.V.,archive
0.76,NL0012817175,2022-03-25,Marshall Wace LLP,Alfen N.V.,archive
0.58,NL0012817175,2022-03-25,Voleon Capital Management LP,Alfen N.V.,archive
0.58,NL0011279492,2022-03-25,"WorldQuant, LLC",Flow Traders Ltd.,archive
0.61,NL0000337319,2022-03-25,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,archive
0.31,NL0000337319,2022-03-24,Citadel Advisors LLC,Koninklijke BAM Groep N.V.,archive
0.87,NL0012817175,2022-03-24,Marshall Wace LLP,Alfen N.V.,archive
0.69,LU0569974404,2022-03-24,Millennium Capital Partners LLP,Aperam S.A.,archive
0.69,NL0013332471,2022-03-24,"WorldQuant, LLC",TomTom N.V.,archive
0.49,BE0003818359,2022-03-23,"AQR Capital Management, LLC",Galapagos NV,archive
0.44,NL0011872650,2022-03-23,Canada Pension Plan Investment Board,Basic-Fit N.V.,archive
0.5,NL0000337319,2022-03-23,Citadel Advisors LLC,Koninklijke BAM Groep N.V.,archive
0.53,NL0000289213,2022-03-23,Franklin Templeton Investment Management Limited,Wereldhave N.V.,archive
0.84,NL0012747059,2022-03-23,Highbridge Capital Management LLC,CM.com N.V.,archive
0.6,LU2290522684,2022-03-23,Marshall Wace LLP,InPost S.A.,archive
1.48,NL0009739416,2022-03-23,Marshall Wace LLP,PostNL N.V.,archive
0.79,LU0569974404,2022-03-23,Millennium Capital Partners LLP,Aperam S.A.,archive
1.06,NL0010391025,2022-03-23,Pictet Asset Management Limited,Pharming Group N.V.,archive
0.67,NL0011279492,2022-03-23,"WorldQuant, LLC",Flow Traders Ltd.,archive
0.71,NL0011872650,2022-03-22,CapeView Capital LLP,Basic-Fit N.V.,archive
1.23,NL0011872650,2022-03-22,Citadel Advisors Europe Limited,Basic-Fit N.V.,archive
1.2,NL0012866412,2022-03-22,"Davidson Kempner European Partners, LLP",BE Semiconductor Industries N.V.,archive
0.49,NL0013332471,2022-03-22,Marshall Wace LLP,TomTom N.V.,archive
3.47,NL0000289213,2022-03-22,"Woodson Capital Master Fund, LP",Wereldhave N.V.,archive
0.52,NL0010391025,2022-03-21,Citadel Advisors LLC,Pharming Group N.V.,archive
0.8,NL0011540547,2022-03-21,Marshall Wace LLP,ABN AMRO Bank NV,archive
0.61,NL0009739416,2022-03-21,Millennium Capital Partners LLP,PostNL N.V.,archive
0.59,NL0011872650,2022-03-18,Canada Pension Plan Investment Board,Basic-Fit N.V.,archive
0.42,LU2290522684,2022-03-18,Kuvari Partners LLP,InPost S.A.,archive
0.42,LU0569974404,2022-03-18,Millennium International Management LP,Aperam S.A.,archive
0.32,NL0009739416,2022-03-18,Millennium International Management LP,PostNL N.V.,archive
0.69,NL0012817175,2022-03-18,Voleon Capital Management LP,Alfen N.V.,archive
0.79,NL0011279492,2022-03-18,"WorldQuant, LLC",Flow Traders Ltd.,archive
0.79,NL0000337319,2022-03-18,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,archive
0.79,NL0011540547,2022-03-17,Marshall Wace LLP,ABN AMRO Bank NV,archive
0.52,LU2290522684,2022-03-17,Marshall Wace LLP,InPost S.A.,archive
0.82,LU0569974404,2022-03-17,Millennium International Management LP,Aperam S.A.,archive
1.19,NL0010391025,2022-03-17,Pictet Asset Management Limited,Pharming Group N.V.,archive
0.61,NL0011821392,2022-03-17,Sandbar Assets Management LLP,Signify N.V.,archive
0.78,NL0000888691,2022-03-17,Systematica Investments Limited,AMG Critical Materials N.V.,archive
0.84,NL0011279492,2022-03-17,"WorldQuant, LLC",Flow Traders Ltd.,archive
0.5,BE0003818359,2022-03-16,"AQR Capital Management, LLC",Galapagos NV,archive
0.49,NL0010801007,2022-03-16,"AQR Capital Management, LLC",IMCD N.V.,archive
0.69,NL0011872650,2022-03-16,CapeView Capital LLP,Basic-Fit N.V.,archive
0.47,NL0000337319,2022-03-16,Citadel Advisors LLC,Koninklijke BAM Groep N.V.,archive
0.81,NL0011540547,2022-03-16,Marshall Wace LLP,ABN AMRO Bank NV,archive
0.51,NL0000009538,2022-03-16,Marshall Wace LLP,Koninklijke Philips N.V.,archive
0.89,LU0569974404,2022-03-16,Millennium Capital Partners LLP,Aperam S.A.,archive
0.68,NL0012817175,2022-03-16,Rye Bay Capital LLP,Alfen N.V.,archive
0.48,NL0011540547,2022-03-16,"WorldQuant, LLC",ABN AMRO Bank NV,archive
0.68,NL0011872650,2022-03-15,Canada Pension Plan Investment Board,Basic-Fit N.V.,archive
0.7,NL0011872650,2022-03-15,CapeView Capital LLP,Basic-Fit N.V.,archive
1.12,NL0011872650,2022-03-15,Citadel Advisors Europe Limited,Basic-Fit N.V.,archive
0.53,NL0000337319,2022-03-15,Citadel Advisors LLC,Koninklijke BAM Groep N.V.,archive
0.51,NL0012866412,2022-03-15,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,archive
0.5,FR0013326246,2022-03-15,Kintbury Capital LLP,Unibail-Rodamco-Westfield SE,archive
0.94,LU0569974404,2022-03-15,Millennium Capital Partners LLP,Aperam S.A.,archive
0.7,LU0569974404,2022-03-15,Millennium International Management LP,Aperam S.A.,archive
0.5,NL0009739416,2022-03-15,Millennium International Management LP,PostNL N.V.,archive
0.97,NL0011279492,2022-03-15,"WorldQuant, LLC",Flow Traders Ltd.,archive
0.66,LU0569974404,2022-03-14,Millennium International Management LP,Aperam S.A.,archive
1.02,NL0011279492,2022-03-14,"WorldQuant, LLC",Flow Traders Ltd.,archive
0.85,NL0000337319,2022-03-14,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,archive
0.47,NL0012817175,2022-03-11,AllianceBernstein L.P.,Alfen N.V.,archive
0.72,NL0011540547,2022-03-11,Marshall Wace LLP,ABN AMRO Bank NV,archive
0.98,NL0012817175,2022-03-11,Marshall Wace LLP,Alfen N.V.,archive
1.57,NL0009739416,2022-03-11,Marshall Wace LLP,PostNL N.V.,archive
1.06,LU0569974404,2022-03-11,Millennium Capital Partners LLP,Aperam S.A.,archive
0.59,LU0569974404,2022-03-11,Millennium International Management LP,Aperam S.A.,archive
0.51,NL0011540547,2022-03-11,"WorldQuant, LLC",ABN AMRO Bank NV,archive
1.12,NL0011279492,2022-03-11,"WorldQuant, LLC",Flow Traders Ltd.,archive
0.78,NL0000337319,2022-03-11,"WorldQuant, LLC",Koninklijke BAM Groep N.V.,archive
0.87,NL0000888691,2022-03-10,Capital Fund Management S.A.,AMG Critical Materials N.V.,archive
1.09,NL0011872650,2022-03-10,Citadel Advisors Europe Limited,Basic-Fit N.V.,archive
0.49,NL0012866412,2022-03-10,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,archive
1.2,LU0569974404,2022-03-10,Millennium Capital Partners LLP,Aperam S.A.,archive
0.61,LU0569974404,2022-03-10,Millennium International Management LP,Aperam S.A.,archive
0.92,NL0000888691,2022-03-09,Capital Fund Management S.A.,AMG Critical Materials N.V.,archive
0.68,NL0011540547,2022-03-09,Marshall Wace LLP,ABN AMRO Bank NV,archive
0.53,NL0012817175,2022-03-08,AllianceBernstein L.P.,Alfen N.V.,archive
0.65,NL0000289213,2022-03-08,Franklin Templeton Investment Management Limited,Wereldhave N.V.,archive
0.53,LU2290522684,2022-03-08,Kuvari Partners LLP,InPost S.A.,archive
1.0,NL0012817175,2022-03-08,Marshall Wace LLP,Alfen N.V.,archive
0.42,NL0012817175,2022-03-08,Millennium Capital Partners LLP,Alfen N.V.,archive
